,Concept_ID,kk,tr
367,Gast::N,мейман,misafir
368,Geschenk::N,қадия,hediye
369,Geschenk::N,қадия,armağan
370,Spiel::N,ойын,oyun
371,Gesellschaft::N,қауым,çevre
372,Gesellschaft::N,қауым,arkadaşlık
373,Gesellschaft::N,жұртшылық,çevre
374,Gesellschaft::N,жұртшылық,arkadaşlık
375,Hilfe::N,жэрдем,yardım
376,Freund::N,дос,dost
377,Freund::N,дос,arkadaş
378,Kamerad::N,дос-жар,arkadaş
379,Angelegenheit::N,жұмыс,iş
380,Angelegenheit::N,жұмыс,husus
381,Anzahl::N,сан,sayı
382,Anzahl::N,саны,sayı
383,Art::N,түр,çeşit
384,Stück::N,тілім,tane
385,Stück::N,тілім,parça
386,Teil::N,үлес,kısım
387,Teil::N,бөлшек,kısım
388,Hälfte::N,жарты,yarı
389,Kreis::N,шеңбер,daire
390,Kreuz::N,крест,haç
391,Linie::N,сызық,hat
392,Linie::N,сызық,çizgi
393,Strich::N,сызық,çizgi
394,Abstand::N,ара,aralık
395,Abstand::N,аралық,aralık
396,Entfernung::N,аралық,mesafe
397,Entfernung::N,аралық,uzaklık
398,Gegend::N,өңір,yöre
399,Platz::N,орны,yer
400,Ort::N,орын,yer
401,Seite::N,жақ,yan
402,Seite::N,жақ,taraf
403,Seite::N,бүйір,yan
404,Seite::N,бүйір,taraf
405,Mitte::N,ортасы,orta
406,Mitte::N,ортасы,merkez
407,Gegenstand::N,зат,şey
408,Gegenstand::N,нәрсе,şey
409,Sache::N,бұйым,iş
410,Sache::N,бұйым,şey
411,Rand::N,шет,kenar
412,Rand::N,шеті,kenar
413,Kante::N,қыр,kenar
414,Kante::N,қыры,kenar
415,Ecke::N,қыры,köşe
416,Ecke::N,бұрыш,köşe
417,Spitze::N,ұшы,uç
418,Spitze::N,ұшы,baş
419,Ende::N,аяқ,uç
420,Ende::N,соңы,uç
421,Loch::N,тесік,oyuk
422,Loch::N,тесік,delik
423,Winkel::N,мүйіс,köşe
424,Muster::N,мәнер,örnek
425,Größe::N,ауқым,büyüklük
426,Größe::N,көлемдік,büyüklük
427,Länge::N,бой,uzunluk
428,Länge::N,ұзындық,uzunluk
429,Höhe::N,жоғарылық,yükseklik
430,Höhe::N,биіктік,yükseklik
431,Gewicht::N,салмақ,ağırlık
432,Menge::N,мөлшер,miktar
433,Haufen::N,үйме,küme
434,Haufen::N,үйме,yığın
435,Haufen::N,үйінді,küme
436,Haufen::N,үйінді,yığın
437,Reihe::N,сап,sıra
438,Boot::N,қайық,kayık
439,Boot::N,қайық,sandal
440,Ruder::N,ескек,kürek
441,Schlitten::N,шана,kızak
442,Ski::N,шаңғы,kayak
443,Lagerfeuer::N,алау,kamp ateşi
444,Last::N,ауырлық,yük
445,Last::N,ауыр зат,yük
446,Gang::N,жүріс,gidiş
447,Gang::N,жүріс,yürüyüş
448,Schritt::N,адым,adım
449,Norden::N,солтүстік,kuzey
450,Norden::N,терістік,kuzey
451,Süden::N,оңтүстік,güney
452,Westen::N,батыс,batı
453,Osten::N,күншығыс,doğu
454,Holz::N,ағаш,ağaç
455,Holz::N,ағаш,tahta
456,Holz::N,сүрек,ağaç
457,Holz::N,сүрек,tahta
458,Brett::N,тақта,tahta
459,Platte::N,тақта,levha
460,Stütze::N,тіреу,dayak
461,Stütze::N,тіреу,destek
462,Stange::N,қада,çubuk
463,Stock::N,сойыл,sopa
464,Stock::N,сойыл,değnek
465,Stab::N,сырық,sırık
466,Stab::N,сырық,baston
467,Rohr::N,құбыр,boru
468,Haus::N,үй,ev
469,Heim::N,үйлі,ev
470,Heim::N,үйлі,yurt
471,Heim::N,шаңырақ,ev
472,Heim::N,шаңырақ,yurt
473,Ofen::N,ошақ,soba
474,Ofen::N,пеш,soba
475,Fußboden::N,еден,taban
476,Fußboden::N,еден,döşeme
477,Tisch::N,үстел,masa
478,Stuhl::N,орындық,iskemle
479,Stuhl::N,орындық,sandalye
480,Wiege::N,бесік,beşik
481,Bett::N,кереует,yatak
482,Regal::N,сөре,raf
483,Kiste::N,жәшік,sandık
484,Fenster::N,терезе,pencere
485,Tür::N,есік,kapı
486,Tor::N,дарбаза,kapı
487,Zaun::N,дуал,çit
488,Dach::N,шатыр,dam
489,Dach::N,шатыр,çatı
490,Leiter::N,саты,merdiven
491,Leiter::N,басқыш,merdiven
492,Besen::N,сыпырғыш,süpürge
493,Spaten::N,күрек,bel
494,Schaufel::N,қалақ,kürek
495,Gabel::N,аша,çatal
496,Gabel::N,шанышқы,çatal
497,Löffel::N,қасық,kaşık
498,Messer::N,пышақ,bıçak
499,Nagel::N,мық,çivi
500,Nagel::N,шеге,çivi
501,Netz::N,керегекөз,ağ
502,Haken::N,ілмек,çengel
503,Griff::N,сап,kulp
504,Griff::N,сап,tutamak
505,Griff::N,тұтқа,kulp
506,Griff::N,тұтқа,tutamak
507,Schloss::N,құлып,kilit
508,Schloss::N,бекіткіш,kilit
509,Bild::N,сурет,imaj
510,Bild::N,сурет,resim
511,Figur::N,тұлға,şekil
512,Figur::N,тұлға,heykel
513,Puppe::N,қуыршақ,kukla
514,Beutel::N,қапшық,kese
515,Beutel::N,қапшық,torba
516,Bündel::N,байлам,deste
517,Tasche::N,дорба,çanta
518,Eimer::N,шелек,kova
519,Deckel::N,жапқыш,kapak
520,Geschirr::N,ыдыс,kap kacak
521,Sack::N,қап,torba
522,Tasse::N,шыныаяқ,fincan
523,Topf::N,кәстрөл,tencere
524,Kessel::N,қазан,kazan
525,Essen::N,ас,yemek
526,Nahrung::N,ас,gıda
527,Nahrung::N,ас,besin
528,Nahrung::N,тамақ,gıda
529,Nahrung::N,тамақ,besin
530,Speise::N,тағам,yemek
531,Fleisch::N,ет,et
532,Getreide::N,дәнді,tahıl
533,Getreide::N,дәнді,hububat
534,Brei::N,ботқа,ezme
535,Brot::N,күлше,ekmek
536,Scheibe::N,тілім,dilim
537,Fett::N,май,yağ
538,Butter::N,май,tereyağı
539,Öl::N,май,yağ
540,Öl::N,май,akar yağ
541,Salz::N,тұз,tuz
542,Suppe::N,көже,çorba
543,Honig::N,бал,bal
544,Milch::N,сүт,süt
545,Tee::N,шай,çay
546,Leder::N,көн,deri
547,Leder::N,көн,meşin
548,Wolle::N,жүн,yün
549,Stoff::N,мата,kumaş
550,Stoff::N,кездеме,kumaş
551,Nadel::N,ине,iğne
552,Faden::N,жіп,tire
553,Faden::N,жіп,iplik
554,Knopf::N,түйме,düğme
555,Knoten::N,түйін,düğüm
556,Farbe::N,рең,boya
557,Kleidung::N,киім,giyim
558,Hemd::N,жейде,gömlek
559,Kragen::N,жаға,yaka
560,Ärmel::N,жең,yen
561,Ärmel::N,жең,elbise kolu
562,Hose::N,шалбар,pantolon
563,Gürtel::N,белбеу,kuşak
564,Mütze::N,қалпақ,bere
565,Mütze::N,қалпақ,kasket
566,Schuh::N,кебіс,kundura
567,Schuh::N,кебіс,ayakkabı
568,Stiefel::N,етік,çizme
569,Ring::N,жүзік,yüzük
570,Band::N,таспа,bağ
571,Band::N,таспа,şerit
572,Kamm::N,тарақ,tarak
573,Spiegel::N,айна,ayna
574,Riemen::N,қайыс,kayış
575,Schnur::N,жіп,ip
576,Schnur::N,жіп,sicim
577,Leine::N,тізгін,kayış
578,Decke::N,көрпе,örtü
579,Decke::N,көрпе,yorgan
580,Kissen::N,жастық,yastık
581,Tuch::N,орамал,bez
582,Handtuch::N,сүлгі,havlu
583,Kraft::N,қуат,güç
584,Kraft::N,қуат,kuvvet
585,Kraft::N,қарқын,güç
586,Kraft::N,қарқын,kuvvet
587,Kraft::N,әл-шама,güç
588,Kraft::N,әл-шама,kuvvet
589,Kraft::N,әл-дәрмен,güç
590,Kraft::N,әл-дәрмен,kuvvet
591,Stärke::N,әл,kuvvet
592,Stärke::N,күш,kuvvet
593,Gesundheit::N,денсаулык,sağlık
594,Krankheit::N,ауру,hastalık
595,Schmerz::N,ауру,ağrı
596,Schmerz::N,ауру,sancı
597,Wunde::N,зақым,yara
598,Wunde::N,жарақат,yara
599,Fieber::N,безгек,ateş
600,Fieber::N,қалтырау,ateş
601,Fieber::N,қызу көтерілуі,ateş
602,Arznei::N,дәрі,ilâç
603,Arznei::N,дәрі-дәрмек,ilâç
604,Brücke::N,көпір,köprü
605,Brunnen::N,құдық,kuyu
606,Brunnen::N,құдық,çeşme
607,Weide::N,өріс,otlak
608,Weide::N,жайылым,otlak
609,Pfad::N,жол,patika
610,Pfad::N,жол,keçiyolu
611,Weg::N,жол,yol
612,Straße::N,жол,yol
613,Straße::N,жол,cadde
614,Dorf::N,ауыл,köy
615,Stadt::N,қала,kent
616,Stadt::N,қала,şehir
617,Stadt::N,шаһар,kent
618,Stadt::N,шаһар,şehir
619,Brief::N,хат,mektup
620,Brief::N,жазу,mektup
621,Buch::N,кітап,kitap
622,Buchstabe::N,әріп,harf
623,Buchstabe::N,қаріп,harf
624,Zeitung::N,газет,gazete
625,Leben::N,өмір,hayat
626,Leben::N,тіршілік,hayat
627,Tod::N,опат,ölüm
628,Grab::N,мола,kabir
629,Grab::N,мазар,kabir
630,Kirche::N,шіркеу,kilise
631,Sünde::N,күнә,günah
632,Gott::N,алла,tanrı
633,Gott::N,құдай,tanrı
634,Gott::N,тәңірі,tanrı
635,Gott::N,пәруардігер,tanrı
636,Gott::N,жаратқан тәңірі,tanrı
637,Arbeiter::N,жүмысшы,işçi
638,Chef::N,басшы,şef
639,Chef::N,басшы,müdür
640,Chef::N,жұмыс басқарушысы,şef
641,Chef::N,жұмыс басқарушысы,müdür
642,Meister::N,шебер,usta
643,Meister::N,өнерпаз,usta
644,Arzt::N,дәрігер,hekim
645,Arzt::N,дәрігер,doktor
646,Lehrer::N,мұғалім,hoca
647,Lehrer::N,мұғалім,öğretmen
648,Geld::N,пұл,para
649,Geschäft::N,бизнес,ticaret
650,Laden::N,дүкен,dükkân
651,Preis::N,ақы,fiyat
652,Preis::N,құны,fiyat
653,Preis::N,нарық,fiyat
654,Ware::N,тауар,mal
655,Nutzen::N,пайда,fayda
656,Reichtum::N,бақ-дәулет,servet
657,Reichtum::N,бақ-дәулет,zenginlik
658,Welt::N,әлем,dünya
659,Welt::N,жиһан,dünya
660,Land::N,аймақ,ülke
661,Staat::N,мемлекет,devlet
662,König::N,патша,kral
663,Macht::N,өкімет,kudret
664,Macht::N,өкімет,iktidar
665,Macht::N,қожалық,kudret
666,Macht::N,қожалық,iktidar
667,Grenze::N,шек,had
668,Grenze::N,шек,sınır
669,Krieg::N,соғыс,savaş
670,Feind::N,жау,düşman
671,Feind::N,дұшпан,düşman
672,Gewalt::N,зорлык,zor
673,Gewalt::N,зорлык,cebir
674,Gewalt::N,зорлық-зомбылык,zor
675,Gewalt::N,зорлық-зомбылык,cebir
676,Kampf::N,күрес,savaş
677,Kampf::N,алыспақ,savaş
678,Bogen[Waffe]::N,саржа,yay
679,Pfeil::N,жебе,ok
680,Gewehr::N,қару,tüfek
681,Fehler::N,әбес,hata
682,Fehler::N,әбес,yanlış
683,Fehler::N,қаталық,hata
684,Fehler::N,қаталық,yanlış
685,Lüge::N,өтірік,yalan
686,Schaden::N,зиян,zarar
687,Schaden::N,зарар,zarar
688,Unglück::N,пәле,felâket
689,Unglück::N,пәле,talihsizlik
690,Unglück::N,қасырет,felâket
691,Unglück::N,қасырет,talihsizlik
692,Unglück::N,ауыртпалық,felâket
693,Unglück::N,ауыртпалық,talihsizlik
694,Schuld::N,айыптылық,suç
695,Schuld::N,айыптылық,kabahat
696,Alter::N,жас,yaş
697,Alter::N,жас шамасы,yaş
698,Schluss::N,ада,son
699,Schluss::N,бітуі,son
700,Zeit::N,уақыт,zaman
701,Tag::N,күн,gün
702,Morgen::N,таң,sabah
703,Morgen::N,таңертең,sabah
704,Mittag::N,талтүс,öğle
705,Abend::N,кеш,akşam
706,Nacht::N,түн,gece
707,Woche::N,апта,hafta
708,Monat::N,ай,ay
709,Jahr::N,жыл,yıl
710,Jahr::N,жыл,sene
711,Frühling::N,көктем,ilkbahar
712,Sommer::N,жаз,yaz
713,Herbst::N,күз,güz
714,Herbst::N,күз,sonbahar
715,Winter::N,қыс,kış
716,Januar::N,каңтар,ocak
717,Februar::N,ақпан,şubat
718,März::N,наурыз,mart
719,April::N,сәуір,nisan
720,Mai::N,мамыр,mayıs
721,Juni::N,маусым,haziran
722,Juli::N,шілде,temmuz
723,August::N,сүмбіле,ağustos
724,August::N,тамыз,ağustos
725,September::N,қыркүйек,eylül
726,Oktober::N,ақырап,ekim
727,November::N,қараша,kasım
728,Dezember::N,желтоқсан,aralık
729,Montag::N,дүйсенбі,pazartesi
730,Dienstag::N,сейсенбі,salı
731,Mittwoch::N,сәрсенбі,çarşamba
732,Donnerstag::N,бейсенбі,perşembe
733,Freitag::N,жұма,cuma
734,Samstag::N,сенбі,cumartesi
735,Sonntag::N,жексембі,pazar
736,groß::A,алпамсадай,büyük
737,klein::A,кішкене,ufak
738,klein::A,кішкене,küçük
739,klein::A,қарғадай,ufak
740,klein::A,қарғадай,küçük
741,lang::A,сопақ,uzun
742,lang::A,сорайған,uzun
743,kurz::A,кеспелтек,kısa
744,breit::A,айдынды,enli
745,breit::A,айдынды,geniş
746,schmal::A,қысық,dar
747,dicht::A,жиі,sık
748,dicht::A,жиі,yoğun
749,dick[Gegenstand]::A,шомбал,kalın
750,dick[Gegenstand]::A,шомбал,iri
751,dünn::A,жұқа,ince
752,dünn::A,жіңішке,ince
753,fein::A,қаңылтақ,ince
754,fein::A,қаңылтақ,narin
755,fest::A,берік,sabit
756,fest::A,берік,sağlam
757,fest::A,мызғымас,sabit
758,fest::A,мызғымас,sağlam
759,flach::A,жалпак,düz
760,flach::A,жалпак,yassı
761,glatt::A,типыл,düz
762,hart::A,қатты,katı
763,weich::A,жұмсақ,yumuşak
764,rund::A,домалақ,yuvarlak
765,spitz::A,үшкір,sivri
766,scharf::A,сүйрік,keskin
767,stumpf::A,доғал,kör
768,stumpf::A,өтпейтін,kör
769,schwer::A,салмақты,ağır
770,schön::A,сұлу,güzel
771,heiß::A,ыссы,kızgın
772,warm::A,жылы,sıcak
773,kalt::A,аязды,soğuk
774,kühl::A,салқын,serin
775,frisch::A,таза,taze
776,frisch::A,жаңа,taze
777,feucht::A,нам,nemli
778,feucht::A,нам,rutubetli
779,feucht::A,дымқылды,nemli
780,feucht::A,дымқылды,rutubetli
781,nass::A,сулы,yaş
782,nass::A,сулы,ıslak
783,trocken::A,құрғақ,kuru
784,voll::A,толы,dolu
785,voll::A,толы,dolmuş
786,leer::A,бос,boş
787,offen::A,ашып қойылған,açık
788,geschlossen::A,жабулы,kapalı
789,sauber::A,дақсыз,pak
790,sauber::A,дақсыз,temiz
791,sauber::A,мұнтаздай,pak
792,sauber::A,мұнтаздай,temiz
793,schmutzig::A,айғыз,pis
794,schmutzig::A,айғыз,kirli
795,schmutzig::A,сатпақ,pis
796,schmutzig::A,сатпақ,kirli
