,Concept_ID,ko,az
78,Schatten::N,어스레함,kölgə
79,Wetter::N,기상,hava
80,Nebel::N,안개,duman
81,Wolke::N,구름,bulud
82,Regen::N,비,yağış
83,Regen::N,비,yağmur
84,Schnee::N,눈,qar
85,Eis::N,얼음,buz
86,Frost::N,혹한,ayaz
87,Kälte::N,추위,soyuq
88,Kälte::N,차가움,soyuq
89,Hitze::N,고온,coşğunluq
90,Hitze::N,더위,coşğunluq
91,Regenbogen::N,무지개,göy qurşağı
92,Donner::N,뇌명,göy gurultusu
93,Strömung::N,유동,axın
94,Tropfen::N,물방울,damcı
95,Schaum::N,포말,köpük
96,Schmutz::N,때,çamır
97,See::N,호수,göl
98,Sumpf::N,습지,bataqlıq
99,Moor::N,저습지,bataqlıq
100,Wiese::N,목초지,çəmən
101,Wald::N,숲,meşə
102,Hügel::N,언덕,təpə
103,Anhöhe::N,언덕,təpə
104,Berg::N,산,dağ
105,Gipfel::N,졀졍,zirvə
106,Höhle::N,공동,mağara
107,Abhang::N,몰매,yamac
108,Quelle::N,근원,bulaq
109,Bach::N,내,kiçik çay
110,Fluss::N,강,çay
111,Ufer::N,강변,kənar
112,Ufer::N,바닷가,kənar
113,Küste::N,해변,sahil
114,Küste::N,해변가,sahil
115,Festland::N,본토,materik
116,Meer::N,바다,dəniz
117,Bucht::N,협만,körfəz
118,Insel::N,섬,ada
119,Blume::N,꽃,çiçək
120,Gras::N,풀,ot
121,Wurzel::N,뿌리,kök
122,Baum::N,나무,ağac
123,Stamm::N,대,gövdə
124,Rinde::N,나무껍질,qabıq
125,Ast::N,가지,şax
126,Zweig::N,가지,budaq
127,Blatt::N,잎,yarpaq
128,Birke::N,자작나무,tozağacı
129,Kiefer[Baum]::N,소나무,şam
130,Weide[Baum]::N,쉬양버들,söyüd
131,Tanne::N,전나무,küknar
132,Horn::N,뿔,buynuz
133,Feder::N,깃털,tük
134,Feder::N,깃털,lələk
135,Fell::N,피혁모피,xəz
136,Flügel::N,날개,qanad
137,Klaue::N,갈고리 발톺,pəncə
138,Kralle::N,발툭,dırnaq
139,Schwanz::N,꼬리,quyruq
140,Ei::N,알,yumurta
141,Nest::N,보금자리,yuva
142,Bau::N,굴,yuva
143,Tier::N,짐승,heyvan
144,Herde::N,가축의떼,sürü
145,Kuh::N,암소,inək
146,Bulle::N,황소,öküz
147,Pferd::N,말,at
148,Schaf::N,양,qoyun
149,Schwein::N,돼지,donuz
150,Hund::N,개,it
151,Hund::N,개,köpək
152,Katze::N,고양이,pişik
153,Bär::N,콤,ayı
154,Eichhörnchen::N,다람쥐,dələ
155,Elch::N,고라니,sığın
156,Fuchs::N,여우,tülkü
157,Hase::N,토끼,dovşan
158,Maus::N,쥐,siçan
159,Wolf::N,늑대,qurd
160,Vogel::N,새,quş
161,Schwarm::N,뗴,sürü
162,Huhn::N,암탉,toyuq
163,Hahn::N,수탉,xoruz
164,Gans::N,거위,qaz
165,Adler::N,수리,qartal
166,Adler::N,수리,qaraquş
167,Ente::N,오리,ördək
168,Eule::N,부엉이,bayquş
169,Kranich::N,두루미,durna
170,Krähe::N,까마귀,qarğa
171,Kuckuck::N,뻐꾸기,ququ
172,Schwan::N,배조,qu quşu
173,Fisch::N,물고기,balıq
174,Barsch::N,농어,tar
175,Hecht::N,에속스,durnabalığı
176,Schlange[Tier]::N,뱀,ilan
177,Wurm::N,벌레,qurd
178,Spinne::N,거미,hörümçək
179,Ameise::N,개미,qarışqa
180,Laus::N,이,bit
181,Mücke::N,모기,ağcaqanad
182,Fliege::N,날기,milçək
183,Schmetterling::N,나비,kəpənək
184,Beere::N,장과,gilə
185,Apfel::N,사과,alma
186,Pilz::N,고방이,göbələk
187,Zwiebel::N,양파,soğan
188,Saat::N,씨,əkin
189,Korn::N,알맹이,taxıl
190,Heu::N,건초,quru ot
191,Schale::N,피상,qabıq
192,Falle::N,함정,tələ
193,Falle::N,함정,duzaq
194,Schlinge::N,올가미,ilmək
195,Schlinge::N,멜빵붕대,ilmək
196,Spur::N,발지국,iz
197,Asche::N,재,kül
198,Dreck::N,똥,kir
199,Dreck::N,오물,kir
200,Eisen::N,쇠,dəmir
201,Eisen::N,철,dəmir
202,Gold::N,항금,altun
203,Silber::N,은,gümüş
204,Kohle::N,슻,kömür
205,Glas::N,유리,şüşə
206,Lehm::N,찰흙,gil
207,Lehm::N,찰흙,palçıq
208,Sand::N,모래,qum
209,Mensch::N,사람,adam
210,Mensch::N,사람,insan
211,Mann::N,남자,kişi
212,Frau::N,여자,qadın
213,Kind::N,아이,uşaq
214,Junge::N,소녁,oğlan
215,Mädchen::N,소녀,qız
216,Familie::N,가족,ailə
217,Großvater::N,할아버지,baba
218,Großmutter::N,할머니,nənə
219,Eltern::N,어버오,valideyn
220,Vater::N,아버지,ata
221,Mutter::N,어머니,ana
222,Sohn::N,아들,oğul
223,Tochter::N,딸기,qız
224,Bruder::N,형제,qardaş
225,Schwester::N,누이,bacı
226,Onkel::N,백부,əmi
227,Onkel::N,백부,dayı
228,Tante::N,아주머니,bibi
229,Ehemann::N,남편,ər
230,Ehefrau::N,아내,arvad
231,Freude::N,기쁨,nəşə
232,Freude::N,기쁨,sevinc
233,Gelächter::N,웃음,gülüş
234,Gelächter::N,웃음,qəhqəhə
235,Glück::N,즐거움,səadət
236,Glück::N,즐거움,xoşbəxtlik
237,Kummer::N,슬픔,qəm
238,Kummer::N,슬픔,kədər
239,Wunsch::N,소망,arzu
240,Geist::N,할기,ruh
241,Gedanke::N,상념,fikir
242,Gedanke::N,상념,düşüncə
243,Gedächtnis::N,기억,xatir
244,Gedächtnis::N,기억,hafizə
245,Verstand::N,분별,ağıl
246,Verstand::N,지능,ağıl
247,Sinn::N,센스,məna
248,Grund::N,까닭,səbəb
249,Wahrheit::N,참,haqq
250,Wahrheit::N,참,doğruluq
251,Wahrheit::N,진실,haqq
252,Wahrheit::N,진실,doğruluq
253,Gespräch::N,대화,söhbət
254,Gespräch::N,대화,qonuşma
255,Märchen::N,동화,nağıl
256,Erzählung::N,이야기,hekayə
257,Neuigkeit::N,뉴스,xəbər
258,Neuigkeit::N,뉴스,yenilik
259,Name::N,이름,ad
260,Rätsel::N,수수께끼,tapmaca
261,Rede::N,연설,nitq
262,Sprache::N,말,dil
263,Stimme::N,목소리,səs
264,Wort::N,낱말,söz
265,Wort::N,낱말,kəlmə
266,Zeichen::N,신호,nişan
267,Ruf::N,부름,çığırtı
268,Lärm::N,소동,gurultu
269,Laut::N,음성,səs
270,Ton::N,목소리,ton
271,Lied::N,노래,mahnı
272,Ruhe::N,쉼,sakitlik
273,Leute::N,사람들,xalq
274,Volk::N,국중,millət
275,Arbeit::N,근로,iş
276,Arbeit::N,근로,əmək
277,Arbeit::N,너무,iş
278,Arbeit::N,너무,əmək
279,Gast::N,손님,qonaq
280,Gast::N,손님,müsafir
281,Geschenk::N,행하,hədiyyə
282,Spiel::N,무리,oyun
283,Spiel::N,무리,tamaşa
284,Gesellschaft::N,교제,cəmiyyet
285,Hilfe::N,거들음,kömək
286,Hilfe::N,거들음,yardım
287,Hilfe::N,보좌,kömək
288,Hilfe::N,보좌,yardım
289,Freund::N,친구,dost
290,Kamerad::N,동실자,yoldaş
291,Angelegenheit::N,용무,iş
292,Anzahl::N,어떤,say
293,Anzahl::N,수,say
294,Art::N,정류,çeşid
295,Stück::N,일부분,dənə
296,Stück::N,일부분,parça
297,Teil::N,몱,qisim
298,Teil::N,구훠,qisim
299,Hälfte::N,2분의,yarım
300,Kreis::N,고리,dairə
301,Kreuz::N,열십자,xaç
302,Linie::N,선,xətt
303,Strich::N,스침,cızıq
304,Abstand::N,거리,məsafə
305,Entfernung::N,거리,məsafə
306,Entfernung::N,거리,uzaqlıq
307,Gegend::N,곳,bölgə
308,Gegend::N,부금,bölgə
309,Platz::N,장소,yer
310,Ort::N,장소,yer
311,Seite::N,옆면,yan
312,Seite::N,옆면,tərəf
313,Mitte::N,궁간,orta
314,Gegenstand::N,항목,şey
315,Sache::N,뭉에,şey
316,Rand::N,가,kənar
317,Kante::N,귀퉁,tiyə
318,Kante::N,귀퉁,kənar
319,Ecke::N,구석,bucaq
320,Spitze::N,끝,uc
321,Spitze::N,참단,uc
322,Ende::N,말당,son
323,Ende::N,말당,axır
324,Loch::N,빙옷,deşik
325,Winkel::N,각도,guşə
326,Muster::N,본,ülgü
327,Muster::N,견복,ülgü
328,Größe::N,신장,böyüklük
329,Länge::N,길이긺,uzunluq
330,Höhe::N,높이,yüksəklik
331,Gewicht::N,추,çəki
332,Gewicht::N,추,ağırlıq
333,Menge::N,수양,miqdar
334,Haufen::N,퇴적,yığın
335,Reihe::N,열,səf
336,Reihe::N,열,sıra
337,Boot::N,보트,qayıq
338,Ruder::N,노,kürək
339,Schlitten::N,썰매,kirşə
340,Ski::N,스키,xizək
341,Lagerfeuer::N,캠프의 모닥불,düşərgə tonqalı
342,Last::N,무거운짐,yük
343,Gang::N,걸음,yeriş
344,Schritt::N,보조,addım
345,Norden::N,북쪽 ,şimal
346,Süden::N,남쪽,cənub
347,Westen::N,서쪽,qərb
348,Osten::N,동쪽,şərq
349,Holz::N,목재,ağac
350,Holz::N,목재,taxta
351,Brett::N,마루널,taxta
352,Platte::N,탤,lövhə
353,Platte::N,금속판,lövhə
354,Stütze::N,버팀목,dayaq
355,Stütze::N,버팀목,dəstək
356,Stange::N,장대,şüvül
357,Stock::N,막대기,dəyənək
358,Stab::N,작대기,əsa
359,Stab::N,작대기,şüvül
360,Rohr::N,갈대,boru
361,Rohr::N,갈대,truba
362,Haus::N,집,ev
363,Heim::N,집,ev
364,Ofen::N,아궁이,peç
365,Ofen::N,아궁이,soba
366,Fußboden::N,마루,döşəmə
367,Tisch::N,탁자,masa
368,Stuhl::N,의자,stul
369,Wiege::N,발상지,beşik
370,Bett::N,침대,yataq
371,Regal::N,서가,rəf
372,Kiste::N,짐궤,yeşik
373,Kiste::N,짐궤,sandıq
374,Fenster::N,눔,pəncərə
375,Tür::N,문,qapı
376,Tor::N,대문,darvaza
377,Zaun::N,담장,çəpər
378,Dach::N,지붕,dam
379,Leiter::N,사닥다리,nərdivan
380,Besen::N,비,süpürgə
381,Spaten::N,가래,kürək
382,Schaufel::N,삽,kürək
383,Gabel::N,갈래,çəngəl
384,Löffel::N,숟가락,qaşıq
385,Messer::N,나이프,bıçaq
386,Nagel::N,발툽,mıx
387,Netz::N,그물,tor
388,Haken::N,갈고리,çəngəl
389,Griff::N,움켜쥠,qulp
390,Griff::N,움켜쥠,tutacaq
391,Schloss::N,자물쇠,qıfıl
392,Bild::N,그림,rəsm
393,Figur::N,몸메,şəkil
394,Figur::N,몸메,heykəl
395,Puppe::N,인형,kukla
396,Puppe::N,인형,gəlincik
397,Beutel::N,클,kisə
398,Beutel::N,클,torba
399,Bündel::N,자근다발,bağlama
400,Tasche::N,가방,çanta
401,Eimer::N,동이,vedrə
402,Eimer::N,동이,çəllək
403,Deckel::N,뚜껑,qapaq
404,Geschirr::N,식시,qab-qazan
405,Sack::N,조갑,çuval
406,Tasse::N,차잔,fincan
407,Topf::N,단지,qazan
408,Kessel::N,주전자,qazan
409,Essen::N,먹기,yemək
410,Nahrung::N,식료,qida
411,Speise::N,음식물,xörək
412,Fleisch::N,고기,ət
413,Getreide::N,곡물,taxıl
414,Brei::N,젤리,aş
415,Brei::N,젤리,sıyıq
416,Brot::N,빵,çörək
417,Scheibe::N,원반,dilim
418,Fett::N,기름,yağ
419,Butter::N,버터,kərə yağı
420,Öl::N,올리브유,yağ
421,Salz::N,소금,duz
422,Suppe::N,국,şorba
423,Suppe::N,수프,şorba
424,Honig::N,감미,bal
425,Milch::N,유즙,süd
426,Tee::N,차,çay
427,Leder::N,가죽,dəri
428,Wolle::N,양털,yun
429,Stoff::N,패료,qumaş
430,Nadel::N,바늘,iynə
431,Faden::N,콘실,sap
432,Knopf::N,단추,düymə
433,Knoten::N,곁절,düyün
434,Farbe::N,색,boya
435,Kleidung::N,옷입기,geyim
436,Hemd::N,속옷,köynək
437,Kragen::N,깃,yaxa
438,Ärmel::N,소매,qol
439,Hose::N,바지,şalvar
440,Gürtel::N,밴드,kəmər
441,Mütze::N,모자,şapka
442,Schuh::N,구두,tufli
443,Schuh::N,구두,ayaqqabı
444,Stiefel::N,장화,çəkmə
445,Ring::N,고리,üzük
446,Band::N,리본,lent
447,Kamm::N,빗,daraq
448,Spiegel::N,거울,güzgü
449,Riemen::N,가죽끈,qayış
450,Schnur::N,밧줄,ip
451,Leine::N,고삐줄,kəmsik
452,Decke::N,이부자리,ədyal
453,Decke::N,이부자리,yorğan
454,Kissen::N,깔개,yastıq
455,Tuch::N,천,şarf
456,Tuch::N,천,kaşne
457,Handtuch::N,수건,dəsmal
458,Kraft::N,세력,güc
459,Stärke::N,힘,qüvvət
460,Gesundheit::N,위생,sağlamlıq
461,Krankheit::N,병,xəstəlik
462,Schmerz::N,아픔고통,ağrı
463,Schmerz::N,아픔고통,sancı
464,Wunde::N,상처,yara
465,Fieber::N,열별,isitmə
466,Fieber::N,열별,qızdırma
467,Arznei::N,약,ilaç
468,Arznei::N,약,dərman
469,Brücke::N,교량,körpü
470,Brunnen::N,원천,quyu
471,Weide::N,목장,otlaq
472,Pfad::N,좁은길,cığır
473,Weg::N,길,yol
474,Straße::N,길,küçə
475,Dorf::N,촌,kənd
476,Dorf::N,촌락,kənd
477,Stadt::N,도시,şəhər
478,Brief::N,서한,məktub
479,Buch::N,책,kitab
480,Buchstabe::N,문자,hərf
481,Zeitung::N,신문,qəzet
482,Leben::N,삶,həyat
483,Tod::N,죽음,ölüm
484,Grab::N,무덤,qəbir
485,Kirche::N,교회,kilsə
486,Sünde::N,부정,günah
487,Gott::N,하느님,tanrı
488,Arbeiter::N,일하는사람,işçi
489,Chef::N,사장,şef
490,Chef::N,사장,rəis
491,Meister::N,명인,usta
492,Meister::N,대가,usta
493,Arzt::N,의사,həkim
494,Arzt::N,의사,doktor
495,Lehrer::N,교사,müəllim
496,Geld::N,돈,pul
497,Geschäft::N,일,ticarət
498,Laden::N,가게,dükan
499,Preis::N,가격,qiymət
500,Ware::N,상품,mal
501,Nutzen::N,이익,fayda
502,Reichtum::N,많음,zənginlik
503,Welt::N,세상,aləm
504,Welt::N,세상,dünya
505,Land::N,지방,ölkə
506,Staat::N,국가,dövlət
507,König::N,국왕,kral
508,König::N,국왕,məlik
509,Macht::N,힘,qüdrət
510,Grenze::N,국경,hüdud
511,Grenze::N,국경,sərhət
512,Krieg::N,전쟁,hərb
513,Krieg::N,전쟁,müharibə
514,Feind::N,적,düşmən
515,Gewalt::N,권력,cəbr
516,Kampf::N,전투,savaş
517,Bogen[Waffe]::N,활,yay
518,Pfeil::N,화살,ox
519,Gewehr::N,무기,tüfəng
520,Fehler::N,오류,xəta
521,Lüge::N,거짓말,yalan
522,Schaden::N,손상,ziyan
523,Unglück::N,불행,bəla
524,Schuld::N,부채,təqsir
525,Alter::N,연령,yaş
526,Schluss::N,마감,son
527,Zeit::N,때,vaxt
528,Zeit::N,때,zaman
529,Zeit::N,시간,vaxt
530,Zeit::N,시간,zaman
531,Tag::N,하루,gün
532,Morgen::N,이침,sabah
533,Mittag::N,대낮,günorta
534,Abend::N,저녁,axşam
535,Nacht::N,밤,gecə
536,Woche::N,근무일,həftə
537,Monat::N,달,ay
538,Jahr::N,해,il
539,Frühling::N,봄,yaz
540,Frühling::N,봄,bahar
541,Sommer::N,여름,yay
542,Herbst::N,가을,payız
543,Winter::N,겨울,qış
544,Januar::N,일월,Janvar
545,Februar::N,이월,Fevral
546,März::N,삼월,Mart
547,April::N,사월,Aprel
548,Mai::N,오월,May
549,Juni::N,유월,İyun
550,Juli::N,칠월,İyul
551,August::N,팔월,Avqust
552,September::N,구월,Sentyabr
553,Oktober::N,시월,Oktyabr
554,November::N,십일월,Noyabr
555,Dezember::N,십이월,Dekabr
556,Montag::N,월요일,bazar ertəsi
557,Dienstag::N,화요일,çərşənbə axşamı
558,Mittwoch::N,수요일,çərşənbə
559,Donnerstag::N,모교일,cüme axşamı
560,Freitag::N,그묘일,cüme
561,Samstag::N,토요일,şənbə
562,Sonntag::N,일요일,bazar
563,groß::A,큰,böyük
564,klein::A,자근,kiçik
565,lang::A,긴,uzun
566,kurz::A,짧은,qısa
567,breit::A,넓은,enli
568,breit::A,넓은,geniş
569,schmal::A,좁은,dar
570,dicht::A,농밀한,sıx
571,dick[Gegenstand]::A,두꺼운,qalın
572,dünn::A,얇은,nazik
573,fein::A,미세한,incə
574,fest::A,굳은,bərk
575,fest::A,굳은,möhkəm
576,flach::A,얕은,düz
577,glatt::A,반들반들한,hamar
578,hart::A,굳은,sərt
579,weich::A,연한,yumşaq
580,rund::A,둥근,yuvarlaq
581,spitz::A,뾰족한,uclu
582,spitz::A,뾰족한,sivri
583,scharf::A,날카로운,kəskin
584,stumpf::A,무딘,küt
585,schwer::A,무거운,ağır
586,schön::A,멋진,gözəl
587,schön::A,멋진,gəşəng
588,heiß::A,뜨거운,isti
589,warm::A,따뜻한,ilıq
590,kalt::A,찬,soyuq
591,kühl::A,서늘한,sərin
592,frisch::A,신선한,təzə
593,feucht::A,축축한,nəm
594,nass::A,젖은,yaş
595,trocken::A,마른,quru
596,voll::A,완전한,dolu
597,leer::A,빈,boş
598,offen::A,열린,açıq
599,geschlossen::A,닫힌,qapalı
600,sauber::A,깨끗한,təmiz
601,schmutzig::A,더러운,kirli
602,roh::A,날게잇의,çiy
603,reif::A,이근,yetişmiş
604,lecker::A,맛있는,dadlı
605,lecker::A,맛있는,ləzzətli
606,süß::A,단,şirin
607,bitter::A,찌르는듯한,acı
608,sauer::A,산성의,turş
609,hell::A,밝은,aydın
610,dunkel::A,어두운,qaranlıq
611,schwarz::A,검은,qara
612,weiß::A,하얀,ağ
613,rot::A,붉은,qırmızı
614,gelb::A,황색,sarı
615,blau::A,푸른,göy
616,blau::A,푸른,mavi
617,grün::A,녹색의,yaşıl
618,grau::A,회색의,boz
619,bunt::A,알록달록한,əlvan
620,bunt::A,알록달록한,rəngli
621,billig::A,싼,ucuz
622,teuer::A,값비산,bahalı
623,wertvoll::A,가치가많은,qiymətli
624,blind::A,눈먼,kor
625,taub::A,무감간한,kar
626,kräftig::A,강장한,güclü
627,stark::A,강한,qüvvətli
628,schwach::A,약한,zəif
629,schwach::A,약한,gücsüz
630,fett::A,실찐,şişman
631,schlank::A,호리호리한,zərif
632,hübsch::A,예쁜,göyçək
633,böse::A,나쁜,fəna
634,dumm::A,어리석은,axmaq
635,faul::A,너덜너덜한,tənbəl
636,fleißig::A,근면한,çalışqan
637,geizig::A,인색한,xəsis
638,geschickt::A,교묘한,bacarıqlı
639,lieb::A,친애하는,əziz
640,lieb::A,친애하는,sevimli
641,lustig::A,유쾌한,məzəli
642,lustig::A,유쾌한,gülməli
643,sanft::A,온화한,mülayim
644,hungrig::A,배고픈,ac
645,krank::A,병든,xəstə
646,nackt::A,벌거벗은,çılpaq
647,traurig::A,슬픈,qəmgin
648,traurig::A,슬픈,kədərli
649,lebendig::A,살아있는,canlı
650,gut::A,좋은,yaxşı
651,schlecht::A,나쁜,pis
652,richtig::A,바른,doğru
653,schlimm::A,못된,fəna
654,wahr::A,참된,gərçək
655,alt::A,늙은,əski
656,alt::A,늙은,köhnə
657,neu::A,새,yeni
658,ehemalig::A,전의,əvvəlki
659,alt[Lebewesen]::A,낡은,qoca
660,jung::A,젊은,gənc
661,arm::A,가난한,kasıb
662,arm::A,가난한,yoxsul
663,reich::A,풍부한,zəngin
664,bekannt::A,저명한,tanış
665,berühmt::A,유명한,məşhur
666,fremd::A,타처이,yad
667,verschieden::A,따른,dürlü
668,nah::A,가까운,yaxın
669,fern::A,먼,uzaq
670,linker::A,왼쭉의,sol
671,rechter::A,오른쪽의,sağ
672,anderer::A,다른,başqa
673,erster::A,첫째,birinci
674,zweiter::A,둘째,ikinci
675,dritter::A,셋째,üçüncü
676,letzter::A,의후자의,sonuncu
677,letzter::A,의후자의,axırıncı
678,allein::ADV,훌로,tək
679,allein::ADV,훌로,yalqız
680,auf einmal::ADV,갑자기,birdən
681,zusammen::ADV,모아서,birlikdə
682,lange::ADV,오래,uzun
683,plötzlich::ADV,둘연한,qəfildən
684,sofort::ADV,즉시,həmən
685,sofort::ADV,즉시,dərhal
686,später::ADV,보다늦은,sonra
687,jetzt::ADV,목하,indi
688,heute::ADV,오늘,bugün
689,morgen::ADV,내일,sabah
690,bald::ADV,곱,yaxında
691,bald::ADV,곱,tezliklə
692,dann::ADV,그경우에,onda
693,gestern::ADV,어제,dünən
694,einst::ADV,옛날에,əvvəllər
695,damals::ADV,그때에,o vaxt
696,danach::ADV,그 뒤에,sonra
697,vorher::ADV,미리,qabaqcadan
698,zuerst::ADV,최초로,əvvəl
699,einmal::ADV,한번,bir dəfə
700,manchmal::ADV,땓대로,hərdənbir
701,oft::ADV,땓대로,tez-tez
702,oft::ADV,땓대로,çox vaxt
703,immer::ADV,늘,daimi
704,immer::ADV,늘,həmişə
705,niemals::ADV,결코...(하지)않다,əsla
706,niemals::ADV,결코...(하지)않다,heç bir zaman
707,hier::ADV,여기,bura
708,hier::ADV,여기,burada
709,hierhin::ADV,여기로,buraya
710,dort::ADV,거기,ora
711,dort::ADV,거기,orada
712,dorthin::ADV,저기예,oraya
713,geradeaus::ADV,곧장,düz
714,vorwärts::ADV,앞으로,irəli
715,rückwärts::ADV,뒤로,geri
716,zurück::ADV,제자리로,geriyə
717,unten::ADV,아래에,aşağıda
718,hinab::ADV,아래쪽으로,aşağı
719,oben::ADV,위에,yuxarıda
720,hinauf::ADV,위쪽으로,yuxarı
721,überall::ADV,도처에,hər yerdə
722,nicht::ADV,안,-ma-
723,ein wenig::ADV,적음,bir az
724,kaum::ADV,가의,güclə
725,sehr::ADV,자주,çox
726,so::ADV,그와같이,belə
727,noch::ADV,아직,hələ
728,nur::ADV,다만,yalnız
729,schon::ADV,이미,artıq
730,wieder::ADV,다시,yenə
731,vergebens::ADV,헛되이,boş yerə
732,vor::PRP,앞에,önündə
733,hinter::PRP,뒤에,arxasında
734,unter::PRP,잍에,altında
735,durch::PRP,통고하여,içindən
736,neben::PRP,와나란히,yanında
737,zwischen::PRP,의사이로,arasında
738,wegen::PRP,때문에,üçün
739,wegen::PRP,때문에,ötəri
740,dies::PRN,이,bu
741,das::PRN,저,o
742,alles::PRN,모든것,hər şey
743,ich::PRN,나,mən
744,du::PRN,너,sən
745,er::PRN,그,o
746,wir::PRN,우리,biz
747,ihr::PRN,너희들,siz
748,sie::PRN,그들,onlar
749,was::FPRN,뭣,nə
750,wer::FPRN,누구,kim
751,wo::FADV,어디,harada
752,wohin::FADV,어디로,haraya
753,wie::FADV,어떻게,necə
754,warum::FADV,왜,niyə
755,warum::FADV,왜,nə üçün
756,wieviel::FNUM,얼마만큰,neçə
757,wieviel::FNUM,얼마만큰,nə qədər
758,eins::NUM,하나,bir
759,zwei::NUM,둘,iki
760,drei::NUM,셋,üç
761,vier::NUM,넷,dörd
762,fünf::NUM,다섯,beş
763,sechs::NUM,여섯,altı
764,sieben::NUM,일곱,yeddi
765,acht::NUM,여덟,səkkiz
766,neun::NUM,아홉,doqquz
767,zehn::NUM,열,on
768,elf::NUM,열하나,on bir
769,zwölf::NUM,열둘,on iki
770,zwanzig::NUM,스물,iyirmi
771,dreißig::NUM,서름,otuz
772,vierzig::NUM,마흔,qırx
773,fünfzig::NUM,숸,əlli
774,sechzig::NUM,에순,altmış
775,siebzig::NUM,일흔,yetmiş
776,achtzig::NUM,여든,səksən
777,neunzig::NUM,아흔,doxsan
778,hundert::NUM,백,yüz
779,tausend::NUM,천,min
780,und::CNJ,와,və
781,oder::CNJ,아니면,ya
782,stehen::V,서다,durmaq
783,sitzen::V,앉다,oturmaq
784,liegen::V,눕다,uzanmaq
785,hängen::V,달다,asılmaq
786,werden::V,되다,olmaq
787,passieren::V,지장옶다,olmaq
788,passieren::V,지장옶다,baş vermək
789,beginnen::V,시작되다,başlamaq
790,enden::V,큳내다,bitmək
791,wechseln::V,병경하다,dəyişmək
792,aufgehen[Sonne]::V,뜨다,doğmaq
793,untergehen[Sonne]::V,지다,batmaq
794,scheinen[Sonne]::V,빛나다,parlamaq
795,donnern::V,천둥치다,guruldamaq
796,wehen::V,풀다,əsmək
797,strömen::V,흐르다,axmaq
798,fließen::V,흐르다,axmaq
799,sich drehen::V,돌다,dönmək
800,schwanken::V,동요하다,yellənmək
801,schwingen::V,흔들다,yellənmək
802,fallen::V,떨어지다,düşmek
803,brennen::V,타다,yanmaq
804,rauchen::V,김이나다,tüstüləmək
805,regnen::V,비가오다,yağmaq
806,gefrieren::V,얼다,donmaq
807,tauen::V,녹다,ərimək
808,schmelzen::V,녹다,ərimək
809,trocknen::V,홈치다,qurumaq
810,sieden::V,끓다,qaynamaq
811,faulen::V,부패하다,çürümək
812,verfaulen::V,썩다,çürümək
813,reißen::V,지바찢다,yırtılmaq
814,versinken::V,가라앉다,batmaq
815,vergehen::V,지나가다,ötmək
816,erscheinen::V,나타나다,görünmək
817,verschwinden::V,사라지다,yox olmaq
818,sinken::V,가라앉다,enmək
