,Concept_ID,cy,kk
122,Bach::N,afonig,жылға
123,Bach::N,cornant,жылға
124,Fluss::N,afon,өзен
125,Ufer::N,glan,жиек
126,Küste::N,traeth,жиегі
127,Küste::N,traeth,жағалау
128,Küste::N,arfordir,жиегі
129,Küste::N,arfordir,жағалау
130,Festland::N,tir,құрылық
131,Meer::N,môr,теңіз
132,Bucht::N,bae,шығанақ
133,Insel::N,ynys,арал
134,Blume::N,blodyn,гүл
135,Gras::N,glaswellt,от
136,Wurzel::N,gwreiddyn,түбір
137,Baum::N,coeden,ағаш
138,Baum::N,coeden,дарақ
139,Stamm::N,colfen,сояу
140,Stamm::N,colfen,оқпан
141,Stamm::N,boncyff,сояу
142,Stamm::N,boncyff,оқпан
143,Rinde::N,rhisgl,қабық
144,Ast::N,cangen,бұтақ
145,Zweig::N,cainc,шыбық
146,Zweig::N,cangen,шыбық
147,Blatt::N,deilen,жапырақ
148,Birke::N,bedwen,қайың
149,Kiefer[Baum]::N,pinwydden,қарағай
150,Weide[Baum]::N,helygen,тал
151,Tanne::N,ffynidwydden,шырша
152,Horn::N,corn,мүйіз
153,Feder::N,plufyn,қаламұш
154,Fell::N,ffwr,тері
155,Flügel::N,adain,қанат
156,Klaue::N,crafanc,тырнақ
157,Kralle::N,ewin,аяқ
158,Schwanz::N,cwt,құйрық
159,Schwanz::N,cynffon,құйрық
160,Ei::N,wy,жұмыртқа
161,Nest::N,nyth,ұя
162,Bau::N,ffau,жатақ
163,Tier::N,anifail,айуан
164,Tier::N,anifail,жануар
165,Herde::N,praidd,пада
166,Herde::N,diadell,пада
167,Kuh::N,buwch,сиыр
168,Bulle::N,tarw,өгіз
169,Pferd::N,ceffyl,жылқы
170,Schaf::N,dafad,қой
171,Schwein::N,mochyn,шошқа
172,Hund::N,ci,ит
173,Katze::N,cath,мысық
174,Bär::N,arth,аю
175,Eichhörnchen::N,gwiwer,тиін
176,Elch::N,elc,бұғы
177,Fuchs::N,cadno,түлкі
178,Hase::N,ysgyfarnog,қоян
179,Maus::N,llygoden,қаптесер
180,Wolf::N,blaidd,бөрі
181,Wolf::N,blaidd,қасқыр
182,Vogel::N,aderyn,құс
183,Schwarm::N,haid,топ
184,Schwarm::N,haid,үйір
185,Huhn::N,cyw,тауық
186,Huhn::N,cyw,мекиен
187,Hahn::N,ceiliog,әтеш
188,Hahn::N,ceiliog,қораз
189,Gans::N,gŵydd,қаз
190,Adler::N,eryr,бүркіт
191,Ente::N,hwyad,үйрек
192,Eule::N,tylluan,жапалақ
193,Kranich::N,garan,тырна
194,Kranich::N,crychydd,тырна
195,Krähe::N,brân,қарға
196,Kuckuck::N,cog,көкек
197,Kuckuck::N,cwcw,көкек
198,Schwan::N,alarch,аққу
199,Fisch::N,pysgod,балық
200,Barsch::N,draenog,алабұға
201,Hecht::N,penhwyad,шортан
202,Schlange[Tier]::N,neidr,жылан
203,Wurm::N,abwydyn,шұбалшаң
204,Wurm::N,pryf genwair,шұбалшаң
205,Spinne::N,cor,өрмекші
206,Spinne::N,pryf copyn,өрмекші
207,Ameise::N,morgrugyn,қүмырска
208,Laus::N,lleuen,бит
209,Mücke::N,gwybedyn,маса
210,Fliege::N,cleren,шыбын
211,Schmetterling::N,glöyn byw,көбелек
212,Schmetterling::N,iâr fach yr haf,көбелек
213,Beere::N,aeronen,жидек
214,Apfel::N,afal,алма
215,Pilz::N,madarch,қозықұйрық
216,Pilz::N,madarch,саңыраукулақ
217,Zwiebel::N,nionyn,жуа
218,Zwiebel::N,winwnsyn,жуа
219,Saat::N,had,тұқым
220,Korn::N,grawn,дән
221,Heu::N,gwair,шөп
222,Schale::N,croen,қабық
223,Schale::N,croen,қабығы
224,Schale::N,plisgyn,қабық
225,Schale::N,plisgyn,қабығы
226,Grube::N,pwll,ор
227,Grube::N,pydew,ор
228,Falle::N,magl,дұзақ
229,Falle::N,magl,қақпан
230,Schlinge::N,cwlwm rhedeg,ілмек
231,Spur::N,ôl,із
232,Asche::N,lludw,күл
233,Dreck::N,baw,былғаныш
234,Dreck::N,budreddi,былғаныш
235,Eisen::N,haearn,темір
236,Gold::N,aur,алтын
237,Silber::N,arian,күміс
238,Kohle::N,glo,көмір
239,Glas::N,gwydr,шыны
240,Lehm::N,clai,балшық
241,Sand::N,tywod,құм
242,Mensch::N,dyn,адам
243,Mann::N,dyn,еркек
244,Mann::N,dyn,ер адам
245,Frau::N,merch,бике
246,Frau::N,merch,қатын
247,Frau::N,gwraig,бике
248,Frau::N,gwraig,қатын
249,Kind::N,plentyn,бала
250,Kind::N,plentyn,перзент
251,Junge::N,hogyn,бала
252,Junge::N,hogyn,ер бала
253,Junge::N,bachgen,бала
254,Junge::N,bachgen,ер бала
255,Mädchen::N,merch,қыз
256,Mädchen::N,geneth,қыз
257,Familie::N,teulu,жанұя
258,Familie::N,tylwyth,жанұя
259,Großvater::N,taid,ата
260,Großvater::N,tad-cu,ата
261,Großmutter::N,nain,әже
262,Großmutter::N,nain,әжей
263,Großmutter::N,mam-gu,әже
264,Großmutter::N,mam-gu,әжей
265,Eltern::N,rhieni,ата-аналар
266,Vater::N,tad,әке
267,Mutter::N,mam,ана
268,Sohn::N,mab,ұл
269,Tochter::N,merch,қызым
270,Bruder::N,brawd,бауырым
271,Schwester::N,chwaer,әпке
272,Onkel::N,ewythr,көке
273,Tante::N,modryb,тәте
274,Ehemann::N,gŵr,ер
275,Ehefrau::N,gwraig,зайып
276,Freude::N,gorfoledd,қуаныш
277,Freude::N,gorfoledd,сүйініш
278,Freude::N,gorfoledd,шат-думан
279,Freude::N,gorfoledd,қуаныштылық
280,Gelächter::N,chwerthin,күлу
281,Glück::N,hapusrwydd,бақыт
282,Glück::N,hapusrwydd,бақыттылық
283,Kummer::N,galar,аза
284,Kummer::N,galar,қайғы
285,Kummer::N,galar,қасырет
286,Wunsch::N,dymuniad,мүдде
287,Lust::N,chwant,тәбет
288,Lust::N,chwant,ынтызар
289,Lust::N,chwant,құштарлық
290,Geist::N,ysbryd,рух
291,Gedanke::N,meddwl,ой
292,Gedächtnis::N,cof,ес
293,Gedächtnis::N,cof,жады
294,Gedächtnis::N,cof,ақыл-ес
295,Verstand::N,meddwl,ақыл
296,Verstand::N,meddwl,парасат
297,Sinn::N,ystyr,мән
298,Sinn::N,ystyr,маныз
299,Sinn::N,ystyr,мағына
300,Sinn::N,ystyr,мән-мағына
301,Grund::N,achos,себеп
302,Grund::N,rheswm,себеп
303,Wahrheit::N,gwir,рас
304,Wahrheit::N,gwirionedd,рас
305,Gespräch::N,sgwrs,әңгіме
306,Märchen::N,chwedl werin,ертеп
307,Märchen::N,chwedl werin,ертек
308,Erzählung::N,stori,әңгіме
309,Nachricht::N,neges,хабар
310,Neuigkeit::N,newydd,жаңалық
311,Name::N,enw,ат
312,Name::N,enw,атау
313,Rätsel::N,pos,жұмбақ
314,Rede::N,araith,сөз
315,Sprache::N,iaith,тіл
316,Stimme::N,llais,үн
317,Stimme::N,llais,әуен
318,Stimme::N,llais,дауыс
319,Wort::N,gair,сөз
320,Zeichen::N,arwydd,ишара
321,Ruf::N,galwad,айғай
322,Lärm::N,trwst,айғай-шу
323,Lärm::N,trwst,айғай-ұйғай
324,Laut::N,sain,дыбыс
325,Laut::N,sain,дауыс
326,Ton::N,tôn,әуен
327,Lied::N,cân,ән
328,Lied::N,cân,жыр
329,Lied::N,cân,ән-жыр
330,Ruhe::N,tawelwch,тыныштық
331,Leute::N,pobl,кісілер
332,Volk::N,pobl,халық
333,Arbeit::N,gwaith,еңбек
334,Gast::N,gwestai,қонақ
335,Gast::N,gwestai,мейман
336,Geschenk::N,rhodd,қадия
337,Geschenk::N,anrheg,қадия
338,Spiel::N,chwarae,ойын
339,Gesellschaft::N,cwmni,қауым
340,Gesellschaft::N,cwmni,жұртшылық
341,Hilfe::N,cymorth,жэрдем
342,Freund::N,cyfaill,дос
343,Kamerad::N,cydymaith,дос-жар
344,Angelegenheit::N,pwnc,жұмыс
345,Anzahl::N,cyfrif,сан
346,Anzahl::N,cyfrif,саны
347,Art::N,bath,түр
348,Stück::N,darn,тілім
349,Teil::N,rhan,үлес
350,Teil::N,rhan,бөлшек
351,Hälfte::N,hanner,жарты
352,Kreis::N,cylch,шеңбер
353,Kreuz::N,croes,крест
354,Linie::N,llinell,сызық
355,Strich::N,strôc,сызық
356,Strich::N,trawiad,сызық
357,Abstand::N,bwlch,ара
358,Abstand::N,bwlch,аралық
359,Abstand::N,pellter,ара
360,Abstand::N,pellter,аралық
361,Entfernung::N,pellter,аралық
362,Gegend::N,cylch,өңір
363,Platz::N,lle,орны
364,Ort::N,lle,орын
365,Seite::N,ochr,жақ
366,Seite::N,ochr,бүйір
367,Mitte::N,canol,ортасы
368,Gegenstand::N,eitem,зат
369,Gegenstand::N,eitem,нәрсе
370,Sache::N,peth,бұйым
371,Rand::N,cwr,шет
372,Rand::N,cwr,шеті
373,Rand::N,ymyl,шет
374,Rand::N,ymyl,шеті
375,Kante::N,min,қыр
376,Kante::N,min,қыры
377,Kante::N,ymyl,қыр
378,Kante::N,ymyl,қыры
379,Ecke::N,cornel,қыры
380,Ecke::N,cornel,бұрыш
381,Spitze::N,blaen,ұшы
382,Ende::N,pen,аяқ
383,Ende::N,pen,соңы
384,Loch::N,twll,тесік
385,Winkel::N,congl,мүйіс
386,Muster::N,patrwm,мәнер
387,Größe::N,maint,ауқым
388,Größe::N,maint,көлемдік
389,Größe::N,maintioli,ауқым
390,Größe::N,maintioli,көлемдік
391,Länge::N,hyd,бой
392,Länge::N,hyd,ұзындық
393,Höhe::N,uchder,жоғарылық
394,Höhe::N,uchder,биіктік
395,Gewicht::N,pwysau,салмақ
396,Menge::N,swm,мөлшер
397,Menge::N,maint,мөлшер
398,Haufen::N,pentwr,үйме
399,Haufen::N,pentwr,үйінді
400,Reihe::N,rhes,сап
401,Boot::N,cwch,қайық
402,Ruder::N,rhwyf,ескек
403,Schlitten::N,sled,шана
404,Schlitten::N,car llusg,шана
405,Ski::N,sgi,шаңғы
406,Lagerfeuer::N,coelcerth,алау
407,Last::N,llwyth,ауырлық
408,Last::N,llwyth,ауыр зат
409,Gang::N,tro,жүріс
410,Schritt::N,cam,адым
411,Norden::N,gogledd,солтүстік
412,Norden::N,gogledd,терістік
413,Süden::N,de,оңтүстік
414,Westen::N,gorllewin,батыс
415,Osten::N,dwyrain,күншығыс
416,Holz::N,pren,ағаш
417,Holz::N,pren,сүрек
418,Brett::N,bwrdd,тақта
419,Brett::N,astell,тақта
420,Platte::N,llech,тақта
421,Stütze::N,ateg,тіреу
422,Stütze::N,cynhalydd,тіреу
423,Stange::N,polyn,қада
424,Stock::N,ffon,сойыл
425,Stock::N,brigyn,сойыл
426,Stab::N,ffon,сырық
427,Rohr::N,pibell,құбыр
428,Haus::N,tŷ,үй
429,Heim::N,cartref,үйлі
430,Heim::N,cartref,шаңырақ
431,Ofen::N,stof,ошақ
432,Ofen::N,stof,пеш
433,Fußboden::N,llawr,еден
434,Tisch::N,bwrdd,үстел
435,Stuhl::N,cadair,орындық
436,Wiege::N,crud,бесік
437,Bett::N,gwely,кереует
438,Regal::N,silff,сөре
439,Kiste::N,bocs,жәшік
440,Kiste::N,blwch,жәшік
441,Fenster::N,ffenestr,терезе
442,Tür::N,drws,есік
443,Tor::N,porth,дарбаза
444,Zaun::N,ffens,дуал
445,Dach::N,to,шатыр
446,Leiter::N,ysgol,саты
447,Leiter::N,ysgol,басқыш
448,Besen::N,ysgub,сыпырғыш
449,Spaten::N,rhaw,күрек
450,Schaufel::N,rhaw,қалақ
451,Gabel::N,fforc,аша
452,Gabel::N,fforc,шанышқы
453,Löffel::N,llwy,қасық
454,Messer::N,cyllell,пышақ
455,Nagel::N,hoel,мық
456,Nagel::N,hoel,шеге
457,Netz::N,gwe,керегекөз
458,Netz::N,rhwyd,керегекөз
459,Haken::N,bach,ілмек
460,Griff::N,carn,сап
461,Griff::N,carn,тұтқа
462,Schloss::N,clo,құлып
463,Schloss::N,clo,бекіткіш
464,Bild::N,llun,сурет
465,Bild::N,pictiwr,сурет
466,Figur::N,ffigur,тұлға
467,Puppe::N,dol,қуыршақ
468,Beutel::N,cwd,қапшық
469,Bündel::N,bwndel,байлам
470,Bündel::N,coflaid,байлам
471,Tasche::N,cod,дорба
472,Eimer::N,bwced,шелек
473,Eimer::N,cunnog,шелек
474,Deckel::N,caead,жапқыш
475,Geschirr::N,llestri,ыдыс
476,Sack::N,sach,қап
477,Tasse::N,cwpan,шыныаяқ
478,Topf::N,pot,кәстрөл
479,Topf::N,crochan,кәстрөл
480,Kessel::N,tegell,қазан
481,Essen::N,pryd o fwyd,ас
482,Nahrung::N,bwyd,ас
483,Nahrung::N,bwyd,тамақ
484,Speise::N,saig,тағам
485,Fleisch::N,cig,ет
486,Getreide::N,ŷd,дәнді
487,Getreide::N,llafur,дәнді
488,Brei::N,uwd,ботқа
489,Brot::N,bara,күлше
490,Scheibe::N,tafell,тілім
491,Fett::N,saim,май
492,Fett::N,braster,май
493,Butter::N,ymenyn,май
494,Öl::N,olew,май
495,Salz::N,halen,тұз
496,Suppe::N,cawl,көже
497,Honig::N,mêl,бал
498,Milch::N,llaeth,сүт
499,Milch::N,llefrith,сүт
500,Tee::N,te,шай
501,Leder::N,lledr,көн
502,Wolle::N,gwlân,жүн
503,Stoff::N,lliain,мата
504,Stoff::N,lliain,кездеме
505,Stoff::N,brethyn,мата
506,Stoff::N,brethyn,кездеме
507,Nadel::N,nodwydd,ине
508,Faden::N,edau,жіп
509,Faden::N,edefyn,жіп
510,Knopf::N,botwm,түйме
511,Knoten::N,cwlwm,түйін
512,Farbe::N,paent,рең
513,Kleidung::N,dillad,киім
514,Kleidung::N,gwisgoedd,киім
515,Hemd::N,crys,жейде
516,Kragen::N,coler,жаға
517,Ärmel::N,llawes,жең
518,Hose::N,trowsus,шалбар
519,Gürtel::N,gwregys,белбеу
520,Mütze::N,cap,қалпақ
521,Schuh::N,esgid,кебіс
522,Stiefel::N,botasen,етік
523,Ring::N,modrwy,жүзік
524,Band::N,rhuban,таспа
525,Kamm::N,crib,тарақ
526,Spiegel::N,drych,айна
527,Riemen::N,strap,қайыс
528,Schnur::N,llinyn,жіп
529,Leine::N,tennyn,тізгін
530,Decke::N,blanced,көрпе
531,Decke::N,gwrthban,көрпе
532,Kissen::N,clustog,жастық
533,Kissen::N,gobennydd,жастық
534,Tuch::N,sgarff,орамал
535,Handtuch::N,tywel,сүлгі
536,Handtuch::N,lliain sychu,сүлгі
537,Kraft::N,grym,қуат
538,Kraft::N,grym,қарқын
539,Kraft::N,grym,әл-шама
540,Kraft::N,grym,әл-дәрмен
541,Stärke::N,nerth,әл
542,Stärke::N,nerth,күш
543,Stärke::N,cryfder,әл
544,Stärke::N,cryfder,күш
545,Gesundheit::N,iechyd,денсаулык
546,Krankheit::N,afiechyd,ауру
547,Krankheit::N,anhwylder,ауру
548,Schmerz::N,poen,ауру
549,Schmerz::N,gwayw,ауру
550,Wunde::N,clwyf,зақым
551,Wunde::N,clwyf,жарақат
552,Fieber::N,twymyn,безгек
553,Fieber::N,twymyn,қалтырау
554,Fieber::N,twymyn,қызу көтерілуі
555,Arznei::N,meddyginiaeth,дәрі
556,Arznei::N,meddyginiaeth,дәрі-дәрмек
557,Brücke::N,pont,көпір
558,Brunnen::N,ffynnon,құдық
559,Weide::N,porfa,өріс
560,Weide::N,porfa,жайылым
561,Pfad::N,llwybr,жол
562,Weg::N,ffordd,жол
563,Straße::N,heol,жол
564,Straße::N,ffordd,жол
565,Dorf::N,pentref,ауыл
566,Stadt::N,tref,қала
567,Stadt::N,tref,шаһар
568,Brief::N,llythyr,хат
569,Brief::N,llythyr,жазу
570,Buch::N,llyfr,кітап
571,Buchstabe::N,llythyren,әріп
572,Buchstabe::N,llythyren,қаріп
573,Zeitung::N,papur newydd,газет
574,Leben::N,bywyd,өмір
575,Leben::N,bywyd,тіршілік
576,Tod::N,marwolaeth,опат
577,Grab::N,bedd,мола
578,Grab::N,bedd,мазар
579,Kirche::N,eglwys,шіркеу
580,Sünde::N,pechod,күнә
581,Gott::N,duw,алла
582,Gott::N,duw,құдай
583,Gott::N,duw,тәңірі
584,Gott::N,duw,пәруардігер
585,Gott::N,duw,жаратқан тәңірі
586,Arbeiter::N,gweithiwr,жүмысшы
587,Chef::N,pennaeth,басшы
588,Chef::N,pennaeth,жұмыс басқарушысы
589,Meister::N,meistr,шебер
590,Meister::N,meistr,өнерпаз
591,Arzt::N,meddyg,дәрігер
592,Lehrer::N,athro,мұғалім
593,Geld::N,pres,пұл
594,Geld::N,arian,пұл
595,Geschäft::N,busnes,бизнес
596,Laden::N,siop,дүкен
597,Preis::N,pris,ақы
598,Preis::N,pris,құны
599,Preis::N,pris,нарық
600,Ware::N,nwydd,тауар
601,Nutzen::N,elw,пайда
602,Nutzen::N,budd,пайда
603,Reichtum::N,cyfoeth,бақ-дәулет
604,Welt::N,byd,әлем
605,Welt::N,byd,жиһан
606,Land::N,gwlad,аймақ
607,Staat::N,gwladwriaeth,мемлекет
608,König::N,brenin,патша
609,Macht::N,grym,өкімет
610,Macht::N,grym,қожалық
611,Macht::N,awdurdod,өкімет
612,Macht::N,awdurdod,қожалық
613,Grenze::N,ffin,шек
614,Grenze::N,goror,шек
615,Krieg::N,rhyfel,соғыс
616,Feind::N,gelyn,жау
617,Feind::N,gelyn,дұшпан
618,Gewalt::N,ffyrnigrwydd,зорлык
619,Gewalt::N,ffyrnigrwydd,зорлық-зомбылык
620,Kampf::N,brwydr,күрес
621,Kampf::N,brwydr,алыспақ
622,Bogen[Waffe]::N,bwa,саржа
623,Pfeil::N,saeth,жебе
624,Gewehr::N,dryll,қару
625,Fehler::N,gwall,әбес
626,Fehler::N,gwall,қаталық
627,Fehler::N,camgymeriad,әбес
628,Fehler::N,camgymeriad,қаталық
629,Lüge::N,celwydd,өтірік
630,Lüge::N,anwiredd,өтірік
631,Schaden::N,niwed,зиян
632,Schaden::N,niwed,зарар
633,Schaden::N,difrod,зиян
634,Schaden::N,difrod,зарар
635,Unglück::N,anffawd,пәле
636,Unglück::N,anffawd,қасырет
637,Unglück::N,anffawd,ауыртпалық
638,Schuld::N,bai,айыптылық
639,Alter::N,oed,жас
640,Alter::N,oed,жас шамасы
641,Schluss::N,diwedd,ада
642,Schluss::N,diwedd,бітуі
643,Zeit::N,amser,уақыт
644,Tag::N,dydd,күн
645,Tag::N,diwrnod,күн
646,Morgen::N,bore,таң
647,Morgen::N,bore,таңертең
648,Mittag::N,nawn,талтүс
649,Abend::N,noswaith,кеш
650,Nacht::N,nos,түн
651,Woche::N,wythnos,апта
652,Monat::N,mis,ай
653,Jahr::N,blwyddyn,жыл
654,Frühling::N,gwanwyn,көктем
655,Sommer::N,haf,жаз
656,Herbst::N,hydref,күз
657,Winter::N,gaeaf,қыс
658,Januar::N,Ionawr,каңтар
659,Februar::N,Chwefror,ақпан
660,März::N,Mawrth,наурыз
661,April::N,Ebrill,сәуір
662,Mai::N,Mai,мамыр
663,Juni::N,Mehefin,маусым
664,Juli::N,Gorffennaf,шілде
665,August::N,Awst,сүмбіле
666,August::N,Awst,тамыз
667,September::N,Medi,қыркүйек
668,Oktober::N,Hydref,ақырап
669,November::N,Tachwedd,қараша
670,Dezember::N,Rhagfyr,желтоқсан
671,Montag::N,dydd Llun,дүйсенбі
672,Dienstag::N,dydd Mawrth,сейсенбі
673,Mittwoch::N,dydd Mercher,сәрсенбі
674,Donnerstag::N,dydd Iau,бейсенбі
675,Freitag::N,dydd Gwener,жұма
676,Samstag::N,dydd Sadwrn,сенбі
677,Sonntag::N,dydd Sul,жексембі
678,groß::A,mawr,алпамсадай
679,klein::A,bach,кішкене
680,klein::A,bach,қарғадай
681,lang::A,hir,сопақ
682,lang::A,hir,сорайған
683,kurz::A,byr,кеспелтек
684,kurz::A,cwta,кеспелтек
685,breit::A,llydan,айдынды
686,schmal::A,cul,қысық
687,dicht::A,dwys,жиі
688,dick[Gegenstand]::A,trwchus,шомбал
689,dünn::A,tenau,жұқа
690,dünn::A,tenau,жіңішке
691,fein::A,main,қаңылтақ
692,fest::A,cadarn,берік
693,fest::A,cadarn,мызғымас
694,flach::A,gwastad,жалпак
695,glatt::A,llyfn,типыл
696,hart::A,caled,қатты
697,weich::A,meddal,жұмсақ
698,rund::A,crwn,домалақ
699,spitz::A,pigfain,үшкір
700,scharf::A,miniog,сүйрік
701,stumpf::A,pŵl,доғал
702,stumpf::A,pŵl,өтпейтін
703,schwer::A,trwm,салмақты
704,schön::A,teg,сұлу
705,schön::A,hardd,сұлу
706,schön::A,prydferth,сұлу
707,heiß::A,poeth,ыссы
708,warm::A,twym,жылы
709,warm::A,cynnes,жылы
710,kalt::A,oer,аязды
711,kühl::A,oeraidd,салқын
712,frisch::A,iach,таза
713,frisch::A,iach,жаңа
714,feucht::A,llaith,нам
715,feucht::A,llaith,дымқылды
716,nass::A,gwlyb,сулы
717,trocken::A,sych,құрғақ
718,voll::A,llawn,толы
719,leer::A,gwag,бос
720,offen::A,agored,ашып қойылған
721,geschlossen::A,caead,жабулы
722,geschlossen::A,caeëdig,жабулы
723,sauber::A,glân,дақсыз
724,sauber::A,glân,мұнтаздай
725,schmutzig::A,budr,айғыз
726,schmutzig::A,budr,сатпақ
727,schmutzig::A,budr,сатал-сатал
728,schmutzig::A,brwnt,айғыз
729,schmutzig::A,brwnt,сатпақ
730,schmutzig::A,brwnt,сатал-сатал
731,roh::A,amrwd,шикі
732,reif::A,aeddfed,піскен
733,lecker::A,blasus,дәмді
734,lecker::A,danteithiol,дәмді
735,süß::A,melys,тәтті
736,bitter::A,chwerw,ащы
737,sauer::A,sur,қышқыл
738,hell::A,disglair,жарық
739,hell::A,disglair,жарқын
740,dunkel::A,tywyll,қараңғы
741,schwarz::A,du,қара
742,weiß::A,gwyn,ақ
743,rot::A,coch,қызыл
744,gelb::A,melyn,сары
745,blau::A,glas,көк
746,grün::A,gwyrdd,жасыл
747,grau::A,llwyd,бозамық
748,bunt::A,lliwgar,алабажак
749,billig::A,rhad,арзан
750,teuer::A,drud,бағалы
751,wertvoll::A,gwerthfawr,құнды
752,wertvoll::A,gwerthfawr,қымбат
753,blind::A,dall,көзсіз
754,blind::A,dall,көр
755,blind::A,dall,көр_соқыр
756,taub::A,byddar,керең
757,taub::A,byddar,саңырау
758,kräftig::A,nerthol,қуатты
759,kräftig::A,nerthol,қарымды
760,kräftig::A,grymus,қуатты
761,kräftig::A,grymus,қарымды
762,stark::A,cryf,білекті
763,stark::A,cadarn,білекті
764,schwach::A,gwan,әлсіз
765,schwach::A,gwan,күшсіз
766,schwach::A,gwan,қайратсыз
767,fett::A,tew,семіз
768,schlank::A,main,ашаң
769,hübsch::A,tlws,ажарлы
770,hübsch::A,tlws,шырайлы
771,böse::A,drwg,өш
772,böse::A,drwg,сұм
773,böse::A,drwg,жауыз
774,dumm::A,twp,көкми
775,dumm::A,twp,ақымақ
776,dumm::A,twp,миы жоқ
777,faul::A,diog,жалқау
778,faul::A,diog,еріншек
779,fleißig::A,dyfal,ұқыпты
780,geizig::A,crintach,сараң
781,geizig::A,cybyddlyd,сараң
782,klug::A,deallus,жетік
783,klug::A,deallus,ақылды
784,geschickt::A,medrus,шебер
785,geschickt::A,deheuig,шебер
786,lieb::A,hoff,абзал
787,lieb::A,hoff,айналайын
788,lieb::A,annwyl,абзал
789,lieb::A,annwyl,айналайын
