,Concept_ID,kk,lez
98,Raureif::N,қырау,къирав
99,Regenbogen::N,кемпірқосақ,яргъируш
100,Donner::N,күн күркіреу,цавун ван
101,Strömung::N,ағын,
102,Tropfen::N,тамшы,стӏал
103,Schaum::N,көбік,каф
104,Schmutz::N,кір,чирк
105,Schmutz::N,кір,кьуруш
106,See::N,көл,вир
107,Sumpf::N,саз,уьлен
108,Moor::N,саз,
109,Wiese::N,шалғын,векь
110,Wald::N,орман,там
111,Hügel::N,төбе,кӏунтӏ
112,Hügel::N,белес,кӏунтӏ
113,Hügel::N,белес-белес,кӏунтӏ
114,Anhöhe::N,дөң,тепе
115,Anhöhe::N,дөң,гьуьндуьрвал
116,Anhöhe::N,адыр,тепе
117,Anhöhe::N,адыр,гьуьндуьрвал
118,Anhöhe::N,қырат,тепе
119,Anhöhe::N,қырат,гьуьндуьрвал
120,Berg::N,тау,дагъ
121,Gipfel::N,төбе,кӏукӏ
122,Höhle::N,үңгір,кьветӏ
123,Abhang::N,бауыр,гуьне
124,Quelle::N,қайнар,чешме
125,Bach::N,жылға,булах
126,Fluss::N,өзен,вацӏ
127,Ufer::N,жиек,къерех
128,Küste::N,жиегі,къерех
129,Küste::N,жағалау,къерех
130,Festland::N,құрылық,кьурамат
131,Meer::N,теңіз,гьуьл
132,Bucht::N,шығанақ,бухта
133,Insel::N,арал,остров
134,Blume::N,гүл,цуьк
135,Gras::N,от,хъач
136,Wurzel::N,түбір,дувул
137,Baum::N,ағаш,ттар
138,Baum::N,дарақ,ттар
139,Stamm::N,сояу,тан
140,Stamm::N,оқпан,тан
141,Rinde::N,қабық,чкал
142,Ast::N,бұтақ,тӏур
143,Zweig::N,шыбық,хел
144,Blatt::N,жапырақ,пеш
145,Birke::N,қайың,верх
146,Kiefer[Baum]::N,қарағай,шамагъаж
147,Weide[Baum]::N,тал,цӏвелин ттар
148,Tanne::N,шырша,ель
149,Horn::N,мүйіз,карч
150,Feder::N,қаламұш,цӏакул
151,Fell::N,тері,хам
152,Flügel::N,қанат,лув
153,Klaue::N,тырнақ,къармах
154,Kralle::N,аяқ,пац
155,Kralle::N,аяқ,тапас
156,Schwanz::N,құйрық,ттум
157,Ei::N,жұмыртқа,кака
158,Nest::N,ұя,муг
159,Bau::N,жатақ,тӏеквен
160,Tier::N,айуан,гьайван
161,Tier::N,жануар,гьайван
162,Herde::N,пада,суьруь
163,Kuh::N,сиыр,ккал
164,Bulle::N,өгіз,яц
165,Bulle::N,өгіз,бугъа
166,Pferd::N,жылқы,балкӏан
167,Schaf::N,қой,хеб
168,Schwein::N,шошқа,вак
169,Hund::N,ит,кицӏ
170,Katze::N,мысық,кац
171,Bär::N,аю,сев
172,Eichhörnchen::N,тиін,белка
173,Elch::N,бұғы,лось
174,Fuchs::N,түлкі,сикӏ
175,Hase::N,қоян,къуьр
176,Maus::N,қаптесер,кьиф
177,Wolf::N,бөрі,жанавур
178,Wolf::N,қасқыр,жанавур
179,Vogel::N,құс,луван ничхир
180,Schwarm::N,топ,луж
181,Schwarm::N,үйір,луж
182,Huhn::N,тауық,верч
183,Huhn::N,мекиен,верч
184,Hahn::N,әтеш,кӏек
185,Hahn::N,қораз,кӏек
186,Gans::N,қаз,къаз
187,Adler::N,бүркіт,лекь
188,Ente::N,үйрек,пӏатӏ
189,Eule::N,жапалақ,тӏиб
190,Kranich::N,тырна,дурна
191,Krähe::N,қарға,къаргъа
192,Kuckuck::N,көкек,кукупӏ
193,Schwan::N,аққу,къугь
194,Fisch::N,балық,гъед
195,Barsch::N,алабұға,окунь
196,Hecht::N,шортан,щука
197,Schlange[Tier]::N,жылан,илан
198,Schlange[Tier]::N,жылан,гъуьлягъ
199,Wurm::N,шұбалшаң,квак
200,Spinne::N,өрмекші,хуьшрекан
201,Ameise::N,қүмырска,цегв
202,Laus::N,бит,нет
203,Mücke::N,маса,ветӏ
204,Fliege::N,шыбын,тӏветӏ
205,Schmetterling::N,көбелек,чепелукь
206,Beere::N,жидек,куьлуь емиш
207,Apfel::N,алма,ич
208,Pilz::N,қозықұйрық,къарникъуз
209,Pilz::N,саңыраукулақ,къарникъуз
210,Zwiebel::N,жуа,чичӏек
211,Saat::N,тұқым,тумар
212,Korn::N,дән,твар
213,Heu::N,шөп,векь
214,Heu::N,шөп,векьер
215,Schale::N,қабық,пириш
216,Schale::N,қабық,хъуьруьш
217,Schale::N,қабығы,пириш
218,Schale::N,қабығы,хъуьруьш
219,Grube::N,ор,фур
220,Falle::N,дұзақ,ракьар
221,Falle::N,қақпан,ракьар
222,Schlinge::N,ілмек,гьалкъа
223,Spur::N,із,гел
224,Asche::N,күл,руьхъ
225,Dreck::N,былғаныш,чирк
226,Dreck::N,былғаныш,кьуруш
227,Eisen::N,темір,ракь
228,Gold::N,алтын,алтун
229,Silber::N,күміс,гимиш
230,Kohle::N,көмір,цӏивин
231,Glas::N,шыны,шуьше
232,Lehm::N,балшық,ччеб
233,Sand::N,құм,къум
234,Mensch::N,адам,инсан
235,Mann::N,еркек,итим
236,Mann::N,ер адам,итим
237,Frau::N,бике,паб
238,Frau::N,бике,дишегьли
239,Frau::N,қатын,паб
240,Frau::N,қатын,дишегьли
241,Kind::N,бала,аял
242,Kind::N,перзент,аял
243,Junge::N,бала,гада
244,Junge::N,ер бала,гада
245,Mädchen::N,қыз,руш
246,Familie::N,жанұя,хзан
247,Familie::N,жанұя,килфет
248,Großvater::N,ата,чӏехи буба
249,Großmutter::N,әже,чӏехи диде
250,Großmutter::N,әжей,чӏехи диде
251,Eltern::N,ата-аналар,диде-буба
252,Vater::N,әке,буба
253,Mutter::N,ана,диде
254,Sohn::N,ұл,хва
255,Tochter::N,қызым,руш
256,Bruder::N,бауырым,стха
257,Schwester::N,әпке,вах
258,Onkel::N,көке,ими
259,Onkel::N,көке,халу
260,Tante::N,тәте,эме
261,Tante::N,тәте,хала
262,Ehemann::N,ер,гъуьл
263,Ehefrau::N,зайып,паб
264,Freude::N,қуаныш,шадвал
265,Freude::N,сүйініш,шадвал
266,Freude::N,шат-думан,шадвал
267,Freude::N,қуаныштылық,шадвал
268,Gelächter::N,күлу,хъвер
269,Glück::N,бақыт,бахт
270,Glück::N,бақыттылық,бахт
271,Kummer::N,аза,дерт
272,Kummer::N,аза,хажалат
273,Kummer::N,қайғы,дерт
274,Kummer::N,қайғы,хажалат
275,Kummer::N,қасырет,дерт
276,Kummer::N,қасырет,хажалат
277,Wunsch::N,мүдде,мурад
278,Lust::N,тәбет,гьевес
279,Lust::N,ынтызар,гьевес
280,Lust::N,құштарлық,гьевес
281,Geist::N,рух,руьгь
282,Gedanke::N,ой,фикир
283,Gedächtnis::N,ес,
284,Gedächtnis::N,жады,
285,Gedächtnis::N,ақыл-ес,
286,Verstand::N,ақыл,акьул
287,Verstand::N,парасат,акьул
288,Sinn::N,мән,мана
289,Sinn::N,маныз,мана
290,Sinn::N,мағына,мана
291,Sinn::N,мән-мағына,мана
292,Grund::N,себеп,себеб
293,Wahrheit::N,рас,керчек
294,Wahrheit::N,рас,гьакъикъат
295,Gespräch::N,әңгіме,ихтилат
296,Märchen::N,ертеп,мах
297,Märchen::N,ертек,мах
298,Erzählung::N,әңгіме,кьиса
299,Nachricht::N,хабар,хабар
300,Neuigkeit::N,жаңалық,цӏийи хабар
301,Name::N,ат,тӏвар
302,Name::N,атау,тӏвар
303,Rätsel::N,жұмбақ,мискӏал
304,Rede::N,сөз,рахун
305,Sprache::N,тіл,чӏал
306,Stimme::N,үн,ван
307,Stimme::N,әуен,ван
308,Stimme::N,дауыс,ван
309,Wort::N,сөз,гаф
310,Zeichen::N,ишара,ишара
311,Ruf::N,айғай,эвер
312,Lärm::N,айғай-шу,ван-сес
313,Lärm::N,айғай-ұйғай,ван-сес
314,Laut::N,дыбыс,ван
315,Laut::N,дыбыс,сес
316,Laut::N,дауыс,ван
317,Laut::N,дауыс,сес
318,Ton::N,әуен,ван-сес
319,Lied::N,ән,мани
320,Lied::N,жыр,мани
321,Lied::N,ән-жыр,мани
322,Ruhe::N,тыныштық,ласвал
323,Ruhe::N,тыныштық,фаракъат
324,Ruhe::N,тыныштық,асайиш
325,Leute::N,кісілер,инсанар
326,Volk::N,халық,халкь
327,Arbeit::N,еңбек,кӏвалах
328,Gast::N,қонақ,мугьман
329,Gast::N,мейман,мугьман
330,Geschenk::N,қадия,савкьат
331,Spiel::N,ойын,къугъун
332,Gesellschaft::N,қауым,жемят
333,Gesellschaft::N,қауым,общество
334,Gesellschaft::N,жұртшылық,жемят
335,Gesellschaft::N,жұртшылық,общество
336,Hilfe::N,жэрдем,куьмек
337,Freund::N,дос,дуст
338,Kamerad::N,дос-жар,яр-дуст
339,Angelegenheit::N,жұмыс,кар
340,Anzahl::N,сан,сан
341,Anzahl::N,сан,кьадар
342,Anzahl::N,саны,сан
343,Anzahl::N,саны,кьадар
344,Art::N,түр,жуьре
345,Stück::N,тілім,кӏус
346,Teil::N,үлес,пай
347,Teil::N,бөлшек,пай
348,Hälfte::N,жарты,зур
349,Hälfte::N,жарты,зур пай
350,Kreis::N,шеңбер,круг
351,Kreis::N,шеңбер,чкаяр
352,Kreis::N,шеңбер,элкъвей цӏар
353,Kreuz::N,крест,хаш
354,Linie::N,сызық,цӏар
355,Strich::N,сызық,цӏар
356,Abstand::N,ара,ара
357,Abstand::N,аралық,ара
358,Entfernung::N,аралық,мензил
359,Gegend::N,өңір,чка
360,Platz::N,орны,ара
361,Ort::N,орын,чка
362,Seite::N,жақ,пад
363,Seite::N,бүйір,пад
364,Mitte::N,ортасы,юкь
365,Gegenstand::N,зат,затӏ
366,Gegenstand::N,нәрсе,затӏ
367,Sache::N,бұйым,шей
368,Sache::N,бұйым,затӏ
369,Rand::N,шет,къерех
370,Rand::N,шеті,къерех
371,Kante::N,қыр,син
372,Kante::N,қыры,син
373,Ecke::N,қыры,пӏипӏ
374,Ecke::N,бұрыш,пӏипӏ
375,Spitze::N,ұшы,кӏвенкӏв
376,Ende::N,аяқ,кьил
377,Ende::N,соңы,кьил
378,Loch::N,тесік,тӏеквен
379,Winkel::N,мүйіс,пӏипӏ
380,Muster::N,мәнер,гишир
381,Größe::N,ауқым,кьадар
382,Größe::N,көлемдік,кьадар
383,Länge::N,бой,яргъивал
384,Länge::N,ұзындық,яргъивал
385,Höhe::N,жоғарылық,кьакьанвал
386,Höhe::N,биіктік,кьакьанвал
387,Gewicht::N,салмақ,заланвал
388,Menge::N,мөлшер,кьадар
389,Haufen::N,үйме,хара
390,Haufen::N,үйінді,хара
391,Reihe::N,сап,жерге
392,Boot::N,қайық,луьткве
393,Ruder::N,ескек,кьусу
394,Schlitten::N,шана,гъелерар
395,Ski::N,шаңғы,
396,Lagerfeuer::N,алау,цӏай
397,Last::N,ауырлық,заланвал
398,Last::N,ауыр зат,заланвал
399,Gang::N,жүріс,ериш
400,Schritt::N,адым,къадам
401,Norden::N,солтүстік,кефер
402,Norden::N,солтүстік,кефер пад
403,Norden::N,терістік,кефер
404,Norden::N,терістік,кефер пад
405,Süden::N,оңтүстік,кьибле
406,Westen::N,батыс,рагъакӏидай пад
407,Osten::N,күншығыс,рагъэкъечӏдай пад
408,Holz::N,ағаш,кӏарас
409,Holz::N,сүрек,кӏарас
410,Brett::N,тақта,кьул
411,Brett::N,тақта,тахта
412,Platte::N,тақта,
413,Stütze::N,тіреу,даях
414,Stange::N,қада,юрк
415,Stock::N,сойыл,лаш
416,Stab::N,сырық,юрк
417,Rohr::N,құбыр,турба
418,Haus::N,үй,ужагъ
419,Heim::N,үйлі,кӏвал
420,Heim::N,шаңырақ,кӏвал
421,Ofen::N,ошақ,пич
422,Ofen::N,пеш,пич
423,Fußboden::N,еден,кӏвалин ччил
424,Tisch::N,үстел,стол
425,Stuhl::N,орындық,стул
426,Wiege::N,бесік,кьеб
427,Bett::N,кереует,тахт
428,Regal::N,сөре,кьацӏ
429,Kiste::N,жәшік,ящик
430,Fenster::N,терезе,дакӏар
431,Tür::N,есік,рак
432,Tor::N,дарбаза,варар
433,Zaun::N,дуал,пару
434,Dach::N,шатыр,къав
435,Leiter::N,саты,гурар
436,Leiter::N,басқыш,гурар
437,Besen::N,сыпырғыш,таран кул
438,Spaten::N,күрек,ппер
439,Schaufel::N,қалақ,хекендаз
440,Gabel::N,аша,шиш
441,Gabel::N,шанышқы,шиш
442,Löffel::N,қасық,тӏур
443,Messer::N,пышақ,чукӏул
444,Nagel::N,мық,мих
445,Nagel::N,шеге,мих
446,Netz::N,керегекөз,чил
447,Haken::N,ілмек,къармах
448,Griff::N,сап,ттум
449,Griff::N,тұтқа,ттум
450,Schloss::N,құлып,куьлег
451,Schloss::N,бекіткіш,куьлег
452,Bild::N,сурет,шикил
453,Bild::N,сурет,суьрет
454,Figur::N,тұлға,фигура
455,Puppe::N,қуыршақ,нини
456,Beutel::N,қапшық,тагъар
457,Bündel::N,байлам,галгам
458,Tasche::N,дорба,чанта
459,Eimer::N,шелек,ведре
460,Deckel::N,жапқыш,кьил
461,Deckel::N,жапқыш,къалпагъ
462,Geschirr::N,ыдыс,къаб-къажах
463,Sack::N,қап,чувал
464,Tasse::N,шыныаяқ,сукӏра
465,Topf::N,кәстрөл,къажгъан
466,Kessel::N,қазан,къажгъан
467,Essen::N,ас,тӏуьн
468,Nahrung::N,ас,тӏуьн
469,Nahrung::N,тамақ,тӏуьн
470,Speise::N,тағам,хуьрек
471,Fleisch::N,ет,як
472,Getreide::N,дәнді,техил
473,Brei::N,ботқа,хапӏа
474,Brei::N,ботқа,хешил
475,Brot::N,күлше,фу
476,Scheibe::N,тілім,чӏук
477,Fett::N,май,ягълу
478,Butter::N,май,гъери
479,Öl::N,май,ягълу
480,Salz::N,тұз,кьел
481,Suppe::N,көже,суп
482,Suppe::N,көже,шурпа
483,Honig::N,бал,вирт
484,Milch::N,сүт,нек
485,Tee::N,шай,чай
486,Leder::N,көн,тумаж
487,Wolle::N,жүн,йис
488,Stoff::N,мата,парча
489,Stoff::N,кездеме,парча
490,Nadel::N,ине,раб
491,Faden::N,жіп,гъал
492,Knopf::N,түйме,дуьгме
493,Knoten::N,түйін,тӏвал
494,Farbe::N,рең,ранг
495,Kleidung::N,киім,партал
496,Hemd::N,жейде,перем
497,Kragen::N,жаға,хев
498,Ärmel::N,жең,хел
499,Hose::N,шалбар,шалвар
500,Gürtel::N,белбеу,чӏул
501,Mütze::N,қалпақ,бармак
502,Mütze::N,қалпақ,бапӏах
503,Schuh::N,кебіс,ботинка
504,Stiefel::N,етік,чекме
505,Ring::N,жүзік,тупӏал
506,Band::N,таспа,тасма
507,Kamm::N,тарақ,регъ
508,Spiegel::N,айна,гуьзгуь
509,Riemen::N,қайыс,къайиш
510,Schnur::N,жіп,еб
511,Leine::N,тізгін,
512,Decke::N,көрпе,яргъан
513,Kissen::N,жастық,хъуьцуьган
514,Tuch::N,орамал,шал
515,Handtuch::N,сүлгі,дасмал
516,Kraft::N,қуат,гуж
517,Kraft::N,қарқын,гуж
518,Kraft::N,әл-шама,гуж
519,Kraft::N,әл-дәрмен,гуж
520,Stärke::N,әл,къуват
521,Stärke::N,күш,къуват
522,Gesundheit::N,денсаулык,сагъвал
523,Krankheit::N,ауру,тӏал
524,Schmerz::N,ауру,тӏал
525,Schmerz::N,ауру,тӏарвал
526,Wunde::N,зақым,хер
527,Wunde::N,жарақат,хер
528,Fieber::N,безгек,ифин
529,Fieber::N,қалтырау,ифин
530,Fieber::N,қызу көтерілуі,ифин
531,Arznei::N,дәрі,дарман
532,Arznei::N,дәрі-дәрмек,дарман
533,Brücke::N,көпір,муьгъ
534,Brunnen::N,құдық,къуй
535,Weide::N,өріс,уьруьш
536,Weide::N,жайылым,уьруьш
537,Pfad::N,жол,рехъ
538,Weg::N,жол,рехъ
539,Straße::N,жол,рехъ
540,Dorf::N,ауыл,хуьр
541,Stadt::N,қала,шегьер
542,Stadt::N,шаһар,шегьер
543,Brief::N,хат,кагъаз
544,Brief::N,жазу,кагъаз
545,Buch::N,кітап,улуб
546,Buchstabe::N,әріп,гьарф
547,Buchstabe::N,қаріп,гьарф
548,Zeitung::N,газет,газета
549,Leben::N,өмір,уьмуьр
550,Leben::N,тіршілік,уьмуьр
551,Tod::N,опат,кьиникь
552,Grab::N,мола,сур
553,Grab::N,мазар,сур
554,Kirche::N,шіркеу,килиса
555,Sünde::N,күнә,гунагь
556,Gott::N,алла,аллагь
557,Gott::N,құдай,аллагь
558,Gott::N,тәңірі,аллагь
559,Gott::N,пәруардігер,аллагь
560,Gott::N,жаратқан тәңірі,аллагь
561,Arbeiter::N,жүмысшы,фяле
562,Chef::N,басшы,гьаким
563,Chef::N,жұмыс басқарушысы,гьаким
564,Meister::N,шебер,устӏар
565,Meister::N,өнерпаз,устӏар
566,Arzt::N,дәрігер,доктор
567,Lehrer::N,мұғалім,муаллим
568,Geld::N,пұл,пул
569,Geschäft::N,бизнес,
570,Laden::N,дүкен,магазин
571,Preis::N,ақы,къимет
572,Preis::N,құны,къимет
573,Preis::N,нарық,къимет
574,Ware::N,тауар,мал
575,Ware::N,тауар,товар
576,Nutzen::N,пайда,хийир
577,Nutzen::N,пайда,менфят
578,Reichtum::N,бақ-дәулет,девлет
579,Welt::N,әлем,дуьнья
580,Welt::N,жиһан,дуьнья
581,Land::N,аймақ,уьлкве
582,Staat::N,мемлекет,пачагьлугъ
583,Staat::N,мемлекет,государство
584,König::N,патша,пачагь
585,Macht::N,өкімет,власть
586,Macht::N,қожалық,власть
587,Grenze::N,шек,сергьят
588,Krieg::N,соғыс,дяве
589,Feind::N,жау,душман
590,Feind::N,дұшпан,душман
591,Gewalt::N,зорлык,гуж
592,Gewalt::N,зорлық-зомбылык,гуж
593,Kampf::N,күрес,женг
594,Kampf::N,алыспақ,женг
595,Bogen[Waffe]::N,саржа,чӏемерук
596,Pfeil::N,жебе,хьел
597,Gewehr::N,қару,тфенг
598,Fehler::N,әбес,гъалатӏ
599,Fehler::N,қаталық,гъалатӏ
600,Lüge::N,өтірік,ттаб
601,Schaden::N,зиян,зиян
602,Schaden::N,зиян,зарар
603,Schaden::N,зарар,зиян
604,Schaden::N,зарар,зарар
605,Unglück::N,пәле,бала
606,Unglück::N,пәле,бедбахтвал
607,Unglück::N,қасырет,бала
608,Unglück::N,қасырет,бедбахтвал
609,Unglück::N,ауыртпалық,бала
610,Unglück::N,ауыртпалық,бедбахтвал
611,Schuld::N,айыптылық,тахсир
612,Alter::N,жас,яш
613,Alter::N,жас шамасы,яш
614,Schluss::N,ада,эхир
615,Schluss::N,бітуі,эхир
616,Zeit::N,уақыт,вяде
617,Tag::N,күн,югъ
618,Morgen::N,таң,пакама
619,Morgen::N,таңертең,пакама
620,Mittag::N,талтүс,нисин
621,Abend::N,кеш,няни
622,Nacht::N,түн,йиф
623,Woche::N,апта,гьафте
624,Monat::N,ай,варз
625,Jahr::N,жыл,йис
626,Frühling::N,көктем,гатфар
627,Sommer::N,жаз,гад
628,Herbst::N,күз,зул
629,Winter::N,қыс,кьуьд
630,Januar::N,каңтар,январь
631,Februar::N,ақпан,февраль
632,März::N,наурыз,март
633,April::N,сәуір,апрель
634,Mai::N,мамыр,май
635,Juni::N,маусым,июнь
636,Juli::N,шілде,июль
637,August::N,сүмбіле,август
638,August::N,тамыз,август
639,September::N,қыркүйек,сентябрь
640,Oktober::N,ақырап,октябрь
641,November::N,қараша,ноябрь
642,Dezember::N,желтоқсан,декабрь
643,Montag::N,дүйсенбі,ислен
644,Dienstag::N,сейсенбі,саласа
645,Mittwoch::N,сәрсенбі,арбе
646,Donnerstag::N,бейсенбі,хемис югъ
647,Freitag::N,жұма,жуьмя
648,Freitag::N,жұма,жуьмя югъ
649,Samstag::N,сенбі,киш
650,Sonntag::N,жексембі,гьяд
651,groß::A,алпамсадай,еке
652,groß::A,алпамсадай,чӏехи
653,klein::A,кішкене,гъвечӏи
654,klein::A,қарғадай,гъвечӏи
655,lang::A,сопақ,яргъи
656,lang::A,сорайған,яргъи
657,kurz::A,кеспелтек,куьруь
658,breit::A,айдынды,гьяркьуь
659,schmal::A,қысық,гуьтӏуь
660,dicht::A,жиі,къалин
661,dick[Gegenstand]::A,шомбал,
662,dünn::A,жұқа,кьелечӏ
663,dünn::A,жіңішке,кьелечӏ
664,fein::A,қаңылтақ,шуькӏуь
665,fest::A,берік,кӏеви
666,fest::A,мызғымас,кӏеви
667,flach::A,жалпак,кьулу
668,glatt::A,типыл,цӏалцӏам
669,hart::A,қатты,кӏеви
670,weich::A,жұмсақ,хъуьтуьл
671,rund::A,домалақ,элкъвей
672,spitz::A,үшкір,хци
673,scharf::A,сүйрік,хци
674,stumpf::A,доғал,къуьруь
675,stumpf::A,өтпейтін,къуьруь
676,schwer::A,салмақты,залан
677,schön::A,сұлу,иер
678,heiß::A,ыссы,кудай
679,warm::A,жылы,чими
680,kalt::A,аязды,мекьи
681,kühl::A,салқын,къайи
682,frisch::A,таза,таза
683,frisch::A,таза,михьи
684,frisch::A,жаңа,таза
685,frisch::A,жаңа,михьи
686,feucht::A,нам,ламу
687,feucht::A,дымқылды,ламу
688,nass::A,сулы,кьежей
689,trocken::A,құрғақ,кьуру
690,voll::A,толы,ацӏай
691,leer::A,бос,буш
692,leer::A,бос,ичӏи
693,offen::A,ашып қойылған,ахъа
694,geschlossen::A,жабулы,кӏеви
695,sauber::A,дақсыз,михьи
696,sauber::A,мұнтаздай,михьи
697,schmutzig::A,айғыз,чиркин
698,schmutzig::A,айғыз,кьацӏай
699,schmutzig::A,сатпақ,чиркин
700,schmutzig::A,сатпақ,кьацӏай
701,schmutzig::A,сатал-сатал,чиркин
702,schmutzig::A,сатал-сатал,кьацӏай
703,roh::A,шикі,чиг
704,roh::A,шикі,ицӏи
705,reif::A,піскен,дигмиш хьайи
706,lecker::A,дәмді,дадлу
707,süß::A,тәтті,ширин
708,bitter::A,ащы,туькьуьл
709,sauer::A,қышқыл,цуру
710,hell::A,жарық,экуь
711,hell::A,жарқын,экуь
712,dunkel::A,қараңғы,мичӏи
713,schwarz::A,қара,чӏулав
714,weiß::A,ақ,лацу
715,rot::A,қызыл,яру
716,gelb::A,сары,хъипи
717,blau::A,көк,вили
718,grün::A,жасыл,къацу
719,grau::A,бозамық,рехи
720,bunt::A,алабажак,цӏару
721,bunt::A,алабажак,яру-цӏару
722,billig::A,арзан,ужуз
723,teuer::A,бағалы,багьа
724,wertvoll::A,құнды,масан
725,wertvoll::A,қымбат,масан
726,blind::A,көзсіз,буьркьуь
727,blind::A,көр,буьркьуь
728,blind::A,көр_соқыр,буьркьуь
729,taub::A,керең,биши
730,taub::A,саңырау,биши
731,kräftig::A,қуатты,гужлу
732,kräftig::A,қарымды,гужлу
733,stark::A,білекті,къуватлу
734,schwach::A,әлсіз,такьатсуз
735,schwach::A,күшсіз,такьатсуз
736,schwach::A,қайратсыз,такьатсуз
737,fett::A,семіз,куьк
738,schlank::A,ашаң,шумал
739,hübsch::A,ажарлы,гуьрчег
740,hübsch::A,шырайлы,гуьрчег
741,böse::A,өш,пис
742,böse::A,сұм,пис
743,böse::A,жауыз,пис
744,dumm::A,көкми,ахмакь
745,dumm::A,ақымақ,ахмакь
746,dumm::A,миы жоқ,ахмакь
747,faul::A,жалқау,тенпел
748,faul::A,еріншек,тенпел
749,fleißig::A,ұқыпты,сяй ийидай
750,fleißig::A,ұқыпты,сяйи ийидай
751,geizig::A,сараң,мискьи
752,klug::A,жетік,акьуллу
753,klug::A,ақылды,акьуллу
754,geschickt::A,шебер,магьир
755,lieb::A,абзал,играми
756,lieb::A,айналайын,играми
757,lustig::A,көңілді,шад
758,sanft::A,жуас,назик
759,sanft::A,жуас,милайим
760,hungrig::A,аш,гишин
761,krank::A,кеселді,кефсуз
762,nackt::A,жалаңаш,кьецӏил
763,traurig::A,қапа,пашман
764,lebendig::A,тірі,ччан алай
765,lebendig::A,жанды,ччан алай
766,gut::A,жақсы,хъсан
767,gut::A,жақсы,вижевай
768,schlecht::A,жаман,пис
769,richtig::A,дұрыс,дуьз
770,schlimm::A,жаман,нифретлу
771,wahr::A,нағыз,гьакъикъи
772,alt::A,ескі,эски
773,alt::A,ескі,куьгьне
774,neu::A,жаңа,цӏийи
775,ehemalig::A,өткен,виликан
776,ehemalig::A,бұрынғы,виликан
777,alt[Lebewesen]::A,кексе,кьуьзуь
