,Concept_ID,kk,ka
283,Lust::N,құштарлық,წადილი
284,Geist::N,рух,სული
285,Gedanke::N,ой,ფიქრი
286,Gedächtnis::N,ес,მეხსიერება
287,Gedächtnis::N,жады,მეხსიერება
288,Gedächtnis::N,ақыл-ес,მეხსიერება
289,Verstand::N,ақыл,ჭკუა
290,Verstand::N,ақыл,გონება
291,Verstand::N,парасат,ჭკუა
292,Verstand::N,парасат,გონება
293,Sinn::N,мән,მნიშვნელობა
294,Sinn::N,маныз,მნიშვნელობა
295,Sinn::N,мағына,მნიშვნელობა
296,Sinn::N,мән-мағына,მნიშვნელობა
297,Grund::N,себеп,მიზეზი
298,Wahrheit::N,рас,სიმართლე
299,Wahrheit::N,рас,ჭეშმარიტება
300,Gespräch::N,әңгіме,ბაასი
301,Gespräch::N,әңгіме,საუბარი
302,Märchen::N,ертеп,არაკი
303,Märchen::N,ертеп,ზღაპარი
304,Märchen::N,ертек,არაკი
305,Märchen::N,ертек,ზღაპარი
306,Erzählung::N,әңгіме,თქმულება
307,Nachricht::N,хабар,ცნობა
308,Nachricht::N,хабар,ამბავი
309,Neuigkeit::N,жаңалық,სიახლე
310,Name::N,ат,სახელი
311,Name::N,атау,სახელი
312,Rätsel::N,жұмбақ,გამოცანა
313,Rede::N,сөз,სიტყვა
314,Sprache::N,тіл,ენა
315,Stimme::N,үн,ხმა
316,Stimme::N,әуен,ხმა
317,Stimme::N,дауыс,ხმა
318,Wort::N,сөз,სიტყვა
319,Zeichen::N,ишара,ნიშანი
320,Ruf::N,айғай,ძახილი
321,Lärm::N,айғай-шу,ხმაური
322,Lärm::N,айғай-ұйғай,ხმაური
323,Laut::N,дыбыс,ხმა
324,Laut::N,дыбыс,ბგერა
325,Laut::N,дауыс,ხმა
326,Laut::N,дауыс,ბგერა
327,Ton::N,әуен,ტონი
328,Lied::N,ән,სიმღერა
329,Lied::N,жыр,სიმღერა
330,Lied::N,ән-жыр,სიმღერა
331,Ruhe::N,тыныштық,სიწყნარე
332,Leute::N,кісілер,ადამიანები
333,Volk::N,халық,ერი
334,Volk::N,халық,ხალხი
335,Arbeit::N,еңбек,მუშაობა
336,Gast::N,қонақ,სტუმარი
337,Gast::N,мейман,სტუმარი
338,Geschenk::N,қадия,საჩუქარი
339,Spiel::N,ойын,თამაში
340,Gesellschaft::N,қауым,საზოგადოება
341,Gesellschaft::N,жұртшылық,საზოგადოება
342,Hilfe::N,жэрдем,შველა
343,Hilfe::N,жэрдем,დახმარება
344,Freund::N,дос,მეგობარი
345,Kamerad::N,дос-жар,ამხანაგი
346,Angelegenheit::N,жұмыс,საქმე
347,Anzahl::N,сан,ოდენობა
348,Anzahl::N,саны,ოდენობა
349,Art::N,түр,სახეობა
350,Stück::N,тілім,ნატეხი
351,Teil::N,үлес,წილი
352,Teil::N,бөлшек,წილი
353,Hälfte::N,жарты,ნახევარი
354,Kreis::N,шеңбер,წრე
355,Kreuz::N,крест,ჯვარი
356,Linie::N,сызық,ხაზი
357,Strich::N,сызық,შტრიხი
358,Abstand::N,ара,მანძილი
359,Abstand::N,аралық,მანძილი
360,Entfernung::N,аралық,სიშორე
361,Gegend::N,өңір,არე
362,Gegend::N,өңір,მხარე
363,Platz::N,орны,ფართობი
364,Ort::N,орын,ადგილი
365,Seite::N,жақ,მხარე
366,Seite::N,бүйір,მხარე
367,Mitte::N,ортасы,შუა
368,Gegenstand::N,зат,საგანი
369,Gegenstand::N,нәрсе,საგანი
370,Sache::N,бұйым,ნივთი
371,Rand::N,шет,კიდე
372,Rand::N,шеті,კიდე
373,Kante::N,қыр,ნაწიბული
374,Kante::N,қыры,ნაწიბული
375,Ecke::N,қыры,კუთხე
376,Ecke::N,бұрыш,კუთხე
377,Spitze::N,ұшы,წვეტი
378,Ende::N,аяқ,ბოლო
379,Ende::N,соңы,ბოლო
380,Loch::N,тесік,ხვრელი
381,Winkel::N,мүйіс,კუთხე
382,Muster::N,мәнер,მოხატულობა
383,Größe::N,ауқым,ზომა
384,Größe::N,ауқым,სიდიდე
385,Größe::N,көлемдік,ზომა
386,Größe::N,көлемдік,სიდიდე
387,Länge::N,бой,სიგრძე
388,Länge::N,ұзындық,სიგრძე
389,Höhe::N,жоғарылық,სიმაღლე
390,Höhe::N,биіктік,სიმაღლე
391,Gewicht::N,салмақ,წონა
392,Menge::N,мөлшер,რაოდენობა
393,Haufen::N,үйме,გროვა
394,Haufen::N,үйінді,გროვა
395,Reihe::N,сап,რიგი
396,Reihe::N,сап,წყება
397,Boot::N,қайық,გემი
398,Ruder::N,ескек,ხოფი
399,Ruder::N,ескек,ნიჩაბი
400,Schlitten::N,шана,მარხილი
401,Ski::N,шаңғы,თხილამური
402,Lagerfeuer::N,алау,კოცონი
403,Last::N,ауырлық,ტვირთი
404,Last::N,ауыр зат,ტვირთი
405,Gang::N,жүріс,სვლა
406,Schritt::N,адым,ბიჯი
407,Norden::N,солтүстік,ჩრდილოეთი
408,Norden::N,терістік,ჩრდილოეთი
409,Süden::N,оңтүстік,სამხრეთი
410,Westen::N,батыс,დასავლეთი
411,Osten::N,күншығыс,აღმოსავლეთი
412,Holz::N,ағаш,ხე
413,Holz::N,сүрек,ხე
414,Brett::N,тақта,დაფა
415,Brett::N,тақта,ფიცარი
416,Platte::N,тақта,თლილი ქვა
417,Stütze::N,тіреу,საყრდენი
418,Stange::N,қада,ჭოკი
419,Stock::N,сойыл,კეტი
420,Stab::N,сырық,ლატანი
421,Rohr::N,құбыр,მილაკი
422,Haus::N,үй,სახლი
423,Heim::N,үйлі,ოჯახის კერა
424,Heim::N,шаңырақ,ოჯახის კერა
425,Ofen::N,ошақ,ღუმელი
426,Ofen::N,пеш,ღუმელი
427,Fußboden::N,еден,იატაკი
428,Tisch::N,үстел,სუფრა
429,Tisch::N,үстел,მაგიდა
430,Stuhl::N,орындық,სკამი
431,Wiege::N,бесік,აკვანი
432,Bett::N,кереует,საწოლი
433,Bett::N,кереует,სარეცელი
434,Regal::N,сөре,თაროები
435,Kiste::N,жәшік,ყუთი
436,Kiste::N,жәшік,სკივრი
437,Fenster::N,терезе,ფანჯარა
438,Fenster::N,терезе,სარკმელი
439,Tür::N,есік,ბჭე
440,Tür::N,есік,კარი
441,Tor::N,дарбаза,ჭიშკარი
442,Zaun::N,дуал,ღობე
443,Zaun::N,дуал,გალავანი
444,Dach::N,шатыр,სახურავი
445,Leiter::N,саты,კიბე
446,Leiter::N,басқыш,კიბე
447,Besen::N,сыпырғыш,ცოცხი
448,Spaten::N,күрек,ნიჩაბი
449,Schaufel::N,қалақ,ბარი
450,Gabel::N,аша,ჩანგალი
451,Gabel::N,шанышқы,ჩანგალი
452,Löffel::N,қасық,კოვზი
453,Messer::N,пышақ,დანა
454,Nagel::N,мық,ლურსმანი
455,Nagel::N,шеге,ლურსმანი
456,Netz::N,керегекөз,ბადე
457,Haken::N,ілмек,კავი
458,Haken::N,ілмек,კაუჭი
459,Griff::N,сап,ტარი
460,Griff::N,тұтқа,ტარი
461,Schloss::N,құлып,კლიტე
462,Schloss::N,құлып,საკეტი
463,Schloss::N,бекіткіш,კლიტე
464,Schloss::N,бекіткіш,საკეტი
465,Bild::N,сурет,სურათი
466,Figur::N,тұлға,ფიგურა
467,Puppe::N,қуыршақ,თოჯინა
468,Beutel::N,қапшық,პარკი
469,Bündel::N,байлам,გალა
470,Bündel::N,байлам,ასხმა
471,Tasche::N,дорба,ჩანთა
472,Eimer::N,шелек,ჩამჩა
473,Deckel::N,жапқыш,ხუფი
474,Deckel::N,жапқыш,სარქველი
475,Geschirr::N,ыдыс,ჭურჭელი
476,Sack::N,қап,ტომარა
477,Tasse::N,шыныаяқ,ფინჯანი
478,Topf::N,кәстрөл,ქოთანი
479,Kessel::N,қазан,ქვაბი
480,Essen::N,ас,ჭამა
481,Nahrung::N,ас,საზრდო
482,Nahrung::N,ас,საკვები
483,Nahrung::N,тамақ,საზრდო
484,Nahrung::N,тамақ,საკვები
485,Speise::N,тағам,საჭმელი
486,Fleisch::N,ет,ხორცი
487,Getreide::N,дәнді,მარცვლოვანი
488,Brei::N,ботқа,ფაფა
489,Brot::N,күлше,პური
490,Scheibe::N,тілім,ნაჭერი
491,Fett::N,май,ქონი
492,Fett::N,май,ცხიმი
493,Butter::N,май,კარაქი
494,Öl::N,май,ზეთი
495,Salz::N,тұз,მარილი
496,Suppe::N,көже,სუფი
497,Honig::N,бал,თაფლი
498,Milch::N,сүт,რძე
499,Tee::N,шай,ჩაი
500,Leder::N,көн,ტყავი
501,Wolle::N,жүн,მატყლი
502,Stoff::N,мата,ქსოვილი
503,Stoff::N,кездеме,ქსოვილი
504,Nadel::N,ине,ნემსი
505,Faden::N,жіп,ძაფი
506,Faden::N,жіп,მკედი
507,Knopf::N,түйме,ღილი
508,Knoten::N,түйін,ნასკვი
509,Farbe::N,рең,საღებავი
510,Kleidung::N,киім,ტანსაცმელი
