,Concept_ID,ja,hy
89,Schnee::N,雪,ձյուն
90,Eis::N,氷,սառույց
91,Frost::N,霜,սառնամանիք
92,Kälte::N,寒さ,դող
93,Hitze::N,暑さ,շոգ
94,Raureif::N,霧氷,ցօղեղեամ
95,Regenbogen::N,虹,ծիածան
96,Donner::N,雷,որոտ
97,Strömung::N,流れ,հոսանք
98,Tropfen::N,滴,կաթիլ
99,Schaum::N,泡,փրփուր
100,Schmutz::N,汚れ,կեղտ
101,See::N,湖,լիճ
102,Sumpf::N,沼,ճահիճ
103,Moor::N,湿原,ճահիճ
104,Wiese::N,草原,մարգագետին
105,Wald::N,森,անտառ
106,Hügel::N,丘,բլուր
107,Anhöhe::N,高み,բարձունք
108,Berg::N,山,լեռ
109,Gipfel::N,頂上,գագաթ
110,Gipfel::N,頂上,կատար
111,Höhle::N,洞窟,քարայր
112,Abhang::N,斜面,լանջ
113,Abhang::N,斜面,զառիվայր
114,Quelle::N,泉,աղբյուր
115,Bach::N,小川,վտակ
116,Fluss::N,川,գետ
117,Ufer::N,岸,ծովափ
118,Küste::N,海岸,ափ
119,Küste::N,海岸,ծովափ
120,Festland::N,陸,ցամաք
121,Meer::N,海,ծով
122,Bucht::N,湾,հաչիւն
123,Insel::N,島,վղզի
124,Blume::N,花,ծաղիկ
125,Gras::N,草,խոտ
126,Wurzel::N,根,արմատ
127,Baum::N,木,ծառ
128,Stamm::N,幹,իրան
129,Rinde::N,皮層,կեղեւ
130,Rinde::N,皮層,հաչոց
131,Ast::N,枝,ճյուղ
132,Zweig::N,小枝,ճյուղ
133,Blatt::N,葉,տերեւ
134,Birke::N,樺,ցարասի
135,Kiefer[Baum]::N,松,սոճի
136,Weide[Baum]::N,柳,ուռենի
137,Tanne::N,樅,եղեւին
138,Horn::N,角,
139,Feder::N,羽根,փետուր
140,Fell::N,毛皮,մորթի
141,Flügel::N,羽,թեւ
142,Klaue::N,鉤爪,չանչ
143,Kralle::N,爪,ճանկ
144,Schwanz::N,尻尾,պոչ
145,Ei::N,卵,ձու
146,Nest::N,巣,բույն
147,Bau::N,穴,որջ
148,Bau::N,穴,բայոց
149,Tier::N,動物,կենդանի
150,Herde::N,群れ,հոտ
151,Kuh::N,牛,կով
152,Bulle::N,雄牛,ցուլ
153,Pferd::N,馬,ձի
154,Schaf::N,羊,ոչխար
155,Schwein::N,豚,խոզ
156,Hund::N,犬,շուն
157,Katze::N,猫,կատու
158,Bär::N,熊,արջ
159,Eichhörnchen::N,栗鼠,սկյուռ
160,Elch::N,ヘラジカ,հիւսիսային եղջերու
161,Fuchs::N,狐,աղվես
162,Hase::N,兎,նապաստակ
163,Maus::N,鼠,մուկ
164,Wolf::N,狼,գայլ
165,Vogel::N,鳥,թռչուն
166,Schwarm::N,群れ,երամ
167,Huhn::N,鶏,հավ
168,Hahn::N,雄鶏,աքաղաղ
169,Gans::N,ガチョウ,սագ
170,Adler::N,鷲,արծիվ
171,Ente::N,鴨,բադ
172,Eule::N,フクロウ,բու
173,Kranich::N,鶴,կռունկ
174,Krähe::N,烏,ագռավ
175,Kuckuck::N,郭公,կուկու
176,Schwan::N,白鳥,կարապ
177,Fisch::N,魚,ձուկ
178,Barsch::N,鱸,պերկես
179,Hecht::N,川魳,գայլաձուկ
180,Schlange[Tier]::N,蛇,օձ
181,Wurm::N,虫,որդ
182,Wurm::N,虫,ճիճու
183,Spinne::N,蜘蛛,սարդ
184,Ameise::N,蟻,միջյուն
185,Laus::N,虱,ոջիլ
186,Mücke::N,蚊,մժղուկ
187,Fliege::N,蝿,ճանճ
188,Schmetterling::N,蝶,թիթեռ
189,Beere::N,漿果,հատապտուղ
190,Apfel::N,林檎,խնձոր
191,Pilz::N,茸,սունկ
192,Zwiebel::N,玉葱,սոխ
193,Saat::N,種,սերմ
194,Korn::N,粒,հատիկ
195,Heu::N,干し草,խոտ
196,Schale::N,皮,կեղեւ
197,Grube::N,穴,փոս
198,Falle::N,わな,ծուղակ
199,Schlinge::N,輪,խեղդան
200,Spur::N,跡,հետք
201,Asche::N,灰,մոխիր
202,Dreck::N,泥,աղտ
203,Eisen::N,鉄,երկաթ
204,Gold::N,金,ոսկի
205,Silber::N,銀,արծաթ
206,Kohle::N,炭,քարածուխ
207,Glas::N,ガラス,ապակի
208,Lehm::N,ローム,կավ
209,Sand::N,砂,ավազ
210,Mensch::N,人,մարդ
211,Mann::N,男,մարդ
212,Mann::N,男,տղամարդ
213,Mann::N,男性,մարդ
214,Mann::N,男性,տղամարդ
215,Frau::N,女,կին
216,Frau::N,女性,կին
217,Kind::N,子,զավակ
218,Kind::N,子供,զավակ
219,Junge::N,男の子,տղա
220,Mädchen::N,女の子,աղջիկ
221,Familie::N,家族,ընտանիք
222,Großvater::N,祖父,պապ
223,Großvater::N,おじいさん,պապ
224,Großmutter::N,祖母,տատ
225,Großmutter::N,おばあさん,տատ
226,Eltern::N,親,ծնողներ
227,Eltern::N,両親,ծնողներ
228,Vater::N,父,հայր
229,Vater::N,お父さん,հայր
230,Mutter::N,母,մայր
231,Mutter::N,お母さん,մայր
232,Sohn::N,息子,որդի
233,Sohn::N,息子さん,որդի
234,Tochter::N,娘,աղջիկ
235,Tochter::N,娘,դուստր
236,Tochter::N,お嬢さん,աղջիկ
237,Tochter::N,お嬢さん,դուստր
238,Bruder::N,弟,եղբայր
239,Schwester::N,妹,քույր
240,Onkel::N,伯父,քեռի
241,Onkel::N,伯父,հորեղբայր
242,Onkel::N,伯父さん,քեռի
243,Onkel::N,伯父さん,հորեղբայր
244,Tante::N,叔母,մորաքույր
245,Tante::N,叔母さん,մորաքույր
246,Ehemann::N,夫,մարդ
247,Ehemann::N,夫,ամուսին
248,Ehemann::N,主人,մարդ
249,Ehemann::N,主人,ամուսին
250,Ehefrau::N,妻,կին ամուսին
251,Ehefrau::N,奥さん,կին ամուսին
252,Freude::N,喜び,ուրախություն
253,Gelächter::N,笑い,ծիծաղ
254,Glück::N,幸せ,երջանկություն
255,Kummer::N,悩み,վիշտ
256,Wunsch::N,希望,ցանկություն
257,Lust::N,気,փափագ
258,Lust::N,気,իղձ
259,Geist::N,精神,ոգի
260,Gedanke::N,考え,միտք
261,Gedächtnis::N,記憶,հիշողություն
262,Verstand::N,理解力,խելք
263,Sinn::N,意味,իմաստ
264,Grund::N,理由,պատճառ
265,Wahrheit::N,真実,ճշմարտություն
266,Gespräch::N,会話,զրույց
267,Märchen::N,童話,պայիկի պատմություն
268,Erzählung::N,物語,պատմվածք
269,Erzählung::N,物語,պատմություն
270,Nachricht::N,報告,հաղորդագրություն
271,Neuigkeit::N,ニュース,լուր
272,Neuigkeit::N,ニュース,նորություն
273,Name::N,名前,անուն
274,Rätsel::N,謎,բարդ խնդիր
275,Rede::N,演説,ճառ
276,Rede::N,演説,ելույթ
277,Sprache::N,言語,լեզու
278,Stimme::N,声,ձայն
279,Wort::N,言葉,բառ
280,Zeichen::N,記号,նշան
281,Ruf::N,呼び声,կոչ
282,Ruf::N,呼び声,կանչ
283,Lärm::N,騒音,աղմուկ
284,Laut::N,音,հնչյուն
285,Laut::N,音,ձայն
286,Ton::N,音,տոն
287,Lied::N,歌,երգ
288,Ruhe::N,静けさ,անդորրություն
289,Leute::N,人々,մարդիկ
290,Volk::N,民族,ազգ
291,Arbeit::N,仕事,գործ
292,Arbeit::N,仕事,աշխատանք
293,Gast::N,客,հյուր
294,Geschenk::N,贈り物,նվեր
295,Spiel::N,遊び,խաղ
296,Gesellschaft::N,社会,ընկերություն
297,Hilfe::N,援助,օգնությթուն
298,Freund::N,友達,ընկեր
299,Freund::N,友達,բարեկամ
300,Kamerad::N,同志,ուղեկից
301,Angelegenheit::N,件,բան
302,Angelegenheit::N,件,գործ
303,Anzahl::N,数,քանակ
304,Anzahl::N,数,գումար
305,Art::N,種類,տեսակ
306,Stück::N,部分,կտոր
307,Teil::N,部分,մաս
308,Hälfte::N,半分,կես
309,Kreis::N,円,շիջանակ
310,Kreuz::N,十字,խաչ
311,Linie::N,線,գիծ
312,Strich::N,線,գիծ
313,Abstand::N,距離,անջրպետ
314,Entfernung::N,距離,հեռավորություն
315,Gegend::N,辺,շրջան
316,Gegend::N,地域,շրջան
317,Platz::N,ゆとり,տարածություն
318,Ort::N,所,տեղ
319,Ort::N,所,վայր
320,Ort::N,場所,տեղ
321,Ort::N,場所,վայր
322,Seite::N,横,կողմ
323,Mitte::N,真ん中,մեջտեղ
324,Gegenstand::N,物件,առարկա
325,Sache::N,物,բան
326,Rand::N,端,վերջք
327,Kante::N,縁,եզր
328,Ecke::N,角,անկյուն
329,Spitze::N,先頭,ծայր
330,Ende::N,端,ծայր
331,Loch::N,穴,անցք
332,Winkel::N,片隅,անկյուն
333,Muster::N,模様,օրինակ
334,Größe::N,大きさ,մեծություն
335,Länge::N,長さ,երկարություն
336,Höhe::N,高さ,բարձրություն
337,Gewicht::N,重さ,կշիռ
338,Menge::N,量,քանակ
339,Haufen::N,堆積,դեզ
340,Haufen::N,堆積,կույտ
341,Reihe::N,並び,շարք
342,Reihe::N,並び,կարգ
343,Boot::N,ボート,նավակ
344,Ruder::N,オール,թի
345,Ruder::N,オール,թիակ
346,Schlitten::N,そり,բալխիր
347,Ski::N,スキー,դահուկ
348,Lagerfeuer::N,篝火,բացօդեայ կրակ
349,Last::N,荷物,բեռ
350,Gang::N,歩み,զբոսանք
351,Schritt::N,歩,քայլ
352,Norden::N,北,հյուսիս
353,Süden::N,南,հարավ
354,Westen::N,西,արեւմուտք
355,Osten::N,東,արեւելք
356,Holz::N,木,փայտ
357,Holz::N,木材,փայտ
358,Brett::N,板,տախտակ
359,Platte::N,盤,թիթեղ
360,Stütze::N,支柱,նեցուկ
361,Stange::N,棒,ձող
362,Stock::N,杖,փայտ
363,Stab::N,棒,ցուպ
364,Stab::N,棒,գավազան
365,Rohr::N,管,խողովակ
366,Haus::N,家,տուն
367,Heim::N,家,տուն
368,Ofen::N,ストーブ,վառարան
369,Fußboden::N,床,հատակ
370,Tisch::N,机,սեղան
371,Stuhl::N,椅子,աթոռ
372,Wiege::N,揺籃,օրորոց
373,Bett::N,ベッド,անկողին
374,Regal::N,棚,դարակ
375,Kiste::N,箱,տուփ
376,Fenster::N,窓,պատուհան
377,Tür::N,戸,դուռ
378,Tür::N,ドア,դուռ
379,Tor::N,門,դարպաս
380,Zaun::N,垣根,ցանկապատ
381,Dach::N,屋根,տանիք
382,Dach::N,屋根,կտուր
383,Leiter::N,梯子,սանդուղք
384,Besen::N,ほうき,ավել
385,Spaten::N,スコップ,բահ
386,Schaufel::N,シャベル,թի
387,Gabel::N,フォーク,պատառաքաղ
388,Löffel::N,スプーン,գդալ
389,Messer::N,ナイフ,դանակ
390,Nagel::N,釘,մեխ
391,Netz::N,網,ցանց
392,Haken::N,鉤,կարթ
393,Haken::N,フック,կարթ
394,Griff::N,取っ手,կոթ
395,Griff::N,取っ手,բռնակ
396,Schloss::N,錠,կողպեք
397,Bild::N,絵,նկար
398,Bild::N,絵,պատկեր
399,Figur::N,像,քանդակ
400,Figur::N,像,պատկեր
401,Puppe::N,人形,տիկնիկ
402,Beutel::N,袋,տոպրակ
403,Bündel::N,束,կապոց
404,Bündel::N,包み,կապոց
405,Tasche::N,かばん,պայուսակ
406,Eimer::N,バケツ,դույլ
407,Deckel::N,蓋,կափարիչ
408,Geschirr::N,食器,ամանեղեն
409,Sack::N,袋,պարկ
410,Sack::N,袋,տոպրակ
411,Tasse::N,カップ,թաս
412,Tasse::N,カップ,գավաթ
413,Topf::N,鍋,անոթ
414,Kessel::N,釜,կաթսա
415,Essen::N,食事,կերակուր
416,Nahrung::N,食物,ուտելիք
417,Speise::N,料理,խորտիկ
418,Speise::N,料理,կերակուր
419,Fleisch::N,肉,միս
420,Getreide::N,麦,հացահատիկ
421,Getreide::N,穀物,հացահատիկ
422,Brei::N,粥,լանդակ
423,Brot::N,パン,հաց
424,Scheibe::N,枚,կտոր
425,Scheibe::N,枚,պատառ
426,Scheibe::N,切れ,կտոր
427,Scheibe::N,切れ,պատառ
428,Fett::N,脂肪,ճարպ
429,Butter::N,バター,կարագ
430,Öl::N,油,ձեթ
431,Salz::N,塩,աղ
432,Suppe::N,スープ,սուպ
433,Suppe::N,スープ,ապուր
434,Honig::N,蜂蜜,մեղր
435,Milch::N,牛乳,կաթ
436,Tee::N,茶,թեյ
437,Tee::N,お茶,թեյ
438,Leder::N,革,կաշի
439,Wolle::N,毛糸,բուրդ
440,Stoff::N,布,գործվածք
441,Nadel::N,針,ասեղ
442,Faden::N,糸,թել
443,Knopf::N,ボタン,կոճակ
444,Knoten::N,結び目,հանգույց
445,Farbe::N,ペンキ,ներկ
446,Kleidung::N,衣服,հագուստ
447,Hemd::N,シャツ,վերնաշապիկ
448,Kragen::N,襟,օձիք
449,Ärmel::N,袖,թեւք
450,Hose::N,ズボン,շալվար
451,Gürtel::N,帯,գոտի
452,Gürtel::N,ベルト,գոտի
453,Mütze::N,帽子,կեպի
454,Schuh::N,靴,կոշիկ
455,Stiefel::N,ブーツ,երկարաճիթ կոշիկ
456,Ring::N,輪,զնգալ
457,Band::N,リボン,ժապավեն
458,Kamm::N,櫛,սանր
459,Spiegel::N,鏡,հայելի
460,Riemen::N,緒,փոկ
461,Schnur::N,紐,լար
462,Leine::N,綱,փոկ
463,Decke::N,掛け布団,վերմակ
464,Kissen::N,枕,բարձ
465,Tuch::N,スカーフ,թաշկինակ
466,Handtuch::N,タオル,սրբիչ
467,Kraft::N,力,ուժ
468,Stärke::N,強さ,պնդություն
469,Stärke::N,強さ,ամրություն
470,Gesundheit::N,健康,առողջություն
471,Krankheit::N,病気,ախտ
472,Krankheit::N,病気,հիվանդություն
473,Schmerz::N,痛み,ցավ
474,Schmerz::N,痛み,տանջանք
475,Wunde::N,傷,վերք
476,Fieber::N,熱,տենդ
477,Arznei::N,薬,դեղ
478,Brücke::N,橋,կամուրջ
479,Brunnen::N,井戸,հոր
480,Brunnen::N,井戸,ջրհոր
481,Weide::N,牧場,արոտավայր
482,Pfad::N,小路,արահետ
483,Weg::N,道,ուղի
484,Straße::N,街道,ճանապարհ
485,Dorf::N,村,գյուղ
486,Stadt::N,町,քաղաք
487,Stadt::N,都市,քաղաք
488,Brief::N,手紙,նամակ
489,Buch::N,本,գիրք
490,Buchstabe::N,文字,տառ
491,Buchstabe::N,文字,գիր
492,Zeitung::N,新聞,լրագիր
493,Leben::N,生活,կյանք
494,Tod::N,死,մահ
495,Grab::N,墓,գերեզման
496,Kirche::N,教会,եկեղեցի
497,Sünde::N,罪,մեղք
498,Gott::N,神,աստված
499,Arbeiter::N,労働者,բանվոր
500,Arbeiter::N,労働者,աշխատող
501,Chef::N,上司,տեր
502,Meister::N,達人,վարպետ
503,Meister::N,マイスター,վարպետ
504,Arzt::N,医者,բժիշկ
505,Lehrer::N,先生,ուսուցիչ
506,Geld::N,金,փող
507,Geschäft::N,取り引き,գործ
508,Geschäft::N,取り引き,աշխատանք
509,Laden::N,店,կրպակ
510,Laden::N,店,խանութ
511,Preis::N,値段,գին
512,Ware::N,商品,ապրանք
513,Nutzen::N,利益,օգուտ
514,Reichtum::N,豊かさ,հարստություն
515,Welt::N,世界,աշխարհ
516,Land::N,国,երկիր
517,Staat::N,国家,պետություն
518,König::N,国王,արքա
519,König::N,国王,թագավոր
520,Macht::N,権力,իշխանություն
521,Grenze::N,国境,սահման
522,Krieg::N,戦争,պատերազմ
523,Feind::N,敵,թշնամի
524,Gewalt::N,暴力,բռնություն
525,Gewalt::N,暴力,սաստկություն
526,Kampf::N,戦い,մարտ
527,Bogen[Waffe]::N,弓,աղեղ
528,Pfeil::N,矢,նետ
529,Gewehr::N,銃,հրացան
530,Fehler::N,間違い,սխալ
531,Lüge::N,嘘,սուտ
532,Schaden::N,損害,վնաս
533,Unglück::N,不幸,դժբախտություն
534,Schuld::N,罪,պակասություն
535,Alter::N,年,հասակ
536,Alter::N,年齢,հասակ
537,Schluss::N,終わり,վերջ
538,Schluss::N,終わり,վախճան
539,Zeit::N,時,ժամանակ
540,Zeit::N,時間,ժամանակ
541,Tag::N,日,օր
542,Morgen::N,朝,առավոտ
543,Mittag::N,昼,կեսօր
544,Abend::N,晩,երեկո
545,Abend::N,夕方,երեկո
546,Nacht::N,夜,գիշեր
547,Woche::N,週,շաբաթ
548,Monat::N,月,ամիս
549,Jahr::N,年,տարի
550,Frühling::N,春,գարուն
551,Sommer::N,夏,ամառ
552,Herbst::N,秋,աշուն
553,Winter::N,冬,ձմեռ
554,Januar::N,一月,հունվար
555,Februar::N,二月,փետրվար
556,März::N,三月,մարտ
557,April::N,四月,ապրիլ
558,Mai::N,五月,մայիս
559,Juni::N,六月,հունիս
560,Juli::N,七月,հուլիս
561,August::N,八月,օգոստոս
562,September::N,九月,սեպտեմբեր
563,Oktober::N,十月,հոկտեմբեր
564,November::N,十一月,նոյեմբեր
565,Dezember::N,十二月,դեկտեմբեր
566,Montag::N,月曜日,երկուշաբթի
567,Dienstag::N,火曜日,երեքշաբթի
568,Mittwoch::N,水曜日,չորեքշաբթի
569,Donnerstag::N,木曜日,հինգշաբթի
570,Freitag::N,金曜日,ուրբաթ
571,Samstag::N,土曜日,շաբաթ
572,Sonntag::N,日曜日,կիրակի
573,groß::A,大きい,մեծ
574,groß::A,大きい,խոշոր
575,klein::A,小さい,պստիկ
576,klein::A,小さい,փոքրիկ
577,lang::A,長い,երկար
578,kurz::A,短い,կարճ
579,breit::A,広い,լայն
580,schmal::A,狭い,նեղ
581,dicht::A,密な,խիտ
582,dick[Gegenstand]::A,厚い,հաստ
583,dünn::A,薄い,բարակ
584,fein::A,細い,նուրբ
585,fest::A,硬い,ամուր
586,fest::A,硬い,պինդ
587,flach::A,平らな,տափակ
588,glatt::A,滑らかな,հարթ
589,hart::A,堅い,կարծր
590,weich::A,柔らかい,մեղմ
591,weich::A,柔らかい,փափուկ
592,rund::A,丸い,կլոր
593,spitz::A,尖った,սրածայր
594,scharf::A,鋭い,սուր
595,stumpf::A,鈍い,գուլ
596,schwer::A,重い,ծանր
597,schön::A,綺麗な,սիրուն
598,schön::A,綺麗な,գեղեցիկ
599,heiß::A,熱い,թեժ
600,warm::A,温かい,տաք
601,warm::A,温かい,ջերմ
602,kalt::A,寒い,ցուրտ
603,kalt::A,冷たい,ցուրտ
604,kühl::A,涼しい,զով
605,frisch::A,ひんやりした,թարմ
606,feucht::A,湿った,ղոնավ
607,nass::A,濡れた,թաց
608,trocken::A,乾いた,ցամաք
609,voll::A,いっぱいの,լի
610,voll::A,いっぱいの,լիքը
611,leer::A,空の,դատարկ
612,offen::A,開いた,բաց
613,geschlossen::A,閉まった,գոց
614,sauber::A,清潔な,մաքուր
615,schmutzig::A,汚い,կեղտոտ
616,roh::A,生の,հում
617,reif::A,熟した,հասած
618,reif::A,熟した,հասուն
619,lecker::A,美味しい,համեղ
620,süß::A,甘い,անուշ
621,bitter::A,苦い,կծու
622,sauer::A,酸っぱい,թթու
623,sauer::A,酸っぱい,թթված
624,hell::A,明るい,պայծառ
625,hell::A,明るい,խելամիտ
626,dunkel::A,暗い,մութ
627,schwarz::A,黒い,սեւ
628,weiß::A,白い,սպիտակ
629,rot::A,赤い,կարմիր
630,gelb::A,黄色い,դեղին
631,blau::A,青い,կապույտ
632,grün::A,緑の,կանաչ
633,grau::A,灰色の,գորշ
634,bunt::A,色取り取りの,գոյնզգոյն
635,billig::A,安い,էժան
636,teuer::A,高い,թանկ
637,wertvoll::A,貴重な,թանկարժեք
638,blind::A,盲目の,կույր
639,taub::A,耳が聞こえない,խուլ
640,kräftig::A,強力な,հզոր
641,stark::A,強い,ուժեղ
642,schwach::A,弱い,տկար
643,schwach::A,弱い,թույլ
644,fett::A,太った,գեր
645,schlank::A,ほっそりした,նիհար
646,hübsch::A,素敵な,գրավիչ
647,hübsch::A,素敵な,սիրունիկ
648,böse::A,悪い,չար
649,dumm::A,馬鹿な,հիմար
650,faul::A,怠惰な,ծույլ
651,fleißig::A,勤勉な,ջանասեր
652,fleißig::A,勤勉な,փութաջան
653,geizig::A,けちな,ագահ
654,geizig::A,けちな,կծծի
655,klug::A,賢い,խելոք
656,klug::A,賢い,ընդունակ
657,klug::A,頭のいい,խելոք
658,klug::A,頭のいい,ընդունակ
659,geschickt::A,器用な,ճարտար
660,lieb::A,愛らしい,սիրելի
661,lustig::A,楽しい,զվարթ
662,sanft::A,温和な,հեզ
663,hungrig::A,空腹の,քաղցած
664,krank::A,病気の,հիվանդ
665,nackt::A,裸の,մերկ
666,traurig::A,悲しい,տխուր
667,lebendig::A,生きた,կենդանի
668,gut::A,良い,լավ
669,schlecht::A,悪い,վատ
670,schlecht::A,駄目な,վատ
671,richtig::A,正しい,ձիշտ
672,schlimm::A,ひどい,լղրճուկ
673,wahr::A,本当の,ճիշտ
674,wahr::A,本当の,իրական
675,alt::A,古い,հին
676,neu::A,新しい,նոր
677,ehemalig::A,以前の,նախկին
678,alt[Lebewesen]::A,年を取った,ծեր
679,alt[Lebewesen]::A,年を取った,պառավ
680,jung::A,若い,մատաղ
681,arm::A,貧乏な,աղքատ
682,reich::A,裕福な,հարուստ
683,bekannt::A,有名な,ծանոթ
684,berühmt::A,有名な,հայտնի
685,berühmt::A,有名な,հռչակավոր
686,fremd::A,見知らぬ,օտար
687,verschieden::A,色々な,տարբեր
688,nah::A,近い,մոտ
689,nah::A,近い,մերձ
690,fern::A,遠い,հեռավոր
691,linker::A,左の,ձախ
692,rechter::A,右の,աջ
693,anderer::A,別の,այլ
694,anderer::A,別の,ուրիշ
695,erster::A,一番目,առաջին
696,zweiter::A,二番目,երկրորդ
697,dritter::A,三番目,երրորդ
698,letzter::A,最後の,վերջին
699,allein::ADV,一人で,միայնակ
700,auf einmal::ADV,同時に,միասնաբար
701,zusammen::ADV,一緒に,միասին
702,zusammen::ADV,一緒に,իրար հետ
703,lange::ADV,長い間,երկար ժամանակ
704,plötzlich::ADV,急に,հանկարծ
705,sofort::ADV,すぐに,իսկույն
706,später::ADV,後で,ավելի ուշ
707,später::ADV,後で,հետո
708,jetzt::ADV,今,այժմ
709,heute::ADV,今日,այսօր
710,morgen::ADV,明日,վաղը
711,bald::ADV,間もなく,շուտով
712,dann::ADV,それから,ապա
713,dann::ADV,それから,հետո
714,gestern::ADV,昨日,երեկ
715,einst::ADV,過去に,հին ատեն
716,damals::ADV,あの時,ատէնին
717,danach::ADV,その後で,ապա
718,danach::ADV,その後で,այն ժամանակ
719,vorher::ADV,以前に,առաջ
720,zuerst::ADV,まず,նախ
721,zuerst::ADV,最初に,նախ
722,einmal::ADV,一回,մի անգամ
723,manchmal::ADV,時々,երբեմն
724,oft::ADV,よく,հաճախ
725,immer::ADV,いつも,միշտ
726,niemals::ADV,一度も...ない,երբեք
727,hier::ADV,こちら,այստեղ
728,hierhin::ADV,ここへ,այստեղ
729,hierhin::ADV,こちらへ,այստեղ
730,von hier::ADV,ここから,այդտեղից
731,dort::ADV,そちら,այնտեղ
732,dorthin::ADV,そこへ,այնտեղ
733,dorthin::ADV,そちらへ,այնտեղ
734,geradeaus::ADV,真っ直ぐに,ուղիղ
735,vorwärts::ADV,前へ,առաջ
736,rückwärts::ADV,後ろへ,դեպի ետ
737,zurück::ADV,後ろへ,ետ
738,unten::ADV,下に,ներքեւում
739,hinab::ADV,下へ,ներքեւ
740,oben::ADV,上に,վերեւում
741,hinauf::ADV,上へ,վերեւ
742,überall::ADV,どこでも,ամենուր
743,nicht::ADV,ない,չէ
744,ein wenig::ADV,少し,մի քիչ
745,ein wenig::ADV,ちょっと,մի քիչ
746,kaum::ADV,ほとんど～ない,հազիվ
747,sehr::ADV,とても,շատ
748,so::ADV,こう,այդպես
749,noch::ADV,まだ,դեռ
750,nur::ADV,～だけ,միայն
751,schon::ADV,もう,արդեն
752,wieder::ADV,再び,նորից
753,wieder::ADV,再び,դարձյալ
754,vergebens::ADV,無駄に,իզուր
755,vor::PRP,前に,դիմացը
756,hinter::PRP,後ろに,ետեւը
757,unter::PRP,下に,տակ
758,durch::PRP,通して,միջով
759,neben::PRP,横に,քովը
760,zwischen::PRP,間に,միջեւ
761,wegen::PRP,為に,պատճառով
762,wegen::PRP,為に,շնորհից
763,wegen::PRP,せいで,պատճառով
764,wegen::PRP,せいで,շնորհից
765,dies::PRN,これ,սա
766,dies::PRN,これ,այս
767,das::PRN,それ,դա
768,das::PRN,それ,այդ
769,alles::PRN,全部,ամեն ինչ
770,ich::PRN,私,ես
771,du::PRN,あなた,դու
772,er::PRN,彼,նա
773,wir::PRN,私達,մենք
774,ihr::PRN,あなた達,դուք
775,sie::PRN,彼ら,նրանք
776,was::FPRN,何,ինչ
777,wer::FPRN,誰,ով
