,Concept_ID,sk,sl
77,Schatten::N,tieň,sénca
78,Wetter::N,počasie,vrême
79,Nebel::N,hmla,meglà
80,Wolke::N,oblak,oblák
81,Wolke::N,mračno,oblák
82,Regen::N,dážď,dèž
83,Schnee::N,sneh,snég
84,Eis::N,ľad,léd
85,Frost::N,mráz,zmrzál
86,Kälte::N,zima,mràz
87,Kälte::N,chlad,mràz
88,Hitze::N,horúčava,pripéka
89,Raureif::N,srieň,ívje
90,Raureif::N,srieň,slána
91,Raureif::N,inovať,ívje
92,Raureif::N,inovať,slána
93,Regenbogen::N,dúha,mávrica
94,Donner::N,hrom,gròm
95,Strömung::N,prúdenie,strúja
96,Tropfen::N,kvapka,káplja
97,Schaum::N,pena,péna
98,Schmutz::N,špina,nesnága
99,Schmutz::N,nečistota,nesnága
100,See::N,jazero,jézero
101,Sumpf::N,bahno,močvírje
102,Moor::N,močiar,bárje
103,Wiese::N,lúka,trávnik
104,Wald::N,les,lés
105,Wald::N,les,gòzd
106,Wald::N,hora,lés
107,Wald::N,hora,gòzd
108,Hügel::N,vŕšok,brég
109,Hügel::N,vŕšok,goríca
110,Anhöhe::N,výšina,gríč
111,Anhöhe::N,výšina,višína
112,Anhöhe::N,vyvýšenina,gríč
113,Anhöhe::N,vyvýšenina,višína
114,Berg::N,hora,gôra
115,Berg::N,hora,planína
116,Gipfel::N,vrchol,vŕh
117,Höhle::N,jaskyňa,jáma
118,Höhle::N,jaskyňa,votlína
119,Abhang::N,úbočie,pobóčje
120,Quelle::N,prameň,izvír
121,Bach::N,potok,pôtok
122,Fluss::N,rieka,réka
123,Ufer::N,breh,brég
124,Küste::N,pobrežie,obála
125,Küste::N,pobrežie,obréžje
126,Festland::N,pevnina,celína
127,Festland::N,pevnina,kopnína
128,Meer::N,more,mórje
129,Bucht::N,záliv,zalív
130,Bucht::N,zátoka,zalív
131,Insel::N,ostrov,ôtok
132,Blume::N,kvet,cvetlíca
133,Blume::N,kvetina,cvetlíca
134,Gras::N,tráva,tráva
135,Wurzel::N,koreň,korenína
136,Baum::N,strom,drevó
137,Stamm::N,kmeň,dêblo
138,Rinde::N,kôra,lúbje
139,Rinde::N,kôra,skórja
140,Ast::N,konár,véja
141,Zweig::N,vetva,véja
142,Blatt::N,list,líst
143,Birke::N,breza,bréza
144,Kiefer[Baum]::N,sosna,bòr
145,Kiefer[Baum]::N,borovica,bòr
146,Weide[Baum]::N,vŕba,vŕba
147,Tanne::N,jedľa,hója
148,Horn::N,roh,róg
149,Feder::N,pero,peró
150,Fell::N,koža,kŕzno
151,Fell::N,kožušina,kŕzno
152,Flügel::N,krídlo,krílo
153,Klaue::N,paznecht,párkelj
154,Kralle::N,pazúr,krémpelj
155,Schwanz::N,chvost,rèp
156,Ei::N,vajce,jájce
157,Ei::N,vajíčko,jájce
158,Nest::N,hniezdo,gnézdo
159,Bau::N,nora,brlòg
160,Tier::N,zviera,živál
161,Herde::N,stádo,čréda
162,Kuh::N,krava,kráva
163,Bulle::N,býk,bìk
164,Pferd::N,kôň,kònj
165,Schaf::N,ovca,ôvca
166,Schwein::N,sviňa,svínja
167,Hund::N,pes,pès
168,Katze::N,mačka,máčka
169,Bär::N,medveď,mêdved
170,Eichhörnchen::N,veverička,véverica
171,Elch::N,los,lós
172,Fuchs::N,líška,lisíca
173,Hase::N,zajac,zájec
174,Maus::N,myš,mìš
175,Wolf::N,vlk,vólk
176,Vogel::N,vták,ptìč
177,Vogel::N,vták,ptíca
178,Schwarm::N,roj,játa
179,Huhn::N,kurča,kokóš
180,Huhn::N,sliepka,kokóš
181,Hahn::N,kohút,petêlin
182,Gans::N,hus,gós
183,Adler::N,orol,ôrel
184,Ente::N,kačka,ráca
185,Ente::N,kačica,ráca
186,Eule::N,sova,sôva
187,Kranich::N,žeriav,žerjàv
188,Krähe::N,vrana,vrána
189,Kuckuck::N,kukučka,kúkavica
190,Schwan::N,labuť,labód
191,Fisch::N,ryba,ríba
192,Barsch::N,ostriež,ostríž
193,Hecht::N,šťuka,ščúka
194,Schlange[Tier]::N,had,káča
195,Wurm::N,červ,čr̀v
196,Wurm::N,červ,glísta
197,Spinne::N,pavúk,pájek
198,Ameise::N,mravec,mrávlja
199,Laus::N,voš,úš
200,Mücke::N,komár,komár
201,Fliege::N,mucha,múha
202,Schmetterling::N,motýľ,metúlj
203,Beere::N,bobuľa,jágoda
204,Apfel::N,jablko,jábolko
205,Pilz::N,hríb,góba
206,Zwiebel::N,cibuľa,čebúla
207,Saat::N,osivo,séme
208,Korn::N,zrno,zŕno
209,Heu::N,seno,senó
210,Schale::N,šupa,lupína
211,Schale::N,škrupina,lupína
212,Grube::N,jama,jáma
213,Falle::N,pasca,pást
214,Falle::N,klepec,pást
215,Schlinge::N,slučka,zánka
216,Schlinge::N,slučka,pêtlja
217,Spur::N,stopa,sléd
218,Asche::N,popol,pepél
219,Dreck::N,kal,bláto
220,Dreck::N,blato,bláto
221,Eisen::N,železo,želézo
222,Gold::N,zlato,zlató
223,Silber::N,striebro,srebró
224,Kohle::N,uhlie,ógel
225,Glas::N,sklo,stêklo
226,Lehm::N,íl,ílo
227,Lehm::N,hlina,ílo
228,Sand::N,piesok,pések
229,Mensch::N,človek,člôvek
230,Mann::N,muž,móž
231,Mann::N,muž,môški
232,Mann::N,chlap,móž
233,Mann::N,chlap,môški
234,Frau::N,žena,gospá
235,Frau::N,žena,žénska
236,Kind::N,dieťa,déte
237,Kind::N,dieťa,otròk
238,Junge::N,chlapec,fànt
239,Junge::N,chlapec,déček
240,Mädchen::N,dievka,deklè
241,Mädchen::N,dievka,déklica
242,Familie::N,rodina,družína
243,Großvater::N,dedo,dèd
244,Großvater::N,dedo,dédek
245,Großvater::N,starý otec,dèd
246,Großvater::N,starý otec,dédek
247,Großmutter::N,babička,bábica
248,Großmutter::N,stará mať,bábica
249,Eltern::N,rodičia,stárši
250,Vater::N,otec,ôče
251,Mutter::N,mať,máma
252,Mutter::N,matka,máma
253,Sohn::N,syn,sín
254,Tochter::N,dcéra,hčí
255,Tochter::N,dcéra,hčérka
256,Bruder::N,brat,bràt
257,Schwester::N,sestra,sêstra
258,Onkel::N,ujo,újec
259,Onkel::N,ujo,stríc
260,Onkel::N,strýko,újec
261,Onkel::N,strýko,stríc
262,Tante::N,teta,têta
263,Tante::N,teta,strína
264,Tante::N,tetka,têta
265,Tante::N,tetka,strína
266,Ehemann::N,muž,móž
267,Ehemann::N,muž,sopróg
268,Ehemann::N,manžel,móž
269,Ehemann::N,manžel,sopróg
270,Ehefrau::N,žena,žêna
271,Ehefrau::N,žena,sopróga
272,Ehefrau::N,manželka,žêna
273,Ehefrau::N,manželka,sopróga
274,Freude::N,radosť,rádost
275,Freude::N,radosť,vesêlje
276,Gelächter::N,smiech,sméh
277,Gelächter::N,smiech,grohòt
278,Glück::N,šťastie,sréča
279,Kummer::N,žiaľ,gorjé
280,Kummer::N,zármutok,gorjé
281,Wunsch::N,prianie,žêlja
282,Lust::N,chuť,poželênje
283,Geist::N,duch,dúša
284,Gedanke::N,myšlienka,mísel
285,Gedächtnis::N,pamäť,pámet
286,Verstand::N,rozum,
287,Sinn::N,zmysel,pomèn
288,Sinn::N,zmysel,smísel
289,Grund::N,dôvod,vzròk
290,Grund::N,príčina,vzròk
291,Wahrheit::N,pravda,resníca
292,Gespräch::N,reč,pogóvor
293,Gespräch::N,rozhovor,pogóvor
294,Märchen::N,rozprávka,právljica
295,Erzählung::N,poviedka,povést
296,Nachricht::N,správa,sporočílo
297,Neuigkeit::N,novinka,novóst
298,Name::N,meno,imé
299,Rätsel::N,záhada,ugánka
300,Rätsel::N,hádanka,ugánka
301,Rede::N,reč,góvor
302,Sprache::N,reč,jêzik
303,Sprache::N,jazyk,jêzik
304,Stimme::N,hlas,glás
305,Wort::N,slovo,beséda
306,Zeichen::N,znak,znák
307,Ruf::N,volanie,klíc
308,Ruf::N,zavolanie,klíc
309,Lärm::N,hluk,hrúp
310,Lärm::N,hluk,trúšč
311,Lärm::N,hurhaj,hrúp
312,Lärm::N,hurhaj,trúšč
313,Laut::N,zvuk,glás
314,Ton::N,tón,tón
315,Ton::N,zvuk,tón
316,Lied::N,pieseň,pésem
317,Ruhe::N,pokoj,pokòj
318,Leute::N,ľudia,ljudjé
319,Volk::N,ľud,národ
320,Volk::N,národ,národ
321,Arbeit::N,práca,délo
322,Arbeit::N,robota,délo
323,Gast::N,hosť,gòst
324,Geschenk::N,dar,darílo
325,Spiel::N,hra,ígra
326,Gesellschaft::N,spoločnosť,drúžba
327,Hilfe::N,pomoc,pomóč
328,Freund::N,priateľ,prijátelj
329,Kamerad::N,kamarát,továriš
330,Angelegenheit::N,vec,zadéva
331,Angelegenheit::N,záležitosť,zadéva
332,Anzahl::N,počet,števílo
333,Anzahl::N,množstvo,števílo
334,Art::N,druh,vŕsta
335,Stück::N,kus,kós
336,Stück::N,kúsok,kós
337,Teil::N,časť,dél
338,Hälfte::N,polka,polovíca
339,Hälfte::N,polovica,polovíca
340,Kreis::N,kruh,króg
341,Kreis::N,kruh,kolobár
342,Kreuz::N,kríž,kríž
343,Linie::N,línia,próga
344,Strich::N,čiara,čŕta
345,Abstand::N,vzdialenosť,preslédek
346,Entfernung::N,vzdialenosť,oddáljenost
347,Gegend::N,kraj,kràj
348,Gegend::N,kraj,dežêla
349,Gegend::N,krajina,kràj
350,Gegend::N,krajina,dežêla
351,Platz::N,miesto,prôstor
352,Ort::N,miesto,mésto
353,Seite::N,bok,bòk
354,Seite::N,bok,strán
355,Seite::N,strana,bòk
356,Seite::N,strana,strán
357,Mitte::N,stred,sredína
358,Gegenstand::N,predmet,prédmet
359,Sache::N,vec,réč
360,Sache::N,vec,stvár
361,Rand::N,kraj,kràj
362,Rand::N,okraj,kràj
363,Kante::N,hrana,rób
364,Ecke::N,roh,vogál
365,Spitze::N,hrot,óst
366,Spitze::N,špička,óst
367,Ende::N,koniec,kônec
368,Loch::N,diera,lúknja
369,Winkel::N,kút,kót
370,Muster::N,vzor,vzórec
371,Muster::N,vzorka,vzórec
372,Größe::N,veľkosť,veličína
373,Länge::N,dĺžka,dolžína
374,Höhe::N,výška,vršína
375,Gewicht::N,váha,téža
376,Menge::N,množstvo,količína
377,Haufen::N,hŕba,kùp
378,Haufen::N,hŕba,kopíca
379,Reihe::N,rad,níz
380,Reihe::N,rad,vŕsta
381,Boot::N,čln,čóln
382,Ruder::N,veslo,vêslo
383,Schlitten::N,sane,saní
384,Ski::N,lyža,smučí
385,Lagerfeuer::N,táborák,táborni ôgenj
386,Last::N,ťarcha,tôvor
387,Last::N,bremeno,tôvor
388,Gang::N,chôdza,hòd
389,Schritt::N,krok,korák
390,Norden::N,sever,séver
391,Süden::N,juh,júg
392,Westen::N,západ,zapàd
393,Osten::N,východ,vzhòd
394,Holz::N,drevo,lés
395,Brett::N,doska,deskà
396,Platte::N,doska,plôča
397,Platte::N,platňa,plôča
398,Stütze::N,opora,opóra
399,Stütze::N,opora,zaslómba
400,Stange::N,tyč,gréd
401,Stock::N,palica,pálica
402,Stab::N,palica,pálica
403,Rohr::N,rúra,cév
404,Haus::N,dom,híša
405,Heim::N,domov,dóm
406,Ofen::N,pec,péč
407,Ofen::N,kachle,péč
408,Fußboden::N,dlážka,pòd
409,Fußboden::N,podlaha,pòd
410,Tisch::N,stôl,míza
411,Stuhl::N,stolička,stòl
412,Wiege::N,kolíska,zíbel
413,Bett::N,lôžko,póstelja
414,Bett::N,posteľ,póstelja
415,Regal::N,regál,políca
416,Regal::N,polica,políca
417,Kiste::N,debna,zabòj
418,Fenster::N,okno,ôkno
419,Fenster::N,oblok,ôkno
420,Tür::N,dvere,vráta
421,Tor::N,vráta,velíka vráta
422,Zaun::N,plot,ográja
423,Zaun::N,ohrada,ográja
424,Dach::N,krov,stréha
425,Dach::N,strecha,stréha
426,Leiter::N,rebrík,léstev
427,Leiter::N,rebrina,léstev
428,Besen::N,metla,mêtla
429,Spaten::N,rýľ,lopáta
430,Schaufel::N,lopata,lopáta
431,Gabel::N,vidlička,vílice
432,Löffel::N,lyžica,žlíca
433,Messer::N,nôž,nòž
434,Nagel::N,klinec,žebèlj
435,Netz::N,sieť,mréža
436,Haken::N,hák,kljúka
437,Haken::N,háčik,kljúka
438,Griff::N,rukoväť,ročáj
439,Griff::N,rukoväť,oprijèm
440,Schloss::N,zámka,ključávnica
441,Bild::N,obraz,slíka
442,Figur::N,figúra,figúra
443,Figur::N,figúra,postáva
444,Puppe::N,bábka,lútka
445,Puppe::N,bábika,lútka
446,Beutel::N,vrece,môšnja
447,Beutel::N,vrecko,môšnja
448,Bündel::N,uzlík,cúla
449,Bündel::N,uzlík,svéženj
450,Bündel::N,zväzok,cúla
451,Bündel::N,zväzok,svéženj
452,Tasche::N,taška,tórba
453,Tasche::N,taška,tobôlec
454,Tasche::N,kabelka,tórba
455,Tasche::N,kabelka,tobôlec
456,Eimer::N,vedro,vêdro
457,Deckel::N,vrchnák,pokròv
458,Deckel::N,vrchnák,poklópec
459,Deckel::N,pokrývka,pokròv
460,Deckel::N,pokrývka,poklópec
461,Geschirr::N,nádoba,posóda
462,Sack::N,mech,vréča
463,Sack::N,vrece,vréča
464,Tasse::N,šálka,skodélica
465,Topf::N,hrniec,lônec
466,Kessel::N,kotol,kôtel
467,Essen::N,jedlo,hrána
468,Nahrung::N,strava,živílo
469,Nahrung::N,potrava,živílo
470,Speise::N,jedlo,jéd
471,Fleisch::N,mäso,mesó
472,Getreide::N,obilie,žíto
473,Brei::N,kaša,káša
474,Brot::N,chlieb,krùh
475,Scheibe::N,kotúč,réženj
476,Scheibe::N,krajec,réženj
477,Fett::N,tuk,mást
478,Fett::N,tuk,maščôba
479,Fett::N,masť,mást
480,Fett::N,masť,maščôba
481,Butter::N,maslo,máslo
482,Öl::N,olej,ólje
483,Salz::N,soľ,sól
484,Suppe::N,polievka,júha
485,Honig::N,med,méd
486,Milch::N,mlieko,mléko
487,Tee::N,čaj,čáj
488,Leder::N,koža,úsnje
489,Wolle::N,vlna,vólna
490,Stoff::N,súkno,blagó
491,Nadel::N,ihla,ígla
492,Faden::N,niť,nít
493,Faden::N,vlákno,nít
494,Knopf::N,gombík,gúmb
495,Knoten::N,uzol,vôzel
496,Farbe::N,farba,bárva
497,Kleidung::N,šaty,obléka
498,Kleidung::N,šatstvo,obléka
499,Hemd::N,košeľa,srájca
500,Kragen::N,golier,ovrátnik
501,Ärmel::N,rukáv,rokáv
502,Hose::N,nohavice,hláče
503,Gürtel::N,pás,pás
504,Gürtel::N,opasok,pás
505,Mütze::N,čiapka,kápa
506,Mütze::N,čiapka,čépica
507,Schuh::N,obuv,čévelj
508,Schuh::N,topánka,čévelj
509,Stiefel::N,čižma,škórenj
510,Ring::N,prsteň,pŕstan
511,Band::N,stuha,trák
512,Kamm::N,hrebeň,glavník
513,Spiegel::N,zrkadlo,zrcálo
514,Spiegel::N,zrkadlo,ogledálo
515,Riemen::N,remeň,jêrmen
516,Schnur::N,šnúra,vŕvca
517,Leine::N,vodidlo,konôpec
518,Decke::N,deka,odéja
519,Decke::N,prikrývka,odéja
520,Kissen::N,poduška,blazína
521,Tuch::N,šatka,pŕt
522,Tuch::N,šatka,rúta
523,Handtuch::N,uterák,brisáča
524,Kraft::N,moc,síla
525,Stärke::N,sila,jákost
526,Gesundheit::N,zdravie,zdrávje
527,Krankheit::N,nemoc,bolézen
528,Krankheit::N,choroba,bolézen
529,Schmerz::N,bolesť,ból
530,Schmerz::N,bolesť,bolečína
531,Wunde::N,rana,rána
532,Fieber::N,horúčka,vročína
533,Arznei::N,liek,lék
534,Arznei::N,liek,zdravílo
535,Brücke::N,most,móst
536,Brunnen::N,studňa,vodnják
537,Weide::N,pastva,páša
538,Pfad::N,chodník,stezà
539,Weg::N,cesta,pót
540,Straße::N,hradská,césta
541,Dorf::N,dedina,vás
542,Stadt::N,mesto,mésto
543,Brief::N,list,písmo
544,Buch::N,kniha,knjíga
545,Buchstabe::N,litera,čŕka
546,Buchstabe::N,písmeno,čŕka
547,Zeitung::N,noviny,čásnik
548,Leben::N,život,življênje
549,Tod::N,smrť,smŕt
550,Grab::N,hrob,gròb
551,Kirche::N,kostol,cérkev
552,Sünde::N,hriech,gréh
553,Gott::N,boh,bóg
554,Arbeiter::N,robotník,délavec
555,Arbeiter::N,pracnovík,délavec
556,Chef::N,šéf,šéf
557,Chef::N,riaditeľ,šéf
558,Meister::N,majster,mójster
559,Arzt::N,lekár,zdravník
560,Lehrer::N,učiteľ,učítelj
561,Geld::N,peniaze,denár
562,Geschäft::N,obchod,kupčíja
563,Laden::N,obchod,trgovína
564,Preis::N,cena,céna
565,Ware::N,tovar,róba
566,Nutzen::N,osoh,príd
567,Nutzen::N,úžitok,príd
568,Reichtum::N,bohatstvo,bogástvo
569,Welt::N,svet,svét
570,Land::N,územie,dežêla
571,Land::N,krajina,dežêla
572,Staat::N,štát,držáva
573,König::N,kráľ,králj
574,Macht::N,moc,oblást
575,Macht::N,mocnosť,oblást
576,Grenze::N,hranica,mêja
577,Krieg::N,vojna,vôjna
578,Feind::N,nepriateľ,sovrážnik
579,Gewalt::N,násilie,nasílje
580,Kampf::N,boj,bòj
581,Kampf::N,boj,bórba
582,Bogen[Waffe]::N,luk,lók
583,Pfeil::N,šíp,puščíca
584,Pfeil::N,strela,puščíca
585,Gewehr::N,puška,púška
586,Fehler::N,omyl,zmóta
587,Fehler::N,chyba,zmóta
588,Lüge::N,lož,láž
589,Schaden::N,ujma,okvára
590,Schaden::N,škoda,okvára
591,Unglück::N,nešťastie,nesréča
592,Schuld::N,vina,krívda
593,Schuld::N,previnenie,krívda
594,Alter::N,vek,dôba
595,Schluss::N,záver,kônec
596,Schluss::N,koniec,kônec
597,Zeit::N,čas,čàs
598,Tag::N,deň,dán
599,Morgen::N,ráno,jútro
600,Mittag::N,poludnie,póldan
601,Abend::N,večer,večér
602,Nacht::N,noc,nóč
603,Woche::N,týždeň,téden
604,Monat::N,mesiac,mésec
605,Jahr::N,rok,léto
606,Frühling::N,jar,pomlád
607,Sommer::N,leto,polétje
608,Herbst::N,jeseň,jesén
609,Winter::N,zima,zíma
610,Januar::N,január,jánuar
611,Februar::N,február,fébruar
612,März::N,marec,márec
613,April::N,apríl,apríl
614,Mai::N,máj,máj
615,Juni::N,jún,júnij
616,Juli::N,júl,júlij
617,August::N,august,avgúst
618,September::N,september,septêmber
619,Oktober::N,október,október
620,November::N,november,novêmber
621,Dezember::N,december,decémber
622,Montag::N,pondelok,ponedéljek
623,Dienstag::N,utorok,tôrek
624,Mittwoch::N,streda,sréda
625,Donnerstag::N,štvrtok,četŕtek
626,Freitag::N,piatok,pétek
627,Samstag::N,sobota,sobóta
628,Sonntag::N,nedeľa,nedélja
629,groß::A,veľký,vêlik
630,klein::A,malý,májhen
631,lang::A,dlhý,dólg
632,kurz::A,krátky,krátek
633,breit::A,široký,širòk
634,schmal::A,úzky,ózek
635,dicht::A,hustý,góst
636,dick[Gegenstand]::A,tlstý,dêbel
637,dünn::A,tenký,tánek
638,fein::A,jemný,drôben
639,fest::A,pevný,tŕden
640,flach::A,rovný,plán
641,flach::A,rovný,plòsk
642,flach::A,plochý,plán
643,flach::A,plochý,plòsk
644,glatt::A,hladký,gládek
645,hart::A,tvrdý,tŕd
646,weich::A,mäkký,mehák
647,rund::A,guľatý,okrógel
648,rund::A,okrúhly,okrógel
649,spitz::A,končitý,šílast
650,scharf::A,ostrý,óster
651,stumpf::A,tupý,tóp
652,stumpf::A,tupý,skŕhan
653,schwer::A,ťažký,têžek
654,schön::A,pekný,lép
655,schön::A,pekný,krásen
656,schön::A,krásny,lép
657,schön::A,krásny,krásen
658,heiß::A,horúci,vròč
659,warm::A,teplý,tôpel
660,kalt::A,studený,mŕzel
661,kalt::A,studený,hláden
662,kühl::A,chladný,hláden
663,frisch::A,svieži,svéž
664,feucht::A,vlhký,vlážen
665,feucht::A,zvlhnutý,vlážen
666,nass::A,mokrý,móker
667,trocken::A,suchý,súh
668,voll::A,plný,póln
669,leer::A,prázdny,prázen
670,offen::A,otvorený,odpŕt
671,geschlossen::A,zavretý,zapŕt
672,sauber::A,čistý,číst
673,sauber::A,čistý,líčen
674,schmutzig::A,špinavý,umázan
675,roh::A,surový,suròv
676,reif::A,zrelý,zrèl
677,lecker::A,chutný,okúsen
678,süß::A,sladký,sládek
679,bitter::A,horký,grenák
680,sauer::A,kyslý,kísel
681,hell::A,jasný,svetèl
682,hell::A,svetlý,svetèl
683,dunkel::A,temný,temèn
684,schwarz::A,čierny,čŕn
685,weiß::A,biely,bél
686,rot::A,červený,rdèč
687,gelb::A,žltý,žólt
688,gelb::A,žltý,rumèn
689,blau::A,modrý,móder
690,blau::A,belasý,móder
691,grün::A,zelený,zelèn
692,grau::A,šedý,sív
693,bunt::A,pestrý,písan
694,billig::A,lacný,pocéni
695,teuer::A,drahý,drág
696,wertvoll::A,cenný,dragocén
697,blind::A,slepý,slép
698,taub::A,hluchý,glúh
699,kräftig::A,silný,močán
700,stark::A,silný,ják
701,schwach::A,slabý,šíbek
702,schwach::A,bezvládny,šíbek
703,fett::A,tučný,dêbel
704,schlank::A,štíhly,vítek
705,hübsch::A,šumný,lép
706,hübsch::A,švárny,lép
707,böse::A,zlý,zèl
708,böse::A,zlý,hudôben
709,dumm::A,hlúpy,glúp
710,dumm::A,hlúpy,bédast
711,faul::A,lenivý,lén
712,fleißig::A,snaživý,marljív
713,fleißig::A,usilovný,marljív
714,geizig::A,skupý,škŕt
715,geizig::A,lakomý,škŕt
716,klug::A,múdry,pámeten
717,klug::A,bystrý,pámeten
718,geschickt::A,zručný,spréten
719,geschickt::A,šikovný,spréten
720,lieb::A,milý,míl
721,lieb::A,milý,ljúb
722,lustig::A,veselý,vesél
723,sanft::A,nežný,láhek
724,hungrig::A,lačný,láčen
725,hungrig::A,hladný,láčen
726,krank::A,chorý,bolán
727,krank::A,nemocný,bolán
728,nackt::A,nahý,nág
729,traurig::A,smutný,túžen
730,lebendig::A,živý,žív
731,gut::A,dobrý,dóber
732,schlecht::A,zlý,malopríden
733,richtig::A,správny,pravílen
734,schlimm::A,zlý,húd
735,schlimm::A,nepríjemný,húd
736,wahr::A,pravý,resníčen
737,wahr::A,pravdivý,resníčen
738,alt::A,starý,stàr
739,neu::A,nový,nòv
740,ehemalig::A,bývalý,nekdánji
741,alt[Lebewesen]::A,starý,stàr
742,jung::A,mladý,mlád
743,arm::A,chudobný,ubóg
744,arm::A,chudobný,réven
745,reich::A,bohatý,bogàt
746,bekannt::A,známy,znán
747,berühmt::A,slávny,sláven
748,berühmt::A,slávny,znamenít
749,berühmt::A,povestný,sláven
750,berühmt::A,povestný,znamenít
751,fremd::A,cudzí,túj
752,verschieden::A,rôzny,razlíčen
753,verschieden::A,rozličný,razlíčen
754,nah::A,blízky,blížnji
755,fern::A,ďaleký,dáleč
756,linker::A,ľavý,lévi
757,rechter::A,pravý,désni
758,anderer::A,iný,drúgi
759,anderer::A,druhý,drúgi
760,erster::A,prvý,pŕvi
761,zweiter::A,druhý,drúgi
762,dritter::A,tretí,trétji
763,letzter::A,ostatný,poslédnji
764,letzter::A,posledný,poslédnji
765,allein::ADV,sám,sám
766,auf einmal::ADV,zároveň,obênem
767,zusammen::ADV,spolu,skúpaj
768,zusammen::ADV,spoločne,skúpaj
769,lange::ADV,dlho,dólgo
770,plötzlich::ADV,náhle,náglo
771,plötzlich::ADV,náhle,nenádoma
772,sofort::ADV,hneď,prècej
773,sofort::ADV,ihneď,prècej
774,später::ADV,neskoršie,poznêje
775,jetzt::ADV,teraz,zdàj
776,heute::ADV,dnes,dánes
777,morgen::ADV,zajtra,jútri
778,bald::ADV,skoro,kmálu
779,dann::ADV,nato,nató
780,dann::ADV,potom,nató
781,gestern::ADV,včera,včéraj
782,einst::ADV,kedysi,nékdaj
783,einst::ADV,niekedy,nékdaj
784,damals::ADV,vtedy,tedàj
785,damals::ADV,vtedy,takràt
786,danach::ADV,potom,potèm
787,danach::ADV,podľa toho,potèm
788,vorher::ADV,napred,poprèj
789,vorher::ADV,predtým,poprèj
790,zuerst::ADV,najprv,spŕva
791,einmal::ADV,raz,ênkrat
792,einmal::ADV,jedenkrát,ênkrat
793,manchmal::ADV,občas,včásih
794,manchmal::ADV,niekedy,včásih
795,oft::ADV,často,pogósto
796,immer::ADV,vždy,védno
797,immer::ADV,vždy,zméraj
798,immer::ADV,ustavične,védno
799,immer::ADV,ustavične,zméraj
800,niemals::ADV,nikdy,nikdàr
801,hier::ADV,tu,tù
802,hier::ADV,tu,túkaj
803,hierhin::ADV,sem,sèmkaj
804,hierhin::ADV,tade,sèmkaj
805,von hier::ADV,odtiaľto,od tú
806,dort::ADV,tam,tàm
807,dorthin::ADV,ta,tjà
808,dorthin::ADV,tam,tjà
809,geradeaus::ADV,rovno,rávno napréj
810,geradeaus::ADV,priamo,rávno napréj
811,vorwärts::ADV,napred,napréj
812,rückwärts::ADV,nazad,zádaj
813,zurück::ADV,späť,nazáj
814,zurück::ADV,naspäť,nazáj
815,unten::ADV,dolu,dôli
