,Concept_ID,da,nl
209,Mann::N,mand,man
210,Frau::N,kvinde,vrouw
211,Kind::N,barn,kind
212,Junge::N,dreng,jongen
213,Mädchen::N,pige,meisje
214,Familie::N,familie,gezin
215,Familie::N,familie,familie
216,Großvater::N,bedstefar,grootvader
217,Großmutter::N,bedstemor,grootmoeder
218,Eltern::N,forældre,ouders
219,Vater::N,far,vader
220,Mutter::N,mor,moeder
221,Sohn::N,søn,zoon
222,Tochter::N,datter,dochter
223,Bruder::N,bror,broer
224,Bruder::N,bror,broeder
225,Schwester::N,søster,zus
226,Schwester::N,søster,zuster
227,Onkel::N,onkel,oom
228,Tante::N,tante,tante
229,Ehemann::N,ægtemand,echtgenoot
230,Ehefrau::N,hustru,echtgenote
231,Freude::N,glæde,vreugde
232,Gelächter::N,latter,gelach
233,Glück::N,lykke,geluk
234,Kummer::N,sorg,verdriet
235,Wunsch::N,ønske,wens
236,Wunsch::N,ønske,verlangen
237,Lust::N,lyst,zin
238,Lust::N,lyst,lust
239,Geist::N,ånd,geest
240,Gedanke::N,tanke,gedachte
241,Gedächtnis::N,hukommelse,geheugen
242,Verstand::N,forstand,verstand
243,Sinn::N,mening,betekenis
244,Sinn::N,betydning,betekenis
245,Grund::N,grund,reden
246,Wahrheit::N,sandhed,waarheid
247,Gespräch::N,samtale,gesprek
248,Märchen::N,eventyr,sprookje
249,Erzählung::N,fortælling,verhaal
250,Nachricht::N,efterretning,tijding
251,Neuigkeit::N,nyhed,nieuws
252,Neuigkeit::N,nyhed,nieuwtje
253,Name::N,navn,naam
254,Rätsel::N,gåde,raadsel
255,Rede::N,tale,rede
256,Sprache::N,sprog,taal
257,Stimme::N,stemme,stem
258,Wort::N,ord,woord
259,Zeichen::N,tegn,teken
260,Ruf::N,råb,roep
261,Lärm::N,larm,lawaai
262,Laut::N,lyd,klank
263,Laut::N,lyd,geluid
264,Ton::N,tone,toon
265,Ton::N,tone,klank
266,Lied::N,sang,lied
267,Ruhe::N,ro,rust
268,Ruhe::N,ro,stilte
269,Ruhe::N,hvile,rust
270,Ruhe::N,hvile,stilte
271,Leute::N,folk,lui
272,Leute::N,folk,mensen
273,Leute::N,mennesker,lui
274,Leute::N,mennesker,mensen
275,Volk::N,folk,volk
276,Arbeit::N,arbejde,werk
277,Arbeit::N,arbejde,arbeid
278,Gast::N,gæst,gast
279,Geschenk::N,gave,cadeau
280,Geschenk::N,gave,geschenk
281,Spiel::N,leg,spel
282,Gesellschaft::N,selskab,gezelschap
283,Hilfe::N,hjælp,hulp
284,Freund::N,ven,vriend
285,Kamerad::N,kammerat,maat
286,Kamerad::N,kammerat,metgezel
287,Angelegenheit::N,sag,zaak
288,Angelegenheit::N,sag,aangelegenheid
289,Angelegenheit::N,anliggende,zaak
290,Angelegenheit::N,anliggende,aangelegenheid
291,Anzahl::N,antal,tal
292,Anzahl::N,antal,aantal
293,Art::N,art,slag
294,Art::N,art,soort
295,Stück::N,stykke,stuk
296,Teil::N,del,deel
297,Hälfte::N,halvdel,helft
298,Kreis::N,cirkel,kring
299,Kreis::N,cirkel,cirkel
300,Kreuz::N,kors,kruis
301,Kreuz::N,kryds,kruis
302,Linie::N,linie,lijn
303,Strich::N,streg,haal
304,Strich::N,streg,streep
305,Abstand::N,afstand,afstand
306,Entfernung::N,afstand,afstand
307,Gegend::N,egn,streek
308,Platz::N,plads,ruimte
309,Ort::N,sted,oord
310,Ort::N,sted,plaats
311,Seite::N,side,zij
312,Seite::N,side,kant
313,Seite::N,side,zijde
314,Mitte::N,midte,midden
315,Gegenstand::N,genstand,voorwerp
316,Sache::N,sag,zaak
317,Rand::N,rand,rand
318,Rand::N,rand,boord
319,Kante::N,kant,kant
320,Ecke::N,hjørne,hoek
321,Spitze::N,spids,punt
322,Spitze::N,spids,spits
323,Ende::N,ende,einde
324,Ende::N,ende,uiteinde
325,Loch::N,hul,gat
326,Winkel::N,vinkel,hoek
327,Muster::N,mønster,dessin
328,Muster::N,mønster,patroon
329,Größe::N,størrelse,grootte
330,Länge::N,længde,lengte
331,Höhe::N,højde,hoogte
332,Gewicht::N,vægt,gewicht
333,Menge::N,mængde,hoeveelheid
334,Haufen::N,bunke,hoop
335,Reihe::N,række,rij
336,Reihe::N,række,reeks
337,Boot::N,båd,boot
338,Ruder::N,åre,roeiriem
339,Schlitten::N,kælk,slee
340,Schlitten::N,kælk,slede
341,Schlitten::N,slæde,slee
342,Schlitten::N,slæde,slede
343,Ski::N,ski,ski
344,Lagerfeuer::N,lejrbål,kampvuur
345,Last::N,last,last
346,Last::N,last,vracht
347,Last::N,byrde,last
348,Last::N,byrde,vracht
349,Gang::N,gang,wandeling
350,Schritt::N,skridt,stap
351,Schritt::N,skridt,schrede
352,Norden::N,nord,noorden
353,Süden::N,syd,zuiden
354,Westen::N,vest,westen
355,Osten::N,øst,oosten
356,Holz::N,træ,hout
357,Brett::N,bræt,plank
358,Platte::N,plade,plaat
359,Stütze::N,støtte,stut
360,Stütze::N,støtte,steun
361,Stange::N,stang,stang
362,Stock::N,stok,stok
363,Stab::N,stav,staf
364,Rohr::N,rør,pijp
365,Haus::N,hus,huis
366,Heim::N,hjem,tehuis
367,Ofen::N,ovn,kachel
368,Fußboden::N,gulv,vloer
369,Tisch::N,bord,tafel
370,Stuhl::N,stol,stoel
371,Wiege::N,vugge,wieg
372,Bett::N,seng,bed
373,Regal::N,reol,rek
374,Kiste::N,kasse,kist
375,Fenster::N,vindue,raam
376,Fenster::N,vindue,venster
377,Tür::N,dør,deur
378,Tor::N,port,poort
379,Zaun::N,stakit,omheining
380,Dach::N,tag,dak
381,Leiter::N,stige,ladder
382,Besen::N,kost,bezem
383,Spaten::N,spade,schop
384,Schaufel::N,skovl,schep
385,Gabel::N,gaffel,vork
386,Löffel::N,ske,lepel
387,Messer::N,kniv,mes
388,Nagel::N,søm,spijker
389,Netz::N,net,net
390,Haken::N,krog,haak
391,Griff::N,tag,handvat
392,Griff::N,håndtag,handvat
393,Schloss::N,lås,slot
394,Bild::N,billede,beeld
395,Figur::N,figur,figuur
396,Puppe::N,dukke,pop
397,Beutel::N,pose,zak
398,Beutel::N,pose,buidel
399,Bündel::N,bylt,pak
400,Bündel::N,bylt,bundel
401,Bündel::N,bundt,pak
402,Bündel::N,bundt,bundel
403,Tasche::N,taske,tas
404,Eimer::N,spand,emmer
405,Deckel::N,låg,deksel
406,Geschirr::N,husgeråd,vaatwerk
407,Sack::N,sæk,zak
408,Tasse::N,kop,kop
409,Topf::N,gryde,pan
410,Kessel::N,kedel,ketel
411,Essen::N,måltid,eten
412,Nahrung::N,mad,voedsel
413,Nahrung::N,næring,voedsel
414,Speise::N,ret,spijs
415,Fleisch::N,kød,vlees
416,Getreide::N,korn,graan
417,Brei::N,grød,pap
418,Brei::N,grød,brij
419,Brot::N,brød,brood
420,Scheibe::N,skive,plak
421,Scheibe::N,skive,snede
422,Fett::N,fedt,vet
423,Butter::N,smør,boter
424,Öl::N,olie,olie
425,Salz::N,salt,zout
426,Suppe::N,suppe,soep
427,Honig::N,honning,honing
428,Milch::N,mælk,melk
429,Tee::N,te,thee
430,Leder::N,skind,leer
431,Leder::N,skind,leder
432,Wolle::N,uld,wol
433,Stoff::N,stof,stof
434,Nadel::N,nål,naald
435,Faden::N,tråd,draad
436,Knopf::N,knap,knoop
437,Knoten::N,knude,knoop
438,Farbe::N,farve,verf
439,Kleidung::N,påklædning,kledij
440,Kleidung::N,påklædning,kleding
441,Hemd::N,skjorte,hemd
442,Kragen::N,krave,kraag
443,Ärmel::N,ærme,mouw
444,Hose::N,bukser,broek
445,Hose::N,bukser,pantalon
446,Gürtel::N,bælte,riem
447,Gürtel::N,bælte,gordel
448,Mütze::N,hue,muts
449,Schuh::N,sko,schoen
450,Stiefel::N,støvle,laars
451,Ring::N,ring,ring
452,Band::N,bånd,lint
453,Kamm::N,kam,kam
454,Spiegel::N,spejl,spiegel
455,Riemen::N,rem,riem
456,Schnur::N,snor,koord
457,Leine::N,snor,lijn
458,Decke::N,tæppe,deken
459,Kissen::N,pude,kussen
460,Tuch::N,sjaltørklæde,doek
461,Handtuch::N,håndklæde,handdoek
462,Kraft::N,kraft,kracht
463,Stärke::N,styrke,sterkte
464,Gesundheit::N,sundhed,gezondheid
465,Krankheit::N,sygdom,ziekte
466,Schmerz::N,smerte,pijn
467,Wunde::N,sår,wond
468,Fieber::N,feber,koorts
469,Arznei::N,medicin,medicament
470,Arznei::N,medicin,geneesmiddel
471,Arznei::N,lægemiddel,medicament
472,Arznei::N,lægemiddel,geneesmiddel
473,Brücke::N,bro,brug
474,Brunnen::N,brønd,put
475,Brunnen::N,brønd,bron
476,Weide::N,græsgang,wei
477,Weide::N,græsgang,weide
478,Pfad::N,sti,pad
479,Weg::N,vej,weg
480,Straße::N,gade,baan
481,Straße::N,gade,straat
482,Dorf::N,landsby,dorp
483,Stadt::N,by,stad
484,Brief::N,brev,brief
485,Buch::N,bog,boek
486,Buchstabe::N,bogstav,letter
487,Zeitung::N,avis,krant
488,Zeitung::N,avis,dagblad
489,Leben::N,liv,leven
490,Tod::N,død,dood
491,Grab::N,grav,graf
492,Kirche::N,kirke,kerk
493,Sünde::N,synd,zonde
494,Gott::N,gud,god
495,Arbeiter::N,arbejder,arbeider
496,Chef::N,chef,chef
497,Meister::N,mester,meester
498,Arzt::N,læge,arts
499,Arzt::N,læge,dokter
500,Lehrer::N,lærer,leraar
501,Lehrer::N,lærer,onderwijzer
502,Geld::N,penge,geld
503,Geschäft::N,forretning,zaak
504,Laden::N,butik,winkel
505,Laden::N,forretning,winkel
506,Preis::N,pris,prijs
507,Ware::N,vare,waar
508,Nutzen::N,nytte,nut
509,Nutzen::N,nytte,voordeel
510,Reichtum::N,rigdom,rijkdom
511,Welt::N,verden,wereld
512,Land::N,land,land
513,Staat::N,stat,staat
514,König::N,konge,koning
515,Macht::N,magt,macht
516,Grenze::N,grænse,grens
517,Krieg::N,krig,oorlog
518,Feind::N,fjende,vijand
519,Gewalt::N,vold,geweld
520,Kampf::N,kamp,strijd
521,Kampf::N,kamp,gevecht
522,Bogen[Waffe]::N,bue,boog
523,Pfeil::N,pil,pijl
524,Gewehr::N,gevær,geweer
525,Fehler::N,fejl,fout
526,Lüge::N,løgn,leugen
527,Schaden::N,skade,schade
528,Unglück::N,uheld,tegenspoed
529,Unglück::N,ulykke,tegenspoed
530,Schuld::N,skyld,schuld
531,Alter::N,alder,leeftijd
532,Schluss::N,slut,slot
533,Schluss::N,slutning,slot
534,Zeit::N,tid,tijd
535,Tag::N,dag,dag
536,Morgen::N,morgen,morgen
537,Morgen::N,morgen,ochtend
538,Mittag::N,middag,middag
539,Abend::N,aften,avond
540,Nacht::N,nat,nacht
541,Woche::N,uge,week
542,Monat::N,måned,maand
543,Jahr::N,år,jaar
544,Frühling::N,forår,lente
545,Frühling::N,forår,voorjaar
546,Sommer::N,sommer,zomer
547,Herbst::N,efterår,herfst
548,Winter::N,vinter,winter
549,Januar::N,januar,januari
550,Februar::N,februar,februari
551,März::N,marts,maart
552,April::N,april,april
553,Mai::N,maj,mei
554,Juni::N,juni,juni
555,Juli::N,juli,juli
556,August::N,august,augustus
557,September::N,september,september
558,Oktober::N,oktober,oktober
559,November::N,november,november
560,Dezember::N,december,december
561,Montag::N,mandag,maandag
562,Dienstag::N,tirsdag,dinsdag
563,Mittwoch::N,onsdag,woensdag
564,Donnerstag::N,torsdag,donderdag
565,Freitag::N,fredag,vrijdag
566,Samstag::N,lørdag,zaterdag
567,Sonntag::N,søndag,zondag
568,groß::A,stor,groot
569,klein::A,lille,klein
570,lang::A,lang,lang
571,kurz::A,kort,kort
572,breit::A,bred,breed
573,schmal::A,smal,smal
574,dicht::A,tæt,dicht
575,dick[Gegenstand]::A,tyk,dik
576,dünn::A,tynd,dun
577,fein::A,fin,fijn
578,fest::A,fast,vast
579,flach::A,flad,plat
580,glatt::A,glat,glad
581,hart::A,hård,hard
582,weich::A,blød,week
583,rund::A,rund,rond
584,spitz::A,spids,spits
585,spitz::A,spids,puntig
586,scharf::A,skarp,scherp
587,stumpf::A,sløv,stomp
588,stumpf::A,stump,stomp
589,schwer::A,tung,zwaar
590,schön::A,skøn,mooi
591,schön::A,skøn,fraai
592,heiß::A,hed,heet
593,warm::A,varm,warm
594,kalt::A,kold,koud
595,kühl::A,kølig,koel
596,frisch::A,frisk,fris
597,feucht::A,fugtig,vochtig
598,nass::A,våd,nat
599,trocken::A,tør,droog
600,voll::A,fuld,vol
601,leer::A,tom,leeg
602,offen::A,åben,open
603,geschlossen::A,lukket,gesloten
604,sauber::A,ren,net
605,sauber::A,ren,schoon
606,schmutzig::A,snavset,vuil
607,roh::A,rå,rauw
608,reif::A,moden,rijp
609,lecker::A,lækker,lekker
610,süß::A,sød,zoet
611,bitter::A,bitter,bitter
612,sauer::A,sur,zuur
613,hell::A,lys,licht
614,hell::A,lys,helder
615,dunkel::A,mørk,donker
616,schwarz::A,sort,zwart
617,weiß::A,hvid,wit
618,rot::A,rød,rood
619,gelb::A,gul,geel
620,blau::A,blå,blauw
621,grün::A,grøn,groen
622,grau::A,grå,grijs
623,bunt::A,broget,bont
624,billig::A,billig,goedkoop
625,teuer::A,dyr,duur
626,wertvoll::A,værdifuld,kostbaar
627,wertvoll::A,værdifuld,waardevol
628,blind::A,blind,blind
629,taub::A,døv,doof
630,kräftig::A,kraftig,krachtig
631,stark::A,stærk,sterk
632,schwach::A,svag,zwak
633,fett::A,fed,vet
634,schlank::A,slank,slank
635,hübsch::A,køn,leuk
636,böse::A,ond,kwaad
637,böse::A,slem,kwaad
638,dumm::A,dum,dom
639,faul::A,doven,lui
640,fleißig::A,flittig,vlijtig
641,geizig::A,gerrig,gierig
642,klug::A,klog,slim
643,klug::A,klog,schrander
644,klug::A,klog,verstandig
645,geschickt::A,dygtig,handig
646,geschickt::A,dygtig,vaardig
647,geschickt::A,behændig,handig
648,geschickt::A,behændig,vaardig
649,lieb::A,rar,lief
650,lustig::A,lystig,vrolijk
651,sanft::A,blid,zacht
652,hungrig::A,sulten,hongerig
653,krank::A,syg,ziek
654,nackt::A,nøgen,naakt
655,traurig::A,bedrøvet,treurig
656,traurig::A,bedrøvet,bedroefd
657,lebendig::A,levende,levend
658,gut::A,god,goed
659,schlecht::A,dårlig,slecht
660,richtig::A,rigtig,juist
661,schlimm::A,slem,erg
662,schlimm::A,slem,kwaad
663,wahr::A,sand,waar
664,alt::A,gammel,oud
665,neu::A,ny,nieuw
666,ehemalig::A,forhenværende,voormalig
667,alt[Lebewesen]::A,gammel,oud
668,jung::A,ung,jong
669,arm::A,fattig,arm
670,reich::A,rig,rijk
671,bekannt::A,kendt,bekend
672,berühmt::A,berømt,beroemd
673,fremd::A,fremmed,vreemd
674,verschieden::A,forskellig,verscheiden
675,verschieden::A,forskellig,verschillend
676,nah::A,nær,nabij
677,nah::A,nær,nabijgelegen
678,fern::A,fjern,ver
679,linker::A,venstre,linker
680,rechter::A,højre,rechter
681,anderer::A,anden,andere
682,erster::A,første,eerste
683,zweiter::A,anden,tweede
684,dritter::A,tredje,derde
685,letzter::A,sidste,laatste
686,allein::ADV,alene,alleen
687,auf einmal::ADV,på én gang,ineens
688,auf einmal::ADV,på én gang,tegelijk
689,zusammen::ADV,sammen,samen
690,zusammen::ADV,sammen,bijeen
691,lange::ADV,længe,lang
692,plötzlich::ADV,pludselig,eensklaps
693,plötzlich::ADV,pludselig,plotsklaps
694,sofort::ADV,straks,terstond
695,sofort::ADV,straks,aanstonds
696,sofort::ADV,straks,onmiddelijk
697,später::ADV,senere,later
698,jetzt::ADV,nu,nu
699,jetzt::ADV,nu,nou
700,jetzt::ADV,nu,thans
701,heute::ADV,i dag,heden
702,heute::ADV,i dag,vandaag
703,morgen::ADV,i morgen,morgen
704,bald::ADV,snart,gauw
705,bald::ADV,snart,weldra
706,dann::ADV,så,dan
707,dann::ADV,så,toen
708,gestern::ADV,i går,gisteren
709,einst::ADV,engang,eens
710,damals::ADV,dengang,toen
711,damals::ADV,dengang,destijds
712,danach::ADV,derefter,daarna
713,vorher::ADV,før,vooraf
714,vorher::ADV,før,van tevoren
715,vorher::ADV,forud,vooraf
716,vorher::ADV,forud,van tevoren
717,zuerst::ADV,først,eerst
718,zuerst::ADV,først,het eerst
719,einmal::ADV,en gang,eens
720,einmal::ADV,en gang,eenmaal
721,manchmal::ADV,sommetider,soms
722,oft::ADV,ofte,vaak
723,oft::ADV,ofte,dikwijls
724,immer::ADV,altid,altijd
725,niemals::ADV,aldrig,nooit
726,hier::ADV,her,hier
727,hierhin::ADV,hid,hierheen
728,hierhin::ADV,herhen,hierheen
729,von hier::ADV,herfra,van hier
730,von hier::ADV,herfra,hiervandaan
731,dort::ADV,der,daar
732,dort::ADV,der,ginds
733,dorthin::ADV,derhen,daarheen
734,geradeaus::ADV,lige ud,rechtuit
735,geradeaus::ADV,lige ud,rechtdoor
736,vorwärts::ADV,fremad,vooruit
737,vorwärts::ADV,fremad,voorwaarts
738,rückwärts::ADV,baglæns,achteruit
739,rückwärts::ADV,baglæns,achterwaarts
740,zurück::ADV,tilbage,terug
741,unten::ADV,nede,beneden
742,unten::ADV,nede,onderaan
743,unten::ADV,forneden,beneden
744,unten::ADV,forneden,onderaan
745,hinab::ADV,ned,omlaag
746,hinab::ADV,ned,naar beneden
747,hinab::ADV,nedad,omlaag
748,hinab::ADV,nedad,naar beneden
749,oben::ADV,oppe,boven
750,oben::ADV,ovenpå,boven
751,hinauf::ADV,op,omhoog
752,hinauf::ADV,op,naar boven
753,hinauf::ADV,opad,omhoog
754,hinauf::ADV,opad,naar boven
755,überall::ADV,overalt,alom
756,überall::ADV,overalt,overal
757,nicht::ADV,ikke,niet
758,ein wenig::ADV,lidt,wat
759,kaum::ADV,knap,amper
760,kaum::ADV,knap,nauwelijks
761,kaum::ADV,næppe,amper
762,kaum::ADV,næppe,nauwelijks
763,sehr::ADV,meget,erg
764,sehr::ADV,meget,zeer
765,so::ADV,så,zo
766,noch::ADV,endnu,nog
767,nur::ADV,kun,maar
768,nur::ADV,kun,alleen
769,nur::ADV,bare,maar
770,nur::ADV,bare,alleen
771,schon::ADV,alt,al
772,schon::ADV,alt,reeds
773,schon::ADV,allerede,al
774,schon::ADV,allerede,reeds
775,wieder::ADV,igen,weer
776,wieder::ADV,igen,terug
777,vergebens::ADV,forgæves,vergeefs
778,vergebens::ADV,forgæves,tevergeefs
779,vor::PRP,foran,voor
780,vor::PRP,uden for,voor
781,hinter::PRP,bag,achter
782,hinter::PRP,bagved,achter
783,unter::PRP,under,onder
784,unter::PRP,under,beneden
785,durch::PRP,gennem,door
786,durch::PRP,igennem,door
787,neben::PRP,ved siden af,naast
788,zwischen::PRP,mellem,tussen
789,wegen::PRP,på grund af,wegens
790,wegen::PRP,på grund af,vanwege
791,dies::PRN,dette,dit
792,das::PRN,det,dat
793,alles::PRN,alt,alles
794,ich::PRN,jeg,ik
795,du::PRN,du,je
796,du::PRN,du,jij
797,er::PRN,han,hij
798,wir::PRN,vi,we
799,wir::PRN,vi,wij
800,ihr::PRN,I,jullie
801,sie::PRN,de,ze
802,sie::PRN,de,zij
803,was::FPRN,hvad,wat
804,wer::FPRN,hvem,wie
805,wo::FADV,hvor,waar
806,wohin::FADV,hvorhen,waarheen
807,wie::FADV,hvordan,hoe
808,warum::FADV,hvorfor,waarom
809,wieviel::FNUM,hvor meget,hoeveel
810,eins::NUM,én,één
811,zwei::NUM,to,twee
812,drei::NUM,tre,drie
813,vier::NUM,fire,vier
814,fünf::NUM,fem,vijf
815,sechs::NUM,seks,zes
816,sieben::NUM,syv,zeven
817,acht::NUM,otte,acht
818,neun::NUM,ni,negen
819,zehn::NUM,ti,tien
820,elf::NUM,elleve,elf
821,zwölf::NUM,tolv,twaalf
822,zwanzig::NUM,tyve,twintig
823,dreißig::NUM,tredive,dertig
824,vierzig::NUM,fyrre,veertig
825,vierzig::NUM,fyrretyve,veertig
826,fünfzig::NUM,halvtreds,vijftig
827,sechzig::NUM,tres,zestig
828,siebzig::NUM,halvfjerds,zeventig
829,achtzig::NUM,firs,tachtig
830,neunzig::NUM,halvfems,negentig
831,hundert::NUM,hundrede,honderd
832,tausend::NUM,tusind,duizend
833,und::CNJ,og,en
834,oder::CNJ,eller,of
835,stehen::V,stå,staan
836,sitzen::V,sidde,zitten
837,liegen::V,ligge,liggen
838,hängen::V,hænge,hangen
839,werden::V,blive,worden
840,passieren::V,ske,gebeuren
841,passieren::V,hænde,gebeuren
842,beginnen::V,begynde,beginnen
843,enden::V,ende,eindigen
844,wechseln::V,veksle,wijzigen
845,wechseln::V,veksle,veranderen
846,aufgehen[Sonne]::V,gå op,opgaan
847,aufgehen[Sonne]::V,stå op,opgaan
848,untergehen[Sonne]::V,gå ned,ondergaan
849,scheinen[Sonne]::V,skinne,schijnen
850,donnern::V,tordne,donderen
851,wehen::V,blæse,waaien
852,strömen::V,strømme,stromen
853,fließen::V,flyde,vloeien
854,sich drehen::V,dreje sig,draaien
855,sich drehen::V,dreje sig,zich draaien
856,schwanken::V,vakle,wankelen
