,Concept_ID,it,av
258,Freude::N,piacere,ракӏбохи
259,Gelächter::N,risata,релъи
260,Glück::N,felicità,талихӏ
261,Glück::N,felicità,талихӏ-рохел
262,Kummer::N,afflizione,хӏалкъай
263,Wunsch::N,desiderio,къасд
264,Lust::N,voglia,гъира
265,Geist::N,mente,чӏанкӏ
266,Geist::N,mente,рухӏ-жан
267,Geist::N,spìrito,чӏанкӏ
268,Geist::N,spìrito,рухӏ-жан
269,Gedanke::N,idea,пикру
270,Gedanke::N,pensiero,пикру
271,Gedächtnis::N,memoria,
272,Verstand::N,intelletto,лумалъи
273,Verstand::N,intelletto,цӏодорлъи
274,Sinn::N,senso,магӏна
275,Sinn::N,significato,магӏна
276,Grund::N,causa,багьана
277,Grund::N,motivo,багьана
278,Grund::N,ragione,багьана
279,Wahrheit::N,verità,ритӏухълъи
280,Gespräch::N,discorso,накъит
281,Gespräch::N,conversazione,накъит
282,Märchen::N,fiaba,маргьа
283,Märchen::N,fàvola,маргьа
284,Erzählung::N,racconto,къиса
285,Erzählung::N,narrazione,къиса
286,Nachricht::N,messaggio,хабар
287,Neuigkeit::N,notizia,хабар-гӏазаб
288,Name::N,nome,цӏар
289,Rätsel::N,indovinello,бицанкӏо
290,Rede::N,discorso,речь
291,Rede::N,discorso,калам
292,Sprache::N,lingua,мацӏ
293,Sprache::N,linguaggio,мацӏ
294,Stimme::N,voce,гьаракь
295,Wort::N,parola,рагӏи
296,Zeichen::N,segno,ишара
297,Zeichen::N,segno,гӏаламат
298,Zeichen::N,segnale,ишара
299,Zeichen::N,segnale,гӏаламат
300,Ruf::N,chiamata,ахӏи
301,Lärm::N,chiasso,хъуй
302,Lärm::N,chiasso,хъуди
303,Lärm::N,strèpito,хъуй
304,Lärm::N,strèpito,хъуди
305,Laut::N,suono,гьаракь
306,Laut::N,suono,сас
307,Ton::N,tono,
308,Lied::N,canto,кечӏ
309,Lied::N,canzone,кечӏ
310,Ruhe::N,calma,рахӏат
311,Ruhe::N,tranquillità,рахӏат
312,Leute::N,gente,гӏадамал
313,Volk::N,pòpolo,халкъ
314,Arbeit::N,lavoro,хӏалтӏи
315,Gast::N,òspite,гьобол
316,Gast::N,invitato,гьобол
317,Geschenk::N,regalo,сайигъат
318,Spiel::N,gioco,хӏай
319,Spiel::N,gioco,расанди
320,Gesellschaft::N,compagnìa,жамагӏат
321,Hilfe::N,aiuto,кумек
322,Hilfe::N,soccorso,кумек
323,Freund::N,amico,гьудул
324,Kamerad::N,camerata,гьалмагъ
325,Angelegenheit::N,affare,къваригӏел
326,Angelegenheit::N,faccenda,къваригӏел
327,Anzahl::N,nùmero,рикӏкӏен
328,Anzahl::N,quantità,рикӏкӏен
329,Art::N,tipo,жинс
330,Art::N,specie,жинс
331,Stück::N,pezzo,кесек
332,Teil::N,parte,пай
333,Hälfte::N,metà,бащдаб
334,Kreis::N,cìrcolo,гор
335,Kreuz::N,croce,хъанч
336,Linie::N,lìnea,мухъ
337,Strich::N,tratto,хӏучч
338,Abstand::N,distanza,манзил
339,Entfernung::N,distanza,манзил
340,Entfernung::N,lontananza,манзил
341,Gegend::N,regione,рахъ
342,Platz::N,posto,бакӏ
343,Platz::N,spazio,бакӏ
344,Ort::N,luogo,бакӏ
345,Ort::N,località,бакӏ
346,Seite::N,lato,рахъ
347,Seite::N,parte,рахъ
348,Mitte::N,mezzo,бакьулъбакӏ
349,Mitte::N,centro,бакьулъбакӏ
350,Gegenstand::N,oggetto,жо
351,Sache::N,cosa,жо
352,Rand::N,orlo,мицӏир
353,Rand::N,bordo,мицӏир
354,Kante::N,spìgolo,рагӏал
355,Kante::N,spìgolo,рагӏа-ракьан
356,Ecke::N,canto,цили
357,Spitze::N,punta,тӏогь
358,Ende::N,capo,кӏал
359,Ende::N,estremità,кӏал
360,Loch::N,buco,каратӏ
361,Winkel::N,àngolo,
362,Muster::N,disegno,накъиш
363,Größe::N,taglia,кӏодо́лъи
364,Größe::N,grandezza,кӏодо́лъи
365,Länge::N,lunghezza,халалъи
366,Höhe::N,altezza,борхалъи
367,Gewicht::N,peso,бакӏлъи
368,Menge::N,quantità,
369,Haufen::N,cùmulo,гъуни
370,Haufen::N,mucchio,гъуни
371,Reihe::N,fila,ирга́
372,Boot::N,barca,раса
373,Boot::N,battello,раса
374,Ruder::N,remo,раххан
375,Schlitten::N,slitta,чанагъ
376,Ski::N,sci,лыжаби
377,Lagerfeuer::N,falò,цӏа
378,Lagerfeuer::N,fuoco di bivacco,цӏа
379,Last::N,càrico,бакӏлъи
380,Gang::N,andata,хьвади
381,Gang::N,andata,хьвада-чӏвади
382,Schritt::N,passo,гали
383,Norden::N,nord,шимал
384,Norden::N,settentrione,шимал
385,Süden::N,sud,юг
386,Süden::N,sud,къибла
387,Süden::N,meridione,юг
388,Süden::N,meridione,къибла
389,Westen::N,òvest,гъарб
390,Westen::N,òvest,магъриб
391,Westen::N,occidente,гъарб
392,Westen::N,occidente,магъриб
393,Osten::N,est,шаркъ
394,Osten::N,est,машрикъ
395,Osten::N,oriente,шаркъ
396,Osten::N,oriente,машрикъ
397,Holz::N,legno,цӏул
398,Brett::N,asse,хъарщи
399,Brett::N,tàvola,хъарщи
400,Platte::N,lastra,къоно
401,Platte::N,piastra,къоно
402,Stütze::N,supporto,
403,Stange::N,sbarra,гӏер
404,Stange::N,pèrtica,гӏер
405,Stock::N,verga,тӏил
406,Stock::N,bastone,тӏил
407,Stock::N,bacchetta,тӏил
408,Stab::N,asta,гӏер
409,Rohr::N,tubo,турба
410,Haus::N,casa,ригь
411,Haus::N,casa,рукъзал
412,Heim::N,casa,рукъ
413,Ofen::N,stufa,печь
414,Fußboden::N,pavimento,чӏабар
415,Tisch::N,tàvolo,стол
416,Stuhl::N,sedia,бакӏу
417,Wiege::N,culla,кини
418,Bett::N,letto,кровать
419,Regal::N,scaffale,хъарщи
420,Kiste::N,cassa,ящик
421,Kiste::N,cassa,тӏалагъуд
422,Fenster::N,finestra,гордо
423,Tür::N,porta,нуцӏа
424,Tor::N,portone,каву
425,Zaun::N,recinto,раци
426,Dach::N,tetto,тӏох
427,Leiter::N,scala,мали
428,Leiter::N,scala a pioli,мали
429,Besen::N,scopa,жул
430,Spaten::N,vanga,бел
431,Schaufel::N,pala,раххан
432,Gabel::N,forchetta,гӏучӏ
433,Löffel::N,cucchiaio,гъуд
434,Messer::N,coltello,нус
435,Nagel::N,chiodo,магӏ
436,Netz::N,rete,гьин
437,Haken::N,uncino,гъанцӏа
438,Griff::N,mànico,гӏоркь
439,Griff::N,maniglia,гӏоркь
440,Schloss::N,serratura,кӏулал
441,Bild::N,quadro,сурат
442,Bild::N,immàgine,сурат
443,Figur::N,figura,
444,Puppe::N,bàmbola,нани
445,Beutel::N,borsa,таргьа
446,Beutel::N,sacchetto,таргьа
447,Bündel::N,fascio,къай
448,Bündel::N,fagotto,къай
449,Tasche::N,borsa,сумка
450,Tasche::N,borsa,къвачӏа
451,Eimer::N,secchio,ведро
452,Deckel::N,coperchio,тӏалъел
453,Deckel::N,coperchio,дадитӏалъел
454,Geschirr::N,stoviglie,цӏарагӏ
455,Sack::N,sacco,хъап
456,Sack::N,sacco,къандалъо
457,Tasse::N,tazza,чашка
458,Topf::N,pèntola,хьаг
459,Kessel::N,paiolo,хьаг
460,Kessel::N,paiolo,гереги
461,Kessel::N,calderone,хьаг
462,Kessel::N,calderone,гереги
463,Essen::N,pasto,тӏагӏам
464,Essen::N,mangiare,тӏагӏам
465,Nahrung::N,cibo,квен
466,Nahrung::N,alimento,квен
467,Speise::N,piatto,квен
468,Fleisch::N,carne,гьан
469,Getreide::N,cereali,бугӏа-ролъ
470,Getreide::N,cereali,могьолабл_культураби
471,Brei::N,purè,карщ
472,Brei::N,pappa,карщ
473,Brot::N,pane,чед
474,Scheibe::N,fetta,мочӏу
475,Scheibe::N,trancia,мочӏу
476,Fett::N,grasso,беэнлъи
477,Butter::N,burro,нах
478,Öl::N,olio,нах
479,Salz::N,sale,цӏам
480,Suppe::N,zuppa,чурпа
481,Suppe::N,minestra,чурпа
482,Honig::N,miele,гьоцӏо
483,Milch::N,latte,рахь
484,Tee::N,tè,чай
485,Leder::N,pelle,тӏом
486,Wolle::N,lana,квас
487,Stoff::N,panno,ххам
488,Stoff::N,tessuto,ххам
489,Nadel::N,ago,рокӏкӏен
490,Faden::N,filo,кун
491,Knopf::N,bottone,маргъал
492,Knoten::N,nodo,гарацӏ
493,Farbe::N,pittura,релъен
494,Kleidung::N,vestiti,ретӏел
495,Kleidung::N,vestiario,ретӏел
496,Hemd::N,camicia,гурде
497,Kragen::N,bàvero,габур
498,Kragen::N,colletto,габур
499,Ärmel::N,mànica,къвал
500,Hose::N,calzoni,тӏажу
501,Gürtel::N,cintura,рачел
502,Mütze::N,berretto,тӏагъур
503,Schuh::N,scarpa,
504,Stiefel::N,stivale,этек
505,Stiefel::N,stivale,чакма
506,Ring::N,anello,баргъич
507,Band::N,nastro,лента
508,Band::N,fettuccia,лента
509,Kamm::N,pèttine,гьоркьо
510,Spiegel::N,specchio,матӏу
511,Riemen::N,cinghia,рижу
512,Schnur::N,corda,
513,Leine::N,guinzaglio,
514,Decke::N,coperta,одея́ло
515,Kissen::N,cuscino,къандалъо
516,Kissen::N,guanciale,къандалъо
517,Tuch::N,fazzoletto,квархьи
518,Handtuch::N,asciugamano,беркӏалрацӏцӏ
519,Kraft::N,forza,гуч
520,Kraft::N,forza,къуват
521,Stärke::N,forza,хӏалкӏвей
522,Stärke::N,vigore,хӏалкӏвей
523,Stärke::N,fortezza,хӏалкӏвей
524,Gesundheit::N,salute,сахлъи́
525,Krankheit::N,malattìa,унти
526,Krankheit::N,malattìa,щокълъи
527,Schmerz::N,dolore,унти
528,Wunde::N,piaga,ругъун
529,Wunde::N,ferita,ругъун
530,Fieber::N,febbre,цӏа-кан
531,Arznei::N,fàrmaco,дару
532,Arznei::N,medicina,дару
533,Brücke::N,ponte,кьо
534,Brunnen::N,pozzo,гъуй
535,Weide::N,pàscolo,рицӏцӏ
536,Weide::N,pàscolo,лъичӏирма
537,Weide::N,pàscolo,гӏурдаллъи
538,Weide::N,pàscolo,ри́цӏигъветӏ
539,Weide::N,pàscolo,рицӏцӏигъветӏ
540,Pfad::N,sentiero,сухъмахъ
541,Weg::N,via,нух
542,Weg::N,cammino,нух
543,Straße::N,strada,нух
544,Dorf::N,paese,росу
545,Dorf::N,villaggio,росу
546,Stadt::N,città,шагьар
547,Brief::N,lèttera,кагъат
548,Brief::N,lèttera,рисалат
549,Buch::N,libro,тӏехь
550,Buchstabe::N,lèttera,хӏарп
551,Zeitung::N,giornale,газет
552,Leben::N,vita,яшав
553,Tod::N,morte,хвел
554,Grab::N,tomba,хоб
555,Grab::N,sepolcro,хоб
556,Kirche::N,chiesa,килиса
557,Sünde::N,peccato,хӏакъ
558,Sünde::N,peccato,мунагь
559,Gott::N,dio,бичас
560,Gott::N,dio,аллагь
561,Arbeiter::N,operaio,хӏалтӏухъан
562,Arbeiter::N,lavoratore,хӏалтӏухъан
563,Chef::N,capo,хӏаким
564,Chef::N,capo,начальник
565,Chef::N,padrone,хӏаким
566,Chef::N,padrone,начальник
567,Meister::N,mastro,устар
568,Meister::N,mastro,мастер
569,Meister::N,mastro,махщалилав
570,Meister::N,maestro,устар
571,Meister::N,maestro,мастер
572,Meister::N,maestro,махщалилав
573,Arzt::N,mèdico,жайрахӏ
574,Arzt::N,dottore,жайрахӏ
575,Lehrer::N,professore,мугӏалим
576,Geld::N,soldi,гӏарац
577,Geld::N,denaro,гӏарац
578,Geschäft::N,affare,
579,Geschäft::N,negozio,
580,Laden::N,negozio,тукен
581,Preis::N,prezzo,багьа
582,Ware::N,merce,къайи
583,Nutzen::N,ùtile,мунпагӏат
584,Nutzen::N,profitto,мунпагӏат
585,Reichtum::N,ricchezza,бечелъи
586,Welt::N,mondo,дуниял
587,Land::N,paese,улка
588,Land::N,paese,икълим
589,Staat::N,Stato,пачалихъ
590,König::N,re,пача
591,König::N,re,малик
592,König::N,re,къирал
593,König::N,re,падишагь
594,Macht::N,potere,кверщел
595,Grenze::N,confine,гӏорхъи
596,Grenze::N,frontiera,гӏорхъи
597,Krieg::N,guerra,рагъ
598,Feind::N,nemico,тушман
599,Gewalt::N,violenza,зулму
600,Kampf::N,lotta,къеркьей
601,Bogen[Waffe]::N,arco,газаргъо
602,Pfeil::N,freccia,чӏор
603,Gewehr::N,fucile,туманкӏ
604,Fehler::N,errore,гъалатӏ
605,Fehler::N,sbaglio,гъалатӏ
606,Lüge::N,bugìa,гьереси
607,Lüge::N,menzogna,гьереси
608,Schaden::N,danno,зиян
609,Schaden::N,danno,зарал
610,Unglück::N,sfortuna,балагь
611,Schuld::N,colpa,гӏайиб
612,Alter::N,età,гӏумру
613,Schluss::N,fine,ахир
614,Zeit::N,tempo,заман
615,Tag::N,giorno,къо
616,Tag::N,giornata,къо
617,Morgen::N,mattina,радалмех
618,Mittag::N,mezzogiorno,къадемех
619,Abend::N,sera,релъедамех
620,Abend::N,serata,релъедамех
621,Nacht::N,notte,сордо
622,Woche::N,settimana,анкь
623,Monat::N,mese,моцӏ
624,Jahr::N,anno,сон
625,Jahr::N,anno,лъагӏел
626,Frühling::N,primavera,их
627,Sommer::N,estate,рии
628,Herbst::N,autunno,хасалихълъи
629,Winter::N,inverno,кьин
630,Januar::N,gennaio,январь
631,Februar::N,febbraio,февра́ль
632,März::N,marzo,март
633,April::N,aprile,апрель
634,Mai::N,maggio,май
635,Juni::N,giugno,июнь
636,Juli::N,luglio,июль
637,August::N,agosto,август
638,September::N,settembre,сентябрь
639,Oktober::N,ottobre,октябрь
640,November::N,novembre,ноябрь
641,Dezember::N,dicembre,декабрь
642,Montag::N,lunedì,итни
643,Dienstag::N,martedì,талат
644,Mittwoch::N,mercoledì,арбагӏ
645,Donnerstag::N,giovedì,хамиз
646,Freitag::N,venerdì,рузман
647,Samstag::N,sàbato,щамат
648,Sonntag::N,domenica,гьатӏан
649,groß::A,grande,кӏудияб
650,klein::A,pìccolo,гьитӏинаб
651,lang::A,lungo,халатаб
652,kurz::A,corto,къокъаб
653,breit::A,largo,гӏебаб
654,schmal::A,stretto,къваридаб
655,dicht::A,denso,ризаб
656,dick[Gegenstand]::A,spesso,бицатаб
657,dünn::A,sottile,тӏеренаб
658,fein::A,fine,тӏеренаб
659,fein::A,delicato,тӏеренаб
660,fest::A,sodo,къвакӏараб
661,fest::A,fisso,къвакӏараб
662,flach::A,piano,чӏепараб
663,flach::A,piatto,чӏепараб
664,glatt::A,liscio,цӏвакараб
665,hart::A,duro,кьварараб
666,weich::A,molle,тамахаб
667,rund::A,rotondo,гургинаб
668,spitz::A,aguzzo,бегӏераб
669,spitz::A,appuntito,бегӏераб
670,scharf::A,affilato,рекӏараб
671,scharf::A,tagliente,рекӏараб
672,stumpf::A,smussato,тӏехӏараб
673,stumpf::A,smussato,рекӏинчӏеб
674,schwer::A,pesante,бакӏаб
675,schön::A,bello,берцинаб
676,heiß::A,caldo,лагьараб
677,heiß::A,bollente,лагьараб
678,warm::A,caldo,хинаб
679,kalt::A,freddo,квачараб
680,kühl::A,fresco,квачараб
681,frisch::A,fresco,цӏияб
682,feucht::A,ùmido,рагьараб
683,nass::A,bagnato,би́ччараб
684,trocken::A,secco,бакъвараб
685,voll::A,pieno,
686,leer::A,vuoto,чӏобогояб
687,offen::A,aperto,рагьараб
688,geschlossen::A,chiuso,рахараб-къараб
689,sauber::A,netto,бацӏцӏадаб
690,sauber::A,pulito,бацӏцӏадаб
691,schmutzig::A,sporco,гъизараб
692,schmutzig::A,sùdicio,гъизараб
693,roh::A,crudo,хамаб
694,roh::A,crudo,гӏатӏгояб
695,reif::A,maturo,барщараб
696,lecker::A,ghiotto,тӏагӏамаб
697,lecker::A,squisito,тӏагӏамаб
698,süß::A,dolce,гьуинаб
699,bitter::A,amaro,кьогӏаб
700,sauer::A,aspro,цӏекӏаб
701,sauer::A,acerbo,цӏекӏаб
702,hell::A,chiaro,канаб
703,dunkel::A,buio,бецӏаб
704,dunkel::A,oscuro,бецӏаб
705,schwarz::A,nero,чӏегӏераб
706,weiß::A,bianco,хъахӏаб
707,rot::A,rosso,багӏараб
708,gelb::A,giallo,гӏобилаб
709,gelb::A,giallo,тӏогьилаб
710,blau::A,blu,хъахӏилаб
711,blau::A,azzurro,хъахӏилаб
712,grün::A,verde,гӏурччинаб
713,grau::A,grigio,накӏкӏуяб
714,bunt::A,variopinto,къвекӏаб
715,bunt::A,variopinto,чара-гъараб
716,billig::A,a buon prezzo,учузаб
717,billig::A,a buon mercato,учузаб
718,teuer::A,caro,хири́яб
719,wertvoll::A,prezioso,къиматаб
720,blind::A,cieco,беццаб
721,taub::A,sordo,гъугъаб
722,kräftig::A,forte,гучаб
723,kräftig::A,robusto,гучаб
724,stark::A,forte,къуватаб
725,stark::A,vigoroso,къуватаб
726,schwach::A,dèbole,гӏажизаб
727,fett::A,grasso,кьарияб
728,schlank::A,snello,чергесаб
729,schlank::A,slanciato,чергесаб
730,hübsch::A,bello,гьайбатаб
731,hübsch::A,carino,гьайбатаб
732,böse::A,cattivo,ракӏквешаб
733,dumm::A,stùpido,гьагаб
734,dumm::A,stùpido,гӏантаб
735,faul::A,pigro,кӏохӏалаб
736,faul::A,pigro,кӏухӏа́лаб
737,fleißig::A,diligente,хӏаракатаб
738,geizig::A,avaro,къарумаб
739,klug::A,intelligente,лумияб
740,geschickt::A,àbile,махщел бугев
741,lieb::A,caro,гӏазизаб
742,lustig::A,gaio,кепаб
743,lustig::A,allegro,кепаб
744,sanft::A,dolce,хӏалимаб
745,sanft::A,dolce,хӏере́наб
746,hungrig::A,affamato,бакъараб
747,krank::A,malato,щокъаб
748,krank::A,malato,унтараб
749,krank::A,infermo,щокъаб
750,krank::A,infermo,унтараб
751,nackt::A,nudo,гӏицӏаб
752,nackt::A,nudo,чӏанкӏараб
753,traurig::A,triste,пашманаб
754,lebendig::A,vivo,чӏагояб
755,gut::A,buono,лъикӏаб
756,schlecht::A,cattivo,къадараб
757,richtig::A,giusto,битӏараб
758,schlimm::A,grave,нажасаб
759,schlimm::A,grave,къабихӏаб
760,wahr::A,vero,хӏакъаб
761,wahr::A,vero,битӏараб
762,alt::A,vecchio,басрияб
763,neu::A,nuovo,цӏияб
764,ehemalig::A,vecchio,цебе́госеб
