,Concept_ID,br,ba
63,Welle::N,houlenn,тулҡын
64,Wasser::N,dour,һыу
65,Stein::N,maen,таш
66,Boden::N,tachenn,тупраҡ
67,Erde::N,douar,балсҡ
68,Staub::N,poultr,туҙан
69,Rauch::N,moged,төтөн
70,Funke::N,ful,осҡон
71,Feuer::N,tan,ут
72,Licht::N,gouloù,яҡтылыҡ
73,Schatten::N,disheol,күләгә
74,Wetter::N,amzer,һауа торошо
75,Nebel::N,brumenn,төман
76,Wolke::N,koumoulenn,болот
77,Regen::N,glav,ямғыр
78,Schnee::N,erc'h,ҡар
79,Eis::N,skorn,боҙ
80,Frost::N,rev,һалҡын
81,Kälte::N,yen,һыуыҡ
82,Hitze::N,tommder,томра
83,Hitze::N,tommder,эҫелек
84,Raureif::N,frim,ҡырау
85,Regenbogen::N,gwareg-ar-glav,йәйғор
86,Donner::N,kurun,күк күкрәү
87,Strömung::N,red,ағым
88,Tropfen::N,bannac'h,тамсы
89,Tropfen::N,takenn,тамсы
90,Schaum::N,spoum,күбек
91,Schmutz::N,fank,батҡаҡ
92,See::N,lenn,күл
93,Sumpf::N,gwern,һаҙлык
94,Moor::N,taouarc'heg,һаҙ
95,Wiese::N,prad,болон
96,Wald::N,koad,урман
97,Hügel::N,torgenn,түбә
98,Anhöhe::N,run,түбә
99,Anhöhe::N,run,ҡалҡыулыҡ
100,Berg::N,menez,тау
101,Gipfel::N,barr,түбә
102,Höhle::N,kav,мәмерйә
103,Abhang::N,naou,ипкен
104,Quelle::N,feunteun,шишмә
105,Bach::N,gwazh,шишмә
106,Fluss::N,stêr,йылға
107,Ufer::N,ribl,яр
108,Küste::N,aod,яр буйы
109,Festland::N,douar,ҡоро ер
110,Meer::N,mor,диңгез
111,Bucht::N,mor-bihan,бухта
112,Insel::N,enez,үтрау
113,Blume::N,bleunienn,сәскә
114,Gras::N,geot,үлән
115,Wurzel::N,gwrizienn,тамыр
116,Baum::N,gwezenn,ағас
117,Stamm::N,kef,олон
118,Stamm::N,kef,көбәк
119,Rinde::N,rusk,ҡабыҡ
120,Ast::N,barr,ботаҡ
121,Zweig::N,bod,ботаҡ
122,Zweig::N,bod,тармаҡ
123,Blatt::N,delienn,япраҡ
124,Birke::N,bezvenn,ҡайын
125,Kiefer[Baum]::N,pinenn,ҡарғай
126,Weide[Baum]::N,halegenn,тал
127,Tanne::N,sapenn,шыршы
128,Horn::N,korn,мөғөҙ
129,Feder::N,pluñv,ҡауырһын
130,Fell::N,kreoñ,тире
131,Flügel::N,askell,ҡанат
132,Klaue::N,skilf,тырнаҡ
133,Kralle::N,skilf,аяҡ
134,Schwanz::N,lost,ҡойроҡ
135,Ei::N,vi,йомортҡа
136,Nest::N,neizh,оя
137,Bau::N,douarenn,оң
138,Tier::N,loen,жайуан
139,Tier::N,loen,йыртҡыс
140,Herde::N,tropell,көтөү
141,Kuh::N,buoc'h,һыйыр
142,Bulle::N,tarv,үгеҙ
143,Pferd::N,marc'h,ат
144,Schaf::N,dañvad,һарыҡ
145,Schwein::N,pemoc'h,сусҡа
146,Hund::N,ki,эт
147,Katze::N,kazh,бесәй
148,Bär::N,arzh,айыу
149,Eichhörnchen::N,gwiñver,тейен
150,Elch::N,karv-dour,мышы
151,Fuchs::N,louarn,төлкө
152,Hase::N,gad,ҡуян
153,Maus::N,logodenn,сысҡан
154,Wolf::N,bleiz,бүре
155,Vogel::N,labous,ҡош
156,Schwarm::N,nijad,көтөү
157,Huhn::N,yar,тауыҡ
158,Hahn::N,kilhog,әтәс
159,Gans::N,gwazenn,ҡаҙ
160,Adler::N,erer,бөркөт
161,Ente::N,houad,өйрәк
162,Eule::N,toud,өкө
163,Eule::N,toud,ябалаҡ
164,Kranich::N,garan,торна
165,Krähe::N,bran,ҡарға
166,Kuckuck::N,koukoug,кәкүк
167,Schwan::N,alarc'h,аҡҡош
168,Fisch::N,pesk,балыҡ
169,Barsch::N,brell,алабуға
170,Hecht::N,beked,суртан
171,Schlange[Tier]::N,naer,йылан
172,Wurm::N,preñv,селяүсен
173,Spinne::N,kevnidenn,үрмәксе
174,Ameise::N,merion,ҡырмыҫҡа
175,Laus::N,laouenn,бет
176,Mücke::N,moustik,серәкәй
177,Fliege::N,kelienenn,себен
178,Schmetterling::N,balafenn,күбәләк
179,Beere::N,hog,еләк
180,Apfel::N,aval,алма
181,Pilz::N,kabell-touseg,бәшмәк
182,Zwiebel::N,ognonenn,һуган
183,Saat::N,had,орлоҡ
184,Korn::N,ed,иген
185,Heu::N,foenn,бесән
186,Schale::N,peliadur,ҡабыҡ
187,Falle::N,pech,тоҙак
188,Falle::N,pech,ҡапҡан
189,Schlinge::N,krouglas,тоҙак
190,Asche::N,ludu,көл
191,Dreck::N,fank,батҡаҡ
192,Eisen::N,houarn,тимер
193,Gold::N,aour,алтын
194,Silber::N,arc'hant,көмөш
195,Kohle::N,glaou,күмер
196,Glas::N,gwer,быяла
197,Sand::N,traezh,ҡом
198,Mensch::N,den,кеше
199,Mann::N,den,ир
200,Frau::N,maouez,ҡатын
201,Kind::N,bugel,бала
202,Junge::N,paotr,малай
203,Mädchen::N,plac'h,ҡыҙ
204,Mädchen::N,plac'h,ҡыҙыҡай
205,Familie::N,familh,ғаилә
206,Großvater::N,tad-kozh,олатай
207,Großmutter::N,mamm-gozh,әбәй
208,Eltern::N,kerent,ата-әсә
209,Vater::N,tad,атай
210,Mutter::N,mamm,әсә
211,Sohn::N,mab,ул
212,Tochter::N,merc'h,ҡыҙ
213,Bruder::N,breur,агай
214,Schwester::N,c'hoar,алай
215,Schwester::N,c'hoar,һеңле
216,Onkel::N,eontr,ағай
217,Tante::N,moereb,апай
218,Ehemann::N,gwaz,ир
219,Ehefrau::N,gwreg,ҡатын
220,Freude::N,levenez,шатлыҡ
221,Freude::N,levenez,ҡыуаныс
222,Gelächter::N,c'hoarzherezh,көлөү
223,Glück::N,chañs,бәхет
224,Kummer::N,doan,ҡайғы
225,Wunsch::N,c'hoant,теләк
226,Lust::N,c'hoant,әүәҫлек
227,Geist::N,spered,аң
228,Geist::N,spered,рух
229,Gedanke::N,soñj,уй
230,Gedanke::N,soñj,фекер
231,Gedächtnis::N,eñvor,хәтер
232,Verstand::N,skiant,аҡыл
233,Sinn::N,ster,мәғәня
234,Grund::N,kaoz,сәбәп
235,Wahrheit::N,gwirionez,дөрөҫлөк
236,Gespräch::N,kaozeadenn,әңгәмә
237,Märchen::N,kaoz korriganez,әкиәт
238,Erzählung::N,kontadenn,хикәйә
239,Nachricht::N,keloù,хәбәр
240,Neuigkeit::N,kelaouenn,яңылыҡ
241,Name::N,anv,исем
242,Rätsel::N,divinatez,йомаҡ
243,Rede::N,diskour,телмәр
244,Sprache::N,yezh,тел
245,Sprache::N,yezh,телмәр
246,Stimme::N,mouezh,тауыш
247,Wort::N,ger,һүҙ
248,Zeichen::N,sin,билдә
249,Ruf::N,galv,саҡырыу
250,Lärm::N,trouz,шаулау
251,Ton::N,ton,яңғырау
252,Lied::N,kanaouenn,йыр
253,Ruhe::N,sioulded,ял
254,Ruhe::N,sioulded,тыныслыҡ
255,Leute::N,tud,кешеләр
256,Volk::N,pobl,халҡ
257,Arbeit::N,labour,эш
258,Gast::N,kouviad,ҡунаҡ
259,Geschenk::N,prof,бүләк
260,Spiel::N,c'hoari,уйын
261,Gesellschaft::N,kompagnunezh,йәмғиәт
262,Gesellschaft::N,kavandad,йәмғиәт
263,Hilfe::N,sikour,ярҙам
264,Freund::N,mignon,дуҫ
265,Kamerad::N,kamarad,иптәш
266,Angelegenheit::N,afer,әш
267,Anzahl::N,niver,һан
268,Art::N,sort,төр
269,Stück::N,tamm,киҫәк
270,Teil::N,pezh,өлөш
271,Hälfte::N,hanterenn,ярты
272,Kreis::N,kelc'h,түңәрәк
273,Kreuz::N,kroaz,тәре
274,Linie::N,linenn,һыҙыҡ
275,Strich::N,tenn,һыҙат
276,Abstand::N,distok,ара
277,Entfernung::N,keid,алыҫлыҡ
278,Entfernung::N,kehid,алыҫлыҡ
279,Gegend::N,korn-bro,урын
280,Platz::N,plasenn,арауыҡ
281,Ort::N,lec'h,ерҙәр
282,Ort::N,lec'h,урындар
283,Ort::N,lec'h,эш урыны
284,Seite::N,tu,яҡ
285,Mitte::N,kreiz,урталыҡ
286,Gegenstand::N,tra,нәмә
287,Sache::N,tra,нәмә
288,Sache::N,tra,әйбер
289,Rand::N,kantenn,сит
290,Kante::N,kantenn,ҡабырға
291,Kante::N,kantenn,ян
292,Ecke::N,korn,мөйөш
293,Spitze::N,begell,ос
294,Ende::N,dibenn,аҙаҡ
295,Loch::N,toull,тишек
296,Muster::N,tresadenn,биҙәк
297,Größe::N,ment,ҙурлыҡ
298,Länge::N,hirder,оҙонлоҡ
299,Höhe::N,uhelder,бейеклек
300,Gewicht::N,pouez,үлсәү
301,Menge::N,bern,һан
302,Haufen::N,bern,өйөм
303,Reihe::N,steud,рәт
304,Boot::N,bag,кәмә
305,Ruder::N,roeñv,ишкәк
306,Schlitten::N,trainell,сана
307,Ski::N,ski,саңгы
308,Last::N,karg,ауырлыҡ
309,Gang::N,kerzh,барыу
310,Schritt::N,paz,аҙым
311,Norden::N,norzh,төньяҡ
312,Norden::N,hanternoz,төньяҡ
313,Süden::N,su,көньяҡ
314,Süden::N,kreisteiz,көньяҡ
315,Westen::N,kuzh-heol,көнбайыш
316,Osten::N,reter,көнсығыш
317,Osten::N,sav-heol,көнсығыш
318,Holz::N,koad,үағас
319,Brett::N,plankenn,таҡта
320,Platte::N,plakenn,плита
321,Stütze::N,harp,терәк
322,Stange::N,sparl,кәртә
323,Stock::N,bazh,таяҡ
324,Stab::N,bazh,ҡолға
325,Rohr::N,tub,торба
326,Rohr::N,korz,торба
327,Haus::N,ti,өй
328,Haus::N,ti,йорт
329,Heim::N,kêr,өй
330,Ofen::N,forn,мейес
331,Fußboden::N,plañchod,енес
332,Tisch::N,taol,өҫтәл
333,Stuhl::N,kador,ултырғыс
334,Wiege::N,kavell,бишек
335,Bett::N,gwele,карауат
336,Regal::N,estajerenn,кәштә
337,Kiste::N,kased,йәшинк
338,Fenster::N,prenestr,тәҙрә
339,Tür::N,dor,ишек
340,Tor::N,portal,ҡапҡа
341,Zaun::N,sklotur,ҡойма
342,Dach::N,toenn,түбә
343,Dach::N,toenn,ҡыйыҡ
344,Leiter::N,skeul,баҫҡыс
345,Besen::N,skubell,һепертке
346,Spaten::N,pal,көрәк
347,Schaufel::N,pal,көрәк
348,Gabel::N,fourchetez,сәнске
349,Löffel::N,loa,ҡалаҡ
350,Messer::N,kontell,бысаҡ
351,Nagel::N,tach,сөй
352,Netz::N,roued,ау
353,Haken::N,krog,ыргаҡ
354,Griff::N,kemer,тотҡа
355,Schloss::N,potenn,йоҙаҡ
356,Bild::N,skeudenn,картина
357,Figur::N,skeud,һын
358,Figur::N,figur,һын
359,Puppe::N,merc'hodenn,ҡурсаҡ
360,Beutel::N,sac'h,тоҡ
361,Bündel::N,feskenn,төргәк
362,Tasche::N,sac'h,сумка
363,Eimer::N,sailh,биҙрә
364,Deckel::N,pallenn,ҡапҡас
365,Geschirr::N,listriaj,һауыт-һаба
366,Sack::N,sac'h,тоҡ
367,Tasse::N,tas,сынаяҡ
368,Topf::N,pod,кәстрүл
369,Kessel::N,chaodouron,ҡаҙан
370,Essen::N,pred,ашау
371,Nahrung::N,boued,аҙыҡ
372,Speise::N,meuz,аш
373,Fleisch::N,kig,ит
374,Getreide::N,ed,иген
375,Getreide::N,ed,ашлыҡ
376,Brei::N,yod,бутҡа
377,Brot::N,bara,икмәк
378,Scheibe::N,tailhenn,телем
379,Fett::N,lard,май
380,Butter::N,amann,май
381,Öl::N,eoul,май буяуы
382,Salz::N,holen,тоҙ
383,Suppe::N,soubenn,һурпа
384,Honig::N,mel,бал
385,Milch::N,laezh,һөт
386,Tee::N,te,сәй
387,Leder::N,lêr,күн
388,Wolle::N,gloan,йөн
389,Stoff::N,danvez,туҡыма
390,Nadel::N,nadoz,энә
391,Faden::N,neudenn,еп
392,Knopf::N,bouton,төймә
393,Knoten::N,skoulm,төйөн
394,Farbe::N,liv,буяу
395,Kleidung::N,dilhad,кейем
396,Hemd::N,roc'hed,күлдәк
397,Kragen::N,gouzoug,яға
398,Ärmel::N,milgin,ең
399,Hose::N,bragoù,салбар
400,Gürtel::N,gouriz,ҡайыш
401,Mütze::N,boned,бүрк
402,Schuh::N,botez,туфли
403,Stiefel::N,botez,итек
404,Ring::N,gwalenn,йөҙөк
405,Ring::N,gwalenn,балдаҡ
406,Band::N,bagad,таҫма
407,Kamm::N,krib,тараҡ
408,Spiegel::N,melezour,көзгө
409,Riemen::N,lerenn,ҡайыш
410,Schnur::N,kordenn,бау
411,Leine::N,roll,бау
412,Decke::N,golo,одеяд
413,Kissen::N,goubenner,мендәр
414,Tuch::N,mezher,яулыҡ
415,Handtuch::N,toailhon,таҫтамал
416,Kraft::N,nerzh,көс
417,Stärke::N,nerzhder,көс
418,Gesundheit::N,yec'hed,һаулыҡ
419,Krankheit::N,klañved,сир
420,Krankheit::N,klañved,ауырыу
421,Schmerz::N,poan,һыҙлау
422,Schmerz::N,poan,әрнеү
423,Schmerz::N,droug,һыҙлау
424,Schmerz::N,droug,әрнеү
425,Wunde::N,gloazadenn,йәрәхәт
426,Fieber::N,terzhienn,тапма
427,Fieber::N,terzhienn,биҙгәк
428,Arznei::N,louzoù,дарыу
429,Brücke::N,pont,күпер
430,Brunnen::N,puñs,ҡоҙоҡ
431,Weide::N,prad,көтөүлек
432,Pfad::N,gwenodenn,һуҡмаҡ
433,Weg::N,hent,юл
434,Straße::N,ru,урам
435,Straße::N,hent,урам
436,Dorf::N,kêr,ауыл
437,Dorf::N,kêriadenn,ауыл
438,Stadt::N,kêr,ҡала
439,Brief::N,lizher,хат
440,Buch::N,levr,китап
441,Buch::N,levr,кенәгә
442,Buchstabe::N,lizherenn,хәреф
443,Zeitung::N,kazetenn,гәзит
444,Leben::N,buhez,йәшәү
445,Tod::N,marv,үлем
446,Grab::N,bez,ҡәбер
447,Kirche::N,iliz,сиркәү
448,Sünde::N,pec'hed,гөнаһ
449,Gott::N,doue,алла
450,Gott::N,doue,хоҙай
451,Arbeiter::N,labourer,эшсе
452,Arbeiter::N,micherour,эшсе
453,Chef::N,penn,башлыҡ
454,Meister::N,mestr,оҫта
455,Arzt::N,mezeg,врач
456,Arzt::N,medisin,врач
457,Lehrer::N,skolaer,уҡытыусы
458,Lehrer::N,kelenner,уҡытыусы
459,Geld::N,arc'hant,аҡса
460,Geschäft::N,stal,эш
461,Laden::N,stal,магазин
462,Preis::N,priz,хаҡ
463,Ware::N,marc'hadourezh,тауар
464,Nutzen::N,gounidegezh,файҙа
465,Nutzen::N,lañs,файҙа
466,Nutzen::N,profit,файҙа
467,Nutzen::N,spleit,файҙа
468,Reichtum::N,pinvidigezh,байлыҡ
469,Welt::N,douar,донъя
470,Land::N,bro,ил
471,Staat::N,stad,дәүләт
472,König::N,roue,король
473,Macht::N,galloud,власть
474,Grenze::N,harzoù,сик
475,Krieg::N,brezel,һуғыш
476,Feind::N,eneber,йылан
477,Gewalt::N,tâerder,көслөк
478,Kampf::N,kann,көрәш
479,Bogen[Waffe]::N,gwareg,йәйә
480,Pfeil::N,saezh,уҡ
481,Gewehr::N,fuzuilh,мылтыҡ
482,Fehler::N,fazi,хата
483,Lüge::N,gaou,ялған
484,Schaden::N,gwall,зыян
485,Schaden::N,gwall,зарар
486,Unglück::N,gwalleur,ҡаза
487,Schuld::N,kablusted,ғәйеп
488,Schuld::N,pec'hedigezh,ғәйеп
489,Alter::N,oad,йәш
490,Schluss::N,diwezh,һуң
491,Schluss::N,diwezh,аҙаҡ
492,Zeit::N,amzer,мәл
493,Zeit::N,amzer,заман
494,Tag::N,deizh,көн
495,Morgen::N,beure,иртә
496,Morgen::N,beure,иртәнсәк
497,Morgen::N,mintin,иртә
498,Morgen::N,mintin,иртәнсәк
499,Mittag::N,kreisteiz,төш
500,Abend::N,abardaez,кис
501,Nacht::N,noz,төн
502,Woche::N,sizhun,аҙна
503,Monat::N,miz,ай
504,Jahr::N,bloaz,йыл
505,Frühling::N,nevezamzer,яҙ
506,Sommer::N,hañv,йәй
507,Herbst::N,diskaramzer,көз
508,Winter::N,goañv,ҡыш
509,Januar::N,Genver,ғинуар
510,Februar::N,C'hwevrer,февраль
511,März::N,Meurzh,март
512,April::N,Ebrel,апрель
513,Mai::N,Mae,май
514,Juni::N,Mezheven,июнь
515,Juli::N,Gouhere,июль
516,August::N,Eost,август
517,September::N,Gwengolo,сентябрь
518,Oktober::N,Here,октябрь
519,November::N,Du,ноябрь
520,Dezember::N,Kerzu,декабрь
521,Montag::N,Lun,дүшәмбе
522,Dienstag::N,Meurzh,шишәмбе
523,Mittwoch::N,Merc'her,шаршамбы
524,Donnerstag::N,Yaou,кесаҙна
525,Freitag::N,Gwener,йома
526,Samstag::N,Sadorn,шәмбе
527,Sonntag::N,Sul,йәкшәмбе
528,groß::A,bras,ҙур
529,klein::A,bihan,бәләкәс
530,lang::A,hir,оҙон
531,kurz::A,berr,ҡыҫҡа
532,breit::A,ledan,киң
533,schmal::A,strizh,тар
534,dicht::A,stank,йыш
535,dicht::A,stank,ҡуйы
536,dick[Gegenstand]::A,tev,ҡалын
537,dünn::A,moan,йоҡа
538,dünn::A,moan,нәҙек
539,fein::A,munut,нескә
540,fest::A,start,ныҡ
541,flach::A,plaen,яҫы
542,flach::A,plaen,ялпаҡ
543,glatt::A,lintr,шыма
544,glatt::A,levn,шыма
545,hart::A,kalet,ҡаты
546,weich::A,blot,йомшаҡ
547,rund::A,ront,түңәрәк
548,spitz::A,poentet,осло түбәле
549,scharf::A,dremm,үткер
550,stumpf::A,talsoc'h,утмәҫ
551,schwer::A,pounner,ауыр
552,schön::A,kaer,матур
553,heiß::A,tomm,эҫе
554,warm::A,tomm,йылы
555,kalt::A,yen,һыуыҡ
556,kühl::A,yen,һалҡынса
557,frisch::A,fresk,һалҡынса
558,feucht::A,gleb,еүеш
559,feucht::A,gleb,дымлы
560,nass::A,gleb,еүеш
561,trocken::A,sec'h,кипкән
562,voll::A,leun,тулы
563,leer::A,goullo,буш
564,offen::A,digor,асыҡ
565,geschlossen::A,serr,ябыҡ
566,sauber::A,naet,таҙа
567,schmutzig::A,lous,бысраҡ
568,roh::A,kriz,сей
569,reif::A,darev,өлгөрғән
570,lecker::A,lipous,тәмле
571,lecker::A,saourus,тәмле
572,süß::A,dous,тямле
573,süß::A,dous,тәм-том
574,bitter::A,c'hwerv,әсе
575,sauer::A,trenk,әсе
576,hell::A,sklaer,яҡты
577,dunkel::A,teñval,ҡараңғы
578,schwarz::A,du,ҡара
579,weiß::A,gwenn,аҡ
580,rot::A,ruz,матур
581,rot::A,ruz,һылыу
582,rot::A,ruz,сибәр
583,gelb::A,melen,һары
584,blau::A,glas,күк
585,grün::A,gwer,йәшел
586,grau::A,louet,буҙ
587,bunt::A,liesliv,сыбар
588,bunt::A,liesliv,ала-ҡола
589,billig::A,marc'had-mat,арзан
590,teuer::A,ker,ҡыйбатлы
591,wertvoll::A,prizius,ҡиммәтле
592,blind::A,dall,һуҡыр
593,taub::A,bouzar,һаңғырау
594,kräftig::A,start,көслө
595,kräftig::A,start,ҡеүәтле
596,stark::A,kreñv,көслө
597,stark::A,kreñv,ҡеүәтле
598,schwach::A,gwan,көсһөҙ
599,fett::A,lard,һимеҙ
600,schlank::A,sinkl,зифа
601,hübsch::A,koant,матур
602,böse::A,gwall,асыулы
603,dumm::A,glep,иҫәр
604,faul::A,lezirek,иренсәк
605,fleißig::A,studius,тырыш
606,geizig::A,tost,һаран
607,klug::A,speredek,аҡыллы
608,geschickt::A,dornet,оҫта
609,lieb::A,koant,яғымлы
610,lustig::A,laouen,күңелле
611,sanft::A,flour,йыуаш
612,hungrig::A,marnaon,ас
613,krank::A,klañv,сирле
614,krank::A,klañv,ауырыу
615,nackt::A,noazh,яланғас
616,traurig::A,trist,яманһыу
617,lebendig::A,bev,тере
618,lebendig::A,bev,йәнле
619,gut::A,mad,яҡшы
620,schlecht::A,fall,хөрт
621,schlecht::A,fall,алама
622,schlecht::A,gwall,хөрт
623,schlecht::A,gwall,алама
624,richtig::A,reizh,дөрөҫ
625,schlimm::A,gwall,хөрт
626,schlimm::A,gwall,алама
627,wahr::A,gwir,дөрөҫ
628,alt::A,kozh,иҫке
629,alt::A,kozh,боронғо
630,neu::A,nevez,яңы
631,ehemalig::A,kozh,элекке
632,alt[Lebewesen]::A,kozh,ҡарт
633,jung::A,yaouank,йәш
634,arm::A,paour,фәҡир
635,reich::A,pinvidik,бай
636,bekannt::A,anavezet,таныш
637,berühmt::A,brudet,атаҡлы
638,berühmt::A,brudet,данлыҡлы
639,fremd::A,dizanav,ят
640,fremd::A,dizanav,сит
641,verschieden::A,disheñel,төрлө
642,nah::A,nes,яҡын
643,fern::A,diabell,алыҫ
644,fern::A,diabell,йыраҡ
645,linker::A,kleiz,һул
646,rechter::A,dehoù,уң
647,anderer::A,all,бутән
648,erster::A,kentañ,тәүге
649,zweiter::A,eil,икенсе
650,dritter::A,trede,өсөнсө
651,letzter::A,diwezhañ,һуңғы
652,allein::ADV,e-unan,бер үҙе
653,allein::ADV,e-unan,яңғыҙ
654,auf einmal::ADV,ar un dro,бер юлы
655,zusammen::ADV,asambles,бергә
656,lange::ADV,pell,оҙаҡ
657,plötzlich::ADV,en un taol,ҡапыл
658,sofort::ADV,diouzhtu,шунда уҡ
659,später::ADV,diwezhatoc'h,һуңыраҡ
660,jetzt::ADV,bremañ,хәҙер
661,heute::ADV,hiziv,бөгөн
662,morgen::ADV,arc'hoazh,иртәгә
663,bald::ADV,hepdale,тиҙҙән
664,dann::ADV,a-c'houde,һуңынан
665,gestern::ADV,dec'h,кисә
666,einst::ADV,gwechall,ҡасандыр
667,einst::ADV,gwechall,бер баҡыт
668,damals::ADV,neuze,ул саҡта
669,danach::ADV,goude,һуңынан
670,vorher::ADV,diagent,элек
671,zuerst::ADV,da gentañ,башта
672,einmal::ADV,ur wech,бер
673,manchmal::ADV,a-wechoù,ҡайһы берҙә
674,oft::ADV,alies,йыш
675,immer::ADV,atav,һәр ҡасан
676,immer::ADV,bepred,һәр ҡасан
677,niemals::ADV,gwech ebet,бер ҡасан да
678,niemals::ADV,gwech ebet,бер ваҡытта ла
679,hier::ADV,amañ,бында
680,hierhin::ADV,dre amañ,бында
681,von hier::ADV,alemañ,бынан
682,von hier::ADV,alemañ,ошонан
683,dort::ADV,aze,шунда
684,dort::ADV,aze,тегендә
685,dort::ADV,ahont,шунда
686,dort::ADV,ahont,тегендә
687,dorthin::ADV,di,шунда
688,dorthin::ADV,di,тегеләй
689,dorthin::ADV,aze,шунда
690,dorthin::ADV,aze,тегеләй
691,dorthin::ADV,ahont,шунда
692,dorthin::ADV,ahont,тегеләй
693,geradeaus::ADV,war-eeun,тура
694,vorwärts::ADV,war-raok,алға
695,rückwärts::ADV,war-lerc'h,кирегә
696,zurück::ADV,war-dreñv,кирегә
697,unten::ADV,en traoñ,түбәндә
698,hinab::ADV,a-izel,түбәнгә
699,oben::ADV,en nec'h,юғарыла
700,hinauf::ADV,e-krec'h,юғарыға
701,überall::ADV,dre-holl,бөтә урында
702,nicht::ADV,ne ... ket,тугел
703,ein wenig::ADV,un tammig,аҙ
704,kaum::ADV,a-boan,көскә
705,kaum::ADV,a-boan,саҡ-саҡ
706,sehr::ADV,-tre,ифат
707,sehr::ADV,-kenañ,ифат
708,so::ADV,evel-se,шулай
709,noch::ADV,c'hoazh,йәнә
710,nur::ADV,hepken,бары
711,schon::ADV,dija,инде
712,wieder::ADV,adarre,тағы
713,vor::PRP,dirak,алдында
714,hinter::PRP,a-drek,артында
715,hinter::PRP,a-dreñv,артында
716,unter::PRP,dindan,аҫтында
717,durch::PRP,dre,үтә
718,neben::PRP,e-kichen,эргәһендә
719,zwischen::PRP,etre,араһында
720,wegen::PRP,abalamour da,өсөн
721,wegen::PRP,abalamour da,сәбәпле
722,dies::PRN,hemañ,был
723,dies::PRN,hemañ,ошо
724,das::PRN,se,ул
725,das::PRN,hennezh,ул
726,alles::PRN,pep tra,бөтә
727,ich::PRN,me,мин
728,du::PRN,te,һин
729,er::PRN,eñ,ул
730,wir::PRN,ni,беҙ
731,ihr::PRN,c'hwi,һеҙ
732,sie::PRN,int,улар
733,was::FPRN,petra,ә
734,was::FPRN,petra,ни
735,was::FPRN,petra,нәмә
736,wer::FPRN,piv,ҡем
737,wo::FADV,pelec'h,ҡайҙа
738,wohin::FADV,da belec'h,ҡайҙа
739,wie::FADV,penaos,инидәй
740,warum::FADV,perak,ин өсөн
741,wieviel::FNUM,pet,күпме
742,eins::NUM,unan,бер
743,zwei::NUM,daou,ике
744,zwei::NUM,daou,икәү
745,drei::NUM,tri,өс
746,vier::NUM,pevar,дүрт
747,fünf::NUM,pemp,биш
748,sechs::NUM,c'hwec'h,алты
749,sieben::NUM,seizh,ете
750,acht::NUM,eizh,һигеҙ
751,neun::NUM,nav,туғыҙ
752,zehn::NUM,dek,ун
753,elf::NUM,unnek,ун бер
754,zwölf::NUM,daouzek,ун ике
755,zwanzig::NUM,ugent,егерме
756,dreißig::NUM,tregont,утыҙ
757,vierzig::NUM,daou-ugent,ҡырҡ
758,fünfzig::NUM,hanter-kant,илле
759,sechzig::NUM,tri-ugent,алтмыш
