,Concept_ID,myv,ba
238,Mutter::N,ава,әсә
239,Sohn::N,цёра,ул
240,Tochter::N,тейтерь,ҡыҙ
241,Bruder::N,леля,агай
242,Bruder::N,ялакс,агай
243,Schwester::N,сазор,алай
244,Schwester::N,сазор,һеңле
245,Onkel::N,леля,ағай
246,Tante::N,патя,апай
247,Ehemann::N,мирде,ир
248,Ehefrau::N,ни,ҡатын
249,Freude::N,кеняркс,шатлыҡ
250,Freude::N,кеняркс,ҡыуаныс
251,Gelächter::N,ракамо,көлөү
252,Gelächter::N,пейдема,көлөү
253,Glück::N,уцяска,бәхет
254,Kummer::N,рискс,ҡайғы
255,Kummer::N,мелявкс,ҡайғы
256,Wunsch::N,мель,теләк
257,Wunsch::N,бажамо,теләк
258,Lust::N,бажамо,әүәҫлек
259,Geist::N,ойме,аң
260,Geist::N,ойме,рух
261,Gedanke::N,мель,уй
262,Gedanke::N,мель,фекер
263,Gedächtnis::N,мель,хәтер
264,Verstand::N,прев,аҡыл
265,Sinn::N,толк,мәғәня
266,Sinn::N,смысла,мәғәня
267,Grund::N,тувтал,сәбәп
268,Wahrheit::N,видечи,дөрөҫлөк
269,Gespräch::N,кортнема,әңгәмә
270,Märchen::N,ёвкс,әкиәт
271,Erzählung::N,ёвтнема,хикәйә
272,Nachricht::N,куля,хәбәр
273,Neuigkeit::N,куля,яңылыҡ
274,Name::N,лем,исем
275,Rätsel::N,содамоёвкс,йомаҡ
276,Rede::N,кортамо,телмәр
277,Sprache::N,кель,тел
278,Sprache::N,кель,телмәр
279,Stimme::N,ваигель,тауыш
280,Wort::N,вал,һүҙ
281,Zeichen::N,теште,билдә
282,Ruf::N,тердема,саҡырыу
283,Lärm::N,шалнома,шаулау
284,Laut::N,вайгель,тауыш
285,Ton::N,гайнема,яңғырау
286,Lied::N,моро,йыр
287,Ruhe::N,оймамо,ял
288,Ruhe::N,оймамо,тыныслыҡ
289,Leute::N,ломанть,кешеләр
290,Volk::N,народ,халҡ
291,Arbeit::N,тев,эш
292,Gast::N,инже,ҡунаҡ
293,Geschenk::N,казне,бүләк
294,Spiel::N,налксема,уйын
295,Gesellschaft::N,община,йәмғиәт
296,Hilfe::N,лездамо,ярҙам
297,Freund::N,оя,дуҫ
298,Freund::N,ялга,дуҫ
299,Kamerad::N,оя,иптәш
300,Kamerad::N,ялга,иптәш
301,Angelegenheit::N,тев,әш
