,Concept_ID,vep,br
83,Nebel::N,sumeg,brumenn
84,Wolke::N,pil'v,koumoulenn
85,Regen::N,vihm,glav
86,Schnee::N,lumi,erc'h
87,Eis::N,jä,skorn
88,Frost::N,hala,rev
89,Frost::N,pakaine,rev
90,Kälte::N,vilu,yen
91,Hitze::N,räk,tommder
92,Raureif::N,hüde,frim
93,Regenbogen::N,jumalanbembel',gwareg-ar-glav
94,Donner::N,juru,kurun
95,Donner::N,jumalanjuru,kurun
96,Strömung::N,joksmuz,red
97,Tropfen::N,tilkuine,bannac'h
98,Tropfen::N,tilkuine,takenn
99,Schaum::N,vaht,spoum
100,Schmutz::N,redu,fank
101,Schmutz::N,pačak,fank
102,See::N,järv,lenn
103,Sumpf::N,so,gwern
104,Moor::N,so,taouarc'heg
105,Wiese::N,nit,prad
106,Wald::N,mec,koad
107,Hügel::N,kukaz,torgenn
108,Anhöhe::N,kukaz,run
109,Berg::N,mägi,menez
110,Gipfel::N,ladv,barr
111,Höhle::N,mägionduz,kav
112,Abhang::N,paute,naou
113,Quelle::N,lähte,feunteun
114,Bach::N,oja,gwazh
115,Fluss::N,jogi,stêr
116,Ufer::N,rand,ribl
117,Küste::N,randišt,aod
118,Festland::N,kuivma,douar
119,Meer::N,meri,mor
120,Bucht::N,laht,mor-bihan
121,Insel::N,sar',enez
122,Blume::N,änik,bleunienn
123,Gras::N,hein,geot
124,Wurzel::N,jur',gwrizienn
125,Baum::N,pu,gwezenn
126,Stamm::N,tüvi,kef
127,Rinde::N,kor',rusk
128,Ast::N,oks,barr
129,Zweig::N,oks,bod
130,Zweig::N,barb,bod
131,Blatt::N,lehtez,delienn
132,Birke::N,koiv,bezvenn
133,Kiefer[Baum]::N,pedai,pinenn
134,Weide[Baum]::N,raid,halegenn
135,Tanne::N,kuz',sapenn
136,Horn::N,sar'v,korn
137,Feder::N,höuneh,pluñv
138,Fell::N,nahk,kreoñ
139,Flügel::N,suug,askell
140,Klaue::N,künz',skilf
141,Kralle::N,künz',skilf
142,Schwanz::N,händ,lost
143,Ei::N,muna,vi
144,Nest::N,peza,neizh
145,Bau::N,uru,douarenn
146,Tier::N,živat,loen
147,Herde::N,kogo,tropell
148,Kuh::N,lehm,buoc'h
149,Bulle::N,härg,tarv
150,Pferd::N,hebo,marc'h
151,Schaf::N,lambaz,dañvad
152,Schwein::N,siga,pemoc'h
153,Hund::N,koir,ki
154,Katze::N,kaži,kazh
155,Bär::N,kondi,arzh
156,Eichhörnchen::N,orav,gwiñver
157,Elch::N,hirb',karv-dour
158,Fuchs::N,reboi,louarn
159,Hase::N,jäniš,gad
160,Maus::N,hir',logodenn
161,Wolf::N,händikaz,bleiz
162,Vogel::N,lind,labous
163,Schwarm::N,parveh,nijad
164,Huhn::N,kana,yar
165,Hahn::N,kukoi,kilhog
166,Gans::N,hanh',gwazenn
167,Adler::N,orl,erer
168,Ente::N,sorz,houad
169,Eule::N,hir'pulo,toud
170,Kranich::N,kurg,garan
171,Krähe::N,variš,bran
172,Kuckuck::N,kägi,koukoug
173,Schwan::N,joucen,alarc'h
174,Fisch::N,kala,pesk
175,Barsch::N,ahven,brell
176,Hecht::N,haug',beked
177,Schlange[Tier]::N,kü,naer
178,Schlange[Tier]::N,mado,naer
179,Wurm::N,mado,preñv
180,Spinne::N,hämähouk,kevnidenn
181,Ameise::N,murahaine,merion
182,Laus::N,täi,laouenn
183,Mücke::N,säs'k,moustik
184,Fliege::N,kärbhaine,kelienenn
185,Schmetterling::N,lipkaine,balafenn
186,Beere::N,marj,hog
187,Apfel::N,jablok,aval
188,Pilz::N,sen',kabell-touseg
189,Pilz::N,babuk,kabell-touseg
190,Zwiebel::N,lauk,ognonenn
191,Saat::N,semned,had
192,Korn::N,jüvä,ed
193,Korn::N,vill',ed
194,Heu::N,hein,foenn
195,Schale::N,kor',peliadur
196,Grube::N,kop,
197,Falle::N,rida,pech
198,Schlinge::N,rihm,krouglas
199,Spur::N,jäl'g,
200,Asche::N,tuhk,ludu
201,Dreck::N,redu,fank
202,Dreck::N,pačak,fank
203,Eisen::N,raud,houarn
204,Gold::N,kuld,aour
205,Silber::N,hobed,arc'hant
206,Kohle::N,hil',glaou
207,Glas::N,stökol,gwer
208,Lehm::N,savi,
209,Sand::N,lete,traezh
210,Mensch::N,mez',den
211,Mensch::N,ristit,den
212,Mann::N,mez',den
213,Frau::N,naine,maouez
214,Kind::N,laps',bugel
215,Junge::N,poig,paotr
216,Junge::N,prihaine,paotr
217,Mädchen::N,neičukaine,plac'h
218,Familie::N,kanz,familh
219,Familie::N,pereh,familh
220,Großvater::N,ded,tad-kozh
221,Großmutter::N,bab,mamm-gozh
222,Eltern::N,vanhembad,kerent
223,Eltern::N,kazvatajad,kerent
224,Vater::N,tat,tad
225,Mutter::N,mam,mamm
226,Sohn::N,poig,mab
227,Tochter::N,tütär,merc'h
228,Bruder::N,veik,breur
229,Bruder::N,vell',breur
230,Schwester::N,čiža,c'hoar
231,Schwester::N,sizar,c'hoar
232,Onkel::N,däd',eontr
233,Tante::N,tädi,moereb
234,Ehemann::N,mužik,gwaz
235,Ehefrau::N,ak,gwreg
236,Freude::N,ilo,levenez
237,Freude::N,ihastuz,levenez
238,Gelächter::N,nagr,c'hoarzherezh
239,Glück::N,oza,chañs
240,Kummer::N,gor'a,doan
241,Wunsch::N,taht,c'hoant
242,Lust::N,himo,c'hoant
243,Geist::N,heng,spered
244,Gedanke::N,meletuz,soñj
245,Gedächtnis::N,mušt,eñvor
246,Verstand::N,mel',skiant
247,Sinn::N,jüvä,ster
248,Grund::N,sü,kaoz
249,Wahrheit::N,tozi,gwirionez
250,Gespräch::N,lodu,kaozeadenn
251,Gespräch::N,pagin,kaozeadenn
252,Märchen::N,sarn,kaoz korriganez
253,Erzählung::N,sanutez,kontadenn
254,Nachricht::N,tedotuz,keloù
255,Neuigkeit::N,uzištuz,kelaouenn
256,Name::N,nimi,anv
257,Rätsel::N,ozoitez,divinatez
258,Rede::N,pagin,diskour
259,Rede::N,sanad,diskour
260,Sprache::N,kel',yezh
261,Stimme::N,än',mouezh
262,Wort::N,sana,ger
263,Zeichen::N,znam,sin
264,Ruf::N,kida,galv
265,Ruf::N,kucund,galv
266,Lärm::N,judu,trouz
267,Laut::N,kulund,
268,Ton::N,kulund,ton
269,Lied::N,pajo,kanaouenn
270,Ruhe::N,lebu,sioulded
271,Leute::N,rahvaz,tud
272,Volk::N,rahvaz,pobl
273,Arbeit::N,tö,labour
274,Arbeit::N,rad,labour
275,Gast::N,adiv,kouviad
276,Geschenk::N,lahj,prof
277,Spiel::N,vänd,c'hoari
278,Gesellschaft::N,sebr,kompagnunezh
279,Gesellschaft::N,sebr,kavandad
280,Hilfe::N,abu,sikour
281,Freund::N,sebranik,mignon
282,Kamerad::N,sebranik,kamarad
283,Angelegenheit::N,azj,afer
284,Anzahl::N,lugu,niver
285,Art::N,rod,sort
286,Art::N,rodsugu,sort
287,Stück::N,pala,tamm
288,Stück::N,supal,tamm
289,Teil::N,pala,pezh
290,Hälfte::N,pol',hanterenn
291,Kreis::N,ümbruz,kelc'h
292,Kreis::N,kehkruz,kelc'h
293,Kreuz::N,rist,kroaz
294,Linie::N,pird,linenn
295,Strich::N,pird,tenn
296,Abstand::N,keskust,distok
297,Entfernung::N,matk,keid
298,Entfernung::N,matk,kehid
299,Gegend::N,taho,korn-bro
300,Platz::N,avaruz',plasenn
301,Ort::N,koht,lec'h
302,Seite::N,pol',tu
303,Seite::N,kül'g,tu
304,Mitte::N,kesk,kreiz
305,Gegenstand::N,kalu,tra
306,Sache::N,azj,tra
307,Rand::N,röun,kantenn
308,Kante::N,röun,kantenn
309,Ecke::N,saum,korn
310,Spitze::N,agjaine,begell
311,Ende::N,agj,dibenn
312,Loch::N,reig,toull
313,Winkel::N,čoga,
314,Winkel::N,saum,
315,Muster::N,kirjam,tresadenn
316,Größe::N,suruz',ment
317,Länge::N,piduz,hirder
318,Höhe::N,korktuz',uhelder
319,Gewicht::N,jügu,pouez
320,Gewicht::N,vedäduz,pouez
321,Menge::N,äjüz',bern
322,Haufen::N,kogo,bern
323,Reihe::N,rivi,steud
324,Boot::N,veneh,bag
325,Ruder::N,air,roeñv
326,Schlitten::N,regi,trainell
327,Schlitten::N,regut,trainell
328,Ski::N,suks',ski
329,Lagerfeuer::N,nodj,
330,Lagerfeuer::N,pažag,
331,Last::N,jüguz,karg
332,Gang::N,astund,kerzh
333,Schritt::N,hašk,paz
334,Norden::N,pohjoine,norzh
335,Norden::N,pohjoine,hanternoz
336,Süden::N,suvi,su
337,Süden::N,suvi,kreisteiz
338,Westen::N,päivlaskm,kuzh-heol
339,Osten::N,päivnouzm,reter
340,Osten::N,päivnouzm,sav-heol
341,Holz::N,pu,koad
342,Brett::N,laud,plankenn
343,Platte::N,keitim,plakenn
344,Stütze::N,tugi,harp
345,Stange::N,arz',sparl
346,Stock::N,kalu,bazh
347,Stab::N,seibaz,bazh
348,Rohr::N,torv,tub
349,Rohr::N,torv,korz
350,Haus::N,pert',ti
351,Heim::N,kodi,kêr
352,Ofen::N,päč,forn
353,Fußboden::N,lava,plañchod
354,Tisch::N,laud,taol
355,Tisch::N,stal'c,taol
356,Stuhl::N,ištim,kador
357,Wiege::N,kätte,kavell
358,Bett::N,sija,gwele
359,Bett::N,magaduzsija,gwele
360,Regal::N,palič,estajerenn
361,Kiste::N,mülütim,kased
362,Fenster::N,ikun,prenestr
363,Tür::N,uks',dor
364,Tor::N,verai,portal
365,Zaun::N,aid,sklotur
366,Dach::N,katuz,toenn
367,Leiter::N,pordhad,skeul
368,Besen::N,lud,skubell
369,Besen::N,vast,skubell
370,Spaten::N,labid,pal
371,Schaufel::N,labid,pal
372,Gabel::N,hangoine,fourchetez
373,Löffel::N,luzik,loa
374,Messer::N,veič,kontell
375,Nagel::N,nagl,tach
376,Netz::N,verk,roued
377,Haken::N,kouk,krog
378,Griff::N,kägä,kemer
379,Griff::N,varz',kemer
380,Schloss::N,lukkol,potenn
381,Bild::N,kuva,skeudenn
382,Figur::N,figur,skeud
383,Figur::N,figur,figur
384,Puppe::N,tätüine,merc'hodenn
385,Beutel::N,havad,sac'h
386,Bündel::N,toppaz,feskenn
387,Bündel::N,käč,feskenn
388,Tasche::N,sumk,sac'h
389,Eimer::N,vädr,sailh
390,Deckel::N,katuz,pallenn
391,Geschirr::N,astii,listriaj
392,Sack::N,havad,sac'h
393,Tasse::N,čašk,tas
394,Topf::N,pada,pod
395,Kessel::N,katil,chaodouron
396,Essen::N,sönd,pred
397,Nahrung::N,söm,boued
398,Speise::N,sömine,meuz
399,Fleisch::N,liha,kig
400,Getreide::N,vill',ed
401,Brei::N,pudr,yod
402,Brot::N,leib,bara
403,Scheibe::N,bibaleh,tailhenn
404,Scheibe::N,šlik,tailhenn
405,Fett::N,razv,lard
406,Butter::N,voi,amann
407,Öl::N,voi,eoul
408,Salz::N,sol,holen
409,Suppe::N,lem',soubenn
410,Suppe::N,keitoz,soubenn
411,Honig::N,mezi,mel
412,Milch::N,maid,laezh
413,Tee::N,čai,te
414,Leder::N,nahk,lêr
415,Wolle::N,vill,gloan
416,Stoff::N,kangaz,danvez
417,Nadel::N,negl,nadoz
418,Faden::N,nit',neudenn
419,Knopf::N,nübl',bouton
420,Knoten::N,sol'm,skoulm
421,Farbe::N,muju,liv
422,Kleidung::N,sobad,dilhad
423,Hemd::N,paid,roc'hed
424,Kragen::N,kagluz,gouzoug
425,Ärmel::N,hijam,milgin
426,Hose::N,štanad,bragoù
427,Gürtel::N,vö,gouriz
428,Mütze::N,šapuk,boned
429,Schuh::N,keng',botez
430,Stiefel::N,sapug,botez
431,Ring::N,rengaz,gwalenn
432,Band::N,lentaine,bagad
433,Kamm::N,suga,krib
434,Spiegel::N,zerkol,melezour
435,Riemen::N,vö,lerenn
436,Schnur::N,nor,kordenn
437,Leine::N,talutimnor,roll
438,Decke::N,sijakatuz,golo
439,Kissen::N,pöluz,goubenner
440,Tuch::N,paik,mezher
441,Handtuch::N,käzipaik,toailhon
442,Kraft::N,vägi,nerzh
443,Stärke::N,vahvuz',nerzhder
444,Gesundheit::N,tervhuz,yec'hed
445,Krankheit::N,läžund,klañved
446,Schmerz::N,kibu,poan
447,Schmerz::N,kibu,droug
448,Wunde::N,čapatez,gloazadenn
449,Fieber::N,säru,terzhienn
450,Arznei::N,zel'l',louzoù
451,Brücke::N,sild,pont
452,Brunnen::N,kaiv,puñs
453,Weide::N,omaluine,prad
454,Pfad::N,tehut,gwenodenn
455,Weg::N,te,hent
456,Straße::N,te,ru
457,Straße::N,te,hent
458,Dorf::N,külä,kêr
459,Dorf::N,külä,kêriadenn
460,Stadt::N,lidn,kêr
461,Brief::N,kirjeine,lizher
462,Buch::N,kirj,levr
463,Buchstabe::N,kirjam,lizherenn
464,Zeitung::N,lehtez,kazetenn
465,Leben::N,elo,buhez
466,Tod::N,surm,marv
467,Grab::N,kaum,bez
468,Kirche::N,jumalanpert',iliz
469,Sünde::N,grähk,pec'hed
470,Gott::N,jumal,doue
471,Arbeiter::N,radnik,labourer
472,Arbeiter::N,radnik,micherour
473,Chef::N,pämez',penn
474,Meister::N,mastar,mestr
475,Arzt::N,lekar',mezeg
476,Arzt::N,lekar',medisin
477,Lehrer::N,opendai,skolaer
478,Lehrer::N,opendai,kelenner
479,Geld::N,rahad,arc'hant
480,Geschäft::N,biznes,stal
481,Laden::N,lauk,stal
482,Preis::N,arv,priz
483,Ware::N,tavar,marc'hadourezh
484,Nutzen::N,liža,gounidegezh
485,Nutzen::N,liža,lañs
486,Nutzen::N,liža,profit
487,Nutzen::N,liža,spleit
488,Reichtum::N,kodielo,pinvidigezh
489,Reichtum::N,kal'huz',pinvidigezh
490,Welt::N,mail'm,douar
491,Land::N,ma,bro
492,Staat::N,valdkund,stad
493,König::N,kunigaz,roue
494,Macht::N,vald,galloud
495,Grenze::N,röun,harzoù
496,Krieg::N,soda,brezel
497,Feind::N,vihanik,eneber
498,Feind::N,vastustai,eneber
499,Gewalt::N,vägivald,tâerder
500,Kampf::N,tora,kann
501,Bogen[Waffe]::N,taug,gwareg
502,Pfeil::N,nol,saezh
503,Gewehr::N,oružj,fuzuilh
504,Fehler::N,viga,fazi
505,Lüge::N,kelastuz,gaou
506,Schaden::N,pahuz',gwall
507,Unglück::N,bed,gwalleur
508,Unglück::N,gor'a,gwalleur
509,Schuld::N,värhuz',kablusted
510,Schuld::N,värhuz',pec'hedigezh
511,Alter::N,igä,oad
512,Schluss::N,lop,diwezh
513,Zeit::N,aig,amzer
514,Tag::N,päiv,deizh
515,Morgen::N,homendez,beure
516,Morgen::N,homendez,mintin
517,Mittag::N,keskpäiv,kreisteiz
518,Abend::N,eht,abardaez
519,Nacht::N,ö,noz
520,Woche::N,nedal',sizhun
521,Monat::N,ku,miz
522,Jahr::N,voz',bloaz
523,Frühling::N,keväz',nevezamzer
524,Sommer::N,keza,hañv
525,Herbst::N,sügüz',diskaramzer
526,Winter::N,tal'v,goañv
527,Januar::N,viluku,Genver
528,Februar::N,uhoku,C'hwevrer
529,März::N,keväz'ku,Meurzh
530,April::N,sulaku,Ebrel
531,Mai::N,semendku,Mae
532,Juni::N,kezaku,Mezheven
533,Juli::N,heinku,Gouhere
534,August::N,eloku,Eost
535,September::N,sügüz'ku,Gwengolo
536,Oktober::N,reduku,Here
537,November::N,kül'mku,Du
538,Dezember::N,tal'vku,Kerzu
539,Montag::N,ezmärg,Lun
540,Dienstag::N,tožnarg,Meurzh
541,Mittwoch::N,koumanz'päiv,Merc'her
542,Donnerstag::N,nellänz'päiv,Yaou
543,Freitag::N,pätnič,Gwener
544,Freitag::N,videnz'päiv,Gwener
545,Samstag::N,sobat,Sadorn
546,Sonntag::N,pühäpäiv,Sul
547,groß::A,sur',bras
548,groß::A,järed,bras
549,klein::A,pen',bihan
550,klein::A,pičuine,bihan
551,lang::A,pit'k,hir
552,kurz::A,lühüd,berr
553,breit::A,leved,ledan
554,schmal::A,kaid,strizh
555,dicht::A,tihed,stank
556,dick[Gegenstand]::A,paks,tev
557,dünn::A,hoik,moan
558,fein::A,hen,munut
559,fest::A,luja,start
560,fest::A,ninev,start
561,flach::A,lapak,plaen
562,glatt::A,siled,lintr
563,glatt::A,siled,levn
564,hart::A,kova,kalet
565,weich::A,pehmed,blot
566,rund::A,kehker,ront
567,spitz::A,nügu,poentet
568,spitz::A,terav,poentet
569,scharf::A,terav,dremm
570,stumpf::A,tül'c,talsoc'h
571,schwer::A,jüged,pounner
572,schön::A,čoma,kaer
573,heiß::A,räk,tomm
574,warm::A,läm',tomm
575,kalt::A,vilu,yen
576,kühl::A,raibak,yen
577,kühl::A,viluhk,yen
578,frisch::A,lahed,fresk
579,feucht::A,neps,gleb
580,feucht::A,toreh,gleb
581,nass::A,märg,gleb
582,trocken::A,kuiv,sec'h
583,voll::A,täuz',leun
584,leer::A,joudai,goullo
585,offen::A,avoin,digor
586,offen::A,avol'jaine,digor
587,geschlossen::A,saubaline,serr
588,sauber::A,puhtaz,naet
589,schmutzig::A,redukaz,lous
590,roh::A,rohk,kriz
591,roh::A,toreh,kriz
592,reif::A,küps,darev
593,lecker::A,magukaz,lipous
594,lecker::A,magukaz,saourus
595,süß::A,maged,dous
596,bitter::A,karged,c'hwerv
597,sauer::A,muiged,trenk
598,hell::A,kirkas,sklaer
599,hell::A,valgei,sklaer
600,dunkel::A,pimed,teñval
601,schwarz::A,must,du
602,weiß::A,vauged,gwenn
603,rot::A,rusked,ruz
604,gelb::A,pakuine,melen
605,blau::A,sinine,glas
606,grün::A,vihand,gwer
607,grau::A,hahk,louet
608,bunt::A,kirjav,liesliv
609,billig::A,odav,marc'had-mat
610,teuer::A,kalliž,ker
611,wertvoll::A,arvokas,prizius
612,blind::A,soged,dall
613,taub::A,kurdiž,bouzar
614,kräftig::A,vägev,start
615,stark::A,vahv,kreñv
616,stark::A,vägekaz,kreñv
617,schwach::A,väll',gwan
618,fett::A,razvakaz,lard
619,schlank::A,kapos,sinkl
620,hübsch::A,čoma,koant
621,böse::A,äred,gwall
622,böse::A,käred,gwall
623,dumm::A,el'getoi,glep
624,faul::A,lašk,lezirek
625,fleißig::A,radonnavedii,studius
626,geizig::A,ažlak,tost
627,klug::A,melev,speredek
628,klug::A,melekaz,speredek
629,geschickt::A,mahtokaz,dornet
630,lieb::A,izo,koant
631,lieb::A,sula,koant
632,lustig::A,ilokaz,laouen
633,sanft::A,laskav,flour
634,hungrig::A,näl'ghine,marnaon
635,krank::A,läžui,klañv
636,nackt::A,alastoi,noazh
637,traurig::A,opalahine,trist
638,lebendig::A,eläb,bev
639,gut::A,hüvä,mad
640,schlecht::A,huba,fall
641,schlecht::A,huba,gwall
642,richtig::A,oiged,reizh
643,schlimm::A,paha,gwall
644,wahr::A,todesine,gwir
645,alt::A,vanh,kozh
646,neu::A,uz',nevez
647,ehemalig::A,edeline,kozh
648,alt[Lebewesen]::A,ravaz,kozh
649,jung::A,nor',yaouank
650,arm::A,gol'l',paour
651,reich::A,elokaz,pinvidik
652,bekannt::A,tutab,anavezet
653,berühmt::A,tetab,brudet
654,fremd::A,veraz,dizanav
655,verschieden::A,erazvuitte,disheñel
656,nah::A,läheline,nes
657,fern::A,edahaine,diabell
658,linker::A,hura,kleiz
659,rechter::A,oiged,dehoù
660,anderer::A,toine,all
661,erster::A,ezmäine,kentañ
662,zweiter::A,toine,eil
663,dritter::A,koumanz',trede
664,letzter::A,jäl'gmäine,diwezhañ
665,allein::ADV,üksnäze,e-unan
666,auf einmal::ADV,ühten aigan,ar un dro
667,zusammen::ADV,ühtes,asambles
668,lange::ADV,hätken,pell
669,plötzlich::ADV,äkkid,en un taol
670,sofort::ADV,kerdalaz,diouzhtu
671,später::ADV,möhemba,diwezhatoc'h
672,jetzt::ADV,nügüd',bremañ
673,heute::ADV,tämbei,hiziv
674,morgen::ADV,homen,arc'hoazh
675,bald::ADV,pigai,hepdale
676,dann::ADV,sid',a-c'houde
677,gestern::ADV,eglai,dec'h
678,einst::ADV,ende,gwechall
679,einst::ADV,kerdan,gwechall
680,damals::ADV,siloi,neuze
681,danach::ADV,sid',goude
682,vorher::ADV,ende,diagent
683,zuerst::ADV,ezmäi,da gentañ
684,einmal::ADV,kerdan,ur wech
685,manchmal::ADV,erašti,a-wechoù
686,oft::ADV,paksus,alies
687,immer::ADV,kaiken,atav
688,immer::ADV,kaiken,bepred
689,niemals::ADV,ei nikonz,gwech ebet
690,hier::ADV,täs,amañ
691,hier::ADV,tägä,amañ
692,hierhin::ADV,tänna,dre amañ
693,von hier::ADV,täspäi,alemañ
694,von hier::ADV,sid'päi,alemañ
695,dort::ADV,sigä,aze
696,dort::ADV,sigä,ahont
697,dorthin::ADV,sinna,di
698,dorthin::ADV,sinna,aze
699,dorthin::ADV,sinna,ahont
700,dorthin::ADV,nakkale,di
701,dorthin::ADV,nakkale,aze
702,dorthin::ADV,nakkale,ahont
703,geradeaus::ADV,kohtha,war-eeun
704,vorwärts::ADV,edehe,war-raok
705,rückwärts::ADV,sel'gin,war-lerc'h
706,zurück::ADV,tagaze,war-dreñv
707,unten::ADV,alahan,en traoñ
708,hinab::ADV,alaz,a-izel
709,hinab::ADV,alahaks,a-izel
710,oben::ADV,ülähän,en nec'h
711,hinauf::ADV,ülez,e-krec'h
712,hinauf::ADV,ülähäks,e-krec'h
713,überall::ADV,kaikjal,dre-holl
714,nicht::ADV,ei,ne ... ket
715,ein wenig::ADV,vähän,un tammig
716,kaum::ADV,habi,a-boan
717,sehr::ADV,lujas,-tre
718,sehr::ADV,lujas,-kenañ
719,so::ADV,muga,evel-se
720,so::ADV,ninga,evel-se
721,noch::ADV,völ,c'hoazh
722,nur::ADV,järg,hepken
723,nur::ADV,vaiše,hepken
724,schon::ADV,jo,dija
725,wieder::ADV,möst,adarre
726,vergebens::ADV,uhtei,
727,vor::PRP,edes,dirak
728,hinter::PRP,taga,a-drek
729,hinter::PRP,taga,a-dreñv
730,unter::PRP,al,dindan
731,durch::PRP,läbi,dre
732,durch::PRP,kal't,dre
733,neben::PRP,rindal,e-kichen
734,zwischen::PRP,keskes,etre
735,wegen::PRP,tagut,abalamour da
736,dies::PRN,nece,hemañ
737,das::PRN,se,se
738,das::PRN,se,hennezh
739,alles::PRN,kaik,pep tra
740,ich::PRN,minä,me
741,du::PRN,sinä,te
742,er::PRN,hän,eñ
743,wir::PRN,mö,ni
744,ihr::PRN,tö,c'hwi
745,sie::PRN,hö,int
746,was::FPRN,mi,petra
747,wer::FPRN,ken,piv
748,wo::FADV,kus,pelec'h
749,wohin::FADV,kuna,da belec'h
750,wie::FADV,kut,penaos
751,wie::FADV,mit',penaos
752,warum::FADV,mikš,perak
753,wieviel::FNUM,äjak,pet
754,wieviel::FNUM,kuverz',pet
755,eins::NUM,üks',unan
756,zwei::NUM,kaks',daou
757,drei::NUM,koume,tri
758,vier::NUM,nel'l',pevar
759,fünf::NUM,viž,pemp
760,sechs::NUM,kuz',c'hwec'h
761,sieben::NUM,seičeme,seizh
762,acht::NUM,kahesa,eizh
763,neun::NUM,ühesa,nav
764,zehn::NUM,kümne,dek
765,elf::NUM,üks'toštkümne,unnek
766,zwölf::NUM,kaks'toštkümne,daouzek
767,zwanzig::NUM,kaks'kümne,ugent
768,dreißig::NUM,koumekümne,tregont
769,vierzig::NUM,nel'l'kümne,daou-ugent
770,fünfzig::NUM,vižkümne,hanter-kant
771,sechzig::NUM,kuz'kümne,tri-ugent
772,siebzig::NUM,seičemekümne,dek ha tri-ugent
773,achtzig::NUM,kahesakümne,pevar-ugent
774,neunzig::NUM,ühesakümne,dek ha pevar-ugent
775,hundert::NUM,sada,kant
776,tausend::NUM,tuha,mil
777,und::CNJ,i,ha
778,und::CNJ,da,ha
779,oder::CNJ,vai,pe
780,stehen::V,seišta,bezañ a-sav
781,sitzen::V,ištta,azezañ
782,sitzen::V,ištta,bezañ en e goazez
783,liegen::V,venuda,bezañ en e c'hourvez
784,hängen::V,ripta,krougañ
785,werden::V,lindä,dazonet
786,werden::V,tehtas,dazonet
787,passieren::V,ozaitas,c'hoarvezout
788,beginnen::V,augotadas,stagañ
789,enden::V,loptas,achuiñ
790,wechseln::V,vajehtadas,cheñch
791,aufgehen[Sonne]::V,nousta,dirouzañ
792,untergehen[Sonne]::V,lasktas,
793,scheinen[Sonne]::V,paštta,lugernañ
794,donnern::V,juraita,taranal
795,wehen::V,dölta,c'hwezhañ
796,wehen::V,puhuda,c'hwezhañ
797,strömen::V,valadas,deredek
798,fließen::V,valuda,redek
799,sich drehen::V,punotas,troiñ
800,schwanken::V,čibuda,trantellat
801,schwingen::V,čibuda,froumal
802,fallen::V,langeta,kouezhañ
803,brennen::V,pallada,deviñ
804,rauchen::V,savustada,divogedañ
805,regnen::V,vihmda,glavañ
806,gefrieren::V,jäduda,reviñ
807,gefrieren::V,kül'mdä,reviñ
808,tauen::V,sulada,diskornañ
809,schmelzen::V,sulada,teuziñ
