,Concept_ID,it,ga
66,Geschmack::N,gusto,blas
67,Geschmack::N,sapore,blas
68,Geruch::N,odore,boladh
69,Schlaf::N,sonno,suan
70,Schlaf::N,sonno,codladh
71,Traum::N,sogno,taibhreamh
72,Himmel::N,cielo,spéir
73,Sonne::N,sole,grian
74,Mond::N,luna,ré
75,Mond::N,luna,gealach
76,Stern::N,stella,rinn
77,Stern::N,stella,réalta
78,Luft::N,aria,aer
79,Wind::N,vento,gaoth
80,Welle::N,onda,tonn
81,Wasser::N,acqua,uisce
82,Stein::N,sasso,cloch
83,Stein::N,pietra,cloch
84,Boden::N,suolo,talamh
85,Boden::N,terreno,talamh
86,Erde::N,terra,cré
87,Erde::N,terra,ithir
88,Staub::N,polvere,dusta
89,Staub::N,polvere,deannach
90,Rauch::N,fumo,toit
91,Rauch::N,fumo,deatach
92,Funke::N,scintilla,drithle
93,Feuer::N,fuoco,tine
94,Licht::N,luce,solas
95,Schatten::N,ombra,scáth
96,Wetter::N,tempo,aimsir
97,Nebel::N,nebbia,ceo
98,Wolke::N,nube,néal
99,Wolke::N,nube,scamall
100,Wolke::N,nùvola,néal
101,Wolke::N,nùvola,scamall
102,Regen::N,pioggia,báisteach
103,Regen::N,pioggia,fearthainn
104,Schnee::N,neve,sneachta
105,Eis::N,ghiaccio,oighear
106,Frost::N,gelo,sioc
107,Kälte::N,freddo,fuacht
108,Hitze::N,caldo,teas
109,Hitze::N,caldo,teocht
110,Hitze::N,calura,teas
111,Hitze::N,calura,teocht
112,Raureif::N,brina,sioc bán
113,Regenbogen::N,arcobaleno,stua ceatha
114,Regenbogen::N,arcobaleno,bogha báistí
115,Donner::N,tuono,toirneach
116,Strömung::N,corrente,sruth
117,Tropfen::N,goccia,deoir
118,Schaum::N,spuma,cúr
119,Schaum::N,schiuma,cúr
120,Schmutz::N,sudiciume,salachar
121,See::N,lago,loch
122,Sumpf::N,palude,portach
123,Moor::N,torbiera,caorán
124,Moor::N,torbiera,móinteán
125,Wiese::N,prato,cluain
126,Wiese::N,prato,móinéar
127,Wald::N,bosco,coill
128,Wald::N,bosco,foraois
129,Wald::N,foresta,coill
130,Wald::N,foresta,foraois
131,Hügel::N,colle,ard
132,Hügel::N,collina,ard
133,Anhöhe::N,altura,ard
134,Anhöhe::N,altura,ardán
135,Berg::N,monte,sliabh
136,Berg::N,montagna,sliabh
137,Gipfel::N,cima,barr
138,Gipfel::N,cima,mullach
139,Höhle::N,grotta,uaimh
140,Höhle::N,grotta,pluais
141,Höhle::N,caverna,uaimh
142,Höhle::N,caverna,pluais
143,Abhang::N,pendìo,fána
144,Quelle::N,sorgente,foinse
145,Bach::N,ruscello,sruthán
146,Fluss::N,fiume,abhainn
147,Ufer::N,riva,bruach
148,Küste::N,costa,cósta
149,Küste::N,costa,cladach
150,Festland::N,terraferma,míntír
151,Meer::N,mare,muir
152,Meer::N,mare,farraige
153,Bucht::N,cala,bá
154,Bucht::N,cala,cuan
155,Insel::N,ìsola,inis
156,Insel::N,ìsola,oileán
157,Blume::N,fiore,bláth
158,Gras::N,erba,féar
159,Wurzel::N,radice,rúta
160,Wurzel::N,radice,fréamh
161,Baum::N,àlbero,crann
162,Stamm::N,tronco,stoc
163,Stamm::N,tronco,tamhan
164,Rinde::N,corteccia,coirt
165,Rinde::N,corteccia,craiceann
166,Ast::N,ramo,géag
167,Zweig::N,ramo,géag
168,Zweig::N,ramo,craobh
169,Blatt::N,foglia,duille
170,Blatt::N,foglia,duilleog
171,Birke::N,betulla,beith
172,Birke::N,betulla,crann beithe
173,Kiefer[Baum]::N,pino,péine
174,Weide[Baum]::N,sàlice,saileach
175,Tanne::N,abete,giúis
176,Horn::N,corno,adharc
177,Feder::N,penna,cleite
178,Fell::N,manto,clúmh
179,Fell::N,pelame,clúmh
180,Flügel::N,ala,eite
181,Flügel::N,ala,sciathán
182,Klaue::N,grinfia,crúb
183,Klaue::N,grinfia,crobh
184,Kralle::N,unghia,crobh
185,Kralle::N,artiglio,crobh
186,Schwanz::N,coda,eireaball
187,Ei::N,uovo,ubh
188,Nest::N,nido,nead
189,Bau::N,covo,brocais
190,Tier::N,bestia,ainmhí
191,Tier::N,bestia,beithíoch
192,Tier::N,animale,ainmhí
193,Tier::N,animale,beithíoch
194,Herde::N,gregge,tréad
195,Kuh::N,vacca,bó
196,Bulle::N,toro,tarbh
197,Pferd::N,cavallo,each
198,Pferd::N,cavallo,capall
199,Schaf::N,pècora,caora
200,Schwein::N,porco,muc
201,Schwein::N,maiale,muc
202,Hund::N,cane,madra
203,Katze::N,gatta,cat
204,Bär::N,orso,béar
205,Eichhörnchen::N,scoiàttolo,iora
206,Elch::N,alce,eilc
207,Fuchs::N,volpe,sionnach
208,Fuchs::N,volpe,madra rua
209,Hase::N,lepre,giorria
210,Maus::N,topo,luch
211,Maus::N,sorcio,luch
212,Wolf::N,lupo,mac tíre
213,Vogel::N,uccello,éan
214,Schwarm::N,stormo,saithe
215,Huhn::N,gallina,cearc
216,Hahn::N,gallo,coileach
217,Gans::N,oca,gé
218,Adler::N,àquila,iolar
219,Ente::N,ànatra,lacha
220,Eule::N,gufo,ulchabhán
221,Eule::N,civetta,ulchabhán
222,Kranich::N,gru,grús
223,Krähe::N,cornacchia,caróg
224,Krähe::N,cornacchia,préachán
225,Kuckuck::N,cuccù,cuach
226,Kuckuck::N,cùculo,cuach
227,Schwan::N,cigno,eala
228,Fisch::N,pesce,iasc
229,Barsch::N,pèrsico,péirse
230,Hecht::N,luccio,liús
231,Schlange[Tier]::N,serpente,nathair
232,Wurm::N,baco,péist
233,Wurm::N,verme,péist
234,Spinne::N,ragno,damhán alla
235,Ameise::N,formica,seangán
236,Laus::N,pidocchio,míol
237,Mücke::N,zanzara,muiscít
238,Mücke::N,zanzara,corrmhíol
239,Fliege::N,mosca,cuil
240,Fliege::N,mosca,cuileog
241,Schmetterling::N,farfalla,féileacán
242,Beere::N,bacca,caor
243,Apfel::N,mela,úll
244,Pilz::N,fungo,beacán
245,Pilz::N,fungo,muisiriún
246,Zwiebel::N,cipolla,oinniún
247,Saat::N,semente,síol
248,Korn::N,grano,gráinne
249,Heu::N,fieno,féar
250,Schale::N,buccia,scaimh
251,Grube::N,cava,poll
252,Grube::N,fossa,poll
253,Falle::N,tràppola,gaiste
254,Schlinge::N,laccio,sealán
255,Spur::N,traccia,rian
256,Asche::N,cenere,luaith
257,Dreck::N,fango,salachar
258,Eisen::N,ferro,iarann
259,Gold::N,oro,ór
260,Silber::N,argento,airgead
261,Kohle::N,carbone,gual
262,Glas::N,vetro,gloine
263,Lehm::N,argilla,cré
264,Sand::N,arena,gaineamh
265,Sand::N,sabbia,gaineamh
266,Mensch::N,uomo,duine
267,Mensch::N,èssere umano,duine
268,Mann::N,uomo,fear
269,Frau::N,donna,bean
270,Kind::N,bambino,gasúr
271,Kind::N,bambino,páiste
272,Junge::N,ragazzo,buachaill
273,Mädchen::N,ragazza,cailín
274,Familie::N,famiglia,teaghlach
275,Familie::N,famiglia,comhluadar
276,Großvater::N,nonno,seanathair
277,Großmutter::N,nonna,seanmháthair
278,Eltern::N,genitori,tuismitheoirí
279,Vater::N,padre,athair
280,Mutter::N,madre,máthair
281,Sohn::N,figlio,mac
282,Tochter::N,figlia,iníon
283,Bruder::N,fratello,deartháir
284,Schwester::N,sorella,deirfiúr
285,Onkel::N,zio,uncail
286,Tante::N,zia,aintín
287,Ehemann::N,marito,fear céile
288,Ehefrau::N,moglie,bean chéile
289,Freude::N,gioia,áthas
290,Freude::N,piacere,áthas
291,Gelächter::N,risata,gáire
292,Glück::N,felicità,séan
293,Glück::N,felicità,sonas
294,Kummer::N,afflizione,brón
295,Kummer::N,afflizione,buairt
296,Wunsch::N,desiderio,guí
297,Wunsch::N,desiderio,achainí
298,Lust::N,voglia,fonn
299,Geist::N,mente,meon
300,Geist::N,mente,spiorad
301,Geist::N,spìrito,meon
302,Geist::N,spìrito,spiorad
303,Gedanke::N,idea,smaoineamh
304,Gedanke::N,pensiero,smaoineamh
305,Gedächtnis::N,memoria,cuimhne
306,Verstand::N,intelletto,ciall
307,Verstand::N,intelletto,intinn
308,Sinn::N,senso,brí
309,Sinn::N,senso,ciall
310,Sinn::N,significato,brí
311,Sinn::N,significato,ciall
312,Grund::N,causa,fáth
313,Grund::N,motivo,fáth
314,Grund::N,ragione,fáth
315,Wahrheit::N,verità,fírinne
316,Gespräch::N,discorso,comhrá
317,Gespräch::N,conversazione,comhrá
318,Märchen::N,fiaba,scéal
319,Märchen::N,fàvola,scéal
320,Erzählung::N,racconto,scéal
321,Erzählung::N,narrazione,scéal
322,Nachricht::N,messaggio,teachtaireacht
323,Neuigkeit::N,notizia,scéala
324,Name::N,nome,ainm
325,Rätsel::N,indovinello,tomhas
326,Rede::N,discorso,óráid
327,Rede::N,discorso,aitheasc
328,Sprache::N,lingua,teanga
329,Sprache::N,linguaggio,teanga
330,Stimme::N,voce,guth
331,Wort::N,parola,focal
332,Zeichen::N,segno,comhartha
333,Zeichen::N,segnale,comhartha
334,Ruf::N,chiamata,glaoch
335,Lärm::N,chiasso,torann
336,Lärm::N,strèpito,torann
337,Laut::N,suono,fuaim
338,Ton::N,tono,ton
339,Lied::N,canto,amhrán
340,Lied::N,canzone,amhrán
341,Ruhe::N,calma,suaimhneas
342,Ruhe::N,tranquillità,suaimhneas
343,Leute::N,gente,muintir
344,Volk::N,pòpolo,pobal
345,Arbeit::N,lavoro,obair
346,Gast::N,òspite,aoi
347,Gast::N,invitato,aoi
348,Geschenk::N,regalo,féirín
349,Geschenk::N,regalo,bronntanas
350,Spiel::N,gioco,cluiche
351,Gesellschaft::N,compagnìa,comhluadar
352,Hilfe::N,aiuto,cúnamh
353,Hilfe::N,aiuto,cabhair
354,Hilfe::N,soccorso,cúnamh
355,Hilfe::N,soccorso,cabhair
356,Freund::N,amico,cara
357,Kamerad::N,camerata,comrádaí
358,Angelegenheit::N,affare,ábhar
359,Angelegenheit::N,faccenda,ábhar
360,Anzahl::N,nùmero,líon
361,Anzahl::N,quantità,líon
362,Art::N,tipo,sórt
363,Art::N,tipo,saghas
364,Art::N,specie,sórt
365,Art::N,specie,saghas
366,Stück::N,pezzo,píosa
367,Teil::N,parte,cuid
368,Teil::N,parte,páirt
369,Hälfte::N,metà,leath
370,Kreis::N,cìrcolo,ciorcal
371,Kreuz::N,croce,cros
372,Linie::N,lìnea,líne
373,Strich::N,tratto,stríoc
374,Abstand::N,distanza,achar
375,Entfernung::N,distanza,fad
376,Entfernung::N,lontananza,fad
377,Gegend::N,regione,ceantar
378,Platz::N,posto,áit
379,Platz::N,posto,spás
380,Platz::N,spazio,áit
381,Platz::N,spazio,spás
382,Ort::N,luogo,áit
383,Ort::N,località,áit
384,Seite::N,lato,taobh
385,Seite::N,parte,taobh
386,Mitte::N,mezzo,lár
387,Mitte::N,centro,lár
388,Gegenstand::N,oggetto,ball
389,Gegenstand::N,oggetto,ábhar
390,Sache::N,cosa,ní
391,Sache::N,cosa,rud
392,Rand::N,orlo,imeall
393,Rand::N,orlo,ciumhais
394,Rand::N,bordo,imeall
395,Rand::N,bordo,ciumhais
396,Kante::N,spìgolo,corr
397,Kante::N,spìgolo,colbha
398,Ecke::N,canto,coirnéal
399,Spitze::N,punta,gob
400,Spitze::N,punta,barr
401,Ende::N,capo,ceann
402,Ende::N,capo,foirceann
403,Ende::N,estremità,ceann
404,Ende::N,estremità,foirceann
405,Loch::N,buco,poll
406,Winkel::N,àngolo,cúinne
407,Winkel::N,àngolo,uillinn
408,Muster::N,disegno,patrún
409,Größe::N,taglia,méid
410,Größe::N,taglia,toise
411,Größe::N,grandezza,méid
412,Größe::N,grandezza,toise
413,Länge::N,lunghezza,fad
414,Höhe::N,altezza,airde
415,Gewicht::N,peso,meáchan
416,Menge::N,quantità,méid
417,Haufen::N,cùmulo,cnap
418,Haufen::N,mucchio,cnap
419,Reihe::N,fila,líne
420,Reihe::N,fila,sraith
421,Boot::N,barca,bád
422,Boot::N,battello,bád
423,Ruder::N,remo,rámh
424,Ruder::N,remo,maide rámha
425,Schlitten::N,slitta,carr sleamhnáin
426,Ski::N,sci,scí
427,Lagerfeuer::N,falò,tine champa
428,Lagerfeuer::N,fuoco di bivacco,tine champa
429,Last::N,càrico,ualach
430,Gang::N,andata,siúlóid
431,Schritt::N,passo,céim
432,Schritt::N,passo,coiscéim
433,Norden::N,nord,tuaisceart
434,Norden::N,settentrione,tuaisceart
435,Süden::N,sud,deisceart
436,Süden::N,meridione,deisceart
437,Westen::N,òvest,iarthar
438,Westen::N,occidente,iarthar
439,Osten::N,est,oirthear
440,Osten::N,oriente,oirthear
441,Holz::N,legno,adhmad
442,Brett::N,asse,clár
443,Brett::N,tàvola,clár
444,Platte::N,lastra,leac
445,Platte::N,piastra,leac
446,Stütze::N,supporto,taca
447,Stange::N,sbarra,polla
448,Stange::N,sbarra,cuaille
449,Stange::N,pèrtica,polla
450,Stange::N,pèrtica,cuaille
451,Stock::N,verga,bata
452,Stock::N,verga,maide
453,Stock::N,bastone,bata
454,Stock::N,bastone,maide
455,Stock::N,bacchetta,bata
456,Stock::N,bacchetta,maide
457,Stab::N,asta,maide
458,Stab::N,asta,bachall
459,Rohr::N,tubo,píopa
460,Haus::N,casa,teach
461,Heim::N,casa,baile
462,Ofen::N,stufa,sornóg
463,Fußboden::N,pavimento,urlár
464,Tisch::N,tàvolo,bord
465,Tisch::N,tàvolo,tábla
466,Stuhl::N,sedia,cathaoir
467,Wiege::N,culla,cliabhán
468,Bett::N,letto,leaba
469,Regal::N,scaffale,seilf
470,Kiste::N,cassa,bosca
471,Fenster::N,finestra,fuinneoig
472,Tür::N,porta,doras
473,Tor::N,portone,geata
474,Zaun::N,recinto,fál
475,Zaun::N,recinto,claí
476,Dach::N,tetto,díon
477,Leiter::N,scala,dréimire
478,Leiter::N,scala a pioli,dréimire
479,Besen::N,scopa,scuab
480,Spaten::N,vanga,spád
481,Spaten::N,vanga,rámhainn
482,Schaufel::N,pala,sluasaid
483,Gabel::N,forchetta,forc
484,Gabel::N,forchetta,gabhlóg
485,Löffel::N,cucchiaio,spúnóg
486,Messer::N,coltello,scian
487,Nagel::N,chiodo,tairne
488,Netz::N,rete,líon
489,Netz::N,rete,eangach
490,Haken::N,uncino,croch
491,Griff::N,mànico,cos
492,Griff::N,mànico,hanla
493,Griff::N,maniglia,cos
494,Griff::N,maniglia,hanla
495,Schloss::N,serratura,glas
496,Bild::N,quadro,pictiúr
497,Bild::N,immàgine,pictiúr
498,Figur::N,figura,fíor
499,Puppe::N,bàmbola,bábóg
500,Beutel::N,borsa,mála
501,Beutel::N,borsa,mealbhóg
502,Beutel::N,sacchetto,mála
503,Beutel::N,sacchetto,mealbhóg
504,Bündel::N,fascio,beart
505,Bündel::N,fagotto,beart
506,Tasche::N,borsa,mála
507,Eimer::N,secchio,buicéad
508,Deckel::N,coperchio,clár
509,Deckel::N,coperchio,claibín
510,Geschirr::N,stoviglie,soithí
511,Geschirr::N,stoviglie,gréithe
512,Sack::N,sacco,sac
513,Sack::N,sacco,mála
514,Tasse::N,tazza,cupán
515,Topf::N,pèntola,pota
516,Kessel::N,paiolo,citeal
517,Kessel::N,calderone,citeal
518,Essen::N,pasto,béile
519,Essen::N,mangiare,béile
520,Nahrung::N,cibo,bia
521,Nahrung::N,alimento,bia
522,Speise::N,piatto,mias
523,Fleisch::N,carne,feoil
524,Getreide::N,cereali,grán
525,Getreide::N,cereali,arbhar
526,Brei::N,purè,brúitín
527,Brei::N,pappa,brúitín
528,Brot::N,pane,arán
529,Scheibe::N,fetta,píosa
530,Scheibe::N,fetta,slisne
531,Scheibe::N,trancia,píosa
532,Scheibe::N,trancia,slisne
533,Fett::N,grasso,saill
534,Fett::N,grasso,méathras
535,Butter::N,burro,im
536,Öl::N,olio,ola
537,Salz::N,sale,salann
538,Suppe::N,zuppa,sú
539,Suppe::N,zuppa,anraith
540,Suppe::N,minestra,sú
541,Suppe::N,minestra,anraith
542,Honig::N,miele,mil
543,Milch::N,latte,bainne
544,Tee::N,tè,tae
545,Leder::N,pelle,leathar
546,Wolle::N,lana,olann
547,Stoff::N,panno,éadach
548,Stoff::N,tessuto,éadach
549,Nadel::N,ago,snáthaid
550,Faden::N,filo,snáth
551,Knopf::N,bottone,cnaipe
552,Knoten::N,nodo,snaidhm
553,Farbe::N,pittura,péint
554,Kleidung::N,vestiti,éadaí
555,Kleidung::N,vestiario,éadaí
556,Hemd::N,camicia,léine
557,Kragen::N,bàvero,bóna
558,Kragen::N,colletto,bóna
559,Ärmel::N,mànica,muinchille
560,Hose::N,calzoni,bríste
561,Hose::N,calzoni,treabhsar
562,Gürtel::N,cintura,crios
563,Mütze::N,berretto,caipín
564,Schuh::N,scarpa,bróg
565,Stiefel::N,stivale,buatais
566,Ring::N,anello,fáinne
567,Band::N,nastro,ribín
568,Band::N,fettuccia,ribín
569,Kamm::N,pèttine,cíor
570,Spiegel::N,specchio,scáthán
571,Riemen::N,cinghia,iall
572,Riemen::N,cinghia,strapa
573,Schnur::N,corda,téad
574,Schnur::N,corda,sreangán
575,Leine::N,guinzaglio,iall
576,Decke::N,coperta,pluid
577,Decke::N,coperta,blaincéad
578,Kissen::N,cuscino,piliúr
579,Kissen::N,cuscino,adhartán
580,Kissen::N,guanciale,piliúr
581,Kissen::N,guanciale,adhartán
582,Tuch::N,fazzoletto,scaif
583,Handtuch::N,asciugamano,tuáille
584,Kraft::N,forza,fórsa
585,Stärke::N,forza,neart
586,Stärke::N,vigore,neart
587,Stärke::N,fortezza,neart
588,Gesundheit::N,salute,sláinte
589,Krankheit::N,malattìa,tinneas
590,Krankheit::N,malattìa,breoiteacht
591,Schmerz::N,dolore,pian
592,Wunde::N,piaga,goin
593,Wunde::N,ferita,goin
594,Fieber::N,febbre,fiabhras
595,Arznei::N,fàrmaco,cógas
596,Arznei::N,medicina,cógas
597,Brücke::N,ponte,droichead
598,Brunnen::N,pozzo,tobar
599,Weide::N,pàscolo,féarach
600,Pfad::N,sentiero,cosán
601,Pfad::N,sentiero,conair
602,Weg::N,via,slí
603,Weg::N,via,bealach
604,Weg::N,cammino,slí
605,Weg::N,cammino,bealach
606,Straße::N,strada,bóthar
607,Dorf::N,paese,sráidbhaile
608,Dorf::N,villaggio,sráidbhaile
609,Stadt::N,città,baile
610,Stadt::N,città,cathair
611,Brief::N,lèttera,litir
612,Buch::N,libro,cín
613,Buch::N,libro,leabhar
614,Buchstabe::N,lèttera,litir
615,Zeitung::N,giornale,nuachtán
616,Leben::N,vita,saol
617,Leben::N,vita,beatha
618,Tod::N,morte,bás
619,Grab::N,tomba,uaigh
620,Grab::N,sepolcro,uaigh
621,Kirche::N,chiesa,eaglais
622,Sünde::N,peccato,peaca
623,Gott::N,dio,dia
624,Arbeiter::N,operaio,oibrí
625,Arbeiter::N,lavoratore,oibrí
626,Chef::N,capo,saoiste
627,Chef::N,capo,ceannasaí
628,Chef::N,padrone,saoiste
629,Chef::N,padrone,ceannasaí
630,Meister::N,mastro,máistir
631,Meister::N,maestro,máistir
632,Arzt::N,mèdico,lia
633,Arzt::N,mèdico,dochtúir
634,Arzt::N,dottore,lia
635,Arzt::N,dottore,dochtúir
636,Lehrer::N,professore,oide
637,Lehrer::N,professore,múinteoir
638,Geld::N,soldi,airgead
639,Geld::N,denaro,airgead
640,Geschäft::N,affare,gnó
641,Geschäft::N,negozio,gnó
642,Laden::N,negozio,siopa
643,Preis::N,prezzo,praghas
644,Ware::N,merce,earra
645,Nutzen::N,ùtile,tairbhe
646,Nutzen::N,profitto,tairbhe
647,Reichtum::N,ricchezza,rachmas
648,Reichtum::N,ricchezza,saibhreas
649,Welt::N,mondo,domhan
650,Land::N,paese,tír
651,Staat::N,Stato,stát
652,König::N,re,rí
653,Macht::N,potere,cumhacht
654,Grenze::N,confine,críoch
655,Grenze::N,confine,teorainn
656,Grenze::N,frontiera,críoch
657,Grenze::N,frontiera,teorainn
658,Krieg::N,guerra,cogadh
659,Feind::N,nemico,namhaid
660,Gewalt::N,violenza,foréigean
661,Kampf::N,lotta,troid
662,Bogen[Waffe]::N,arco,bogha
663,Pfeil::N,freccia,saighead
664,Gewehr::N,fucile,gunna
665,Fehler::N,errore,botún
666,Fehler::N,errore,meancóg
667,Fehler::N,sbaglio,botún
668,Fehler::N,sbaglio,meancóg
669,Lüge::N,bugìa,bréag
670,Lüge::N,bugìa,éitheach
671,Lüge::N,menzogna,bréag
672,Lüge::N,menzogna,éitheach
673,Schaden::N,danno,dochar
674,Schaden::N,danno,damáiste
675,Unglück::N,sfortuna,drochrath
676,Schuld::N,colpa,locht
677,Schuld::N,colpa,milleán
678,Alter::N,età,aois
679,Schluss::N,fine,deireadh
680,Zeit::N,tempo,am
681,Zeit::N,tempo,aimsir
682,Tag::N,giorno,lá
683,Tag::N,giornata,lá
684,Morgen::N,mattina,maidin
685,Mittag::N,mezzogiorno,nóin
686,Abend::N,sera,tráthnóna
687,Abend::N,serata,tráthnóna
688,Nacht::N,notte,oíche
689,Woche::N,settimana,seachtain
690,Monat::N,mese,mí
691,Jahr::N,anno,bliain
692,Frühling::N,primavera,earrach
693,Sommer::N,estate,samhradh
694,Herbst::N,autunno,fómhar
695,Winter::N,inverno,geimhreadh
696,Januar::N,gennaio,Eanáir
697,Februar::N,febbraio,Feabhra
698,März::N,marzo,Márta
699,April::N,aprile,Aibreán
700,Mai::N,maggio,Bealtaine
701,Juni::N,giugno,Meitheamh
702,Juli::N,luglio,Iúil
703,August::N,agosto,Lúnasa
704,September::N,settembre,Meán Fómhair
705,Oktober::N,ottobre,Deireadh Fómhair
706,November::N,novembre,Samhain
707,November::N,novembre,Mí na Samhna
708,Dezember::N,dicembre,Mí na Nollag
709,Montag::N,lunedì,Luan
710,Montag::N,lunedì,Dé Luain
711,Dienstag::N,martedì,Máirt
712,Dienstag::N,martedì,Dé Máirt
713,Mittwoch::N,mercoledì,Céadaoin
714,Mittwoch::N,mercoledì,Dé Céadaoin
715,Donnerstag::N,giovedì,Déardaoin
716,Freitag::N,venerdì,Aoine
717,Freitag::N,venerdì,Dé hAoine
718,Samstag::N,sàbato,Satharn
719,Samstag::N,sàbato,Dé Sathairn
720,Sonntag::N,domenica,Domhnach
721,Sonntag::N,domenica,Dé Domhnaigh
722,groß::A,grande,mór
723,klein::A,pìccolo,beag
724,lang::A,lungo,fada
725,kurz::A,corto,gearr
726,kurz::A,corto,gairid
727,breit::A,largo,leathan
728,breit::A,largo,fairsing
729,schmal::A,stretto,cúng
730,dicht::A,denso,dlúth
731,dick[Gegenstand]::A,spesso,tiubh
732,dünn::A,sottile,caol
733,dünn::A,sottile,tanaí
734,fein::A,fine,scáinte
735,fein::A,fine,fíneálta
736,fein::A,delicato,scáinte
737,fein::A,delicato,fíneálta
738,fest::A,sodo,daingean
739,fest::A,fisso,daingean
740,flach::A,piano,cothrom
741,flach::A,piatto,cothrom
742,glatt::A,liscio,mín
743,glatt::A,liscio,sleamhain
744,hart::A,duro,crua
745,weich::A,molle,bog
746,rund::A,rotondo,cruinn
747,spitz::A,aguzzo,gobach
748,spitz::A,aguzzo,biorach
749,spitz::A,appuntito,gobach
750,spitz::A,appuntito,biorach
751,scharf::A,affilato,géar
752,scharf::A,affilato,faobhrach
753,scharf::A,tagliente,géar
754,scharf::A,tagliente,faobhrach
755,stumpf::A,smussato,maol
756,schwer::A,pesante,trom
757,schön::A,bello,álainn
758,heiß::A,caldo,te
759,heiß::A,bollente,te
760,warm::A,caldo,te
761,kalt::A,freddo,fuar
762,kühl::A,fresco,fionnuar
763,frisch::A,fresco,úr
764,frisch::A,fresco,friseáilte
765,feucht::A,ùmido,tais
766,nass::A,bagnato,fliuch
767,trocken::A,secco,tirim
768,voll::A,pieno,lán
769,leer::A,vuoto,folamh
770,offen::A,aperto,oscailte
771,geschlossen::A,chiuso,dúnta
772,geschlossen::A,chiuso,druidte
773,sauber::A,netto,glan
774,sauber::A,pulito,glan
775,schmutzig::A,sporco,salach
776,schmutzig::A,sùdicio,salach
777,roh::A,crudo,amh
778,reif::A,maturo,aibí
779,lecker::A,ghiotto,blasta
780,lecker::A,squisito,blasta
781,süß::A,dolce,milis
782,bitter::A,amaro,searbh
783,sauer::A,aspro,géar
784,sauer::A,aspro,searbh
785,sauer::A,acerbo,géar
786,sauer::A,acerbo,searbh
787,hell::A,chiaro,geal
788,hell::A,chiaro,soilseach
789,dunkel::A,buio,dorcha
790,dunkel::A,oscuro,dorcha
791,schwarz::A,nero,dubh
792,weiß::A,bianco,bán
793,rot::A,rosso,dearg
794,gelb::A,giallo,buí
795,blau::A,blu,gorm
796,blau::A,azzurro,gorm
797,grün::A,verde,glas
798,grün::A,verde,uaine
799,grau::A,grigio,liath
800,bunt::A,variopinto,ildathach
801,bunt::A,variopinto,dathannach
802,billig::A,a buon prezzo,saor
803,billig::A,a buon mercato,saor
804,teuer::A,caro,daor
805,teuer::A,caro,costasach
806,wertvoll::A,prezioso,luachmhar
807,blind::A,cieco,dall
808,blind::A,cieco,caoch
809,taub::A,sordo,bodhar
810,kräftig::A,forte,cumhachtach
811,kräftig::A,robusto,cumhachtach
812,stark::A,forte,tréan
813,stark::A,forte,láidir
814,stark::A,vigoroso,tréan
815,stark::A,vigoroso,láidir
816,schwach::A,dèbole,lag
817,schwach::A,dèbole,fann
818,fett::A,grasso,ramhar
819,schlank::A,snello,caol
820,schlank::A,snello,seang
821,schlank::A,slanciato,caol
