,Concept_ID,myv,la
351,Größe::N,сэрь,magnitudo
352,Größe::N,покшолма,magnitudo
353,Länge::N,кувалмо,longitudo
354,Höhe::N,сэрь,altitudo
355,Höhe::N,пандо,altitudo
356,Gewicht::N,сталмо,pondus
357,Menge::N,лововкс,copia
358,Haufen::N,мар,acervus
359,Haufen::N,валявкс,acervus
360,Reihe::N,ряд,ordo
361,Boot::N,венч,navicula
362,Ruder::N,милё,remus
363,Schlitten::N,нурдт,sclodia
364,Ski::N,сокс,narta
365,Lagerfeuer::N,толбандя,ignis
366,Last::N,сталмо,onus
367,Last::N,кандома,onus
368,Gang::N,молема,cursus
369,Gang::N,якамо,cursus
370,Schritt::N,эскелькс,gradus
371,Norden::N,якшамо ёнкс,septentriones
372,Süden::N,лембе ёнкс,meridies
373,Westen::N,чивалгома,occidens
374,Osten::N,чилисема,oriens
375,Holz::N,чувто,lignum
376,Brett::N,лаз,tabula
377,Platte::N,плита,lamina
378,Stütze::N,неже,adminiculum
379,Stange::N,олга,pertica
380,Stock::N,мандо,baculum
381,Stab::N,олога,scipio
382,Rohr::N,турба,tubus
383,Haus::N,кудо,aedes
384,Heim::N,кудо,domicilium
385,Ofen::N,каштомо,fornax
386,Fußboden::N,киякс,solum
387,Tisch::N,столь,mensa
388,Stuhl::N,стул,sella
389,Wiege::N,лавсь,cunae
390,Wiege::N,нурямот,cunae
391,Bett::N,ацамо,lectus
392,Regal::N,лався,foruli
393,Regal::N,лавсяланго,foruli
394,Kiste::N,горобия,cista
395,Kiste::N,сундук,cista
396,Fenster::N,вальма,fenestra
397,Tür::N,кенкш,ianua
398,Tor::N,ортат,porta
399,Zaun::N,пирявт,saepes
400,Zaun::N,пирвякс,saepes
401,Dach::N,кудопря,tectum
402,Leiter::N,кузтема,scalae
403,Besen::N,тенсть,scopae
404,Spaten::N,койме,pala
405,Schaufel::N,кече,pala
406,Schaufel::N,келей койме,pala
407,Gabel::N,сянгине,fuscinula
408,Löffel::N,пенч,coclear
409,Messer::N,пеель,culter
410,Nagel::N,эске,clavus
411,Netz::N,алтыма,rete
412,Haken::N,кечказ,hamus
413,Griff::N,кедне,manubrium
414,Schloss::N,замок,claustra
415,Schloss::N,панжома,claustra
416,Bild::N,картина,tabula
417,Bild::N,картина,pictura
418,Figur::N,рунго,statunculum
419,Puppe::N,няка,pupa
