,Concept_ID,da,pl
92,Donner::N,torden,grzmot
93,Strömung::N,strømning,nurt
94,Tropfen::N,dråbe,kropla
95,Schaum::N,skum,piana
96,Schmutz::N,snavs,brud
97,See::N,sø,jezioro
98,Sumpf::N,sump,bagno
99,Moor::N,mose,bagno
100,Wiese::N,eng,łąka
101,Wald::N,skov,las
102,Hügel::N,høj,pagórek
103,Hügel::N,bakke,pagórek
104,Anhöhe::N,høj,wzgórze
105,Anhöhe::N,bakke,wzgórze
106,Berg::N,bjerg,góra
107,Gipfel::N,top,szczyt
108,Gipfel::N,top,wierzchołek
109,Höhle::N,hule,pieczara
110,Abhang::N,skrænt,stok
111,Abhang::N,skrænt,zbocze
112,Abhang::N,skråning,stok
113,Abhang::N,skråning,zbocze
114,Quelle::N,kilde,zdrój
115,Quelle::N,kilde,źródło
116,Bach::N,bæk,potok
117,Bach::N,bæk,strumień
118,Fluss::N,flod,rzeka
119,Ufer::N,bred,brzeg
120,Küste::N,kyst,wybrzeże
121,Festland::N,fastland,ląd
122,Meer::N,hav,morze
123,Bucht::N,bugt,zatoka
124,Insel::N,ø,wyspa
125,Blume::N,blomst,kwiat
126,Gras::N,græs,trawa
127,Wurzel::N,rod,korzeń
128,Baum::N,træ,drzewo
129,Stamm::N,stamme,pień
130,Rinde::N,bark,kora
131,Ast::N,gren,gałąź
132,Zweig::N,kvist,gałąź
133,Blatt::N,blad,liść
134,Birke::N,birk,brzoza
135,Kiefer[Baum]::N,fyrretræ,sosna
136,Weide[Baum]::N,piletræ,wierzba
137,Tanne::N,gran,jodła
138,Horn::N,horn,róg
139,Feder::N,fjer,pióro
140,Fell::N,skind,futro
141,Flügel::N,vinge,skrzydło
142,Klaue::N,klov,szpon
143,Kralle::N,klo,pazur
144,Schwanz::N,hale,ogon
145,Ei::N,æg,jajko
146,Nest::N,rede,gniazdo
147,Bau::N,bo,nora
148,Tier::N,dyr,zwierzę
149,Herde::N,flok,stado
150,Herde::N,flok,trzoda
151,Kuh::N,ko,krowa
152,Bulle::N,tyr,byk
153,Pferd::N,hest,koń
154,Schaf::N,får,owca
155,Schwein::N,gris,świnia
156,Hund::N,hund,pies
157,Katze::N,kat,kot
158,Katze::N,kat,kotka
159,Bär::N,bjørn,niedźwiedż
160,Eichhörnchen::N,egern,wiewiórka
161,Elch::N,elg,łóś
162,Fuchs::N,ræv,lis
163,Hase::N,hare,zając
164,Maus::N,mus,mysz
165,Wolf::N,ulv,wilk
166,Vogel::N,fugl,ptak
167,Schwarm::N,sværm,stado
168,Huhn::N,høne,kura
169,Hahn::N,hane,kogut
170,Gans::N,gås,gęś
171,Adler::N,ørn,orzeł
172,Ente::N,and,kaczka
173,Eule::N,ugle,sowa
174,Kranich::N,trane,żuraw
175,Krähe::N,krage,wrona
176,Kuckuck::N,gøg,kukułka
177,Schwan::N,svane,łabędż
178,Fisch::N,fisk,ryba
179,Barsch::N,aborre,okoń
180,Hecht::N,gedde,szczupak
181,Schlange[Tier]::N,slange,wąż
182,Schlange[Tier]::N,slange,żmija
183,Wurm::N,orm,robak
184,Spinne::N,edderkop,pająk
185,Ameise::N,myre,mrówka
186,Laus::N,lus,wesz
187,Mücke::N,myg,komar
188,Fliege::N,flue,mucha
189,Schmetterling::N,sommerfugl,motyl
190,Beere::N,bær,jagoda
191,Apfel::N,æble,jabłko
192,Pilz::N,svamp,grzyb
193,Zwiebel::N,løg,cebula
194,Saat::N,sæd,siew
195,Korn::N,korn,ziarno
196,Heu::N,hø,siano
197,Schale::N,skræl,łupina
198,Grube::N,grav,dół
199,Grube::N,grav,jama
200,Falle::N,fælde,pułapka
201,Schlinge::N,snare,sidła
202,Spur::N,spor,ślad
203,Asche::N,aske,popiół
204,Dreck::N,snavs,brud
205,Eisen::N,jern,żelazo
206,Gold::N,guld,złoto
207,Silber::N,sølv,srebro
208,Kohle::N,kul,węgiel
209,Glas::N,glas,szkło
210,Lehm::N,ler,glina
211,Sand::N,sand,piasek
212,Mensch::N,mennesge,człowiek
213,Mann::N,mand,mężczyzna
214,Frau::N,kvinde,kobieta
215,Kind::N,barn,dziecko
216,Junge::N,dreng,chłopak
217,Junge::N,dreng,chłopiec
218,Mädchen::N,pige,dziewczynka
219,Familie::N,familie,rodzina
220,Großvater::N,bedstefar,dziadek
221,Großmutter::N,bedstemor,babka
222,Eltern::N,forældre,rodzice
223,Vater::N,far,ojciec
224,Mutter::N,mor,matka
225,Sohn::N,søn,syn
226,Tochter::N,datter,córka
227,Bruder::N,bror,brat
228,Schwester::N,søster,siostra
229,Onkel::N,onkel,wuj
230,Onkel::N,onkel,stryj
231,Tante::N,tante,ciotka
232,Ehemann::N,ægtemand,mąż
233,Ehefrau::N,hustru,żona
234,Freude::N,glæde,radość
235,Gelächter::N,latter,śmiech
236,Glück::N,lykke,szczęście
237,Kummer::N,sorg,zmartwienie
238,Wunsch::N,ønske,życzenie
239,Lust::N,lyst,chęć
240,Lust::N,lyst,ochota
241,Geist::N,ånd,duch
242,Gedanke::N,tanke,myśl
243,Gedächtnis::N,hukommelse,pamięć
244,Verstand::N,forstand,rozum
245,Sinn::N,mening,zmysł
246,Sinn::N,betydning,zmysł
247,Grund::N,grund,powód
248,Wahrheit::N,sandhed,prawda
249,Gespräch::N,samtale,rozmowa
250,Märchen::N,eventyr,bajka
251,Erzählung::N,fortælling,opowiadanie
252,Nachricht::N,efterretning,wiadomość
253,Neuigkeit::N,nyhed,nowina
254,Name::N,navn,imię
255,Rätsel::N,gåde,zagadka
256,Rede::N,tale,mowa
257,Sprache::N,sprog,język
258,Stimme::N,stemme,głos
259,Wort::N,ord,słowo
260,Zeichen::N,tegn,znak
261,Ruf::N,råb,wołanie
262,Lärm::N,larm,hałas
263,Lärm::N,larm,zgiełk
264,Laut::N,lyd,dźwięk
265,Ton::N,tone,ton
266,Ton::N,tone,dźwięk
267,Lied::N,sang,pieśń
268,Lied::N,sang,piosenka
269,Ruhe::N,ro,spokój
270,Ruhe::N,hvile,spokój
271,Leute::N,folk,ludzie
272,Leute::N,mennesker,ludzie
273,Volk::N,folk,naród
274,Arbeit::N,arbejde,praca
275,Arbeit::N,arbejde,robota
276,Gast::N,gæst,gość
277,Geschenk::N,gave,prezent
278,Geschenk::N,gave,podarunek
279,Spiel::N,leg,gra
280,Spiel::N,leg,zabawa
281,Gesellschaft::N,selskab,towarzystwo
282,Hilfe::N,hjælp,pomoc
283,Freund::N,ven,przyjaciel
284,Kamerad::N,kammerat,kolega
285,Angelegenheit::N,sag,sprawa
286,Angelegenheit::N,anliggende,sprawa
287,Anzahl::N,antal,ilość
288,Art::N,art,rodzaj
289,Stück::N,stykke,kawałek
290,Teil::N,del,część
291,Hälfte::N,halvdel,połowa
292,Kreis::N,cirkel,krąg
293,Kreuz::N,kors,krzyż
294,Kreuz::N,kryds,krzyż
295,Linie::N,linie,linia
296,Strich::N,streg,kreska
297,Abstand::N,afstand,odstęp
298,Entfernung::N,afstand,odległość
299,Gegend::N,egn,okolica
300,Platz::N,plads,miejsce
301,Ort::N,sted,miejsce
302,Seite::N,side,bok
303,Seite::N,side,strona
304,Mitte::N,midte,środek
305,Gegenstand::N,genstand,przedmiot
306,Sache::N,sag,rzecz
307,Rand::N,rand,skraj
308,Rand::N,rand,krawędź
309,Kante::N,kant,kant
310,Kante::N,kant,krawędź
311,Ecke::N,hjørne,róg
312,Spitze::N,spids,ostrze
313,Ende::N,ende,koniec
314,Loch::N,hul,dziura
315,Winkel::N,vinkel,kąt
316,Winkel::N,vinkel,kącik
317,Muster::N,mønster,wzór
318,Größe::N,størrelse,rozmiar
319,Größe::N,størrelse,wielkość
320,Länge::N,længde,długość
321,Höhe::N,højde,wysokość
322,Gewicht::N,vægt,ciężar
323,Menge::N,mængde,ilość
324,Haufen::N,bunke,kupa
325,Reihe::N,række,rząd
326,Reihe::N,række,szereg
327,Boot::N,båd,łódź
328,Boot::N,båd,łódka
329,Ruder::N,åre,wiosło
330,Schlitten::N,kælk,sanki
331,Schlitten::N,slæde,sanki
332,Ski::N,ski,narta
333,Lagerfeuer::N,lejrbål,ognisko
334,Last::N,last,ciężar
335,Last::N,last,brzemię
336,Last::N,byrde,ciężar
337,Last::N,byrde,brzemię
338,Gang::N,gang,chód
339,Schritt::N,skridt,krok
340,Norden::N,nord,północ
341,Süden::N,syd,południe
342,Westen::N,vest,zachód
343,Osten::N,øst,wschód
344,Holz::N,træ,drzewo
345,Brett::N,bræt,deska
346,Platte::N,plade,płyta
347,Stütze::N,støtte,podpora
348,Stange::N,stang,drąg
349,Stange::N,stang,żerdź
350,Stock::N,stok,kij
351,Stock::N,stok,laska
352,Stab::N,stav,pręt
353,Rohr::N,rør,rura
354,Haus::N,hus,dom
355,Heim::N,hjem,dom
356,Ofen::N,ovn,piec
357,Fußboden::N,gulv,podłoga
358,Tisch::N,bord,stół
359,Stuhl::N,stol,krzesło
360,Wiege::N,vugge,kołyska
361,Bett::N,seng,łóżko
362,Bett::N,seng,pościel
363,Regal::N,reol,regał
364,Kiste::N,kasse,skrzynia
365,Fenster::N,vindue,okno
366,Tür::N,dør,drzwi
367,Tor::N,port,brama
368,Zaun::N,stakit,płot
369,Zaun::N,stakit,parkan
370,Dach::N,tag,dach
371,Leiter::N,stige,drabina
372,Besen::N,kost,miotła
373,Spaten::N,spade,rydel
374,Schaufel::N,skovl,łopata
375,Gabel::N,gaffel,widelec
376,Löffel::N,ske,łyżka
377,Messer::N,kniv,nóż
378,Nagel::N,søm,gwóźdź
379,Netz::N,net,sieć
380,Haken::N,krog,hak
381,Griff::N,tag,chwyt
382,Griff::N,håndtag,chwyt
383,Schloss::N,lås,zamek
384,Bild::N,billede,obraz
385,Figur::N,figur,figura
386,Puppe::N,dukke,lalka
387,Beutel::N,pose,torba
388,Bündel::N,bylt,wiązka
389,Bündel::N,bundt,wiązka
390,Tasche::N,taske,torba
391,Eimer::N,spand,kubeł
392,Eimer::N,spand,wiadro
393,Deckel::N,låg,przykrywka
394,Geschirr::N,husgeråd,statki
395,Geschirr::N,husgeråd,naczynia
396,Sack::N,sæk,worek
397,Tasse::N,kop,filiżanka
398,Topf::N,gryde,garnek
399,Kessel::N,kedel,kocioł
400,Essen::N,måltid,jedzenie
401,Nahrung::N,mad,pokarm
402,Nahrung::N,mad,pożywienie
403,Nahrung::N,næring,pokarm
404,Nahrung::N,næring,pożywienie
405,Speise::N,ret,potrawa
406,Speise::N,ret,jedzenie
407,Fleisch::N,kød,mięso
408,Getreide::N,korn,zboże
409,Brei::N,grød,kasza
410,Brot::N,brød,chleb
411,Scheibe::N,skive,kromka
412,Fett::N,fedt,tłuszcz
413,Butter::N,smør,masło
414,Öl::N,olie,olej
415,Salz::N,salt,sól
416,Suppe::N,suppe,zupa
417,Honig::N,honning,miód
418,Milch::N,mælk,mleko
419,Tee::N,te,herbata
420,Leder::N,skind,skóra
421,Wolle::N,uld,wełna
422,Stoff::N,stof,tkanina
423,Stoff::N,stof,materiał
424,Nadel::N,nål,igła
425,Faden::N,tråd,nić
426,Faden::N,tråd,nitka
427,Knopf::N,knap,guzik
428,Knoten::N,knude,węzeł
429,Farbe::N,farve,farba
430,Kleidung::N,påklædning,odzież
431,Hemd::N,skjorte,koszula
432,Kragen::N,krave,kołnierz
433,Ärmel::N,ærme,rękaw
434,Hose::N,bukser,spodnie
435,Gürtel::N,bælte,pasek
436,Mütze::N,hue,czapka
437,Schuh::N,sko,but
438,Schuh::N,sko,bucik
439,Stiefel::N,støvle,but
440,Stiefel::N,støvle,kozak
441,Ring::N,ring,pierścień
442,Band::N,bånd,wstęga
443,Kamm::N,kam,grzebień
444,Spiegel::N,spejl,lustro
445,Riemen::N,rem,rzemień
446,Schnur::N,snor,sznur
447,Leine::N,snor,smycz
448,Decke::N,tæppe,kołdra
449,Kissen::N,pude,poduszka
450,Tuch::N,sjaltørklæde,chustka
451,Handtuch::N,håndklæde,ręcznik
452,Kraft::N,kraft,moc
453,Kraft::N,kraft,siła
454,Stärke::N,styrke,moc
455,Stärke::N,styrke,siła
456,Gesundheit::N,sundhed,zdrowie
457,Krankheit::N,sygdom,choroba
458,Schmerz::N,smerte,ból
459,Wunde::N,sår,rana
460,Fieber::N,feber,gorączka
461,Arznei::N,medicin,lekarstwo
462,Arznei::N,lægemiddel,lekarstwo
463,Brücke::N,bro,most
464,Brunnen::N,brønd,studnia
465,Weide::N,græsgang,pastwisko
466,Pfad::N,sti,ścieżka
467,Weg::N,vej,droga
468,Straße::N,gade,ulica
469,Dorf::N,landsby,wieś
470,Stadt::N,by,miasto
471,Brief::N,brev,list
472,Buch::N,bog,książka
473,Buchstabe::N,bogstav,litera
474,Zeitung::N,avis,gazeta
475,Zeitung::N,avis,dziennik
476,Leben::N,liv,życie
477,Tod::N,død,śmierć
478,Grab::N,grav,grób
479,Kirche::N,kirke,kościół
480,Sünde::N,synd,grzech
481,Gott::N,gud,bóg
482,Arbeiter::N,arbejder,robotnik
483,Chef::N,chef,szef
484,Meister::N,mester,mistrz
485,Meister::N,mester,majster
486,Arzt::N,læge,lekarz
487,Lehrer::N,lærer,nauczyciel
488,Geld::N,penge,pieniądze
489,Geschäft::N,forretning,sprawa
490,Geschäft::N,forretning,interes
491,Laden::N,butik,sklep
492,Laden::N,forretning,sklep
493,Preis::N,pris,cena
494,Ware::N,vare,towar
495,Nutzen::N,nytte,pożytek
496,Reichtum::N,rigdom,bogactwo
497,Welt::N,verden,świat
498,Land::N,land,kraj
499,Staat::N,stat,państwo
500,König::N,konge,król
501,Macht::N,magt,władza
502,Grenze::N,grænse,granica
503,Krieg::N,krig,wojna
504,Feind::N,fjende,wróg
505,Gewalt::N,vold,władza
506,Kampf::N,kamp,bój
507,Kampf::N,kamp,walka
508,Bogen[Waffe]::N,bue,łuk
509,Pfeil::N,pil,strzała
510,Gewehr::N,gevær,karabin
511,Fehler::N,fejl,błąd
512,Lüge::N,løgn,kłamstwo
513,Schaden::N,skade,szkoda
514,Unglück::N,uheld,nieszczęście
515,Unglück::N,ulykke,nieszczęście
516,Schuld::N,skyld,wina
517,Alter::N,alder,wiek
518,Schluss::N,slut,koniec
519,Schluss::N,slut,zakończenie
520,Schluss::N,slutning,koniec
521,Schluss::N,slutning,zakończenie
522,Zeit::N,tid,czas
523,Tag::N,dag,dzień
524,Morgen::N,morgen,ranek
525,Morgen::N,morgen,poranek
526,Mittag::N,middag,południe
527,Abend::N,aften,wieczór
528,Nacht::N,nat,noc
529,Woche::N,uge,tydzień
530,Monat::N,måned,miesiąc
531,Jahr::N,år,rok
532,Frühling::N,forår,wiosna
533,Sommer::N,sommer,lato
534,Herbst::N,efterår,jesień
535,Winter::N,vinter,zima
536,Januar::N,januar,styczeń
537,Februar::N,februar,luty
538,März::N,marts,marzec
539,April::N,april,kwiecień
540,Mai::N,maj,maj
541,Juni::N,juni,czerwiec
542,Juli::N,juli,lipiec
543,August::N,august,sierpień
544,September::N,september,wrzesień
545,Oktober::N,oktober,październik
546,November::N,november,listopad
547,Dezember::N,december,grudzień
548,Montag::N,mandag,poniedziałek
549,Dienstag::N,tirsdag,wtorek
550,Mittwoch::N,onsdag,środa
551,Donnerstag::N,torsdag,czwartek
552,Freitag::N,fredag,piątek
553,Samstag::N,lørdag,sobota
554,Sonntag::N,søndag,niedziela
555,groß::A,stor,duży
556,groß::A,stor,wielki
557,klein::A,lille,mały
558,lang::A,lang,długi
559,kurz::A,kort,krótki
560,breit::A,bred,szeroki
561,schmal::A,smal,wąski
562,dicht::A,tæt,gęsty
563,dick[Gegenstand]::A,tyk,gruby
564,dünn::A,tynd,cienki
565,fein::A,fin,drobny
566,fest::A,fast,mocny
567,fest::A,fast,twardy
568,flach::A,flad,płaski
569,glatt::A,glat,gładki
570,hart::A,hård,twardy
571,weich::A,blød,miękki
572,rund::A,rund,okrągły
573,spitz::A,spids,spiczasty
574,scharf::A,skarp,ostry
575,stumpf::A,sløv,tępy
576,stumpf::A,stump,tępy
577,schwer::A,tung,ciężki
578,schön::A,skøn,ładny
579,schön::A,skøn,piękny
580,heiß::A,hed,gorący
581,warm::A,varm,ciepły
582,kalt::A,kold,zimny
583,kühl::A,kølig,chłodny
584,frisch::A,frisk,świeży
585,feucht::A,fugtig,wilgotny
586,nass::A,våd,mokry
587,trocken::A,tør,suchy
588,voll::A,fuld,pełny
589,leer::A,tom,pusty
590,leer::A,tom,próżny
591,offen::A,åben,otwarty
592,geschlossen::A,lukket,zamknięty
593,sauber::A,ren,czysty
594,schmutzig::A,snavset,brudny
595,roh::A,rå,surowy
596,reif::A,moden,dojrzały
597,lecker::A,lækker,smaczny
598,süß::A,sød,słodki
599,bitter::A,bitter,gorzki
600,sauer::A,sur,kwaśny
601,hell::A,lys,jasny
602,dunkel::A,mørk,ciemny
603,schwarz::A,sort,czarny
604,weiß::A,hvid,biały
605,rot::A,rød,czerwony
606,gelb::A,gul,żółty
607,blau::A,blå,błękitny
608,blau::A,blå,niebieski
609,grün::A,grøn,zielony
610,grau::A,grå,szary
611,bunt::A,broget,barwny
612,billig::A,billig,tani
613,teuer::A,dyr,drogi
614,wertvoll::A,værdifuld,cenny
615,blind::A,blind,ślepy
616,taub::A,døv,głuchy
617,kräftig::A,kraftig,mocny
618,stark::A,stærk,silny
619,schwach::A,svag,słaby
620,fett::A,fed,tłusty
621,schlank::A,slank,smukły
622,hübsch::A,køn,ładny
623,böse::A,ond,zły
624,böse::A,slem,zły
625,dumm::A,dum,głupi
626,faul::A,doven,leniwy
627,fleißig::A,flittig,pilny
628,geizig::A,gerrig,skąpy
629,klug::A,klog,mądry
630,geschickt::A,dygtig,zręczny
631,geschickt::A,behændig,zręczny
632,lieb::A,rar,miły
633,lustig::A,lystig,wesoły
634,sanft::A,blid,łagodny
635,hungrig::A,sulten,głodny
636,krank::A,syg,chory
637,nackt::A,nøgen,nagi
638,traurig::A,bedrøvet,smutny
639,lebendig::A,levende,żywy
640,gut::A,god,dobry
641,schlecht::A,dårlig,zły
642,richtig::A,rigtig,słuszny
643,richtig::A,rigtig,właściwy
644,schlimm::A,slem,zły
645,wahr::A,sand,prawdziwy
646,alt::A,gammel,stary
647,neu::A,ny,nowy
648,ehemalig::A,forhenværende,były
649,alt[Lebewesen]::A,gammel,stary
650,jung::A,ung,młody
651,arm::A,fattig,ubogi
652,arm::A,fattig,biedny
653,reich::A,rig,bogaty
654,bekannt::A,kendt,znany
655,berühmt::A,berømt,słynny
656,fremd::A,fremmed,obcy
657,fremd::A,fremmed,cudzy
658,verschieden::A,forskellig,różny
659,nah::A,nær,bliski
660,fern::A,fjern,daleki
661,linker::A,venstre,lewy
662,rechter::A,højre,prawy
663,anderer::A,anden,inny
664,erster::A,første,pierwszy
665,zweiter::A,anden,drugi
666,dritter::A,tredje,trzeci
667,letzter::A,sidste,ostatni
668,allein::ADV,alene,sam
669,auf einmal::ADV,på én gang,naraz
670,zusammen::ADV,sammen,razem
671,lange::ADV,længe,długo
672,plötzlich::ADV,pludselig,nagle
673,sofort::ADV,straks,natychmiast
674,später::ADV,senere,później
675,jetzt::ADV,nu,teraz
676,jetzt::ADV,nu,obecnie
677,heute::ADV,i dag,dziś
678,heute::ADV,i dag,dzisiaj
679,morgen::ADV,i morgen,jutro
680,bald::ADV,snart,wkrótce
681,dann::ADV,så,potem
682,gestern::ADV,i går,wczoraj
683,einst::ADV,engang,kiedyś
684,einst::ADV,engang,niegdyś
685,damals::ADV,dengang,wtedy
686,damals::ADV,dengang,wówczas
687,danach::ADV,derefter,następnie
688,vorher::ADV,før,przedtem
689,vorher::ADV,forud,przedtem
690,zuerst::ADV,først,naprzód
691,zuerst::ADV,først,najpierw
692,einmal::ADV,en gang,raz
693,manchmal::ADV,sommetider,czasem
694,oft::ADV,ofte,często
695,immer::ADV,altid,zawsze
696,niemals::ADV,aldrig,nigdy
697,hier::ADV,her,tu
698,hier::ADV,her,tutaj
699,hierhin::ADV,hid,tu
700,hierhin::ADV,herhen,tu
701,von hier::ADV,herfra,stąd
702,dort::ADV,der,tam
703,dorthin::ADV,derhen,tam
704,geradeaus::ADV,lige ud,prosto
705,vorwärts::ADV,fremad,naprzód
706,rückwärts::ADV,baglæns,wstecz
707,zurück::ADV,tilbage,z powrotem
708,unten::ADV,nede,u dołu
709,unten::ADV,nede,na dole
710,unten::ADV,forneden,u dołu
711,unten::ADV,forneden,na dole
712,hinab::ADV,ned,na_dół
713,hinab::ADV,ned,w_dół
714,hinab::ADV,nedad,na_dół
715,hinab::ADV,nedad,w_dół
716,oben::ADV,oppe,w górze
717,oben::ADV,oppe,na górze
718,oben::ADV,ovenpå,w górze
719,oben::ADV,ovenpå,na górze
720,hinauf::ADV,op,w górę
721,hinauf::ADV,op,na górę
722,hinauf::ADV,opad,w górę
723,hinauf::ADV,opad,na górę
724,überall::ADV,overalt,wszędzie
725,nicht::ADV,ikke,nie
726,ein wenig::ADV,lidt,trochę
727,kaum::ADV,knap,ledwie
728,kaum::ADV,knap,prawie nie
729,kaum::ADV,næppe,ledwie
730,kaum::ADV,næppe,prawie nie
731,sehr::ADV,meget,bardzo
732,so::ADV,så,tak
733,noch::ADV,endnu,jeszcze
734,nur::ADV,kun,tylko
735,nur::ADV,bare,tylko
736,schon::ADV,alt,już
737,schon::ADV,allerede,już
738,wieder::ADV,igen,znów
739,wieder::ADV,igen,znowu
740,vergebens::ADV,forgæves,na próżno
741,vor::PRP,foran,przed
742,vor::PRP,uden for,przed
743,hinter::PRP,bag,za
744,hinter::PRP,bagved,za
745,unter::PRP,under,pod
746,durch::PRP,gennem,przez
747,durch::PRP,igennem,przez
748,neben::PRP,ved siden af,obok
749,zwischen::PRP,mellem,między
750,wegen::PRP,på grund af,z powodu
751,dies::PRN,dette,to
752,das::PRN,det,to
753,alles::PRN,alt,wszystko
754,ich::PRN,jeg,ja
755,du::PRN,du,ty
756,er::PRN,han,on
757,wir::PRN,vi,my
758,ihr::PRN,I,wy
759,sie::PRN,de,oni
760,was::FPRN,hvad,co
761,wer::FPRN,hvem,kto
762,wo::FADV,hvor,gdzie
763,wohin::FADV,hvorhen,dokąd
764,wie::FADV,hvordan,jak
765,warum::FADV,hvorfor,dlaczego
766,wieviel::FNUM,hvor meget,ile
767,eins::NUM,én,jeden
768,zwei::NUM,to,dwa
769,drei::NUM,tre,trzy
770,vier::NUM,fire,cztery
771,fünf::NUM,fem,pięć
772,sechs::NUM,seks,sześć
773,sieben::NUM,syv,siedem
774,acht::NUM,otte,osiem
775,neun::NUM,ni,dziewięć
776,zehn::NUM,ti,dziesięć
777,elf::NUM,elleve,jedenaście
778,zwölf::NUM,tolv,dwanaście
779,zwanzig::NUM,tyve,dwadzieścia
780,dreißig::NUM,tredive,trzydzieści
781,vierzig::NUM,fyrre,czterdzieści
782,vierzig::NUM,fyrretyve,czterdzieści
783,fünfzig::NUM,halvtreds,pięćdziesiąt
784,sechzig::NUM,tres,sześćdziesiąt
785,siebzig::NUM,halvfjerds,siedemdziesiąt
786,achtzig::NUM,firs,osiemdziesiąt
787,neunzig::NUM,halvfems,dziewięćdziesiąt
788,hundert::NUM,hundrede,sto
789,tausend::NUM,tusind,tysiąc
790,und::CNJ,og,i
791,oder::CNJ,eller,lub
792,oder::CNJ,eller,albo
793,stehen::V,stå,stać
794,sitzen::V,sidde,siedzieć
795,liegen::V,ligge,leżeć
796,hängen::V,hænge,wisieć
797,werden::V,blive,zostać
798,werden::V,blive,stać się
799,passieren::V,ske,dziać się
800,passieren::V,ske,zdarzyć się
801,passieren::V,hænde,dziać się
802,passieren::V,hænde,zdarzyć się
803,beginnen::V,begynde,zacząć się
804,enden::V,ende,kończyć się
805,wechseln::V,veksle,zmienić się
806,aufgehen[Sonne]::V,gå op,wzejść
807,aufgehen[Sonne]::V,stå op,wzejść
808,untergehen[Sonne]::V,gå ned,zajść
809,scheinen[Sonne]::V,skinne,świecić
810,donnern::V,tordne,grzmieć
811,wehen::V,blæse,wiać
812,strömen::V,strømme,płynąć
813,strömen::V,strømme,lać się
814,fließen::V,flyde,ciec
815,fließen::V,flyde,płynąć
816,sich drehen::V,dreje sig,obracać się
817,schwanken::V,vakle,chwiać się
818,schwingen::V,svinge,wahać się
819,fallen::V,falde,padać
820,brennen::V,brænde,palić się
821,rauchen::V,ryge,dymić
822,rauchen::V,ryge,dymić się
823,regnen::V,regne,padać
824,gefrieren::V,fryse,zamarznąć
825,tauen::V,tø,tajać
826,schmelzen::V,smelte,topnieć
827,trocknen::V,tørre,schnąć
828,sieden::V,koge,wrzeć
829,sieden::V,koge,kipieć
830,faulen::V,rådne,gnić
831,verfaulen::V,rådne,zgnić
832,reißen::V,briste,urywać się
833,versinken::V,synke,tonąć
834,versinken::V,synke ned,tonąć
835,vergehen::V,forløbe,przechodzić
