,Concept_ID,et,ca
288,Wort::N,sõna,mot
289,Wort::N,sõna,paraula
290,Zeichen::N,märk,signe
291,Zeichen::N,märk,senyal
292,Ruf::N,hüüe,crida
293,Lärm::N,müra,sorōll
294,Laut::N,hääl,so
295,Ton::N,toon,to
296,Lied::N,laul,cançó
297,Ruhe::N,rahu,calma
298,Ruhe::N,rahu,silenci
299,Ruhe::N,vaikus,calma
300,Ruhe::N,vaikus,silenci
301,Leute::N,inimesed,gent
302,Volk::N,rahvas,poble
303,Arbeit::N,töö,labor
304,Arbeit::N,töö,treball
305,Gast::N,külaline,hoste
306,Geschenk::N,kingitus,regal
307,Geschenk::N,kingitus,obsequi
308,Spiel::N,mäng,joc
309,Gesellschaft::N,selts,companyia
310,Hilfe::N,abi,ajut
311,Freund::N,sõber,amīc
312,Kamerad::N,sõber,company
313,Kamerad::N,sõber,camarada
314,Angelegenheit::N,asi,afer
315,Angelegenheit::N,asi,assumpte
316,Anzahl::N,arv,nombre
317,Anzahl::N,arv,quantitat
318,Anzahl::N,hulk,nombre
319,Anzahl::N,hulk,quantitat
320,Art::N,liik,tipus
321,Art::N,liik,classe
322,Stück::N,tükk,peça
323,Teil::N,osa,part
324,Hälfte::N,pool,meitat
325,Kreis::N,ring,cercle
326,Kreuz::N,rist,creu
327,Linie::N,joon,línia
328,Strich::N,joon,traç
329,Strich::N,joon,ratlla
330,Abstand::N,vahe,distància
331,Entfernung::N,kaugus,distància
332,Entfernung::N,vahemaa,distància
333,Gegend::N,ümbrus,regió
334,Gegend::N,ümbrus,contrada
335,Platz::N,ruum,cabuda
336,Ort::N,paik,lloc
337,Seite::N,pool,banda
338,Seite::N,pool,costāt
339,Mitte::N,keskpaik,mig
340,Mitte::N,keskpaik,centre
341,Gegenstand::N,ese,objecte
342,Sache::N,ese,cosa
343,Rand::N,äär,vora
344,Rand::N,äär,marge
345,Rand::N,serv,vora
346,Rand::N,serv,marge
347,Kante::N,kant,caire
348,Kante::N,kant,cantell
349,Ecke::N,nurk,cantonada
350,Spitze::N,teravik,punta
351,Ende::N,ots,cap
352,Ende::N,jupp,cap
353,Loch::N,auk,forāt
354,Winkel::N,nurk,racó
355,Muster::N,muster,dibuix
356,Muster::N,muster,disseny
357,Größe::N,suurus,grandària
358,Länge::N,pikkus,longitud
359,Höhe::N,kõrgus,altura
360,Höhe::N,kõrgus,altitud
361,Gewicht::N,kaal,pes
362,Gewicht::N,raskus,pes
363,Menge::N,arv,quantitat
364,Menge::N,hulk,quantitat
365,Haufen::N,hunnik,pila
366,Reihe::N,rivi,fila
367,Boot::N,paat,bot
368,Boot::N,paat,barca
369,Ruder::N,aer,rem
370,Schlitten::N,saan,trineu
371,Ski::N,suusk,esquí
372,Lagerfeuer::N,lõke,foc de campament
373,Last::N,koorem,càrrega
374,Gang::N,käik,marxa
375,Schritt::N,samm,pas
376,Norden::N,põhi,nord
377,Süden::N,lõuna,sud
378,Westen::N,lääs,oest
379,Westen::N,lääs,occident
380,Osten::N,ida,est
381,Osten::N,ida,orient
382,Holz::N,puu,fusta
383,Brett::N,saelaud,taula
384,Platte::N,plaat,placa
385,Stütze::N,tugi,suport
386,Stange::N,latt,vara
387,Stange::N,teivas,vara
388,Stock::N,kepp,pal
389,Stab::N,varras,bastó
390,Rohr::N,toru,tub
391,Haus::N,maja,casa
392,Heim::N,kodu,llar
393,Ofen::N,ahi,estufa
394,Fußboden::N,põrand,terra
395,Tisch::N,laud,taula
396,Stuhl::N,tool,cadira
397,Wiege::N,häll,bressol
398,Wiege::N,kätki,bressol
399,Bett::N,voodi,llit
400,Regal::N,riiul,prestatgeria
401,Kiste::N,kast,caixa
402,Fenster::N,aken,finestra
403,Tür::N,uks,porta
404,Tor::N,värav,portal
405,Zaun::N,aed,tanca
406,Zaun::N,tara,tanca
407,Dach::N,katus,teulada
408,Leiter::N,redel,escala
409,Leiter::N,redel,escala de mà
410,Besen::N,luud,escombra
411,Spaten::N,labidas,pala
412,Schaufel::N,kühvel,pala
413,Gabel::N,kahvel,forquilla
414,Löffel::N,lusikas,cullera
415,Messer::N,nuga,coltell
416,Nagel::N,nael,clau
417,Netz::N,võrk,filat
418,Haken::N,haak,ganxo
419,Haken::N,konks,ganxo
420,Griff::N,sang,puny
421,Griff::N,sang,mànec
422,Griff::N,käepide,puny
423,Griff::N,käepide,mànec
424,Schloss::N,lukk,pany
425,Bild::N,pilt,imatge
426,Figur::N,kuju,figura
427,Figur::N,kujund,figura
428,Puppe::N,nukk,nina
429,Beutel::N,paun,bossa
430,Bündel::N,kimp,feix
431,Bündel::N,kimp,paquet
432,Tasche::N,kott,bossa
433,Eimer::N,pang,galleda
434,Eimer::N,ämber,galleda
435,Deckel::N,kaas,tapa
436,Deckel::N,kaas,tapadora
437,Geschirr::N,nõud,vaixella
438,Sack::N,kott,sac
439,Sack::N,kott,saca
440,Tasse::N,tass,tassa
441,Topf::N,pada,pot
442,Topf::N,pada,olla
443,Kessel::N,pada,caldera
444,Essen::N,söök,àpat
445,Essen::N,söök,menjada
446,Nahrung::N,toit,aliment
447,Speise::N,roog,plat
448,Fleisch::N,liha,carn
449,Getreide::N,teravili,cereals
450,Brei::N,puder,puré
451,Brot::N,sai,pa
452,Brot::N,leib,pa
453,Scheibe::N,viil,tall
454,Scheibe::N,viil,llesca
455,Scheibe::N,viilukas,tall
456,Scheibe::N,viilukas,llesca
457,Fett::N,rasv,greix
458,Butter::N,või,mantega
459,Öl::N,õli,oli
460,Salz::N,sool,sal
461,Suppe::N,supp,sopa
462,Honig::N,mesi,mel
463,Milch::N,piim,llet
464,Tee::N,tee,te
465,Leder::N,nahk,cuir
466,Wolle::N,vill,llana
467,Stoff::N,kangas,tela
468,Nadel::N,nõel,agulla
469,Faden::N,niit,fil
470,Knopf::N,nööp,botó
471,Knoten::N,sõlm,nus
472,Farbe::N,värv,pintura
473,Kleidung::N,riided,roba
474,Kleidung::N,riided,vestits
475,Kleidung::N,riietus,roba
476,Kleidung::N,riietus,vestits
477,Hemd::N,särk,camisa
478,Kragen::N,krae,coll
479,Ärmel::N,varrukas,màniga
480,Hose::N,püksid,pantalōns
481,Gürtel::N,vöö,cinturó
482,Mütze::N,müts,gorra
483,Schuh::N,king,sabata
484,Stiefel::N,saabas,bota
485,Ring::N,sõrmus,anell
486,Band::N,lint,veta
487,Band::N,lint,cinta
488,Kamm::N,kamm,pinta
489,Spiegel::N,peegel,mirāll
490,Riemen::N,rihm,corretja
491,Schnur::N,nöör,corda
492,Leine::N,jalutusrihm,corretja
493,Decke::N,tekk,manta
494,Decke::N,tekk,flassada
495,Kissen::N,padi,coixí
496,Tuch::N,kalev,mocador
497,Handtuch::N,käterätik,tovallola
498,Kraft::N,jõud,força
499,Stärke::N,tugevus,vigor
500,Gesundheit::N,tervis,salut
501,Krankheit::N,haigus,malaltia
502,Schmerz::N,valu,dolor
503,Wunde::N,haav,ferida
504,Fieber::N,palavik,febre
505,Arznei::N,ravim,medicament
506,Brücke::N,sild,pont
507,Brunnen::N,kaev,pou
508,Weide::N,karjamaa,pastura
509,Pfad::N,rada,senda
510,Pfad::N,rada,sender
511,Weg::N,tee,camí
512,Straße::N,tee,carretera
513,Dorf::N,küla,poble
514,Stadt::N,linn,ciutāt
515,Brief::N,kiri,carta
516,Buch::N,raamat,llibre
517,Buchstabe::N,täht,lletra
518,Zeitung::N,ajaleht,diāri
519,Leben::N,elu,vida
520,Tod::N,surm,mort
521,Grab::N,haud,tomba
522,Kirche::N,kirik,església
523,Sünde::N,patt,pecat
524,Gott::N,jumal,déu
525,Arbeiter::N,tööline,obrer
526,Chef::N,ülemus,cap
527,Chef::N,juhataja,cap
528,Meister::N,meister,mestre
529,Arzt::N,arst,metge
530,Lehrer::N,õpetaja,mestre
531,Geld::N,raha,dinērs
532,Geschäft::N,äri,negoci
533,Laden::N,pood,tenda
534,Laden::N,pood,botiga
535,Laden::N,kauplus,tenda
536,Laden::N,kauplus,botiga
537,Preis::N,hind,preu
538,Ware::N,kaup,mercaderia
539,Nutzen::N,tulu,profit
540,Nutzen::N,kasulikkus,profit
541,Reichtum::N,rikkus,riquesa
542,Welt::N,maailm,món
543,Land::N,maa,país
544,Staat::N,riik,estat
545,König::N,kuningas,rei
546,Macht::N,võim,poder
547,Macht::N,võim,potència
548,Grenze::N,piir,frontera
549,Krieg::N,sõda,guerra
550,Feind::N,vaenlane,enemic
551,Gewalt::N,väevõim,violència
552,Kampf::N,võitlus,lluita
553,Bogen[Waffe]::N,vibu,arc
554,Pfeil::N,nool,fletxa
555,Gewehr::N,püss,fusell
556,Gewehr::N,püss,escopeta
557,Fehler::N,viga,falta
558,Lüge::N,vale,mentida
559,Schaden::N,kahju,dany
560,Unglück::N,häda,desgràcia
561,Unglück::N,õnnetus,desgràcia
562,Schuld::N,süü,culpa
563,Alter::N,iga,edat
564,Schluss::N,lõpp,fi
565,Schluss::N,lõpp,final
566,Zeit::N,aeg,temps
567,Tag::N,päev,dia
568,Morgen::N,hommik,matí
569,Mittag::N,lõuna,migdia
570,Mittag::N,keskpäev,migdia
571,Abend::N,õhtu,vespre
572,Nacht::N,öö,nit
573,Woche::N,nädal,setmana
574,Monat::N,kuu,mes
575,Jahr::N,aasta,any
576,Frühling::N,kevad,primavera
577,Sommer::N,suvi,estīu
578,Herbst::N,sügis,tardor
579,Winter::N,talv,hivērn
580,Januar::N,jaanuar,gener
581,Februar::N,veebruar,febrer
582,März::N,märts,març
583,April::N,aprill,abril
584,Mai::N,mai,maig
585,Juni::N,juuni,juny
586,Juli::N,juuli,juliol
587,August::N,august,agost
588,September::N,september,setembre
589,Oktober::N,oktoober,octubre
590,November::N,november,novembre
591,Dezember::N,detsember,desembre
592,Montag::N,esmaspäev,dilluns
593,Dienstag::N,teisipäev,dimarts
594,Mittwoch::N,kesknädal,dimecres
595,Donnerstag::N,neljapäev,dijous
596,Freitag::N,reede,divendres
597,Samstag::N,laupäev,dissabte
598,Sonntag::N,pühapäev,diumenge
599,groß::A,suur,gros
600,klein::A,väike,petīt
601,klein::A,pisike,petīt
602,lang::A,pikk,llarg
603,kurz::A,lühike,curt
604,breit::A,lai,ample
605,schmal::A,kitsas,estret
606,dicht::A,tihe,dens
607,dick[Gegenstand]::A,jäme,gruixūt
608,dünn::A,õhuke,prim
609,dünn::A,peenike,prim
610,fein::A,peen,fi
611,fein::A,õhuke,fi
612,fest::A,püsiv,ferm
613,fest::A,püsiv,sòlid
614,fest::A,kindel,ferm
615,fest::A,kindel,sòlid
616,flach::A,lame,pla
617,flach::A,tasane,pla
618,glatt::A,sile,llis
619,hart::A,kõva,dur
620,weich::A,pehme,tou
621,rund::A,ümar,rodó
622,spitz::A,torkav,punxegut
623,scharf::A,terav,agut
624,stumpf::A,nüri,rom
625,stumpf::A,nüri,esmussat
626,schwer::A,raske,pesāt
627,schön::A,kena,bonīc
628,heiß::A,kuum,calēnt
629,heiß::A,palav,calēnt
630,warm::A,soe,càlid
631,kalt::A,külm,fred
632,kühl::A,jahe,fresc
633,frisch::A,värske,fresc
634,feucht::A,niiske,humit
635,nass::A,märg,mullat
636,trocken::A,kuiv,sec
637,voll::A,täis,ple
638,leer::A,tühi,buit
639,offen::A,avatud,obert
640,offen::A,lahtine,obert
641,geschlossen::A,suletud,tancat
642,sauber::A,puhas,net
643,schmutzig::A,räpane,brut
644,schmutzig::A,määrdunud,brut
645,roh::A,toores,cru
646,reif::A,küps,madur
647,lecker::A,hõrk,deliciós
648,lecker::A,maitsev,deliciós
649,süß::A,magus,dolç
650,bitter::A,mõru,amarg
651,sauer::A,hapu,agre
652,hell::A,hele,clar
653,dunkel::A,pime,fosc
654,schwarz::A,must,negre
655,weiß::A,valge,blanc
656,rot::A,punane,vermēll
657,gelb::A,kollane,groc
658,blau::A,sinine,blau
659,grün::A,roheline,verd
660,grau::A,hall,gris
661,bunt::A,kirju,multicolor
662,bunt::A,värviline,multicolor
663,billig::A,odav,barat
664,teuer::A,kallis,car
665,wertvoll::A,väärtuslik,preciós
666,blind::A,pime,cec
667,taub::A,kurt,sord
668,kräftig::A,jõuline,fort
669,kräftig::A,jõuline,vigorós
670,stark::A,tugev,fort
671,schwach::A,nõrk,feble
672,schwach::A,jõuetu,feble
673,fett::A,rasvane,gras
674,schlank::A,sale,esvelt
675,hübsch::A,kena,maco
676,böse::A,tige,dolent
677,dumm::A,juhm,ximple
678,dumm::A,juhm,estúpid
679,dumm::A,rumal,ximple
680,dumm::A,rumal,estúpid
681,faul::A,laisk,gandūl
682,faul::A,laisk,mandrós
683,fleißig::A,virk,diligēnt
684,fleißig::A,hoolas,diligēnt
685,geizig::A,ihne,avar
686,klug::A,tark,intel·ligent
687,klug::A,arukas,intel·ligent
688,klug::A,mõistlik,intel·ligent
689,geschickt::A,osav,hàbil
690,lieb::A,armas,amat
691,lieb::A,armas,estimat
692,lustig::A,lõbus,alegre
693,sanft::A,õrn,suau
694,hungrig::A,näljane,afamat
695,krank::A,haige,malālt
696,nackt::A,alasti,nu
697,traurig::A,kurb,trist
698,lebendig::A,elus,viu
699,gut::A,hea,bo
700,schlecht::A,halb,dolēnt
701,richtig::A,õige,just
702,richtig::A,õige,correcte
703,schlimm::A,paha,greu
704,wahr::A,tõene,vertader
705,wahr::A,tõene,veritable
706,alt::A,vana,vell
707,neu::A,uus,nou
708,ehemalig::A,endine,antic
709,alt[Lebewesen]::A,vana,vell
710,jung::A,noor,jove
711,arm::A,vaene,pobre
712,reich::A,rikas,ric
713,bekannt::A,teada,conegut
714,bekannt::A,tuttav,conegut
715,berühmt::A,tuntud,famós
716,fremd::A,võõras,estrany
717,verschieden::A,erinev,diferent
718,nah::A,lähedane,pròxim
719,fern::A,kauge,llunyà
720,fern::A,kauge,distant
721,linker::A,vasak,esquerre
722,rechter::A,parem,dret
723,anderer::A,muu,altre
724,anderer::A,teine,altre
725,erster::A,esimene,primer
726,zweiter::A,teine,segon
727,dritter::A,kolmas,tercer
728,letzter::A,viimane,últim
729,allein::ADV,üksi,sol
730,auf einmal::ADV,korraga,d'una vegada
731,auf einmal::ADV,ühekorraga,d'una vegada
732,zusammen::ADV,koos,junt
733,zusammen::ADV,üheskoos,junt
734,lange::ADV,kaua,molt de temps
735,plötzlich::ADV,äkki,de cop
736,plötzlich::ADV,äkki,de sobte
737,plötzlich::ADV,järsku,de cop
738,plötzlich::ADV,järsku,de sobte
739,sofort::ADV,kohe,de seguida
740,später::ADV,hiljem,més tard
741,jetzt::ADV,nüüd,ara
742,heute::ADV,täna,avūi
743,morgen::ADV,homme,demà
744,bald::ADV,pea,aviāt
745,bald::ADV,varsti,aviāt
746,dann::ADV,siis,després
747,gestern::ADV,eile,ahir
748,einst::ADV,vanasti,anteriorment
749,damals::ADV,tookord,llavōrs
750,damals::ADV,tookord,aleshores
751,danach::ADV,seejärel,després
752,vorher::ADV,enne,abāns
753,zuerst::ADV,enne,primer
754,zuerst::ADV,esmalt,primer
755,einmal::ADV,kord,una vegada
756,einmal::ADV,üks kord,una vegada
757,manchmal::ADV,mõnikord,de vegades
758,oft::ADV,tihti,sovint
759,oft::ADV,sageli,sovint
760,immer::ADV,ikka,sempre
761,immer::ADV,alati,sempre
762,niemals::ADV,mitte kunagi,no ... mai
763,hier::ADV,siin,aquí
764,hierhin::ADV,siia,per aquí
765,von hier::ADV,siit,des d'aquí
766,dort::ADV,seal,allí
767,dorthin::ADV,sinna,hi
768,geradeaus::ADV,otse edasi,tot dret
769,vorwärts::ADV,edasi,endavānt
770,rückwärts::ADV,tagurpidi,endarrera
771,zurück::ADV,tagasi,darrere
772,unten::ADV,all,a baix
773,unten::ADV,allpool,a baix
774,hinab::ADV,alla,cap avall
775,oben::ADV,ülal,dalt
776,hinauf::ADV,üles,cap amunt
777,überall::ADV,kõikjal,pertot
778,überall::ADV,kõikjal,per tot arreu
779,nicht::ADV,ei,no
780,nicht::ADV,mitte,no
781,ein wenig::ADV,veidi,una mica
782,ein wenig::ADV,natuke,una mica
783,kaum::ADV,vaevalt,a penes
784,sehr::ADV,väga,molt
785,so::ADV,nii,així
786,noch::ADV,veel,encara
787,nur::ADV,ainult,només
788,schon::ADV,juba,ja
789,wieder::ADV,jälle,de nou
790,vergebens::ADV,asjata,en va
791,vor::PRP,ees,davānt
792,vor::PRP,ees,enfront de
793,hinter::PRP,taha,darrera
794,unter::PRP,all,sota
795,durch::PRP,läbi,per
796,durch::PRP,kaudu,per
797,neben::PRP,kõrval,al costāt de
798,zwischen::PRP,vahel,entre
799,wegen::PRP,tõttu,a causa de
800,wegen::PRP,pärast,a causa de
801,dies::PRN,see,aquest
802,das::PRN,see,això
803,alles::PRN,kõik,tot
804,ich::PRN,mina,jo
805,du::PRN,sina,tu
806,er::PRN,tema,ell
807,wir::PRN,me,nosaltres
808,ihr::PRN,te,vosaltres
809,sie::PRN,nad,ells
810,sie::PRN,nad,elles
811,was::FPRN,mis,què
812,wer::FPRN,kes,qui
813,wo::FADV,kus,on
814,wohin::FADV,kuhu,cap a on
815,wie::FADV,kuidas,com
816,warum::FADV,miks,per què
817,wieviel::FNUM,mitu,quant
818,wieviel::FNUM,kui palju,quant
819,eins::NUM,üks,u
820,zwei::NUM,kaks,dos
821,drei::NUM,kolm,tres
822,vier::NUM,neli,quatre
823,fünf::NUM,viis,cinc
824,sechs::NUM,kuus,sis
825,sieben::NUM,seitse,set
826,acht::NUM,kaheksa,vuit
827,neun::NUM,üheksa,nou
828,zehn::NUM,kümme,deu
829,elf::NUM,üksteist,onze
830,zwölf::NUM,kaksteist,dotze
831,zwanzig::NUM,kakskümmend,vint
832,dreißig::NUM,kolmkümmend,trenta
833,vierzig::NUM,nelikümmend,quaranta
834,fünfzig::NUM,viiskümmend,cinquanta
835,sechzig::NUM,kuuskümmend,seixanta
836,siebzig::NUM,seitsekümmend,setanta
837,achtzig::NUM,kaheksakümmend,vuitanta
838,neunzig::NUM,üheksakümmend,noranta
839,hundert::NUM,sada,cent
840,tausend::NUM,tuhat,mil
841,und::CNJ,ja,i
842,oder::CNJ,või,o
843,stehen::V,seisma,estar de peu
844,sitzen::V,istuma,seure
845,liegen::V,lamama,jeure
846,hängen::V,rippuma,penjar
847,werden::V,saama,fer-se
848,werden::V,saama,posar-se
849,werden::V,hakkama,fer-se
850,werden::V,hakkama,posar-se
851,passieren::V,juhtuma,succeir
852,beginnen::V,algama,iniciar-se
