,Concept_ID,sah,bn
405,Knoten::N,түмүк,গিঁট
406,Farbe::N,кырааска,রং
407,Kleidung::N,таҥас,কাপড়
408,Hemd::N,ырбаахы,শার্ট
409,Kragen::N,саҕа,গলবন্ধ
410,Ärmel::N,сиэх,আস্তিন্
411,Hose::N,ыстаан,ট্রাউজার
412,Hose::N,бүрүүкэ,ট্রাউজার
413,Gürtel::N,кур,কটিবন্ধ
414,Mütze::N,бэргэһэ,টুপি
415,Schuh::N,бачыыҥка,জুতো
416,Stiefel::N,саппыкы,বুট
417,Ring::N,биһилэх,আংটি
418,Band::N,лиэнтэ,ফিতা
419,Kamm::N,тараах,চিরুনি
420,Spiegel::N,сиэркилэ,আয়না
421,Riemen::N,кур,চাবুক
422,Schnur::N,быа,দড়ি
423,Leine::N,тэһиин,শিকল
424,Decke::N,суорҕан,কম্বল
425,Kissen::N,сыттык,উপাধান
426,Tuch::N,былаат,বস্ত্র
427,Handtuch::N,соттор,তোয়ালে
428,Kraft::N,сыра,জোর
429,Stärke::N,күүс,শক্তি
430,Gesundheit::N,доруобуйа,স্বাস্থ্য
431,Krankheit::N,ыарыы,অসুখ
432,Krankheit::N,ыарыы,ব্যামো
433,Schmerz::N,ыарыы,যন্ত্রণা
434,Wunde::N,баас,ক্ষত
435,Fieber::N,түрүлгэн,জ্বর
436,Fieber::N,лихорадка,জ্বর
437,Fieber::N,температура,জ্বর
438,Arznei::N,эмп,ঔষধ
439,Brücke::N,күргэ,সেতু
440,Brunnen::N,холуодьас,কূপ
441,Weide::N,мэччирэҥ,পশুচারণভূমি
442,Pfad::N,ыллык,পথ
443,Weg::N,суол,পথ
444,Straße::N,суол,রাস্তা
445,Dorf::N,дэриэбинэ,গ্রাম
446,Stadt::N,куорат,শহর
447,Brief::N,сурук,চিঠি
448,Buch::N,кинигэ,বই
449,Buchstabe::N,буква,অক্ষর
450,Zeitung::N,хаһыат,সংবাদপত্র
451,Leben::N,тыын,জীবন
452,Tod::N,өлүү,মৃত্যু
453,Grab::N,иин,কবর
454,Kirche::N,таҥара дьиэтэ,গির্জা
455,Sünde::N,айыы,পাপ
456,Gott::N,тангара,দেবতা
457,Arbeiter::N,үлэһит,শ্রমিক
458,Chef::N,баһылык,নেতা
459,Chef::N,начальник,নেতা
460,Meister::N,уус,ব্যক্তি
461,Meister::N,маастар,ব্যক্তি
462,Arzt::N,врач,চিকিৎসক
463,Lehrer::N,учуутал,অধ্যাপক
464,Geld::N,харчы,মুদ্রা
465,Geld::N,харчы,টাকাপয়সা
466,Geschäft::N,идэ,ব্যস্ততা
467,Laden::N,маҕаһыын,দোকান
468,Preis::N,сыана,মূল্য
469,Ware::N,табаар,পণ্যদ্রব্য
470,Nutzen::N,туһа,সুবিধা
471,Reichtum::N,баай,ধনদৌলত
472,Welt::N,аан дойду,জগৎ
473,Land::N,дойду,খেত
474,Staat::N,государство,রাষ্ট্র
475,König::N,король,রাজা
476,Macht::N,былаас,প্রভাব
477,Grenze::N,кыраныысса,সীমা
478,Krieg::N,сэрии,যুদ্ধ
479,Feind::N,өстөөх,শত্রু
480,Gewalt::N,күүһүлээһин,জোর
481,Kampf::N,охсуһуу,লড়াই
482,Bogen[Waffe]::N,ох,ধনুক
483,Pfeil::N,ох,বাণ
484,Gewehr::N,саа,বন্দুক
485,Fehler::N,сыыһа,ভুল
486,Lüge::N,сымыйа,মিথ্যা
487,Schaden::N,хоромньу,ক্ষতি
488,Unglück::N,алдьархай,দুর্ভাগ্য
489,Schuld::N,буруй,অপরাধ
490,Alter::N,саас,আয়ু
491,Schluss::N,тиһэх,শেষ
492,Zeit::N,бириэмэ,সময়
493,Tag::N,күн,দিন
494,Morgen::N,сарсыарда,সকাল
495,Mittag::N,күн ортото,মধ্যাহু
496,Abend::N,киэһэ,সন্ধ্যা
497,Nacht::N,түүн,রাত্রি
498,Woche::N,нэдиэлэ,সপ্তাহ
499,Monat::N,ый,মাস
500,Jahr::N,сыл,সৌরবর্ষ
501,Jahr::N,дьыл,সৌরবর্ষ
502,Frühling::N,саас,বসন্তকাল
503,Sommer::N,сайын,গ্রীষ্মকাল
504,Herbst::N,күһүн,শরংঋতু
505,Winter::N,кыһын,শীতকাল
506,Januar::N,тохсунньу,জানুয়ারী
507,Februar::N,олунньу,ফেব্রুয়ারী
508,März::N,кулун тутар,মার্চ
509,April::N,муус устар ый,এপ্রিল
510,Mai::N,ыам ыйа,মে
511,Juni::N,бэс ыйа,জুন
512,Juli::N,от ыйа,জুলাই
513,August::N,атырдьах ыйа,অগাস্ট
514,September::N,балаҕан ыйа,সেপ্টেম্বর
515,Oktober::N,алтынньы,অক্টোবর
516,November::N,сэтинньи,নভেম্বর
517,Dezember::N,ахсынньы,ডিসেম্বর
518,Montag::N,бэнидиэнньик,সোমবার
519,Dienstag::N,оптуорунньук,মঙ্গলবার
520,Mittwoch::N,сэрэдэ,বুধবার
521,Donnerstag::N,чэппиэр,বৃহম্পতিবার
522,Freitag::N,бээтинсэ,শুক্রবার
523,Samstag::N,субуота,শনিবার
524,Sonntag::N,баскыһыанньа,রবিবার
525,groß::A,бөдөҥ,বৃহৎ
526,groß::A,улахан,বৃহৎ
527,klein::A,кыр,ছোট
528,lang::A,уһун,দীর্ঘ
529,kurz::A,кылгас,খর্ব
530,kurz::A,кылгас,হ্রস্ব
531,breit::A,кэтит,চওড়া
532,schmal::A,кыараҕас,সরু
533,dicht::A,хойуу,ঘন
534,dick[Gegenstand]::A,суон,পুরু
535,dick[Gegenstand]::A,хойуу,পুরু
536,dünn::A,чараас,কৃশ
537,fein::A,бытархай,সূক্ষ্ম
538,fein::A,синньигес,সূক্ষ্ম
539,fest::A,бөҕө,দৃঢ়
540,fest::A,кытаанах,দৃঢ়
541,flach::A,хаптаҕай,সমতল
542,glatt::A,кылааккай,মসৃণ
543,hart::A,хатан,শক্ত
544,hart::A,кытаанах,শক্ত
545,weich::A,сымнаҕас,নরম
546,rund::A,төгүрүк,গোলাকার
547,spitz::A,сытыы,তীক্ষ্ন
548,spitz::A,уһуктаах,তীক্ষ্ন
549,scharf::A,сытыы,শাণিত
550,stumpf::A,сыппах,ভোঁতা
551,schwer::A,ыарахан,ভারী
552,schön::A,кыраһыабай,সুন্দর
553,heiß::A,итии,গরম
554,warm::A,ичигэс,ঈষদুষ্ণ
555,kalt::A,тымныы,ঠাণ্ডা
556,kühl::A,сөрүүн,শীতল
557,frisch::A,ыраас,তাজা
558,frisch::A,сөрүүн,তাজা
559,frisch::A,тымныы,তাজা
560,feucht::A,сииктээх,ভিজা
561,nass::A,инчэҕэй,ভিজা
562,trocken::A,кураан,শুষ্ক
563,voll::A,толору,পূর্ণ
564,leer::A,иччитэх,খালি
565,offen::A,аһаҕас,খোলা
566,geschlossen::A,бүтэй,বন্ধ
567,sauber::A,сэбэр,নির্মল
568,schmutzig::A,кирдээх,নোংরা
569,roh::A,сиикэй,কাঁচা
570,reif::A,буспут,পাকা
571,reif::A,сиппит-хоппут,পাকা
572,lecker::A,минньигэс,সুস্বাদ
573,süß::A,минньигэс,মিষ্ট
574,bitter::A,аһыы,তিক্ত
575,sauer::A,аһыы,টক
576,hell::A,сырдык,উজ্জ্বল
