,Concept_ID,bg,el
292,Rätsel::N,гатанка,αίνιγμα
293,Rede::N,реч,λόγος
294,Rede::N,реч,ομιλία
295,Rede::N,слово,λόγος
296,Rede::N,слово,ομιλία
297,Sprache::N,език,γλώσσα
298,Stimme::N,глас,φωνή
299,Wort::N,дума,λέξη
300,Zeichen::N,знак,σημείο
301,Ruf::N,зов,κραυγή
302,Lärm::N,шум,θόρυβος
303,Lärm::N,глъчка,θόρυβος
304,Laut::N,звук,ήχος
305,Ton::N,тон,ήχος
306,Ton::N,тон,τόνος
307,Lied::N,песен,τραγούδι
308,Ruhe::N,тишина,ησυχία
309,Ruhe::N,спокойствие,ησυχία
310,Leute::N,хора,κόσμος
311,Leute::N,хора,άνθρωποι
312,Volk::N,народ,λαός
313,Arbeit::N,труд,εργασία
314,Arbeit::N,работа,εργασία
315,Gast::N,гост,επισκέπτης
316,Geschenk::N,дар,δώρο
317,Geschenk::N,подарък,δώρο
318,Spiel::N,игра,παιχνίδι
319,Gesellschaft::N,общество,κοινωνία
320,Hilfe::N,помощ,βοήθεια
321,Freund::N,приятел,φίλος
322,Kamerad::N,другар,σύντροφος
323,Angelegenheit::N,работа,υπόθεση
324,Anzahl::N,брой,αριθμός
325,Anzahl::N,количество,αριθμός
326,Art::N,вид,είδος
327,Stück::N,къс,κομμάτι
328,Stück::N,парче,κομμάτι
329,Teil::N,дял,μέρος
330,Teil::N,част,μέρος
331,Hälfte::N,половина,μισό
332,Kreis::N,кръг,κύκλος
333,Kreuz::N,кръст,σταυρός
334,Linie::N,черта,γραμμή
335,Strich::N,щрих,γραμμή
336,Strich::N,черта,γραμμή
337,Abstand::N,дистанция,απόσταση
338,Abstand::N,разстояние,απόσταση
339,Entfernung::N,разстояние,απόσταση
340,Gegend::N,местност,περιοχή
341,Gegend::N,местност,τοποθεσία
342,Platz::N,място,χώρος
343,Ort::N,място,τόπος
344,Seite::N,страна,πλευρά
345,Mitte::N,среда,μέση
346,Gegenstand::N,предмет,αντικείμενο
347,Sache::N,вещ,πράγμα
348,Rand::N,ръб,άκρη
349,Rand::N,ръб,χείλος
350,Kante::N,ръб,άκρη
351,Kante::N,кант,άκρη
352,Ecke::N,ъгъл,γωνιά
353,Spitze::N,връх,μύτη
354,Spitze::N,острие,μύτη
355,Ende::N,край,άκρη
356,Loch::N,дупка,τρύπα
357,Winkel::N,кът,γωνία
358,Winkel::N,ъгъл,γωνία
359,Muster::N,десен,σχέδιο
360,Muster::N,образец,σχέδιο
361,Größe::N,големина,μέγεθος
362,Länge::N,дължина,μήκος
363,Höhe::N,висота,ύψος
364,Höhe::N,височина,ύψος
365,Gewicht::N,тегло,βάρος
366,Gewicht::N,тежест,βάρος
367,Menge::N,количество,ποσότητα
368,Haufen::N,куп,σωρός
369,Haufen::N,грамада,σωρός
370,Reihe::N,ред,αράδα
371,Reihe::N,редица,αράδα
372,Boot::N,лодка,βάρκα
373,Ruder::N,весло,κουπί
374,Ruder::N,гребло,κουπί
375,Schlitten::N,шейна,έλκηθρο
376,Ski::N,ски,σκι
377,Lagerfeuer::N,огнище,φωτιά
378,Last::N,товар,φορτίο
379,Gang::N,ход,δρόμος
380,Gang::N,вървеж,δρόμος
381,Schritt::N,стъпка,βήμα
382,Norden::N,север,βορράς
383,Süden::N,юг,νότος
384,Westen::N,запад,δύση
385,Osten::N,изток,ανατολή
386,Holz::N,дърво,ξύλο
