,Concept_ID,de,hy
910,beenden::V,beenden,վերջացնել
911,aufhören::V,aufhören,դադարել
912,gelingen::V,gelingen,հաջողվել
913,gelingen::V,gelingen,գլուխ գալ
914,geraten::V,geraten,ստացվել
915,öffnen::V,öffnen,բաց անել
916,schließen::V,schließen,փակել 
917,stellen::V,stellen,դնել
918,setzen::V,setzen,նստեցնել
919,legen::V,legen,դնել
920,berühren::V,berühren,դիպչել
921,berühren::V,berühren,շոշափել
922,verbinden::V,verbinden,շաղկապել
923,bedecken::V,bedecken,ծածկել
924,aufhängen::V,aufhängen,կախել
925,anzünden::V,anzünden,վառել
926,aufheben::V,aufheben,վերցնել
927,zurücklassen::V,zurücklassen,թողնել
928,verlieren::V,verlieren,կորցնել
929,fallen lassen::V,fallen lassen,գցել
930,machen::V,machen,անել
931,herstellen::V,herstellen,արտադրել
932,bauen::V,bauen,կառուցել
933,reparieren::V,reparieren,նորոգել
934,verbessern::V,verbessern,բարելավել
935,ändern::V,ändern,փոխել
936,graben::V,graben,փորել
937,beugen::V,beugen,ծռել
938,biegen::V,biegen,թեքել
939,drehen::V,drehen,ոլորել
940,wenden::V,wenden,պտտել
941,umdrehen::V,umdrehen,շրջել
942,heben::V,heben,բարձրացնել
943,hochheben::V,hochheben,բարձրացնել
944,ergreifen::V,ergreifen,վարակվել
945,halten::V,halten,բռնել
946,drücken::V,drücken,ճնշել
947,schieben::V,schieben,հրել
948,kratzen::V,kratzen,քերել
949,lecken::V,lecken,լիզել
950,beißen::V,beißen,կծել
951,abreißen::V,abreißen,պոկել
952,abschneiden::V,abschneiden,կտրել 
953,binden::V,binden,կապել
954,stecken::V,stecken,խրել
955,brechen::V,brechen,կոտրել 
956,klopfen::V,klopfen,թակել
957,hauen::V,hauen,ծեծել
958,kleben::V,kleben,կպցնել
959,reiben::V,reiben,շփել
960,streichen::V,streichen,վրան քսել
961,schleifen::V,schleifen,սրել 
962,schneiden::V,schneiden,կտրել
963,rütteln::V,rütteln,ցնցել
964,schütteln::V,schütteln,թափահարել
965,schwenken::V,schwenken,ճոճել
966,schütten::V,schütten,լցնել
967,füllen::V,füllen,լիքը լցնել
968,einwickeln::V,einwickeln,փաթաթել
969,tragen::V,tragen,կրել
970,tragen::V,tragen,տանել
971,schleppen::V,schleppen,քաշել
972,ziehen::V,ziehen,ձգել
973,ziehen::V,ziehen,քաշել
974,aufbewahren::V,aufbewahren,պահել 
975,werfen::V,werfen,նետել
976,fangen::V,fangen,
977,packen::V,packen,հափշտակել
978,verstecken::V,verstecken,ծածկել
979,teilen::V,teilen,բաժանել
980,schicken::V,schicken,ուղարկել
981,bringen::V,bringen,բերել
982,hinzufügen::V,hinzufügen,ավելացնել
983,bekommen::V,bekommen,հայթայթել
984,erhalten::V,erhalten,ստանալ
985,nehmen::V,nehmen,վերցնել
986,wählen::V,wählen,ընտրել
987,auswählen::V,auswählen,գերադասել
988,bewahren::V,bewahren,պահպանել
989,behindern::V,behindern,խոչընդոտել
990,verderben::V,verderben,փչացնել
991,beschädigen::V,beschädigen,վնասել
992,zerbrechen::V,zerbrechen,ջարդել
993,zerbrechen::V,zerbrechen,կոտրել
994,zerreißen::V,zerreißen,պատռել
995,zerstören::V,zerstören,քանդել
996,verbrennen::V,verbrennen,այրել
997,geben::V,geben,տալ
998,reichen::V,reichen,հանձնել
999,schenken::V,schenken,նվիրել
1000,versprechen::V,versprechen,խոստանալ
1001,wünschen::V,wünschen,մաղթել
1002,loben::V,loben,գովել
1003,küssen::V,küssen,համբուրել
1004,wiegen::V,wiegen,օրորել
1005,zudecken::V,zudecken,վրան գցել
1006,wecken::V,wecken,զարթնեցնել
1007,zeigen::V,zeigen,ցույց տալ
1008,führen::V,führen,ուղեկցել
1009,lehren::V,lehren,սովորեցնել
1010,unterrichten::V,unterrichten,ավանդել
1011,aufziehen::V,aufziehen,դաստիարակել
1012,leiten::V,leiten,ղեկավարել
1013,leiten::V,leiten,կառավարել
1014,antreiben::V,antreiben,շտապեցնել
1015,lassen::V,lassen,ստիպել
1016,einladen::V,einladen,հրավիրել
1017,vereinigen::V,vereinigen,միացնել
1018,besuchen::V,besuchen,այցելել
1019,treffen::V,treffen,հանդիպել
1020,sich versammeln::V,sich versammeln,հավաքվել
1021,spielen::V,spielen,խաղալ
1022,singen::V,singen,երգել
1023,tanzen::V,tanzen,պարել
1024,sich trennen::V,sich trennen,ցրվել
1025,verlassen::V,verlassen,լքել
1026,retten::V,retten,փրկել
1027,bewachen::V,bewachen,պահել
1028,schützen::V,schützen,պաշտպանել
1029,verteidigen::V,verteidigen,պաշտպանել
1030,sich schlagen::V,sich schlagen,կռվել
1031,schießen::V,schießen,կրակել
1032,siegen::V,siegen,հաղթել
1033,ärgern::V,ärgern,ձանձրացնել
1034,schlagen::V,schlagen,խփել
1035,treten::V,treten,քացի տալ
1036,stechen::V,stechen,խայթել
1037,stoßen::V,stoßen,մղել
1038,stehlen::V,stehlen,գողանալ
1039,stören::V,stören,խանգարել
1040,belästigen::V,belästigen,անհանգստացնել
1041,verbergen::V,verbergen,թաքցնել
1042,täuschen::V,täuschen,խաբել
1043,betrügen::V,betrügen,խաբել
1044,töten::V,töten,սպանել 
1045,wohnen::V,wohnen,բնակվել
1046,arbeiten::V,arbeiten,աշխատել
1047,sammeln::V,sammeln,հավաքել
1048,pflücken::V,pflücken,քաղել
1049,jagen::V,jagen,որս անել
1050,fischen::V,fischen,ձուկ բռնել
1051,fassen::V,fassen,բռնել
1052,hüten::V,hüten,արածեցնել
1053,treiben::V,treiben,հովուել
1054,anbinden::V,anbinden,չուանել
1055,füttern::V,füttern,կերակրել
1056,melken::V,melken,կթել
1057,hacken::V,hacken,կոտորել
1058,gießen::V,gießen,ջրել
1059,reifen::V,reifen,հասունանալ 
1060,zubereiten::V,zubereiten,պատրաստել
1061,kochen::V,kochen,եփել
1062,backen::V,backen,թխել
1063,braten::V,braten,տապակել
1064,umrühren::V,umrühren,խառնել
1065,stricken::V,stricken,գործել
1066,nähen::V,nähen,կարել
1067,färben::V,färben,ներկել
1068,reinigen::V,reinigen,մաքրել
1069,waschen::V,waschen,լվանալ
1070,abwischen::V,abwischen,սրբել
1071,spülen::V,spülen,ողողել
1072,spülen::V,spülen,պարզաջրել
1073,fegen::V,fegen,ավլել
1074,kehren::V,kehren,ավլել
1075,baden::V,baden,լողանալ
1076,sich waschen::V,sich waschen,լվացվել
1077,ausziehen::V,ausziehen,հանել
1078,anziehen::V,anziehen,հագնել
1079,sich anziehen::V,sich anziehen,հագնվել
1080,kämmen::V,kämmen,սանրել
1081,schmücken::V,schmücken,զարդարել
1082,sagen::V,sagen,ասել
1083,sprechen::V,sprechen,խոսել
1084,reden::V,reden,զրուցել
1085,sich unterhalten::V,sich unterhalten,խոսակցել
1086,fragen::V,fragen,հարցնել
1087,bitten::V,bitten,խնդրել
1088,erzählen::V,erzählen,պատմել
1089,mitteilen::V,mitteilen,հաղորդել
1090,nennen::V,nennen,անվանել
1091,rufen::V,rufen,կանչել
1092,prahlen::V,prahlen,պարծենալ
1093,übersetzen::V,übersetzen,թարգմանել
1094,denken::V,denken,մտածել
1095,glauben::V,glauben,հավատալ
1096,bemerken::V,bemerken,նկատել
1097,erkennen::V,erkennen,ճանաչել
1098,begreifen::V,begreifen,հասկանալ
1099,verstehen::V,verstehen,ըմբռնել
1100,lernen::V,lernen,սովորել
1101,wissen::V,wissen,իմանալ
1102,sich erinnern an::V,sich erinnern an,հիշել
1103,sich erinnern an::V,sich erinnern an,մտաբերել
1104,vergessen::V,vergessen,մոռանալ
1105,messen::V,messen,չափել
1106,zählen::V,zählen,թվել
1107,zählen::V,zählen,հաշվել
1108,rechnen::V,rechnen,հաշվել
1109,rechnen::V,rechnen,հաշվարկել
1110,lesen::V,lesen,կարդալ
1111,malen::V,malen,նկարել
1112,zeichnen::V,zeichnen,գծել
1113,schreiben::V,schreiben,գրել
1114,besitzen::V,besitzen,ունենալ
1115,besitzen::V,besitzen,տեր լինել
1116,kaufen::V,kaufen,գնել
1117,verkaufen::V,verkaufen,վաճառել
1118,bezahlen::V,bezahlen,վճարել
1119,zahlen::V,zahlen,վճարել
1120,beherrschen::V,beherrschen,ղեկավարել
1121,ertragen::V,ertragen,դիմանալ
