,Concept_ID,ce,lt
236,Tante::N,дейиша,teta
237,Ehemann::N,майра,vyras
238,Ehefrau::N,зуда,žmona
239,Freude::N,самукъа,džiaugsmas
240,Freude::N,хазахетар,džiaugsmas
241,Gelächter::N,белам,juokas
242,Glück::N,ирс,laimė
243,Kummer::N,бала,vargas
244,Kummer::N,бала,rūpestis
245,Wunsch::N,лаам,troškimas
246,Wunsch::N,лаам,pageidavimas
247,Lust::N,лаам,noras
248,Lust::N,лаам,geidulys
249,Geist::N,са,dvasia
250,Gedanke::N,ойла,mintis
251,Gedächtnis::N,диццадалар,atmintis
252,Verstand::N,хьекъал,protas
253,Sinn::N,маьӏна,prasmė
254,Grund::N,бахьана,priežastis
255,Wahrheit::N,бакъдерг,tiesa
256,Wahrheit::N,бакъдерг,teisybė
257,Gespräch::N,къамел,pokalbis
258,Märchen::N,туьйра,pasaka
259,Erzählung::N,дийцар,apsakymas
260,Erzählung::N,дийцар,pasakojimas
261,Nachricht::N,хаам,žinia
262,Neuigkeit::N,керланиг,naujiena
263,Name::N,цӏе,vardas
264,Rätsel::N,хӏетал-метал,mįslė
265,Rede::N,къамел,kalba
266,Sprache::N,мотт,kalba
267,Stimme::N,aз,balsas
268,Wort::N,дош,žodis
269,Zeichen::N,билгало,žymė
270,Zeichen::N,билгало,ženklas
271,Ruf::N,кхайкхар,šauksmas
272,Lärm::N,гӏовгӏа,triukšmas
273,Laut::N,аз,garsas
274,Ton::N,aз,tonas
275,Ton::N,aз,garsas
276,Lied::N,илли,daina
277,Lied::N,илли,giesmė
278,Ruhe::N,тийналла,ramybė
279,Ruhe::N,тийналла,ramumas
280,Leute::N,нах,žmonės
281,Volk::N,халкъ,tauta
282,Arbeit::N,болх,darbas
283,Arbeit::N,болх,triūsas
284,Gast::N,хьаша,svečias
285,Geschenk::N,совгӏат,dovana
286,Spiel::N,ловзар,žaismas
287,Spiel::N,ловзар,žaidimas
288,Gesellschaft::N,юкъаралла,draugija
289,Gesellschaft::N,юкъаралла,kompanija
290,Hilfe::N,гӏо,pagalba
291,Freund::N,доттагl,draugas
292,Freund::N,доттагl,bičiulis
293,Kamerad::N,накъост,draugas
294,Angelegenheit::N,гӏуллакх,dalykas
295,Angelegenheit::N,гӏуллакх,reikalas
296,Anzahl::N,терахь,kiekis
297,Anzahl::N,терахь,skaičius
298,Stück::N,юьхк,gabalas
299,Teil::N,дакъа,dalis
300,Hälfte::N,ах,pusė
301,Kreis::N,го,ratas
302,Kreis::N,го,apskritis
303,Kreis::N,го,apskritimas
304,Kreuz::N,жӏара,kryžius
305,Linie::N,сиз,linija
306,Strich::N,сиз,brėžis
307,Strich::N,сиз,brūkšnys
308,Abstand::N,юкъ,atstumas
309,Gegend::N,мeттиг,vietovė
310,Platz::N,майда,vieta
311,Ort::N,меттиг,vieta
312,Ort::N,меттиг,vietovė
313,Seite::N,aгӏo,pusė
314,Seite::N,aгӏo,šonas
315,Mitte::N,юкъ,vidurys
316,Gegenstand::N,хӏума,dalykas
