,Concept_ID,te,br
56,Sonne::N,సూర్యుడు,heol
57,Mond::N,చంద్రుడు,loar
58,Stern::N,నక్షత్రము,steredenn
59,Luft::N,గాలి,aer
60,Wind::N,వీచుచున్నగాలి,avel
61,Welle::N,అల,houlenn
62,Wasser::N,నీరు,dour
63,Stein::N,ఱాయి,maen
64,Boden::N,నేల,tachenn
65,Erde::N,మన్ను,douar
66,Staub::N,దుమ్ము,poultr
67,Rauch::N,పొగ,moged
68,Funke::N,అగ్నికణము,ful
69,Feuer::N,అగ్ని,tan
70,Licht::N,కాంతి,gouloù
71,Schatten::N,నీడ,disheol
72,Wetter::N,వాతావరణ స్థితి,amzer
73,Nebel::N,పొగమంచు,brumenn
74,Wolke::N,మేఘము,koumoulenn
75,Regen::N,వాన,glav
76,Schnee::N,హిమము,erc'h
77,Eis::N,మంచుగడ్డ,skorn
78,Frost::N,పేరిన మంచు,rev
79,Kälte::N,చలి,yen
80,Hitze::N,వేడిమి,tommder
81,Raureif::N,మంచు,frim
82,Regenbogen::N,ఇంద్రధనుస్సు,gwareg-ar-glav
83,Donner::N,ఉరుము,kurun
84,Strömung::N,ప్రవాహము,red
85,Tropfen::N,చుక్క,bannac'h
86,Tropfen::N,చుక్క,takenn
87,Schaum::N,నురుగు,spoum
88,Schmutz::N,మైల,fank
89,See::N,సరస్సు,lenn
90,Sumpf::N,చిత్తడినేల,gwern
91,Moor::N,చిత్తడినేల,taouarc'heg
92,Wiese::N,పచ్చిక బయలు,prad
93,Wald::N,అడవి,koad
94,Hügel::N,చివ్నకొండ,torgenn
95,Anhöhe::N,కొండ,run
96,Berg::N,పర్వతము,menez
97,Gipfel::N,శిఖరము,barr
98,Höhle::N,గుహ,kav
99,Abhang::N,ఏటవాలు,naou
100,Quelle::N,మూలము,feunteun
101,Bach::N,కాలువ,gwazh
102,Fluss::N,నది,stêr
103,Ufer::N,తీరము,ribl
104,Küste::N,తీరము,aod
105,Festland::N,భూమి,douar
106,Meer::N,సముద్రము,mor
107,Bucht::N,మరుగు,mor-bihan
108,Insel::N,దీవి,enez
109,Blume::N,పుష్పము,bleunienn
110,Gras::N,పచ్చగడ్డి,geot
111,Wurzel::N,వేరు,gwrizienn
112,Baum::N,చెట్టు,gwezenn
113,Stamm::N,చెట్టుబోదె,kef
114,Rinde::N,చెట్టుపట్ట,rusk
115,Ast::N,కొమ్మ,barr
116,Zweig::N,చివుకు,bod
117,Blatt::N,ఆకు,delienn
118,Birke::N,తరహా చెట్టు,bezvenn
119,Kiefer[Baum]::N,దేవదారు చెట్టు,pinenn
120,Weide[Baum]::N,జాతిచెట్టు,halegenn
121,Tanne::N,దేవదారుచెట్టు,sapenn
122,Horn::N,కొమ్ము,korn
123,Feder::N,ఈక,pluñv
124,Fell::N,తోలు,kreoñ
125,Flügel::N,ఱెక్క,askell
126,Klaue::N,వంకరగోరు,skilf
127,Kralle::N,వంకరగోరు,skilf
128,Schwanz::N,తోక,lost
129,Ei::N,గ్రుడ్డు,vi
130,Nest::N,పక్షిగూడు,neizh
131,Bau::N,గుహ,douarenn
132,Tier::N,జంతువు,loen
133,Herde::N,మంద,tropell
134,Kuh::N,ఆవు,buoc'h
135,Bulle::N,గిత్త,tarv
136,Pferd::N,గుఱ్ఱము,marc'h
137,Schaf::N,గొఱ్ఱె,dañvad
138,Schwein::N,పంది,pemoc'h
139,Hund::N,కుక్క,ki
140,Katze::N,పిల్లి,kazh
141,Bär::N,ఎలుగుబంటి,arzh
142,Eichhörnchen::N,ఉడుత,gwiñver
143,Elch::N,కణంజు,karv-dour
144,Fuchs::N,గుంటనక్క,louarn
145,Hase::N,కుందేలు,gad
146,Maus::N,చిట్టెలుక,logodenn
147,Wolf::N,తోడేలు,bleiz
148,Vogel::N,పక్షి,labous
149,Schwarm::N,గుంపు,nijad
150,Huhn::N,కోడిపిల్ల,yar
151,Hahn::N,కోడివుంజు,kilhog
152,Gans::N,ఆడుబాతు,gwazenn
153,Adler::N,గ్రద్ద,erer
154,Ente::N,పాట్టిబాతు,houad
155,Eule::N,గ్రుడ్లగూబ,toud
156,Kranich::N,కొంగ,garan
157,Krähe::N,కాకి,bran
158,Kuckuck::N,కోయల,koukoug
159,Schwan::N,హంస,alarc'h
160,Fisch::N,చేప,pesk
161,Barsch::N,ఒకచేఁప,brell
162,Hecht::N,గండుమీను,beked
163,Schlange[Tier]::N,పాము,naer
164,Wurm::N,పురుగు,preñv
165,Spinne::N,సాలె పురుగు,kevnidenn
166,Ameise::N,చీమ,merion
167,Laus::N,పేను,laouenn
168,Mücke::N,చీకటీగ,moustik
169,Fliege::N,ఈగ,kelienenn
170,Schmetterling::N,సీతాకోకచిలుక,balafenn
171,Beere::N,కాయ,hog
172,Apfel::N,ఆపిల్ పండు,aval
173,Pilz::N,కుక్కగొడుగు,kabell-touseg
174,Zwiebel::N,నీరుల్లి,ognonenn
175,Saat::N,విత్తనము,had
176,Korn::N,గింజ,ed
177,Heu::N,ఎండుగడ్డి,foenn
178,Schale::N,పొట్టు,peliadur
179,Grube::N,గొయ్యి,
180,Falle::N,బోను,pech
181,Schlinge::N,ఉరి,krouglas
182,Spur::N,జాడ,
183,Asche::N,బూడిద,ludu
184,Dreck::N,ముఱికి,fank
185,Eisen::N,ఇనుము,houarn
186,Gold::N,బంగారము,aour
187,Silber::N,వెండి,arc'hant
188,Kohle::N,నేలబొగ్గు,glaou
189,Glas::N,గాజు,gwer
190,Lehm::N,బంకమన్ను,
191,Sand::N,ఇసుక,traezh
192,Mensch::N,నరుడు,den
193,Mann::N,పురుమడు,den
194,Frau::N,ఆడుది,maouez
195,Kind::N,బిడ్డ,bugel
196,Junge::N,బాలుడు,paotr
197,Mädchen::N,బాలిక,plac'h
198,Familie::N,కుటుంబము,familh
199,Großvater::N,తాత,tad-kozh
200,Großmutter::N,అయ్యమ్మ,mamm-gozh
201,Eltern::N,తల్లితండ్రులు,kerent
202,Vater::N,తండ్రి,tad
203,Mutter::N,తల్లి,mamm
204,Sohn::N,కొడుకు,mab
205,Tochter::N,కూతురు,merc'h
206,Bruder::N,పోదరుడు,breur
207,Schwester::N,సోదరి,c'hoar
208,Onkel::N,మేనమామ,eontr
209,Tante::N,మేనత్త,moereb
210,Tante::N,పినతల్లి,moereb
211,Ehemann::N,భర్త,gwaz
212,Ehefrau::N,భార్య,gwreg
213,Freude::N,సంతోషము,levenez
214,Gelächter::N,నవ్వు,c'hoarzherezh
215,Glück::N,సంతోషము,chañs
216,Kummer::N,దుఃఖము,doan
217,Wunsch::N,కోరిక,c'hoant
218,Lust::N,కోరిక,c'hoant
219,Geist::N,ఆత్మ,spered
220,Gedanke::N,ఆలోచన,soñj
221,Gedächtnis::N,జ్ఞాపకము,eñvor
222,Verstand::N,మనస్సు,skiant
223,Sinn::N,అర్థము,ster
224,Grund::N,కారణము,kaoz
225,Wahrheit::N,సత్యము,gwirionez
226,Gespräch::N,పంభాషణ,kaozeadenn
227,Märchen::N,అద్భుతకథ,kaoz korriganez
228,Erzählung::N,కథ,kontadenn
229,Nachricht::N,వార్త,keloù
230,Neuigkeit::N,వార్త,kelaouenn
231,Name::N,పేరు,anv
232,Rätsel::N,చిక్కు,divinatez
233,Rede::N,ఉపన్యాసము,diskour
234,Sprache::N,భాష,yezh
235,Stimme::N,కంరథ్సని,mouezh
236,Wort::N,మాట,ger
237,Zeichen::N,గుర్తు,sin
238,Ruf::N,పిలువు,galv
239,Lärm::N,సందడి,trouz
240,Laut::N,ధ్వని,
241,Ton::N,స్వరము,ton
242,Lied::N,పాట,kanaouenn
243,Ruhe::N,గాలిలేమి,sioulded
244,Leute::N,జనులు,tud
245,Volk::N,జాతి,pobl
246,Arbeit::N,పని,labour
247,Gast::N,అతిధి,kouviad
248,Geschenk::N,దానము,prof
249,Spiel::N,ఆట,c'hoari
250,Gesellschaft::N,జట్టు,kompagnunezh
251,Gesellschaft::N,జట్టు,kavandad
252,Hilfe::N,సాహాయ్యము,sikour
253,Freund::N,స్నేహితుడు,mignon
254,Kamerad::N,చెలికాడు,kamarad
255,Angelegenheit::N,విషయము,afer
256,Anzahl::N,లెక్క,niver
257,Art::N,జాతి,sort
258,Stück::N,తునుక,tamm
259,Teil::N,భాగము,pezh
260,Hälfte::N,సగము,hanterenn
261,Kreis::N,వృత్తము,kelc'h
262,Kreuz::N,సిలువ,kroaz
263,Linie::N,గీత,linenn
264,Strich::N,గీత,tenn
265,Abstand::N,సందు,distok
266,Entfernung::N,దూరము,keid
267,Entfernung::N,దూరము,kehid
268,Gegend::N,విస్తీర్ణము,korn-bro
269,Platz::N,ఎడము,plasenn
270,Ort::N,స్థలము,lec'h
271,Seite::N,ప్రక్క,tu
272,Mitte::N,నడిమి,kreiz
273,Gegenstand::N,పద్దు,tra
274,Sache::N,వస్తువు,tra
275,Rand::N,అంచు,kantenn
276,Kante::N,అంచు,kantenn
277,Ecke::N,మూల,korn
278,Spitze::N,మొన,begell
279,Ende::N,కొన,dibenn
280,Loch::N,రంధ్రము,toull
281,Winkel::N,కోణము,
282,Muster::N,మాదిరి,tresadenn
283,Größe::N,పరిమాణము,ment
284,Länge::N,పొడుగు,hirder
285,Höhe::N,పొడుగు,uhelder
286,Gewicht::N,భారము,pouez
287,Menge::N,మొత్తము,bern
288,Haufen::N,రాశి,bern
289,Reihe::N,వరుస,steud
290,Boot::N,పడవ,bag
291,Ruder::N,అడక,roeñv
292,Schlitten::N,సరవండ్లు,trainell
293,Ski::N,స్కీ,ski
294,Lagerfeuer::N,నెగడు,
295,Last::N,బరువు,karg
296,Gang::N,నడక,kerzh
297,Schritt::N,అడుగు,paz
298,Norden::N,ఉత్తరదిక్కు,norzh
299,Norden::N,ఉత్తరదిక్కు,hanternoz
300,Süden::N,దక్షిణము,su
301,Süden::N,దక్షిణము,kreisteiz
302,Westen::N,పడమర,kuzh-heol
303,Osten::N,తూర్పు,reter
304,Osten::N,తూర్పు,sav-heol
305,Holz::N,కొయ్య,koad
306,Brett::N,పలక,plankenn
307,Platte::N,పలక,plakenn
308,Stütze::N,వాల్సేడ్లు,harp
309,Stange::N,స్తంభము,sparl
310,Stock::N,కఱ్ఱ,bazh
311,Stab::N,కఱ్ఱ,bazh
312,Rohr::N,గొట్టము,tub
313,Rohr::N,గొట్టము,korz
314,Haus::N,ఇల్లు,ti
315,Heim::N,స్వగృహము,kêr
316,Ofen::N,పొయ్యి,forn
317,Fußboden::N,నేల,plañchod
318,Tisch::N,మేజా,taol
319,Stuhl::N,కుర్చీ,kador
320,Wiege::N,ఉయ్యాల,kavell
321,Bett::N,పడక,gwele
322,Bett::N,మంచం,gwele
323,Regal::N,అటక,estajerenn
324,Kiste::N,వెట్టె,kased
325,Fenster::N,కిటికి,prenestr
326,Tür::N,ద్వారము,dor
327,Tor::N,ద్వారము,portal
328,Zaun::N,కంచె,sklotur
329,Dach::N,ఇంటివైకప్పు,toenn
330,Leiter::N,నిచ్చెన,skeul
331,Besen::N,చీపురుకట్ట,skubell
332,Spaten::N,పాఱ,pal
333,Schaufel::N,పాఱ,pal
334,Gabel::N,ముండ్లగరిటె,fourchetez
335,Löffel::N,గరిటె,loa
336,Messer::N,కత్తి,kontell
337,Nagel::N,మేకు,tach
338,Netz::N,వల,roued
339,Haken::N,కొక్కెము,krog
340,Griff::N,పిడి,kemer
341,Schloss::N,తాళము,potenn
342,Bild::N,చిత్రము,skeudenn
343,Figur::N,రూపము,skeud
344,Figur::N,రూపము,figur
345,Puppe::N,బొమ్మ,merc'hodenn
346,Beutel::N,సంచి,sac'h
347,Bündel::N,మూట,feskenn
348,Tasche::N,సంచి,sac'h
349,Eimer::N,చేద,sailh
350,Deckel::N,మూత,pallenn
351,Geschirr::N,వంటకాలు,listriaj
352,Sack::N,గోనెసంచి,sac'h
353,Tasse::N,గిన్నె,tas
354,Topf::N,కుండ,pod
355,Kessel::N,నీరుకాచుపాత్ర,chaodouron
356,Essen::N,ఆహారము,pred
357,Nahrung::N,ఆహారము,boued
358,Speise::N,ఆహారము,meuz
359,Fleisch::N,మాంసము,kig
360,Getreide::N,ధాన్యము,ed
361,Brei::N,గుజ్జు,yod
362,Brot::N,రొట్టె,bara
363,Scheibe::N,బద్ద,tailhenn
364,Fett::N,క్రొవ్వు,lard
365,Butter::N,వెన్న,amann
366,Öl::N,నూనె,eoul
367,Salz::N,ఉప్పు,holen
368,Suppe::N,చారు,soubenn
369,Honig::N,తెనె,mel
370,Milch::N,పాలు,laezh
371,Tee::N,తేనీరు,te
372,Leder::N,బాగుచేసివతోలు,lêr
373,Wolle::N,ఉన్ని,gloan
374,Stoff::N,బట్ట,danvez
375,Nadel::N,సూది,nadoz
376,Faden::N,దారము,neudenn
377,Knopf::N,బొత్తాము,bouton
378,Knoten::N,ముడి,skoulm
379,Farbe::N,రంగు,liv
380,Kleidung::N,బట్టలు,dilhad
381,Hemd::N,చొక్కాయ,roc'hed
382,Kragen::N,మాల,gouzoug
383,Ärmel::N,చొక్కాయచెయ్యి,milgin
384,Hose::N,ఇజారు,bragoù
385,Gürtel::N,పటకా,gouriz
386,Mütze::N,టోపి,boned
387,Schuh::N,పాదరక్ష,botez
388,Stiefel::N,బూటు,botez
389,Ring::N,ఉంగరము,gwalenn
390,Band::N,నాడా,bagad
391,Kamm::N,దువ్వెన,krib
392,Spiegel::N,అద్దము,melezour
393,Riemen::N,వాడా,lerenn
394,Schnur::N,దారము,kordenn
395,Leine::N,వారు,roll
396,Decke::N,కంబళి,golo
397,Kissen::N,తలగడ,goubenner
398,Tuch::N,బట్ట,mezher
399,Handtuch::N,తువాలు,toailhon
400,Kraft::N,బలము,nerzh
401,Stärke::N,శక్తి,nerzhder
402,Gesundheit::N,ఆరోగ్యము,yec'hed
403,Krankheit::N,రోగము,klañved
404,Schmerz::N,నొప్పి,poan
405,Schmerz::N,నొప్పి,droug
406,Wunde::N,గాయము,gloazadenn
407,Fieber::N,జ్వరము,terzhienn
408,Arznei::N,మందు,louzoù
409,Brücke::N,వంతెన,pont
410,Brunnen::N,బావి,puñs
411,Brunnen::N,కూపము,puñs
412,Brunnen::N,నుయ్యి,puñs
413,Weide::N,పచ్చికబయలు,prad
414,Pfad::N,కాలిత్రోవ,gwenodenn
415,Weg::N,మార్గము,hent
416,Straße::N,బాట,ru
417,Straße::N,బాట,hent
418,Dorf::N,గ్రామము,kêr
419,Dorf::N,గ్రామము,kêriadenn
420,Stadt::N,పట్టణము,kêr
421,Brief::N,జాబు,lizher
422,Buch::N,పుస్తకము,levr
423,Buchstabe::N,అక్షరము,lizherenn
424,Zeitung::N,వార్తాపత్రిక,kazetenn
425,Leben::N,ప్రాణము,buhez
426,Tod::N,మరణము,marv
427,Grab::N,సమాధి,bez
428,Kirche::N,క్రెస్తవులగుడి,iliz
429,Sünde::N,పాపము,pec'hed
430,Gott::N,దేవుడు,doue
431,Arbeiter::N,పనిపాటుచేశేవాడు,labourer
432,Arbeiter::N,పనిపాటుచేశేవాడు,micherour
433,Chef::N,యజమానుడు,penn
434,Meister::N,కళాకారుడు,mestr
435,Arzt::N,వైద్యుడు,mezeg
436,Arzt::N,వైద్యుడు,medisin
437,Lehrer::N,ఉపాధ్యాయుడు,skolaer
438,Lehrer::N,ఉపాధ్యాయుడు,kelenner
439,Geld::N,ద్రవ్యము,arc'hant
440,Geschäft::N,వ్యాపారము,stal
441,Laden::N,అంగడి,stal
442,Preis::N,వెల,priz
443,Ware::N,సరకులు,marc'hadourezh
444,Nutzen::N,ప్రయోజనము,gounidegezh
445,Nutzen::N,ప్రయోజనము,lañs
446,Nutzen::N,ప్రయోజనము,profit
447,Nutzen::N,ప్రయోజనము,spleit
448,Reichtum::N,ధనము,pinvidigezh
449,Welt::N,ప్రపంచము,douar
450,Land::N,దేశము,bro
451,Staat::N,రాజ్యము,stad
452,König::N,రాజు,roue
453,Macht::N,అధికారము,galloud
454,Grenze::N,సరిహద్దు,harzoù
455,Krieg::N,యుద్ధము,brezel
456,Feind::N,శత్రువు,eneber
457,Gewalt::N,దౌర్జన్యము,tâerder
458,Kampf::N,పోట్లాట,kann
459,Bogen[Waffe]::N,విల్లు,gwareg
460,Pfeil::N,బాణము,saezh
461,Gewehr::N,తుపాకి,fuzuilh
462,Fehler::N,తప్ప,fazi
463,Lüge::N,అసత్యము,gaou
464,Schaden::N,నష్టము,gwall
465,Unglück::N,దురదృష్టము,gwalleur
466,Schuld::N,తప్పు,kablusted
467,Schuld::N,తప్పు,pec'hedigezh
468,Alter::N,వయస్సు,oad
469,Schluss::N,ముగింపు,diwezh
470,Zeit::N,కాలము,amzer
471,Tag::N,దినము,deizh
472,Morgen::N,ఉదయము,beure
473,Morgen::N,ఉదయము,mintin
474,Mittag::N,మధ్యాహ్నము,kreisteiz
475,Abend::N,సాయంకాలము,abardaez
476,Nacht::N,రత్రి,noz
477,Woche::N,వారము,sizhun
478,Monat::N,నెల,miz
479,Jahr::N,సంవత్సరము,bloaz
480,Frühling::N,వసంతకాలము,nevezamzer
481,Sommer::N,వేసవికాము,hañv
482,Herbst::N,ఆకురాలుకాలము,diskaramzer
483,Winter::N,శీతకాలము,goañv
484,Januar::N,జనవరి,Genver
485,Februar::N,ఫిబ్రవరి,C'hwevrer
486,März::N,మార్చి,Meurzh
487,April::N,ఏప్రిలు,Ebrel
488,Mai::N,మే,Mae
489,Juni::N,జూన్,Mezheven
490,Juli::N,జూలై,Gouhere
491,August::N,ఆగస్టు,Eost
492,September::N,సెప్ఠెంబరు,Gwengolo
493,Oktober::N,అక్టోబరు,Here
494,November::N,నవంబరు,Du
495,Dezember::N,డిసెంబర్,Kerzu
496,Montag::N,సోమవారము,Lun
497,Dienstag::N,మంగళవారము,Meurzh
498,Mittwoch::N,బుధవారము,Merc'her
499,Donnerstag::N,గురువారము,Yaou
500,Freitag::N,శుక్రవారము,Gwener
501,Samstag::N,శనివారము,Sadorn
502,Sonntag::N,ఆదివారము,Sul
503,groß::A,గొప్పైన,bras
504,klein::A,చిన్న,bihan
505,lang::A,పొడుగాటి,hir
506,kurz::A,పొట్టి,berr
507,breit::A,వెడల్పైన,ledan
508,schmal::A,ఇఱుకైన,strizh
509,dicht::A,దట్టమైన,stank
510,dick[Gegenstand]::A,దట్టమైన,tev
511,dünn::A,పలుచని,moan
512,fein::A,నాజాకైన,munut
513,fest::A,దృడమైవ,start
514,flach::A,చదువైన,plaen
515,glatt::A,నున్నని,lintr
516,glatt::A,నున్నని,levn
517,hart::A,కఠినమైన,kalet
518,weich::A,మృదువైన,blot
519,rund::A,గుండ్రని,ront
520,spitz::A,మొనగల,poentet
521,scharf::A,పదనైన,dremm
522,stumpf::A,వాడిలేని,talsoc'h
523,schwer::A,బరువ్తెన,pounner
524,schön::A,సుందరమైన,kaer
525,heiß::A,వేడియైన,tomm
526,warm::A,వెచ్చని,tomm
527,kalt::A,చల్లని,yen
528,kühl::A,చల్లని,yen
529,frisch::A,తాజాయైన,fresk
530,feucht::A,చెమ్మగానున్న,gleb
531,nass::A,తడిగామన్న,gleb
532,trocken::A,ఎండిన,sec'h
533,voll::A,నిండు,leun
534,leer::A,శూన్యమైన,goullo
535,offen::A,తెఱచియున్న,digor
536,geschlossen::A,మూసిన,serr
537,sauber::A,పరిశుద్ధమైన,naet
538,schmutzig::A,ముఱికియైన,lous
539,roh::A,పచ్చి,kriz
540,reif::A,పండివ,darev
541,lecker::A,రుచి గల,lipous
542,lecker::A,రుచి గల,saourus
543,süß::A,తియ్యని,dous
544,bitter::A,చేదైన,c'hwerv
545,sauer::A,పుల్లని,trenk
546,hell::A,కాంతిగల,sklaer
547,dunkel::A,చీకటియైన,teñval
548,schwarz::A,నల్లని,du
549,weiß::A,తెలుపు,gwenn
550,rot::A,ఎఱ్ఱని,ruz
551,gelb::A,పసుపు పచ్చ,melen
552,blau::A,నీలవర్ణము,glas
553,grün::A,ఆకుపచ్చని,gwer
554,grau::A,నెరిసిన,louet
555,bunt::A,రంగేలీ,liesliv
556,billig::A,చౌకయైన,marc'had-mat
557,teuer::A,వెలపొడుగైన,ker
558,wertvoll::A,విలుప్తెన,prizius
559,blind::A,గ్రుడ్డి,dall
560,taub::A,చెవిటి,bouzar
561,kräftig::A,శక్తి గల,start
562,stark::A,బలమైన,kreñv
563,schwach::A,బలహీనమైన,gwan
564,fett::A,క్రొవ్విన,lard
565,schlank::A,సన్నని,sinkl
566,hübsch::A,సాగప్తెన,koant
567,böse::A,చెడ్డ,gwall
568,dumm::A,తెలివిలేని,glep
569,faul::A,సోమరియైన,lezirek
570,fleißig::A,శ్రద్దగల,studius
571,geizig::A,పిసినారియైన,tost
572,klug::A,తెలివిగల,speredek
573,geschickt::A,నిపుణతగల,dornet
574,lieb::A,ప్రియమైన,koant
575,lustig::A,ఉల్లాసము గల,laouen
576,sanft::A,సాధువైన,flour
577,hungrig::A,ఆకలిగొనిన,marnaon
578,krank::A,వ్యాధిగల,klañv
579,nackt::A,దిగంబరమైన,noazh
580,traurig::A,విచారముగల,trist
581,lebendig::A,ప్రాణముతో నున్న,bev
582,gut::A,మంచి,mad
583,schlecht::A,చెడ్డ,fall
584,schlecht::A,చెడ్డ,gwall
585,richtig::A,సరియైన,reizh
586,schlimm::A,అసహ్యమైన,gwall
587,wahr::A,నిజమైన,gwir
588,alt::A,ముసలి,kozh
589,neu::A,క్రొత్త,nevez
590,ehemalig::A,పూర్వపు,kozh
591,alt[Lebewesen]::A,ముసలి,kozh
592,jung::A,పసి,yaouank
593,arm::A,బీద,paour
594,reich::A,ధనవంతుడైన,pinvidik
595,bekannt::A,తెలిసిన,anavezet
596,berühmt::A,ప్రపిద్దికెక్కివ,brudet
597,fremd::A,అన్యమైన,dizanav
598,verschieden::A,భేదమైన,disheñel
599,nah::A,దగ్గఱనున్న,nes
600,fern::A,దూరమందున్న,diabell
601,linker::A,ఎడమప్రక్కగ,kleiz
602,rechter::A,కుడి,dehoù
603,anderer::A,వేఱ్తెన,all
604,erster::A,మొదటి,kentañ
605,zweiter::A,రెండన,eil
606,dritter::A,మూడో,trede
607,letzter::A,కడపటి,diwezhañ
608,allein::ADV,ఒంటిగా,e-unan
609,auf einmal::ADV,హరాత్తుగ,ar un dro
610,zusammen::ADV,కలిసి,asambles
611,lange::ADV,బహుకాలము,pell
612,plötzlich::ADV,హరాత్తుగ,en un taol
613,sofort::ADV,తక్షణము,diouzhtu
614,später::ADV,ఇటీవలి,diwezhatoc'h
615,jetzt::ADV,ఇప్పుడు,bremañ
616,heute::ADV,నేడు,hiziv
617,morgen::ADV,ఱేపు,arc'hoazh
618,bald::ADV,శీఘ్రముగ,hepdale
619,dann::ADV,అప్పుడు,a-c'houde
620,gestern::ADV,నిన్నటి దినము,dec'h
621,einst::ADV,పూర్వమొకప్పుడు,gwechall
622,damals::ADV,అప్పుడు,neuze
623,danach::ADV,అప్పుడు,goude
624,vorher::ADV,ఎదుట,diagent
625,zuerst::ADV,మొదటిలో,da gentañ
626,einmal::ADV,ఒకసారి,ur wech
627,manchmal::ADV,అప్పటప్పటికి,a-wechoù
628,oft::ADV,తఱచుగా,alies
629,immer::ADV,ఎల్లప్పుడు,atav
630,immer::ADV,ఎల్లప్పుడు,bepred
631,niemals::ADV,ఎప్పుడునులేదు,gwech ebet
632,hier::ADV,ఇక్కడ,amañ
633,hierhin::ADV,ఇక్కడకు,dre amañ
634,von hier::ADV,ఇక్కడనుండి,alemañ
635,dort::ADV,అక్కడ,aze
636,dort::ADV,అక్కడ,ahont
637,dorthin::ADV,అక్కడికి,di
638,dorthin::ADV,అక్కడికి,aze
639,dorthin::ADV,అక్కడికి,ahont
640,geradeaus::ADV,సూటిగా,war-eeun
641,vorwärts::ADV,ముందుకు,war-raok
642,rückwärts::ADV,వెనుకకు,war-lerc'h
643,zurück::ADV,వెనుకభాగము,war-dreñv
644,unten::ADV,క్రింద,en traoñ
645,hinab::ADV,కిందికి,a-izel
646,oben::ADV,మీద,en nec'h
647,hinauf::ADV,పైకి,e-krec'h
648,überall::ADV,అంతటా,dre-holl
649,nicht::ADV,కాదు,ne ... ket
650,ein wenig::ADV,కొంచెము,un tammig
651,kaum::ADV,చాలిచాలక,a-boan
652,sehr::ADV,చాల,-tre
653,sehr::ADV,చాల,-kenañ
654,so::ADV,ఆలాగున,evel-se
655,noch::ADV,ఇప్పటికిని,c'hoazh
656,nur::ADV,మాత్రము,hepken
657,schon::ADV,ఇదివఱకే,dija
658,wieder::ADV,తిరిగి,adarre
659,vergebens::ADV,నిష్ఫలముగా,
660,vor::PRP,ముందు,dirak
661,hinter::PRP,వెనుక,a-drek
662,hinter::PRP,వెనుక,a-dreñv
663,unter::PRP,క్రింద,dindan
664,durch::PRP,ద్వారా,dre
665,neben::PRP,దగ్గెర,e-kichen
666,zwischen::PRP,మధ్య,etre
667,wegen::PRP,కారణంగా,abalamour da
668,dies::PRN,ఇది,hemañ
669,das::PRN,అది,se
670,das::PRN,అది,hennezh
671,alles::PRN,సకలము,pep tra
672,ich::PRN,నేను,me
673,du::PRN,నీవు,te
674,er::PRN,అతడు,eñ
675,wir::PRN,మనము,ni
676,ihr::PRN,మీరు,c'hwi
677,sie::PRN,వారు,int
678,was::FPRN,ఏమి,petra
679,wer::FPRN,ఎవడు,piv
680,wo::FADV,ఎక్కడ,pelec'h
681,wohin::FADV,ఎందుకు,da belec'h
682,wie::FADV,ఎట్టు,penaos
683,warum::FADV,ఏల,perak
684,wieviel::FNUM,ఎంత,pet
685,eins::NUM,ఒకటి,unan
686,zwei::NUM,రెండు,daou
687,drei::NUM,మూడు,tri
688,vier::NUM,నాలుగు,pevar
