,Concept_ID,no,fa
122,Hügel::N,haug,تپه
123,Hügel::N,bakke,تل
124,Hügel::N,bakke,تپه
125,Anhöhe::N,haug,بلندی
126,Anhöhe::N,bakke,بلندی
127,Berg::N,berg,کوه
128,Berg::N,fjell,کوه
129,Gipfel::N,topp,قله
130,Höhle::N,hule,غار
131,Abhang::N,li,سرازیری
132,Abhang::N,skråning,سرازیری
133,Quelle::N,kilde,چشمه
134,Bach::N,bekk,نهر
135,Fluss::N,elv,رود
136,Ufer::N,bredd,ساحل
137,Ufer::N,bredd,کرانه
138,Küste::N,kyst,ساحل
139,Festland::N,fastland,خشکی
140,Meer::N,hav,دریا
141,Bucht::N,bukt,خلیج
142,Insel::N,øy,جزیره
143,Blume::N,blomst,گل
144,Gras::N,gress,علف
145,Wurzel::N,rot,ریشه
146,Baum::N,tre,درخت
147,Stamm::N,stamme,تنه
148,Rinde::N,bark,توژ
149,Rinde::N,bark,پوست
150,Ast::N,gren,شاخه
151,Zweig::N,kvist,شاخه
152,Blatt::N,blad,برگ
153,Birke::N,bjørk,غان
154,Kiefer[Baum]::N,furu,کاج
155,Weide[Baum]::N,selje,بید
156,Weide[Baum]::N,piletre,بید
157,Tanne::N,gran,صنوبر
158,Horn::N,horn,شاخ
159,Feder::N,fjær,پر
160,Fell::N,skinn,خز
161,Flügel::N,vinge,پر
162,Flügel::N,vinge,بال
163,Klaue::N,klauv,چنگ
164,Klaue::N,klauv,پنجه
165,Kralle::N,klo,پنجه
166,Schwanz::N,hale,دم
167,Ei::N,egg,تخم
168,Nest::N,rede,لانه
169,Bau::N,hi,بنا
170,Bau::N,hi,ساختمان
171,Tier::N,dyr,هیوان
172,Herde::N,flokk,رمه
173,Kuh::N,ku,گاو
174,Bulle::N,tyr,گاو نر
175,Pferd::N,hest,اسب
176,Schaf::N,får,گوسفند
177,Schwein::N,gris,خوک
178,Hund::N,hund,سگ
179,Katze::N,katt,گربه
180,Bär::N,bjørn,خرس
181,Eichhörnchen::N,ekorn,سنجاب
182,Elch::N,elg,گوزن شمالی
183,Fuchs::N,rev,روباه
184,Hase::N,hare,خرگوش
185,Maus::N,mus,موش
186,Wolf::N,ulv,گرگ
187,Wolf::N,varg,گرگ
188,Vogel::N,fugl,پرنده
189,Schwarm::N,sverm,دسته
190,Huhn::N,høne,مرغ
191,Hahn::N,hane,خروس
192,Gans::N,gås,غاز
193,Adler::N,ørn,عقاب
194,Ente::N,and,اردک
195,Ente::N,and,مرغابی
196,Eule::N,ugle,جغد
197,Kranich::N,trane,درنا
198,Krähe::N,kråke,زاغ
199,Krähe::N,kråke,کلاغ
200,Kuckuck::N,gjøk,فاخته
201,Schwan::N,svane,قو
202,Fisch::N,fisk,ماهی
203,Barsch::N,abbor,ماهی خاردار
204,Hecht::N,gjedde,اردک ماهی
205,Schlange[Tier]::N,orm,مار
206,Schlange[Tier]::N,slange,مار
207,Wurm::N,orm,کرم
208,Wurm::N,mark,کرم
209,Spinne::N,edderkopp,عنکبوت
210,Ameise::N,maur,مورچه
211,Laus::N,lus,شپش
212,Mücke::N,mygg,پشه
213,Fliege::N,flue,مگس
214,Schmetterling::N,sommerfugl,پروانه
215,Beere::N,bær,گیله
216,Apfel::N,eple,سیب
217,Pilz::N,sopp,قارچ
218,Zwiebel::N,løk,پیاز
219,Saat::N,sæd,بذر
220,Korn::N,korn,تخم
221,Korn::N,korn,دانه
222,Heu::N,høy,علف خشک
223,Schale::N,skall,پوست
224,Grube::N,grop,گودال
225,Falle::N,felle,دام
226,Schlinge::N,snare,حلقه
227,Spur::N,spor,رد
228,Asche::N,aske,خاکستر
229,Dreck::N,møkk,کثافت
230,Dreck::N,skitt,کثافت
231,Eisen::N,jern,آهن
232,Gold::N,gull,زر
233,Gold::N,gull,طلا
234,Silber::N,sølv,نقره
235,Kohle::N,kol,زغال
236,Kohle::N,kull,زغال
237,Glas::N,glass,شیشه
238,Lehm::N,leire,گل
239,Sand::N,sand,شن
240,Sand::N,sand,ماسه
241,Mensch::N,menneske,آدم
242,Mensch::N,menneske,انسان
243,Mann::N,mann,مرد
244,Frau::N,kvinne,زن
245,Kind::N,barn,بچه
246,Kind::N,barn,کودک
247,Junge::N,gutt,پسر
248,Mädchen::N,pike,دختر
249,Mädchen::N,jente,دختر
250,Familie::N,familie,فامیل
251,Familie::N,familie,خانواده
252,Großvater::N,bestefar,پدربزرگ
253,Großmutter::N,bestemor,مادر‌بزرگ
254,Eltern::N,foreldre,والدین
255,Eltern::N,foreldre,پدر‌و‌مادر
256,Vater::N,far,پدر
257,Mutter::N,mor,مادر
258,Sohn::N,sønn,پسر
259,Tochter::N,datter,دختر
260,Bruder::N,bror,برادر
261,Schwester::N,søster,خواهر
262,Onkel::N,onkel,عمو
263,Onkel::N,onkel,دایی
264,Tante::N,tante,عمه
265,Tante::N,tante,خاله
266,Ehemann::N,ektemann,همسر
267,Ehefrau::N,hustru,همسر
268,Freude::N,glede,شادی
269,Gelächter::N,latter,خنده
270,Gelächter::N,latter,قاه‌قاه
271,Glück::N,lykke,اقبال
272,Kummer::N,sorg,غم
273,Kummer::N,sorg,غصه
274,Wunsch::N,ønske,آرزو
275,Lust::N,lyst,هوس
276,Geist::N,ånd,روح
277,Gedanke::N,tanke,فکر
278,Gedächtnis::N,minne,حافظه
279,Gedächtnis::N,hukommelse,حافظه
280,Verstand::N,forstand,هوش
281,Sinn::N,mening,معنا
282,Sinn::N,mening,مفهوم
283,Sinn::N,betydning,معنا
284,Sinn::N,betydning,مفهوم
285,Grund::N,grunn,سبب
286,Grund::N,grunn,دلیل
287,Wahrheit::N,sannhet,حقیقت
288,Gespräch::N,samtale,صحبت
289,Gespräch::N,samtale,گفتگو
290,Märchen::N,eventyr,قصه
291,Märchen::N,eventyr,افسانه
292,Erzählung::N,fortelling,داستان
293,Nachricht::N,melding,خبر
294,Neuigkeit::N,nyhet,خبر تازه
295,Name::N,navn,اسم
296,Rätsel::N,gåte,معما
297,Rede::N,tale,سخن
298,Sprache::N,språk,زبان
299,Stimme::N,stemme,صدا
300,Wort::N,ord,کلمه
301,Zeichen::N,tegn,نشان
302,Zeichen::N,tegn,علامت
303,Ruf::N,rop,صدا
304,Lärm::N,bråk,هیاهو
305,Laut::N,lyd,صدا
306,Ton::N,tone,آهنگ
307,Lied::N,vise,آواز
308,Lied::N,vise,ترانه
309,Ruhe::N,ro,آرامش
310,Leute::N,folk,مردم
311,Volk::N,folk,خلق
312,Arbeit::N,arbeid,کار
313,Gast::N,gjest,مهمان
314,Geschenk::N,gave,هدیه
315,Spiel::N,lek,بازی
316,Spiel::N,spill,بازی
317,Gesellschaft::N,selskap,جمعیت
318,Hilfe::N,hjelp,کمک
319,Freund::N,venn,دوست
320,Kamerad::N,kamerat,رفیق
321,Angelegenheit::N,sak,امر
322,Angelegenheit::N,sak,قضیه
323,Angelegenheit::N,anliggende,امر
324,Angelegenheit::N,anliggende,قضیه
325,Anzahl::N,antall,عده
326,Anzahl::N,antall,شمار
327,Art::N,art,نوع
328,Art::N,slag,نوع
329,Stück::N,stykke,تکه
330,Stück::N,stykke,قطعه
331,Teil::N,del,بخش
332,Teil::N,del,قسمت
333,Hälfte::N,halvdel,نیم
334,Kreis::N,ring,حلقه
335,Kreis::N,ring,دایره
336,Kreis::N,sirkel,حلقه
337,Kreis::N,sirkel,دایره
338,Kreuz::N,kors,صلیب
339,Kreuz::N,kryss,صلیب
340,Linie::N,linje,خط
341,Linie::N,linje,سطر
342,Strich::N,strek,خط
343,Abstand::N,avstand,فاصله
344,Entfernung::N,avstand,مسافت
345,Gegend::N,strøk,منطقه
346,Platz::N,plass,گنجایش
347,Ort::N,sted,جا
348,Ort::N,sted,محل
349,Ort::N,sted,مکان
350,Seite::N,side,طرف
351,Mitte::N,midte,وسط
352,Mitte::N,midte,میان
353,Gegenstand::N,gjenstand,چیز
354,Sache::N,sak,چیز
355,Rand::N,rand,کنار
356,Rand::N,rand,حاشیه
357,Kante::N,kant,لبه
358,Ecke::N,hjørne,گوشه
359,Spitze::N,spiss,سر
360,Spitze::N,spiss,نوک
361,Ende::N,ende,ته
362,Ende::N,ende,آخر
363,Loch::N,hull,سوراخ
364,Winkel::N,vinkel,کنج
365,Muster::N,mønster,نقش
366,Größe::N,størrelse,قد
367,Größe::N,størrelse,بزرگی
368,Länge::N,lengde,طول
369,Höhe::N,høyde,بلندی
370,Gewicht::N,vekt,وزن
371,Menge::N,mengde,مقدار
372,Menge::N,mengde,اندازه
373,Haufen::N,haug,توده
374,Haufen::N,bunke,توده
375,Reihe::N,rekke,ردیف
376,Boot::N,båt,قایق
377,Ruder::N,åre,پارو
378,Schlitten::N,slede,سورتمه
379,Schlitten::N,kjelke,سورتمه
380,Ski::N,ski,اسکی
381,Lagerfeuer::N,leirbål,آتش
382,Last::N,bør,بار
383,Last::N,bør,سنگینی
384,Last::N,last,بار
385,Last::N,last,سنگینی
386,Gang::N,gang,راه رفتن
387,Schritt::N,steg,قدم
388,Schritt::N,skritt,قدم
389,Norden::N,nord,شمال
390,Süden::N,sør,جنوب
391,Westen::N,vest,غرب
392,Osten::N,øst,شرق
393,Holz::N,tre,چوب
394,Brett::N,fjøl,تخته
395,Brett::N,brett,تخته
396,Platte::N,plate,صفحه
397,Stütze::N,støtte,تکیه
398,Stange::N,stang,میله
399,Stock::N,pinne,چوب
400,Stab::N,stav,عصا
401,Stab::N,kjepp,عصا
402,Rohr::N,rør,لوله
403,Haus::N,hus,منزل
404,Heim::N,hjem,خانه
405,Heim::N,hjem,کاشانه
406,Ofen::N,ovn,بخاری
407,Fußboden::N,gulv,کف اتاق
408,Tisch::N,bord,میز
409,Stuhl::N,stol,صندلی
410,Wiege::N,vogge,گهواره
411,Bett::N,seng,تختخواب
412,Regal::N,reol,قفسه
413,Regal::N,hylle,قفسه
414,Kiste::N,kasse,صندوق
415,Fenster::N,vindu,پنجره
416,Tür::N,dør,در
417,Tür::N,dør,درب
418,Tor::N,port,دروازه
419,Zaun::N,gjerde,حصار
420,Dach::N,tak,بام
421,Leiter::N,stige,نردبان
422,Besen::N,kost,جارو
423,Spaten::N,spade,بیل
424,Schaufel::N,skuffe,بیل
425,Schaufel::N,skuffe,پارو
426,Gabel::N,gaffel,چنگال
427,Löffel::N,skje,قاشق
428,Messer::N,kniv,کارد
429,Nagel::N,spiker,میخ
430,Netz::N,nett,تور
431,Netz::N,nett,شبکه
432,Haken::N,krok,قلاب
433,Griff::N,tak,دسته
434,Griff::N,håndtak,دسته
435,Schloss::N,lås,قفل
436,Bild::N,bilde,عکس
437,Bild::N,bilde,تصویر
438,Figur::N,figur,تندیس
439,Puppe::N,dukke,عروسک
440,Beutel::N,pose,کیسه
441,Bündel::N,bylt,بسته
442,Tasche::N,veske,کیف
443,Eimer::N,bøtte,سطل
444,Deckel::N,lokk,در
445,Geschirr::N,kjøkkentøy,ظرف
446,Sack::N,sekk,گونی
447,Tasse::N,kopp,فنجان
448,Topf::N,gryte,دیگ
449,Topf::N,gryte,قابلمه
450,Kessel::N,kjele,دیگ
451,Essen::N,mål,خوراک
452,Nahrung::N,mat,غذا
453,Nahrung::N,næring,غذا
454,Speise::N,matrett,خوراک
455,Fleisch::N,kjøtt,گوشت
456,Getreide::N,korn,غله
457,Brei::N,grøt,فرنی
458,Brei::N,grøt,حریره
459,Brot::N,brød,نان
460,Scheibe::N,skive,قاچ
461,Scheibe::N,skive,لزگه
462,Fett::N,fett,چربی
463,Butter::N,smør,کره
464,Öl::N,olje,روغن
465,Salz::N,salt,نمک
466,Suppe::N,suppe,آش
467,Suppe::N,suppe,سوپ
468,Honig::N,honning,عسل
469,Milch::N,melk,شیر
470,Tee::N,te,چای
471,Leder::N,lær,چرم
472,Leder::N,skinn,چرم
473,Wolle::N,ull,پشم
474,Stoff::N,tøy,پارچه
475,Stoff::N,stoff,پارچه
476,Nadel::N,nål,سوزن
477,Faden::N,tråd,نخ
478,Knopf::N,knapp,دکمه
479,Knoten::N,knute,گره
480,Farbe::N,farge,رنگ
481,Kleidung::N,påkledning,لباس
482,Kleidung::N,påkledning,پوشاک
483,Hemd::N,skjorte,پیراهن
484,Kragen::N,krage,یقه
485,Ärmel::N,erme,آستین
486,Hose::N,bukse,شلوار
487,Gürtel::N,belte,کمر‌بند
488,Mütze::N,lue,کلاه
489,Schuh::N,sko,کفش
490,Stiefel::N,støvel,چکمه
491,Ring::N,ring,حلقه
492,Ring::N,ring,انگشتر
493,Band::N,band,نوار
494,Band::N,band,روبان
495,Kamm::N,kam,شانه
496,Spiegel::N,speil,آینه
497,Riemen::N,rem,تسمه
498,Schnur::N,snor,ریسمان
499,Leine::N,line,قلاده
500,Decke::N,teppe,پتو
501,Kissen::N,pute,بالش
502,Tuch::N,tøy,شال
503,Handtuch::N,håndkle,حوله
504,Kraft::N,kraft,نیرو
505,Stärke::N,styrke,زور
506,Gesundheit::N,helse,سلامتی
507,Gesundheit::N,helse,تندرستی
508,Gesundheit::N,sunnhet,سلامتی
509,Gesundheit::N,sunnhet,تندرستی
510,Krankheit::N,syke,بیماری
511,Krankheit::N,sykdom,بیماری
512,Schmerz::N,smerte,درد
513,Wunde::N,sår,زخم
514,Fieber::N,feber,تب
515,Arznei::N,medisin,دارو
516,Arznei::N,legemiddel,دارو
517,Brücke::N,bro,پل
518,Brunnen::N,brønn,چاه
519,Weide::N,beite,چراگاه
520,Pfad::N,sti,راه
521,Weg::N,vei,راه
522,Weg::N,vei,طریق
523,Straße::N,gate,راه
524,Straße::N,gate,جاده
525,Dorf::N,landsby,ده
526,Dorf::N,landsby,روستا
527,Stadt::N,by,شهر
528,Brief::N,brev,نامه
529,Buch::N,bok,کتاب
530,Buchstabe::N,bokstav,حرف
531,Zeitung::N,avis,روزنامه
532,Leben::N,liv,عمر
533,Leben::N,liv,زندگی
534,Tod::N,død,مرگ
535,Grab::N,grav,گور
536,Grab::N,grav,مزار
537,Kirche::N,kirke,کلیسا
538,Sünde::N,synd,بزه
539,Sünde::N,synd,گناه
540,Gott::N,gud,خدا
541,Arbeiter::N,arbeider,کارگر
542,Chef::N,sjef,رئیس
543,Meister::N,mester,استاد
544,Arzt::N,lege,پزشک
545,Lehrer::N,lærer,معلم
546,Lehrer::N,lærer,آموزگار
547,Geld::N,penger,پول
548,Geschäft::N,forretning,کار
549,Geschäft::N,forretning,بیزنس
550,Laden::N,butikk,دکان
551,Laden::N,butikk,مغازه
552,Preis::N,pris,بها
553,Preis::N,pris,قیمت
554,Ware::N,vare,جنس
555,Ware::N,vare,کالا
556,Nutzen::N,nytte,مزیت
557,Nutzen::N,nytte,امتیاز
558,Reichtum::N,rikdom,مال
559,Reichtum::N,rikdom,ثروت
560,Welt::N,verden,دنیا
561,Land::N,land,کشور
562,Land::N,land,مملکت
563,Staat::N,stat,دولت
564,König::N,konge,شاه
565,König::N,konge,پادشاه
566,Macht::N,makt,قدرت
567,Macht::N,makt,اختیار
568,Grenze::N,grense,مرز
569,Krieg::N,krig,جنگ
570,Feind::N,fiende,دشمن
571,Gewalt::N,vold,زور
572,Gewalt::N,vold,خشونت
573,Kampf::N,kamp,نبرد
574,Kampf::N,kamp,مبارزه
575,Bogen[Waffe]::N,bue,کمان
576,Pfeil::N,pil,تیر
577,Gewehr::N,gevær,تفنگ
578,Fehler::N,feil,غلط
579,Fehler::N,feil,اشتباه
580,Lüge::N,løgn,دروغ
581,Schaden::N,skade,آسیب
582,Schaden::N,skade,خسارت
583,Unglück::N,uhell,بلا
584,Schuld::N,skyld,گناه
585,Schuld::N,skyld,تقصیر
586,Alter::N,alder,سن
587,Alter::N,alder,عمر
588,Schluss::N,slutt,انتها
589,Zeit::N,tid,وقت
590,Zeit::N,tid,زمان
591,Tag::N,dag,روز
592,Morgen::N,morgen,صبح
593,Mittag::N,middag,ظهر
594,Abend::N,aften,شب
595,Abend::N,aften,عصر
596,Nacht::N,natt,شب
597,Woche::N,uke,هفته
598,Monat::N,måned,ماه
599,Jahr::N,år,سال
600,Frühling::N,vår,بهار
601,Sommer::N,sommer,تابستان
602,Herbst::N,høst,پاییز
603,Winter::N,vinter,زمستان
604,Januar::N,januar,ژانویه
605,Februar::N,februar,فوریه
606,März::N,mars,مارس
607,April::N,april,آوریل
608,Mai::N,mai,مه
609,Juni::N,juni,ژوئن
610,Juli::N,juli,ژویه
611,August::N,august,اوت
612,September::N,september,سپتامبر
613,Oktober::N,oktober,اکتبر
614,November::N,november,نوامبر
615,Dezember::N,desember,دسامبر
616,Montag::N,mandag,دو‌شنبه
617,Dienstag::N,tirsdag,سه‌شنبه
618,Mittwoch::N,onsdag,چهار‌شنبه
619,Donnerstag::N,torsdag,پنج شنبه
620,Freitag::N,fredag,جمعه
621,Samstag::N,lørdag,شنبه
622,Sonntag::N,søndag,یکشنبه
623,groß::A,stor,بزرگ
624,klein::A,liten,کوچک
625,lang::A,lang,بلند
626,kurz::A,kort,کوتاه
627,breit::A,bred,پهن
628,schmal::A,smal,تنگ
629,schmal::A,smal,نازک
630,dicht::A,tett,چگال
631,dicht::A,tett,انبوه
632,dick[Gegenstand]::A,tykk,ضخیم
633,dünn::A,tynn,نازک
634,fein::A,fin,ریز
635,fein::A,fin,باریک
636,fest::A,fast,محکم
637,flach::A,flat,صاف
638,flach::A,flat,مسطح
639,glatt::A,glatt,لیز
640,hart::A,hard,سفت
641,weich::A,myk,نرم
642,weich::A,myk,ملایم
643,weich::A,bløt,نرم
644,weich::A,bløt,ملایم
645,rund::A,rund,گرد
646,spitz::A,spiss,تیز
647,spitz::A,spiss,نوک‌تیز
648,scharf::A,kvass,تیز
649,scharf::A,kvass,برنده
650,stumpf::A,stubb,کند
651,schwer::A,tung,سنگین
652,schön::A,pen,زیبا
653,schön::A,vakker,زیبا
654,heiß::A,het,داغ
655,warm::A,varm,گرم
656,kalt::A,kald,سرد
657,kühl::A,kjølig,خنک
658,frisch::A,fersk,تازه
659,feucht::A,fuktig,مرطوب
660,nass::A,våt,تر
661,nass::A,våt,خیش
662,trocken::A,tørr,خشک
663,voll::A,full,پر
664,leer::A,tom,خالی
665,offen::A,åpen,باز
666,geschlossen::A,lukket,بسته
667,sauber::A,ren,پاک
668,sauber::A,ren,تمیز
669,schmutzig::A,skitten,کثیف
670,schmutzig::A,skitten,آلوده
671,roh::A,rå,خام
672,reif::A,moden,رسیده
673,lecker::A,lekker,لذیذ
674,lecker::A,lekker,خوشمزه
675,süß::A,søt,شیرین
676,bitter::A,besk,تلخ
677,bitter::A,bitter,تلخ
678,sauer::A,sur,ترش
679,hell::A,lys,روشن
680,dunkel::A,mørk,تاریک
681,schwarz::A,svart,سیاه
682,weiß::A,hvit,سفید
683,rot::A,rød,سرخ
684,rot::A,rød,قرمز
685,gelb::A,gul,زرد
686,blau::A,blå,آبی
687,grün::A,grønn,سبز
688,grau::A,grå,طوسی
689,grau::A,grå,خاکستری
690,bunt::A,broket,رنگارنگ
691,billig::A,billig,ارزان
692,teuer::A,dyr,گران
693,wertvoll::A,verdifull,قیمتی
694,wertvoll::A,verdifull,گرانبها
695,blind::A,blind,کور
696,blind::A,blind,نابینا
697,taub::A,døv,کر
698,taub::A,døv,ناشنوا
699,kräftig::A,kraftig,قوی
700,stark::A,sterk,قوی
701,stark::A,sterk,نیرومند
702,schwach::A,svak,ضعیف
703,fett::A,fet,چرب
704,schlank::A,slank,باریک‌اندام
705,hübsch::A,pen,قشنگ
706,hübsch::A,pen,خوشگل
707,böse::A,slem,بد
708,dumm::A,dum,احمق
709,faul::A,lat,لش
710,faul::A,lat,تنبل
711,faul::A,doven,لش
712,faul::A,doven,تنبل
713,fleißig::A,flittig,زرنگ
714,geizig::A,gjerrig,خسیس
715,klug::A,klok,عاقل
716,klug::A,klok,باهوش
717,geschickt::A,hendig,ماهر
718,geschickt::A,skikket,ماهر
719,lieb::A,kjær,عزیز
720,lieb::A,snill,عزیز
721,lustig::A,morsom,شاد
722,lustig::A,morsom,خوشحال
723,sanft::A,blid,لطیف
724,hungrig::A,sulten,گرسنه
725,krank::A,syk,مریض
726,krank::A,syk,بیمار
727,nackt::A,naken,لخت
728,nackt::A,naken,برهنه
729,traurig::A,sørgmodig,غمگین
730,lebendig::A,levende,زنده
731,gut::A,god,خوب
732,schlecht::A,dårlig,بد
733,richtig::A,riktig,درست
734,schlimm::A,slem,وخيم
735,wahr::A,sann,درست
736,wahr::A,sann,حقیقی
737,alt::A,gammel,کهنه
738,neu::A,ny,نو
739,ehemalig::A,forhenværende,قبلی
740,alt[Lebewesen]::A,gammel,پیر
741,jung::A,ung,جوان
742,arm::A,fattig,فقیر
743,reich::A,rik,پولدار
744,reich::A,rik,ثروتمند
745,bekannt::A,kjent,آشنا
746,bekannt::A,kjent,معلوم
747,berühmt::A,berømt,مشهور
748,fremd::A,fremmed,خارجی
749,fremd::A,fremmed,بیگانه
750,verschieden::A,forskjellig,مختلف
751,verschieden::A,forskjellig,متفاوت
752,nah::A,nær,نزدیک
753,fern::A,fjern,دور
754,linker::A,venstre,چپ
755,rechter::A,høyre,راست
756,anderer::A,annen,دیگر
757,erster::A,første,اول
758,zweiter::A,annen,دوم
759,dritter::A,tredje,سوم
760,letzter::A,sist,آخر
761,allein::ADV,alene,تنها
762,auf einmal::ADV,med ett,همزمان
763,zusammen::ADV,sammen,باهم
764,lange::ADV,lenge,مدت‌ها
765,lange::ADV,lenge,مدت زیادی
766,plötzlich::ADV,plutselig,ناگهان
767,sofort::ADV,straks,فوراً
768,später::ADV,senere,بعدها
769,jetzt::ADV,nå,حالا
770,jetzt::ADV,nå,اکنون
771,heute::ADV,i dag,امروز
772,morgen::ADV,i morgen,فردا
773,bald::ADV,snart,زود
774,bald::ADV,snart,بزودی
775,dann::ADV,så,سپس
776,dann::ADV,så,آنوقت
777,gestern::ADV,i går,دیروز
778,einst::ADV,engang,وقتی
779,einst::ADV,engang,زمانی
780,damals::ADV,den gang,آنوقت
781,damals::ADV,den gang,آنزمان
782,danach::ADV,deretter,بعد
783,vorher::ADV,før,قبلاً
784,vorher::ADV,i forveien,قبلاً
785,zuerst::ADV,først,اول
786,zuerst::ADV,først,ابتداء
787,einmal::ADV,en gang,یکدفعه
788,manchmal::ADV,somme tider,گاهی
789,manchmal::ADV,somme tider,بعضی اوقات
790,oft::ADV,ofte,اغلب
791,immer::ADV,alltid,همیشه
792,niemals::ADV,aldri,هرگز
793,hier::ADV,her,اینجا
794,hierhin::ADV,hit,به اینجا
795,von hier::ADV,herfra,از اینجا
796,dort::ADV,der,آنجا
797,dorthin::ADV,dit,به آنجا
798,geradeaus::ADV,rett fram,راست
799,vorwärts::ADV,fram,جلو
800,vorwärts::ADV,fram,به پیش
801,vorwärts::ADV,framover,جلو
802,vorwärts::ADV,framover,به پیش
803,rückwärts::ADV,baklengs,عقب
804,zurück::ADV,tilbake,پس
805,zurück::ADV,tilbake,عقب
806,zurück::ADV,tilbake,بالعکس
807,unten::ADV,nede,زیر
808,unten::ADV,nede,پایین
809,hinab::ADV,ned,به پایین
810,hinab::ADV,nedover,به پایین
811,oben::ADV,oppe,بالا
812,oben::ADV,ovenpå,بالا
813,hinauf::ADV,opp,به بالا
814,hinauf::ADV,oppover,به بالا
815,überall::ADV,overalt,همه‌جا
816,nicht::ADV,ikke,نه
817,ein wenig::ADV,litt,کمی
818,kaum::ADV,neppe,به سختی
819,sehr::ADV,svært,خیلی
820,sehr::ADV,svært,بسیار
821,so::ADV,så,چنین
822,so::ADV,så,اینطور
823,noch::ADV,enda,هنوز
824,nur::ADV,bare,فقط
825,nur::ADV,bare,تنها
826,schon::ADV,alt,قبلاً
827,schon::ADV,alt,به این زودی
