,Concept_ID,da,vep
148,Bau::N,bo,uru
149,Tier::N,dyr,živat
150,Herde::N,flok,kogo
151,Kuh::N,ko,lehm
152,Bulle::N,tyr,härg
153,Pferd::N,hest,hebo
154,Schaf::N,får,lambaz
155,Schwein::N,gris,siga
156,Hund::N,hund,koir
157,Katze::N,kat,kaži
158,Bär::N,bjørn,kondi
159,Eichhörnchen::N,egern,orav
160,Elch::N,elg,hirb'
161,Fuchs::N,ræv,reboi
162,Hase::N,hare,jäniš
163,Maus::N,mus,hir'
164,Wolf::N,ulv,händikaz
165,Vogel::N,fugl,lind
166,Schwarm::N,sværm,parveh
167,Huhn::N,høne,kana
168,Hahn::N,hane,kukoi
169,Gans::N,gås,hanh'
170,Adler::N,ørn,orl
171,Ente::N,and,sorz
172,Eule::N,ugle,hir'pulo
173,Kranich::N,trane,kurg
174,Krähe::N,krage,variš
175,Kuckuck::N,gøg,kägi
176,Schwan::N,svane,joucen
177,Fisch::N,fisk,kala
178,Barsch::N,aborre,ahven
179,Hecht::N,gedde,haug'
180,Schlange[Tier]::N,slange,kü
181,Schlange[Tier]::N,slange,mado
182,Wurm::N,orm,mado
183,Spinne::N,edderkop,hämähouk
184,Ameise::N,myre,murahaine
185,Laus::N,lus,täi
186,Mücke::N,myg,säs'k
187,Fliege::N,flue,kärbhaine
188,Schmetterling::N,sommerfugl,lipkaine
189,Beere::N,bær,marj
190,Apfel::N,æble,jablok
191,Pilz::N,svamp,sen'
192,Pilz::N,svamp,babuk
193,Zwiebel::N,løg,lauk
194,Saat::N,sæd,semned
195,Korn::N,korn,jüvä
196,Korn::N,korn,vill'
197,Heu::N,hø,hein
198,Schale::N,skræl,kor'
199,Grube::N,grav,kop
200,Falle::N,fælde,rida
201,Schlinge::N,snare,rihm
202,Spur::N,spor,jäl'g
203,Asche::N,aske,tuhk
204,Dreck::N,snavs,redu
205,Dreck::N,snavs,pačak
206,Eisen::N,jern,raud
207,Gold::N,guld,kuld
208,Silber::N,sølv,hobed
209,Kohle::N,kul,hil'
210,Glas::N,glas,stökol
211,Lehm::N,ler,savi
212,Sand::N,sand,lete
213,Mensch::N,mennesge,mez'
214,Mensch::N,mennesge,ristit
215,Mann::N,mand,mez'
216,Frau::N,kvinde,naine
217,Kind::N,barn,laps'
218,Junge::N,dreng,poig
219,Junge::N,dreng,prihaine
220,Mädchen::N,pige,neičukaine
221,Familie::N,familie,kanz
222,Familie::N,familie,pereh
223,Großvater::N,bedstefar,ded
224,Großmutter::N,bedstemor,bab
225,Eltern::N,forældre,vanhembad
226,Eltern::N,forældre,kazvatajad
227,Vater::N,far,tat
228,Mutter::N,mor,mam
229,Sohn::N,søn,poig
230,Tochter::N,datter,tütär
231,Bruder::N,bror,veik
232,Bruder::N,bror,vell'
233,Schwester::N,søster,čiža
234,Schwester::N,søster,sizar
235,Onkel::N,onkel,däd'
236,Tante::N,tante,tädi
237,Ehemann::N,ægtemand,mužik
238,Ehefrau::N,hustru,ak
239,Freude::N,glæde,ilo
240,Freude::N,glæde,ihastuz
241,Gelächter::N,latter,nagr
242,Glück::N,lykke,oza
243,Kummer::N,sorg,gor'a
244,Wunsch::N,ønske,taht
245,Lust::N,lyst,himo
246,Geist::N,ånd,heng
247,Gedanke::N,tanke,meletuz
248,Gedächtnis::N,hukommelse,mušt
249,Verstand::N,forstand,mel'
250,Sinn::N,mening,jüvä
251,Sinn::N,betydning,jüvä
252,Grund::N,grund,sü
253,Wahrheit::N,sandhed,tozi
254,Gespräch::N,samtale,lodu
255,Gespräch::N,samtale,pagin
256,Märchen::N,eventyr,sarn
257,Erzählung::N,fortælling,sanutez
258,Nachricht::N,efterretning,tedotuz
259,Neuigkeit::N,nyhed,uzištuz
260,Name::N,navn,nimi
261,Rätsel::N,gåde,ozoitez
262,Rede::N,tale,pagin
263,Rede::N,tale,sanad
264,Sprache::N,sprog,kel'
265,Stimme::N,stemme,än'
266,Wort::N,ord,sana
267,Zeichen::N,tegn,znam
268,Ruf::N,råb,kida
269,Ruf::N,råb,kucund
270,Lärm::N,larm,judu
271,Laut::N,lyd,kulund
272,Ton::N,tone,kulund
273,Lied::N,sang,pajo
274,Ruhe::N,ro,lebu
275,Ruhe::N,hvile,lebu
276,Leute::N,folk,rahvaz
277,Leute::N,mennesker,rahvaz
278,Volk::N,folk,rahvaz
279,Arbeit::N,arbejde,tö
280,Arbeit::N,arbejde,rad
281,Gast::N,gæst,adiv
282,Geschenk::N,gave,lahj
283,Spiel::N,leg,vänd
284,Gesellschaft::N,selskab,sebr
285,Hilfe::N,hjælp,abu
286,Freund::N,ven,sebranik
287,Kamerad::N,kammerat,sebranik
288,Angelegenheit::N,sag,azj
289,Angelegenheit::N,anliggende,azj
290,Anzahl::N,antal,lugu
291,Art::N,art,rod
292,Art::N,art,rodsugu
293,Stück::N,stykke,pala
294,Stück::N,stykke,supal
295,Teil::N,del,pala
296,Hälfte::N,halvdel,pol'
297,Kreis::N,cirkel,ümbruz
298,Kreis::N,cirkel,kehkruz
299,Kreuz::N,kors,rist
300,Kreuz::N,kryds,rist
301,Linie::N,linie,pird
302,Strich::N,streg,pird
303,Abstand::N,afstand,keskust
304,Entfernung::N,afstand,matk
305,Gegend::N,egn,taho
306,Platz::N,plads,avaruz'
307,Ort::N,sted,koht
308,Seite::N,side,pol'
309,Seite::N,side,kül'g
310,Mitte::N,midte,kesk
311,Gegenstand::N,genstand,kalu
312,Sache::N,sag,azj
313,Rand::N,rand,röun
314,Kante::N,kant,röun
315,Ecke::N,hjørne,saum
316,Spitze::N,spids,agjaine
317,Ende::N,ende,agj
318,Loch::N,hul,reig
319,Winkel::N,vinkel,čoga
320,Winkel::N,vinkel,saum
321,Muster::N,mønster,kirjam
322,Größe::N,størrelse,suruz'
323,Länge::N,længde,piduz
324,Höhe::N,højde,korktuz'
325,Gewicht::N,vægt,jügu
326,Gewicht::N,vægt,vedäduz
327,Menge::N,mængde,äjüz'
328,Haufen::N,bunke,kogo
329,Reihe::N,række,rivi
330,Boot::N,båd,veneh
331,Ruder::N,åre,air
332,Schlitten::N,kælk,regi
333,Schlitten::N,kælk,regut
334,Schlitten::N,slæde,regi
335,Schlitten::N,slæde,regut
336,Ski::N,ski,suks'
337,Lagerfeuer::N,lejrbål,nodj
338,Lagerfeuer::N,lejrbål,pažag
339,Last::N,last,jüguz
340,Last::N,byrde,jüguz
341,Gang::N,gang,astund
342,Schritt::N,skridt,hašk
343,Norden::N,nord,pohjoine
344,Süden::N,syd,suvi
345,Westen::N,vest,päivlaskm
346,Osten::N,øst,päivnouzm
347,Holz::N,træ,pu
348,Brett::N,bræt,laud
349,Platte::N,plade,keitim
350,Stütze::N,støtte,tugi
351,Stange::N,stang,arz'
352,Stock::N,stok,kalu
353,Stab::N,stav,seibaz
354,Rohr::N,rør,torv
355,Haus::N,hus,pert'
356,Heim::N,hjem,kodi
357,Ofen::N,ovn,päč
358,Fußboden::N,gulv,lava
359,Tisch::N,bord,laud
360,Tisch::N,bord,stal'c
361,Stuhl::N,stol,ištim
362,Wiege::N,vugge,kätte
363,Bett::N,seng,sija
364,Bett::N,seng,magaduzsija
365,Regal::N,reol,palič
366,Kiste::N,kasse,mülütim
367,Fenster::N,vindue,ikun
368,Tür::N,dør,uks'
369,Tor::N,port,verai
370,Zaun::N,stakit,aid
371,Dach::N,tag,katuz
372,Leiter::N,stige,pordhad
373,Besen::N,kost,lud
374,Besen::N,kost,vast
375,Spaten::N,spade,labid
376,Schaufel::N,skovl,labid
377,Gabel::N,gaffel,hangoine
378,Löffel::N,ske,luzik
379,Messer::N,kniv,veič
380,Nagel::N,søm,nagl
381,Netz::N,net,verk
382,Haken::N,krog,kouk
383,Griff::N,tag,kägä
384,Griff::N,tag,varz'
385,Griff::N,håndtag,kägä
386,Griff::N,håndtag,varz'
387,Schloss::N,lås,lukkol
388,Bild::N,billede,kuva
389,Figur::N,figur,figur
390,Puppe::N,dukke,tätüine
391,Beutel::N,pose,havad
392,Bündel::N,bylt,toppaz
393,Bündel::N,bylt,käč
394,Bündel::N,bundt,toppaz
395,Bündel::N,bundt,käč
396,Tasche::N,taske,sumk
397,Eimer::N,spand,vädr
398,Deckel::N,låg,katuz
399,Geschirr::N,husgeråd,astii
400,Sack::N,sæk,havad
401,Tasse::N,kop,čašk
402,Topf::N,gryde,pada
403,Kessel::N,kedel,katil
404,Essen::N,måltid,sönd
405,Nahrung::N,mad,söm
406,Nahrung::N,næring,söm
407,Speise::N,ret,sömine
408,Fleisch::N,kød,liha
409,Getreide::N,korn,vill'
410,Brei::N,grød,pudr
411,Brot::N,brød,leib
412,Scheibe::N,skive,bibaleh
413,Scheibe::N,skive,šlik
414,Fett::N,fedt,razv
415,Butter::N,smør,voi
416,Öl::N,olie,voi
417,Salz::N,salt,sol
418,Suppe::N,suppe,lem'
419,Suppe::N,suppe,keitoz
420,Honig::N,honning,mezi
421,Milch::N,mælk,maid
422,Tee::N,te,čai
423,Leder::N,skind,nahk
424,Wolle::N,uld,vill
425,Stoff::N,stof,kangaz
426,Nadel::N,nål,negl
427,Faden::N,tråd,nit'
428,Knopf::N,knap,nübl'
429,Knoten::N,knude,sol'm
430,Farbe::N,farve,muju
431,Kleidung::N,påklædning,sobad
432,Hemd::N,skjorte,paid
433,Kragen::N,krave,kagluz
434,Ärmel::N,ærme,hijam
435,Hose::N,bukser,štanad
436,Gürtel::N,bælte,vö
437,Mütze::N,hue,šapuk
438,Schuh::N,sko,keng'
439,Stiefel::N,støvle,sapug
440,Ring::N,ring,rengaz
441,Band::N,bånd,lentaine
442,Kamm::N,kam,suga
443,Spiegel::N,spejl,zerkol
444,Riemen::N,rem,vö
445,Schnur::N,snor,nor
446,Leine::N,snor,talutimnor
447,Decke::N,tæppe,sijakatuz
448,Kissen::N,pude,pöluz
449,Tuch::N,sjaltørklæde,paik
450,Handtuch::N,håndklæde,käzipaik
451,Kraft::N,kraft,vägi
452,Stärke::N,styrke,vahvuz'
453,Gesundheit::N,sundhed,tervhuz
454,Krankheit::N,sygdom,läžund
455,Schmerz::N,smerte,kibu
456,Wunde::N,sår,čapatez
457,Fieber::N,feber,säru
458,Arznei::N,medicin,zel'l'
459,Arznei::N,lægemiddel,zel'l'
460,Brücke::N,bro,sild
461,Brunnen::N,brønd,kaiv
462,Weide::N,græsgang,omaluine
463,Pfad::N,sti,tehut
464,Weg::N,vej,te
465,Straße::N,gade,te
466,Dorf::N,landsby,külä
467,Stadt::N,by,lidn
468,Brief::N,brev,kirjeine
469,Buch::N,bog,kirj
470,Buchstabe::N,bogstav,kirjam
471,Zeitung::N,avis,lehtez
472,Leben::N,liv,elo
473,Tod::N,død,surm
474,Grab::N,grav,kaum
475,Kirche::N,kirke,jumalanpert'
476,Sünde::N,synd,grähk
477,Gott::N,gud,jumal
478,Arbeiter::N,arbejder,radnik
479,Chef::N,chef,pämez'
480,Meister::N,mester,mastar
481,Arzt::N,læge,lekar'
482,Lehrer::N,lærer,opendai
483,Geld::N,penge,rahad
484,Geschäft::N,forretning,biznes
485,Laden::N,butik,lauk
486,Laden::N,forretning,lauk
487,Preis::N,pris,arv
488,Ware::N,vare,tavar
489,Nutzen::N,nytte,liža
490,Reichtum::N,rigdom,kodielo
491,Reichtum::N,rigdom,kal'huz'
492,Welt::N,verden,mail'm
493,Land::N,land,ma
494,Staat::N,stat,valdkund
495,König::N,konge,kunigaz
496,Macht::N,magt,vald
497,Grenze::N,grænse,röun
498,Krieg::N,krig,soda
499,Feind::N,fjende,vihanik
500,Feind::N,fjende,vastustai
501,Gewalt::N,vold,vägivald
502,Kampf::N,kamp,tora
503,Bogen[Waffe]::N,bue,taug
504,Pfeil::N,pil,nol
505,Gewehr::N,gevær,oružj
506,Fehler::N,fejl,viga
507,Lüge::N,løgn,kelastuz
508,Schaden::N,skade,pahuz'
509,Unglück::N,uheld,bed
510,Unglück::N,uheld,gor'a
511,Unglück::N,ulykke,bed
512,Unglück::N,ulykke,gor'a
513,Schuld::N,skyld,värhuz'
514,Alter::N,alder,igä
515,Schluss::N,slut,lop
516,Schluss::N,slutning,lop
517,Zeit::N,tid,aig
518,Tag::N,dag,päiv
519,Morgen::N,morgen,homendez
520,Mittag::N,middag,keskpäiv
521,Abend::N,aften,eht
522,Nacht::N,nat,ö
523,Woche::N,uge,nedal'
524,Monat::N,måned,ku
525,Jahr::N,år,voz'
526,Frühling::N,forår,keväz'
527,Sommer::N,sommer,keza
528,Herbst::N,efterår,sügüz'
529,Winter::N,vinter,tal'v
530,Januar::N,januar,viluku
531,Februar::N,februar,uhoku
532,März::N,marts,keväz'ku
533,April::N,april,sulaku
534,Mai::N,maj,semendku
535,Juni::N,juni,kezaku
536,Juli::N,juli,heinku
537,August::N,august,eloku
538,September::N,september,sügüz'ku
539,Oktober::N,oktober,reduku
540,November::N,november,kül'mku
541,Dezember::N,december,tal'vku
542,Montag::N,mandag,ezmärg
543,Dienstag::N,tirsdag,tožnarg
544,Mittwoch::N,onsdag,koumanz'päiv
545,Donnerstag::N,torsdag,nellänz'päiv
546,Freitag::N,fredag,pätnič
547,Freitag::N,fredag,videnz'päiv
548,Samstag::N,lørdag,sobat
549,Sonntag::N,søndag,pühäpäiv
550,groß::A,stor,sur'
551,groß::A,stor,järed
552,klein::A,lille,pen'
553,klein::A,lille,pičuine
554,lang::A,lang,pit'k
555,kurz::A,kort,lühüd
556,breit::A,bred,leved
557,schmal::A,smal,kaid
558,dicht::A,tæt,tihed
559,dick[Gegenstand]::A,tyk,paks
560,dünn::A,tynd,hoik
561,fein::A,fin,hen
562,fest::A,fast,luja
563,fest::A,fast,ninev
564,flach::A,flad,lapak
565,glatt::A,glat,siled
566,hart::A,hård,kova
567,weich::A,blød,pehmed
568,rund::A,rund,kehker
569,spitz::A,spids,nügu
570,spitz::A,spids,terav
571,scharf::A,skarp,terav
572,stumpf::A,sløv,tül'c
573,stumpf::A,stump,tül'c
574,schwer::A,tung,jüged
575,schön::A,skøn,čoma
576,heiß::A,hed,räk
577,warm::A,varm,läm'
578,kalt::A,kold,vilu
579,kühl::A,kølig,raibak
580,kühl::A,kølig,viluhk
581,frisch::A,frisk,lahed
582,feucht::A,fugtig,neps
583,feucht::A,fugtig,toreh
584,nass::A,våd,märg
585,trocken::A,tør,kuiv
586,voll::A,fuld,täuz'
587,leer::A,tom,joudai
588,offen::A,åben,avoin
589,offen::A,åben,avol'jaine
590,geschlossen::A,lukket,saubaline
591,sauber::A,ren,puhtaz
592,schmutzig::A,snavset,redukaz
593,roh::A,rå,rohk
594,roh::A,rå,toreh
595,reif::A,moden,küps
596,lecker::A,lækker,magukaz
597,süß::A,sød,maged
598,bitter::A,bitter,karged
599,sauer::A,sur,muiged
600,hell::A,lys,kirkas
601,hell::A,lys,valgei
602,dunkel::A,mørk,pimed
603,schwarz::A,sort,must
604,weiß::A,hvid,vauged
605,rot::A,rød,rusked
606,gelb::A,gul,pakuine
607,blau::A,blå,sinine
608,grün::A,grøn,vihand
609,grau::A,grå,hahk
610,bunt::A,broget,kirjav
611,billig::A,billig,odav
612,teuer::A,dyr,kalliž
613,wertvoll::A,værdifuld,arvokas
614,blind::A,blind,soged
615,taub::A,døv,kurdiž
616,kräftig::A,kraftig,vägev
617,stark::A,stærk,vahv
618,stark::A,stærk,vägekaz
619,schwach::A,svag,väll'
620,fett::A,fed,razvakaz
621,schlank::A,slank,kapos
622,hübsch::A,køn,čoma
623,böse::A,ond,äred
624,böse::A,ond,käred
625,böse::A,slem,äred
626,böse::A,slem,käred
627,dumm::A,dum,el'getoi
628,faul::A,doven,lašk
629,fleißig::A,flittig,radonnavedii
630,geizig::A,gerrig,ažlak
631,klug::A,klog,melev
632,klug::A,klog,melekaz
633,geschickt::A,dygtig,mahtokaz
634,geschickt::A,behændig,mahtokaz
635,lieb::A,rar,izo
636,lieb::A,rar,sula
637,lustig::A,lystig,ilokaz
638,sanft::A,blid,laskav
639,hungrig::A,sulten,näl'ghine
640,krank::A,syg,läžui
641,nackt::A,nøgen,alastoi
642,traurig::A,bedrøvet,opalahine
643,lebendig::A,levende,eläb
644,gut::A,god,hüvä
645,schlecht::A,dårlig,huba
646,richtig::A,rigtig,oiged
647,schlimm::A,slem,paha
648,wahr::A,sand,todesine
649,alt::A,gammel,vanh
650,neu::A,ny,uz'
651,ehemalig::A,forhenværende,edeline
652,alt[Lebewesen]::A,gammel,ravaz
653,jung::A,ung,nor'
654,arm::A,fattig,gol'l'
655,reich::A,rig,elokaz
656,bekannt::A,kendt,tutab
657,berühmt::A,berømt,tetab
658,fremd::A,fremmed,veraz
659,verschieden::A,forskellig,erazvuitte
660,nah::A,nær,läheline
661,fern::A,fjern,edahaine
662,linker::A,venstre,hura
663,rechter::A,højre,oiged
664,anderer::A,anden,toine
665,erster::A,første,ezmäine
666,zweiter::A,anden,toine
667,dritter::A,tredje,koumanz'
668,letzter::A,sidste,jäl'gmäine
669,allein::ADV,alene,üksnäze
670,auf einmal::ADV,på én gang,ühten aigan
671,zusammen::ADV,sammen,ühtes
672,lange::ADV,længe,hätken
673,plötzlich::ADV,pludselig,äkkid
674,sofort::ADV,straks,kerdalaz
675,später::ADV,senere,möhemba
676,jetzt::ADV,nu,nügüd'
677,heute::ADV,i dag,tämbei
678,morgen::ADV,i morgen,homen
679,bald::ADV,snart,pigai
680,dann::ADV,så,sid'
681,gestern::ADV,i går,eglai
682,einst::ADV,engang,ende
683,einst::ADV,engang,kerdan
684,damals::ADV,dengang,siloi
685,danach::ADV,derefter,sid'
686,vorher::ADV,før,ende
687,vorher::ADV,forud,ende
688,zuerst::ADV,først,ezmäi
689,einmal::ADV,en gang,kerdan
690,manchmal::ADV,sommetider,erašti
691,oft::ADV,ofte,paksus
692,immer::ADV,altid,kaiken
693,niemals::ADV,aldrig,ei nikonz
694,hier::ADV,her,täs
695,hier::ADV,her,tägä
696,hierhin::ADV,hid,tänna
697,hierhin::ADV,herhen,tänna
698,von hier::ADV,herfra,täspäi
699,von hier::ADV,herfra,sid'päi
700,dort::ADV,der,sigä
701,dorthin::ADV,derhen,sinna
702,dorthin::ADV,derhen,nakkale
703,geradeaus::ADV,lige ud,kohtha
704,vorwärts::ADV,fremad,edehe
705,rückwärts::ADV,baglæns,sel'gin
706,zurück::ADV,tilbage,tagaze
707,unten::ADV,nede,alahan
708,unten::ADV,forneden,alahan
709,hinab::ADV,ned,alaz
710,hinab::ADV,ned,alahaks
711,hinab::ADV,nedad,alaz
712,hinab::ADV,nedad,alahaks
713,oben::ADV,oppe,ülähän
714,oben::ADV,ovenpå,ülähän
715,hinauf::ADV,op,ülez
716,hinauf::ADV,op,ülähäks
717,hinauf::ADV,opad,ülez
718,hinauf::ADV,opad,ülähäks
719,überall::ADV,overalt,kaikjal
720,nicht::ADV,ikke,ei
721,ein wenig::ADV,lidt,vähän
722,kaum::ADV,knap,habi
723,kaum::ADV,næppe,habi
724,sehr::ADV,meget,lujas
725,so::ADV,så,muga
726,so::ADV,så,ninga
727,noch::ADV,endnu,völ
728,nur::ADV,kun,järg
729,nur::ADV,kun,vaiše
730,nur::ADV,bare,järg
731,nur::ADV,bare,vaiše
732,schon::ADV,alt,jo
733,schon::ADV,allerede,jo
734,wieder::ADV,igen,möst
735,vergebens::ADV,forgæves,uhtei
736,vor::PRP,foran,edes
737,vor::PRP,uden for,edes
738,hinter::PRP,bag,taga
739,hinter::PRP,bagved,taga
740,unter::PRP,under,al
741,durch::PRP,gennem,läbi
742,durch::PRP,gennem,kal't
743,durch::PRP,igennem,läbi
744,durch::PRP,igennem,kal't
745,neben::PRP,ved siden af,rindal
746,zwischen::PRP,mellem,keskes
747,wegen::PRP,på grund af,tagut
748,dies::PRN,dette,nece
749,das::PRN,det,se
750,alles::PRN,alt,kaik
751,ich::PRN,jeg,minä
752,du::PRN,du,sinä
753,er::PRN,han,hän
754,wir::PRN,vi,mö
755,ihr::PRN,I,tö
756,sie::PRN,de,hö
757,was::FPRN,hvad,mi
758,wer::FPRN,hvem,ken
759,wo::FADV,hvor,kus
760,wohin::FADV,hvorhen,kuna
761,wie::FADV,hvordan,kut
762,wie::FADV,hvordan,mit'
763,warum::FADV,hvorfor,mikš
764,wieviel::FNUM,hvor meget,äjak
765,wieviel::FNUM,hvor meget,kuverz'
766,eins::NUM,én,üks'
767,zwei::NUM,to,kaks'
768,drei::NUM,tre,koume
769,vier::NUM,fire,nel'l'
770,fünf::NUM,fem,viž
771,sechs::NUM,seks,kuz'
772,sieben::NUM,syv,seičeme
773,acht::NUM,otte,kahesa
774,neun::NUM,ni,ühesa
775,zehn::NUM,ti,kümne
776,elf::NUM,elleve,üks'toštkümne
777,zwölf::NUM,tolv,kaks'toštkümne
778,zwanzig::NUM,tyve,kaks'kümne
779,dreißig::NUM,tredive,koumekümne
780,vierzig::NUM,fyrre,nel'l'kümne
781,vierzig::NUM,fyrretyve,nel'l'kümne
782,fünfzig::NUM,halvtreds,vižkümne
783,sechzig::NUM,tres,kuz'kümne
784,siebzig::NUM,halvfjerds,seičemekümne
785,achtzig::NUM,firs,kahesakümne
786,neunzig::NUM,halvfems,ühesakümne
787,hundert::NUM,hundrede,sada
788,tausend::NUM,tusind,tuha
789,und::CNJ,og,i
790,und::CNJ,og,da
791,oder::CNJ,eller,vai
792,stehen::V,stå,seišta
793,sitzen::V,sidde,ištta
794,liegen::V,ligge,venuda
795,hängen::V,hænge,ripta
796,werden::V,blive,lindä
797,werden::V,blive,tehtas
798,passieren::V,ske,ozaitas
799,passieren::V,hænde,ozaitas
800,beginnen::V,begynde,augotadas
801,enden::V,ende,loptas
802,wechseln::V,veksle,vajehtadas
803,aufgehen[Sonne]::V,gå op,nousta
804,aufgehen[Sonne]::V,stå op,nousta
805,untergehen[Sonne]::V,gå ned,lasktas
806,scheinen[Sonne]::V,skinne,paštta
807,donnern::V,tordne,juraita
808,wehen::V,blæse,dölta
809,wehen::V,blæse,puhuda
810,strömen::V,strømme,valadas
811,fließen::V,flyde,valuda
812,sich drehen::V,dreje sig,punotas
813,schwanken::V,vakle,čibuda
814,schwingen::V,svinge,čibuda
815,fallen::V,falde,langeta
816,brennen::V,brænde,pallada
817,rauchen::V,ryge,savustada
818,regnen::V,regne,vihmda
819,gefrieren::V,fryse,jäduda
820,gefrieren::V,fryse,kül'mdä
821,tauen::V,tø,sulada
822,schmelzen::V,smelte,sulada
823,trocknen::V,tørre,kuida
824,trocknen::V,tørre,kuivehtuda
825,sieden::V,koge,kehuda
826,faulen::V,rådne,hapata
827,faulen::V,rådne,traudäs
828,verfaulen::V,rådne,hapata
829,reißen::V,briste,rebita
830,versinken::V,synke,upota
831,versinken::V,synke ned,upota
832,vergehen::V,forløbe,mända
833,erscheinen::V,vise sig,ozutadas
834,verschwinden::V,forsvinde,hajeta
835,sinken::V,synke,väheta
836,sinken::V,synke,lasktas
837,abnehmen::V,aftage,peneta
838,zunehmen::V,tiltage,ližaduda
