,Concept_ID,kl,pt
82,Funke::N,illoorneq,faísca
83,Funke::N,illoorneq,centelha
84,Feuer::N,inneq,fogo
85,Licht::N,qaamaneq,luz
86,Schatten::N,tarraq,sombra
87,Wetter::N,sila,tempo
88,Nebel::N,pujoq,nevoeiro
89,Wolke::N,nuia,nuvem
90,Regen::N,sialuk,chuva
91,Schnee::N,aput,neve
92,Eis::N,siku,gelo
93,Frost::N,issi,gelo
94,Frost::N,issi,geada
95,Frost::N,issik,gelo
96,Frost::N,issik,geada
97,Kälte::N,issi,frio
98,Hitze::N,kianneq,ardor
99,Hitze::N,kiassuseq,ardor
100,Raureif::N,kaneq,geada
101,Regenbogen::N,neriusaaq,arco-iris
102,Donner::N,kalleq,trovão
103,Tropfen::N,kuseriarneq,gota
104,Schaum::N,qapuk,espuma
105,Schmutz::N,minguk,sujidade
106,Schmutz::N,minguk,imundície
107,See::N,taseq,lago
108,Sumpf::N,maqulluk,charco
109,Sumpf::N,maqulluk,pântano
110,Wiese::N,masarsuk,prado
111,Hügel::N,qattuneq,colina
112,Hügel::N,majuariaq,colina
113,Hügel::N,majorajaaq,colina
114,Hügel::N,qaqqannguaq,colina
115,Berg::N,qaqqaq,monte
116,Berg::N,qaqqaq,montanha
117,Höhle::N,qaarusuk,caverna
118,Abhang::N,ippik,encosta
119,Abhang::N,sivinganeq,encosta
120,Abhang::N,sivingajaaq,encosta
121,Abhang::N,kussangajaaq,encosta
122,Bach::N,kuunnguaq,regato
123,Bach::N,kuunnguaq,ribeiro
124,Fluss::N,kuuk,rio
125,Ufer::N,sissap sinaa,beira
126,Küste::N,sineriak,costa
127,Meer::N,imaq,mar
128,Bucht::N,ikeq,baía
129,Bucht::N,kangerluk,baía
130,Bucht::N,kangerliumaneq,baía
131,Insel::N,qeqertaq,ilha
132,Blume::N,naasoq,flor
133,Gras::N,ivigaq,erva
134,Wurzel::N,niulutaq,raiz
135,Baum::N,orpik,árvore
136,Stamm::N,kanaartaq,tronco
137,Rinde::N,ameraq,casca
138,Ast::N,avalequt,ramo
139,Zweig::N,avalequt,galho
140,Blatt::N,pilutaq,folha
141,Birke::N,patitsit,bétula
142,Weide[Baum]::N,palleq,salgueiro
143,Tanne::N,orsuerneq,abeto
144,Horn::N,nassuk,corno
145,Horn::N,nassuk,chifre
146,Feder::N,suluk,pena
147,Fell::N,ameq,pele
148,Flügel::N,suluk,asa
149,Flügel::N,isaroq,asa
150,Klaue::N,kukik,pata
151,Kralle::N,kukik,unha
152,Kralle::N,kukik,garra
153,Schwanz::N,pamioq,rabo
154,Schwanz::N,pamioq,cauda
155,Schwanz::N,paperuusaq,rabo
156,Schwanz::N,paperuusaq,cauda
157,Ei::N,mannik,ovo
158,Nest::N,ullut,ninho
159,Bau::N,ini,toca
160,Bau::N,ini,covil
161,Tier::N,uumasoq,animal
162,Herde::N,unguukkat,rebanho
163,Kuh::N,ussik,vaca
164,Bulle::N,angukulak,touro
165,Bulle::N,anguteralak,touro
166,Bulle::N,angutikulooq,touro
167,Schaf::N,sava,ovelha
168,Schwein::N,puuluki,porco
169,Hund::N,qimmeq,cão
170,Katze::N,puisaaq,gata
171,Bär::N,allaq,urso
172,Eichhörnchen::N,sissinnguaq,esquilo
173,Fuchs::N,terianniaq,raposa
174,Hase::N,ukaleq,lebre
175,Maus::N,teriannguaq,rato
176,Wolf::N,amaroq,lobo
177,Vogel::N,timmiaq,ave
178,Vogel::N,timmiaq,pássaro
179,Huhn::N,kukkukooq,galinha
180,Huhn::N,marloraaqaaq,galinha
181,Hahn::N,kiasiusaq,galo
182,Gans::N,nerleq,ganso
183,Adler::N,nattoralik,águia
184,Eule::N,uppik,mocho
185,Eule::N,uppik,coruja
186,Kranich::N,qorlorfik,grou
187,Krähe::N,tuluatsiaq,gralha
188,Kuckuck::N,kukkooq,cuco
189,Schwan::N,qussuk,cisne
190,Fisch::N,aalisagaq,peixe
191,Schlange[Tier]::N,pulateriarsuk,serpente
192,Schlange[Tier]::N,pulateriaarsuk,serpente
193,Spinne::N,aasiaq,aranha
194,Spinne::N,nissavaarsuk,aranha
195,Ameise::N,uniaaluk,formiga
196,Laus::N,kumak,piolho
197,Mücke::N,ippernaq,mosquito
198,Fliege::N,ippernaq,mosca
199,Schmetterling::N,paluaq,borboleta
200,Schmetterling::N,pakkaluaq,borboleta
201,Schmetterling::N,utsuppaluaq,borboleta
202,Schmetterling::N,taqaleqisaaq,borboleta
203,Beere::N,paarmaq,bago
204,Beere::N,paarngaq,bago
205,Apfel::N,iipili,maçã
206,Pilz::N,anngiusaq,fungo
207,Pilz::N,anngiusaq,cogumelo
208,Zwiebel::N,uanitsoq,cebola
209,Saat::N,naatsiiassaq,sementeira
210,Korn::N,maannineq,grão
211,Schale::N,niutsivik,casca
212,Schale::N,ilulissaq qaartussaq,casca
213,Grube::N,itersaq,cova
214,Grube::N,itersaq,fossa
215,Falle::N,pualavoq,armadilha
216,Schlinge::N,orseq,laço
217,Schlinge::N,norloq,laço
218,Spur::N,tumaa,pista
219,Spur::N,tumaa,vestígio
220,Asche::N,arsat,cinza
221,Dreck::N,minguk,sujidade
222,Eisen::N,savimineq,ferro
223,Eisen::N,saffiugassaq,ferro
224,Gold::N,kuulti,ouro
225,Silber::N,siilviuvoq,prata
226,Kohle::N,aamarsuit aamaruutissat,carvão
227,Glas::N,igalaaq,vidro
228,Glas::N,imertarfik,vidro
229,Glas::N,igalaamineq,vidro
230,Lehm::N,marraq,barro
231,Lehm::N,marraq,argila
232,Sand::N,sioqqat,areia
233,Mensch::N,inuk,homem
234,Mensch::N,inuk,pessoa
235,Mensch::N,silamiu,homem
236,Mensch::N,silamiu,pessoa
237,Mann::N,angut,homem
238,Frau::N,arnaq,mulher
239,Kind::N,meeraq,filho
240,Kind::N,meeraq,criança
241,Junge::N,nukappiaraq,rapaz
242,Junge::N,nukappiaraq,menino
243,Mädchen::N,arnannguaq,menina
244,Mädchen::N,arnannguaq,rapariga
245,Familie::N,ilaqutakka,família
246,Familie::N,ilaqutariit,família
247,Großvater::N,aatak,avô
248,Großmutter::N,aanaq,avó
249,Eltern::N,angajoqqaat,pais
250,Vater::N,ataata,pai
251,Vater::N,ataataq,pai
252,Mutter::N,anaana,mãe
253,Sohn::N,erneq,filho
254,Tochter::N,panik,filha
255,Bruder::N,ani,irmão
256,Bruder::N,aqqaluk,irmão
257,Bruder::N,qatanngut,irmão
258,Schwester::N,naja,irmã
259,Schwester::N,aleqa,irmã
260,Schwester::N,qatanngut,irmã
261,Onkel::N,akkak,tio
262,Tante::N,aja,tia
263,Tante::N,ajak,tia
264,Tante::N,atsak,tia
265,Ehemann::N,ui,esposo
266,Ehefrau::N,nuliaq,esposa
267,Freude::N,tipaatsussuseq,prazer
268,Freude::N,tipaatsussuseq,alegria
269,Gelächter::N,illaq,risada
270,Gelächter::N,illaq,gargalhada
271,Glück::N,usornaat,felicidade
272,Glück::N,usornarsuseq,felicidade
273,Wunsch::N,kissaat,desejo
274,Lust::N,illigussuseq,vontade
275,Lust::N,piummaseq,vontade
276,Geist::N,anerneq,mente
277,Geist::N,anerneq,espírito
278,Geist::N,toornaq,mente
279,Geist::N,toornaq,espírito
280,Gedanke::N,isumassaq,ideia
281,Gedanke::N,isumassaq,pensamento
282,Gedächtnis::N,eqqaamannissuseq,memória
283,Verstand::N,isuma,razão
284,Verstand::N,isuma,inteligência
285,Verstand::N,sianissut,razão
286,Verstand::N,sianissut,inteligência
287,Verstand::N,misigissut,razão
288,Verstand::N,misigissut,inteligência
289,Verstand::N,sianissuseq,razão
290,Verstand::N,sianissuseq,inteligência
291,Verstand::N,silaqassuseq,razão
292,Verstand::N,silaqassuseq,inteligência
293,Sinn::N,isuma,sentido
294,Sinn::N,isuma,significado
295,Grund::N,patsit,causa
296,Grund::N,patsit,motivo
297,Wahrheit::N,sallusuissut,verdade
298,Märchen::N,oqalualaarut,conto
299,Märchen::N,oqaluasaaq,conto
300,Erzählung::N,oqaluttuaq,conto
301,Erzählung::N,oqaluttuaq,narrativa
302,Nachricht::N,oqaassut,mensagem
303,Nachricht::N,oqqersuut,mensagem
304,Neuigkeit::N,tusarnartaq,notícia
305,Neuigkeit::N,tusarnartaq,novidade
306,Name::N,ateq,nome
307,Rätsel::N,nalorsitsaarut,adivinha
308,Rede::N,oqaluuseq,oração
309,Rede::N,oqaluuseq,discurso
310,Sprache::N,oqaatsit,língua
311,Stimme::N,erinaq,voz
312,Stimme::N,qarluuseq,voz
313,Wort::N,oqaasii,palavra
314,Zeichen::N,nalunaaqqut,marca
315,Ruf::N,qaaqqussut,grito
316,Ruf::N,qaaqqussut,chamada
317,Lärm::N,perpaluk,ruído
318,Lärm::N,perpaluk,barulho
319,Laut::N,torsukattak,som
320,Ton::N,erinaq,tom
321,Lied::N,taalliaq,canção
322,Lied::N,erinarsuut,canção
323,Ruhe::N,qatsunganeq,calma
324,Ruhe::N,qatsunganeq,silêncio
325,Leute::N,inuiak,gente
326,Leute::N,inuiak,pessoas
327,Leute::N,inuiaqatigiit,gente
328,Leute::N,inuiaqatigiit,pessoas
329,Volk::N,inuiaat,povo
330,Volk::N,inuiaat,nação
331,Arbeit::N,suliaq,trabalho
332,Gast::N,qaaqqusaq,hóspede
333,Gast::N,qaaqqusaq,convidado
334,Geschenk::N,pajugut,prenda
335,Geschenk::N,pajugut,presente
336,Hilfe::N,annertoqqut,ajuda
337,Hilfe::N,annertoqqut,socorro
338,Freund::N,tiliaq,amigo
339,Freund::N,ikinngut,amigo
340,Kamerad::N,tiliaq,camarada
341,Kamerad::N,ikinngut,camarada
342,Art::N,ileqquuseq,tipo
343,Art::N,ileqquuseq,espécie
344,Stück::N,nakkaalaniku,pedaço
345,Teil::N,tassiaasat,peça
346,Teil::N,tassiaasat,parte
347,Hälfte::N,affaq,metade
348,Kreis::N,kaajaluinneq or kaajaluitsoq,círculo
349,Kreuz::N,sanningasulik,cruz
350,Linie::N,tittaq,linha
351,Linie::N,titarneq,linha
352,Abstand::N,aku,distância
353,Abstand::N,ikiaq,distância
354,Entfernung::N,asi,distância
355,Gegend::N,nuna,área
356,Gegend::N,nuna,região
357,Platz::N,ini,lugar
358,Platz::N,inissaq,lugar
359,Ort::N,sumiiffik,sítio
360,Seite::N,saneraq,lado
361,Mitte::N,qiteq,meio
362,Sache::N,pigisaq,coisa
363,Rand::N,sini,bordo
364,Rand::N,sini,margem
365,Rand::N,akerfineq,bordo
366,Rand::N,akerfineq,margem
367,Kante::N,akerfineq,borda
368,Kante::N,akerfineq,aresta
369,Ecke::N,teqeqqoq,esquina
370,Ecke::N,tikeqqoq,esquina
371,Spitze::N,inngik,ponta
372,Ende::N,isu,cabo
373,Ende::N,isu,extremo
374,Loch::N,putu,furo
375,Loch::N,putu,buraco
376,Winkel::N,teqeqqorissaat,canto
377,Winkel::N,teqeqqorissaat,ângulo
378,Muster::N,ilisserut,padrão
379,Muster::N,ilisserut,desenho
380,Größe::N,angissuseq,tamanho
381,Länge::N,takissuseq,comprimento
382,Gewicht::N,oqimaalutaq,peso
383,Menge::N,amerlassuseq,quantidade
384,Haufen::N,eqimattat,pilha
385,Reihe::N,allunaasaq,fila
386,Boot::N,qajaq,barco
387,Boot::N,angallat,barco
388,Boot::N,umiatsiaq,barco
389,Ruder::N,iput,remo
390,Schlitten::N,qamutit,trenó
391,Schlitten::N,qimusseq,trenó
392,Ski::N,ataarut,esqui
393,Last::N,nammagaq,carga
394,Schritt::N,allorneq,passo
395,Norden::N,avannaq,norte
396,Süden::N,qava,sul
397,Süden::N,kujat,sul
398,Süden::N,kujataa,sul
399,Westen::N,kitaa,oeste
400,Westen::N,kitaa,ocidente
401,Osten::N,kangi,este
402,Osten::N,kangi,leste
403,Osten::N,kangi,oriente
404,Holz::N,qisuk,madeira
405,Brett::N,salliligaq,tábua
406,Brett::N,salliligaq,prancha
407,Platte::N,qaateq,laje
408,Platte::N,qaateq,chapa
409,Stütze::N,ajagutaq,apoio
410,Stütze::N,ajagutaq,suporte
411,Stütze::N,ajaagutaq,apoio
412,Stütze::N,ajaagutaq,suporte
413,Stange::N,kaaviffik,vara
414,Stange::N,kaaviffik,barra
415,Stock::N,ajaappissat,pau
416,Stock::N,ajaappissat,bengala
417,Stab::N,ajaappissat,bastão
418,Rohr::N,sullulik,cano
419,Haus::N,illu,casa
420,Ofen::N,kissarsuut,estufa
421,Ofen::N,kissarsuut,aquecedor
422,Fußboden::N,nateq,piso
423,Tisch::N,allattarfik,mesa
424,Stuhl::N,issiavik,cadeira
425,Stuhl::N,issiaffik,cadeira
426,Wiege::N,uaasoq,berço
427,Bett::N,nallavik,cama
428,Regal::N,ilisivik,estante
429,Regal::N,ilisivik,prateleira
430,Kiste::N,sakissat,caixa
431,Kiste::N,illerfiusaq,caixa
432,Fenster::N,aki,janela
433,Fenster::N,igalaaq,janela
434,Tür::N,matu,porta
435,Tor::N,isaaffik,portão
436,Zaun::N,saputit,cerca
437,Zaun::N,saputit,vedação
438,Dach::N,qaliaq,telhado
439,Leiter::N,tummeqqat,escada
440,Leiter::N,tummeqqat,escada móvel
441,Leiter::N,majuartarfiit,escada
442,Leiter::N,majuartarfiit,escada móvel
443,Besen::N,saligutit,vassoura
444,Spaten::N,nivaataq,pá
445,Schaufel::N,nivaataq,pá
446,Gabel::N,qilluaq,garfo
447,Gabel::N,ajassaatit,garfo
448,Löffel::N,alussaat,colher
449,Messer::N,savik,faca
450,Nagel::N,kukik,cravo
451,Netz::N,anguffaseq,rede
452,Haken::N,nissik,gancho
453,Haken::N,qarsorsaq,gancho
454,Haken::N,qarsorsartoq,gancho
455,Griff::N,ipi,asa
456,Griff::N,ipi,cabo
457,Schloss::N,illussaarsuaq,fechadura
458,Bild::N,assiliaq,imagem
459,Figur::N,kisitsit,figura
460,Puppe::N,inuusaq,boneca
461,Bündel::N,qilertaq,fardo
462,Tasche::N,pooqattaq,saco
463,Tasche::N,pooqattaq,bolso
464,Deckel::N,matu,tampa
465,Geschirr::N,anut,louça
466,Tasse::N,tiitorfik,chávena
467,Tasse::N,tiitorfiup ilorlia,chávena
468,Topf::N,qoqqoq,tacho
469,Topf::N,qoqqoq,panela
470,Kessel::N,uunnaavik,caldeira
471,Essen::N,igaaq,refeição
472,Nahrung::N,neqissaq,comida
473,Nahrung::N,neqissaq,alimento
474,Speise::N,nerisassat,prato
475,Fleisch::N,neqi,carne
476,Getreide::N,maannineq,cereais
477,Brot::N,iffit,pão
478,Brot::N,iffiaq,pão
479,Scheibe::N,igalaassiaq,fatia
480,Fett::N,tarnutissaq,banha
481,Fett::N,tarnutissaq,gordura
482,Fett::N,tarnutissiaq,banha
483,Fett::N,tarnutissiaq,gordura
484,Butter::N,punneq,manteiga
485,Öl::N,uulia,azeite
486,Salz::N,taratsut,sal
487,Suppe::N,qajoq,sopa
488,Suppe::N,qajoq,caldo
489,Honig::N,tungusunnitsuut,mel
490,Milch::N,immuk,leite
491,Tee::N,tii,chá
492,Tee::N,teeq,chá
493,Wolle::N,nuersagassiaq,lã
494,Stoff::N,milliaq,pano
495,Stoff::N,milliaq,tecido
496,Stoff::N,qarlissiaq,pano
497,Stoff::N,qarlissiaq,tecido
498,Nadel::N,meqqut,agulha
499,Faden::N,ujalussiaq,fio
500,Knopf::N,attat,botão
501,Knoten::N,akeroq,nó
502,Knoten::N,qilerneq,nó
503,Farbe::N,qalipaat,corante
504,Kleidung::N,atisat,roupa
505,Kleidung::N,atisat,vestuário
506,Kleidung::N,annoraaq,roupa
507,Kleidung::N,annoraaq,vestuário
508,Hemd::N,ilupaaq,camisa
509,Kragen::N,qungasiinnaq,gola
510,Ärmel::N,aaq,manga
511,Hose::N,qarliit,calça
512,Gürtel::N,qiterut,cinto
513,Gürtel::N,unngersaq,cinto
514,Mütze::N,nasaq,boné
515,Mütze::N,nasaq,barrete
516,Schuh::N,skuu,sapato
517,Schuh::N,ikernuk,sapato
518,Schuh::N,ateraasaq,sapato
519,Stiefel::N,kamik,bota
520,Ring::N,assammiu,anel
521,Band::N,qilerutissiaq,fita
522,Band::N,qilerutissiaq,faixa
523,Kamm::N,illaagutit,pente
524,Kamm::N,illaajaatit pl.,pente
525,Spiegel::N,tarrarsuut,espelho
526,Riemen::N,allunaaq,correia
527,Schnur::N,kujaaq,corda
528,Schnur::N,kujaaq,cordel
529,Schnur::N,allunaasaq,corda
530,Schnur::N,allunaasaq,cordel
531,Leine::N,aleq,trela
532,Decke::N,qipik,cobertor
533,Kissen::N,akit,almofada
534,Tuch::N,qarlissiaq,pano
535,Handtuch::N,allarut,toalha
536,Handtuch::N,allarterut,toalha
537,Kraft::N,pissak,força
538,Stärke::N,qerattarsaat,força
539,Gesundheit::N,peqqisusseq,saúde
540,Krankheit::N,nappaat,doença
541,Krankheit::N,nappaat,enfermidade
542,Schmerz::N,anniaat,dor
543,Wunde::N,iki,chaga
544,Wunde::N,iki,ferida
545,Fieber::N,nappaat qanimanartoq,febre
546,Arznei::N,imigassaq,remédio
547,Brücke::N,ikaartarfik,ponte
548,Brunnen::N,tissaluttuliaq,poço
549,Weide::N,masarsuk,pastagem
550,Pfad::N,aqqut,senda
551,Pfad::N,aqqut,trilho
552,Weg::N,aggerfik,caminho
553,Straße::N,aqqusineq,via
554,Straße::N,aqqusineq,estrada
555,Dorf::N,nunaqarfik,aldeia
556,Stadt::N,illorpaat,cidade
557,Stadt::N,illorpalik,cidade
558,Brief::N,allagarsiaq,carta
559,Buch::N,atuakkat,livro
560,Buch::N,mappersagaq,livro
561,Buchstabe::N,naqinneq,letra
562,Zeitung::N,aviisi,jornal
563,Leben::N,inuussuseq,vida
564,Tod::N,toqu,morte
565,Tod::N,toquneq,morte
566,Grab::N,iliveq,túmulo
567,Grab::N,iliveq,sepultura
568,Grab::N,illissat,túmulo
569,Grab::N,illissat,sepultura
570,Kirche::N,oqaluffik,igreja
571,Sünde::N,ajorti,pecado
572,Arbeiter::N,sulisoq,operário
573,Arbeiter::N,sulisoq,trabalhador
574,Chef::N,ittoqut,chefe
575,Chef::N,ittoqut,patrão
576,Meister::N,naalagaq,mestre
577,Arzt::N,katsorsaasoq,médico
578,Lehrer::N,ilinniartitsisoq,professor
579,Geld::N,aningaasat,dinheiro
580,Geschäft::N,niuertarfik,negócio
581,Laden::N,niuertarfik,loja
582,Preis::N,aki,preço
583,Ware::N,qaliata pii,mercadoria
584,Ware::N,nioqqutissaq,mercadoria
585,Nutzen::N,iluaqut,proveito
586,Welt::N,nunarsuaq,mundo
587,Land::N,nuna,país
588,König::N,kunngi,rei
589,Macht::N,pissaassuseq,poder
590,Macht::N,pissaassuseq,potência
591,Grenze::N,killik,fronteira
592,Krieg::N,sorsunneq,guerra
593,Feind::N,akeraq,inimigo
594,Feind::N,akerartorti,inimigo
595,Feind::N,qinngarsuisoq,inimigo
596,Kampf::N,sorsunneq,luta
597,Kampf::N,sorsunneq,combate
598,Pfeil::N,qalugiusaq,seta
599,Pfeil::N,qalugiusaq,flecha
600,Gewehr::N,aallaat,espingarda
601,Fehler::N,kukkuneq,erro
602,Fehler::N,kukkuneq,falha
603,Fehler::N,paarlaappaa,erro
604,Fehler::N,paarlaappaa,falha
605,Unglück::N,perluut,desgraça
606,Schuld::N,akiitsugaq,culpa
607,Schuld::N,akiligassaq,culpa
608,Alter::N,utoqqaq,idade
609,Schluss::N,isu,fim
610,Zeit::N,ulloq,tempo
611,Zeit::N,akuttoqatigiinneq,tempo
612,Tag::N,ulloq,dia
613,Morgen::N,ullaaq,manhã
614,Mittag::N,ulloqeqqa,meio-dia
615,Abend::N,unnuk,noite
616,Abend::N,unnuk,tardinha
617,Nacht::N,unnuaq,noite
618,Woche::N,sapaatip akunnera,semana
619,Monat::N,qaammat,mês
620,Jahr::N,ukioq,ano
621,Frühling::N,upernaaq,primavera
622,Sommer::N,aasaq,verão
623,Herbst::N,ukiaq,outono
624,Winter::N,ukioq,inverno
625,Januar::N,siulleeq,Janeiro
626,Januar::N,qaammaliaq,Janeiro
627,Februar::N,aarlaat,Fevereiro
628,März::N,marsi,Março
629,März::N,martsi,Março
630,Mai::N,maaji,Maio
631,Juni::N,juuni,Junho
632,Juli::N,juuli,Julho
633,August::N,aggusti,Agosto
634,September::N,septembari,Setembro
635,Oktober::N,oktobari,Outubro
636,November::N,novembari,Novembro
637,Dezember::N,detsembari,Dezembro
638,Montag::N,ataasinngortoq,segunda-feira
639,Dienstag::N,marlunngorneq,terça-feira
640,Mittwoch::N,pingasunngorneq,quarta-feira
641,Donnerstag::N,sisamanngorneq,quinta-feira
642,Freitag::N,tallimanngorneq,sexta-feira
643,Samstag::N,arfininngorneq,sábado
644,Sonntag::N,sapaat,domingo
645,Sonntag::N,sapaati,domingo
646,groß::A,angivoq,grande
647,klein::A,mikivoq,pequeno
648,lang::A,takisooq,comprido
649,kurz::A,naatsoq,curto
650,breit::A,silippoq,largo
651,schmal::A,amitsoq,estreito
652,dicht::A,torsusooq,denso
653,dick[Gegenstand]::A,issuvoq,grosso
654,dick[Gegenstand]::A,issusooq,grosso
655,dünn::A,amitsoq,delgado
656,fein::A,mamarpoq,fino
657,fein::A,mamarpoq,subtil
658,fest::A,tangeqarpoq,firme
659,fest::A,tangeqarpoq,sólido
660,flach::A,nalimmappoq,plano
661,glatt::A,quasak,liso
662,hart::A,mattusooq,duro
663,hart::A,manngerpoq,duro
664,hart::A,titeqquluppoq,duro
665,weich::A,nerumaarpoq,mole
666,rund::A,ammallorippoq,redondo
667,spitz::A,qummukujooq,agudo
668,scharf::A,ipippoq,afiado
669,stumpf::A,anngerpoq,rombo
670,schwer::A,oqimaappoq,pesado
671,schön::A,kusanarpoq,belo
672,schön::A,kusanarpoq,bonito
673,heiß::A,kiappoq,quente
674,warm::A,oqorpoq,quente
675,kalt::A,issippoq,frio
676,kühl::A,pueqqortippoq,fresco
677,feucht::A,isugutavoq,húmido
678,feucht::A,qaasernarpoq,húmido
679,nass::A,imerorpoq,molhado
680,trocken::A,panerpoq,seco
681,voll::A,ulikkaarpoq,cheio
682,leer::A,imaattuarpoq,vazio
683,offen::A,ammavoq,aberto
684,geschlossen::A,matuvoq,fechado
685,sauber::A,eqqippoq,limpo
686,sauber::A,sukuluippoq,limpo
687,sauber::A,ipeqanngilaq,limpo
688,schmutzig::A,tapappoq,sujo
689,schmutzig::A,minguppoq,sujo
690,roh::A,aapavoq,cru
691,reif::A,qaarulerpoq,maduro
692,süß::A,tungusunnippoq,doce
693,bitter::A,qasilippoq,amargo
694,hell::A,qaamavoq,claro
695,dunkel::A,qernerpoq,escuro
696,dunkel::A,qernerpoq,sombrio
697,schwarz::A,qernerpoq,preto
698,weiß::A,qaqorpoq,branco
699,rot::A,aappaluppoq,vermelho
700,gelb::A,sungaarpoq,amarelo
701,blau::A,tungujorpoq,azul
702,grün::A,qorsooqqippoq,verde
703,grau::A,qaserpoq,cinzento
704,billig::A,akikippoq,barato
705,wertvoll::A,erlinnarpoq,valioso
706,wertvoll::A,erlinnarpoq,precioso
707,blind::A,tappiippoq,cego
708,blind::A,isigisaqanngilaq,cego
709,taub::A,tusilarpoq,surdo
710,kräftig::A,pissaq,forte
711,kräftig::A,pissaq,poderoso
712,kräftig::A,pissarsuaq,forte
713,kräftig::A,pissarsuaq,poderoso
714,stark::A,sanngivoq,forte
715,stark::A,sanngivoq,robusto
716,schwach::A,nakuippoq,débil
717,fett::A,pualavoq,gordo
718,schlank::A,tuappoq,esbelto
719,hübsch::A,aatsialaq,giro
720,hübsch::A,aatsialaq,bonito
721,böse::A,ajorpoq,mau
722,dumm::A,taqajak,parvo
723,dumm::A,taqajak,estúpido
724,dumm::A,sikkilluppoq,parvo
725,dumm::A,sikkilluppoq,estúpido
726,dumm::A,qaatusimasaqanngilaq,parvo
727,dumm::A,qaatusimasaqanngilaq,estúpido
728,faul::A,eqiasuppoq,preguiçoso
729,faul::A,eqiattortuvoq,preguiçoso
730,fleißig::A,eqiasuippoq,aplicado
731,fleißig::A,eqiasuippoq,diligente
732,geizig::A,iasilaarpoq,avarento
733,geizig::A,tukkuippoq,avarento
734,klug::A,mallak,prudente
735,klug::A,mallak,inteligente
736,klug::A,ittanneq,prudente
737,klug::A,ittanneq,inteligente
738,klug::A,kutaappoq,prudente
739,klug::A,kutaappoq,inteligente
740,klug::A,kuttaappoq,prudente
741,klug::A,kuttaappoq,inteligente
742,klug::A,qarasagippoq,prudente
743,klug::A,qarasagippoq,inteligente
744,lieb::A,akisooq,caro
745,lieb::A,akisooq,querido
746,lustig::A,piikulavoq,alegre
747,sanft::A,isumagippoq,suave
748,sanft::A,isumagippoq,brando
749,hungrig::A,kaappoq,faminto
750,hungrig::A,perlilerpoq,faminto
751,krank::A,napparsimavoq,doente
752,krank::A,napparsimavoq,enfermo
753,traurig::A,aliasuppoq,triste
754,lebendig::A,uumavoq,vivo
