,Concept_ID,sq,te
96,Tropfen::N,pikë,చుక్క
97,Schaum::N,shkumë,నురుగు
98,Schmutz::N,baltë,మైల
99,See::N,liqen,సరస్సు
100,Sumpf::N,batak,చిత్తడినేల
101,Moor::N,kënetë,చిత్తడినేల
102,Wiese::N,livadh,పచ్చిక బయలు
103,Wald::N,pyll,అడవి
104,Hügel::N,kodër,చివ్నకొండ
105,Anhöhe::N,bregore,కొండ
106,Berg::N,mal,పర్వతము
107,Gipfel::N,kulm,శిఖరము
108,Höhle::N,shpellë,గుహ
109,Höhle::N,zgafelle,గుహ
110,Abhang::N,shpat,ఏటవాలు
111,Abhang::N,tatëpjetë,ఏటవాలు
112,Quelle::N,krua,మూలము
113,Quelle::N,burim,మూలము
114,Bach::N,virua,కాలువ
115,Fluss::N,lumë,నది
116,Ufer::N,breg,తీరము
117,Küste::N,anëdet,తీరము
118,Küste::N,bregdet,తీరము
119,Festland::N,kontinent,భూమి
120,Meer::N,det,సముద్రము
121,Bucht::N,gji deti,మరుగు
122,Insel::N,ishull,దీవి
123,Insel::N,ujdhesë,దీవి
124,Blume::N,lule,పుష్పము
125,Gras::N,bar,పచ్చగడ్డి
126,Wurzel::N,rrënjë,వేరు
127,Baum::N,pemë,చెట్టు
128,Stamm::N,trung,చెట్టుబోదె
129,Rinde::N,lëvore,చెట్టుపట్ట
130,Ast::N,degë,కొమ్మ
131,Zweig::N,bisk,చివుకు
132,Blatt::N,fletë,ఆకు
133,Blatt::N,gjethe,ఆకు
134,Birke::N,mështekën,తరహా చెట్టు
135,Kiefer[Baum]::N,pishë,దేవదారు చెట్టు
136,Weide[Baum]::N,shelg,జాతిచెట్టు
137,Tanne::N,bredh,దేవదారుచెట్టు
138,Horn::N,bri,కొమ్ము
139,Feder::N,pupël,ఈక
140,Fell::N,lëkurë,తోలు
141,Flügel::N,krah,ఱెక్క
142,Flügel::N,fletë,ఱెక్క
143,Klaue::N,kthetër,వంకరగోరు
144,Kralle::N,thua,వంకరగోరు
145,Kralle::N,kthetër,వంకరగోరు
146,Schwanz::N,bisht,తోక
147,Ei::N,vezë,గ్రుడ్డు
148,Nest::N,fole,పక్షిగూడు
149,Bau::N,strofkë,గుహ
150,Tier::N,kafshë,జంతువు
151,Herde::N,kope,మంద
152,Herde::N,grigjë,మంద
153,Kuh::N,lopë,ఆవు
154,Bulle::N,dem,గిత్త
155,Pferd::N,kalë,గుఱ్ఱము
156,Schaf::N,dele,గొఱ్ఱె
157,Schwein::N,derr,పంది
158,Hund::N,qen,కుక్క
159,Katze::N,mace,పిల్లి
160,Bär::N,ari,ఎలుగుబంటి
161,Eichhörnchen::N,ketër,ఉడుత
162,Elch::N,dre brilopatë,కణంజు
163,Fuchs::N,dhelpër,గుంటనక్క
164,Hase::N,lepur,కుందేలు
165,Maus::N,mi,చిట్టెలుక
166,Wolf::N,ujk,తోడేలు
167,Vogel::N,zog,పక్షి
168,Vogel::N,shpend,పక్షి
169,Schwarm::N,luzmë,గుంపు
170,Huhn::N,pulë,కోడిపిల్ల
171,Hahn::N,gjel,కోడివుంజు
172,Hahn::N,këndes,కోడివుంజు
173,Gans::N,patë,ఆడుబాతు
174,Adler::N,shqiponjë,గ్రద్ద
175,Ente::N,rosë,పాట్టిబాతు
176,Eule::N,buf,గ్రుడ్లగూబ
177,Kranich::N,lejlek,కొంగ
178,Kranich::N,kurrillë,కొంగ
179,Krähe::N,sorrë,కాకి
180,Kuckuck::N,qyqe,కోయల
181,Schwan::N,mjellmë,హంస
182,Fisch::N,peshk,చేప
183,Barsch::N,purtekë,ఒకచేఁప
184,Hecht::N,mlysh,గండుమీను
185,Schlange[Tier]::N,gjarpër,పాము
186,Wurm::N,krimb,పురుగు
187,Spinne::N,marimangë,సాలె పురుగు
188,Ameise::N,thnegël,చీమ
189,Ameise::N,milingonë,చీమ
190,Laus::N,morr,పేను
191,Mücke::N,kunup,చీకటీగ
192,Mücke::N,mushkonjë,చీకటీగ
193,Fliege::N,mizë,ఈగ
194,Schmetterling::N,flutur,సీతాకోకచిలుక
195,Beere::N,frutë,కాయ
196,Beere::N,manaferrë,కాయ
197,Apfel::N,mollë,ఆపిల్ పండు
198,Pilz::N,kërpudhë,కుక్కగొడుగు
199,Zwiebel::N,qepë,నీరుల్లి
200,Saat::N,farë,విత్తనము
201,Korn::N,grurë,గింజ
202,Korn::N,kokërr,గింజ
203,Heu::N,sanë,ఎండుగడ్డి
204,Schale::N,lëkurë,పొట్టు
205,Grube::N,gropë,గొయ్యి
206,Falle::N,kurth,బోను
207,Falle::N,grackë,బోను
208,Schlinge::N,nyjë,ఉరి
209,Spur::N,gjurmë,జాడ
210,Asche::N,hi,బూడిద
211,Dreck::N,baltë,ముఱికి
212,Eisen::N,hekur,ఇనుము
213,Gold::N,ar,బంగారము
214,Gold::N,flori,బంగారము
215,Silber::N,argjend,వెండి
216,Kohle::N,qymyr,నేలబొగ్గు
217,Glas::N,qelq,గాజు
218,Lehm::N,argjilë,బంకమన్ను
219,Sand::N,rërë,ఇసుక
220,Mensch::N,njeri,నరుడు
221,Mann::N,burrë,పురుమడు
222,Mann::N,mashkull,పురుమడు
223,Frau::N,grua,ఆడుది
224,Frau::N,femër,ఆడుది
225,Kind::N,kalama,బిడ్డ
226,Junge::N,djalë,బాలుడు
227,Mädchen::N,gocë,బాలిక
228,Mädchen::N,vajzë,బాలిక
229,Familie::N,familje,కుటుంబము
230,Großvater::N,gjysh,తాత
231,Großmutter::N,gjyshe,అయ్యమ్మ
232,Eltern::N,prindër,తల్లితండ్రులు
233,Vater::N,atë,తండ్రి
234,Mutter::N,nënë,తల్లి
235,Sohn::N,bir,కొడుకు
236,Tochter::N,bijë,కూతురు
237,Bruder::N,vëlla,పోదరుడు
238,Schwester::N,motër,సోదరి
239,Onkel::N,dajë,మేనమామ
240,Onkel::N,xhaxha,మేనమామ
241,Tante::N,teze,మేనత్త
242,Tante::N,teze,పినతల్లి
243,Tante::N,hallë,మేనత్త
244,Tante::N,hallë,పినతల్లి
245,Ehemann::N,burrë,భర్త
246,Ehemann::N,bashkëshort,భర్త
247,Ehefrau::N,grua,భార్య
248,Ehefrau::N,bashkëshorte,భార్య
249,Freude::N,gaz,సంతోషము
250,Freude::N,gëzim,సంతోషము
251,Gelächter::N,qeshje,నవ్వు
252,Glück::N,lumturi,సంతోషము
253,Kummer::N,brengë,దుఃఖము
254,Kummer::N,pikëllim,దుఃఖము
255,Wunsch::N,dëshirë,కోరిక
256,Lust::N,epsh,కోరిక
257,Lust::N,dashuri,కోరిక
258,Geist::N,frymë,ఆత్మ
259,Geist::N,shpirt,ఆత్మ
260,Gedanke::N,ide,ఆలోచన
261,Gedanke::N,mendim,ఆలోచన
262,Gedächtnis::N,kujtesë,జ్ఞాపకము
263,Verstand::N,mend,మనస్సు
264,Sinn::N,kuptim,అర్థము
265,Grund::N,arsye,కారణము
266,Wahrheit::N,vërtetë,సత్యము
267,Gespräch::N,bisedim,పంభాషణ
268,Märchen::N,përrallë,అద్భుతకథ
269,Erzählung::N,tregim,కథ
270,Nachricht::N,lajm,వార్త
271,Neuigkeit::N,risi,వార్త
272,Name::N,emër,పేరు
273,Rätsel::N,gjëzë,చిక్కు
274,Rätsel::N,gjëegjëzë,చిక్కు
275,Rede::N,fjalim,ఉపన్యాసము
276,Sprache::N,gjuhë,భాష
277,Stimme::N,zë,కంరథ్సని
278,Wort::N,fjalë,మాట
279,Zeichen::N,shenjë,గుర్తు
280,Ruf::N,thirrmë,పిలువు
281,Lärm::N,zhurmë,సందడి
282,Laut::N,tingull,ధ్వని
283,Ton::N,ton,స్వరము
284,Lied::N,këngë,పాట
285,Ruhe::N,qetësi,గాలిలేమి
286,Leute::N,botë,జనులు
287,Leute::N,njerëz,జనులు
288,Volk::N,popull,జాతి
289,Arbeit::N,punë,పని
290,Gast::N,mik,అతిధి
291,Gast::N,mysafir,అతిధి
292,Geschenk::N,dhuratë,దానము
293,Geschenk::N,peshqesh,దానము
294,Spiel::N,lojë,ఆట
295,Gesellschaft::N,shoqëri,జట్టు
296,Hilfe::N,ndihmë,సాహాయ్యము
297,Freund::N,mik,స్నేహితుడు
298,Kamerad::N,shok,చెలికాడు
299,Angelegenheit::N,punë,విషయము
300,Anzahl::N,sasi,లెక్క
301,Art::N,lloj,జాతి
302,Stück::N,copë,తునుక
303,Teil::N,pjesë,భాగము
304,Hälfte::N,gjysmë,సగము
305,Kreis::N,qark,వృత్తము
306,Kreis::N,rreth,వృత్తము
307,Kreuz::N,kryq,సిలువ
308,Linie::N,vijë,గీత
309,Strich::N,vizë,గీత
310,Abstand::N,distancë,సందు
311,Entfernung::N,largim,దూరము
312,Gegend::N,vise,విస్తీర్ణము
313,Gegend::N,krahinë,విస్తీర్ణము
314,Platz::N,shesh,ఎడము
315,Ort::N,vend,స్థలము
316,Seite::N,anë,ప్రక్క
317,Mitte::N,mes,నడిమి
318,Gegenstand::N,send,పద్దు
319,Sache::N,gjë,వస్తువు
320,Sache::N,send,వస్తువు
321,Rand::N,qoshe,అంచు
322,Kante::N,teh,అంచు
323,Ecke::N,qoshe,మూల
324,Spitze::N,majë,మొన
325,Ende::N,skaj,కొన
326,Ende::N,bisht,కొన
327,Loch::N,vrimë,రంధ్రము
328,Winkel::N,kënd,కోణము
329,Muster::N,mostër,మాదిరి
330,Größe::N,madhësi,పరిమాణము
331,Länge::N,gjatësi,పొడుగు
332,Höhe::N,lartësi,పొడుగు
333,Gewicht::N,peshë,భారము
334,Menge::N,sasi,మొత్తము
335,Haufen::N,grumbull,రాశి
336,Reihe::N,radhë,వరుస
337,Reihe::N,rresht,వరుస
338,Boot::N,barkë,పడవ
339,Boot::N,lundër,పడవ
340,Ruder::N,rrem,అడక
341,Schlitten::N,sajë,సరవండ్లు
342,Ski::N,ski,స్కీ
343,Lagerfeuer::N,flakadan,నెగడు
344,Lagerfeuer::N,zjarr i madh,నెగడు
345,Last::N,barrë,బరువు
346,Gang::N,ecje,నడక
347,Schritt::N,hap,అడుగు
348,Norden::N,veri,ఉత్తరదిక్కు
349,Süden::N,jug,దక్షిణము
350,Westen::N,perëndim,పడమర
351,Osten::N,lindje,తూర్పు
352,Holz::N,dru,కొయ్య
353,Brett::N,dërrasë,పలక
354,Platte::N,pllakë,పలక
355,Stütze::N,shtyllë,వాల్సేడ్లు
356,Stütze::N,mbështetesë,వాల్సేడ్లు
357,Stange::N,shufër,స్తంభము
358,Stock::N,dajak,కఱ్ఱ
359,Stab::N,shkop,కఱ్ఱ
360,Rohr::N,tub,గొట్టము
361,Haus::N,shtëpi,ఇల్లు
362,Heim::N,konak,స్వగృహము
363,Heim::N,shtëpi,స్వగృహము
364,Ofen::N,sobë,పొయ్యి
365,Ofen::N,stufë,పొయ్యి
366,Fußboden::N,dysheme,నేల
367,Tisch::N,tryezë,మేజా
368,Stuhl::N,karrige,కుర్చీ
369,Wiege::N,djep,ఉయ్యాల
370,Bett::N,shtrat,పడక
371,Bett::N,shtrat,మంచం
372,Regal::N,raft,అటక
373,Kiste::N,kuti,వెట్టె
374,Fenster::N,dritare,కిటికి
375,Tür::N,derë,ద్వారము
376,Tor::N,portë,ద్వారము
377,Zaun::N,gardh,కంచె
378,Dach::N,çati,ఇంటివైకప్పు
379,Leiter::N,shkallë,నిచ్చెన
380,Besen::N,fshesë,చీపురుకట్ట
381,Spaten::N,lopatë,పాఱ
382,Schaufel::N,qyrek,పాఱ
383,Gabel::N,pirun,ముండ్లగరిటె
384,Löffel::N,lugë,గరిటె
385,Messer::N,thikë,కత్తి
386,Nagel::N,gozhdë,మేకు
387,Netz::N,rrjetë,వల
388,Haken::N,grep,కొక్కెము
389,Haken::N,grremç,కొక్కెము
390,Griff::N,dorak,పిడి
391,Griff::N,dorezë,పిడి
392,Schloss::N,bravë,తాళము
393,Bild::N,tablo,చిత్రము
394,Bild::N,pikturë,చిత్రము
395,Figur::N,figurë,రూపము
396,Puppe::N,kukull,బొమ్మ
397,Beutel::N,qese,సంచి
398,Beutel::N,trastë,సంచి
399,Bündel::N,deng,మూట
400,Tasche::N,çantë,సంచి
401,Eimer::N,kovë,చేద
402,Deckel::N,kapak,మూత
403,Deckel::N,mbulesë,మూత
404,Geschirr::N,enë,వంటకాలు
405,Sack::N,thes,గోనెసంచి
406,Sack::N,torbë,గోనెసంచి
407,Tasse::N,filxhan,గిన్నె
408,Topf::N,kusi,కుండ
409,Topf::N,tenxhere,కుండ
410,Kessel::N,kazan,నీరుకాచుపాత్ర
411,Essen::N,ngrënie,ఆహారము
412,Nahrung::N,ushqim,ఆహారము
413,Speise::N,gatesë,ఆహారము
414,Fleisch::N,mish,మాంసము
415,Getreide::N,drithë,ధాన్యము
416,Brei::N,qull,గుజ్జు
417,Brot::N,bukë,రొట్టె
418,Scheibe::N,fetë,బద్ద
419,Fett::N,lyrë,క్రొవ్వు
420,Fett::N,yndyrë,క్రొవ్వు
421,Butter::N,gjalpë,వెన్న
422,Öl::N,vaj,నూనె
423,Salz::N,kripë,ఉప్పు
424,Suppe::N,supë,చారు
425,Suppe::N,çorbë,చారు
426,Honig::N,mjaltë,తెనె
427,Milch::N,qumësht,పాలు
428,Tee::N,çaj,తేనీరు
429,Leder::N,lëkurë,బాగుచేసివతోలు
430,Wolle::N,lesh,ఉన్ని
431,Stoff::N,pëlhurë,బట్ట
432,Nadel::N,gjilpërë,సూది
433,Faden::N,pe,దారము
434,Faden::N,fije,దారము
435,Knopf::N,kopsë,బొత్తాము
436,Knoten::N,komb,ముడి
437,Farbe::N,bojë,రంగు
438,Kleidung::N,veshje,బట్టలు
439,Hemd::N,këmishë,చొక్కాయ
440,Kragen::N,jakë,మాల
441,Ärmel::N,mëngë,చొక్కాయచెయ్యి
442,Hose::N,brekë,ఇజారు
443,Gürtel::N,rrip,పటకా
444,Mütze::N,kësulë,టోపి
445,Schuh::N,këpucë,పాదరక్ష
446,Stiefel::N,çizme,బూటు
447,Ring::N,unazë,ఉంగరము
448,Band::N,shirit,నాడా
449,Kamm::N,krehër,దువ్వెన
450,Spiegel::N,pasqyrë,అద్దము
451,Riemen::N,rrip,వాడా
452,Schnur::N,litar,దారము
453,Schnur::N,cikomë,దారము
454,Leine::N,rrip,వారు
455,Decke::N,batanije,కంబళి
456,Kissen::N,jastëk,తలగడ
457,Tuch::N,shami,బట్ట
458,Handtuch::N,peshqir,తువాలు
459,Kraft::N,forcë,బలము
460,Stärke::N,koll,శక్తి
461,Gesundheit::N,shëndet,ఆరోగ్యము
462,Krankheit::N,sëmundje,రోగము
463,Schmerz::N,dhimbje,నొప్పి
464,Wunde::N,plagë,గాయము
465,Fieber::N,ethe,జ్వరము
466,Arznei::N,ilaç,మందు
467,Brücke::N,urë,వంతెన
468,Brunnen::N,pus,బావి
469,Brunnen::N,pus,కూపము
470,Brunnen::N,pus,నుయ్యి
471,Weide::N,kullotë,పచ్చికబయలు
472,Pfad::N,ravë,కాలిత్రోవ
473,Pfad::N,shteg,కాలిత్రోవ
474,Weg::N,udhë,మార్గము
475,Weg::N,shteg,మార్గము
476,Straße::N,rrugë,బాట
477,Dorf::N,fshat,గ్రామము
478,Dorf::N,katund,గ్రామము
479,Stadt::N,qytet,పట్టణము
480,Brief::N,letër,జాబు
481,Buch::N,libër,పుస్తకము
482,Buchstabe::N,shkronjë,అక్షరము
483,Zeitung::N,gazetë,వార్తాపత్రిక
484,Leben::N,jetë,ప్రాణము
485,Tod::N,mortje,మరణము
486,Grab::N,varr,సమాధి
487,Kirche::N,kishë,క్రెస్తవులగుడి
488,Sünde::N,mëkat,పాపము
489,Sünde::N,gjynah,పాపము
490,Gott::N,hy,దేవుడు
491,Gott::N,zot,దేవుడు
492,Arbeiter::N,punëtor,పనిపాటుచేశేవాడు
493,Chef::N,shef,యజమానుడు
494,Chef::N,drejtues,యజమానుడు
495,Meister::N,mjeshtër,కళాకారుడు
496,Arzt::N,mjek,వైద్యుడు
497,Arzt::N,doktor,వైద్యుడు
498,Lehrer::N,mësues,ఉపాధ్యాయుడు
499,Lehrer::N,arsimtar,ఉపాధ్యాయుడు
500,Geld::N,para,ద్రవ్యము
501,Geld::N,holla,ద్రవ్యము
502,Geschäft::N,ujdi,వ్యాపారము
503,Geschäft::N,biznes,వ్యాపారము
504,Laden::N,dyqan,అంగడి
505,Preis::N,çmim,వెల
506,Ware::N,mall,సరకులు
507,Nutzen::N,dobi,ప్రయోజనము
508,Nutzen::N,leverdi,ప్రయోజనము
509,Reichtum::N,kamje,ధనము
510,Reichtum::N,pasuri,ధనము
511,Welt::N,botë,ప్రపంచము
512,Land::N,vend,దేశము
513,Staat::N,shtet,రాజ్యము
514,König::N,mbret,రాజు
515,Macht::N,fuqi,అధికారము
516,Macht::N,pushtet,అధికారము
517,Grenze::N,kufi,సరిహద్దు
518,Krieg::N,luftë,యుద్ధము
519,Feind::N,armik,శత్రువు
520,Gewalt::N,dhunë,దౌర్జన్యము
521,Kampf::N,luftim,పోట్లాట
522,Bogen[Waffe]::N,hark,విల్లు
523,Pfeil::N,shigjetë,బాణము
524,Gewehr::N,pushkë,తుపాకి
525,Fehler::N,gafë,తప్ప
526,Fehler::N,gabim,తప్ప
527,Lüge::N,gënjeshtër,అసత్యము
528,Schaden::N,dëm,నష్టము
529,Schaden::N,zarar,నష్టము
530,Unglück::N,fatkeqësi,దురదృష్టము
531,Schuld::N,faj,తప్పు
532,Alter::N,moshë,వయస్సు
533,Schluss::N,fund,ముగింపు
534,Zeit::N,kohë,కాలము
535,Tag::N,ditë,దినము
536,Morgen::N,mëngjes,ఉదయము
537,Mittag::N,mesditë,మధ్యాహ్నము
538,Abend::N,mbrëmje,సాయంకాలము
539,Nacht::N,natë,రత్రి
540,Woche::N,javë,వారము
541,Monat::N,muaj,నెల
542,Jahr::N,vit,సంవత్సరము
543,Frühling::N,pranverë,వసంతకాలము
544,Sommer::N,verë,వేసవికాము
545,Herbst::N,vjeshtë,ఆకురాలుకాలము
546,Winter::N,dimër,శీతకాలము
547,Januar::N,janar,జనవరి
548,Februar::N,shkurt,ఫిబ్రవరి
549,März::N,mars,మార్చి
550,April::N,prill,ఏప్రిలు
551,Mai::N,maj,మే
552,Juni::N,qershor,జూన్
553,Juli::N,korrik,జూలై
554,August::N,gusht,ఆగస్టు
555,September::N,shtator,సెప్ఠెంబరు
556,Oktober::N,tetor,అక్టోబరు
557,November::N,nëntor,నవంబరు
558,Dezember::N,dhjetor,డిసెంబర్
559,Montag::N,hënë,సోమవారము
560,Dienstag::N,martë,మంగళవారము
561,Mittwoch::N,mërkurë,బుధవారము
562,Donnerstag::N,enjte,గురువారము
563,Freitag::N,premte,శుక్రవారము
564,Samstag::N,shtunë,శనివారము
565,Sonntag::N,diel,ఆదివారము
566,groß::A,madh,గొప్పైన
567,klein::A,vogël,చిన్న
568,lang::A,gjatë,పొడుగాటి
569,kurz::A,shkurtër,పొట్టి
570,breit::A,gjerë,వెడల్పైన
571,schmal::A,ngushtë,ఇఱుకైన
572,dicht::A,dendur,దట్టమైన
573,dick[Gegenstand]::A,trashë,దట్టమైన
574,dünn::A,hollë,పలుచని
575,fein::A,imët,నాజాకైన
576,fest::A,fortë,దృడమైవ
577,flach::A,sheshtë,చదువైన
578,glatt::A,rrafshët,నున్నని
579,hart::A,fortë,కఠినమైన
580,weich::A,butë,మృదువైన
581,rund::A,rrumbullakët,గుండ్రని
582,spitz::A,majëmprehtë,మొనగల
583,scharf::A,mprehtë,పదనైన
584,stumpf::A,topitur,వాడిలేని
585,schwer::A,rëndë,బరువ్తెన
586,schön::A,bukur,సుందరమైన
587,heiß::A,nxehtë,వేడియైన
588,warm::A,ngrohtë,వెచ్చని
589,kalt::A,ftohtë,చల్లని
590,kühl::A,freskët,చల్లని
591,frisch::A,pastër,తాజాయైన
592,feucht::A,lagësht,చెమ్మగానున్న
593,nass::A,lagur,తడిగామన్న
594,trocken::A,thatë,ఎండిన
595,voll::A,plotë,నిండు
596,leer::A,bosh,శూన్యమైన
597,leer::A,zbrazët,శూన్యమైన
598,offen::A,hapur,తెఱచియున్న
599,geschlossen::A,mbyllur,మూసిన
600,sauber::A,dëlirë,పరిశుద్ధమైన
601,schmutzig::A,ndyrë,ముఱికియైన
602,roh::A,gjallë,పచ్చి
603,reif::A,arrirë,పండివ
604,lecker::A,shijshëm,రుచి గల
605,süß::A,ëmbël,తియ్యని
606,bitter::A,hidhur,చేదైన
607,sauer::A,thartë,పుల్లని
608,hell::A,me dritë,కాంతిగల
609,dunkel::A,errët,చీకటియైన
610,schwarz::A,i zi,నల్లని
611,weiß::A,bardhë,తెలుపు
612,rot::A,kuq,ఎఱ్ఱని
613,gelb::A,verdhë,పసుపు పచ్చ
614,blau::A,blu,నీలవర్ణము
615,blau::A,kaltër,నీలవర్ణము
616,grün::A,blertë,ఆకుపచ్చని
617,grün::A,gjelbër,ఆకుపచ్చని
618,grau::A,hirtë,నెరిసిన
619,grau::A,bojë hiri,నెరిసిన
620,bunt::A,shumëngjyrëshëm,రంగేలీ
621,billig::A,lirë,చౌకయైన
622,teuer::A,shtrenjtë,వెలపొడుగైన
623,wertvoll::A,çmuar,విలుప్తెన
624,wertvoll::A,vlershëm,విలుప్తెన
625,blind::A,qorr,గ్రుడ్డి
626,blind::A,verbër,గ్రుడ్డి
627,taub::A,shurdhër,చెవిటి
628,kräftig::A,fuqishëm,శక్తి గల
629,stark::A,fortë,బలమైన
630,schwach::A,dobët,బలహీనమైన
631,fett::A,dhjamur,క్రొవ్విన
632,schlank::A,hollë,సన్నని
633,hübsch::A,bukur,సాగప్తెన
634,hübsch::A,hijshëm,సాగప్తెన
635,böse::A,keq,చెడ్డ
636,dumm::A,teveqel,తెలివిలేని
637,faul::A,dembel,సోమరియైన
638,fleißig::A,zellshëm,శ్రద్దగల
639,geizig::A,kurnac,పిసినారియైన
640,geizig::A,dorështrënguar,పిసినారియైన
641,klug::A,mençur,తెలివిగల
642,geschickt::A,aftë,నిపుణతగల
643,lieb::A,dashur,ప్రియమైన
644,lustig::A,gëzuar,ఉల్లాసము గల
645,sanft::A,butë,సాధువైన
646,hungrig::A,uritur,ఆకలిగొనిన
647,krank::A,sëmurë,వ్యాధిగల
648,nackt::A,lakuriq,దిగంబరమైన
649,nackt::A,zhveshur,దిగంబరమైన
650,traurig::A,trishtuar,విచారముగల
651,lebendig::A,gjallë,ప్రాణముతో నున్న
652,gut::A,mirë,మంచి
653,schlecht::A,keq,చెడ్డ
654,richtig::A,drejtë,సరియైన
655,schlimm::A,keq,అసహ్యమైన
656,wahr::A,vërtetë,నిజమైన
657,alt::A,vjetër,ముసలి
658,neu::A,i ri,క్రొత్త
659,ehemalig::A,dikurshëm,పూర్వపు
660,alt[Lebewesen]::A,plak,ముసలి
661,jung::A,i ri,పసి
662,arm::A,varfër,బీద
663,arm::A,vobektë,బీద
664,reich::A,pasur,ధనవంతుడైన
665,bekannt::A,njohur,తెలిసిన
666,berühmt::A,famshëm,ప్రపిద్దికెక్కివ
667,fremd::A,huaj,అన్యమైన
668,verschieden::A,ndryshëm,భేదమైన
669,nah::A,afërt,దగ్గఱనున్న
670,fern::A,largët,దూరమందున్న
671,linker::A,majtë,ఎడమప్రక్కగ
672,rechter::A,djathtë,కుడి
673,anderer::A,tjetër,వేఱ్తెన
674,erster::A,parë,మొదటి
675,zweiter::A,dytë,రెండన
676,dritter::A,i tretë,మూడో
677,letzter::A,fundit,కడపటి
678,allein::ADV,vetëm,ఒంటిగా
679,auf einmal::ADV,njëkohësisht,హరాత్తుగ
680,zusammen::ADV,bashkë,కలిసి
681,zusammen::ADV,së bashku,కలిసి
682,lange::ADV,për një kohë të gjatë,బహుకాలము
683,plötzlich::ADV,befas,హరాత్తుగ
684,sofort::ADV,menjëherë,తక్షణము
685,sofort::ADV,aty për aty,తక్షణము
686,später::ADV,më vonë,ఇటీవలి
687,jetzt::ADV,tash,ఇప్పుడు
688,heute::ADV,sot,నేడు
