,Concept_ID,it,ta
104,Wald::N,bosco,காடு
105,Wald::N,foresta,காடு
106,Hügel::N,colle,குன்று
107,Hügel::N,collina,குன்று
108,Anhöhe::N,altura,பதுக்கை
109,Berg::N,monte,மலை
110,Berg::N,montagna,மலை
111,Gipfel::N,cima,உச்சி மாநாடு
112,Höhle::N,grotta,குகை
113,Höhle::N,caverna,குகை
114,Abhang::N,pendìo,சரிவு
115,Quelle::N,sorgente,மூலம்
116,Bach::N,ruscello,ஓடை
117,Fluss::N,fiume,ஆறு
118,Ufer::N,riva,நீர்க்கரை
119,Küste::N,costa,கடற்கரை
120,Festland::N,terraferma,நிலம்
121,Meer::N,mare,கடல்
122,Bucht::N,cala,சிறுகுடா
123,Insel::N,ìsola,தீவு
124,Blume::N,fiore,பூ
125,Gras::N,erba,புல்தரை
126,Wurzel::N,radice,வேர்
127,Baum::N,àlbero,மரம்
128,Stamm::N,tronco,அடிமரம்
129,Rinde::N,corteccia,பட்டை
130,Rinde::N,corteccia,மரப்பட்டை
131,Ast::N,ramo,கினை
132,Zweig::N,ramo,குச்சி
133,Blatt::N,foglia,இலை
134,Birke::N,betulla,பிர்ச் மரம்
135,Kiefer[Baum]::N,pino,தேவதாரு மரம்
136,Weide[Baum]::N,sàlice,மர வகைகளுள் ஒன்று
137,Tanne::N,abete,சாதிக்கய்
138,Horn::N,corno,கொம்பு
139,Feder::N,penna,இறகு
140,Fell::N,manto,மென்முடி
141,Fell::N,pelame,மென்முடி
142,Flügel::N,ala,இறக்கை
143,Klaue::N,grinfia,நகம்
144,Kralle::N,unghia,நகம்
145,Kralle::N,artiglio,நகம்
146,Schwanz::N,coda,வால்
147,Ei::N,uovo,முட்டை
148,Nest::N,nido,கூடு
149,Bau::N,covo,குகை
150,Tier::N,bestia,விலங்கு
151,Tier::N,animale,விலங்கு
152,Herde::N,gregge,கூட்டம்
153,Kuh::N,vacca,பசு
154,Bulle::N,toro,காளை
155,Pferd::N,cavallo,குதிரை
156,Schaf::N,pècora,செம்மறிஆடு
157,Schwein::N,porco,பன்றி
158,Schwein::N,maiale,பன்றி
159,Hund::N,cane,நாய்
160,Katze::N,gatta,பூனை
161,Bär::N,orso,கரடி
162,Eichhörnchen::N,scoiàttolo,அணில்
163,Elch::N,alce,கடம்பை
164,Fuchs::N,volpe,நரி
165,Hase::N,lepre,முயல்
166,Maus::N,topo,எலி
167,Maus::N,sorcio,எலி
168,Wolf::N,lupo,ஓநாய்
169,Vogel::N,uccello,பறவை
170,Schwarm::N,stormo,தொகுதி
171,Huhn::N,gallina,கோழிக்குஞசு
172,Hahn::N,gallo,சேவல்
173,Gans::N,oca,பெண் வாத்து
174,Adler::N,àquila,பருநது
175,Ente::N,ànatra,வாத்து
176,Eule::N,gufo,ஆந்தை
177,Eule::N,civetta,ஆந்தை
178,Kranich::N,gru,நாரை
179,Krähe::N,cornacchia,காகம்
180,Kuckuck::N,cuccù,குயில்
181,Kuckuck::N,cùculo,குயில்
182,Schwan::N,cigno,அன்னம்
183,Fisch::N,pesce,மீன்
184,Barsch::N,pèrsico,பேர்ச்
185,Hecht::N,luccio,கோலாச்சி மீன்
186,Schlange[Tier]::N,serpente,பாம்பு
187,Wurm::N,baco,புழு
188,Wurm::N,verme,புழு
189,Spinne::N,ragno,சிலந்தி
190,Ameise::N,formica,எறும்பு
191,Laus::N,pidocchio,பேன்
192,Mücke::N,zanzara,கொசுவினப்பூச்சி
193,Fliege::N,mosca,ஈ
194,Schmetterling::N,farfalla,வண்ணத்துப்பூச்சி
195,Beere::N,bacca,சதைப்பழம்
196,Apfel::N,mela,ஆப்பிள பழம்
197,Pilz::N,fungo,காளான்
198,Zwiebel::N,cipolla,வெங்காயம்
199,Saat::N,semente,விதை
200,Korn::N,grano,தானியம்
201,Heu::N,fieno,வைக்கோல்
202,Schale::N,buccia,தோல்
203,Grube::N,cava,குழி
204,Grube::N,fossa,குழி
205,Falle::N,tràppola,பொறி
206,Schlinge::N,laccio,கண்ணி
207,Spur::N,traccia,சுவடு
208,Asche::N,cenere,சாம்பல்
209,Dreck::N,fango,அழுக்கு
210,Eisen::N,ferro,இரும்பு
211,Gold::N,oro,தங்கம்
212,Silber::N,argento,வெள்ளி
213,Kohle::N,carbone,நிலக்கரி
214,Glas::N,vetro,கண்ணாடி
215,Lehm::N,argilla,களிமண்
216,Sand::N,arena,மணல்
217,Sand::N,sabbia,மணல்
218,Mensch::N,uomo,மனிதர்கள்
219,Mensch::N,èssere umano,மனிதர்கள்
220,Mann::N,uomo,மனிதன்
221,Frau::N,donna,பெண்
222,Kind::N,bambino,குழந்தை
223,Junge::N,ragazzo,பையன்
224,Mädchen::N,ragazza,சிறுமி
225,Familie::N,famiglia,குடும்பம்
226,Großvater::N,nonno,தாத்தா
227,Großmutter::N,nonna,பாட்டி
228,Eltern::N,genitori,பெற்றோர்
229,Vater::N,padre,தந்தை
230,Mutter::N,madre,தாய்
231,Sohn::N,figlio,மகன்
232,Tochter::N,figlia,மகள்
233,Bruder::N,fratello,சகோதரன்
234,Schwester::N,sorella,அக்கா
235,Onkel::N,zio,தாய் மாமன்
236,Tante::N,zia,அத்தை
237,Ehemann::N,marito,கணவன்
238,Ehefrau::N,moglie,மனைவி
239,Freude::N,gioia,கொண்டாட்டம்
240,Freude::N,piacere,கொண்டாட்டம்
241,Gelächter::N,risata,சிரிப்பு
242,Glück::N,felicità,மகிழ்ச்சி
243,Kummer::N,afflizione,துயரம்
244,Wunsch::N,desiderio,விருப்பம்
245,Lust::N,voglia,விருப்பம்
246,Geist::N,mente,ஆன்மா
247,Geist::N,spìrito,ஆன்மா
248,Gedanke::N,idea,எண்ணம்
249,Gedanke::N,pensiero,எண்ணம்
250,Gedächtnis::N,memoria,ஞாபகம்
251,Verstand::N,intelletto,மனம்
252,Sinn::N,senso,அர்த்தம்
253,Sinn::N,significato,அர்த்தம்
254,Grund::N,causa,காரணம்
255,Grund::N,motivo,காரணம்
256,Grund::N,ragione,காரணம்
257,Wahrheit::N,verità,உண்நை
258,Gespräch::N,discorso,பெசு
259,Gespräch::N,conversazione,பெசு
260,Märchen::N,fiaba,நம்பத்தகாத கதை
261,Märchen::N,fàvola,நம்பத்தகாத கதை
262,Erzählung::N,racconto,கதை
263,Erzählung::N,narrazione,கதை
264,Nachricht::N,messaggio,செய்தி
265,Neuigkeit::N,notizia,செய்தி
266,Name::N,nome,பெயர்
267,Rätsel::N,indovinello,புதிர்
268,Rede::N,discorso,பேச்சு
269,Sprache::N,lingua,மொழி
270,Sprache::N,linguaggio,மொழி
271,Stimme::N,voce,குரல்
272,Wort::N,parola,வார்த்தை
273,Zeichen::N,segno,குறி
274,Zeichen::N,segnale,குறி
275,Ruf::N,chiamata,அழைப்பு
276,Lärm::N,chiasso,சத்தம்
277,Lärm::N,strèpito,சத்தம்
278,Laut::N,suono,ஒலி
279,Ton::N,tono,குரல்
280,Lied::N,canto,பாட்டு
281,Lied::N,canzone,பாட்டு
282,Ruhe::N,calma,அமைதி
283,Ruhe::N,tranquillità,அமைதி
284,Leute::N,gente,மக்கள்
285,Volk::N,pòpolo,மக்கள்
286,Arbeit::N,lavoro,வேலை
287,Gast::N,òspite,விருந்தாளி
288,Gast::N,invitato,விருந்தாளி
289,Geschenk::N,regalo,பரிசுப் பொருள்
290,Spiel::N,gioco,விளையாட்டு
291,Gesellschaft::N,compagnìa,சமுதாயம்
292,Hilfe::N,aiuto,உதவி
293,Hilfe::N,soccorso,உதவி
294,Freund::N,amico,நண்பன்
295,Kamerad::N,camerata,உடனிருப்பவன்
296,Angelegenheit::N,affare,செய்தி
297,Angelegenheit::N,faccenda,செய்தி
298,Anzahl::N,nùmero,எண்ணிக்கை
299,Anzahl::N,quantità,எண்ணிக்கை
300,Art::N,tipo,வகை
301,Art::N,specie,வகை
302,Stück::N,pezzo,துண்டம்
303,Teil::N,parte,பகுதி
304,Hälfte::N,metà,பாதி
305,Kreis::N,cìrcolo,வட்டம்
306,Kreuz::N,croce,சிலுவை
307,Linie::N,lìnea,கோடு
308,Strich::N,tratto,வாத நோய்
309,Abstand::N,distanza,இடைவெளி
310,Entfernung::N,distanza,தூரம்
311,Entfernung::N,lontananza,தூரம்
312,Gegend::N,regione,வட்டாரம்
313,Platz::N,posto,வெற்றிடம்
314,Platz::N,spazio,வெற்றிடம்
315,Ort::N,luogo,இடம்
316,Ort::N,località,இடம்
317,Seite::N,lato,பக்கம்
318,Seite::N,parte,பக்கம்
319,Mitte::N,mezzo,இடைப்பகுதி
320,Mitte::N,centro,இடைப்பகுதி
321,Gegenstand::N,oggetto,உருப்படி
322,Sache::N,cosa,பொருள்
323,Rand::N,orlo,தொங்கு
324,Rand::N,bordo,தொங்கு
325,Kante::N,spìgolo,விளிம்பு
326,Ecke::N,canto,மூலை
327,Spitze::N,punta,முனை
328,Ende::N,capo,முடிவு
329,Ende::N,estremità,முடிவு
330,Loch::N,buco,துளை
331,Winkel::N,àngolo,கோணம்
332,Muster::N,disegno,பாங்கு
333,Größe::N,taglia,அளவு
334,Größe::N,grandezza,அளவு
335,Länge::N,lunghezza,நீளம்
336,Höhe::N,altezza,உயரம்
337,Gewicht::N,peso,எடை
338,Menge::N,quantità,தொகை
339,Haufen::N,cùmulo,குவியல்
340,Haufen::N,mucchio,குவியல்
341,Reihe::N,fila,வரிசை
342,Boot::N,barca,படகு
343,Boot::N,battello,படகு
344,Ruder::N,remo,துடுப்பு
345,Schlitten::N,slitta,சகடையிலா வண்டி
346,Ski::N,sci,பனிச் சறுக்கல்
347,Lagerfeuer::N,falò,மூட்டம்
348,Lagerfeuer::N,fuoco di bivacco,மூட்டம்
349,Last::N,càrico,பாரம்
350,Gang::N,andata,நடை
351,Schritt::N,passo,காலடி
352,Norden::N,nord,வடக்கு
353,Norden::N,settentrione,வடக்கு
354,Süden::N,sud,தெற்கு
355,Süden::N,meridione,தெற்கு
356,Westen::N,òvest,மேற்கு திசை
357,Westen::N,occidente,மேற்கு திசை
358,Osten::N,est,கிழக்கு
359,Osten::N,oriente,கிழக்கு
360,Holz::N,legno,மரக்கட்டை
361,Brett::N,asse,பலகை
362,Brett::N,tàvola,பலகை
363,Platte::N,lastra,பலகம்
364,Platte::N,piastra,பலகம்
365,Stütze::N,supporto,அடைப்புகன்
366,Stange::N,sbarra,கம்பம்
367,Stange::N,pèrtica,கம்பம்
368,Stock::N,verga,குச்சி
369,Stock::N,bastone,குச்சி
370,Stock::N,bacchetta,குச்சி
371,Stab::N,asta,கம்பு
372,Rohr::N,tubo,குழாய்
373,Haus::N,casa,வீடு
374,Heim::N,casa,வீடு
375,Ofen::N,stufa,அடுப்பு
376,Fußboden::N,pavimento,தரை
377,Tisch::N,tàvolo,மேசை
378,Stuhl::N,sedia,நாற்காலி
379,Wiege::N,culla,தொட்டில்
380,Bett::N,letto,படுக்கை
381,Regal::N,scaffale,அலமாரி
382,Kiste::N,cassa,பெட்டி
383,Fenster::N,finestra,சாளரம்
384,Tür::N,porta,கதவு
385,Tor::N,portone,வாசற்கதவு
386,Zaun::N,recinto,வேலி
387,Dach::N,tetto,கூரை
388,Leiter::N,scala,ஏணி
389,Leiter::N,scala a pioli,ஏணி
390,Besen::N,scopa,விளக்குமாறு
391,Spaten::N,vanga,மண்வெட்டி
392,Schaufel::N,pala,அடிதண்டா
393,Gabel::N,forchetta,முட்கரண்டி
394,Löffel::N,cucchiaio,கரண்டி
395,Messer::N,coltello,கத்தி
396,Nagel::N,chiodo,ஆணி
397,Netz::N,rete,வலை
398,Haken::N,uncino,கொக்கி
399,Griff::N,mànico,கைப்பிடி
400,Griff::N,maniglia,கைப்பிடி
401,Schloss::N,serratura,பூட்டு
402,Bild::N,quadro,படம்
403,Bild::N,immàgine,படம்
404,Figur::N,figura,எண்ணிக்கை
405,Puppe::N,bàmbola,பொம்மை
406,Beutel::N,borsa,பை
407,Beutel::N,sacchetto,பை
408,Bündel::N,fascio,பொதி
409,Bündel::N,fagotto,பொதி
410,Tasche::N,borsa,பை
411,Eimer::N,secchio,வாளி
412,Deckel::N,coperchio,உறை
413,Geschirr::N,stoviglie,பாத்திரம்
414,Sack::N,sacco,பை
415,Tasse::N,tazza,கிண்ணம்
416,Topf::N,pèntola,பானை
417,Kessel::N,paiolo,கெண்டி
418,Kessel::N,calderone,கெண்டி
419,Essen::N,pasto,உணவருந்துதல்
420,Essen::N,mangiare,உணவருந்துதல்
421,Nahrung::N,cibo,உணவு
422,Nahrung::N,alimento,உணவு
423,Speise::N,piatto,உணவு வகை
424,Fleisch::N,carne,இறைச்சி
425,Getreide::N,cereali,மக்காச்சோளம்
426,Brei::N,purè,கஞ்சி
427,Brei::N,pappa,கஞ்சி
428,Brot::N,pane,ரொட்டி
429,Scheibe::N,fetta,துண்டு
430,Scheibe::N,trancia,துண்டு
431,Fett::N,grasso,கொழுப்பு
432,Butter::N,burro,வெண்ணெய்
433,Öl::N,olio,எண்ணெய்
434,Salz::N,sale,உப்பு
435,Suppe::N,zuppa,ரசம்
436,Suppe::N,minestra,ரசம்
437,Honig::N,miele,தேன்
438,Milch::N,latte,பால்
439,Tee::N,tè,தெனீர்
440,Leder::N,pelle,பதம் செய்யப்பட்ட தோல்
441,Wolle::N,lana,கம்பளி
442,Stoff::N,panno,துணி
443,Stoff::N,tessuto,துணி
444,Nadel::N,ago,ஊசி
445,Faden::N,filo,நூல்
446,Knopf::N,bottone,பொத்தான்
447,Knoten::N,nodo,முடிச்சு
448,Farbe::N,pittura,வண்ணக் குழம்பு
449,Kleidung::N,vestiti,ஆடைகள்
450,Kleidung::N,vestiario,ஆடைகள்
451,Hemd::N,camicia,சட்டை
452,Kragen::N,bàvero,கழுத்துப் பட்டை
453,Kragen::N,colletto,கழுத்துப் பட்டை
454,Ärmel::N,mànica,சட்டைக்கை
455,Hose::N,calzoni,கால்சட்டை
456,Gürtel::N,cintura,பெல்ட்
457,Mütze::N,berretto,தொப்பி
458,Schuh::N,scarpa,காலணி
459,Stiefel::N,stivale,காலணி
460,Ring::N,anello,மோதிரம்
461,Band::N,nastro,நாடா
462,Band::N,fettuccia,நாடா
463,Kamm::N,pèttine,கீப்பு
464,Spiegel::N,specchio,ஆடி
465,Spiegel::N,specchio,கண்ணாடி
466,Riemen::N,cinghia,வார்
467,Schnur::N,corda,கயிறு
468,Leine::N,guinzaglio,தோல்வார்
469,Decke::N,coperta,போர்வை
470,Kissen::N,cuscino,தலையணை
471,Kissen::N,guanciale,தலையணை
472,Tuch::N,fazzoletto,துணி
473,Handtuch::N,asciugamano,தண்டு
474,Kraft::N,forza,நிர்பந்தம்
475,Stärke::N,forza,பலம்
476,Stärke::N,vigore,பலம்
477,Stärke::N,fortezza,பலம்
478,Gesundheit::N,salute,ஆரோக்கியம்
479,Krankheit::N,malattìa,நோய்
480,Schmerz::N,dolore,வலி
481,Wunde::N,piaga,காயம்
482,Wunde::N,ferita,காயம்
483,Fieber::N,febbre,காய்ச்சல்
484,Arznei::N,fàrmaco,மருந்து
485,Arznei::N,medicina,மருந்து
486,Brücke::N,ponte,பாலம்
487,Brunnen::N,pozzo,கேணி
488,Weide::N,pàscolo,மேய்ச்சல் நிலம்
489,Pfad::N,sentiero,நடை வழி
490,Weg::N,via,வழி
491,Weg::N,cammino,வழி
492,Straße::N,strada,சாலை
493,Dorf::N,paese,கிராமம்
494,Dorf::N,villaggio,கிராமம்
495,Stadt::N,città,நகரம்
496,Brief::N,lèttera,கடிதம்
497,Buch::N,libro,புத்தகம்
498,Buchstabe::N,lèttera,எழத்து
499,Zeitung::N,giornale,செய்தித்தாள்
500,Leben::N,vita,வாழ்க்கை
501,Tod::N,morte,மரணம்
502,Grab::N,tomba,சமாதி
503,Grab::N,sepolcro,சமாதி
504,Kirche::N,chiesa,தேவாலயம்
505,Sünde::N,peccato,பாவம்
506,Gott::N,dio,கடவுள்
507,Arbeiter::N,operaio,தொழிலாளி
508,Arbeiter::N,lavoratore,தொழிலாளி
509,Chef::N,capo,மேலாளர்
510,Chef::N,padrone,மேலாளர்
511,Meister::N,mastro,தலைவன்
512,Meister::N,maestro,தலைவன்
513,Arzt::N,mèdico,மருத்துவர்
514,Arzt::N,dottore,மருத்துவர்
515,Lehrer::N,professore,ஆசிரியர்
516,Geld::N,soldi,பணம்
517,Geld::N,denaro,பணம்
518,Geschäft::N,affare,வாணிபம்
519,Geschäft::N,negozio,வாணிபம்
520,Laden::N,negozio,கடை
521,Preis::N,prezzo,விலை
522,Ware::N,merce,சாமன்கள்
523,Nutzen::N,ùtile,இலாபம்
524,Nutzen::N,profitto,இலாபம்
525,Reichtum::N,ricchezza,சொத்து
526,Welt::N,mondo,உலகம்
527,Land::N,paese,நாடு
528,Staat::N,Stato,நாடு
529,König::N,re,அரசன்
530,Macht::N,potere,அதிகாரம்
531,Grenze::N,confine,எல்லை
532,Grenze::N,frontiera,எல்லை
533,Krieg::N,guerra,போர்
534,Feind::N,nemico,எதிரி
535,Gewalt::N,violenza,வன்முறை
536,Kampf::N,lotta,போராட்டம்
537,Bogen[Waffe]::N,arco,வில்
538,Pfeil::N,freccia,அம்பு
539,Gewehr::N,fucile,துப்பாக்கி
540,Fehler::N,errore,தவறு
541,Fehler::N,sbaglio,தவறு
542,Lüge::N,bugìa,பொய்
543,Lüge::N,menzogna,பொய்
544,Schaden::N,danno,சேதாரம்
545,Unglück::N,sfortuna,இடையூறு
546,Schuld::N,colpa,குற்றம்
547,Alter::N,età,வயது
548,Schluss::N,fine,முடிவு
549,Zeit::N,tempo,காலம்
550,Tag::N,giorno,நாள்
551,Tag::N,giornata,நாள்
552,Morgen::N,mattina,காலை நேரம்
553,Mittag::N,mezzogiorno,மதியம்
554,Abend::N,sera,மாலைப் பொழுது
555,Abend::N,serata,மாலைப் பொழுது
556,Nacht::N,notte,இரவு
557,Woche::N,settimana,வாரம்
558,Monat::N,mese,மாதம்
559,Jahr::N,anno,வருடம்
560,Frühling::N,primavera,வசந்தம்
561,Sommer::N,estate,கோடை
562,Herbst::N,autunno,இலையுதிர் காலம்
563,Winter::N,inverno,குளிர்காலம்
564,Januar::N,gennaio,ஜனவரி
565,Februar::N,febbraio,பிபரவரி மாதம்
566,März::N,marzo,மார்ச் மாதம்
567,April::N,aprile,ஏப்ரல் மாதம்
568,Mai::N,maggio,மே மாதம்
569,Juni::N,giugno,ஜூன் மாதம்
570,Juli::N,luglio,ஜூலை மாதம்
571,August::N,agosto,ஆகஸ்ட் மாதம்
572,September::N,settembre,செப்டம்பர் மாதம்
573,Oktober::N,ottobre,அக்டோபர் மாதம்
574,November::N,novembre,நவம்பர் மாதம்
575,Dezember::N,dicembre,டிசம்பர்
576,Montag::N,lunedì,திங்கட் கிழமை
577,Dienstag::N,martedì,செவ்வாய்க்கிழமை
578,Mittwoch::N,mercoledì,புதன் கிழமை
579,Donnerstag::N,giovedì,வியாழக் கிழமை
580,Freitag::N,venerdì,வெள்ளிக்கிழமை
581,Samstag::N,sàbato,சனிக்கிழமை
582,Sonntag::N,domenica,ஞாயிறுக் கிழமை
583,groß::A,grande,பெரிய
584,klein::A,pìccolo,சிறிய
585,lang::A,lungo,நீண்ட
586,kurz::A,corto,குட்டையான
587,breit::A,largo,அகலமான
588,schmal::A,stretto,குறுகலான
589,dicht::A,denso,அடர்த்தியான
590,dick[Gegenstand]::A,spesso,தடித்த
591,dünn::A,sottile,சன்னமான
592,fein::A,fine,மெல்லிய
593,fein::A,delicato,மெல்லிய
594,fest::A,sodo,உறுதியாள
595,fest::A,fisso,உறுதியாள
596,flach::A,piano,தட்டையான
597,flach::A,piatto,தட்டையான
598,glatt::A,liscio,வழுவழுப்பான
599,hart::A,duro,கடினமான
600,weich::A,molle,மென்மையான
601,rund::A,rotondo,உருண்டையான
602,spitz::A,aguzzo,திகந்தமாக
603,spitz::A,appuntito,திகந்தமாக
604,scharf::A,affilato,கூரான
605,scharf::A,tagliente,கூரான
606,stumpf::A,smussato,உளம் திறந்த
607,schwer::A,pesante,கனமான
608,schön::A,bello,அழகான
609,heiß::A,caldo,சூடான
610,heiß::A,bollente,சூடான
611,warm::A,caldo,இதமான
612,kalt::A,freddo,குளிர்ச்சியான
613,kühl::A,fresco,குளிர்ச்சியான
614,frisch::A,fresco,சுத்தமான
615,feucht::A,ùmido,ஈரமான
616,nass::A,bagnato,ஈரமான
617,trocken::A,secco,உலர்ந்த
618,voll::A,pieno,நிரம்பிய
619,leer::A,vuoto,காலியான
620,offen::A,aperto,திறந்த
621,geschlossen::A,chiuso,மூடப்பட்ட
622,sauber::A,netto,சுத்தமான
623,sauber::A,pulito,சுத்தமான
624,schmutzig::A,sporco,அழக்கான
625,schmutzig::A,sùdicio,அழக்கான
626,roh::A,crudo,கச்சா
627,reif::A,maturo,பழுத்த
628,lecker::A,ghiotto,சுவைமிக்க
629,lecker::A,squisito,சுவைமிக்க
630,süß::A,dolce,இனிப்பான
631,bitter::A,amaro,கசப்பான
632,sauer::A,aspro,புளிப்பாக
633,sauer::A,acerbo,புளிப்பாக
634,hell::A,chiaro,பளபளப்பான
635,dunkel::A,buio,கருமையான
636,dunkel::A,oscuro,கருமையான
637,schwarz::A,nero,கருப்பு வண்ண
638,weiß::A,bianco,வெண்மையன
639,rot::A,rosso,சிவப்பு
640,gelb::A,giallo,மஞ்சள் வண்ணம்
641,blau::A,blu,நீல வண்ண
642,blau::A,azzurro,நீல வண்ண
643,grün::A,verde,பச்சை வண்ண
644,grau::A,grigio,சாம்பல் நிற
645,bunt::A,variopinto,வண்ண மயமான
646,billig::A,a buon prezzo,மலிவான
647,billig::A,a buon mercato,மலிவான
648,teuer::A,caro,விலை அதிகமான
649,wertvoll::A,prezioso,மதிப்புள்ள
650,blind::A,cieco,பார்வையற்ற
651,taub::A,sordo,செவிடான
652,kräftig::A,forte,வலிமையான
653,kräftig::A,robusto,வலிமையான
654,stark::A,forte,பலமான
655,stark::A,vigoroso,பலமான
656,schwach::A,dèbole,பலவீனமான
657,fett::A,grasso,பருமனாக
658,schlank::A,snello,ஒல்லியான
659,schlank::A,slanciato,ஒல்லியான
660,hübsch::A,bello,அழகிய
661,hübsch::A,carino,அழகிய
662,böse::A,cattivo,கேடு விளைவிக்கும்
663,dumm::A,stùpido,முட்டாள்தனமான
664,faul::A,pigro,சோம்பலான
665,fleißig::A,diligente,ஊக்கந்தளராத
666,geizig::A,avaro,கஞேசத்தனமான
667,klug::A,intelligente,சாதுரியமான
668,geschickt::A,àbile,திறமையள்ள
669,lieb::A,caro,அன்புக்குரிய
670,lustig::A,gaio,களிப்புமிக்க
671,lustig::A,allegro,களிப்புமிக்க
672,sanft::A,dolce,சாதுவான
673,hungrig::A,affamato,பசியுடன்
674,krank::A,malato,நோயுற்று
675,krank::A,infermo,நோயுற்று
676,nackt::A,nudo,ஆடையற்ற
677,traurig::A,triste,சோகமான
678,lebendig::A,vivo,பிழைப்பு
679,gut::A,buono,நல்ல
680,schlecht::A,cattivo,கெட்ட
681,richtig::A,giusto,சரியான
682,schlimm::A,grave,அருவருப்பான
683,wahr::A,vero,உண்மையான
684,alt::A,vecchio,பழைய
685,neu::A,nuovo,புதிய
686,ehemalig::A,vecchio,முன்நாள்
687,ehemalig::A,d'una_volta,முன்நாள்
688,alt[Lebewesen]::A,anziano,வயதான
689,jung::A,giovane,இளமையான
690,arm::A,pòvero,ஏழ்மையான
691,reich::A,ricco,செல்வம் படைத்த
692,bekannt::A,noto,பழக்கப்பட்ட
693,bekannt::A,conosciuto,பழக்கப்பட்ட
694,berühmt::A,famoso,புகழ்பெற்ற
695,berühmt::A,cèlebre,புகழ்பெற்ற
696,fremd::A,estràneo,அயல் நாட்டு
697,fremd::A,straniero,அயல் நாட்டு
