,Concept_ID,mhr,it
167,Tier::N,живо́тный,animale
168,Herde::N,кӱ́тӱ,gregge
169,Herde::N,тӱшка́,gregge
170,Kuh::N,ушка́л,vacca
171,Bulle::N,ӱ́шкыж,toro
172,Pferd::N,и́мне,cavallo
173,Schaf::N,шо́рык,pècora
174,Schwein::N,сӧсна́,porco
175,Schwein::N,сӧсна́,maiale
176,Hund::N,пий,cane
177,Katze::N,пы́рыс,gatta
178,Bär::N,маска́,orso
179,Eichhörnchen::N,ур,scoiàttolo
180,Elch::N,шо́рдо,alce
181,Fuchs::N,ры́выж,volpe
182,Hase::N,мера́ҥ,lepre
183,Maus::N,коля́,topo
184,Maus::N,коля́,sorcio
185,Wolf::N,пи́ре,lupo
186,Vogel::N,ка́йык,uccello
187,Schwarm::N,каша́к,stormo
188,Huhn::N,чы́ве,gallina
189,Hahn::N,агыта́н,gallo
190,Gans::N,ко́мбо,oca
191,Adler::N,карагу́ш,àquila
192,Ente::N,лу́до,ànatra
193,Eule::N,тумна́,gufo
194,Eule::N,тумна́,civetta
195,Kranich::N,турня́,gru
196,Krähe::N,кора́к,cornacchia
197,Kuckuck::N,куку́,cuccù
198,Kuckuck::N,куку́,cùculo
199,Schwan::N,йӱ́ксӧ,cigno
200,Fisch::N,кол,pesce
201,Barsch::N,ола́ҥге,pèrsico
202,Hecht::N,нуж,luccio
203,Hecht::N,чорта́н,luccio
204,Schlange[Tier]::N,ки́шке,serpente
205,Wurm::N,шукш,baco
206,Wurm::N,шукш,verme
207,Spinne::N,эҥыре́мыш,ragno
208,Ameise::N,ку́тко,formica
209,Laus::N,тий,pidocchio
210,Mücke::N,шыҥа́,zanzara
211,Fliege::N,ка́рме,mosca
212,Schmetterling::N,лы́ве,farfalla
213,Beere::N,мӧр,bacca
214,Apfel::N,олма́,mela
215,Pilz::N,по́ҥго,fungo
216,Zwiebel::N,шога́н,cipolla
217,Saat::N,нӧ́шмӧ,semente
218,Saat::N,туш,semente
219,Korn::N,шу́рно,grano
220,Heu::N,шу́до,fieno
221,Schale::N,шӱм,buccia
222,Grube::N,выне́м,cava
223,Grube::N,выне́м,fossa
224,Falle::N,лӧ́дӧ,tràppola
225,Schlinge::N,о́птыш,laccio
226,Schlinge::N,шӧрга́лтыш,laccio
227,Spur::N,кыша́,traccia
228,Asche::N,ло́мыж,cenere
229,Dreck::N,лавыра́,fango
230,Eisen::N,кӱ́ртньӧ,ferro
231,Gold::N,шӧ́ртньӧ,oro
232,Silber::N,ший,argento
233,Kohle::N,мландышӱ́й,carbone
234,Glas::N,янда́,vetro
235,Lehm::N,шун,argilla
236,Sand::N,ошма́,arena
237,Sand::N,ошма́,sabbia
238,Mensch::N,еҥ,uomo
239,Mensch::N,еҥ,èssere umano
240,Mensch::N,айде́ме,uomo
241,Mensch::N,айде́ме,èssere umano
242,Mann::N,пӧръе́ҥ,uomo
243,Frau::N,ӱдырама́ш,donna
244,Kind::N,аза́,bambino
245,Junge::N,рве́зе,ragazzo
246,Mädchen::N,ӱдыра́ш,ragazza
247,Familie::N,еш,famiglia
248,Großvater::N,коча́,nonno
249,Großmutter::N,кова́,nonna
250,Eltern::N,ача́-ава́,genitori
251,Vater::N,ача́,padre
252,Mutter::N,ава́,madre
253,Sohn::N,э́рге,figlio
254,Tochter::N,ӱ́дыр,figlia
255,Bruder::N,иза́,fratello
256,Bruder::N,шо́льо,fratello
257,Schwester::N,ака́,sorella
258,Onkel::N,иза́,zio
259,Tante::N,кока́,zia
260,Ehemann::N,мари́й,marito
261,Ehefrau::N,ва́те,moglie
262,Freude::N,куа́н,gioia
263,Freude::N,куа́н,piacere
264,Freude::N,куаныма́ш,gioia
265,Freude::N,куаныма́ш,piacere
266,Gelächter::N,во́штылтыш,risata
267,Glück::N,пиа́л,felicità
268,Kummer::N,о́йго,afflizione
269,Wunsch::N,ку́мыл,desiderio
270,Lust::N,ку́мыл,voglia
271,Geist::N,ӧрт,mente
272,Geist::N,ӧрт,spìrito
273,Geist::N,чон,mente
274,Geist::N,чон,spìrito
275,Gedanke::N,ой,idea
276,Gedanke::N,ой,pensiero
277,Gedanke::N,шоныма́ш,idea
278,Gedanke::N,шоныма́ш,pensiero
279,Gedächtnis::N,шарныма́ш,memoria
280,Verstand::N,уш,intelletto
281,Sinn::N,смысл,senso
282,Sinn::N,смысл,significato
283,Grund::N,ама́л,causa
284,Grund::N,ама́л,motivo
285,Grund::N,ама́л,ragione
286,Wahrheit::N,чын,verità
287,Gespräch::N,мутланыма́ш,discorso
288,Gespräch::N,мутланыма́ш,conversazione
289,Märchen::N,йома́к,fiaba
290,Märchen::N,йома́к,fàvola
291,Erzählung::N,ойлыма́ш,racconto
292,Erzählung::N,ойлыма́ш,narrazione
293,Nachricht::N,увертарыма́ш,messaggio
294,Neuigkeit::N,уве́р,notizia
295,Name::N,лӱм,nome
296,Rätsel::N,ту́што,indovinello
297,Rede::N,ойлыма́ш,discorso
298,Sprache::N,йы́лме,lingua
299,Sprache::N,йы́лме,linguaggio
300,Stimme::N,йӱк,voce
301,Wort::N,ой,parola
302,Wort::N,мут,parola
303,Zeichen::N,ти́ште,segno
304,Zeichen::N,ти́ште,segnale
305,Zeichen::N,знак,segno
306,Zeichen::N,знак,segnale
307,Ruf::N,ӱжма́ш,chiamata
308,Lärm::N,лӱшкыма́ш,chiasso
309,Lärm::N,лӱшкыма́ш,strèpito
310,Lärm::N,йӱк-йӱа́н,chiasso
311,Lärm::N,йӱк-йӱа́н,strèpito
312,Laut::N,йӱк,suono
313,Ton::N,йӱксе́м,tono
314,Lied::N,му́ро,canto
315,Lied::N,му́ро,canzone
316,Ruhe::N,ты́мык,calma
317,Ruhe::N,ты́мык,tranquillità
318,Leute::N,еҥ-влак,gente
319,Volk::N,ка́лык,pòpolo
320,Arbeit::N,паша́,lavoro
321,Gast::N,уна́,òspite
322,Gast::N,уна́,invitato
323,Geschenk::N,пӧле́к,regalo
324,Spiel::N,мо́дыш,gioco
325,Spiel::N,модма́ш,gioco
326,Gesellschaft::N,тӱшка́,compagnìa
327,Hilfe::N,по́лыш,aiuto
328,Hilfe::N,по́лыш,soccorso
329,Freund::N,таҥ,amico
330,Freund::N,йолта́ш,amico
331,Kamerad::N,таҥ,camerata
332,Angelegenheit::N,паша́,affare
333,Angelegenheit::N,паша́,faccenda
334,Anzahl::N,чот,nùmero
335,Anzahl::N,чот,quantità
336,Art::N,вид,tipo
337,Art::N,вид,specie
338,Stück::N,ка́тыш,pezzo
339,Stück::N,ла́стык,pezzo
340,Teil::N,ужа́ш,parte
341,Hälfte::N,пел,metà
342,Hälfte::N,пе́ле,metà
343,Kreis::N,ты́ртыш,cìrcolo
344,Kreuz::N,ыре́с,croce
345,Linie::N,ли́ний,lìnea
346,Strich::N,коре́ш,tratto
347,Abstand::N,кокла́,distanza
348,Entfernung::N,тора́,distanza
349,Entfernung::N,тора́,lontananza
350,Entfernung::N,ку́жыт,distanza
351,Entfernung::N,ку́жыт,lontananza
352,Gegend::N,кунде́м,regione
353,Platz::N,ку́мдык,posto
354,Platz::N,ку́мдык,spazio
355,Ort::N,вер,luogo
356,Ort::N,вер,località
357,Ort::N,о́лмо,luogo
358,Ort::N,о́лмо,località
359,Seite::N,ӧ́рдыж,lato
360,Seite::N,ӧ́рдыж,parte
361,Mitte::N,покше́л,mezzo
362,Mitte::N,покше́л,centro
363,Gegenstand::N,наста́,oggetto
364,Sache::N,наста́,cosa
365,Rand::N,тӱр,orlo
366,Rand::N,тӱр,bordo
367,Kante::N,тӱр,spìgolo
368,Ecke::N,лук,canto
369,Spitze::N,вуй,punta
370,Ende::N,муча́ш,capo
371,Ende::N,муча́ш,estremità
372,Loch::N,рож,buco
373,Winkel::N,лук,àngolo
374,Muster::N,пеза́к,disegno
375,Muster::N,узо́р,disegno
376,Muster::N,ӱ́лгӧ,disegno
377,Größe::N,кӱ́кшыт,taglia
378,Größe::N,кӱ́кшыт,grandezza
379,Länge::N,ку́тыш,lunghezza
380,Höhe::N,кӱ́кшыт,altezza
381,Gewicht::N,не́лыт,peso
382,Menge::N,чот,quantità
383,Haufen::N,кы́шыл,cùmulo
384,Haufen::N,кы́шыл,mucchio
385,Reihe::N,рада́м,fila
386,Boot::N,пуш,barca
387,Boot::N,пуш,battello
388,Ruder::N,эшка́к,remo
389,Schlitten::N,тер,slitta
390,Schlitten::N,изде́р,slitta
391,Ski::N,е́че,sci
392,Lagerfeuer::N,туло́то,falò
393,Lagerfeuer::N,туло́то,fuoco di bivacco
394,Last::N,нӧ́лтыш,càrico
395,Gang::N,ошкылма́ш,andata
396,Schritt::N,о́шкыл,passo
397,Norden::N,йӱдйыма́л,nord
398,Norden::N,йӱдйыма́л,settentrione
399,Süden::N,кечывалве́л,sud
400,Süden::N,кечывалве́л,meridione
401,Westen::N,касве́л,òvest
402,Westen::N,касве́л,occidente
403,Osten::N,эрве́л,est
404,Osten::N,эрве́л,oriente
405,Holz::N,пу,legno
406,Brett::N,оҥа́,asse
407,Brett::N,оҥа́,tàvola
408,Platte::N,аста́р,lastra
409,Platte::N,аста́р,piastra
410,Stütze::N,чара́к,supporto
411,Stange::N,лома́ш,sbarra
412,Stange::N,лома́ш,pèrtica
413,Stock::N,тоя́,verga
414,Stock::N,тоя́,bastone
415,Stock::N,тоя́,bacchetta
416,Stab::N,вара́,asta
417,Stab::N,кашта́,asta
418,Rohr::N,пуч,tubo
419,Haus::N,пӧрт,casa
420,Heim::N,мӧ́ҥгӧ,casa
421,Ofen::N,комака́,stufa
422,Fußboden::N,кӱва́р,pavimento
423,Tisch::N,ӱсте́л,tàvolo
424,Stuhl::N,пӱке́н,sedia
425,Wiege::N,шепка́,culla
426,Bett::N,ва́кшыш,letto
427,Regal::N,шӧ́рлык,scaffale
428,Kiste::N,шо́ндык,cassa
429,Kiste::N,я́шлык,cassa
430,Fenster::N,окна́,finestra
431,Tür::N,омса́,porta
432,Tor::N,капка́,portone
433,Zaun::N,сава́р,recinto
434,Dach::N,леве́дыш,tetto
435,Leiter::N,тошка́лтыш,scala
436,Leiter::N,тошка́лтыш,scala a pioli
437,Besen::N,ӱштерво́штыр,scopa
438,Spaten::N,ко́льмо,vanga
439,Schaufel::N,сово́к,pala
440,Schaufel::N,су́ско,pala
441,Gabel::N,ви́лке,forchetta
442,Löffel::N,па́не,cucchiaio
443,Löffel::N,совла́,cucchiaio
444,Messer::N,кӱ́зӧ,coltello
445,Nagel::N,пуда́,chiodo
446,Netz::N,вапш,rete
447,Haken::N,са́гыле,uncino
448,Griff::N,кыл,mànico
449,Griff::N,кыл,maniglia
450,Schloss::N,кӧгӧ́н,serratura
451,Bild::N,сӱре́т,quadro
452,Bild::N,сӱре́т,immàgine
453,Figur::N,фигу́р,figura
454,Puppe::N,курча́к,bàmbola
455,Beutel::N,меша́к,borsa
456,Beutel::N,меша́к,sacchetto
457,Bündel::N,арша́ш,fascio
458,Bündel::N,арша́ш,fagotto
459,Tasche::N,сумка́,borsa
460,Eimer::N,ведра́,secchio
461,Deckel::N,ко́мдыш,coperchio
462,Geschirr::N,а́те,stoviglie
463,Sack::N,куль,sacco
464,Sack::N,меша́к,sacco
465,Tasse::N,чу́кыр,tazza
466,Tasse::N,чашка́,tazza
467,Topf::N,ми́ске,pèntola
468,Kessel::N,под,paiolo
469,Kessel::N,под,calderone
470,Essen::N,ко́чкыш,pasto
471,Essen::N,ко́чкыш,mangiare
472,Nahrung::N,ку́рго,cibo
473,Nahrung::N,ку́рго,alimento
474,Speise::N,ко́чкыш,piatto
475,Fleisch::N,шыл,carne
476,Getreide::N,шу́рно,cereali
477,Brei::N,пу́чымыш,purè
478,Brei::N,пу́чымыш,pappa
479,Brot::N,ки́нде,pane
480,Scheibe::N,ка́тыш,fetta
481,Scheibe::N,ка́тыш,trancia
482,Fett::N,коя́,grasso
483,Butter::N,ӱй,burro
484,Öl::N,ӱй,olio
485,Salz::N,шинча́л,sale
486,Suppe::N,шӱр,zuppa
487,Suppe::N,шӱр,minestra
488,Honig::N,мӱй,miele
489,Milch::N,шӧр,latte
490,Tee::N,чай,tè
491,Leder::N,сура́н,pelle
492,Leder::N,шӱ́штӧ,pelle
493,Wolle::N,пун,lana
494,Stoff::N,куэ́м,panno
495,Stoff::N,куэ́м,tessuto
496,Stoff::N,посто́,panno
497,Stoff::N,посто́,tessuto
498,Nadel::N,и́ме,ago
499,Faden::N,шӱ́ртӧ,filo
500,Knopf::N,по́лдыш,bottone
501,Knoten::N,пышке́м,nodo
502,Farbe::N,чия́,pittura
503,Kleidung::N,чие́м,vestiti
504,Kleidung::N,чие́м,vestiario
505,Kleidung::N,вурге́м,vestiti
506,Kleidung::N,вурге́м,vestiario
507,Hemd::N,ту́выр,camicia
508,Kragen::N,сога́,bàvero
509,Kragen::N,сога́,colletto
510,Ärmel::N,шокш,mànica
511,Hose::N,йола́ш,calzoni
512,Gürtel::N,ӱ́штӧ,cintura
513,Mütze::N,упш,berretto
514,Schuh::N,боти́нке,scarpa
515,Stiefel::N,кем,stivale
516,Ring::N,шерга́ш,anello
517,Band::N,тасма́,nastro
518,Band::N,тасма́,fettuccia
519,Band::N,ле́нте,nastro
520,Band::N,ле́нте,fettuccia
521,Kamm::N,шерге́,pèttine
522,Spiegel::N,вошто́нчыш,specchio
523,Riemen::N,кӱзанӱ́штӧ,cinghia
524,Schnur::N,кере́м,corda
525,Schnur::N,кандыра́,corda
526,Leine::N,вӱра́ҥ,guinzaglio
527,Decke::N,леве́дыш,coperta
528,Decke::N,одея́л,coperta
529,Kissen::N,кӱ́пчык,cuscino
530,Kissen::N,кӱ́пчык,guanciale
531,Tuch::N,шо́выч,fazzoletto
532,Handtuch::N,со́лык,asciugamano
533,Kraft::N,вий,forza
534,Kraft::N,куа́т,forza
535,Stärke::N,куа́т,forza
536,Stärke::N,куа́т,vigore
537,Stärke::N,куа́т,fortezza
538,Stärke::N,карма́н,forza
539,Stärke::N,карма́н,vigore
540,Stärke::N,карма́н,fortezza
541,Gesundheit::N,таза́лык,salute
542,Krankheit::N,чер,malattìa
543,Schmerz::N,ко́рштыш,dolore
544,Wunde::N,су́сыр,piaga
545,Wunde::N,су́сыр,ferita
546,Fieber::N,йӱштыму́ж,febbre
547,Fieber::N,лихора́дке,febbre
548,Arznei::N,эм,fàrmaco
549,Arznei::N,эм,medicina
550,Brücke::N,кӱва́р,ponte
551,Brunnen::N,вӱдвыне́м,pozzo
552,Weide::N,нурше́р,pàscolo
553,Pfad::N,йолго́рно,sentiero
554,Pfad::N,сокма́к,sentiero
555,Weg::N,ко́рно,via
556,Weg::N,ко́рно,cammino
557,Straße::N,ко́рно,strada
558,Dorf::N,ял,paese
559,Dorf::N,ял,villaggio
560,Stadt::N,ола́,città
561,Brief::N,се́рыш,lèttera
562,Buch::N,книга́,libro
563,Buchstabe::N,буква́,lèttera
564,Zeitung::N,газе́т,giornale
565,Leben::N,и́лыш,vita
566,Tod::N,колыма́ш,morte
567,Grab::N,шӱга́р,tomba
568,Grab::N,шӱга́р,sepolcro
569,Kirche::N,че́рке,chiesa
570,Sünde::N,су́лык,peccato
571,Gott::N,ю́мо,dio
572,Arbeiter::N,паша́зе,operaio
573,Arbeiter::N,паша́зе,lavoratore
574,Chef::N,тӧра́,capo
575,Chef::N,тӧра́,padrone
576,Meister::N,маста́р,mastro
577,Meister::N,маста́р,maestro
578,Arzt::N,врач,mèdico
579,Arzt::N,врач,dottore
580,Lehrer::N,ту́ныктышо,professore
581,Geld::N,окса́,soldi
582,Geld::N,окса́,denaro
583,Geschäft::N,сатулыма́ш,affare
584,Geschäft::N,сатулыма́ш,negozio
585,Laden::N,ке́выт,negozio
586,Preis::N,ак,prezzo
587,Ware::N,сату́,merce
588,Nutzen::N,пайда́,ùtile
589,Nutzen::N,пайда́,profitto
590,Reichtum::N,поя́нлык,ricchezza
591,Welt::N,тӱня́,mondo
592,Land::N,эл,paese
593,Staat::N,кугыжа́ныш,Stato
594,König::N,кугыжа́,re
595,Macht::N,власть,potere
596,Grenze::N,грани́ца,confine
597,Grenze::N,грани́ца,frontiera
598,Krieg::N,сар,guerra
599,Feind::N,тушма́н,nemico
600,Gewalt::N,виешлыма́ш,violenza
601,Kampf::N,кредалма́ш,lotta
602,Bogen[Waffe]::N,юҥе́ж,arco
603,Pfeil::N,пикш,freccia
604,Gewehr::N,пыча́л,fucile
605,Fehler::N,йо́ҥылыш,errore
606,Fehler::N,йо́ҥылыш,sbaglio
607,Lüge::N,шоя́к,bugìa
608,Lüge::N,шоя́к,menzogna
609,Schaden::N,зия́н,danno
610,Unglück::N,эҥге́к,sfortuna
611,Schuld::N,тита́к,colpa
612,Schuld::N,йола́,colpa
613,Alter::N,ийго́т,età
614,Schluss::N,муча́ш,fine
615,Zeit::N,жап,tempo
616,Zeit::N,па́гыт,tempo
617,Tag::N,ке́че,giorno
618,Tag::N,ке́че,giornata
619,Morgen::N,эр,mattina
620,Mittag::N,кечыва́л,mezzogiorno
621,Abend::N,кас,sera
622,Abend::N,кас,serata
623,Nacht::N,йӱд,notte
624,Woche::N,арня́,settimana
625,Monat::N,ты́лзе,mese
626,Jahr::N,ий,anno
627,Frühling::N,шо́шо,primavera
628,Sommer::N,кеҥе́ж,estate
629,Herbst::N,шы́же,autunno
630,Winter::N,те́ле,inverno
631,Januar::N,шоркыйол,gennaio
632,Januar::N,идалыкву́й,gennaio
633,Januar::N,янва́рь,gennaio
634,Februar::N,пургыж,febbraio
635,Februar::N,февра́ль,febbraio
636,März::N,ӱярня,marzo
637,März::N,март,marzo
638,April::N,апре́ль,aprile
639,Mai::N,ага,maggio
640,Mai::N,май,maggio
641,Juni::N,пеледыш,giugno
642,Juni::N,ию́нь,giugno
643,Juli::N,сӱрем,luglio
644,Juli::N,ию́ль,luglio
645,August::N,сорла,agosto
646,August::N,агарма́н,agosto
647,August::N,а́вгуст,agosto
648,September::N,идым,settembre
649,September::N,сентя́брь,settembre
650,Oktober::N,шыжа,ottobre
651,Oktober::N,октя́брь,ottobre
652,November::N,кылме тылзе,novembre
653,November::N,ноя́брь,novembre
654,Dezember::N,дека́брь,dicembre
655,Montag::N,шо́чмо,lunedì
656,Dienstag::N,ку́шкыжмо,martedì
657,Mittwoch::N,вӱрге́че,mercoledì
658,Donnerstag::N,изарня́,giovedì
659,Freitag::N,кугарня́,venerdì
660,Samstag::N,шуматке́че,sàbato
661,Sonntag::N,рушарня́,domenica
662,groß::A,кугу́,grande
663,klein::A,изи́,pìccolo
664,lang::A,кужу́,lungo
665,kurz::A,кӱ́чык,corto
666,breit::A,кумда́,largo
667,schmal::A,а́ҥысыр,stretto
668,dicht::A,ну́гыдо,denso
669,dick[Gegenstand]::A,кӱ́жгӧ,spesso
670,dünn::A,ви́чкыж,sottile
671,fein::A,ты́гыде,fine
672,fein::A,ты́гыде,delicato
673,fest::A,чо́ткыдо,sodo
674,fest::A,чо́ткыдо,fisso
675,flach::A,лапка́,piano
676,flach::A,лапка́,piatto
677,glatt::A,яклака́,liscio
678,hart::A,пе́ҥгыде,duro
679,weich::A,пу́шкыдо,molle
680,rund::A,йырге́шке,rotondo
681,spitz::A,коша́р,aguzzo
682,spitz::A,коша́р,appuntito
683,scharf::A,пӱ́сӧ,affilato
684,scharf::A,пӱ́сӧ,tagliente
685,stumpf::A,токма́к,smussato
686,schwer::A,не́ле,pesante
687,schön::A,сы́лне,bello
688,heiß::A,шо́кшо,caldo
689,heiß::A,шо́кшо,bollente
690,warm::A,ле́ве,caldo
691,kalt::A,йӱ́штӧ,freddo
692,kühl::A,юа́лге,fresco
693,kühl::A,южгата́,fresco
694,frisch::A,свежа́,fresco
695,feucht::A,вӱ́дыжгӧ,ùmido
696,nass::A,нӧ́рӧ,bagnato
697,trocken::A,ку́кшо,secco
698,voll::A,тич,pieno
699,leer::A,яра́,vuoto
700,offen::A,виш,aperto
701,geschlossen::A,пе́тырыме,chiuso
702,geschlossen::A,тӱ́чмӧ,chiuso
703,sauber::A,ару́,netto
704,sauber::A,ару́,pulito
705,sauber::A,янда́р,netto
706,sauber::A,янда́р,pulito
707,schmutzig::A,лавыра́н,sporco
708,schmutzig::A,лавыра́н,sùdicio
709,schmutzig::A,ла́выргыше,sporco
710,schmutzig::A,ла́выргыше,sùdicio
711,roh::A,кӱ́чымӧ,crudo
712,reif::A,лӧза́,maturo
713,lecker::A,ту́тло,ghiotto
714,lecker::A,ту́тло,squisito
715,süß::A,ше́ре,dolce
716,bitter::A,ко́чо,amaro
717,sauer::A,шо́по,aspro
718,sauer::A,шо́по,acerbo
719,hell::A,во́лгыдо,chiaro
720,dunkel::A,пычке́мыш,buio
721,dunkel::A,пычке́мыш,oscuro
722,schwarz::A,шола́,nero
723,weiß::A,ош,bianco
724,rot::A,йошка́р,rosso
725,gelb::A,сар,giallo
726,blau::A,ка́нде,blu
727,blau::A,ка́нде,azzurro
728,grün::A,ужа́р,verde
729,grau::A,сур,grigio
730,bunt::A,олача́,variopinto
731,billig::A,шу́лдо,a buon prezzo
732,billig::A,шу́лдо,a buon mercato
733,teuer::A,ше́рге,caro
734,wertvoll::A,шергака́н,prezioso
735,blind::A,со́кыр,cieco
736,taub::A,соҥгыра́,sordo
737,kräftig::A,куа́тле,forte
738,kräftig::A,куа́тле,robusto
739,stark::A,вия́н,forte
740,stark::A,вия́н,vigoroso
741,schwach::A,а́лдыме,dèbole
742,fett::A,коя́,grasso
743,schlank::A,йоштката́,snello
744,schlank::A,йоштката́,slanciato
745,schlank::A,яжу́,snello
