,Concept_ID,hy,fa
158,Klaue::N,չանչ,چنگ
159,Klaue::N,չանչ,پنجه
160,Kralle::N,ճանկ,پنجه
161,Schwanz::N,պոչ,دم
162,Ei::N,ձու,تخم
163,Nest::N,բույն,لانه
164,Bau::N,որջ,بنا
165,Bau::N,որջ,ساختمان
166,Bau::N,բայոց,بنا
167,Bau::N,բայոց,ساختمان
168,Tier::N,կենդանի,هیوان
169,Herde::N,հոտ,رمه
170,Kuh::N,կով,گاو
171,Bulle::N,ցուլ,گاو نر
172,Pferd::N,ձի,اسب
173,Schaf::N,ոչխար,گوسفند
174,Schwein::N,խոզ,خوک
175,Hund::N,շուն,سگ
176,Katze::N,կատու,گربه
177,Bär::N,արջ,خرس
178,Eichhörnchen::N,սկյուռ,سنجاب
179,Elch::N,հիւսիսային եղջերու,گوزن شمالی
180,Fuchs::N,աղվես,روباه
181,Hase::N,նապաստակ,خرگوش
182,Maus::N,մուկ,موش
183,Wolf::N,գայլ,گرگ
184,Vogel::N,թռչուն,پرنده
185,Schwarm::N,երամ,دسته
186,Huhn::N,հավ,مرغ
187,Hahn::N,աքաղաղ,خروس
188,Gans::N,սագ,غاز
189,Adler::N,արծիվ,عقاب
190,Ente::N,բադ,اردک
191,Ente::N,բադ,مرغابی
192,Eule::N,բու,جغد
193,Kranich::N,կռունկ,درنا
194,Krähe::N,ագռավ,زاغ
195,Krähe::N,ագռավ,کلاغ
196,Kuckuck::N,կուկու,فاخته
197,Schwan::N,կարապ,قو
198,Fisch::N,ձուկ,ماهی
199,Barsch::N,պերկես,ماهی خاردار
200,Hecht::N,գայլաձուկ,اردک ماهی
201,Schlange[Tier]::N,օձ,مار
202,Wurm::N,որդ,کرم
203,Wurm::N,ճիճու,کرم
204,Spinne::N,սարդ,عنکبوت
205,Ameise::N,միջյուն,مورچه
206,Laus::N,ոջիլ,شپش
207,Mücke::N,մժղուկ,پشه
208,Fliege::N,ճանճ,مگس
209,Schmetterling::N,թիթեռ,پروانه
210,Beere::N,հատապտուղ,گیله
211,Apfel::N,խնձոր,سیب
212,Pilz::N,սունկ,قارچ
213,Zwiebel::N,սոխ,پیاز
214,Saat::N,սերմ,بذر
215,Korn::N,հատիկ,تخم
216,Korn::N,հատիկ,دانه
217,Heu::N,խոտ,علف خشک
218,Schale::N,կեղեւ,پوست
219,Grube::N,փոս,گودال
220,Falle::N,ծուղակ,دام
221,Schlinge::N,խեղդան,حلقه
222,Spur::N,հետք,رد
223,Asche::N,մոխիր,خاکستر
224,Dreck::N,աղտ,کثافت
225,Eisen::N,երկաթ,آهن
226,Gold::N,ոսկի,زر
227,Gold::N,ոսկի,طلا
228,Silber::N,արծաթ,نقره
229,Kohle::N,քարածուխ,زغال
230,Glas::N,ապակի,شیشه
231,Lehm::N,կավ,گل
232,Sand::N,ավազ,شن
233,Sand::N,ավազ,ماسه
234,Mensch::N,մարդ,آدم
235,Mensch::N,մարդ,انسان
236,Mann::N,մարդ,مرد
237,Mann::N,տղամարդ,مرد
238,Frau::N,կին,زن
239,Kind::N,զավակ,بچه
240,Kind::N,զավակ,کودک
241,Junge::N,տղա,پسر
242,Mädchen::N,աղջիկ,دختر
243,Familie::N,ընտանիք,فامیل
244,Familie::N,ընտանիք,خانواده
245,Großvater::N,պապ,پدربزرگ
246,Großmutter::N,տատ,مادر‌بزرگ
247,Eltern::N,ծնողներ,والدین
248,Eltern::N,ծնողներ,پدر‌و‌مادر
249,Vater::N,հայր,پدر
250,Mutter::N,մայր,مادر
251,Sohn::N,որդի,پسر
252,Tochter::N,աղջիկ,دختر
253,Tochter::N,դուստր,دختر
254,Bruder::N,եղբայր,برادر
255,Schwester::N,քույր,خواهر
256,Onkel::N,քեռի,عمو
257,Onkel::N,քեռի,دایی
258,Onkel::N,հորեղբայր,عمو
259,Onkel::N,հորեղբայր,دایی
260,Tante::N,մորաքույր,عمه
261,Tante::N,մորաքույր,خاله
262,Ehemann::N,մարդ,همسر
263,Ehemann::N,ամուսին,همسر
264,Ehefrau::N,կին ամուսին,همسر
265,Freude::N,ուրախություն,شادی
266,Gelächter::N,ծիծաղ,خنده
267,Gelächter::N,ծիծաղ,قاه‌قاه
268,Glück::N,երջանկություն,اقبال
269,Kummer::N,վիշտ,غم
270,Kummer::N,վիշտ,غصه
271,Wunsch::N,ցանկություն,آرزو
272,Lust::N,փափագ,هوس
273,Lust::N,իղձ,هوس
274,Geist::N,ոգի,روح
275,Gedanke::N,միտք,فکر
276,Gedächtnis::N,հիշողություն,حافظه
277,Verstand::N,խելք,هوش
278,Sinn::N,իմաստ,معنا
279,Sinn::N,իմաստ,مفهوم
280,Grund::N,պատճառ,سبب
281,Grund::N,պատճառ,دلیل
282,Wahrheit::N,ճշմարտություն,حقیقت
283,Gespräch::N,զրույց,صحبت
284,Gespräch::N,զրույց,گفتگو
285,Märchen::N,պայիկի պատմություն,قصه
286,Märchen::N,պայիկի պատմություն,افسانه
287,Erzählung::N,պատմվածք,داستان
288,Erzählung::N,պատմություն,داستان
289,Nachricht::N,հաղորդագրություն,خبر
290,Neuigkeit::N,լուր,خبر تازه
291,Neuigkeit::N,նորություն,خبر تازه
292,Name::N,անուն,اسم
293,Rätsel::N,բարդ խնդիր,معما
294,Rede::N,ճառ,سخن
295,Rede::N,ելույթ,سخن
296,Sprache::N,լեզու,زبان
297,Stimme::N,ձայն,صدا
298,Wort::N,բառ,کلمه
299,Zeichen::N,նշան,نشان
300,Zeichen::N,նշան,علامت
