,Concept_ID,el,no
187,Hase::N,λαγός,hare
188,Maus::N,ποντικός,mus
189,Wolf::N,λύκος,ulv
190,Wolf::N,λύκος,varg
191,Vogel::N,πουλί,fugl
192,Schwarm::N,σμήνος,sverm
193,Huhn::N,κότα,høne
194,Huhn::N,όρνιθα,høne
195,Hahn::N,πετεινός,hane
196,Gans::N,χήνα,gås
197,Adler::N,αετός,ørn
198,Ente::N,πάπια,and
199,Eule::N,κουκουβάγια,ugle
200,Kranich::N,γερανός,trane
201,Krähe::N,καρακάξα,kråke
202,Kuckuck::N,κούκος,gjøk
203,Schwan::N,κύκνος,svane
204,Fisch::N,ψάρι,fisk
205,Barsch::N,πέρκα,abbor
206,Hecht::N,λούτσος,gjedde
207,Schlange[Tier]::N,φίδι,orm
208,Schlange[Tier]::N,φίδι,slange
209,Wurm::N,σκουλήκι,orm
210,Wurm::N,σκουλήκι,mark
211,Spinne::N,αράχνη,edderkopp
212,Ameise::N,μυρμήγκι,maur
213,Laus::N,ψείρα,lus
214,Mücke::N,κουνούπι,mygg
215,Fliege::N,μύγα,flue
216,Schmetterling::N,πεταλούδα,sommerfugl
217,Beere::N,ρόγα,bær
218,Apfel::N,μήλο,eple
219,Pilz::N,μανιτάρι,sopp
220,Zwiebel::N,κρεμμύδι,løk
221,Saat::N,σπόρος,sæd
222,Korn::N,σπυρί,korn
223,Heu::N,σανός,høy
224,Schale::N,τσόφλι,skall
225,Grube::N,λάκκος,grop
226,Falle::N,παγίδα,felle
227,Schlinge::N,θηλειά,snare
228,Spur::N,ίχνος,spor
229,Asche::N,στάχτη,aske
230,Dreck::N,βρωμιά,møkk
231,Dreck::N,βρωμιά,skitt
232,Eisen::N,σίδερο,jern
233,Gold::N,μάλαμα,gull
234,Gold::N,χρυσάφι,gull
235,Silber::N,ασήμι,sølv
236,Silber::N,άργυρος,sølv
237,Kohle::N,κάρβουνο,kol
238,Kohle::N,κάρβουνο,kull
239,Glas::N,γυαλί,glass
240,Lehm::N,πηλός,leire
241,Sand::N,άμμος,sand
242,Mensch::N,άνθρωπος,menneske
243,Mann::N,άνδρας,mann
244,Frau::N,γυναίκα,kvinne
245,Kind::N,παιδί,barn
246,Junge::N,αγόρι,gutt
247,Mädchen::N,κοπέλα,pike
248,Mädchen::N,κοπέλα,jente
249,Mädchen::N,κορίτσι,pike
250,Mädchen::N,κορίτσι,jente
251,Familie::N,οικογένεια,familie
252,Großvater::N,παππούς,bestefar
253,Großmutter::N,γιαγιά,bestemor
254,Eltern::N,γονείς,foreldre
255,Vater::N,πατέρας,far
256,Mutter::N,μητέρα,mor
257,Sohn::N,γιος,sønn
258,Tochter::N,κόρη,datter
259,Bruder::N,αδελφός,bror
260,Schwester::N,αδελφή,søster
261,Onkel::N,θείος,onkel
262,Tante::N,θεία,tante
263,Ehemann::N,σύζυγος,ektemann
264,Ehefrau::N,σύζυγος,hustru
265,Freude::N,χαρά,glede
266,Gelächter::N,γέλια,latter
267,Glück::N,ευτυχία,lykke
268,Kummer::N,έγνοια,sorg
269,Wunsch::N,επιθυμία,ønske
270,Lust::N,όρεξη,lyst
271,Geist::N,πνέυμα,ånd
272,Gedanke::N,σκέψη,tanke
273,Gedächtnis::N,μνήμη,minne
274,Gedächtnis::N,μνήμη,hukommelse
275,Verstand::N,νους,forstand
276,Sinn::N,νόημα,mening
277,Sinn::N,νόημα,betydning
278,Grund::N,λόγος,grunn
279,Wahrheit::N,αλήθεια,sannhet
280,Gespräch::N,συνομιλία,samtale
281,Märchen::N,παραμύθι,eventyr
282,Erzählung::N,διήγημα,fortelling
283,Nachricht::N,είδηση,melding
284,Neuigkeit::N,νέο,nyhet
285,Name::N,όνομα,navn
286,Rätsel::N,αίνιγμα,gåte
287,Rede::N,λόγος,tale
288,Rede::N,ομιλία,tale
289,Sprache::N,γλώσσα,språk
290,Stimme::N,φωνή,stemme
291,Wort::N,λέξη,ord
292,Zeichen::N,σημείο,tegn
293,Ruf::N,κραυγή,rop
294,Lärm::N,θόρυβος,bråk
295,Laut::N,ήχος,lyd
296,Ton::N,ήχος,tone
297,Ton::N,τόνος,tone
298,Lied::N,τραγούδι,vise
299,Ruhe::N,ησυχία,ro
300,Leute::N,κόσμος,folk
301,Leute::N,άνθρωποι,folk
302,Volk::N,λαός,folk
303,Arbeit::N,εργασία,arbeid
304,Gast::N,επισκέπτης,gjest
305,Geschenk::N,δώρο,gave
306,Spiel::N,παιχνίδι,lek
307,Spiel::N,παιχνίδι,spill
308,Gesellschaft::N,κοινωνία,selskap
309,Hilfe::N,βοήθεια,hjelp
310,Freund::N,φίλος,venn
311,Kamerad::N,σύντροφος,kamerat
312,Angelegenheit::N,υπόθεση,sak
313,Angelegenheit::N,υπόθεση,anliggende
314,Anzahl::N,αριθμός,antall
315,Art::N,είδος,art
316,Art::N,είδος,slag
317,Stück::N,κομμάτι,stykke
318,Teil::N,μέρος,del
319,Hälfte::N,μισό,halvdel
320,Kreis::N,κύκλος,ring
321,Kreis::N,κύκλος,sirkel
322,Kreuz::N,σταυρός,kors
323,Kreuz::N,σταυρός,kryss
324,Linie::N,γραμμή,linje
325,Strich::N,γραμμή,strek
326,Abstand::N,απόσταση,avstand
327,Entfernung::N,απόσταση,avstand
328,Gegend::N,περιοχή,strøk
329,Gegend::N,τοποθεσία,strøk
330,Platz::N,χώρος,plass
331,Ort::N,τόπος,sted
332,Seite::N,πλευρά,side
333,Mitte::N,μέση,midte
334,Gegenstand::N,αντικείμενο,gjenstand
335,Sache::N,πράγμα,sak
336,Rand::N,άκρη,rand
337,Rand::N,χείλος,rand
338,Kante::N,άκρη,kant
339,Ecke::N,γωνιά,hjørne
340,Spitze::N,μύτη,spiss
341,Ende::N,άκρη,ende
342,Loch::N,τρύπα,hull
343,Winkel::N,γωνία,vinkel
344,Muster::N,σχέδιο,mønster
345,Größe::N,μέγεθος,størrelse
346,Länge::N,μήκος,lengde
347,Höhe::N,ύψος,høyde
348,Gewicht::N,βάρος,vekt
349,Menge::N,ποσότητα,mengde
350,Haufen::N,σωρός,haug
351,Haufen::N,σωρός,bunke
352,Reihe::N,αράδα,rekke
353,Boot::N,βάρκα,båt
354,Ruder::N,κουπί,åre
355,Schlitten::N,έλκηθρο,slede
356,Schlitten::N,έλκηθρο,kjelke
357,Ski::N,σκι,ski
358,Lagerfeuer::N,φωτιά,leirbål
359,Last::N,φορτίο,bør
360,Last::N,φορτίο,last
361,Gang::N,δρόμος,gang
362,Schritt::N,βήμα,steg
363,Schritt::N,βήμα,skritt
364,Norden::N,βορράς,nord
365,Süden::N,νότος,sør
366,Westen::N,δύση,vest
367,Osten::N,ανατολή,øst
368,Holz::N,ξύλο,tre
369,Brett::N,σανίδι,fjøl
370,Brett::N,σανίδι,brett
371,Platte::N,πλάκα,plate
372,Stütze::N,στήριγμα,støtte
373,Stange::N,ραβδί,stang
374,Stange::N,κοντός,stang
375,Stock::N,ξύλο,pinne
376,Stock::N,μπαστούνι,pinne
377,Stab::N,ραβδί,stav
378,Stab::N,ραβδί,kjepp
379,Rohr::N,σωλήνας,rør
380,Haus::N,σπίτι,hus
381,Heim::N,σπίτι,hjem
382,Ofen::N,σόμπα,ovn
383,Ofen::N,θερμάστρα,ovn
384,Fußboden::N,πάτωμα,gulv
385,Tisch::N,τραπέζι,bord
386,Stuhl::N,καρέκλα,stol
387,Wiege::N,κούνια,vogge
388,Bett::N,κρεβάτι,seng
389,Regal::N,ράφι,reol
390,Regal::N,ράφι,hylle
391,Kiste::N,κιβώτιο,kasse
392,Fenster::N,παράθυρο,vindu
393,Tür::N,πόρτα,dør
394,Tor::N,πύλη,port
395,Zaun::N,φράχτης,gjerde
396,Dach::N,στέγη,tak
397,Leiter::N,σκάλα,stige
398,Leiter::N,κλίμακα,stige
399,Besen::N,σκούπα,kost
400,Spaten::N,φτυάρι,spade
401,Schaufel::N,φτυάρι,skuffe
402,Gabel::N,πιρούνι,gaffel
403,Löffel::N,κουτάλι,skje
404,Messer::N,μαχαίρι,kniv
405,Nagel::N,καρφί,spiker
406,Netz::N,δίχτυ,nett
407,Haken::N,γάντζος,krok
408,Haken::N,αγκίστρι,krok
409,Griff::N,λαβή,tak
410,Griff::N,λαβή,håndtak
411,Schloss::N,κλειδαριά,lås
412,Bild::N,εικόνα,bilde
413,Figur::N,ανάστημα,figur
414,Puppe::N,κούκλα,dukke
415,Beutel::N,πουγγί,pose
416,Bündel::N,δεμάτι,bylt
417,Tasche::N,τσάντα,veske
418,Eimer::N,κουβάς,bøtte
419,Deckel::N,καπάκι,lokk
420,Geschirr::N,σκεύη,kjøkkentøy
421,Sack::N,σάκος,sekk
422,Tasse::N,φλιτζάνι,kopp
423,Topf::N,χύτρα,gryte
424,Kessel::N,καζάνι,kjele
425,Essen::N,φαγητό,mål
426,Nahrung::N,τροφή,mat
427,Nahrung::N,τροφή,næring
428,Speise::N,φαγητό,matrett
429,Fleisch::N,κρέας,kjøtt
430,Getreide::N,σιτάρι,korn
431,Brei::N,χυλός,grøt
432,Brot::N,ψωμί,brød
433,Brot::N,άρτος,brød
434,Scheibe::N,φέτα,skive
435,Fett::N,πάχος,fett
436,Butter::N,βούτυρο,smør
437,Öl::N,λάδι,olje
438,Salz::N,αλάτι,salt
439,Suppe::N,σούπα,suppe
440,Honig::N,μέλι,honning
441,Milch::N,γάλα,melk
442,Tee::N,τσάι,te
443,Leder::N,πετσί,lær
444,Leder::N,πετσί,skinn
445,Wolle::N,μαλλί,ull
446,Stoff::N,ύφασμα,tøy
447,Stoff::N,ύφασμα,stoff
448,Nadel::N,βελόνα,nål
449,Faden::N,κλωστή,tråd
450,Knopf::N,κουμπί,knapp
451,Knoten::N,κόμπος,knute
452,Farbe::N,μπογιά,farge
453,Kleidung::N,ρούχα,påkledning
454,Kleidung::N,ενδυμασία,påkledning
455,Hemd::N,πουκάμισο,skjorte
456,Kragen::N,κολάρο,krage
457,Ärmel::N,μανίκι,erme
458,Hose::N,πανταλόνι,bukse
459,Gürtel::N,ζώνη,belte
460,Mütze::N,σκούφος,lue
461,Schuh::N,παπούτσι,sko
462,Stiefel::N,μπότα,støvel
463,Ring::N,δαχτυλίδι,ring
464,Band::N,κορδέλα,band
465,Kamm::N,χτένα,kam
466,Spiegel::N,καθρέφτης,speil
467,Riemen::N,λουρί,rem
468,Schnur::N,κορδόνι,snor
469,Leine::N,σχοινί,line
470,Decke::N,κουβέρτα,teppe
471,Kissen::N,μαξιλάρι,pute
472,Tuch::N,πανί,tøy
473,Tuch::N,μαντήλι,tøy
474,Handtuch::N,πετσέτα,håndkle
475,Kraft::N,δύναμη,kraft
476,Stärke::N,ισχύς,styrke
477,Stärke::N,δύναμη,styrke
478,Gesundheit::N,υγεία,helse
479,Gesundheit::N,υγεία,sunnhet
480,Krankheit::N,αρρώστια,syke
481,Krankheit::N,αρρώστια,sykdom
482,Schmerz::N,πόνος,smerte
483,Wunde::N,πληγή,sår
484,Fieber::N,πυρετός,feber
485,Arznei::N,φάρμακο,medisin
486,Arznei::N,φάρμακο,legemiddel
487,Brücke::N,γέφυρα,bro
488,Brunnen::N,πηγάδι,brønn
489,Weide::N,βοσκή,beite
490,Pfad::N,μονοπάτι,sti
491,Weg::N,δρόμος,vei
492,Straße::N,οδός,gate
493,Straße::N,δρόμος,gate
494,Dorf::N,χωριό,landsby
495,Stadt::N,πόλη,by
496,Brief::N,γράμμα,brev
497,Brief::N,επιστολή,brev
498,Buch::N,βιβλίο,bok
499,Buchstabe::N,γράμμα,bokstav
500,Zeitung::N,εφημερίδα,avis
501,Leben::N,ζωή,liv
502,Leben::N,βίος,liv
503,Tod::N,θάνατος,død
504,Grab::N,τάφος,grav
505,Kirche::N,εκκλησία,kirke
506,Sünde::N,αμαρτία,synd
507,Gott::N,θεός,gud
508,Arbeiter::N,εργάτης,arbeider
509,Chef::N,προϊστάμενος,sjef
510,Meister::N,μάστορας,mester
511,Meister::N,αρχιτεχνίτης,mester
512,Arzt::N,γιατρός,lege
513,Lehrer::N,δάσκαλος,lærer
514,Geld::N,λεφτά,penger
515,Geld::N,χρήματα,penger
516,Geschäft::N,συναλλαγή,forretning
517,Laden::N,μαγαζί,butikk
518,Laden::N,κατάστημα,butikk
519,Preis::N,τιμή,pris
520,Ware::N,εμπόρευμα,vare
521,Nutzen::N,όφελος,nytte
522,Reichtum::N,πλούτος,rikdom
523,Welt::N,κόσμος,verden
524,Land::N,χώρα,land
525,Staat::N,κράτος,stat
526,Staat::N,πολιτεία,stat
527,König::N,βασιλιάς,konge
528,Macht::N,εξουσία,makt
529,Grenze::N,σύνορα,grense
530,Krieg::N,πόλεμος,krig
531,Feind::N,εχθρός,fiende
532,Gewalt::N,βία,vold
533,Kampf::N,αγώνας,kamp
534,Bogen[Waffe]::N,τόξο,bue
535,Pfeil::N,σαΐτα,pil
536,Gewehr::N,τουφέκι,gevær
537,Fehler::N,λάθος,feil
538,Fehler::N,σφάλμα,feil
539,Lüge::N,ψέμα,løgn
540,Lüge::N,ψεύδος,løgn
541,Schaden::N,ζημία,skade
542,Unglück::N,δυστυχία,uhell
543,Schuld::N,ενοχή,skyld
544,Schuld::N,φταίξιμο,skyld
545,Alter::N,ηλικία,alder
546,Schluss::N,τέλος,slutt
547,Zeit::N,χρόνος,tid
548,Tag::N,μέρα,dag
549,Tag::N,ημέρα,dag
550,Morgen::N,πρωί,morgen
551,Mittag::N,μεσημέρι,middag
552,Abend::N,βράδυ,aften
553,Nacht::N,νύχτα,natt
554,Woche::N,εβδομάδα,uke
555,Monat::N,μήνας,måned
556,Jahr::N,έτος,år
557,Jahr::N,χρόνος,år
558,Frühling::N,άνοιξη,vår
559,Sommer::N,καλοκαίρι,sommer
560,Herbst::N,φθινόπωρο,høst
561,Winter::N,χειμώνας,vinter
562,Januar::N,Ιανουάριος,januar
563,Februar::N,Φεβρουάριος,februar
564,März::N,Μάρτιος,mars
565,April::N,Απρίλιος,april
566,Mai::N,Μάιος,mai
567,Juni::N,Ιούνιος,juni
568,Juli::N,Ιούλιος,juli
569,August::N,Αύγουστος,august
570,September::N,Σεπτέμβριος,september
571,Oktober::N,Οκτώβριος,oktober
572,November::N,Νοέμβριος,november
573,Dezember::N,Δεκέμβριος,desember
574,Montag::N,Δευτέρα,mandag
575,Dienstag::N,Τρίτη,tirsdag
576,Mittwoch::N,Τετάρτη,onsdag
577,Donnerstag::N,Πέμπτη,torsdag
578,Freitag::N,Παρασκευή,fredag
579,Samstag::N,Σάββατο,lørdag
580,Sonntag::N,Κυριακή,søndag
581,groß::A,μεγάλος,stor
582,klein::A,μικρός,liten
583,lang::A,μακρύς,lang
584,kurz::A,κοντός,kort
585,breit::A,φαρδύς,bred
586,schmal::A,στενός,smal
587,dicht::A,πυκνός,tett
588,dick[Gegenstand]::A,παχύς,tykk
589,dick[Gegenstand]::A,χοντρός,tykk
590,dünn::A,ψιλός,tynn
591,dünn::A,λεπτός,tynn
592,fein::A,ψιλός,fin
593,fest::A,στερεός,fast
594,flach::A,επίπεδος,flat
595,glatt::A,λείος,glatt
596,glatt::A,ομαλός,glatt
597,hart::A,σκληρός,hard
598,weich::A,μαλακός,myk
599,weich::A,μαλακός,bløt
600,rund::A,στρογγυλός,rund
601,spitz::A,μυτερός,spiss
602,scharf::A,κοφτερός,kvass
603,stumpf::A,αμβλύς,stubb
604,schwer::A,βαρύς,tung
605,schön::A,ωραίος,pen
606,schön::A,ωραίος,vakker
607,schön::A,όμορφος,pen
608,schön::A,όμορφος,vakker
609,heiß::A,ζεστός,het
610,warm::A,θερμός,varm
611,kalt::A,κρύος,kald
612,kalt::A,ψυχρός,kald
613,kühl::A,δροσερός,kjølig
614,frisch::A,νωπός,fersk
615,frisch::A,φρέσκος,fersk
616,feucht::A,υγρός,fuktig
617,nass::A,βρεγμένος,våt
618,trocken::A,ξηρός,tørr
619,trocken::A,στεγνός,tørr
620,voll::A,γεμάτος,full
621,leer::A,άδειος,tom
622,offen::A,ανοιχτός,åpen
623,geschlossen::A,κλειστός,lukket
624,sauber::A,καθαρός,ren
625,schmutzig::A,βρώμικος,skitten
626,schmutzig::A,λερωμένος,skitten
627,roh::A,ωμός,rå
628,reif::A,ώριμος,moden
629,lecker::A,νόστιμος,lekker
630,süß::A,γλυκός,søt
631,bitter::A,πικρός,besk
632,bitter::A,πικρός,bitter
633,sauer::A,ξινός,sur
634,hell::A,φωτεινός,lys
635,dunkel::A,σκοτεινός,mørk
636,schwarz::A,μαύρος,svart
637,schwarz::A,μελανός,svart
638,weiß::A,άσπρος,hvit
639,rot::A,κόκκινος,rød
640,gelb::A,κίτρινος,gul
641,blau::A,μπλε,blå
642,blau::A,γαλανός,blå
643,grün::A,πράσινος,grønn
644,grau::A,γκρίζος,grå
645,bunt::A,ποικιλόχρωπος,broket
646,billig::A,φτηνός,billig
647,teuer::A,ακριβός,dyr
648,wertvoll::A,πολύτιμος,verdifull
649,blind::A,τυφλός,blind
650,taub::A,κουφός,døv
651,kräftig::A,δυνατός,kraftig
652,stark::A,γερός,sterk
653,schwach::A,αδύνατος,svak
654,fett::A,παχύς,fet
655,schlank::A,λεπτός,slank
656,schlank::A,λυγερός,slank
657,hübsch::A,όμορφος,pen
658,hübsch::A,χαριτωμένος,pen
659,böse::A,κακός,slem
660,dumm::A,κουτός,dum
661,dumm::A,ανόητος,dum
662,faul::A,τεμπέλης,lat
663,faul::A,τεμπέλης,doven
664,fleißig::A,εργατικός,flittig
665,geizig::A,τσιγγούνης,gjerrig
666,klug::A,έξυπνος,klok
667,geschickt::A,επιδέξιος,hendig
668,geschickt::A,επιδέξιος,skikket
669,lieb::A,φίλος,kjær
670,lieb::A,φίλος,snill
671,lieb::A,αγαπητός,kjær
672,lieb::A,αγαπητός,snill
673,lustig::A,εύθυμος,morsom
674,lustig::A,χαρούμενος,morsom
675,sanft::A,ήπιος,blid
676,hungrig::A,πεινασμένος,sulten
677,krank::A,άρρωστος,syk
678,nackt::A,γυμνός,naken
679,traurig::A,λυπημένος,sørgmodig
680,lebendig::A,ζωντανός,levende
681,gut::A,καλός,god
682,schlecht::A,κακός,dårlig
683,richtig::A,σωστός,riktig
684,schlimm::A,άσχημος,slem
685,wahr::A,αληθής,sann
686,wahr::A,αληθινός,sann
687,alt::A,παλιός,gammel
688,neu::A,νέος,ny
689,neu::A,καινούργιος,ny
690,ehemalig::A,παλιός,forhenværende
691,alt[Lebewesen]::A,γέρος,gammel
692,jung::A,νέος,ung
693,arm::A,φτωχός,fattig
694,reich::A,πλούσιος,rik
695,bekannt::A,γνωστός,kjent
696,berühmt::A,περίφημος,berømt
697,berühmt::A,ξακουσμένος,berømt
698,fremd::A,ξένος,fremmed
699,verschieden::A,διαφορετικός,forskjellig
700,nah::A,κοντινός,nær
701,fern::A,μακριά,fjern
702,linker::A,αριστερός,venstre
703,rechter::A,δεξιός,høyre
704,anderer::A,άλλος,annen
705,erster::A,πρώτος,første
706,zweiter::A,δεύτερος,annen
707,dritter::A,τρίτος,tredje
708,letzter::A,τελευταίος,sist
709,allein::ADV,μόνος,alene
710,auf einmal::ADV,εφάπαξ,med ett
711,zusammen::ADV,μαζί,sammen
712,lange::ADV,πολύν καιρό,lenge
713,plötzlich::ADV,έξαφνα,plutselig
714,sofort::ADV,αμέσως,straks
715,später::ADV,αργότερα,senere
716,jetzt::ADV,τώρα,nå
717,heute::ADV,σήμερα,i dag
718,morgen::ADV,αύριο,i morgen
719,bald::ADV,σε λίγο,snart
720,bald::ADV,εντός ολίγου,snart
721,dann::ADV,ύστερα,så
722,gestern::ADV,χτες,i går
723,einst::ADV,ποτέ,engang
724,einst::ADV,άλλοτε,engang
725,damals::ADV,τότε,den gang
726,danach::ADV,μετά,deretter
727,danach::ADV,ύστερα,deretter
728,vorher::ADV,πριν,før
729,vorher::ADV,πριν,i forveien
730,vorher::ADV,προηγουμένως,før
731,vorher::ADV,προηγουμένως,i forveien
732,zuerst::ADV,πρώτα,først
733,einmal::ADV,μία φορά,en gang
734,manchmal::ADV,κάποτε,somme tider
735,oft::ADV,συχνά,ofte
736,oft::ADV,πολλές φορές,ofte
737,immer::ADV,πάντα,alltid
738,immer::ADV,πάντοτε,alltid
739,niemals::ADV,ποτέ,aldri
740,hier::ADV,εδώ,her
741,hierhin::ADV,εδώ,hit
742,von hier::ADV,από δω,herfra
743,dort::ADV,εκεί,der
744,dorthin::ADV,προς τα κει,dit
745,geradeaus::ADV,κατευθείαν,rett fram
746,vorwärts::ADV,εμπρός,fram
747,vorwärts::ADV,εμπρός,framover
748,rückwärts::ADV,πίσω,baklengs
749,zurück::ADV,πίσω,tilbake
750,unten::ADV,κάτω,nede
751,hinab::ADV,προς τα κάτω,ned
752,hinab::ADV,προς τα κάτω,nedover
753,oben::ADV,πάνω,oppe
754,oben::ADV,πάνω,ovenpå
755,oben::ADV,επάνω,oppe
756,oben::ADV,επάνω,ovenpå
