,Concept_ID,sq,et
178,Eichhörnchen::N,ketër,orav
179,Elch::N,dre brilopatë,põder
180,Fuchs::N,dhelpër,rebane
181,Hase::N,lepur,jänes
182,Maus::N,mi,hiir
183,Wolf::N,ujk,hunt
184,Vogel::N,zog,lind
185,Vogel::N,shpend,lind
186,Schwarm::N,luzmë,parv
187,Huhn::N,pulë,kana
188,Hahn::N,gjel,kukk
189,Hahn::N,këndes,kukk
190,Gans::N,patë,hani
191,Adler::N,shqiponjë,kotkas
192,Ente::N,rosë,part
193,Eule::N,buf,kakk
194,Eule::N,buf,öökull
195,Kranich::N,lejlek,kurg
196,Kranich::N,kurrillë,kurg
197,Krähe::N,sorrë,vares
198,Kuckuck::N,qyqe,kägu
199,Schwan::N,mjellmë,luik
200,Fisch::N,peshk,kala
201,Barsch::N,purtekë,ahven
202,Hecht::N,mlysh,haug
203,Schlange[Tier]::N,gjarpër,uss
204,Wurm::N,krimb,uss
205,Wurm::N,krimb,vagel
206,Spinne::N,marimangë,ämblik
207,Ameise::N,thnegël,sipelgas
208,Ameise::N,milingonë,sipelgas
209,Laus::N,morr,täi
210,Mücke::N,kunup,sääsk
211,Mücke::N,mushkonjë,sääsk
212,Fliege::N,mizë,kärbes
213,Schmetterling::N,flutur,liblikas
214,Beere::N,frutë,mari
215,Beere::N,manaferrë,mari
216,Apfel::N,mollë,õun
217,Pilz::N,kërpudhë,seen
218,Zwiebel::N,qepë,sibul
219,Saat::N,farë,seeme
220,Korn::N,grurë,iva
221,Korn::N,grurë,tera
222,Korn::N,kokërr,iva
223,Korn::N,kokërr,tera
224,Heu::N,sanë,hein
225,Schale::N,lëkurë,koor
226,Grube::N,gropë,kaevand
227,Falle::N,kurth,lõks
228,Falle::N,kurth,püünis
229,Falle::N,grackë,lõks
230,Falle::N,grackë,püünis
231,Schlinge::N,nyjë,aas
232,Spur::N,gjurmë,jälg
233,Asche::N,hi,tuhk
234,Dreck::N,baltë,saast
235,Dreck::N,baltë,mustus
236,Eisen::N,hekur,raud
237,Gold::N,ar,kuld
238,Gold::N,flori,kuld
239,Silber::N,argjend,hõbe
240,Kohle::N,qymyr,süsi
241,Glas::N,qelq,klaas
242,Lehm::N,argjilë,savi
243,Sand::N,rërë,liiv
244,Mensch::N,njeri,inimene
245,Mann::N,burrë,mees
246,Mann::N,mashkull,mees
247,Frau::N,grua,naine
248,Frau::N,femër,naine
249,Kind::N,kalama,laps
250,Junge::N,djalë,poiss
251,Mädchen::N,gocë,tüdruk
252,Mädchen::N,vajzë,tüdruk
253,Familie::N,familje,perekond
254,Großvater::N,gjysh,vanaisa
255,Großmutter::N,gjyshe,vanaema
256,Eltern::N,prindër,vanemad
257,Vater::N,atë,isa
258,Mutter::N,nënë,ema
259,Sohn::N,bir,poeg
260,Tochter::N,bijë,tütar
261,Bruder::N,vëlla,vend
262,Schwester::N,motër,õde
263,Onkel::N,dajë,onu
264,Onkel::N,xhaxha,onu
265,Tante::N,teze,tädi
266,Tante::N,hallë,tädi
267,Ehemann::N,burrë,mees
268,Ehemann::N,burrë,abikaasa
269,Ehemann::N,bashkëshort,mees
270,Ehemann::N,bashkëshort,abikaasa
271,Ehefrau::N,grua,naine
272,Ehefrau::N,grua,abikaasa
273,Ehefrau::N,bashkëshorte,naine
274,Ehefrau::N,bashkëshorte,abikaasa
275,Freude::N,gaz,rõõm
276,Freude::N,gëzim,rõõm
277,Gelächter::N,qeshje,naer
278,Glück::N,lumturi,õnn
279,Kummer::N,brengë,mure
280,Kummer::N,brengë,kurbus
281,Kummer::N,pikëllim,mure
282,Kummer::N,pikëllim,kurbus
283,Wunsch::N,dëshirë,soov
284,Lust::N,epsh,himu
285,Lust::N,dashuri,himu
286,Geist::N,frymë,vaim
287,Geist::N,shpirt,vaim
288,Gedanke::N,ide,mõte
289,Gedanke::N,mendim,mõte
290,Gedächtnis::N,kujtesë,mälu
291,Verstand::N,mend,aru
292,Verstand::N,mend,mõistus
293,Sinn::N,kuptim,tähendus
294,Grund::N,arsye,põhjus
295,Wahrheit::N,vërtetë,tõde
296,Gespräch::N,bisedim,kõne
297,Gespräch::N,bisedim,vestlus
298,Märchen::N,përrallë,muinasjutt
299,Erzählung::N,tregim,jutustus
300,Nachricht::N,lajm,teade
301,Neuigkeit::N,risi,uudis
302,Name::N,emër,nimi
303,Rätsel::N,gjëzë,mõistatus
304,Rätsel::N,gjëegjëzë,mõistatus
305,Rede::N,fjalim,kõne
306,Sprache::N,gjuhë,keel
307,Stimme::N,zë,hääl
308,Wort::N,fjalë,sõna
309,Zeichen::N,shenjë,märk
310,Ruf::N,thirrmë,hüüe
311,Lärm::N,zhurmë,müra
312,Laut::N,tingull,hääl
313,Ton::N,ton,toon
314,Lied::N,këngë,laul
315,Ruhe::N,qetësi,rahu
316,Ruhe::N,qetësi,vaikus
317,Leute::N,botë,inimesed
318,Leute::N,njerëz,inimesed
319,Volk::N,popull,rahvas
320,Arbeit::N,punë,töö
321,Gast::N,mik,külaline
322,Gast::N,mysafir,külaline
323,Geschenk::N,dhuratë,kingitus
324,Geschenk::N,peshqesh,kingitus
325,Spiel::N,lojë,mäng
326,Gesellschaft::N,shoqëri,selts
327,Hilfe::N,ndihmë,abi
328,Freund::N,mik,sõber
329,Kamerad::N,shok,sõber
330,Angelegenheit::N,punë,asi
331,Anzahl::N,sasi,arv
332,Anzahl::N,sasi,hulk
333,Art::N,lloj,liik
334,Stück::N,copë,tükk
335,Teil::N,pjesë,osa
336,Hälfte::N,gjysmë,pool
337,Kreis::N,qark,ring
338,Kreis::N,rreth,ring
339,Kreuz::N,kryq,rist
340,Linie::N,vijë,joon
341,Strich::N,vizë,joon
342,Abstand::N,distancë,vahe
343,Entfernung::N,largim,kaugus
344,Entfernung::N,largim,vahemaa
345,Gegend::N,vise,ümbrus
346,Gegend::N,krahinë,ümbrus
347,Platz::N,shesh,ruum
348,Ort::N,vend,paik
349,Seite::N,anë,pool
350,Mitte::N,mes,keskpaik
351,Gegenstand::N,send,ese
352,Sache::N,gjë,ese
353,Sache::N,send,ese
354,Rand::N,qoshe,äär
355,Rand::N,qoshe,serv
356,Kante::N,teh,kant
357,Ecke::N,qoshe,nurk
358,Spitze::N,majë,teravik
359,Ende::N,skaj,ots
360,Ende::N,skaj,jupp
361,Ende::N,bisht,ots
362,Ende::N,bisht,jupp
363,Loch::N,vrimë,auk
364,Winkel::N,kënd,nurk
365,Muster::N,mostër,muster
366,Größe::N,madhësi,suurus
367,Länge::N,gjatësi,pikkus
368,Höhe::N,lartësi,kõrgus
369,Gewicht::N,peshë,kaal
370,Gewicht::N,peshë,raskus
371,Menge::N,sasi,arv
372,Menge::N,sasi,hulk
373,Haufen::N,grumbull,hunnik
374,Reihe::N,radhë,rivi
375,Reihe::N,rresht,rivi
376,Boot::N,barkë,paat
377,Boot::N,lundër,paat
378,Ruder::N,rrem,aer
379,Schlitten::N,sajë,saan
380,Ski::N,ski,suusk
381,Lagerfeuer::N,flakadan,lõke
382,Lagerfeuer::N,zjarr i madh,lõke
383,Last::N,barrë,koorem
384,Gang::N,ecje,käik
385,Schritt::N,hap,samm
386,Norden::N,veri,põhi
387,Süden::N,jug,lõuna
388,Westen::N,perëndim,lääs
389,Osten::N,lindje,ida
390,Holz::N,dru,puu
391,Brett::N,dërrasë,saelaud
392,Platte::N,pllakë,plaat
393,Stütze::N,shtyllë,tugi
394,Stütze::N,mbështetesë,tugi
395,Stange::N,shufër,latt
396,Stange::N,shufër,teivas
397,Stock::N,dajak,kepp
398,Stab::N,shkop,varras
399,Rohr::N,tub,toru
400,Haus::N,shtëpi,maja
401,Heim::N,konak,kodu
402,Heim::N,shtëpi,kodu
403,Ofen::N,sobë,ahi
404,Ofen::N,stufë,ahi
405,Fußboden::N,dysheme,põrand
406,Tisch::N,tryezë,laud
407,Stuhl::N,karrige,tool
408,Wiege::N,djep,häll
409,Wiege::N,djep,kätki
410,Bett::N,shtrat,voodi
411,Regal::N,raft,riiul
412,Kiste::N,kuti,kast
413,Fenster::N,dritare,aken
414,Tür::N,derë,uks
415,Tor::N,portë,värav
416,Zaun::N,gardh,aed
417,Zaun::N,gardh,tara
418,Dach::N,çati,katus
419,Leiter::N,shkallë,redel
420,Besen::N,fshesë,luud
421,Spaten::N,lopatë,labidas
422,Schaufel::N,qyrek,kühvel
423,Gabel::N,pirun,kahvel
424,Löffel::N,lugë,lusikas
425,Messer::N,thikë,nuga
426,Nagel::N,gozhdë,nael
427,Netz::N,rrjetë,võrk
428,Haken::N,grep,haak
429,Haken::N,grep,konks
430,Haken::N,grremç,haak
431,Haken::N,grremç,konks
432,Griff::N,dorak,sang
433,Griff::N,dorak,käepide
434,Griff::N,dorezë,sang
435,Griff::N,dorezë,käepide
436,Schloss::N,bravë,lukk
437,Bild::N,tablo,pilt
438,Bild::N,pikturë,pilt
439,Figur::N,figurë,kuju
440,Figur::N,figurë,kujund
441,Puppe::N,kukull,nukk
442,Beutel::N,qese,paun
443,Beutel::N,trastë,paun
444,Bündel::N,deng,kimp
445,Tasche::N,çantë,kott
446,Eimer::N,kovë,pang
447,Eimer::N,kovë,ämber
448,Deckel::N,kapak,kaas
449,Deckel::N,mbulesë,kaas
450,Geschirr::N,enë,nõud
451,Sack::N,thes,kott
452,Sack::N,torbë,kott
453,Tasse::N,filxhan,tass
454,Topf::N,kusi,pada
455,Topf::N,tenxhere,pada
456,Kessel::N,kazan,pada
457,Essen::N,ngrënie,söök
458,Nahrung::N,ushqim,toit
459,Speise::N,gatesë,roog
460,Fleisch::N,mish,liha
461,Getreide::N,drithë,teravili
462,Brei::N,qull,puder
463,Brot::N,bukë,sai
464,Brot::N,bukë,leib
465,Scheibe::N,fetë,viil
466,Scheibe::N,fetë,viilukas
467,Fett::N,lyrë,rasv
468,Fett::N,yndyrë,rasv
469,Butter::N,gjalpë,või
470,Öl::N,vaj,õli
471,Salz::N,kripë,sool
472,Suppe::N,supë,supp
473,Suppe::N,çorbë,supp
474,Honig::N,mjaltë,mesi
475,Milch::N,qumësht,piim
476,Tee::N,çaj,tee
477,Leder::N,lëkurë,nahk
478,Wolle::N,lesh,vill
479,Stoff::N,pëlhurë,kangas
480,Nadel::N,gjilpërë,nõel
481,Faden::N,pe,niit
482,Faden::N,fije,niit
483,Knopf::N,kopsë,nööp
484,Knoten::N,komb,sõlm
485,Farbe::N,bojë,värv
486,Kleidung::N,veshje,riided
487,Kleidung::N,veshje,riietus
488,Hemd::N,këmishë,särk
489,Kragen::N,jakë,krae
490,Ärmel::N,mëngë,varrukas
491,Hose::N,brekë,püksid
492,Gürtel::N,rrip,vöö
493,Mütze::N,kësulë,müts
494,Schuh::N,këpucë,king
495,Stiefel::N,çizme,saabas
496,Ring::N,unazë,sõrmus
497,Band::N,shirit,lint
498,Kamm::N,krehër,kamm
499,Spiegel::N,pasqyrë,peegel
500,Riemen::N,rrip,rihm
501,Schnur::N,litar,nöör
502,Schnur::N,cikomë,nöör
503,Leine::N,rrip,jalutusrihm
504,Decke::N,batanije,tekk
505,Kissen::N,jastëk,padi
506,Tuch::N,shami,kalev
507,Handtuch::N,peshqir,käterätik
508,Kraft::N,forcë,jõud
509,Stärke::N,koll,tugevus
510,Gesundheit::N,shëndet,tervis
511,Krankheit::N,sëmundje,haigus
512,Schmerz::N,dhimbje,valu
513,Wunde::N,plagë,haav
514,Fieber::N,ethe,palavik
515,Arznei::N,ilaç,ravim
516,Brücke::N,urë,sild
517,Brunnen::N,pus,kaev
518,Weide::N,kullotë,karjamaa
519,Pfad::N,ravë,rada
520,Pfad::N,shteg,rada
521,Weg::N,udhë,tee
522,Weg::N,shteg,tee
523,Straße::N,rrugë,tee
524,Dorf::N,fshat,küla
525,Dorf::N,katund,küla
526,Stadt::N,qytet,linn
527,Brief::N,letër,kiri
528,Buch::N,libër,raamat
529,Buchstabe::N,shkronjë,täht
530,Zeitung::N,gazetë,ajaleht
531,Leben::N,jetë,elu
532,Tod::N,mortje,surm
533,Grab::N,varr,haud
534,Kirche::N,kishë,kirik
535,Sünde::N,mëkat,patt
536,Sünde::N,gjynah,patt
537,Gott::N,hy,jumal
538,Gott::N,zot,jumal
539,Arbeiter::N,punëtor,tööline
540,Chef::N,shef,ülemus
541,Chef::N,shef,juhataja
542,Chef::N,drejtues,ülemus
543,Chef::N,drejtues,juhataja
544,Meister::N,mjeshtër,meister
545,Arzt::N,mjek,arst
546,Arzt::N,doktor,arst
547,Lehrer::N,mësues,õpetaja
548,Lehrer::N,arsimtar,õpetaja
549,Geld::N,para,raha
550,Geld::N,holla,raha
551,Geschäft::N,ujdi,äri
552,Geschäft::N,biznes,äri
553,Laden::N,dyqan,pood
554,Laden::N,dyqan,kauplus
555,Preis::N,çmim,hind
556,Ware::N,mall,kaup
557,Nutzen::N,dobi,tulu
558,Nutzen::N,dobi,kasulikkus
559,Nutzen::N,leverdi,tulu
560,Nutzen::N,leverdi,kasulikkus
561,Reichtum::N,kamje,rikkus
562,Reichtum::N,pasuri,rikkus
563,Welt::N,botë,maailm
564,Land::N,vend,maa
565,Staat::N,shtet,riik
566,König::N,mbret,kuningas
567,Macht::N,fuqi,võim
568,Macht::N,pushtet,võim
569,Grenze::N,kufi,piir
570,Krieg::N,luftë,sõda
571,Feind::N,armik,vaenlane
572,Gewalt::N,dhunë,väevõim
573,Kampf::N,luftim,võitlus
574,Bogen[Waffe]::N,hark,vibu
575,Pfeil::N,shigjetë,nool
576,Gewehr::N,pushkë,püss
577,Fehler::N,gafë,viga
578,Fehler::N,gabim,viga
579,Lüge::N,gënjeshtër,vale
580,Schaden::N,dëm,kahju
581,Schaden::N,zarar,kahju
582,Unglück::N,fatkeqësi,häda
583,Unglück::N,fatkeqësi,õnnetus
584,Schuld::N,faj,süü
585,Alter::N,moshë,iga
586,Schluss::N,fund,lõpp
587,Zeit::N,kohë,aeg
588,Tag::N,ditë,päev
589,Morgen::N,mëngjes,hommik
590,Mittag::N,mesditë,lõuna
591,Mittag::N,mesditë,keskpäev
592,Abend::N,mbrëmje,õhtu
593,Nacht::N,natë,öö
594,Woche::N,javë,nädal
595,Monat::N,muaj,kuu
596,Jahr::N,vit,aasta
597,Frühling::N,pranverë,kevad
598,Sommer::N,verë,suvi
599,Herbst::N,vjeshtë,sügis
600,Winter::N,dimër,talv
601,Januar::N,janar,jaanuar
602,Februar::N,shkurt,veebruar
603,März::N,mars,märts
604,April::N,prill,aprill
605,Mai::N,maj,mai
606,Juni::N,qershor,juuni
607,Juli::N,korrik,juuli
608,August::N,gusht,august
609,September::N,shtator,september
610,Oktober::N,tetor,oktoober
611,November::N,nëntor,november
612,Dezember::N,dhjetor,detsember
613,Montag::N,hënë,esmaspäev
614,Dienstag::N,martë,teisipäev
615,Mittwoch::N,mërkurë,kesknädal
616,Donnerstag::N,enjte,neljapäev
617,Freitag::N,premte,reede
618,Samstag::N,shtunë,laupäev
619,Sonntag::N,diel,pühapäev
620,groß::A,madh,suur
621,klein::A,vogël,väike
622,klein::A,vogël,pisike
623,lang::A,gjatë,pikk
624,kurz::A,shkurtër,lühike
625,breit::A,gjerë,lai
626,schmal::A,ngushtë,kitsas
627,dicht::A,dendur,tihe
628,dick[Gegenstand]::A,trashë,jäme
629,dünn::A,hollë,õhuke
630,dünn::A,hollë,peenike
631,fein::A,imët,peen
632,fein::A,imët,õhuke
633,fest::A,fortë,püsiv
634,fest::A,fortë,kindel
635,flach::A,sheshtë,lame
636,flach::A,sheshtë,tasane
637,glatt::A,rrafshët,sile
638,hart::A,fortë,kõva
639,weich::A,butë,pehme
640,rund::A,rrumbullakët,ümar
641,spitz::A,majëmprehtë,torkav
642,scharf::A,mprehtë,terav
643,stumpf::A,topitur,nüri
644,schwer::A,rëndë,raske
645,schön::A,bukur,kena
646,heiß::A,nxehtë,kuum
647,heiß::A,nxehtë,palav
648,warm::A,ngrohtë,soe
649,kalt::A,ftohtë,külm
650,kühl::A,freskët,jahe
651,frisch::A,pastër,värske
652,feucht::A,lagësht,niiske
653,nass::A,lagur,märg
654,trocken::A,thatë,kuiv
655,voll::A,plotë,täis
656,leer::A,bosh,tühi
657,leer::A,zbrazët,tühi
658,offen::A,hapur,avatud
659,offen::A,hapur,lahtine
660,geschlossen::A,mbyllur,suletud
661,sauber::A,dëlirë,puhas
662,schmutzig::A,ndyrë,räpane
663,schmutzig::A,ndyrë,määrdunud
664,roh::A,gjallë,toores
665,reif::A,arrirë,küps
666,lecker::A,shijshëm,hõrk
667,lecker::A,shijshëm,maitsev
668,süß::A,ëmbël,magus
669,bitter::A,hidhur,mõru
670,sauer::A,thartë,hapu
671,hell::A,me dritë,hele
672,dunkel::A,errët,pime
673,schwarz::A,i zi,must
674,weiß::A,bardhë,valge
675,rot::A,kuq,punane
676,gelb::A,verdhë,kollane
677,blau::A,blu,sinine
678,blau::A,kaltër,sinine
679,grün::A,blertë,roheline
680,grün::A,gjelbër,roheline
681,grau::A,hirtë,hall
682,grau::A,bojë hiri,hall
683,bunt::A,shumëngjyrëshëm,kirju
684,bunt::A,shumëngjyrëshëm,värviline
685,billig::A,lirë,odav
686,teuer::A,shtrenjtë,kallis
687,wertvoll::A,çmuar,väärtuslik
688,wertvoll::A,vlershëm,väärtuslik
689,blind::A,qorr,pime
690,blind::A,verbër,pime
691,taub::A,shurdhër,kurt
692,kräftig::A,fuqishëm,jõuline
693,stark::A,fortë,tugev
694,schwach::A,dobët,nõrk
695,schwach::A,dobët,jõuetu
696,fett::A,dhjamur,rasvane
697,schlank::A,hollë,sale
698,hübsch::A,bukur,kena
699,hübsch::A,hijshëm,kena
700,böse::A,keq,tige
701,dumm::A,teveqel,juhm
702,dumm::A,teveqel,rumal
703,faul::A,dembel,laisk
704,fleißig::A,zellshëm,virk
705,fleißig::A,zellshëm,hoolas
706,geizig::A,kurnac,ihne
707,geizig::A,dorështrënguar,ihne
708,klug::A,mençur,tark
709,klug::A,mençur,arukas
710,klug::A,mençur,mõistlik
711,geschickt::A,aftë,osav
712,lieb::A,dashur,armas
713,lustig::A,gëzuar,lõbus
714,sanft::A,butë,õrn
715,hungrig::A,uritur,näljane
716,krank::A,sëmurë,haige
717,nackt::A,lakuriq,alasti
718,nackt::A,zhveshur,alasti
719,traurig::A,trishtuar,kurb
720,lebendig::A,gjallë,elus
721,gut::A,mirë,hea
722,schlecht::A,keq,halb
723,richtig::A,drejtë,õige
724,schlimm::A,keq,paha
725,wahr::A,vërtetë,tõene
726,alt::A,vjetër,vana
727,neu::A,i ri,uus
728,ehemalig::A,dikurshëm,endine
729,alt[Lebewesen]::A,plak,vana
730,jung::A,i ri,noor
731,arm::A,varfër,vaene
732,arm::A,vobektë,vaene
733,reich::A,pasur,rikas
734,bekannt::A,njohur,teada
735,bekannt::A,njohur,tuttav
736,berühmt::A,famshëm,tuntud
737,fremd::A,huaj,võõras
738,verschieden::A,ndryshëm,erinev
739,nah::A,afërt,lähedane
740,fern::A,largët,kauge
741,linker::A,majtë,vasak
742,rechter::A,djathtë,parem
743,anderer::A,tjetër,muu
744,anderer::A,tjetër,teine
745,erster::A,parë,esimene
746,zweiter::A,dytë,teine
747,dritter::A,i tretë,kolmas
748,letzter::A,fundit,viimane
749,allein::ADV,vetëm,üksi
750,auf einmal::ADV,njëkohësisht,korraga
751,auf einmal::ADV,njëkohësisht,ühekorraga
752,zusammen::ADV,bashkë,koos
753,zusammen::ADV,bashkë,üheskoos
754,zusammen::ADV,së bashku,koos
755,zusammen::ADV,së bashku,üheskoos
756,lange::ADV,për një kohë të gjatë,kaua
757,plötzlich::ADV,befas,äkki
758,plötzlich::ADV,befas,järsku
759,sofort::ADV,menjëherë,kohe
760,sofort::ADV,aty për aty,kohe
761,später::ADV,më vonë,hiljem
762,jetzt::ADV,tash,nüüd
763,heute::ADV,sot,täna
764,morgen::ADV,nesër,homme
765,bald::ADV,shpejt,pea
766,bald::ADV,shpejt,varsti
767,bald::ADV,së shpejti,pea
768,bald::ADV,së shpejti,varsti
769,dann::ADV,pastaj,siis
770,gestern::ADV,dje,eile
771,einst::ADV,dikur,vanasti
772,damals::ADV,atëherë,tookord
773,danach::ADV,mandej,seejärel
774,vorher::ADV,më parë,enne
775,zuerst::ADV,së pari,enne
776,zuerst::ADV,së pari,esmalt
777,einmal::ADV,njëherë,kord
778,einmal::ADV,njëherë,üks kord
779,manchmal::ADV,nganjëherë,mõnikord
780,oft::ADV,shpesh,tihti
781,oft::ADV,shpesh,sageli
782,immer::ADV,përherë,ikka
783,immer::ADV,përherë,alati
784,immer::ADV,gjithnjë,ikka
785,immer::ADV,gjithnjë,alati
786,niemals::ADV,kurrë,mitte kunagi
787,niemals::ADV,asnjëherë,mitte kunagi
788,hier::ADV,këtu,siin
789,hierhin::ADV,knej,siia
790,von hier::ADV,që këtej,siit
791,von hier::ADV,prej këtej,siit
792,dort::ADV,aty,seal
793,dort::ADV,atje,seal
794,dorthin::ADV,anej,sinna
795,geradeaus::ADV,drejt,otse edasi
796,vorwärts::ADV,mbroth,edasi
797,vorwärts::ADV,përpara,edasi
798,rückwärts::ADV,mbrapsht,tagurpidi
799,zurück::ADV,prapa,tagasi
800,zurück::ADV,mbrapsht,tagasi
801,unten::ADV,poshtë,all
802,unten::ADV,poshtë,allpool
803,hinab::ADV,përposh,alla
804,oben::ADV,lart,ülal
805,oben::ADV,sipër,ülal
806,hinauf::ADV,lart,üles
807,hinauf::ADV,përpjetë,üles
808,überall::ADV,kudo,kõikjal
809,nicht::ADV,s',ei
810,nicht::ADV,s',mitte
811,nicht::ADV,nuk,ei
812,nicht::ADV,nuk,mitte
813,ein wenig::ADV,një tis,veidi
814,ein wenig::ADV,një tis,natuke
815,kaum::ADV,mezi,vaevalt
816,sehr::ADV,fort,väga
817,sehr::ADV,shumë,väga
