,Concept_ID,bn,he
138,Bulle::N,বৃষ,פר
139,Pferd::N,ঘোড়া,סוס
140,Schaf::N,ভেড়া,כבשה
141,Schwein::N,শূকর,חזיר
142,Hund::N,কুকুর,כלב
143,Katze::N,বেড়াল,חתול
144,Bär::N,ভল্লুক,דב
145,Eichhörnchen::N,কাঠবিড়াল,סנאי
146,Elch::N,হরিণবিশেষ,דישון
147,Fuchs::N,পাঁতিশিয়াল,שועל
148,Hase::N,শশক,ארנב
149,Maus::N,নেংটি ইঁদুর,עכבר
150,Wolf::N,নেকড়ে,זאב
151,Vogel::N,পক্ষী,צפור
152,Schwarm::N,ঝাঁক,נחיל
153,Schwarm::N,ঝাঁক,להקה
154,Huhn::N,মোরগ,תרנגלת
155,Hahn::N,কুক্কুট,תרנגול
156,Gans::N,হংসী,אוז
157,Adler::N,ইগল,עיט
158,Ente::N,হংসী,ברוז
159,Eule::N,পেচক,ינשוף
160,Kranich::N,সারস,עגור
161,Kranich::N,সারস,כרוכיה
162,Krähe::N,কাক,עורב
163,Kuckuck::N,কোকিল,קוקיה
164,Schwan::N,মরাল,ברבור
165,Fisch::N,মাছ,דג
166,Barsch::N,মৎন্যবিশেষ,אוקונוס
167,Hecht::N,বানমাছ,זאב הים
168,Schlange[Tier]::N,সর্প,נחש
169,Wurm::N,কীট,תולעת
170,Spinne::N,মাকড়সা,עכביש
171,Ameise::N,পিপীলিকা,נמלה
172,Laus::N,উকুন,כנה
173,Mücke::N,মশা,יתוש
174,Fliege::N,মাছি,זבוב
175,Schmetterling::N,প্রজাপতি,פרפר
176,Beere::N,বেরি,ענבה
177,Apfel::N,আপেল,תפוח
178,Pilz::N,ছত্রক,פטריה
179,Zwiebel::N,পিয়াজ,בצל
180,Saat::N,বীজ,זרעים
181,Korn::N,শস্য,גרעין
182,Heu::N,খড়,חציר
183,Schale::N,খোসা,קלפה
184,Grube::N,গর্ত,בור
185,Grube::N,গর্ত,שוחה
186,Falle::N,ফাঁদ,מלכדת
187,Schlinge::N,পাশ,לולאה
188,Spur::N,চিহ্ন,עקבה
189,Asche::N,ভস্ম,אפר
190,Dreck::N,ময়লা,זהמה
191,Eisen::N,লোহা,ברזל
192,Gold::N,স্বর্ণ,זהב
193,Silber::N,রৌপ্য,כסף
194,Kohle::N,অঙ্গার,פחם
195,Glas::N,কাচ,זכוכית
196,Lehm::N,মৃত্তিকা,חרסית
197,Sand::N,বালি,חול
198,Mensch::N,নর,אדם
199,Mensch::N,মানুষ,אדם
200,Mann::N,মানুষ,איש
201,Mann::N,মানুষ,גבר
202,Frau::N,নারী,אשה
203,Frau::N,নারী,גברת
204,Kind::N,বাচ্চা,ילד
205,Junge::N,ছেলে,ילד
206,Mädchen::N,মেয়ে,נערה
207,Familie::N,পরিবার,משפחה
208,Großvater::N,মাতামহ,סבא
209,Großmutter::N,মাতামহী,סבתא
210,Eltern::N,মাতাপিতা,הורים
211,Vater::N,পিতা,אב
212,Mutter::N,মাতা,אם
213,Sohn::N,ছেলে,בן
214,Tochter::N,মেয়ে,בת
215,Bruder::N,দাদা,אח
216,Schwester::N,বোন,אחות
217,Schwester::N,দিদি,אחות
218,Onkel::N,মামা,דוד
219,Tante::N,মাসী,דודה
220,Ehemann::N,স্বামী,איש
221,Ehemann::N,স্বামী,בעל
222,Ehefrau::N,পত্নী,אשה
223,Freude::N,উল্লাস,שמחה
224,Gelächter::N,হাসি,צחוק
225,Glück::N,সুখ,אשר
226,Kummer::N,দুঃখ,יגון
227,Kummer::N,দুঃখ,עגמה
228,Wunsch::N,আকাঙ্ক্ষা,אחול
229,Wunsch::N,আকাঙ্ক্ষা,משאלה
230,Lust::N,বাসনা,חשק
231,Lust::N,বাসনা,תשוקה
232,Geist::N,আত্না,רוח
233,Gedanke::N,চিন্তা,מחשבה
234,Gedächtnis::N,স্মরণশক্তি,זכרון
235,Verstand::N,মন,שכל
236,Sinn::N,পদার্থ,מובן
237,Sinn::N,পদার্থ,משמעות
238,Grund::N,কারণ,סבה
239,Wahrheit::N,সত্য,אמת
240,Gespräch::N,কথাবার্তা,דיון
241,Märchen::N,রূপকথা,אגדה
242,Erzählung::N,গল্প,ספור
243,Nachricht::N,তথ্য,ידיעה
244,Neuigkeit::N,খবরাখবর,חדשה
245,Name::N,নাম,שם
246,Rätsel::N,ধাঁধা,תעלומה
247,Rede::N,বক্তৃতা,נאום
248,Sprache::N,ভাষা,לשון
249,Stimme::N,স্বর,קול
250,Wort::N,শব্দ,מלה
251,Zeichen::N,প্রতীক,סימן
252,Ruf::N,ডাক,קריאה
253,Lärm::N,হৈচৈ,רעש
254,Laut::N,ধ্বনি,הגה
255,Ton::N,স্বর,צליל
256,Lied::N,গান,שיר
257,Ruhe::N,শান্তি,שלוה
258,Leute::N,প্রজাপুঞ্জ,אנשים
259,Volk::N,জাতি,עם
260,Arbeit::N,চাকরি,עבודה
261,Gast::N,অতিথি,אורח
262,Geschenk::N,উপহার,מתנה
263,Spiel::N,খেলা,משחק
264,Gesellschaft::N,সঙ্গিগণ,חברה
265,Hilfe::N,সাহায্য,עזרה
266,Freund::N,বন্ধু,חבר
267,Freund::N,বন্ধু,ידיד
268,Kamerad::N,সঙ্গী,רע
269,Angelegenheit::N,বিষয়,ענין
270,Anzahl::N,পরিমাণ,מספר
271,Art::N,রকম,סוג
272,Stück::N,টুকরো,חתיכה
273,Teil::N,অংশ,פרק
274,Hälfte::N,অর্ধেক,חצי
275,Kreis::N,বৃত্ত,מעגל
276,Kreuz::N,ক্রুশ,צלב
277,Linie::N,রেখা,קו
278,Strich::N,কষি,קו קצר
279,Abstand::N,ফাঁক,מרחק
280,Entfernung::N,ব্যবধান,מרחק
281,Gegend::N,ক্ষেত্র,נוף
282,Platz::N,জায়গা,שטח
283,Ort::N,স্থান,אתר
284,Ort::N,স্থান,מקום
285,Seite::N,পার্শ্ব,צד
286,Mitte::N,মধ্য,אמצע
287,Gegenstand::N,জিনিস,אוביקט
288,Sache::N,বস্তু,דבר
289,Rand::N,কানা,פרור
290,Kante::N,ধার,קצה
291,Ecke::N,কোণ,פנה
292,Spitze::N,ডগা,קצה
293,Ende::N,প্রান্ত,סוף
294,Loch::N,গর্ত,חר
295,Winkel::N,কোণ,פנה
296,Muster::N,নমুন্,תבנית
297,Größe::N,আয়তন,גדל
298,Länge::N,দৈর্ঘ্য,ארך
299,Höhe::N,উচ্চতা,קומה
300,Höhe::N,উচ্চতা,גבה
301,Gewicht::N,ওজন,משקל
302,Menge::N,পরিমাণ,כמות
303,Haufen::N,পুঞ্জ,ערמה
304,Reihe::N,শ্রেণী,רצף
305,Boot::N,নৌকা,סירה
306,Ruder::N,দাঁড়,משוט
307,Schlitten::N,স্নেজ্-গাড়ি,מזחלת
308,Ski::N,শী,מגלשים
309,Lagerfeuer::N,অগ্নি,מדורה
310,Last::N,বোঝা,משא
311,Gang::N,হণ্টন,הליכה
312,Schritt::N,পদ,צעד
313,Norden::N,উত্তরদিক্,צפון
314,Süden::N,দক্ষিণদিক,דרום
315,Westen::N,পশ্চিমদিক্,מערב
316,Osten::N,পূর্বদিক,מזרח
317,Holz::N,কাঠ,עץ
318,Brett::N,তক্তা,קרש
319,Platte::N,ফলক,לוח
320,Stütze::N,নাগদণ্ড,משען
321,Stange::N,দণ্ড,מוט
322,Stock::N,ছড়ি,מקל
323,Stab::N,যষ্টি,מוט
324,Rohr::N,নল,צנור
325,Haus::N,ঘর,בית
326,Heim::N,বাসা,בית
327,Ofen::N,স্টোভ্,תנור
328,Fußboden::N,গহতল,רצפה
329,Tisch::N,মেজ,שלחן
330,Tisch::N,টেবিল,שלחן
331,Stuhl::N,চেয়ার,כסא
332,Stuhl::N,কেদারা,כסא
333,Wiege::N,দোলনা,ערש
334,Bett::N,শয্যা,מטה
335,Regal::N,তাক,מדף
336,Kiste::N,বাক্স,תבה
337,Kiste::N,বাক্স,ארגז
338,Fenster::N,জানালা,חלון
339,Tür::N,দ্বার,דלת
340,Tor::N,দ্বার,שער
341,Zaun::N,বেড়া,גדר
342,Dach::N,ছাদ,גג
343,Leiter::N,মই,סלם
344,Besen::N,গুল্মবিশেষ,מטאטא
345,Spaten::N,কোদাল,את
346,Schaufel::N,বেলচা,את
347,Gabel::N,কাঁটা,מזלג
348,Löffel::N,চামচ,כף
349,Messer::N,ছুরি,סכין
350,Nagel::N,পেরেক,מסמר
351,Netz::N,জাল,רשת
352,Haken::N,কাচি,וו
353,Haken::N,কাচি,קרס
354,Griff::N,হাতল,ידית
355,Schloss::N,তালা,מנעול
356,Bild::N,ছবি,תמונה
357,Bild::N,চিত্র,תמונה
358,Figur::N,আকার,פסל
359,Puppe::N,পুতুল,בבה
360,Beutel::N,বটুয়া,שק
361,Bündel::N,আঁটি,צרור
362,Tasche::N,থলি,שקית
363,Eimer::N,বাল্তি,דלי
364,Deckel::N,আবরণ,מכסה
365,Geschirr::N,থালা-বাসন,כלים
366,Sack::N,বস্তা,שק
367,Tasse::N,কাপ,ספל
368,Topf::N,পাত্র,סיר
369,Kessel::N,কেটলি,קנקן
370,Essen::N,আহার,אכל
371,Essen::N,আহার,ארוחה
372,Nahrung::N,খাদ্য,הזנה
373,Nahrung::N,খাদ্য,תזונה
374,Speise::N,খাদ্য,מאכל
375,Speise::N,খাদ্য,ארוחה
376,Fleisch::N,মাংস,בשר
377,Getreide::N,শস্য,דגן
378,Brei::N,মণ্ড,מחית
379,Brot::N,রুটি,לחם
380,Scheibe::N,ফালি,עגול
381,Scheibe::N,ফালি,פרוסה
382,Fett::N,মেদ,שמן
383,Butter::N,মাখন,חמאה
384,Öl::N,তৈল,שמן
385,Salz::N,নুন,מלח
386,Suppe::N,শুরুয়া,מרק
387,Honig::N,মধু,דבש
388,Milch::N,দুধ,חלב
389,Tee::N,চা,תה
390,Leder::N,পাকা চামড়া,עור
391,Wolle::N,পশম,צמר
392,Stoff::N,বস্ত্র,בד
393,Stoff::N,বস্ত্র,אריג
394,Nadel::N,সুচ,מחט
395,Faden::N,সূত্র,חוט
396,Knopf::N,বোতাম,כפתור
397,Knoten::N,গিঁট,קשר
398,Farbe::N,রং,צבע
399,Kleidung::N,কাপড়,בגדים
400,Hemd::N,শার্ট,חלצה
401,Kragen::N,গলবন্ধ,צוארון
402,Ärmel::N,আস্তিন্,שרוול
403,Hose::N,ট্রাউজার,מכנסים
404,Gürtel::N,কটিবন্ধ,חגורה
405,Mütze::N,টুপি,כובע
406,Schuh::N,জুতো,נעל
407,Stiefel::N,বুট,מגף
408,Ring::N,আংটি,טבעת
409,Band::N,ফিতা,סרט
410,Kamm::N,চিরুনি,מסרק
411,Spiegel::N,আয়না,מראה
412,Riemen::N,চাবুক,רצועה
413,Schnur::N,দড়ি,חבל
414,Leine::N,শিকল,מושכות
415,Decke::N,কম্বল,שמיכה
416,Kissen::N,উপাধান,כרית
417,Tuch::N,বস্ত্র,צעיף
418,Handtuch::N,তোয়ালে,מגבת
419,Kraft::N,জোর,כוח
420,Stärke::N,শক্তি,און
421,Gesundheit::N,স্বাস্থ্য,בריאות
422,Krankheit::N,অসুখ,מחלה
423,Krankheit::N,ব্যামো,מחלה
424,Schmerz::N,যন্ত্রণা,כאב
425,Wunde::N,ক্ষত,פציעה
426,Fieber::N,জ্বর,חם
427,Arznei::N,ঔষধ,תרופה
428,Brücke::N,সেতু,גשר
429,Brunnen::N,কূপ,באר
430,Weide::N,পশুচারণভূমি,אחו
431,Weide::N,পশুচারণভূমি,מרעה
432,Pfad::N,পথ,שביל
433,Pfad::N,পথ,מדרכה
434,Weg::N,পথ,דרך
435,Straße::N,রাস্তা,כביש
436,Dorf::N,গ্রাম,כפר
437,Stadt::N,শহর,עיר
438,Brief::N,চিঠি,מכתב
439,Buch::N,বই,ספר
440,Buchstabe::N,অক্ষর,אות
441,Zeitung::N,সংবাদপত্র,עתון
442,Leben::N,জীবন,חיים
443,Tod::N,মৃত্যু,מות
444,Grab::N,কবর,קבר
445,Kirche::N,গির্জা,כנסיה
446,Sünde::N,পাপ,חטא
447,Gott::N,দেবতা,אל
448,Arbeiter::N,শ্রমিক,פועל
449,Chef::N,নেতা,ראש
450,Chef::N,নেতা,מנהל
451,Meister::N,ব্যক্তি,ממחה
452,Arzt::N,চিকিৎসক,רופא
453,Lehrer::N,অধ্যাপক,מורה
454,Geld::N,মুদ্রা,כסף
455,Geld::N,টাকাপয়সা,כסף
456,Geschäft::N,ব্যস্ততা,עסקה
457,Laden::N,দোকান,חנות
458,Preis::N,মূল্য,מחיר
459,Ware::N,পণ্যদ্রব্য,סחורה
460,Nutzen::N,সুবিধা,תועלת
461,Reichtum::N,ধনদৌলত,עשר
462,Welt::N,জগৎ,עולם
463,Land::N,খেত,ארץ
464,Staat::N,রাষ্ট্র,מדינה
465,König::N,রাজা,מלך
466,Macht::N,প্রভাব,כוח
467,Grenze::N,সীমা,גבול
468,Krieg::N,যুদ্ধ,מלחמה
469,Feind::N,শত্রু,אויב
470,Gewalt::N,জোর,אלימות
471,Kampf::N,লড়াই,קרב
472,Kampf::N,লড়াই,לחימה
473,Bogen[Waffe]::N,ধনুক,קשת
474,Pfeil::N,বাণ,חץ
475,Gewehr::N,বন্দুক,רובה
476,Fehler::N,ভুল,טעות
477,Lüge::N,মিথ্যা,שקר
478,Schaden::N,ক্ষতি,נזק
479,Unglück::N,দুর্ভাগ্য,מזל רע
480,Schuld::N,অপরাধ,אשמה
481,Alter::N,আয়ু,גיל
482,Schluss::N,শেষ,סיום
483,Zeit::N,সময়,זמן
484,Tag::N,দিন,יום
485,Morgen::N,সকাল,בקר
486,Mittag::N,মধ্যাহু,צהרים
487,Abend::N,সন্ধ্যা,ערב
488,Nacht::N,রাত্রি,לילה
489,Woche::N,সপ্তাহ,שבוע
490,Monat::N,মাস,חדש
491,Jahr::N,সৌরবর্ষ,שנה
492,Frühling::N,বসন্তকাল,אביב
493,Sommer::N,গ্রীষ্মকাল,קיץ
494,Herbst::N,শরংঋতু,סתו
495,Winter::N,শীতকাল,חרף
496,Januar::N,জানুয়ারী,ינואר
497,Februar::N,ফেব্রুয়ারী,פברואר
498,März::N,মার্চ,מרץ
499,April::N,এপ্রিল,אפריל
500,Mai::N,মে,מאי
501,Juni::N,জুন,יוני
502,Juli::N,জুলাই,יולי
503,August::N,অগাস্ট,אוגוסט
504,September::N,সেপ্টেম্বর,ספטמבר
505,Oktober::N,অক্টোবর,אוקטובר
506,November::N,নভেম্বর,נובמבר
507,Dezember::N,ডিসেম্বর,דצמבר
508,Montag::N,সোমবার,יום שני
509,Dienstag::N,মঙ্গলবার,יום שלישי
510,Mittwoch::N,বুধবার,יום רביעי
511,Donnerstag::N,বৃহম্পতিবার,יום חמישי
512,Freitag::N,শুক্রবার,יום ששי
513,Samstag::N,শনিবার,יום שבת
514,Sonntag::N,রবিবার,יום ראשון
515,groß::A,বৃহৎ,גדול
516,klein::A,ছোট,קטן
517,lang::A,দীর্ঘ,ארך
518,kurz::A,খর্ব,קצר
519,kurz::A,হ্রস্ব,קצר
520,breit::A,চওড়া,רחב
521,schmal::A,সরু,צר
522,dicht::A,ঘন,צפוף
523,dick[Gegenstand]::A,পুরু,עבה
524,dünn::A,কৃশ,דק
525,fein::A,সূক্ষ্ম,מעדן
526,fest::A,দৃঢ়,מוצק
527,flach::A,সমতল,שטוח
528,glatt::A,মসৃণ,חלק
529,hart::A,শক্ত,קשיח
530,weich::A,নরম,רך
531,rund::A,গোলাকার,עגל
532,spitz::A,তীক্ষ্ন,חד
533,scharf::A,শাণিত,חד
534,stumpf::A,ভোঁতা,קהה
535,schwer::A,ভারী,כבד
536,schön::A,সুন্দর,יפה
537,heiß::A,গরম,חם
538,warm::A,ঈষদুষ্ণ,חם
539,kalt::A,ঠাণ্ডা,קר
540,kühl::A,শীতল,צונן
541,frisch::A,তাজা,טרי
542,feucht::A,ভিজা,לח
543,nass::A,ভিজা,רטוב
544,trocken::A,শুষ্ক,יבש
545,voll::A,পূর্ণ,מלא
546,leer::A,খালি,ריק
547,offen::A,খোলা,פתוח
548,geschlossen::A,বন্ধ,סגור
549,sauber::A,নির্মল,נקי
550,schmutzig::A,নোংরা,מלכלך
551,roh::A,কাঁচা,חי
552,reif::A,পাকা,בשל
553,lecker::A,সুস্বাদ,טעים
554,süß::A,মিষ্ট,מתוק
555,bitter::A,তিক্ত,מר
556,sauer::A,টক,חמוץ
557,hell::A,উজ্জ্বল,בהיר
558,dunkel::A,অন্ধকারময়,עמום
559,schwarz::A,কালো,שחר
560,weiß::A,সাদা,לבן
561,rot::A,লাল,אדם
562,gelb::A,হলদে,צהב
563,blau::A,নীল,כחל
564,grün::A,সবুজ,ירק
565,grau::A,ছাই-রঙা,אפר
566,bunt::A,রঙিন,צבעוני
567,billig::A,সস্তা,זול
568,teuer::A,আক্রা,יקר
569,wertvoll::A,মহার্ঘ,יקר ערך
570,blind::A,কানা,עור
571,taub::A,বধির,חרש
572,kräftig::A,বিশাল,חסן
573,stark::A,শক্তিশালী,חזק
574,schwach::A,দুর্বল,חלש
575,fett::A,মোটা,שמן
576,schlank::A,কৃশ,רזה
577,hübsch::A,সুন্দর,יפה תאר
578,böse::A,খারাপ,רשע
579,dumm::A,মূর্খ,טפש
580,faul::A,শ্রমবিমুখ,עצלן
581,fleißig::A,পরিশ্রমী,חרוץ
582,geizig::A,ব্যয়কুণ্ঠ,קמצן
583,klug::A,দক্ষ,נבון
584,klug::A,দক্ষ,פקח
585,geschickt::A,পটু,מימן
586,lieb::A,প্রেয়,יקר
587,lieb::A,প্রেয়,אהוב
588,lustig::A,প্রফুল্ল,עליז
589,sanft::A,নম্র,עדין
590,hungrig::A,ক্ষুধার্ত,רעב
591,krank::A,অসুস্থ,חולה
592,nackt::A,উলঙ্গ,ערום
593,traurig::A,দুঃখিত,עצוב
594,lebendig::A,জীবিত,חי
595,gut::A,ভালো,טוב
596,schlecht::A,মন্দ,גרוע
597,richtig::A,ঠিক,נכון
598,schlimm::A,কদর্য,רע
599,wahr::A,বাস্তব,אמתי
600,alt::A,পুরাতন,ישן
601,neu::A,নব,חדש
602,neu::A,নূতন,חדש
603,ehemalig::A,পূর্বকালীন,לשעבר
604,alt[Lebewesen]::A,বৃদ্ধ,זקן
605,jung::A,তরুণ,צעיר
606,arm::A,ক্ষুদ্র,עני
607,reich::A,ধনবান্,עשיר
608,bekannt::A,সুপরিচিত,ידוע
609,berühmt::A,বিখ্যাত,מפרסם
610,fremd::A,বিদেশি,זר
611,verschieden::A,বিসদৃশ,שונה
612,nah::A,নিকটবতী,קרוב
613,fern::A,দুরবতী,רחוק
614,linker::A,বাম,שמאלי
615,rechter::A,ডান,ימין
616,rechter::A,ডাইন,ימין
617,anderer::A,অন্যতর,אחר
618,erster::A,প্রথম,ראשון
619,zweiter::A,দ্বিতীয়,שני
620,dritter::A,তৃতীয়,שלישי
621,letzter::A,সর্বশেষ,אחרון
622,allein::ADV,একক,לבד
623,auf einmal::ADV,জলদি,בו-זמנית
624,zusammen::ADV,একসঙ্গে,ביחד
625,lange::ADV,লম্বা,הרבה זמן
626,plötzlich::ADV,হঠাৎ,לפתע
627,plötzlich::ADV,হঠাৎ,פתאום
628,sofort::ADV,মুহ্ণর্তমধ্যে,מיד
629,später::ADV,পশ্চাতে,לאחר זמן
630,später::ADV,পশ্চাতে,יותר מאחר
631,jetzt::ADV,এখন,עכשיו
632,heute::ADV,আজ,היום
633,morgen::ADV,আগামিকাল,מחר
634,bald::ADV,অস্পকালমধ্যে,בקרוב
635,dann::ADV,তখন,אחר-כך
636,gestern::ADV,গতকাল,אתמול
637,einst::ADV,একবার মাত্র,לפנים
638,damals::ADV,তখন,אז
639,danach::ADV,পরে,אחר-כך
640,vorher::ADV,আগে,לפני זה
641,zuerst::ADV,আগে,קדם
642,einmal::ADV,একবার,פעם
643,manchmal::ADV,কখনও কখনও,לפעמים
644,oft::ADV,ঘনঘন,לעתים קרובות
645,immer::ADV,সর্বদা,תמיד
646,niemals::ADV,কখলও নহে,אף פעם
647,hier::ADV,এখানে,כאן
648,hierhin::ADV,এখানে,פה
649,von hier::ADV,ত্রই স্তান হইতে,מפה
650,dort::ADV,ওখানে,שם
651,dorthin::ADV,ওখানে,שם
652,geradeaus::ADV,অগ্রগামী,ישר
653,vorwärts::ADV,সন্মুখিকে,קדימה
654,rückwärts::ADV,খিরিয়া,לאחור
655,zurück::ADV,পিঠ,בחזרה
656,zurück::ADV,পিঠ,אחורנית
657,unten::ADV,নীচে,למטה
658,hinab::ADV,নিম্নগামী,למטה
659,oben::ADV,উপরে,מעל
660,oben::ADV,উপরে,למעלה
661,hinauf::ADV,উচ্চতর অংশে,למעלה
662,überall::ADV,সর্বত্র,בכל מקום
663,nicht::ADV,না,לא
664,ein wenig::ADV,অল্প,קצת
665,kaum::ADV,কষ্টসহকাবে,בקשי
666,sehr::ADV,খুব,מאוד
667,so::ADV,তত,כך
668,so::ADV,তত,ככה
669,noch::ADV,এখন পর্যস্ত,עוד
670,noch::ADV,এখন পর্যস্ত,עדין
671,nur::ADV,শুধু,רק
672,schon::ADV,ইতঃপুর্বে,כבר
673,wieder::ADV,আবার,שוב
674,vergebens::ADV,বিফলে,לריק
675,vergebens::ADV,বিফলে,לשוא
676,vor::PRP,সম্মুখে,מול
677,hinter::PRP,পশ্চাতে,מאחורי
678,unter::PRP,নীচে,מתחת
679,durch::PRP,দ্বারা,דרך
680,neben::PRP,কাছে,ליד
681,neben::PRP,কাছে,על-יד
682,zwischen::PRP,মধ্যে,בין
683,wegen::PRP,জন্য,בשל
684,wegen::PRP,জন্য,בגלל
685,dies::PRN,এটা,זה
686,das::PRN,ওটা,זה
687,alles::PRN,সব,הכל
688,ich::PRN,আমি,אני
689,du::PRN,তুমি,את
690,du::PRN,তুমি,אתה
691,er::PRN,উনি,הוא
692,wir::PRN,আমরা,אנחנו
693,ihr::PRN,তোমরা,לה
694,sie::PRN,তারা,הם
695,was::FPRN,কি,מה
696,wer::FPRN,কে,מי
697,wo::FADV,কোথায়,איפה
698,wohin::FADV,কোথায়,לאן
699,wie::FADV,কেমন,איך
700,warum::FADV,কেন,למה
701,wieviel::FNUM,কত,כמה
702,eins::NUM,অক,אחד
703,zwei::NUM,দুই,שתים
704,drei::NUM,তিন,שלושה
705,vier::NUM,চার,ארבעה
706,fünf::NUM,পাঁচ,חמשה
707,sechs::NUM,ছয়,ששה
