,Concept_ID,lbe,cv
1073,lieben::V,эшкьи хьуиу бикӏан,юрат
1074,mögen::V,ххиран бикӏан,кӑмӑлла
1075,mögen::V,ххиран бикӏан,килӗштер
1076,lachen::V,хъян,кул
1077,lachen::V,хъян,ахӑлтат
1078,weinen::V,аьтӏун,йӗр
1079,weinen::V,аьтӏун,макӑр
1080,schimpfen::V,дяъван,вӑрҫ
1081,schimpfen::V,дяъван,ятлаҫ
1082,schimpfen::V,ссугайи агьан,вӑрҫ
1083,schimpfen::V,ссугайи агьан,ятлаҫ
1084,sich ärgern::V,ссибизлан,ҫиллен
1085,sich fürchten::V,ингъауслан,шиклен
1086,fürchten::V,хӏучӏ тӏун,хӑра
1087,fliehen::V,ака бан,тар
1088,flüchten::V,лихъан,чупса тар
1089,sehen::V,чӏалан,кур
1090,anschauen::V,урган,пӑхса ил
1091,ansehen::V,буруглан,пӑх
1092,hören::V,баллан,илт
1093,zuhören::V,вичӏи дихьлан,итле
1094,zuhören::V,вичӏи дихьлан,тӑнла
1095,probieren::V,тӏин ххал буллан,астив
1096,riechen::V,ссунтӏа тӏун,шӑршла
1097,fühlen::V,дакӏнил буслан,туй
1098,fühlen::V,дакӏнил буслан,сис
1099,scheinen::V,ххан,туйӑн
1100,scheinen::V,бизан,туйӑн
1101,scheinen::V,ххан бикӏлай бикӏан,туйӑн
1102,vernehmen::V,баян,пӑл
1103,frieren::V,лигьулул хъанан,йӳтен
1104,tun::V,бан,ту
1105,können::V,хьун,пултар
1106,anfangen::V,дайдишин,пуҫла
1107,beenden::V,къуртал бан,пӗтер
1108,aufhören::V,кьабагьан,пӑрах
1109,gelingen::V,бюхъан,ӑн
1110,öffnen::V,тӏитӏин,уҫ
1111,schließen::V,лакьин,хуп
1112,stellen::V,дацӏан дан,ларт
1113,stellen::V,дацӏан дан,тӑрат
1114,stellen::V,бишин,ларт
1115,stellen::V,бишин,тӑрат
1116,setzen::V,щяитан,ларт
1117,legen::V,бишин,хур
1118,berühren::V,ка щун,перӗн
1119,verbinden::V,бахӏин,сып
1120,verbinden::V,дахӏин,сып
1121,bedecken::V,ялтту бущин,вит
1122,bedecken::V,ялтту бакьин,вит
1123,aufhängen::V,лахъан,ҫак
1124,anzünden::V,лахъан,ҫут
1125,aufheben::V,гьаз бан,ҫӗкле
1126,zurücklassen::V,кьаитан,манса хӑвар
1127,zurücklassen::V,битан,манса хӑвар
1128,verlieren::V,дакъа дан,ҫӗтер
1129,fallen lassen::V,рутан,ӳкер
1130,machen::V,дан,ту
1131,herstellen::V,яраг ишла бувиу бан,ӑстала
1132,bauen::V,дан,ту
1133,reparieren::V,дакьин дан,юса
1134,verbessern::V,ххуй дан,лайӑхлат
1135,ändern::V,баххана бан,улӑштар
1136,graben::V,дуклан,чав
1137,graben::V,дуклан,чакала
1138,beugen::V,лахӏан бан,кукӑрт
1139,beugen::V,кьус бикӏан,кукӑрт
1140,biegen::V,баччин,ав
1141,biegen::V,баччин,кукӑрт
1142,biegen::V,лахӏан бан,ав
1143,biegen::V,лахӏан бан,кукӑрт
1144,drehen::V,гьанан,ҫавӑр
1145,wenden::V,кӏура баен бан,ӳпӗнтер
1146,umdrehen::V,кӏура баен бан,ҫавӑр
1147,heben::V,гьаз бан,хӑпарт
1148,hochheben::V,гьаз бан,йӑт
1149,ergreifen::V,хъап дан,тыт
1150,ergreifen::V,хъап увиу угьан,тыт
1151,halten::V,бугьлан,тыт
1152,drücken::V,кьюч бигьлан,пус
1153,schieben::V,щун,тӗк
1154,schieben::V,щун,тӗрт
1155,lecken::V,ланцӏа тӏун,ҫула
1156,beißen::V,хъапа тӏун,ҫырт
1157,beißen::V,хъапа тӏун,хып
1158,beißen::V,кьацӏа тӏун,ҫырт
1159,beißen::V,кьацӏа тӏун,хып
1160,abreißen::V,буцан,тат
1161,abschneiden::V,бухъан,кас
1162,abschneiden::V,кьукьин,кас
1163,binden::V,бахӏин,ҫых
1164,binden::V,дахӏин,ҫых
1165,brechen::V,гъагъан,хуҫ
1166,klopfen::V,кьутӏа тӏун,такка
1167,hauen::V,рищун,шакка
1168,kleben::V,лачӏун буллан,ҫыпӑҫтар
1169,reiben::V,ссуку буллан,сӑтӑр
1170,streichen::V,дугъан,сӗр
1171,streichen::V,аьгъу дан,сӗр
1172,schneiden::V,духълан,кас
1173,schneiden::V,кьукьлан,кас
1174,schütteln::V,хъюлчу буллан,лӑка
1175,schütteln::V,хъюлчу буллан,силлентер
1176,schwenken::V,палцӏ дуллан,сулла
1177,schütten::V,рутӏин,тултар
1178,füllen::V,буцӏин бан,тултар
1179,einwickeln::V,кай-кай бан,чӗрке
1180,tragen::V,ларсун занан,ҫӗкле
1181,tragen::V,ларсун ачин,ҫӗкле
1182,schleppen::V,ххилан,сӗтӗр
1183,aufbewahren::V,ядан,усра
1184,aufbewahren::V,ядуллан,усра
1185,werfen::V,личин,пӑрах
1186,fangen::V,бугьан,тыт
1187,fangen::V,бугьлан,тыт
1188,verstecken::V,ладитан,пытарса хур
1189,verstecken::V,кьюлтӏ дан,пытарса хур
1190,verstecken::V,дахьлаган дан,пытарса хур
1191,teilen::V,бачӏин,уйӑр
1192,teilen::V,бачӏин,пайла
1193,teilen::V,бутӏа бан,уйӑр
1194,teilen::V,бутӏа бан,пайла
1195,schicken::V,тӏайла буккан,яр
1196,bringen::V,диян дан,кӳр
1197,hinzufügen::V,ххи бан,хуш
1198,bekommen::V,ласун,ил
1199,bekommen::V,ласун,туян
1200,erhalten::V,ласун,ил
1201,erhalten::V,ласун,туян
1202,nehmen::V,ласун,ил
1203,wählen::V,бувчӏин,суйла
1204,auswählen::V,бувчӏин,суйла
1205,auswählen::V,язи бугьан,суйла
1206,bewahren::V,ядан,упра
1207,behindern::V,дайщишруду дуллан,кансӗрле
1208,behindern::V,дайщишруду дуллан,чӑрмантар
1209,verderben::V,зия дан,пӑс
1210,beschädigen::V,зарал буллан,пӑс
1211,zerbrechen::V,гьагъан,ват
1212,zerbrechen::V,гьагъан,ҫӗмӗр
1213,zerbrechen::V,гьагъан бан,ват
1214,zerbrechen::V,гьагъан бан,ҫӗмӗр
1215,zerreißen::V,ххяхха дуккан,ҫур
1216,zerstören::V,лекьан дан,иш
1217,verbrennen::V,ччуччин,ҫунтар
1218,geben::V,дулун,пар
1219,reichen::V,дулун,пар
1220,schenken::V,пишкаш дан,парнеле
1221,schenken::V,багъишла дан,парнеле
1222,schenken::V,ихӏсандалун дуллун,парнеле
1223,versprechen::V,банна чин,тума пул
1224,versprechen::V,банна чин,сӑмах пар
1225,loben::V,цӏа дан,ырла
1226,küssen::V,ппай тӏун,чуп ту
1227,wiegen::V,гьуркку тӏун,сиктер
1228,wiegen::V,гьуркку тӏун,силле
1229,wiegen::V,гьуркку буллан,сиктер
1230,wiegen::V,гьуркку буллан,силле
1231,wiegen::V,гьуркку бан,сиктер
1232,wiegen::V,гьуркку бан,силле
1233,wecken::V,чантӏ учин ан,вӑрат
1234,zeigen::V,ккаккан бан,кӑтарт
1235,führen::V,буцин,илсе пыр
1236,führen::V,буцин,ҫавӑтса пыр
1237,lehren::V,лахьхьин бан,вёрент
1238,lehren::V,лахьхьин буллан,вёрент
1239,unterrichten::V,дарс дишаван,вёрент
1240,aufziehen::V,хъуна ан,вӗрент
1241,aufziehen::V,тарбия ан,вӗрент
1242,leiten::V,каялувшиву дан,тытса пыр
1243,einladen::V,хъамалу оьвчин,чӗн
1244,vereinigen::V,ца бан,пӗрлештер
1245,besuchen::V,ялун уххан,ҫит
1246,besuchen::V,ялун уххан,кӗрсе кур
1247,treffen::V,хьуна бакьин,тӗл пул
1248,sich versammeln::V,батӏин,пуҫтарӑн
1249,spielen::V,тӏуркӏу тӏун,выля
1250,singen::V,балай тӏун,юрла
1251,tanzen::V,къавтӏун,ташла
