,Concept_ID,it,ml
90,Regen::N,pioggia,മഴ
91,Schnee::N,neve,മഞ്ഞ്
92,Eis::N,ghiaccio,ഐസ്
93,Frost::N,gelo,മൂടൽമഞ്ഞ്
94,Kälte::N,freddo,തണുപ്പ്
95,Hitze::N,caldo,ചൂട്
96,Hitze::N,calura,ചൂട്
97,Raureif::N,brina,കോടമഞ്ഞ്
98,Regenbogen::N,arcobaleno,മഴവില്ല്
99,Donner::N,tuono,ഇടി
100,Strömung::N,corrente,പ്രവാഹം
101,Tropfen::N,goccia,തുള്ളി
102,Schaum::N,spuma,നുര
103,Schaum::N,schiuma,നുര
104,Schmutz::N,sudiciume,അഴുക്ക്
105,See::N,lago,തടാകം
106,Sumpf::N,palude,ചതുപ്പുനിലം
107,Moor::N,torbiera,പാഴ്നിലം
108,Wiese::N,prato,പുൽത്തകിടി
109,Wald::N,bosco,വനം
110,Wald::N,bosco,കാട്
111,Wald::N,foresta,വനം
112,Wald::N,foresta,കാട്
113,Hügel::N,colle,കുന്ന്
114,Hügel::N,collina,കുന്ന്
115,Anhöhe::N,altura,ഉയർന്ന ഭൂമി
116,Berg::N,monte,പർവ്വതം
117,Berg::N,montagna,പർവ്വതം
118,Gipfel::N,cima,ഉച്ചകോടി
119,Höhle::N,grotta,ഗുഹ
120,Höhle::N,caverna,ഗുഹ
121,Abhang::N,pendìo,ചരിവ്
122,Quelle::N,sorgente,ഉറവിടം
123,Bach::N,ruscello,അരുവി
124,Fluss::N,fiume,നദി
125,Ufer::N,riva,തീരം
126,Küste::N,costa,കടൽത്തീരം
127,Festland::N,terraferma,കര
128,Meer::N,mare,കടൽ
129,Bucht::N,cala,ഉൾക്കടല്
130,Insel::N,ìsola,ദ്വീപ്
131,Blume::N,fiore,പൂവ്
132,Gras::N,erba,പുല്ല്
133,Wurzel::N,radice,വേര്
134,Baum::N,àlbero,മരം
135,Stamm::N,tronco,തായ്ത്തടി
136,Rinde::N,corteccia,പട്ട
137,Ast::N,ramo,ശാഖ
138,Zweig::N,ramo,ശാഖ
139,Blatt::N,foglia,ഇല
140,Birke::N,betulla,പൂവരശ്
141,Kiefer[Baum]::N,pino,പൈൻമരം
142,Weide[Baum]::N,sàlice,വില്ലോ
143,Tanne::N,abete,ദേവദാരു
144,Horn::N,corno,മൃഗത്തിൻറെ കൊമ്പ്
145,Feder::N,penna,തൂവൽ
146,Fell::N,manto,മൃദുരോമം
147,Fell::N,pelame,മൃദുരോമം
148,Flügel::N,ala,ചിറക്
149,Klaue::N,grinfia,നഖം
150,Kralle::N,unghia,നഖം
151,Kralle::N,artiglio,നഖം
152,Schwanz::N,coda,വാൽ
153,Ei::N,uovo,മുട്ട
154,Nest::N,nido,കൂട്
155,Bau::N,covo,മാളം
156,Tier::N,bestia,മൃഗം
157,Tier::N,animale,മൃഗം
158,Herde::N,gregge,കൂട്ടം
159,Kuh::N,vacca,പശു
160,Bulle::N,toro,കാള
161,Pferd::N,cavallo,കുതിര
162,Schaf::N,pècora,ആട്
163,Schwein::N,porco,പന്നി
164,Schwein::N,maiale,പന്നി
165,Hund::N,cane,നായ്
166,Katze::N,gatta,പൂച്ച
167,Bär::N,orso,കരടി
168,Eichhörnchen::N,scoiàttolo,അണ്ണാൻ
169,Elch::N,alce,കടമാന്
170,Fuchs::N,volpe,കുറുക്കൻ
171,Hase::N,lepre,മുയൽ
172,Maus::N,topo,ചുണ്ടലി
173,Maus::N,sorcio,ചുണ്ടലി
174,Wolf::N,lupo,ചെന്നായ
175,Vogel::N,uccello,പക്ഷി
176,Schwarm::N,stormo,കൂട്ടം
177,Huhn::N,gallina,കോഴി
178,Hahn::N,gallo,പൂവൻകോഴി
179,Gans::N,oca,അരയന്നം
180,Adler::N,àquila,കഴുകൻ
181,Ente::N,ànatra,താറാവ്
182,Eule::N,gufo,മൂങ്ങ
183,Eule::N,civetta,മൂങ്ങ
184,Kranich::N,gru,കൊക്ക്
185,Krähe::N,cornacchia,കാക്ക
186,Kuckuck::N,cuccù,കുയിൽ
187,Kuckuck::N,cùculo,കുയിൽ
188,Schwan::N,cigno,അരയന്നം
189,Fisch::N,pesce,മത്സ്യം
190,Barsch::N,pèrsico,ഒരിനം മത്സ്യം
191,Hecht::N,luccio,ഒരു മത്സ്യം
192,Schlange[Tier]::N,serpente,പാമ്പ്
193,Wurm::N,baco,വിര
194,Wurm::N,verme,വിര
195,Spinne::N,ragno,ചിലന്തി
196,Ameise::N,formica,ഉറുമ്പ്
197,Laus::N,pidocchio,പേന്
198,Mücke::N,zanzara,മശകം
199,Fliege::N,mosca,ഈച്ച
200,Schmetterling::N,farfalla,ചിത്രശലഭം
201,Beere::N,bacca,ബെറി
202,Apfel::N,mela,ആപ്പിൾ
203,Pilz::N,fungo,കൂൺ
204,Zwiebel::N,cipolla,സവാള
205,Saat::N,semente,വിത്ത്
206,Korn::N,grano,ധാന്യം
207,Heu::N,fieno,വയ്ക്കോൽ
208,Schale::N,buccia,തൊലി
209,Grube::N,cava,കുഴി
210,Grube::N,fossa,കുഴി
211,Falle::N,tràppola,കെണി
212,Schlinge::N,laccio,കുടുക്ക്
213,Spur::N,traccia,ചുവട്
214,Asche::N,cenere,ചാരം
215,Dreck::N,fango,അഴുക്ക്
216,Eisen::N,ferro,ഇരുമ്പ്
217,Gold::N,oro,സ്വർണ്ണം
218,Silber::N,argento,വെള്ളി
219,Kohle::N,carbone,കൽക്കരി
220,Glas::N,vetro,ഗ്ലാസ്
221,Lehm::N,argilla,കളിമണ്ണ്
222,Sand::N,arena,മണൽ
223,Sand::N,sabbia,മണൽ
224,Mensch::N,uomo,മനുഷ്യർ
225,Mensch::N,èssere umano,മനുഷ്യർ
226,Mann::N,uomo,പുരുഷൻ
227,Frau::N,donna,സ്ത്രീ
228,Kind::N,bambino,കുഞ്ഞ്
229,Junge::N,ragazzo,ആൺകുട്ടി
230,Mädchen::N,ragazza,പെൺകുട്ടി
231,Familie::N,famiglia,കുടുംബം
232,Großvater::N,nonno,അപ്പൂപ്പൻ
233,Großmutter::N,nonna,അമ്മുമ്മ
234,Eltern::N,genitori,മാതാപിതാക്കള്
235,Vater::N,padre,അച്ഛൻ
236,Mutter::N,madre,അമ്മ
237,Sohn::N,figlio,മകൻ
238,Tochter::N,figlia,മകൾ
239,Bruder::N,fratello,ചേട്ടൻ
240,Bruder::N,fratello,അനിയൻ
241,Schwester::N,sorella,ചേച്ചി
242,Schwester::N,sorella,അനിയത്തി
243,Onkel::N,zio,അമ്മാവൻ
244,Tante::N,zia,മാമി
245,Ehemann::N,marito,ഭർത്താവ്
246,Ehefrau::N,moglie,ഭാര്യ
247,Freude::N,gioia,ആഹ്ലാദം
248,Freude::N,piacere,ആഹ്ലാദം
249,Gelächter::N,risata,ചിരിയുടെ ശബ്ദം
250,Glück::N,felicità,സന്തോഷം
251,Glück::N,felicità,സന്തുഷ്ടി
252,Kummer::N,afflizione,ശോകം
253,Wunsch::N,desiderio,ആഗ്രഹം
254,Lust::N,voglia,ആഗ്രഹം
255,Geist::N,mente,ചുറുചുറുക്ക്
256,Geist::N,spìrito,ചുറുചുറുക്ക്
257,Gedanke::N,idea,ചിന്ത
258,Gedanke::N,pensiero,ചിന്ത
259,Gedächtnis::N,memoria,ഓർമ്മശക്തി
260,Verstand::N,intelletto,മനസ്സ്
261,Sinn::N,senso,അർത്ഥം
262,Sinn::N,significato,അർത്ഥം
263,Grund::N,causa,കാരണം
264,Grund::N,motivo,കാരണം
265,Grund::N,ragione,കാരണം
266,Wahrheit::N,verità,സത്യം
267,Gespräch::N,discorso,സല്ലാപം
268,Gespräch::N,conversazione,സല്ലാപം
269,Märchen::N,fiaba,യക്ഷിക്കഥ
270,Märchen::N,fàvola,യക്ഷിക്കഥ
271,Erzählung::N,racconto,കഥ
272,Erzählung::N,narrazione,കഥ
273,Nachricht::N,messaggio,സന്ദേശം
274,Neuigkeit::N,notizia,വാർത്ത
275,Name::N,nome,പേര്
276,Rätsel::N,indovinello,പ്രഹേളിക
277,Rede::N,discorso,സംസാരം
278,Sprache::N,lingua,ഭാഷ
279,Sprache::N,linguaggio,ഭാഷ
280,Stimme::N,voce,സ്വരം
281,Wort::N,parola,വാക്ക്
282,Zeichen::N,segno,സംജ്ഞ
283,Zeichen::N,segnale,സംജ്ഞ
284,Ruf::N,chiamata,വിളി
285,Lärm::N,chiasso,ആരവം
286,Lärm::N,strèpito,ആരവം
287,Laut::N,suono,ശബ്ദം
288,Ton::N,tono,സ്വരഭേദം
289,Lied::N,canto,പാട്ട്
290,Lied::N,canzone,പാട്ട്
291,Ruhe::N,calma,നിശ്ചലത
292,Ruhe::N,tranquillità,നിശ്ചലത
293,Leute::N,gente,ജനങ്ങൾ
294,Volk::N,pòpolo,രാഷ്ടം
295,Arbeit::N,lavoro,ജോലി
296,Gast::N,òspite,അതിലി
297,Gast::N,invitato,അതിലി
298,Geschenk::N,regalo,സമ്മാനം
299,Spiel::N,gioco,കളി
300,Gesellschaft::N,compagnìa,കൂട്ടായ്മ
301,Hilfe::N,aiuto,സഹായം
302,Hilfe::N,soccorso,സഹായം
303,Freund::N,amico,സുഹൃത്ത്
304,Kamerad::N,camerata,കൂട്ടാളി
305,Angelegenheit::N,affare,കാര്യം
306,Angelegenheit::N,faccenda,കാര്യം
307,Anzahl::N,nùmero,എണ്ണം
308,Anzahl::N,quantità,എണ്ണം
309,Art::N,tipo,തരം
310,Art::N,specie,തരം
311,Stück::N,pezzo,കഷണം
312,Teil::N,parte,ഭാഗം
313,Hälfte::N,metà,പകുതി
314,Kreis::N,cìrcolo,വൃത്തം
315,Kreuz::N,croce,കുരിശടയാളം
316,Linie::N,lìnea,വര
317,Linie::N,lìnea,രേഖ
318,Strich::N,tratto,പക്ഷാഘാതം
319,Abstand::N,distanza,വിടവ്
320,Entfernung::N,distanza,അകലം
321,Entfernung::N,lontananza,അകലം
322,Gegend::N,regione,പ്രദേശം
323,Platz::N,posto,ഇടം
324,Platz::N,spazio,ഇടം
325,Ort::N,luogo,സ്ഥലം
326,Ort::N,località,സ്ഥലം
327,Seite::N,lato,വശം
328,Seite::N,parte,വശം
329,Mitte::N,mezzo,മധ്യസ്ഥാനം
330,Mitte::N,centro,മധ്യസ്ഥാനം
331,Gegenstand::N,oggetto,സാധനം
332,Sache::N,cosa,വസ്തു
333,Rand::N,orlo,തൊങ്ങൽ
334,Rand::N,bordo,തൊങ്ങൽ
335,Kante::N,spìgolo,അറ്റം
336,Ecke::N,canto,മൂല
337,Spitze::N,punta,അഗ്രം
338,Ende::N,capo,അവസാനം
339,Ende::N,estremità,അവസാനം
340,Loch::N,buco,ദ്വാരം
341,Winkel::N,àngolo,കോൺ
342,Muster::N,disegno,ക്രമം
343,Größe::N,taglia,വലുപ്പം
344,Größe::N,grandezza,വലുപ്പം
345,Länge::N,lunghezza,നീളം
346,Höhe::N,altezza,ഉയരം
347,Gewicht::N,peso,കട്ടി
348,Menge::N,quantità,അളവ്
349,Haufen::N,cùmulo,കൂമ്പാരം
350,Haufen::N,mucchio,കൂമ്പാരം
351,Reihe::N,fila,വരി
352,Boot::N,barca,ബോട്ട്
353,Boot::N,battello,ബോട്ട്
354,Ruder::N,remo,പങ്കായം
355,Schlitten::N,slitta,ഉരുളില്ലാവണ്ടി
356,Ski::N,sci,ഹിമപാദുകം
357,Lagerfeuer::N,falò,തീ
358,Lagerfeuer::N,fuoco di bivacco,തീ
359,Last::N,càrico,ഭാരം
360,Gang::N,andata,നടത്തം
361,Schritt::N,passo,ചുവട്
362,Norden::N,nord,വടക്ക്
363,Norden::N,settentrione,വടക്ക്
364,Süden::N,sud,തെക്ക്
365,Süden::N,meridione,തെക്ക്
366,Westen::N,òvest,പടിഞ്ഞാറ്
367,Westen::N,occidente,പടിഞ്ഞാറ്
368,Osten::N,est,കിഴക്ക്
369,Osten::N,oriente,കിഴക്ക്
370,Holz::N,legno,തടി
371,Brett::N,asse,ബോർഡ്
372,Brett::N,tàvola,ബോർഡ്
373,Platte::N,lastra,തകിട്
374,Platte::N,piastra,തകിട്
375,Stütze::N,supporto,താങ്ങ്
376,Stange::N,sbarra,കമ്പ്
377,Stange::N,pèrtica,കമ്പ്
378,Stock::N,verga,വടി
379,Stock::N,bastone,വടി
380,Stock::N,bacchetta,വടി
381,Stab::N,asta,കുറുവടി
382,Rohr::N,tubo,കുഴൽ
383,Haus::N,casa,വീട്
384,Heim::N,casa,വീട്
385,Ofen::N,stufa,സ്റ്റൌ
386,Fußboden::N,pavimento,തറ
387,Tisch::N,tàvolo,മേശ
388,Stuhl::N,sedia,കസേര
389,Wiege::N,culla,തൊട്ടിൽ
390,Bett::N,letto,കിടക്ക
391,Regal::N,scaffale,ഷെൽഫ്
392,Kiste::N,cassa,പെട്ടി
393,Fenster::N,finestra,ജനൽ
394,Tür::N,porta,വാതിൽ
395,Tor::N,portone,കവാടം
396,Zaun::N,recinto,വേലി
397,Dach::N,tetto,മേൽക്കുര
398,Leiter::N,scala,ഏണി
399,Leiter::N,scala a pioli,ഏണി
400,Besen::N,scopa,ചൂല്
401,Spaten::N,vanga,തൂമ്പ
402,Schaufel::N,pala,തൂമ്പ
403,Gabel::N,forchetta,മുൾക്കത്തി
404,Löffel::N,cucchiaio,സ്പൂൺ
405,Messer::N,coltello,കത്തി
406,Nagel::N,chiodo,ആണി
407,Netz::N,rete,വല
408,Haken::N,uncino,കൊളുത്ത്
409,Griff::N,mànico,കൈപ്പിടി
410,Griff::N,maniglia,കൈപ്പിടി
411,Schloss::N,serratura,പൂട്ട്
412,Bild::N,quadro,ചിത്രം
413,Bild::N,immàgine,ചിത്രം
414,Figur::N,figura,കണക്ക്
415,Puppe::N,bàmbola,പാവ
416,Beutel::N,borsa,ബാഗ്
417,Beutel::N,sacchetto,ബാഗ്
418,Bündel::N,fascio,കെട്ട്
419,Bündel::N,fagotto,കെട്ട്
420,Tasche::N,borsa,ബാഗ്
421,Eimer::N,secchio,ബക്കറ്റ്
422,Deckel::N,coperchio,ഉറ
423,Geschirr::N,stoviglie,പിഞ്ഞാണം
424,Sack::N,sacco,ചാക്ക്
425,Tasse::N,tazza,കപ്പ്
426,Topf::N,pèntola,പാത്രം
427,Kessel::N,paiolo,കെറ്റ്ല്
428,Kessel::N,calderone,കെറ്റ്ല്
429,Essen::N,pasto,ആഹാരസമയം
430,Essen::N,mangiare,ആഹാരസമയം
431,Nahrung::N,cibo,ഭക്ഷണം
432,Nahrung::N,alimento,ഭക്ഷണം
433,Speise::N,piatto,ഡിഷ്
434,Fleisch::N,carne,മാംസം
435,Getreide::N,cereali,ചോളം
436,Brei::N,purè,കഞ്ഞി
437,Brei::N,pappa,കഞ്ഞി
438,Brot::N,pane,റോട്ടി
439,Scheibe::N,fetta,തുണ്ട്
440,Scheibe::N,trancia,തുണ്ട്
441,Fett::N,grasso,കൊഴുപ്പ്
442,Butter::N,burro,വെണ്ണ
443,Öl::N,olio,എണ്ണ
444,Salz::N,sale,ഉപ്പ്
445,Suppe::N,zuppa,സൂപ്പ്
446,Suppe::N,minestra,സൂപ്പ്
447,Honig::N,miele,തേൻ
448,Milch::N,latte,പാൽ
449,Tee::N,tè,ചായ
450,Leder::N,pelle,തുകൽ
451,Wolle::N,lana,കമ്പിളി
452,Stoff::N,panno,തുണി
453,Stoff::N,tessuto,തുണി
454,Nadel::N,ago,സൂചി
455,Faden::N,filo,നൂല്
456,Knopf::N,bottone,ബട്ടൺ
457,Knoten::N,nodo,കുരുക്ക്
458,Farbe::N,pittura,പെയിൻറ്
459,Kleidung::N,vestiti,വസ്ത്രങ്ങൾ
460,Kleidung::N,vestiario,വസ്ത്രങ്ങൾ
461,Hemd::N,camicia,ഷർട്ട്
462,Kragen::N,bàvero,കുപ്പായക്കഴുത്ത്
463,Kragen::N,colletto,കുപ്പായക്കഴുത്ത്
464,Ärmel::N,mànica,കുപ്പായക്കൈ
465,Hose::N,calzoni,ട്രൌസർ
466,Gürtel::N,cintura,ബെൽറ്റ്
467,Mütze::N,berretto,തൊപ്പി
468,Schuh::N,scarpa,ഷൂ
469,Stiefel::N,stivale,ബൂട്ട്
470,Ring::N,anello,മോതിരം
471,Band::N,nastro,റിബൺ
472,Band::N,fettuccia,റിബൺ
473,Kamm::N,pèttine,ചീപ്പ്
474,Spiegel::N,specchio,കണ്ണാടി
475,Riemen::N,cinghia,സ്ട്രാപ്പ്
476,Schnur::N,corda,ചരട്
477,Leine::N,guinzaglio,കെട്ടാനുള്ള തോൽവാർ
478,Decke::N,coperta,പുതപ്പ്
479,Kissen::N,cuscino,തലയിണ
480,Kissen::N,guanciale,തലയിണ
481,Tuch::N,fazzoletto,സ്കാർഫ്
482,Handtuch::N,asciugamano,തോർത്ത്
483,Kraft::N,forza,ശക്തി
484,Stärke::N,forza,ശക്തി
485,Stärke::N,vigore,ശക്തി
486,Stärke::N,fortezza,ശക്തി
487,Gesundheit::N,salute,ആരോഗ്യം
488,Krankheit::N,malattìa,അസുഖം
489,Schmerz::N,dolore,വേദന
490,Wunde::N,piaga,മുറിവ്
491,Wunde::N,ferita,മുറിവ്
492,Fieber::N,febbre,പനി
493,Arznei::N,fàrmaco,മരുന്ന്
494,Arznei::N,medicina,മരുന്ന്
495,Brücke::N,ponte,പാലം
496,Brunnen::N,pozzo,കിണർ
497,Weide::N,pàscolo,മേച്ചൽ
498,Pfad::N,sentiero,വഴി
499,Weg::N,via,വഴി
500,Weg::N,cammino,വഴി
501,Straße::N,strada,റോഡ്
502,Dorf::N,paese,ഗ്രാമം
503,Dorf::N,villaggio,ഗ്രാമം
504,Stadt::N,città,നഗരം
505,Brief::N,lèttera,കത്ത്
506,Buch::N,libro,പുസ്തകം
507,Buchstabe::N,lèttera,അക്ഷരം
508,Zeitung::N,giornale,വർത്തമാനപത്രം
509,Leben::N,vita,ജീവൻ
510,Tod::N,morte,മരണം
511,Grab::N,tomba,ശവക്കുഴി
512,Grab::N,sepolcro,ശവക്കുഴി
513,Kirche::N,chiesa,പള്ളി
514,Sünde::N,peccato,പാപം
515,Gott::N,dio,ദൈവം
516,Arbeiter::N,operaio,ജോലിക്കാരൻ
517,Arbeiter::N,lavoratore,ജോലിക്കാരൻ
518,Chef::N,capo,മേധാവി
519,Chef::N,padrone,മേധാവി
520,Meister::N,mastro,യജമാനൻ
521,Meister::N,maestro,യജമാനൻ
522,Arzt::N,mèdico,ഡോക്ടർ
523,Arzt::N,dottore,ഡോക്ടർ
524,Lehrer::N,professore,അധ്യാപകൻ
525,Geld::N,soldi,പണം
526,Geld::N,denaro,പണം
527,Geschäft::N,affare,ബിസിനസ്
528,Geschäft::N,negozio,ബിസിനസ്
529,Laden::N,negozio,കട
530,Preis::N,prezzo,വില
531,Ware::N,merce,ചരക്ക്
532,Nutzen::N,ùtile,ലാഭം
533,Nutzen::N,profitto,ലാഭം
534,Reichtum::N,ricchezza,ധനം
535,Welt::N,mondo,ലോകം
536,Land::N,paese,രാജ്യം
537,Staat::N,Stato,രാജ്യം
538,König::N,re,രാജാവ്
539,Macht::N,potere,അധികാരം
540,Grenze::N,confine,അതിർത്തി
541,Grenze::N,frontiera,അതിർത്തി
542,Krieg::N,guerra,യുദ്ധം
543,Feind::N,nemico,ശത്രു
544,Gewalt::N,violenza,അക്രമം
545,Kampf::N,lotta,പോരാട്ടം
546,Bogen[Waffe]::N,arco,വില്ല്
547,Pfeil::N,freccia,അമ്പ്
548,Gewehr::N,fucile,തോക്ക്
549,Fehler::N,errore,പിശക്
550,Fehler::N,sbaglio,പിശക്
551,Lüge::N,bugìa,കള്ളം
552,Lüge::N,menzogna,കള്ളം
553,Schaden::N,danno,കേടുപാട്
554,Unglück::N,sfortuna,ദൌർഭാഗ്യം
555,Schuld::N,colpa,തെറ്റ്
556,Alter::N,età,വയസ്സ്
557,Schluss::N,fine,നിഗമനം
558,Zeit::N,tempo,സമയം
559,Tag::N,giorno,ദിവസം
560,Tag::N,giornata,ദിവസം
561,Morgen::N,mattina,പ്രഭാതം
562,Mittag::N,mezzogiorno,ഉച്ച
563,Abend::N,sera,സായാഹ്നം
564,Abend::N,serata,സായാഹ്നം
565,Nacht::N,notte,രാത്രി
566,Woche::N,settimana,ആഴ്ച
567,Monat::N,mese,മാസം
568,Jahr::N,anno,വർഷം
569,Frühling::N,primavera,വസന്തം
570,Sommer::N,estate,വേനൽ
571,Herbst::N,autunno,ശരത്കാലം
572,Winter::N,inverno,ശൈത്യം
573,Januar::N,gennaio,ജനുവരി
574,Februar::N,febbraio,ഫെബ്രുവരി
575,März::N,marzo,മാർച്ച്
576,April::N,aprile,ഏപ്രിൾ മാസം
577,Mai::N,maggio,മെയ് മാസം
578,Juni::N,giugno,ജൂൺ
579,Juli::N,luglio,ജൂലൈ
580,August::N,agosto,ആഗസ്റ്റ്
581,September::N,settembre,സെപ്തംബർ
582,Oktober::N,ottobre,ഒക്ടോബർ
583,November::N,novembre,നവംബർ
584,Dezember::N,dicembre,ഡിസംബർ
585,Montag::N,lunedì,തിങ്കളാഴ്ച
586,Dienstag::N,martedì,ചൊവ്വ
587,Mittwoch::N,mercoledì,ബുധനാഴ്ച
588,Donnerstag::N,giovedì,വ്യാഴാഴ്ച
589,Freitag::N,venerdì,വെള്ളിയാഴ്ച
590,Samstag::N,sàbato,ശനിയാഴ്ച
591,Sonntag::N,domenica,ഞായറാഴ്ച
592,groß::A,grande,വലിയ
593,klein::A,pìccolo,ചെറിയ
594,lang::A,lungo,നീണ്ട
595,kurz::A,corto,ഹ്രസ്വമായ
596,breit::A,largo,വിശാലമായ
597,schmal::A,stretto,ഇടുങ്ങിയ
598,dicht::A,denso,നിബിഡമായ
599,dick[Gegenstand]::A,spesso,തടിച്ച
600,dünn::A,sottile,മെലിഞ്ഞ
601,fein::A,fine,നേർത്ത
602,fein::A,delicato,നേർത്ത
603,fest::A,sodo,ഉറപ്പുള്ള
604,fest::A,fisso,ഉറപ്പുള്ള
605,flach::A,piano,പരന്ന
606,flach::A,piatto,പരന്ന
607,glatt::A,liscio,മിനുസമുള്ള
608,hart::A,duro,കട്ടിയുള്ള
609,weich::A,molle,മൃദുവായ
610,rund::A,rotondo,വട്ടത്തിലുള്ള
611,spitz::A,aguzzo,മുനയുള്ള
612,spitz::A,appuntito,മുനയുള്ള
613,scharf::A,affilato,മൂർച്ചയുള്ള
614,scharf::A,tagliente,മൂർച്ചയുള്ള
615,stumpf::A,smussato,തുറന്നടിക്കുന്ന
616,schwer::A,pesante,ഭാരമുള്ള
617,schön::A,bello,മനോഹരമായ
618,heiß::A,caldo,ചൂടുള്ള
619,heiß::A,bollente,ചൂടുള്ള
620,warm::A,caldo,ചൂടുള്ള
621,kalt::A,freddo,തണുത്ത
622,kühl::A,fresco,തണുപ്പുള്ള
623,frisch::A,fresco,ശുദ്ധമായ
624,feucht::A,ùmido,ഈറനുള്ള
625,nass::A,bagnato,നനഞ്ഞ
626,trocken::A,secco,വരണ്ട
627,voll::A,pieno,നിറയെ
628,leer::A,vuoto,ഒഴിഞ്ഞ
629,offen::A,aperto,തുറന്ന
630,geschlossen::A,chiuso,അടച്ച
631,sauber::A,netto,വൃത്തിയുള്ള
632,sauber::A,pulito,വൃത്തിയുള്ള
633,schmutzig::A,sporco,അഴുക്കുനിറഞ്ഞ
634,schmutzig::A,sùdicio,അഴുക്കുനിറഞ്ഞ
635,roh::A,crudo,അസംസ്കൃതമായ
636,reif::A,maturo,പഴുത്ത
637,lecker::A,ghiotto,രുചികരമായ
638,lecker::A,squisito,രുചികരമായ
639,süß::A,dolce,മധുരമുള്ള
640,bitter::A,amaro,കടുത്ത
641,sauer::A,aspro,പുളിപ്പുള്ള
642,sauer::A,acerbo,പുളിപ്പുള്ള
643,hell::A,chiaro,ജ്വലിക്കുന്ന
644,dunkel::A,buio,ഇരുണ്ട
645,dunkel::A,oscuro,ഇരുണ്ട
646,schwarz::A,nero,കറുത്ത
647,weiß::A,bianco,വെളുത്ത
648,rot::A,rosso,ചുവന്ന
649,gelb::A,giallo,മഞ്ഞനിറമായ
