,Concept_ID,da,tr
98,Schmutz::N,snavs,pislik
99,See::N,sø,göl
100,Sumpf::N,sump,batak
101,Moor::N,mose,cılgıt
102,Wiese::N,eng,çimen
103,Wald::N,skov,koru
104,Wald::N,skov,orman
105,Hügel::N,høj,tepe
106,Hügel::N,bakke,tepe
107,Anhöhe::N,høj,tümsek
108,Anhöhe::N,høj,yükseklik
109,Anhöhe::N,bakke,tümsek
110,Anhöhe::N,bakke,yükseklik
111,Berg::N,bjerg,dağ
112,Gipfel::N,top,zirve
113,Höhle::N,hule,in
114,Höhle::N,hule,mağara
115,Abhang::N,skrænt,bayır
116,Abhang::N,skråning,bayır
117,Quelle::N,kilde,pınar
118,Quelle::N,kilde,kaynak
119,Bach::N,bæk,çay
120,Bach::N,bæk,dere
121,Fluss::N,flod,nehir
122,Ufer::N,bred,kıyı
123,Ufer::N,bred,sahil
124,Küste::N,kyst,kıyı
125,Küste::N,kyst,sahil
126,Festland::N,fastland,kara
127,Meer::N,hav,deniz
128,Bucht::N,bugt,koy
129,Bucht::N,bugt,körfez
130,Insel::N,ø,ada
131,Blume::N,blomst,çiçek
132,Gras::N,græs,ot
133,Gras::N,græs,çim
134,Wurzel::N,rod,kök
135,Baum::N,træ,ağaç
136,Stamm::N,stamme,gövde
137,Rinde::N,bark,kabuk
138,Ast::N,gren,dal
139,Ast::N,gren,budak
140,Zweig::N,kvist,dal
141,Blatt::N,blad,yaprak
142,Birke::N,birk,huş
143,Kiefer[Baum]::N,fyrretræ,çam
144,Weide[Baum]::N,piletræ,söğüt
145,Tanne::N,gran,çam
146,Tanne::N,gran,köknar
147,Horn::N,horn,boynuz
148,Feder::N,fjer,tüy
149,Fell::N,skind,post
150,Flügel::N,vinge,kanat
151,Klaue::N,klov,pençe
152,Kralle::N,klo,tırnak
153,Schwanz::N,hale,kuyruk
154,Ei::N,æg,yumurta
155,Nest::N,rede,yuva
156,Bau::N,bo,in
157,Tier::N,dyr,hayvan
158,Herde::N,flok,sürü
159,Kuh::N,ko,inek
160,Bulle::N,tyr,boğa
161,Pferd::N,hest,at
162,Pferd::N,hest,beygir
163,Schaf::N,får,koyun
164,Schwein::N,gris,domuz
165,Hund::N,hund,it
166,Hund::N,hund,köpek
167,Katze::N,kat,kedi
168,Bär::N,bjørn,ayı
169,Eichhörnchen::N,egern,sincap
170,Elch::N,elg,büyük kuzey geyiği
171,Fuchs::N,ræv,tilki
172,Hase::N,hare,tavşan
173,Maus::N,mus,fare
174,Maus::N,mus,sıçan
175,Wolf::N,ulv,kurt
176,Vogel::N,fugl,kuş
177,Schwarm::N,sværm,sürü
178,Huhn::N,høne,tavuk
179,Hahn::N,hane,horoz
180,Gans::N,gås,kaz
181,Adler::N,ørn,kartal
182,Adler::N,ørn,karakuş
183,Ente::N,and,ördek
184,Eule::N,ugle,baykuş
185,Kranich::N,trane,turna
186,Krähe::N,krage,karga
187,Kuckuck::N,gøg,guguk
188,Schwan::N,svane,kuğu
189,Fisch::N,fisk,balık
190,Barsch::N,aborre,hani
191,Barsch::N,aborre,levrek
192,Hecht::N,gedde,turnabalığı
193,Schlange[Tier]::N,slange,yılan
194,Wurm::N,orm,kurt
195,Wurm::N,orm,solucan
196,Spinne::N,edderkop,örümcek
197,Ameise::N,myre,karınca
198,Laus::N,lus,bit
199,Mücke::N,myg,sivrisinek
200,Fliege::N,flue,sinek
201,Schmetterling::N,sommerfugl,kelebek
202,Beere::N,bær,tane
203,Apfel::N,æble,elma
204,Pilz::N,svamp,mantar
205,Zwiebel::N,løg,soğan
206,Saat::N,sæd,ekin
207,Korn::N,korn,tane
208,Heu::N,hø,kuru ot
209,Schale::N,skræl,kabuk
210,Grube::N,grav,çukur
211,Falle::N,fælde,tuzak
212,Schlinge::N,snare,ilmik
213,Spur::N,spor,iz
214,Asche::N,aske,kül
215,Dreck::N,snavs,pislik
216,Eisen::N,jern,demir
217,Gold::N,guld,altın
218,Silber::N,sølv,gümüş
219,Kohle::N,kul,kömür
220,Glas::N,glas,cam
221,Lehm::N,ler,balçık
222,Sand::N,sand,kum
223,Mensch::N,mennesge,insan
224,Mann::N,mand,adam
225,Mann::N,mand,erkek
226,Frau::N,kvinde,bayan
227,Kind::N,barn,çocuk
228,Junge::N,dreng,erkek çocuk
229,Mädchen::N,pige,kız
230,Familie::N,familie,aile
231,Großvater::N,bedstefar,dede
232,Großvater::N,bedstefar,büyükbaba
233,Großmutter::N,bedstemor,nine
234,Großmutter::N,bedstemor,büyükanne
235,Eltern::N,forældre,ebeveyn
236,Eltern::N,forældre,ana baba
237,Vater::N,far,ata
238,Vater::N,far,baba
239,Mutter::N,mor,ana
240,Mutter::N,mor,anne
241,Sohn::N,søn,oğul
242,Tochter::N,datter,kız
243,Tochter::N,datter,kız evlât
244,Bruder::N,bror,abi
245,Bruder::N,bror,erkek kardeş
246,Schwester::N,søster,abla
247,Schwester::N,søster,kız kardeş
248,Onkel::N,onkel,dayı
249,Tante::N,tante,hala
250,Tante::N,tante,teyze
251,Ehemann::N,ægtemand,koca
252,Ehefrau::N,hustru,karı
253,Freude::N,glæde,neşe
254,Freude::N,glæde,sevinç
255,Gelächter::N,latter,gülme
256,Gelächter::N,latter,kahkaha
257,Glück::N,lykke,mutluluk
258,Kummer::N,sorg,dert
259,Kummer::N,sorg,keder
260,Wunsch::N,ønske,arzu
261,Wunsch::N,ønske,istek
262,Lust::N,lyst,arzu
263,Lust::N,lyst,heves
264,Geist::N,ånd,tin
265,Gedanke::N,tanke,fikir
266,Gedanke::N,tanke,düşünce
267,Gedächtnis::N,hukommelse,bellek
268,Verstand::N,forstand,zekâ
269,Sinn::N,mening,anlam
270,Sinn::N,betydning,anlam
271,Grund::N,grund,sebep
272,Wahrheit::N,sandhed,doğruluk
273,Wahrheit::N,sandhed,gerçeklik
274,Gespräch::N,samtale,görüşme
275,Märchen::N,eventyr,masal
276,Erzählung::N,fortælling,öykü
277,Erzählung::N,fortælling,hikâye
278,Nachricht::N,efterretning,haber
279,Neuigkeit::N,nyhed,haber
280,Name::N,navn,ad
281,Name::N,navn,isim
282,Rätsel::N,gåde,bilmece
283,Rede::N,tale,söylev
284,Rede::N,tale,konuşma
285,Sprache::N,sprog,dil
286,Sprache::N,sprog,lisan
287,Stimme::N,stemme,ses
288,Wort::N,ord,kelime
289,Zeichen::N,tegn,işaret
290,Ruf::N,råb,çağırma
291,Lärm::N,larm,şamata
292,Lärm::N,larm,gürültü
293,Laut::N,lyd,ses
294,Ton::N,tone,ses
295,Lied::N,sang,türkü
296,Ruhe::N,ro,sakinlik
297,Ruhe::N,hvile,sakinlik
298,Leute::N,folk,halk
299,Leute::N,folk,insanlar
300,Leute::N,mennesker,halk
301,Leute::N,mennesker,insanlar
302,Volk::N,folk,ulus
303,Volk::N,folk,millet
304,Arbeit::N,arbejde,iş
305,Arbeit::N,arbejde,çalışma
306,Gast::N,gæst,konuk
307,Gast::N,gæst,misafir
308,Geschenk::N,gave,hediye
309,Geschenk::N,gave,armağan
310,Spiel::N,leg,oyun
311,Gesellschaft::N,selskab,çevre
312,Gesellschaft::N,selskab,arkadaşlık
313,Hilfe::N,hjælp,yardım
314,Freund::N,ven,dost
315,Freund::N,ven,arkadaş
316,Kamerad::N,kammerat,arkadaş
317,Angelegenheit::N,sag,iş
318,Angelegenheit::N,sag,husus
319,Angelegenheit::N,anliggende,iş
320,Angelegenheit::N,anliggende,husus
321,Anzahl::N,antal,sayı
322,Art::N,art,çeşit
323,Stück::N,stykke,tane
324,Stück::N,stykke,parça
325,Teil::N,del,kısım
326,Hälfte::N,halvdel,yarı
327,Kreis::N,cirkel,daire
328,Kreuz::N,kors,haç
329,Kreuz::N,kryds,haç
330,Linie::N,linie,hat
331,Linie::N,linie,çizgi
332,Strich::N,streg,çizgi
333,Abstand::N,afstand,aralık
334,Entfernung::N,afstand,mesafe
335,Entfernung::N,afstand,uzaklık
336,Gegend::N,egn,yöre
337,Platz::N,plads,yer
338,Ort::N,sted,yer
339,Seite::N,side,yan
340,Seite::N,side,taraf
341,Mitte::N,midte,orta
342,Mitte::N,midte,merkez
343,Gegenstand::N,genstand,şey
344,Sache::N,sag,iş
345,Sache::N,sag,şey
346,Rand::N,rand,kenar
347,Kante::N,kant,kenar
348,Ecke::N,hjørne,köşe
349,Spitze::N,spids,uç
350,Spitze::N,spids,baş
351,Ende::N,ende,uç
352,Loch::N,hul,oyuk
353,Loch::N,hul,delik
354,Winkel::N,vinkel,köşe
355,Muster::N,mønster,örnek
356,Größe::N,størrelse,büyüklük
357,Länge::N,længde,uzunluk
358,Höhe::N,højde,yükseklik
359,Gewicht::N,vægt,ağırlık
360,Menge::N,mængde,miktar
361,Haufen::N,bunke,küme
362,Haufen::N,bunke,yığın
363,Reihe::N,række,sıra
364,Boot::N,båd,kayık
365,Boot::N,båd,sandal
366,Ruder::N,åre,kürek
367,Schlitten::N,kælk,kızak
368,Schlitten::N,slæde,kızak
369,Ski::N,ski,kayak
370,Lagerfeuer::N,lejrbål,kamp ateşi
371,Last::N,last,yük
372,Last::N,byrde,yük
373,Gang::N,gang,gidiş
374,Gang::N,gang,yürüyüş
375,Schritt::N,skridt,adım
376,Norden::N,nord,kuzey
377,Süden::N,syd,güney
378,Westen::N,vest,batı
379,Osten::N,øst,doğu
380,Holz::N,træ,ağaç
381,Holz::N,træ,tahta
382,Brett::N,bræt,tahta
383,Platte::N,plade,levha
384,Stütze::N,støtte,dayak
385,Stütze::N,støtte,destek
386,Stange::N,stang,çubuk
387,Stock::N,stok,sopa
388,Stock::N,stok,değnek
389,Stab::N,stav,sırık
390,Stab::N,stav,baston
391,Rohr::N,rør,boru
392,Haus::N,hus,ev
393,Heim::N,hjem,ev
394,Heim::N,hjem,yurt
395,Ofen::N,ovn,soba
396,Fußboden::N,gulv,taban
397,Fußboden::N,gulv,döşeme
398,Tisch::N,bord,masa
399,Stuhl::N,stol,iskemle
400,Stuhl::N,stol,sandalye
401,Wiege::N,vugge,beşik
402,Bett::N,seng,yatak
403,Regal::N,reol,raf
404,Kiste::N,kasse,sandık
405,Fenster::N,vindue,pencere
406,Tür::N,dør,kapı
407,Tor::N,port,kapı
408,Zaun::N,stakit,çit
409,Dach::N,tag,dam
410,Dach::N,tag,çatı
411,Leiter::N,stige,merdiven
412,Besen::N,kost,süpürge
413,Spaten::N,spade,bel
414,Schaufel::N,skovl,kürek
415,Gabel::N,gaffel,çatal
416,Löffel::N,ske,kaşık
417,Messer::N,kniv,bıçak
418,Nagel::N,søm,çivi
419,Netz::N,net,ağ
420,Haken::N,krog,çengel
421,Griff::N,tag,kulp
422,Griff::N,tag,tutamak
423,Griff::N,håndtag,kulp
424,Griff::N,håndtag,tutamak
425,Schloss::N,lås,kilit
426,Bild::N,billede,imaj
427,Bild::N,billede,resim
428,Figur::N,figur,şekil
429,Figur::N,figur,heykel
430,Puppe::N,dukke,kukla
431,Beutel::N,pose,kese
432,Beutel::N,pose,torba
433,Bündel::N,bylt,deste
434,Bündel::N,bundt,deste
435,Tasche::N,taske,çanta
436,Eimer::N,spand,kova
437,Deckel::N,låg,kapak
438,Geschirr::N,husgeråd,kap kacak
439,Sack::N,sæk,torba
440,Tasse::N,kop,fincan
441,Topf::N,gryde,tencere
442,Kessel::N,kedel,kazan
443,Essen::N,måltid,yemek
444,Nahrung::N,mad,gıda
445,Nahrung::N,mad,besin
446,Nahrung::N,næring,gıda
447,Nahrung::N,næring,besin
448,Speise::N,ret,yemek
449,Fleisch::N,kød,et
450,Getreide::N,korn,tahıl
451,Getreide::N,korn,hububat
452,Brei::N,grød,ezme
453,Brot::N,brød,ekmek
454,Scheibe::N,skive,dilim
455,Fett::N,fedt,yağ
456,Butter::N,smør,tereyağı
457,Öl::N,olie,yağ
458,Öl::N,olie,akar yağ
459,Salz::N,salt,tuz
460,Suppe::N,suppe,çorba
461,Honig::N,honning,bal
462,Milch::N,mælk,süt
463,Tee::N,te,çay
464,Leder::N,skind,deri
465,Leder::N,skind,meşin
466,Wolle::N,uld,yün
467,Stoff::N,stof,kumaş
468,Nadel::N,nål,iğne
469,Faden::N,tråd,tire
470,Faden::N,tråd,iplik
471,Knopf::N,knap,düğme
472,Knoten::N,knude,düğüm
473,Farbe::N,farve,boya
474,Kleidung::N,påklædning,giyim
475,Hemd::N,skjorte,gömlek
476,Kragen::N,krave,yaka
477,Ärmel::N,ærme,yen
478,Ärmel::N,ærme,elbise kolu
479,Hose::N,bukser,pantolon
480,Gürtel::N,bælte,kuşak
481,Mütze::N,hue,bere
482,Mütze::N,hue,kasket
483,Schuh::N,sko,kundura
484,Schuh::N,sko,ayakkabı
485,Stiefel::N,støvle,çizme
486,Ring::N,ring,yüzük
487,Band::N,bånd,bağ
488,Band::N,bånd,şerit
489,Kamm::N,kam,tarak
490,Spiegel::N,spejl,ayna
491,Riemen::N,rem,kayış
492,Schnur::N,snor,ip
493,Schnur::N,snor,sicim
494,Leine::N,snor,kayış
495,Decke::N,tæppe,örtü
496,Decke::N,tæppe,yorgan
497,Kissen::N,pude,yastık
498,Tuch::N,sjaltørklæde,bez
499,Handtuch::N,håndklæde,havlu
500,Kraft::N,kraft,güç
501,Kraft::N,kraft,kuvvet
502,Stärke::N,styrke,kuvvet
503,Gesundheit::N,sundhed,sağlık
504,Krankheit::N,sygdom,hastalık
505,Schmerz::N,smerte,ağrı
506,Schmerz::N,smerte,sancı
507,Wunde::N,sår,yara
508,Fieber::N,feber,ateş
509,Arznei::N,medicin,ilâç
510,Arznei::N,lægemiddel,ilâç
511,Brücke::N,bro,köprü
512,Brunnen::N,brønd,kuyu
513,Brunnen::N,brønd,çeşme
514,Weide::N,græsgang,otlak
515,Pfad::N,sti,patika
516,Pfad::N,sti,keçiyolu
517,Weg::N,vej,yol
518,Straße::N,gade,yol
519,Straße::N,gade,cadde
520,Dorf::N,landsby,köy
521,Stadt::N,by,kent
522,Stadt::N,by,şehir
523,Brief::N,brev,mektup
524,Buch::N,bog,kitap
525,Buchstabe::N,bogstav,harf
526,Zeitung::N,avis,gazete
527,Leben::N,liv,hayat
528,Tod::N,død,ölüm
529,Grab::N,grav,kabir
530,Kirche::N,kirke,kilise
531,Sünde::N,synd,günah
532,Gott::N,gud,tanrı
533,Arbeiter::N,arbejder,işçi
534,Chef::N,chef,şef
535,Chef::N,chef,müdür
536,Meister::N,mester,usta
537,Arzt::N,læge,hekim
538,Arzt::N,læge,doktor
539,Lehrer::N,lærer,hoca
540,Lehrer::N,lærer,öğretmen
541,Geld::N,penge,para
542,Geschäft::N,forretning,ticaret
543,Laden::N,butik,dükkân
544,Laden::N,forretning,dükkân
545,Preis::N,pris,fiyat
546,Ware::N,vare,mal
547,Nutzen::N,nytte,fayda
548,Reichtum::N,rigdom,servet
549,Reichtum::N,rigdom,zenginlik
550,Welt::N,verden,dünya
551,Land::N,land,ülke
552,Staat::N,stat,devlet
553,König::N,konge,kral
554,Macht::N,magt,kudret
555,Macht::N,magt,iktidar
556,Grenze::N,grænse,had
557,Grenze::N,grænse,sınır
558,Krieg::N,krig,savaş
559,Feind::N,fjende,düşman
560,Gewalt::N,vold,zor
561,Gewalt::N,vold,cebir
562,Kampf::N,kamp,savaş
563,Bogen[Waffe]::N,bue,yay
564,Pfeil::N,pil,ok
565,Gewehr::N,gevær,tüfek
566,Fehler::N,fejl,hata
567,Fehler::N,fejl,yanlış
568,Lüge::N,løgn,yalan
569,Schaden::N,skade,zarar
570,Unglück::N,uheld,felâket
571,Unglück::N,uheld,talihsizlik
572,Unglück::N,ulykke,felâket
573,Unglück::N,ulykke,talihsizlik
574,Schuld::N,skyld,suç
575,Schuld::N,skyld,kabahat
576,Alter::N,alder,yaş
577,Schluss::N,slut,son
578,Schluss::N,slutning,son
579,Zeit::N,tid,zaman
580,Tag::N,dag,gün
581,Morgen::N,morgen,sabah
582,Mittag::N,middag,öğle
583,Abend::N,aften,akşam
584,Nacht::N,nat,gece
585,Woche::N,uge,hafta
586,Monat::N,måned,ay
587,Jahr::N,år,yıl
588,Jahr::N,år,sene
589,Frühling::N,forår,ilkbahar
590,Sommer::N,sommer,yaz
591,Herbst::N,efterår,güz
592,Herbst::N,efterår,sonbahar
593,Winter::N,vinter,kış
594,Januar::N,januar,ocak
595,Februar::N,februar,şubat
596,März::N,marts,mart
597,April::N,april,nisan
598,Mai::N,maj,mayıs
599,Juni::N,juni,haziran
600,Juli::N,juli,temmuz
601,August::N,august,ağustos
602,September::N,september,eylül
603,Oktober::N,oktober,ekim
604,November::N,november,kasım
605,Dezember::N,december,aralık
606,Montag::N,mandag,pazartesi
607,Dienstag::N,tirsdag,salı
608,Mittwoch::N,onsdag,çarşamba
609,Donnerstag::N,torsdag,perşembe
610,Freitag::N,fredag,cuma
611,Samstag::N,lørdag,cumartesi
612,Sonntag::N,søndag,pazar
613,groß::A,stor,büyük
614,klein::A,lille,ufak
615,klein::A,lille,küçük
616,lang::A,lang,uzun
617,kurz::A,kort,kısa
618,breit::A,bred,enli
619,breit::A,bred,geniş
620,schmal::A,smal,dar
621,dicht::A,tæt,sık
622,dicht::A,tæt,yoğun
623,dick[Gegenstand]::A,tyk,kalın
624,dick[Gegenstand]::A,tyk,iri
625,dünn::A,tynd,ince
626,fein::A,fin,ince
627,fein::A,fin,narin
628,fest::A,fast,sabit
629,fest::A,fast,sağlam
630,flach::A,flad,düz
631,flach::A,flad,yassı
632,glatt::A,glat,düz
633,hart::A,hård,katı
634,weich::A,blød,yumuşak
635,rund::A,rund,yuvarlak
636,spitz::A,spids,sivri
637,scharf::A,skarp,keskin
638,stumpf::A,sløv,kör
639,stumpf::A,stump,kör
640,schwer::A,tung,ağır
641,schön::A,skøn,güzel
642,heiß::A,hed,kızgın
643,warm::A,varm,sıcak
644,kalt::A,kold,soğuk
645,kühl::A,kølig,serin
646,frisch::A,frisk,taze
647,feucht::A,fugtig,nemli
648,feucht::A,fugtig,rutubetli
649,nass::A,våd,yaş
650,nass::A,våd,ıslak
651,trocken::A,tør,kuru
652,voll::A,fuld,dolu
653,voll::A,fuld,dolmuş
654,leer::A,tom,boş
655,offen::A,åben,açık
656,geschlossen::A,lukket,kapalı
657,sauber::A,ren,pak
658,sauber::A,ren,temiz
659,schmutzig::A,snavset,pis
660,schmutzig::A,snavset,kirli
661,roh::A,rå,çiğ
662,reif::A,moden,olgun
663,lecker::A,lækker,lezzetli
664,süß::A,sød,tatlı
665,süß::A,sød,şekerli
666,bitter::A,bitter,acı
667,sauer::A,sur,ekşi
668,hell::A,lys,aydınlık
669,dunkel::A,mørk,karanlık
670,schwarz::A,sort,kara
671,schwarz::A,sort,siyah
672,weiß::A,hvid,ak
673,weiß::A,hvid,beyaz
674,rot::A,rød,kırmızı
675,gelb::A,gul,sarı
676,blau::A,blå,mavi
677,grün::A,grøn,yeşil
678,grau::A,grå,boz
679,bunt::A,broget,renkli
680,billig::A,billig,ucuz
681,teuer::A,dyr,pahalı
682,wertvoll::A,værdifuld,değerli
683,blind::A,blind,kör
684,taub::A,døv,sağır
685,kräftig::A,kraftig,dinç
686,kräftig::A,kraftig,kuvvetli
687,stark::A,stærk,güçlü
688,stark::A,stærk,kuvvetli
689,schwach::A,svag,zayıf
690,schwach::A,svag,güçsüz
691,fett::A,fed,şişman
692,schlank::A,slank,narin
693,hübsch::A,køn,güzel
694,hübsch::A,køn,sevimli
695,böse::A,ond,kötü
696,böse::A,slem,kötü
697,dumm::A,dum,aptal
698,faul::A,doven,tembel
699,fleißig::A,flittig,çalışkan
700,geizig::A,gerrig,cimri
701,klug::A,klog,zekî
702,klug::A,klog,akıllı
703,geschickt::A,dygtig,becerikli
704,geschickt::A,behændig,becerikli
705,lieb::A,rar,sevimli
706,lustig::A,lystig,neşeli
707,sanft::A,blid,nazik
708,hungrig::A,sulten,aç
709,krank::A,syg,hasta
710,krank::A,syg,rahatsız
711,nackt::A,nøgen,çıplak
712,traurig::A,bedrøvet,kederli
713,traurig::A,bedrøvet,üzüntülü
714,lebendig::A,levende,canlı
715,gut::A,god,iyi
716,schlecht::A,dårlig,kötü
717,richtig::A,rigtig,doğru
718,schlimm::A,slem,kötü
719,wahr::A,sand,doğru
720,wahr::A,sand,gerçek
721,alt::A,gammel,eski
722,neu::A,ny,yeni
723,ehemalig::A,forhenværende,önceki
724,alt[Lebewesen]::A,gammel,yaşlı
725,jung::A,ung,genç
726,arm::A,fattig,fakir
727,reich::A,rig,zengin
728,bekannt::A,kendt,bilinen
729,berühmt::A,berømt,ünlü
730,berühmt::A,berømt,meşhur
731,fremd::A,fremmed,yabancı
732,verschieden::A,forskellig,ayrı
733,verschieden::A,forskellig,farklı
734,nah::A,nær,yakın
735,nah::A,nær,bitişik
736,fern::A,fjern,uzak
737,linker::A,venstre,sol
738,rechter::A,højre,sağ
739,anderer::A,anden,diğer
740,erster::A,første,ilk
741,erster::A,første,birinci
742,zweiter::A,anden,ikinci
743,dritter::A,tredje,üçüncü
744,letzter::A,sidste,son
745,letzter::A,sidste,sonuncu
746,allein::ADV,alene,yalnız
747,allein::ADV,alene,tek başına
748,auf einmal::ADV,på én gang,birden
749,zusammen::ADV,sammen,beraber
750,zusammen::ADV,sammen,birlikte
751,lange::ADV,længe,çok
752,lange::ADV,længe,uzun
753,plötzlich::ADV,pludselig,ansızın
754,plötzlich::ADV,pludselig,birdenbire
755,sofort::ADV,straks,hemen
756,sofort::ADV,straks,derhal
757,später::ADV,senere,daha sonra
758,jetzt::ADV,nu,şimdi
759,heute::ADV,i dag,bugün
760,morgen::ADV,i morgen,yarın
761,bald::ADV,snart,yakında
762,dann::ADV,så,sonra
763,gestern::ADV,i går,dün
764,einst::ADV,engang,eskiden
765,damals::ADV,dengang,o zamanlar
766,danach::ADV,derefter,sonradan
767,danach::ADV,derefter,ondan sonra
768,vorher::ADV,før,önce
769,vorher::ADV,før,önceden
770,vorher::ADV,forud,önce
771,vorher::ADV,forud,önceden
772,zuerst::ADV,først,ilk önce
773,einmal::ADV,en gang,bir defa
774,manchmal::ADV,sommetider,bazan
775,oft::ADV,ofte,sık sık
776,oft::ADV,ofte,çok defa
777,immer::ADV,altid,daima
778,immer::ADV,altid,her zaman
779,niemals::ADV,aldrig,asla değil
780,niemals::ADV,aldrig,hiçbir zaman
781,hier::ADV,her,burada
782,hierhin::ADV,hid,buraya
783,hierhin::ADV,herhen,buraya
784,von hier::ADV,herfra,buradan
785,dort::ADV,der,orada
786,dort::ADV,der,şurada
787,dorthin::ADV,derhen,oraya
788,dorthin::ADV,derhen,şuraya
789,geradeaus::ADV,lige ud,doğru
790,vorwärts::ADV,fremad,ileri
791,rückwärts::ADV,baglæns,geri
792,zurück::ADV,tilbage,geriye
793,unten::ADV,nede,aşağıda
794,unten::ADV,forneden,aşağıda
795,hinab::ADV,ned,aşağıya
796,hinab::ADV,nedad,aşağıya
797,oben::ADV,oppe,yukarıda
798,oben::ADV,ovenpå,yukarıda
799,hinauf::ADV,op,yukarı
800,hinauf::ADV,op,yukarıya
801,hinauf::ADV,opad,yukarı
802,hinauf::ADV,opad,yukarıya
803,überall::ADV,overalt,her yerde
804,nicht::ADV,ikke,-mi-
805,nicht::ADV,ikke,değil
806,ein wenig::ADV,lidt,biraz
807,kaum::ADV,knap,dar
808,kaum::ADV,knap,hemen hemen değil
809,kaum::ADV,næppe,dar
810,kaum::ADV,næppe,hemen hemen değil
811,sehr::ADV,meget,pek
812,sehr::ADV,meget,gayet
813,so::ADV,så,öyle
814,so::ADV,så,böyle
815,noch::ADV,endnu,hâlâ
816,noch::ADV,endnu,henüz
817,nur::ADV,kun,ancak
818,nur::ADV,kun,yalnız
819,nur::ADV,bare,ancak
820,nur::ADV,bare,yalnız
821,schon::ADV,alt,çoktan
822,schon::ADV,allerede,çoktan
823,wieder::ADV,igen,tekrar
824,wieder::ADV,igen,yeniden
825,vergebens::ADV,forgæves,boşuna
826,vor::PRP,foran,önünde
827,vor::PRP,uden for,önünde
828,hinter::PRP,bag,arkasında
829,hinter::PRP,bagved,arkasında
830,unter::PRP,under,altında
831,durch::PRP,gennem,sayesinde
832,durch::PRP,gennem,ortasından
833,durch::PRP,igennem,sayesinde
834,durch::PRP,igennem,ortasından
835,neben::PRP,ved siden af,yanında
836,zwischen::PRP,mellem,arasında
837,wegen::PRP,på grund af,dolayı
838,dies::PRN,dette,bu
839,das::PRN,det,o
840,das::PRN,det,şu
841,alles::PRN,alt,hepsi
842,alles::PRN,alt,her şey
843,ich::PRN,jeg,ben
844,du::PRN,du,sen
845,er::PRN,han,o
