,Concept_ID,cv,ro
85,Schatten::N,сулхӑн,umbră
86,Wetter::N,ҫанталӑк,timp
87,Wetter::N,ҫанталӑк,vreme
88,Nebel::N,тӗтре,ceață
89,Nebel::N,тӗтре,negură
90,Wolke::N,пӗлӗт,nor
91,Regen::N,ҫумӑр,ploaie
92,Schnee::N,юр,zăpadă
93,Eis::N,пӑр,gheață
94,Frost::N,сивӗ,ger
95,Kälte::N,сивӗ,frig
96,Hitze::N,вӗри,arșiță
97,Hitze::N,вӗри,căldură
98,Hitze::N,шӑрӑх,arșiță
99,Hitze::N,шӑрӑх,căldură
100,Raureif::N,пас,chiciură
101,Regenbogen::N,асамат кӗперӗ,curcubeu
102,Donner::N,аслати,tunet
103,Strömung::N,юхӑ,curent
104,Tropfen::N,тумлам,picătură
105,Schaum::N,кӑпӑк,spumă
106,Schmutz::N,пылчӑк,murdărie
107,See::N,кӳлӗ,lac
108,Sumpf::N,шур,mlaștină
109,Sumpf::N,шурлӑх,mlaștină
110,Moor::N,торфлӑ шурлӑх,bărăgan
111,Wiese::N,улӑх,fânaț
112,Wiese::N,улӑх,livadă
113,Wiese::N,ҫаран,fânaț
114,Wiese::N,ҫаран,livadă
115,Wald::N,вӑрман,codru
116,Wald::N,вӑрман,pădure
117,Hügel::N,сӑрт,deal
118,Hügel::N,сӑрт,movilă
119,Hügel::N,тӗмеске,deal
120,Hügel::N,тӗмеске,movilă
121,Anhöhe::N,сӑрт,deal
122,Anhöhe::N,сӑрт,ridicătură
123,Berg::N,ту,munte
124,Gipfel::N,тӳпе,pisc
125,Höhle::N,ҫӗр хӑвӑлӗ,peșteră
126,Abhang::N,тӑвайкки,pantă
127,Abhang::N,тӑвайкки,versant
128,Quelle::N,ҫӑл куҫ,izvor
129,Bach::N,пӗчӗк шыв,gârlă
130,Fluss::N,юхан шыв,râu
131,Fluss::N,юхан шыв,fluviu
132,Ufer::N,ҫыран,mal
133,Ufer::N,ҫыран,țărm
134,Küste::N,тинӗс ҫыранӗ,coastă
135,Festland::N,тип ҫӗр,uscat
136,Meer::N,тинӗс,mare
137,Bucht::N,тинӗс кукӑрӗ,golf
138,Insel::N,утрав,insulă
139,Blume::N,чечек,floare
140,Gras::N,курӑк,iarbă
141,Wurzel::N,тымар,rădăcină
142,Baum::N,йывӑҫ,copac
143,Baum::N,йывӑҫ,arbore
144,Stamm::N,вулӑ,tulpină
145,Rinde::N,хуйӑр,scoarță
146,Ast::N,турат,cracă
147,Ast::N,турат,creangă
148,Zweig::N,турат,ramură
149,Zweig::N,турат,creangă
150,Blatt::N,ҫулҫӑ,frunză
151,Birke::N,хурӑн,mesteacăn
152,Kiefer[Baum]::N,хыр,pin
153,Weide[Baum]::N,хӑва,salcie
154,Weide[Baum]::N,хӑва,răchită
155,Tanne::N,чӑрӑш,brad
156,Horn::N,мӑйрака,corn
157,Feder::N,тӗк,pană
158,Fell::N,ҫӑм,piele
159,Flügel::N,ҫунат,aripă
160,Klaue::N,чӗрне,gheară
161,Kralle::N,ура,labă
162,Kralle::N,ура,gheară
163,Schwanz::N,хӳре,coadă
164,Ei::N,ҫӑмарта,ou
165,Nest::N,йӑва,cuib
166,Bau::N,йӗнӗ,bârlog
167,Bau::N,йӗнӗ,vizuină
168,Tier::N,выльӑх,animal
169,Herde::N,кӗтӳ,turmă
170,Herde::N,кӗтӳ,cireadă
171,Kuh::N,ӗне,vacă
172,Bulle::N,вӑкӑр,taur
173,Pferd::N,лаша,cal
174,Schaf::N,сурӑх,oaie
175,Schwein::N,сысна,porc
176,Hund::N,йытӑ,câine
177,Katze::N,кушак,pisică
178,Bär::N,упа,urs
179,Eichhörnchen::N,пакша,veveriță
180,Elch::N,пӑши,elan
181,Fuchs::N,тилӗ,vulpe
182,Hase::N,куян,iepure
183,Hase::N,мулкач,iepure
184,Maus::N,шӑши,șoarece
185,Wolf::N,кашкӑр,lup
186,Vogel::N,кайӑк,pasăre
187,Vogel::N,вӗҫен кайӑк,pasăre
188,Schwarm::N,ушкӑн,cârd
189,Huhn::N,чӑх,găină
190,Huhn::N,чӑхӑ,găină
191,Hahn::N,автан,cocoș
192,Gans::N,хур,gâscă
193,Adler::N,ӑмӑрт кайӑк,vultur
194,Ente::N,кӑвакал,rață
195,Eule::N,тӑмана,bufniță
196,Kranich::N,тӑрна,cocor
197,Krähe::N,ула курак,cioară
198,Kuckuck::N,куккук,cuc
199,Schwan::N,акӑш,lebădă
200,Fisch::N,пулӑ,pește
201,Barsch::N,уланкӑ,biban
202,Hecht::N,ҫӑрттан,știucă
203,Schlange[Tier]::N,ҫӗлен,șarpe
204,Wurm::N,ӑман,vierme
205,Spinne::N,эрешмен,păianjen
206,Ameise::N,кӑткӑ,furnică
207,Laus::N,пыйтӑ,păduche
208,Mücke::N,вӑрӑм туна,țânțar
209,Fliege::N,шӑна,muscă
210,Schmetterling::N,лӗпӗш,fluture
211,Beere::N,ҫырла,boabă
212,Apfel::N,улма,măr
213,Apfel::N,пан улми,măr
214,Pilz::N,кӑмпа,burete
215,Pilz::N,кӑмпа,ciupercă
216,Zwiebel::N,сухан,ceapă
217,Saat::N,вӑрӑ,semănătură
218,Korn::N,тӗшӗ,grâu
219,Korn::N,пӗрчӗ,grâu
220,Heu::N,утӑ,fân
221,Schale::N,хупӑ,coajă
222,Grube::N,шӑтӑк,groapă
223,Falle::N,тапӑ,cursă
224,Falle::N,тапӑ,capcană
225,Falle::N,капкӑн,cursă
226,Falle::N,капкӑн,capcană
227,Schlinge::N,йӑлӑ,laț
228,Spur::N,йӗр,dâră
229,Asche::N,кӗл,cenușă
230,Dreck::N,пылчӑк,noroi
231,Dreck::N,пылчӑк,murdărie
232,Eisen::N,тимӗр,fier
233,Gold::N,ылтӑн,aur
234,Silber::N,кӗмӗл,argint
235,Kohle::N,кӑмрӑк,cărbune
236,Glas::N,кӗленче,sticlă
237,Lehm::N,тӑм,lut
238,Lehm::N,тӑм,humă
239,Sand::N,хӑйӑр,nisip
240,Mensch::N,ҫын,om
241,Mensch::N,ҫын,persoană
242,Mensch::N,этем,om
243,Mensch::N,этем,persoană
244,Mann::N,ар,om
245,Mann::N,ар,bărbat
246,Frau::N,хӗрарӑм,femeie
247,Kind::N,ача,copil
248,Junge::N,ача,băiat
249,Junge::N,ача,flăcău
250,Junge::N,ар ҫын ача,băiat
251,Junge::N,ар ҫын ача,flăcău
252,Mädchen::N,хӗр ача,fată
253,Familie::N,ҫемье,familie
254,Familie::N,кил-йыш,familie
255,Großvater::N,кукаҫи,bunic
256,Großvater::N,кукаҫи,tată mare
257,Großmutter::N,кукамай,bunică
258,Großmutter::N,кукамай,mamă mare
259,Eltern::N,аҫа-ама,părinți
260,Vater::N,атте,tată
261,Vater::N,атте,părinte
262,Mutter::N,анне,mamă
263,Sohn::N,ывӑл,fiu
264,Sohn::N,ывӑл,fecior
265,Tochter::N,хӗр,fiică
266,Bruder::N,ар тӑван,frate
267,Schwester::N,аппа,soră
268,Schwester::N,йӑмӑк,soră
269,Onkel::N,мучи,unchi
270,Onkel::N,пичче,unchi
271,Tante::N,аппа,mătușă
272,Ehemann::N,упӑшка,soț
273,Ehemann::N,упӑшка,bărbat
274,Ehefrau::N,арӑм,soție
275,Freude::N,савӑнӑҫ,bucurie
276,Freude::N,хаваслӑх,bucurie
277,Gelächter::N,кулӑ,râset
278,Glück::N,телей,fericire
279,Glück::N,ӑраскал,fericire
280,Kummer::N,хурлӑх,mâhnire
281,Wunsch::N,ӗмӗт,dorință
282,Wunsch::N,ӗмӗт,deziderat
283,Wunsch::N,кӑмӑл,dorință
284,Wunsch::N,кӑмӑл,deziderat
285,Lust::N,кӑмӑл,poftă
286,Lust::N,кӑмӑл,înclinare
287,Geist::N,чун-чӗм,duh
288,Geist::N,чун-чӗм,minte
289,Geist::N,чун-чӗм,suflet
290,Geist::N,ыр-усал,duh
291,Geist::N,ыр-усал,minte
292,Geist::N,ыр-усал,suflet
293,Geist::N,чун хавалӗ,duh
294,Geist::N,чун хавалӗ,minte
295,Geist::N,чун хавалӗ,suflet
296,Gedanke::N,шухӑш,gând
297,Gedanke::N,шухӑш,cuget
298,Gedächtnis::N,ас,memorie
299,Verstand::N,ӑс,minte
300,Verstand::N,ӑс,intelect
301,Verstand::N,ӑс-тӑн,minte
302,Verstand::N,ӑс-тӑн,intelect
303,Verstand::N,ӑс-хакӑл,minte
304,Verstand::N,ӑс-хакӑл,intelect
305,Sinn::N,тупсӑм,sens
306,Sinn::N,тупсӑм,înțeles
307,Sinn::N,пӗлтерӗш,sens
308,Sinn::N,пӗлтерӗш,înțeles
309,Grund::N,сӑлтав,cauză
310,Grund::N,сӑлтав,pricină
311,Wahrheit::N,чӑнлӑх,adevăr
312,Gespräch::N,калаҫу,convorbire
313,Gespräch::N,калаҫу,conversație
314,Märchen::N,юмах,basm
315,Märchen::N,юмах,poveste
316,Erzählung::N,акалав,poveste
317,Erzählung::N,каласа пани,poveste
318,Nachricht::N,хыпар,veste
319,Neuigkeit::N,ҫӗнӗ хыпар,noutate
320,Neuigkeit::N,ҫӗнӗ хыпар,actualitate
321,Name::N,ят,nume
322,Rätsel::N,сутмалли юмах,ghicitoare
323,Rede::N,сӑмах,discurs
324,Sprache::N,чӗлхе,limbă
325,Sprache::N,чӗлхе,limbaj
326,Stimme::N,сасӑ,glas
327,Wort::N,сӑмах,cuvânt
328,Zeichen::N,паллӑ,semn
329,Zeichen::N,паллӑ,semnal
330,Ruf::N,йыхрав,chemare
331,Ruf::N,чӗнӳ,chemare
332,Lärm::N,шав,zgomot
333,Lärm::N,шав,tărăboi
334,Laut::N,сасӑ,sunet
335,Ton::N,сасӑ,ton
336,Lied::N,юрӑ,cântec
337,Ruhe::N,канӑҫлӑх,odihnă
338,Ruhe::N,канӑҫлӑх,liniște
339,Ruhe::N,лӑпкӑлӑх,odihnă
340,Ruhe::N,лӑпкӑлӑх,liniște
341,Leute::N,ҫамрӑксем,lume
342,Leute::N,ҫамрӑксем,oameni
343,Leute::N,ҫамрӑк ҫынсем,lume
344,Leute::N,ҫамрӑк ҫынсем,oameni
345,Volk::N,халӑх,popor
346,Volk::N,халӑх,națiune
347,Arbeit::N,ӗҫхӗл,lucru
348,Arbeit::N,ӗҫлев,lucru
349,Gast::N,хӑна,musafir
350,Geschenk::N,парне,dar
351,Geschenk::N,парне,cadou
352,Geschenk::N,кучченеҫ,dar
353,Geschenk::N,кучченеҫ,cadou
354,Spiel::N,вӑйӑ,joc
355,Gesellschaft::N,общество,societate
356,Hilfe::N,пулӑшу,ajutor
357,Freund::N,тус,amic
358,Freund::N,тус,prieten
359,Kamerad::N,юлташ,tovarăș
360,Kamerad::N,тус,tovarăș
361,Angelegenheit::N,ӗҫ,afacere
362,Anzahl::N,йыш,număr
363,Anzahl::N,йыш,cantitate
364,Anzahl::N,хисеп,număr
365,Anzahl::N,хисеп,cantitate
366,Art::N,тӗс,fel
367,Art::N,тӗс,specie
368,Stück::N,татӑк,bucată
369,Teil::N,пай,parte
370,Teil::N,пай,porție
371,Hälfte::N,ҫурӑ,jumătate
372,Kreis::N,ункӑ,cerc
373,Kreis::N,ҫавракӑш,cerc
374,Kreuz::N,хӗрес,cruce
375,Linie::N,йӗр,linie
376,Strich::N,йӗр,linie
377,Strich::N,йӗр,trăsătură
378,Abstand::N,хушӑ,distanță
379,Abstand::N,хушӑ,depărtare
380,Entfernung::N,хушӑ,distanță
381,Entfernung::N,хушӑ,depărtare
382,Gegend::N,вырӑн,regiune
383,Platz::N,хутлӑх,loc
384,Ort::N,вырӑн,loc
385,Seite::N,ен,latură
386,Seite::N,аяк,latură
387,Seite::N,айӑк,latură
388,Mitte::N,варӑ,centru
389,Gegenstand::N,япала,obiect
390,Sache::N,япала,lucru
391,Sache::N,япала,chestie
392,Rand::N,вӗҫ,bordură
393,Rand::N,хӗрӗ,bordură
394,Rand::N,хӗрри,bordură
395,Kante::N,хайкача,muchie
396,Kante::N,хайкача,bordură
397,Kante::N,хысак,muchie
398,Kante::N,хысак,bordură
399,Ecke::N,кӗтес,colț
400,Spitze::N,вӗҫ,vârf
401,Spitze::N,вӗҫ,creștet
402,Ende::N,вӗҫ,capăt
403,Loch::N,шӑтӑк,gaură
404,Winkel::N,кӗтес,colț
405,Muster::N,эреш,desen
406,Größe::N,пысӑкӑш,mărime
407,Länge::N,вӑрӑмӑш,lungime
408,Höhe::N,ҫӳллӗш,înălțime
409,Gewicht::N,виҫе,greutate
410,Gewicht::N,йывӑрӑш,greutate
411,Menge::N,йыш,cantitate
412,Haufen::N,купа,grămadă
413,Reihe::N,рет,șir
414,Reihe::N,рет,rând
415,Boot::N,кимӗ,barcă
416,Boot::N,кимӗ,luntre
417,Ruder::N,кӗсмен,vâslă
418,Ruder::N,кӗсмен,lopată
419,Schlitten::N,ҫуна,sanie
420,Ski::N,йӗлтӗр,schi
421,Lagerfeuer::N,вут,foc de tabără
422,Lagerfeuer::N,кӑвайт,foc de tabără
423,Last::N,сулмаклӑх,povară
424,Last::N,сулмаклӑх,sarcină
425,Last::N,йывӑр япала,povară
426,Last::N,йывӑр япала,sarcină
427,Gang::N,куҫӑм,mers
428,Gang::N,куҫӑм,umblet
429,Schritt::N,утӑм,pas
430,Schritt::N,пусӑм,pas
431,Norden::N,ҫурҫӗр,nord
432,Norden::N,ҫурҫӗр,miazănoapte
433,Süden::N,кӑнтӑр,sud
434,Süden::N,кӑнтӑр,miazăzi
435,Westen::N,анӑҫ,apus
436,Westen::N,хӗвел анӑҫ,apus
437,Osten::N,хӗвел тухӑҫ,est
438,Osten::N,хӗвел тухӑҫ,răsărit
439,Holz::N,йывӑҫ,lemn
440,Brett::N,хӑма,scândură
441,Platte::N,плита,placă
442,Stütze::N,ура,proptea
443,Stange::N,шерте,bară
444,Stange::N,шерте,prăjină
445,Stock::N,патак,băț
446,Stock::N,патак,baston
447,Stab::N,шӑчӑ,baston
448,Stab::N,шӑчӑ,prăjină
449,Rohr::N,пӑрӑх,tub
450,Rohr::N,пӑрӑх,țeavă
451,Haus::N,ҫурт,casă
452,Heim::N,кил,casă
453,Heim::N,кил,cămin
454,Ofen::N,кӑмака,sobă
455,Fußboden::N,урай,podea
456,Fußboden::N,урай,dușumea
457,Tisch::N,сӗтел,masă
458,Stuhl::N,пукан,scaun
459,Wiege::N,сӑпка,leagăn
460,Bett::N,кравать,pat
461,Regal::N,ҫӳлӗк,rafturi
462,Regal::N,сентре,rafturi
463,Kiste::N,ещӗк,ladă
464,Kiste::N,ещӗк,cutie
465,Kiste::N,сунтӑх,ladă
466,Kiste::N,сунтӑх,cutie
467,Fenster::N,чӳрече,fereastră
468,Tür::N,алӑк,ușă
469,Tor::N,хапха,poartă
470,Zaun::N,хӳме,gard
471,Dach::N,тӑрӑ,acoperiș
472,Leiter::N,пусма,scară
473,Besen::N,шӑпӑр,mătură
474,Spaten::N,кӗреҫе,cazma
475,Spaten::N,кӗреҫе,hârleț
476,Schaufel::N,кӗреҫе,lopată
477,Gabel::N,вилка,furculiță
478,Löffel::N,кашӑк,lingură
479,Messer::N,ҫӗҫӗ,cuțit
480,Nagel::N,пӑта,cui
481,Netz::N,тетел,plasă
482,Haken::N,йӑрхах,cârlig
483,Haken::N,ҫекӗл,cârlig
484,Griff::N,хӑлӑп,mâner
485,Schloss::N,ҫӑра,lacăt
486,Bild::N,сӑн,tablou
487,Bild::N,сӑн,imagine
488,Bild::N,сӑнлӑх,tablou
489,Bild::N,сӑнлӑх,imagine
490,Bild::N,картина,tablou
491,Bild::N,картина,imagine
492,Figur::N,кӗлетке,chip
493,Figur::N,кӗлетке,figură
494,Puppe::N,пукане,păpușă
495,Beutel::N,михӗ,pungă
496,Beutel::N,михӗ,săculeț
497,Bündel::N,ҫыхӑ,mănunchi
498,Bündel::N,тӗрке,mănunchi
499,Tasche::N,сумка,geantă
500,Eimer::N,витре,găleată
501,Deckel::N,хупӑ,capac
502,Geschirr::N,савӑт-сапа,vase
503,Geschirr::N,савӑт-сапа,tacâmuri
504,Sack::N,михӗ,sac
505,Tasse::N,курка,ceașcă
506,Topf::N,кастрюль,oală
507,Kessel::N,хуран,cazan
508,Kessel::N,хуран,căldare
509,Essen::N,апат,mâncare
510,Nahrung::N,апат-ҫимӗс,hrană
511,Nahrung::N,апат-ҫимӗс,aliment
512,Speise::N,апат,bucate
513,Speise::N,апат,fel de bucate
514,Speise::N,ҫимӗҫ,bucate
515,Speise::N,ҫимӗҫ,fel de bucate
516,Fleisch::N,аш,carne
517,Fleisch::N,какай,carne
518,Getreide::N,тырӑ,cereale
519,Brei::N,пӑтӑ,pireu
520,Brot::N,ҫӑкӑр,pâine
521,Scheibe::N,чӗлӗ,felie
522,Scheibe::N,чӗлӗ,bucată
523,Scheibe::N,касӑк,felie
524,Scheibe::N,касӑк,bucată
525,Fett::N,ҫу,untură
526,Fett::N,ҫу,grăsime
527,Butter::N,ҫу,unt
528,Öl::N,ҫу,ulei
529,Salz::N,тӑвар,sare
530,Suppe::N,яшка,supă
531,Suppe::N,яшка,ciorbă
532,Honig::N,пыл,miere
533,Milch::N,сӗт,lapte
534,Tee::N,чей,ceai
535,Leder::N,сӑран,piele
536,Wolle::N,ҫӑм,lână
537,Stoff::N,тӗртӗм,stofă
538,Nadel::N,йӗп,ac
539,Faden::N,ҫип,ață
540,Knopf::N,тӳме,buton
541,Knoten::N,йӑлӑ,nod
542,Farbe::N,сӑрӑ,vopsea
543,Kleidung::N,тум,haine
544,Kleidung::N,тум,îmbrăcăminte
545,Kleidung::N,ҫипуҫ,haine
546,Kleidung::N,ҫипуҫ,îmbrăcăminte
547,Kleidung::N,тум-тир,haine
548,Kleidung::N,тум-тир,îmbrăcăminte
549,Hemd::N,кӗпе,cămașă
550,Kragen::N,ҫуха,guler
551,Ärmel::N,ҫанӑ,mânecă
552,Hose::N,шӑлавар,pantaloni
553,Gürtel::N,пиҫиххи,cordon
554,Mütze::N,ҫӗлӗк,șapcă
555,Schuh::N,пушмак,gheată
556,Schuh::N,ботинок,gheată
557,Stiefel::N,атӑ,cizmă
558,Ring::N,ҫӗрӗ,inel
559,Ring::N,ҫӗрӗ,verigă
560,Band::N,хаю,panglică
561,Band::N,хаю,șiret
562,Band::N,йӗсме,panglică
563,Band::N,йӗсме,șiret
564,Kamm::N,тура,pieptene
565,Spiegel::N,тӗкӗр,oglindă
566,Spiegel::N,куҫ кӗски,oglindă
567,Riemen::N,чӗн,curea
568,Schnur::N,кантра,funie
569,Schnur::N,кантра,sfoară
570,Leine::N,касмӑк,lesă
571,Leine::N,касмӑк,curea
572,Decke::N,утиял,pătură
573,Kissen::N,ҫытар,pernă
574,Kissen::N,минтер,pernă
575,Tuch::N,тутӑр,batic
576,Handtuch::N,ал шӑлли,prosop
577,Handtuch::N,ал шӑлли,ștergar
578,Kraft::N,вӑй,forță
579,Kraft::N,вӑй,putere
580,Kraft::N,хӑват,forță
581,Kraft::N,хӑват,putere
582,Stärke::N,хал,tărie
583,Stärke::N,хал,vigoare
584,Stärke::N,хӑват,tărie
585,Stärke::N,хӑват,vigoare
586,Gesundheit::N,хал,sănătate
587,Gesundheit::N,сывлӑх,sănătate
588,Krankheit::N,чир,boală
589,Krankheit::N,чир,maladie
590,Schmerz::N,ырату,durere
591,Wunde::N,суран,rană
592,Fieber::N,сив чир,febră
593,Arznei::N,эмел,leac
594,Arznei::N,эмел,medicament
595,Brücke::N,кӗпер,pod
596,Brücke::N,кӗпер,punte
597,Brunnen::N,ҫӑл,puț
598,Brunnen::N,пусӑ,puț
599,Weide::N,ҫаран,izlaz
600,Weide::N,ҫаран,pășune
601,Pfad::N,йӗр,cărare
602,Pfad::N,сукмак,cărare
603,Weg::N,ҫул,drum
604,Weg::N,ҫул-йӗр,drum
605,Straße::N,ҫӳрев,cale
606,Straße::N,ҫӳрев,stradă
607,Straße::N,ҫул ҫӳрени,cale
608,Straße::N,ҫул ҫӳрени,stradă
609,Dorf::N,ял,sat
610,Stadt::N,хула,oraș
611,Brief::N,ҫыру,scrisoare
612,Buch::N,кӗнеке,carte
613,Buchstabe::N,сас палли,literă
614,Buchstabe::N,сас палли,caracter
615,Zeitung::N,хаҫат,ziar
616,Zeitung::N,хаҫат,gazetă
617,Leben::N,пурнӑҫ,viață
618,Tod::N,вилӗм,moarte
619,Grab::N,масар шӑтӑкӗ,groapă
620,Grab::N,масар шӑтӑкӗ,mormânt
621,Kirche::N,чиркӳ,biserică
622,Sünde::N,ҫылӑх,păcat
623,Gott::N,турӑ,zeu
624,Arbeiter::N,рабочи,muncitor
625,Chef::N,пуҫлӑх,șef
626,Meister::N,ӑста,meșter
627,Meister::N,ӑста,maestru
628,Meister::N,мастер,meșter
629,Meister::N,мастер,maestru
630,Arzt::N,врач,medic
631,Arzt::N,врач,doctor
632,Arzt::N,тухтӑр,medic
633,Arzt::N,тухтӑр,doctor
634,Lehrer::N,учитель,profesor
635,Lehrer::N,учитель,învățător
636,Lehrer::N,вӗрентекен,profesor
637,Lehrer::N,вӗрентекен,învățător
638,Geld::N,укҫа,bani
639,Geld::N,укҫа,parale
640,Geschäft::N,бизнес,treabă
641,Geschäft::N,бизнес,afacere
642,Laden::N,магазин,magazin
643,Laden::N,магазин,prăvălie
644,Preis::N,хак,preț
645,Ware::N,тавар,marfă
646,Nutzen::N,пайта,folos
647,Nutzen::N,пайта,profit
648,Reichtum::N,мул,avuție
649,Reichtum::N,мул,bogăție
650,Welt::N,тӗнче,lume
651,Land::N,ҫӗр-шыв,țară
652,Staat::N,патшàлӑх,stat
653,König::N,король,rege
654,Macht::N,власть,putere
655,Macht::N,власть,putință
656,Grenze::N,чикӗ,hotar
657,Grenze::N,чикӗ,graniță
658,Grenze::N,чикӗ,frontieră
659,Krieg::N,вӑрҫӑ,război
660,Feind::N,тӑшман,dușman
661,Gewalt::N,ирӗксӗрлӳ,violență
662,Kampf::N,кӗрешӳ,luptă
663,Bogen[Waffe]::N,ухӑ,arc
664,Pfeil::N,ҫӗмрен,săgeată
665,Pfeil::N,ухӑ йӗппи,săgeată
666,Gewehr::N,пӑшал,armă
667,Gewehr::N,пӑшал,pușcă
668,Fehler::N,йӑнӑш,eroare
669,Fehler::N,йӑнӑш,greșeală
670,Lüge::N,суя,minciună
671,Lüge::N,ултав,minciună
672,Schaden::N,сиен,daună
673,Schaden::N,сиен,pagubă
674,Unglück::N,шар,nenorocire
675,Unglück::N,инкек,nenorocire
676,Schuld::N,айӑп,vină
677,Alter::N,ҫул шучӗ,etate
678,Alter::N,ҫул шучӗ,vârstă
679,Schluss::N,пӗтни,sfârșit
680,Schluss::N,пӗтмӗш,sfârșit
681,Zeit::N,вӑхӑт,timp
682,Zeit::N,вӑхӑт,vreme
683,Tag::N,кун,zi
684,Morgen::N,ир,dimineață
685,Mittag::N,кӑнтӑрла,prânz
686,Mittag::N,кӑнтӑрла,amiază
687,Abend::N,каҫ,seară
688,Nacht::N,каҫ,noapte
689,Woche::N,эрне,săptămână
690,Monat::N,уйӑх,lună
691,Jahr::N,ҫулталӑк,an
692,Frühling::N,ҫур,primăvară
693,Frühling::N,ҫуркунне,primăvară
694,Sommer::N,ҫу,vară
695,Sommer::N,ҫулла,vară
696,Herbst::N,кӗр,toamnă
697,Herbst::N,кӗркунне,toamnă
698,Winter::N,хӗл,iarnă
699,Winter::N,хӗлле,iarnă
700,Januar::N,январь,ianuarie
701,Februar::N,февраль,februarie
702,Februar::N,кӗҫӗн кӑрлач,februarie
703,März::N,март,martie
704,März::N,пуш уйӑхӗ,martie
705,April::N,апрель,aprilie
706,Mai::N,май,mai
707,Juni::N,июнь,iunie
708,Juli::N,июль,iulie
709,August::N,август,august
710,September::N,сентябрь,septembrie
711,September::N,авӑн уйӑхӗ,septembrie
712,Oktober::N,октябрь,octombrie
713,November::N,ноябрь,noiembrie
714,Dezember::N,раштав,decembrie
715,Dezember::N,декабрь,decembrie
716,Montag::N,тунти кун,luni
717,Dienstag::N,ытлари кун,marți
718,Mittwoch::N,юн кун,miercuri
719,Donnerstag::N,кӗҫнерни кун,joi
720,Freitag::N,эрне кун,vineri
721,Samstag::N,шӑмат кун,sâmbătă
722,Sonntag::N,вырсарни кун,duminică
723,groß::A,пысӑк,mare
724,klein::A,пӗчӗк,mic
725,lang::A,вӑрӑм,lung
726,kurz::A,кӗске,scurt
727,breit::A,сарлака,lat
728,breit::A,сарлака,larg
729,schmal::A,ансӑр,strâmt
730,dicht::A,йӑвӑ,des
731,dick[Gegenstand]::A,хулӑн,gros
732,dünn::A,ҫинҫе,subțire
733,dünn::A,ҫӳхе,subțire
