,Concept_ID,sq,cv
64,Himmel::N,qiell,пӗлӗт
65,Sonne::N,diell,хӗвел
66,Mond::N,hënë,уйӑх
67,Stern::N,yll,ҫӑлтӑр
68,Luft::N,ajër,сывлӑш
69,Wind::N,erë,ҫил
70,Welle::N,valë,хум
71,Welle::N,dallgë,хум
72,Wasser::N,ujë,шыв
73,Wasser::N,ujë,шыв-шур
74,Stein::N,gur,чул
75,Boden::N,tokë,тӑпра
76,Boden::N,truall,тӑпра
77,Erde::N,dhe,ҫӗр
78,Erde::N,baltë,ҫӗр
79,Staub::N,pluhur,тусан
80,Rauch::N,tym,тӗтӗм
81,Funke::N,xixë,хӗм
82,Funke::N,shkëndijë,хӗм
83,Feuer::N,zjarr,вут
84,Feuer::N,zjarr,ҫулӑм
85,Licht::N,dritë,ҫутӑ
86,Schatten::N,hije,сулхӑн
87,Wetter::N,mot,ҫанталӑк
88,Nebel::N,mjegull,тӗтре
89,Wolke::N,re,пӗлӗт
90,Regen::N,shi,ҫумӑр
91,Schnee::N,borë,юр
92,Eis::N,akull,пӑр
93,Frost::N,ngricë,сивӗ
94,Kälte::N,të ftohtë,сивӗ
95,Hitze::N,vapë,вӗри
96,Hitze::N,vapë,шӑрӑх
97,Hitze::N,nxehtësi,вӗри
98,Hitze::N,nxehtësi,шӑрӑх
99,Raureif::N,cikmë,пас
100,Regenbogen::N,ylber,асамат кӗперӗ
101,Donner::N,gjëmim,аслати
102,Donner::N,bubullimë,аслати
103,Strömung::N,rrymë,юхӑ
104,Tropfen::N,pikë,тумлам
105,Schaum::N,shkumë,кӑпӑк
106,Schmutz::N,baltë,пылчӑк
107,See::N,liqen,кӳлӗ
108,Sumpf::N,batak,шур
109,Sumpf::N,batak,шурлӑх
110,Moor::N,kënetë,торфлӑ шурлӑх
111,Wiese::N,livadh,улӑх
112,Wiese::N,livadh,ҫаран
113,Wald::N,pyll,вӑрман
114,Hügel::N,kodër,сӑрт
115,Hügel::N,kodër,тӗмеске
116,Anhöhe::N,bregore,сӑрт
117,Berg::N,mal,ту
118,Gipfel::N,kulm,тӳпе
119,Höhle::N,shpellë,ҫӗр хӑвӑлӗ
120,Höhle::N,zgafelle,ҫӗр хӑвӑлӗ
121,Abhang::N,shpat,тӑвайкки
122,Abhang::N,tatëpjetë,тӑвайкки
123,Quelle::N,krua,ҫӑл куҫ
124,Quelle::N,burim,ҫӑл куҫ
125,Bach::N,virua,пӗчӗк шыв
126,Fluss::N,lumë,юхан шыв
127,Ufer::N,breg,ҫыран
128,Küste::N,anëdet,тинӗс ҫыранӗ
129,Küste::N,bregdet,тинӗс ҫыранӗ
130,Festland::N,kontinent,тип ҫӗр
131,Meer::N,det,тинӗс
132,Bucht::N,gji deti,тинӗс кукӑрӗ
133,Insel::N,ishull,утрав
134,Insel::N,ujdhesë,утрав
135,Blume::N,lule,чечек
136,Gras::N,bar,курӑк
137,Wurzel::N,rrënjë,тымар
138,Baum::N,pemë,йывӑҫ
139,Stamm::N,trung,вулӑ
140,Rinde::N,lëvore,хуйӑр
141,Ast::N,degë,турат
142,Zweig::N,bisk,турат
143,Blatt::N,fletë,ҫулҫӑ
144,Blatt::N,gjethe,ҫулҫӑ
145,Birke::N,mështekën,хурӑн
146,Kiefer[Baum]::N,pishë,хыр
147,Weide[Baum]::N,shelg,хӑва
148,Tanne::N,bredh,чӑрӑш
149,Horn::N,bri,мӑйрака
150,Feder::N,pupël,тӗк
151,Fell::N,lëkurë,ҫӑм
152,Flügel::N,krah,ҫунат
153,Flügel::N,fletë,ҫунат
154,Klaue::N,kthetër,чӗрне
155,Kralle::N,thua,ура
156,Kralle::N,kthetër,ура
157,Schwanz::N,bisht,хӳре
158,Ei::N,vezë,ҫӑмарта
159,Nest::N,fole,йӑва
160,Bau::N,strofkë,йӗнӗ
161,Tier::N,kafshë,выльӑх
162,Herde::N,kope,кӗтӳ
163,Herde::N,grigjë,кӗтӳ
164,Kuh::N,lopë,ӗне
165,Bulle::N,dem,вӑкӑр
166,Pferd::N,kalë,лаша
167,Schaf::N,dele,сурӑх
168,Schwein::N,derr,сысна
169,Hund::N,qen,йытӑ
170,Katze::N,mace,кушак
171,Bär::N,ari,упа
172,Eichhörnchen::N,ketër,пакша
173,Elch::N,dre brilopatë,пӑши
174,Fuchs::N,dhelpër,тилӗ
175,Hase::N,lepur,куян
176,Hase::N,lepur,мулкач
177,Maus::N,mi,шӑши
178,Wolf::N,ujk,кашкӑр
179,Vogel::N,zog,кайӑк
180,Vogel::N,zog,вӗҫен кайӑк
181,Vogel::N,shpend,кайӑк
182,Vogel::N,shpend,вӗҫен кайӑк
183,Schwarm::N,luzmë,ушкӑн
184,Huhn::N,pulë,чӑх
185,Huhn::N,pulë,чӑхӑ
186,Hahn::N,gjel,автан
187,Hahn::N,këndes,автан
188,Gans::N,patë,хур
189,Adler::N,shqiponjë,ӑмӑрт кайӑк
190,Ente::N,rosë,кӑвакал
191,Eule::N,buf,тӑмана
192,Kranich::N,lejlek,тӑрна
193,Kranich::N,kurrillë,тӑрна
194,Krähe::N,sorrë,ула курак
195,Kuckuck::N,qyqe,куккук
196,Schwan::N,mjellmë,акӑш
197,Fisch::N,peshk,пулӑ
198,Barsch::N,purtekë,уланкӑ
199,Hecht::N,mlysh,ҫӑрттан
200,Schlange[Tier]::N,gjarpër,ҫӗлен
201,Wurm::N,krimb,ӑман
202,Spinne::N,marimangë,эрешмен
203,Ameise::N,thnegël,кӑткӑ
204,Ameise::N,milingonë,кӑткӑ
205,Laus::N,morr,пыйтӑ
206,Mücke::N,kunup,вӑрӑм туна
207,Mücke::N,mushkonjë,вӑрӑм туна
208,Fliege::N,mizë,шӑна
209,Schmetterling::N,flutur,лӗпӗш
210,Beere::N,frutë,ҫырла
211,Beere::N,manaferrë,ҫырла
212,Apfel::N,mollë,улма
213,Apfel::N,mollë,пан улми
214,Pilz::N,kërpudhë,кӑмпа
215,Zwiebel::N,qepë,сухан
216,Saat::N,farë,вӑрӑ
217,Korn::N,grurë,тӗшӗ
218,Korn::N,grurë,пӗрчӗ
219,Korn::N,kokërr,тӗшӗ
220,Korn::N,kokërr,пӗрчӗ
221,Heu::N,sanë,утӑ
222,Schale::N,lëkurë,хупӑ
223,Grube::N,gropë,шӑтӑк
224,Falle::N,kurth,тапӑ
225,Falle::N,kurth,капкӑн
226,Falle::N,grackë,тапӑ
227,Falle::N,grackë,капкӑн
228,Schlinge::N,nyjë,йӑлӑ
229,Spur::N,gjurmë,йӗр
230,Asche::N,hi,кӗл
231,Dreck::N,baltë,пылчӑк
232,Eisen::N,hekur,тимӗр
233,Gold::N,ar,ылтӑн
234,Gold::N,flori,ылтӑн
235,Silber::N,argjend,кӗмӗл
236,Kohle::N,qymyr,кӑмрӑк
237,Glas::N,qelq,кӗленче
238,Lehm::N,argjilë,тӑм
239,Sand::N,rërë,хӑйӑр
240,Mensch::N,njeri,ҫын
241,Mensch::N,njeri,этем
242,Mann::N,burrë,ар
243,Mann::N,mashkull,ар
244,Frau::N,grua,хӗрарӑм
245,Frau::N,femër,хӗрарӑм
246,Kind::N,kalama,ача
247,Junge::N,djalë,ача
248,Junge::N,djalë,ар ҫын ача
249,Mädchen::N,gocë,хӗр ача
250,Mädchen::N,vajzë,хӗр ача
251,Familie::N,familje,ҫемье
252,Familie::N,familje,кил-йыш
253,Großvater::N,gjysh,кукаҫи
254,Großmutter::N,gjyshe,кукамай
255,Eltern::N,prindër,аҫа-ама
256,Vater::N,atë,атте
257,Mutter::N,nënë,анне
258,Sohn::N,bir,ывӑл
259,Tochter::N,bijë,хӗр
260,Bruder::N,vëlla,ар тӑван
261,Schwester::N,motër,аппа
262,Schwester::N,motër,йӑмӑк
263,Onkel::N,dajë,мучи
264,Onkel::N,dajë,пичче
265,Onkel::N,xhaxha,мучи
266,Onkel::N,xhaxha,пичче
267,Tante::N,teze,аппа
268,Tante::N,hallë,аппа
269,Ehemann::N,burrë,упӑшка
270,Ehemann::N,bashkëshort,упӑшка
271,Ehefrau::N,grua,арӑм
272,Ehefrau::N,bashkëshorte,арӑм
273,Freude::N,gaz,савӑнӑҫ
274,Freude::N,gaz,хаваслӑх
275,Freude::N,gëzim,савӑнӑҫ
276,Freude::N,gëzim,хаваслӑх
277,Gelächter::N,qeshje,кулӑ
278,Glück::N,lumturi,телей
279,Glück::N,lumturi,ӑраскал
280,Kummer::N,brengë,хурлӑх
281,Kummer::N,pikëllim,хурлӑх
282,Wunsch::N,dëshirë,ӗмӗт
283,Wunsch::N,dëshirë,кӑмӑл
284,Lust::N,epsh,кӑмӑл
285,Lust::N,dashuri,кӑмӑл
286,Geist::N,frymë,чун-чӗм
287,Geist::N,frymë,ыр-усал
288,Geist::N,frymë,чун хавалӗ
289,Geist::N,shpirt,чун-чӗм
290,Geist::N,shpirt,ыр-усал
291,Geist::N,shpirt,чун хавалӗ
292,Gedanke::N,ide,шухӑш
293,Gedanke::N,mendim,шухӑш
294,Gedächtnis::N,kujtesë,ас
295,Verstand::N,mend,ӑс
296,Verstand::N,mend,ӑс-тӑн
297,Verstand::N,mend,ӑс-хакӑл
298,Sinn::N,kuptim,тупсӑм
299,Sinn::N,kuptim,пӗлтерӗш
300,Grund::N,arsye,сӑлтав
301,Wahrheit::N,vërtetë,чӑнлӑх
302,Gespräch::N,bisedim,калаҫу
303,Märchen::N,përrallë,юмах
304,Erzählung::N,tregim,акалав
305,Erzählung::N,tregim,каласа пани
306,Nachricht::N,lajm,хыпар
307,Neuigkeit::N,risi,ҫӗнӗ хыпар
308,Name::N,emër,ят
309,Rätsel::N,gjëzë,сутмалли юмах
310,Rätsel::N,gjëegjëzë,сутмалли юмах
311,Rede::N,fjalim,сӑмах
312,Sprache::N,gjuhë,чӗлхе
313,Stimme::N,zë,сасӑ
314,Wort::N,fjalë,сӑмах
315,Zeichen::N,shenjë,паллӑ
316,Ruf::N,thirrmë,йыхрав
317,Ruf::N,thirrmë,чӗнӳ
318,Lärm::N,zhurmë,шав
319,Laut::N,tingull,сасӑ
320,Ton::N,ton,сасӑ
321,Lied::N,këngë,юрӑ
322,Ruhe::N,qetësi,канӑҫлӑх
323,Ruhe::N,qetësi,лӑпкӑлӑх
324,Leute::N,botë,ҫамрӑксем
325,Leute::N,botë,ҫамрӑк ҫынсем
326,Leute::N,njerëz,ҫамрӑксем
327,Leute::N,njerëz,ҫамрӑк ҫынсем
328,Volk::N,popull,халӑх
329,Arbeit::N,punë,ӗҫхӗл
330,Arbeit::N,punë,ӗҫлев
331,Gast::N,mik,хӑна
332,Gast::N,mysafir,хӑна
333,Geschenk::N,dhuratë,парне
334,Geschenk::N,dhuratë,кучченеҫ
335,Geschenk::N,peshqesh,парне
336,Geschenk::N,peshqesh,кучченеҫ
337,Spiel::N,lojë,вӑйӑ
338,Gesellschaft::N,shoqëri,общество
339,Hilfe::N,ndihmë,пулӑшу
340,Freund::N,mik,тус
341,Kamerad::N,shok,юлташ
342,Kamerad::N,shok,тус
343,Angelegenheit::N,punë,ӗҫ
344,Anzahl::N,sasi,йыш
345,Anzahl::N,sasi,хисеп
346,Art::N,lloj,тӗс
347,Stück::N,copë,татӑк
348,Teil::N,pjesë,пай
349,Hälfte::N,gjysmë,ҫурӑ
350,Kreis::N,qark,ункӑ
351,Kreis::N,qark,ҫавракӑш
352,Kreis::N,rreth,ункӑ
353,Kreis::N,rreth,ҫавракӑш
354,Kreuz::N,kryq,хӗрес
355,Linie::N,vijë,йӗр
356,Strich::N,vizë,йӗр
357,Abstand::N,distancë,хушӑ
358,Entfernung::N,largim,хушӑ
359,Gegend::N,vise,вырӑн
360,Gegend::N,krahinë,вырӑн
361,Platz::N,shesh,хутлӑх
362,Ort::N,vend,вырӑн
363,Seite::N,anë,ен
364,Seite::N,anë,аяк
365,Seite::N,anë,айӑк
366,Mitte::N,mes,варӑ
367,Gegenstand::N,send,япала
368,Sache::N,gjë,япала
369,Sache::N,send,япала
370,Rand::N,qoshe,вӗҫ
371,Rand::N,qoshe,хӗрӗ
372,Rand::N,qoshe,хӗрри
373,Kante::N,teh,хайкача
374,Kante::N,teh,хысак
375,Ecke::N,qoshe,кӗтес
376,Spitze::N,majë,вӗҫ
377,Ende::N,skaj,вӗҫ
378,Ende::N,bisht,вӗҫ
379,Loch::N,vrimë,шӑтӑк
380,Winkel::N,kënd,кӗтес
381,Muster::N,mostër,эреш
382,Größe::N,madhësi,пысӑкӑш
383,Länge::N,gjatësi,вӑрӑмӑш
384,Höhe::N,lartësi,ҫӳллӗш
385,Gewicht::N,peshë,виҫе
386,Gewicht::N,peshë,йывӑрӑш
387,Menge::N,sasi,йыш
388,Haufen::N,grumbull,купа
389,Reihe::N,radhë,рет
390,Reihe::N,rresht,рет
391,Boot::N,barkë,кимӗ
392,Boot::N,lundër,кимӗ
393,Ruder::N,rrem,кӗсмен
394,Schlitten::N,sajë,ҫуна
395,Ski::N,ski,йӗлтӗр
396,Lagerfeuer::N,flakadan,вут
397,Lagerfeuer::N,flakadan,кӑвайт
398,Lagerfeuer::N,zjarr i madh,вут
399,Lagerfeuer::N,zjarr i madh,кӑвайт
400,Last::N,barrë,сулмаклӑх
401,Last::N,barrë,йывӑр япала
402,Gang::N,ecje,куҫӑм
403,Schritt::N,hap,утӑм
404,Schritt::N,hap,пусӑм
405,Norden::N,veri,ҫурҫӗр
406,Süden::N,jug,кӑнтӑр
407,Westen::N,perëndim,анӑҫ
408,Westen::N,perëndim,хӗвел анӑҫ
409,Osten::N,lindje,хӗвел тухӑҫ
410,Holz::N,dru,йывӑҫ
411,Brett::N,dërrasë,хӑма
412,Platte::N,pllakë,плита
413,Stütze::N,shtyllë,ура
414,Stütze::N,mbështetesë,ура
415,Stange::N,shufër,шерте
416,Stock::N,dajak,патак
417,Stab::N,shkop,шӑчӑ
418,Rohr::N,tub,пӑрӑх
419,Haus::N,shtëpi,ҫурт
420,Heim::N,konak,кил
421,Heim::N,shtëpi,кил
422,Ofen::N,sobë,кӑмака
423,Ofen::N,stufë,кӑмака
424,Fußboden::N,dysheme,урай
425,Tisch::N,tryezë,сӗтел
426,Stuhl::N,karrige,пукан
427,Wiege::N,djep,сӑпка
428,Bett::N,shtrat,кравать
429,Regal::N,raft,ҫӳлӗк
430,Regal::N,raft,сентре
431,Kiste::N,kuti,ещӗк
432,Kiste::N,kuti,сунтӑх
433,Fenster::N,dritare,чӳрече
434,Tür::N,derë,алӑк
435,Tor::N,portë,хапха
436,Zaun::N,gardh,хӳме
437,Dach::N,çati,тӑрӑ
438,Leiter::N,shkallë,пусма
439,Besen::N,fshesë,шӑпӑр
440,Spaten::N,lopatë,кӗреҫе
441,Schaufel::N,qyrek,кӗреҫе
442,Gabel::N,pirun,вилка
443,Löffel::N,lugë,кашӑк
444,Messer::N,thikë,ҫӗҫӗ
445,Nagel::N,gozhdë,пӑта
446,Netz::N,rrjetë,тетел
447,Haken::N,grep,йӑрхах
448,Haken::N,grep,ҫекӗл
449,Haken::N,grremç,йӑрхах
450,Haken::N,grremç,ҫекӗл
451,Griff::N,dorak,хӑлӑп
452,Griff::N,dorezë,хӑлӑп
453,Schloss::N,bravë,ҫӑра
454,Bild::N,tablo,сӑн
455,Bild::N,tablo,сӑнлӑх
456,Bild::N,tablo,картина
457,Bild::N,pikturë,сӑн
458,Bild::N,pikturë,сӑнлӑх
459,Bild::N,pikturë,картина
460,Figur::N,figurë,кӗлетке
461,Puppe::N,kukull,пукане
462,Beutel::N,qese,михӗ
463,Beutel::N,trastë,михӗ
464,Bündel::N,deng,ҫыхӑ
465,Bündel::N,deng,тӗрке
466,Tasche::N,çantë,сумка
467,Eimer::N,kovë,витре
468,Deckel::N,kapak,хупӑ
469,Deckel::N,mbulesë,хупӑ
470,Geschirr::N,enë,савӑт-сапа
471,Sack::N,thes,михӗ
472,Sack::N,torbë,михӗ
473,Tasse::N,filxhan,курка
474,Topf::N,kusi,кастрюль
475,Topf::N,tenxhere,кастрюль
476,Kessel::N,kazan,хуран
477,Essen::N,ngrënie,апат
478,Nahrung::N,ushqim,апат-ҫимӗс
479,Speise::N,gatesë,апат
480,Speise::N,gatesë,ҫимӗҫ
481,Fleisch::N,mish,аш
482,Fleisch::N,mish,какай
483,Getreide::N,drithë,тырӑ
484,Brei::N,qull,пӑтӑ
485,Brot::N,bukë,ҫӑкӑр
486,Scheibe::N,fetë,чӗлӗ
487,Scheibe::N,fetë,касӑк
488,Fett::N,lyrë,ҫу
489,Fett::N,yndyrë,ҫу
490,Butter::N,gjalpë,ҫу
491,Öl::N,vaj,ҫу
492,Salz::N,kripë,тӑвар
493,Suppe::N,supë,яшка
494,Suppe::N,çorbë,яшка
495,Honig::N,mjaltë,пыл
496,Milch::N,qumësht,сӗт
497,Tee::N,çaj,чей
498,Leder::N,lëkurë,сӑран
499,Wolle::N,lesh,ҫӑм
500,Stoff::N,pëlhurë,тӗртӗм
501,Nadel::N,gjilpërë,йӗп
502,Faden::N,pe,ҫип
503,Faden::N,fije,ҫип
504,Knopf::N,kopsë,тӳме
505,Knoten::N,komb,йӑлӑ
506,Farbe::N,bojë,сӑрӑ
507,Kleidung::N,veshje,тум
508,Kleidung::N,veshje,ҫипуҫ
509,Kleidung::N,veshje,тум-тир
510,Hemd::N,këmishë,кӗпе
511,Kragen::N,jakë,ҫуха
512,Ärmel::N,mëngë,ҫанӑ
513,Hose::N,brekë,шӑлавар
514,Gürtel::N,rrip,пиҫиххи
515,Mütze::N,kësulë,ҫӗлӗк
516,Schuh::N,këpucë,пушмак
517,Schuh::N,këpucë,ботинок
518,Stiefel::N,çizme,атӑ
519,Ring::N,unazë,ҫӗрӗ
520,Band::N,shirit,хаю
521,Band::N,shirit,йӗсме
522,Kamm::N,krehër,тура
523,Spiegel::N,pasqyrë,тӗкӗр
524,Spiegel::N,pasqyrë,куҫ кӗски
525,Riemen::N,rrip,чӗн
526,Schnur::N,litar,кантра
527,Schnur::N,cikomë,кантра
528,Leine::N,rrip,касмӑк
529,Decke::N,batanije,утиял
530,Kissen::N,jastëk,ҫытар
531,Kissen::N,jastëk,минтер
532,Tuch::N,shami,тутӑр
533,Handtuch::N,peshqir,ал шӑлли
534,Kraft::N,forcë,вӑй
535,Kraft::N,forcë,хӑват
536,Stärke::N,koll,хал
537,Stärke::N,koll,хӑват
538,Gesundheit::N,shëndet,хал
539,Gesundheit::N,shëndet,сывлӑх
540,Krankheit::N,sëmundje,чир
541,Schmerz::N,dhimbje,ырату
542,Wunde::N,plagë,суран
543,Fieber::N,ethe,сив чир
544,Arznei::N,ilaç,эмел
545,Brücke::N,urë,кӗпер
546,Brunnen::N,pus,ҫӑл
547,Brunnen::N,pus,пусӑ
548,Weide::N,kullotë,ҫаран
549,Pfad::N,ravë,йӗр
550,Pfad::N,ravë,сукмак
551,Pfad::N,shteg,йӗр
552,Pfad::N,shteg,сукмак
553,Weg::N,udhë,ҫул
554,Weg::N,udhë,ҫул-йӗр
555,Weg::N,shteg,ҫул
556,Weg::N,shteg,ҫул-йӗр
557,Straße::N,rrugë,ҫӳрев
558,Straße::N,rrugë,ҫул ҫӳрени
559,Dorf::N,fshat,ял
560,Dorf::N,katund,ял
561,Stadt::N,qytet,хула
562,Brief::N,letër,ҫыру
563,Buch::N,libër,кӗнеке
564,Buchstabe::N,shkronjë,сас палли
565,Zeitung::N,gazetë,хаҫат
566,Leben::N,jetë,пурнӑҫ
567,Tod::N,mortje,вилӗм
568,Grab::N,varr,масар шӑтӑкӗ
569,Kirche::N,kishë,чиркӳ
570,Sünde::N,mëkat,ҫылӑх
571,Sünde::N,gjynah,ҫылӑх
572,Gott::N,hy,турӑ
573,Gott::N,zot,турӑ
574,Arbeiter::N,punëtor,рабочи
575,Chef::N,shef,пуҫлӑх
576,Chef::N,drejtues,пуҫлӑх
577,Meister::N,mjeshtër,ӑста
578,Meister::N,mjeshtër,мастер
579,Arzt::N,mjek,врач
580,Arzt::N,mjek,тухтӑр
581,Arzt::N,doktor,врач
582,Arzt::N,doktor,тухтӑр
583,Lehrer::N,mësues,учитель
584,Lehrer::N,mësues,вӗрентекен
585,Lehrer::N,arsimtar,учитель
586,Lehrer::N,arsimtar,вӗрентекен
587,Geld::N,para,укҫа
588,Geld::N,holla,укҫа
589,Geschäft::N,ujdi,бизнес
590,Geschäft::N,biznes,бизнес
591,Laden::N,dyqan,магазин
592,Preis::N,çmim,хак
593,Ware::N,mall,тавар
594,Nutzen::N,dobi,пайта
595,Nutzen::N,leverdi,пайта
596,Reichtum::N,kamje,мул
597,Reichtum::N,pasuri,мул
598,Welt::N,botë,тӗнче
599,Land::N,vend,ҫӗр-шыв
600,Staat::N,shtet,патшàлӑх
601,König::N,mbret,король
602,Macht::N,fuqi,власть
603,Macht::N,pushtet,власть
604,Grenze::N,kufi,чикӗ
605,Krieg::N,luftë,вӑрҫӑ
606,Feind::N,armik,тӑшман
607,Gewalt::N,dhunë,ирӗксӗрлӳ
608,Kampf::N,luftim,кӗрешӳ
609,Bogen[Waffe]::N,hark,ухӑ
610,Pfeil::N,shigjetë,ҫӗмрен
611,Pfeil::N,shigjetë,ухӑ йӗппи
612,Gewehr::N,pushkë,пӑшал
613,Fehler::N,gafë,йӑнӑш
614,Fehler::N,gabim,йӑнӑш
615,Lüge::N,gënjeshtër,суя
616,Lüge::N,gënjeshtër,ултав
617,Schaden::N,dëm,сиен
618,Schaden::N,zarar,сиен
619,Unglück::N,fatkeqësi,шар
620,Unglück::N,fatkeqësi,инкек
621,Schuld::N,faj,айӑп
622,Alter::N,moshë,ҫул шучӗ
623,Schluss::N,fund,пӗтни
624,Schluss::N,fund,пӗтмӗш
625,Zeit::N,kohë,вӑхӑт
626,Tag::N,ditë,кун
627,Morgen::N,mëngjes,ир
628,Mittag::N,mesditë,кӑнтӑрла
629,Abend::N,mbrëmje,каҫ
630,Nacht::N,natë,каҫ
631,Woche::N,javë,эрне
632,Monat::N,muaj,уйӑх
633,Jahr::N,vit,ҫулталӑк
634,Frühling::N,pranverë,ҫур
635,Frühling::N,pranverë,ҫуркунне
636,Sommer::N,verë,ҫу
637,Sommer::N,verë,ҫулла
638,Herbst::N,vjeshtë,кӗр
639,Herbst::N,vjeshtë,кӗркунне
640,Winter::N,dimër,хӗл
641,Winter::N,dimër,хӗлле
642,Januar::N,janar,январь
643,Februar::N,shkurt,февраль
644,Februar::N,shkurt,кӗҫӗн кӑрлач
645,März::N,mars,март
646,März::N,mars,пуш уйӑхӗ
647,April::N,prill,апрель
648,Mai::N,maj,май
649,Juni::N,qershor,июнь
650,Juli::N,korrik,июль
651,August::N,gusht,август
652,September::N,shtator,сентябрь
653,September::N,shtator,авӑн уйӑхӗ
654,Oktober::N,tetor,октябрь
655,November::N,nëntor,ноябрь
656,Dezember::N,dhjetor,раштав
657,Dezember::N,dhjetor,декабрь
658,Montag::N,hënë,тунти кун
659,Dienstag::N,martë,ытлари кун
660,Mittwoch::N,mërkurë,юн кун
661,Donnerstag::N,enjte,кӗҫнерни кун
662,Freitag::N,premte,эрне кун
663,Samstag::N,shtunë,шӑмат кун
664,Sonntag::N,diel,вырсарни кун
665,groß::A,madh,пысӑк
666,klein::A,vogël,пӗчӗк
667,lang::A,gjatë,вӑрӑм
668,kurz::A,shkurtër,кӗске
669,breit::A,gjerë,сарлака
670,schmal::A,ngushtë,ансӑр
671,dicht::A,dendur,йӑвӑ
672,dick[Gegenstand]::A,trashë,хулӑн
673,dünn::A,hollë,ҫинҫе
674,dünn::A,hollë,ҫӳхе
675,fein::A,imët,тарай
676,fein::A,imët,вӗлтӗрти
677,fest::A,fortë,тӗреклӗ
678,flach::A,sheshtë,лаптак
679,glatt::A,rrafshët,такӑр
680,hart::A,fortë,хытӑ
681,weich::A,butë,ҫемҫе
682,rund::A,rrumbullakët,ҫавра
683,spitz::A,majëmprehtë,шӗвӗр
684,scharf::A,mprehtë,ҫивӗч
685,stumpf::A,topitur,мӑка
686,stumpf::A,topitur,пуклак
687,stumpf::A,topitur,тӗрӗнчӗк
688,stumpf::A,topitur,ӑнкарусӑр
689,schwer::A,rëndë,йывӑр
690,schön::A,bukur,илемлӗ
691,heiß::A,nxehtë,вӗри
692,warm::A,ngrohtë,ӑшӑ
693,kalt::A,ftohtë,сивӗ
694,kühl::A,freskët,уҫӑ
695,frisch::A,pastër,уҫӑ
696,feucht::A,lagësht,йӗпе
697,nass::A,lagur,нӳрӗ
698,trocken::A,thatë,типӗ
699,voll::A,plotë,тулли
700,leer::A,bosh,пушӑ
701,leer::A,zbrazët,пушӑ
702,offen::A,hapur,уҫӑ
703,geschlossen::A,mbyllur,хупӑ
704,sauber::A,dëlirë,таса
705,schmutzig::A,ndyrë,пылчӑклӑ
706,schmutzig::A,ndyrë,вараланчӑк
707,roh::A,gjallë,чӗрӗ
708,reif::A,arrirë,пулнӑ
709,reif::A,arrirë,пиҫӗхнӗ
710,reif::A,arrirë,аталаннӑ
711,reif::A,arrirë,пиҫсе ҫитнӗ
712,lecker::A,shijshëm,тутлӑ
713,lecker::A,shijshëm,техӗмлӗ
714,süß::A,ëmbël,пылак
715,bitter::A,hidhur,йӳҫӗ
716,sauer::A,thartë,йӳҫӗ
717,sauer::A,thartë,йӳҫек
718,sauer::A,thartë,кӑвасак
