,Concept_ID,da,uk
99,Anhöhe::N,bakke,височина
100,Berg::N,bjerg,гора
101,Gipfel::N,top,вершина
102,Höhle::N,hule,печера
103,Abhang::N,skrænt,схил
104,Abhang::N,skråning,схил
105,Quelle::N,kilde,джерело
106,Bach::N,bæk,струмок
107,Fluss::N,flod,річка
108,Ufer::N,bred,берег
109,Küste::N,kyst,узбережжя
110,Festland::N,fastland,суша
111,Meer::N,hav,море
112,Bucht::N,bugt,бухта
113,Bucht::N,bugt,затока
114,Insel::N,ø,острів
115,Blume::N,blomst,квітка
116,Gras::N,græs,трава
117,Wurzel::N,rod,корінь
118,Baum::N,træ,дерево
119,Stamm::N,stamme,стовбур
120,Rinde::N,bark,кора
121,Ast::N,gren,гілка
122,Zweig::N,kvist,галузь
123,Blatt::N,blad,лист
124,Birke::N,birk,береза
125,Kiefer[Baum]::N,fyrretræ,сосна
126,Weide[Baum]::N,piletræ,верба
127,Tanne::N,gran,ялиця
128,Horn::N,horn,ріг
129,Feder::N,fjer,перо
130,Fell::N,skind,хутро
131,Flügel::N,vinge,крило
132,Klaue::N,klov,кіготь
133,Kralle::N,klo,лапа
134,Schwanz::N,hale,хвіст
135,Ei::N,æg,яйце
136,Nest::N,rede,гніздо
137,Bau::N,bo,лігво
138,Tier::N,dyr,тварина
139,Herde::N,flok,стадо
140,Kuh::N,ko,корова
141,Bulle::N,tyr,бик
142,Bulle::N,tyr,бугай
143,Pferd::N,hest,кінь
144,Schaf::N,får,вівця
145,Schwein::N,gris,свиня
146,Hund::N,hund,собака
147,Katze::N,kat,кішка
148,Bär::N,bjørn,ведмідь
149,Eichhörnchen::N,egern,білка
150,Elch::N,elg,лось
151,Fuchs::N,ræv,лисиця
152,Hase::N,hare,заєць
153,Maus::N,mus,миша
154,Wolf::N,ulv,вовк
155,Vogel::N,fugl,птах
156,Schwarm::N,sværm,зграя
157,Huhn::N,høne,курка
158,Hahn::N,hane,півень
159,Gans::N,gås,гуска
160,Adler::N,ørn,орел
161,Ente::N,and,качка
162,Eule::N,ugle,сова
163,Kranich::N,trane,журавель
164,Krähe::N,krage,ворона
165,Kuckuck::N,gøg,зозуля
166,Schwan::N,svane,лебідь
167,Fisch::N,fisk,риба
168,Barsch::N,aborre,окунь
169,Hecht::N,gedde,щука
170,Schlange[Tier]::N,slange,змія
171,Wurm::N,orm,черв’як
172,Spinne::N,edderkop,павук
173,Ameise::N,myre,мурашка
174,Laus::N,lus,воша
175,Mücke::N,myg,комар
176,Fliege::N,flue,муха
177,Schmetterling::N,sommerfugl,метелик
178,Beere::N,bær,ягода
179,Apfel::N,æble,яблуко
180,Pilz::N,svamp,гриб
181,Zwiebel::N,løg,цибуля
182,Saat::N,sæd,сім’я
183,Korn::N,korn,зерно
184,Heu::N,hø,сіно
185,Schale::N,skræl,шкірка
186,Grube::N,grav,яма
187,Falle::N,fælde,пастка
188,Schlinge::N,snare,петля
189,Spur::N,spor,слід
190,Asche::N,aske,зола
191,Asche::N,aske,попіл
192,Dreck::N,snavs,бруд
193,Eisen::N,jern,залізо
194,Gold::N,guld,золото
195,Silber::N,sølv,срібло
196,Kohle::N,kul,вугілля
197,Glas::N,glas,скло
198,Lehm::N,ler,глина
199,Sand::N,sand,пісок
200,Mensch::N,mennesge,людина
201,Mann::N,mand,чоловік
202,Frau::N,kvinde,жінка
203,Kind::N,barn,дитина
204,Junge::N,dreng,хлопець
205,Mädchen::N,pige,дівчина
206,Familie::N,familie,сім’я
207,Familie::N,familie,родина
208,Großvater::N,bedstefar,дідусь
209,Großmutter::N,bedstemor,бабуся
210,Eltern::N,forældre,батьки
211,Vater::N,far,батько
212,Mutter::N,mor,мати
213,Sohn::N,søn,син
214,Tochter::N,datter,дочка
215,Bruder::N,bror,брат
216,Schwester::N,søster,сестра
217,Onkel::N,onkel,дядько
218,Tante::N,tante,тітка
219,Ehemann::N,ægtemand,чоловік
220,Ehefrau::N,hustru,жінка
221,Ehefrau::N,hustru,дружина
222,Freude::N,glæde,радощі
223,Gelächter::N,latter,сміх
224,Glück::N,lykke,щастя
225,Kummer::N,sorg,горе
226,Wunsch::N,ønske,бажання
227,Lust::N,lyst,бажання
228,Geist::N,ånd,дух
229,Gedanke::N,tanke,думка
230,Gedächtnis::N,hukommelse,пам’ять
231,Verstand::N,forstand,розум
232,Sinn::N,mening,зміст
233,Sinn::N,mening,значення
234,Sinn::N,betydning,зміст
235,Sinn::N,betydning,значення
236,Grund::N,grund,причина
237,Wahrheit::N,sandhed,правда
238,Gespräch::N,samtale,розмова
239,Märchen::N,eventyr,байка
240,Erzählung::N,fortælling,повість
241,Erzählung::N,fortælling,оповідання
242,Nachricht::N,efterretning,повідомлення
243,Neuigkeit::N,nyhed,новина
244,Name::N,navn,ім’я
245,Rätsel::N,gåde,загадка
246,Rede::N,tale,промова
247,Sprache::N,sprog,мова
248,Stimme::N,stemme,голос
249,Wort::N,ord,слово
250,Zeichen::N,tegn,знак
251,Ruf::N,råb,оклик
252,Lärm::N,larm,шум
253,Laut::N,lyd,звук
254,Ton::N,tone,тон
255,Lied::N,sang,пісня
256,Ruhe::N,ro,спокій
257,Ruhe::N,hvile,спокій
258,Leute::N,folk,люди
259,Leute::N,mennesker,люди
260,Volk::N,folk,народ
261,Arbeit::N,arbejde,робота
262,Gast::N,gæst,гість
263,Geschenk::N,gave,подарунок
264,Spiel::N,leg,гра
265,Gesellschaft::N,selskab,товариство
266,Hilfe::N,hjælp,допомога
267,Freund::N,ven,друг
268,Freund::N,ven,приятель
269,Kamerad::N,kammerat,товариш
270,Angelegenheit::N,sag,справа
271,Angelegenheit::N,anliggende,справа
272,Anzahl::N,antal,число
273,Art::N,art,рід
274,Stück::N,stykke,кусок
275,Teil::N,del,частина
276,Hälfte::N,halvdel,половина
277,Kreis::N,cirkel,круг
278,Kreis::N,cirkel,коло
279,Kreuz::N,kors,хрест
280,Kreuz::N,kryds,хрест
281,Linie::N,linie,лінія
282,Strich::N,streg,штрих
283,Abstand::N,afstand,проміжок
284,Entfernung::N,afstand,відстань
285,Gegend::N,egn,місцевість
286,Platz::N,plads,площа
287,Ort::N,sted,місце
288,Seite::N,side,сторона
289,Mitte::N,midte,середина
290,Gegenstand::N,genstand,предмет
291,Sache::N,sag,річ
292,Rand::N,rand,край
293,Kante::N,kant,ребро
294,Ecke::N,hjørne,ріг
295,Spitze::N,spids,кінчик
296,Ende::N,ende,кінець
297,Loch::N,hul,діра
298,Winkel::N,vinkel,куток
299,Muster::N,mønster,узор
300,Größe::N,størrelse,розмір
301,Länge::N,længde,довжина
302,Höhe::N,højde,висота
303,Gewicht::N,vægt,вага
304,Menge::N,mængde,кількість
305,Haufen::N,bunke,купа
306,Reihe::N,række,ряд
307,Boot::N,båd,човен
308,Ruder::N,åre,весло
309,Schlitten::N,kælk,сани
310,Schlitten::N,slæde,сани
311,Ski::N,ski,лижа
312,Lagerfeuer::N,lejrbål,вогнище
313,Last::N,last,тягар
314,Last::N,last,вантаж
315,Last::N,byrde,тягар
316,Last::N,byrde,вантаж
317,Gang::N,gang,хід
318,Schritt::N,skridt,крок
319,Norden::N,nord,північ
320,Süden::N,syd,південь
321,Westen::N,vest,захід
322,Osten::N,øst,схід
323,Holz::N,træ,дрова
324,Brett::N,bræt,дошка
325,Platte::N,plade,плита
326,Stütze::N,støtte,підпірка
327,Stange::N,stang,жердина
328,Stock::N,stok,палиця
329,Stab::N,stav,палиця
330,Rohr::N,rør,труба
331,Haus::N,hus,дім
332,Haus::N,hus,хата
333,Heim::N,hjem,житло
334,Ofen::N,ovn,піч
335,Fußboden::N,gulv,підлога
336,Tisch::N,bord,стіл
337,Stuhl::N,stol,стілець
338,Wiege::N,vugge,колиска
339,Bett::N,seng,ліжко
340,Bett::N,seng,постіль
341,Regal::N,reol,полиця
342,Kiste::N,kasse,ящик
343,Fenster::N,vindue,вікно
344,Tür::N,dør,двері
345,Tor::N,port,ворота
346,Zaun::N,stakit,паркан
347,Zaun::N,stakit,огорожа
348,Dach::N,tag,дах
349,Leiter::N,stige,драбина
350,Besen::N,kost,мітла
351,Spaten::N,spade,заступ
352,Schaufel::N,skovl,совок
353,Schaufel::N,skovl,лопата
354,Gabel::N,gaffel,виделка
355,Löffel::N,ske,ложка
356,Messer::N,kniv,ніж
357,Nagel::N,søm,цвях
358,Netz::N,net,сіть
359,Haken::N,krog,крюк
360,Griff::N,tag,ручка
361,Griff::N,tag,держак
362,Griff::N,håndtag,ручка
363,Griff::N,håndtag,держак
364,Schloss::N,lås,замок
365,Bild::N,billede,картина
366,Figur::N,figur,фігура
367,Puppe::N,dukke,лялька
368,Beutel::N,pose,мішечок
369,Beutel::N,pose,торбинка
370,Bündel::N,bylt,в’язка
371,Bündel::N,bundt,в’язка
372,Tasche::N,taske,сумка
373,Eimer::N,spand,відро
374,Deckel::N,låg,кришка
375,Geschirr::N,husgeråd,посуд
376,Sack::N,sæk,мішок
377,Tasse::N,kop,чашка
378,Topf::N,gryde,горщик
379,Kessel::N,kedel,котел
380,Essen::N,måltid,їжа
381,Nahrung::N,mad,харч
382,Nahrung::N,næring,харч
383,Speise::N,ret,страва
384,Fleisch::N,kød,м’ясо
385,Getreide::N,korn,хліб
386,Getreide::N,korn,збіжжя
387,Brei::N,grød,каша
388,Brot::N,brød,хліб
389,Scheibe::N,skive,скибочка
390,Fett::N,fedt,жир
391,Butter::N,smør,масло
392,Öl::N,olie,олія
393,Salz::N,salt,сіль
394,Suppe::N,suppe,суп
395,Honig::N,honning,мед
396,Milch::N,mælk,молоко
397,Tee::N,te,чай
398,Leder::N,skind,шкіра
399,Wolle::N,uld,шерсть
400,Stoff::N,stof,тканина
401,Nadel::N,nål,голка
402,Faden::N,tråd,нитка
403,Knopf::N,knap,ґудзик
404,Knoten::N,knude,вузол
405,Farbe::N,farve,фарба
406,Kleidung::N,påklædning,одяг
407,Kleidung::N,påklædning,убрання
408,Hemd::N,skjorte,сорочка
409,Kragen::N,krave,комір
410,Ärmel::N,ærme,рукав
411,Hose::N,bukser,брюки
412,Gürtel::N,bælte,пояс
413,Mütze::N,hue,шапка
414,Schuh::N,sko,ботинок
415,Stiefel::N,støvle,чобіт
416,Ring::N,ring,кільце
417,Band::N,bånd,стрічка
418,Kamm::N,kam,гребінець
419,Spiegel::N,spejl,дзеркало
420,Riemen::N,rem,ремінь
421,Schnur::N,snor,вірьовка
422,Leine::N,snor,шворка
423,Decke::N,tæppe,ковдра
424,Kissen::N,pude,подушка
425,Tuch::N,sjaltørklæde,хустка
426,Handtuch::N,håndklæde,рушник
427,Kraft::N,kraft,сила
428,Stärke::N,styrke,сила
429,Gesundheit::N,sundhed,здоров’я
430,Krankheit::N,sygdom,хвороба
431,Schmerz::N,smerte,біль
432,Wunde::N,sår,рана
433,Fieber::N,feber,гарячка
434,Arznei::N,medicin,ліки
435,Arznei::N,lægemiddel,ліки
436,Brücke::N,bro,міст
437,Brunnen::N,brønd,колодязь
438,Weide::N,græsgang,пасовище
439,Pfad::N,sti,стежка
440,Weg::N,vej,шлях
441,Weg::N,vej,дорога
442,Straße::N,gade,вулиця
443,Dorf::N,landsby,село
444,Stadt::N,by,місто
445,Brief::N,brev,лист
446,Buch::N,bog,книга
447,Buch::N,bog,книжка
448,Buchstabe::N,bogstav,буква
449,Buchstabe::N,bogstav,літера
450,Zeitung::N,avis,газета
451,Leben::N,liv,життя
452,Tod::N,død,смерть
453,Grab::N,grav,могила
454,Kirche::N,kirke,церква
455,Sünde::N,synd,гріх
456,Gott::N,gud,бог
457,Arbeiter::N,arbejder,робітник
458,Chef::N,chef,хазяїн
459,Meister::N,mester,умілець
460,Arzt::N,læge,лікар
461,Lehrer::N,lærer,вчитель
462,Geld::N,penge,гроші
463,Geschäft::N,forretning,заняття
464,Laden::N,butik,магазин
465,Laden::N,butik,крамниця
466,Laden::N,forretning,магазин
467,Laden::N,forretning,крамниця
468,Preis::N,pris,ціна
469,Ware::N,vare,товар
470,Nutzen::N,nytte,вигода
471,Nutzen::N,nytte,користь
472,Reichtum::N,rigdom,багатство
473,Welt::N,verden,світ
474,Land::N,land,країна
475,Staat::N,stat,держава
476,König::N,konge,король
477,Macht::N,magt,влада
478,Grenze::N,grænse,кордон
479,Krieg::N,krig,війна
480,Feind::N,fjende,ворог
481,Gewalt::N,vold,насильство
482,Kampf::N,kamp,бій
483,Kampf::N,kamp,боротьба
484,Bogen[Waffe]::N,bue,лук
485,Pfeil::N,pil,стріла
486,Gewehr::N,gevær,рушниця
487,Gewehr::N,gevær,гвинтівка
488,Fehler::N,fejl,помилка
489,Lüge::N,løgn,брехня
490,Schaden::N,skade,шкода
491,Schaden::N,skade,збиток
492,Unglück::N,uheld,нещастя
493,Unglück::N,ulykke,нещастя
494,Schuld::N,skyld,провина
495,Alter::N,alder,вік
496,Alter::N,alder,літа
497,Schluss::N,slut,кінець
498,Schluss::N,slutning,кінець
499,Zeit::N,tid,час
500,Tag::N,dag,день
501,Morgen::N,morgen,ранок
502,Mittag::N,middag,південь
503,Abend::N,aften,вечір
504,Nacht::N,nat,ніч
505,Woche::N,uge,тиждень
506,Monat::N,måned,місяць
507,Jahr::N,år,рік
508,Frühling::N,forår,весна
509,Sommer::N,sommer,літо
510,Herbst::N,efterår,осінь
511,Winter::N,vinter,зима
512,Januar::N,januar,січень
513,Februar::N,februar,лютий
514,März::N,marts,березень
515,April::N,april,квітень
516,Mai::N,maj,травень
517,Juni::N,juni,червень
518,Juli::N,juli,липень
519,August::N,august,серпень
520,September::N,september,вересень
521,Oktober::N,oktober,жовтень
522,November::N,november,листопад
523,Dezember::N,december,грудень
524,Montag::N,mandag,понеділок
525,Dienstag::N,tirsdag,вівторок
526,Mittwoch::N,onsdag,середа
527,Donnerstag::N,torsdag,четвер
528,Freitag::N,fredag,п’ятниця
529,Samstag::N,lørdag,субота
530,Sonntag::N,søndag,неділя
531,groß::A,stor,великий
532,klein::A,lille,малий
533,klein::A,lille,маленький
534,lang::A,lang,довгий
535,kurz::A,kort,короткий
536,breit::A,bred,широкий
537,schmal::A,smal,вузький
538,dicht::A,tæt,густий
539,dick[Gegenstand]::A,tyk,товстий
540,dünn::A,tynd,тонкий
541,fein::A,fin,дрібний
542,fest::A,fast,міцний
543,flach::A,flad,плоский
544,glatt::A,glat,рівний
545,glatt::A,glat,гладенький
546,hart::A,hård,твердий
547,weich::A,blød,м’який
548,rund::A,rund,круглий
549,spitz::A,spids,гострокінцевий
550,scharf::A,skarp,гострий
551,stumpf::A,sløv,тупий
552,stumpf::A,stump,тупий
553,schwer::A,tung,важкий
554,schön::A,skøn,вродливий
555,heiß::A,hed,жаркий
556,heiß::A,hed,гарячий
557,warm::A,varm,теплий
558,kalt::A,kold,холодний
559,kühl::A,kølig,прохолодний
560,frisch::A,frisk,свіжий
561,feucht::A,fugtig,вогкий
562,nass::A,våd,мокрий
563,trocken::A,tør,сухий
564,voll::A,fuld,повний
565,leer::A,tom,пустий
566,offen::A,åben,відкритий
567,geschlossen::A,lukket,закритий
568,geschlossen::A,lukket,зачинений
569,sauber::A,ren,чистий
570,sauber::A,ren,охайний
571,schmutzig::A,snavset,брудний
572,roh::A,rå,сирий
573,reif::A,moden,зрілий
574,lecker::A,lækker,смачний
575,süß::A,sød,солодкий
576,bitter::A,bitter,гіркий
577,sauer::A,sur,кислий
578,hell::A,lys,світлий
579,dunkel::A,mørk,темний
580,schwarz::A,sort,чорний
581,weiß::A,hvid,сивий
582,rot::A,rød,червоний
583,gelb::A,gul,жовтий
584,blau::A,blå,синій
585,grün::A,grøn,зелений
586,grau::A,grå,сірий
587,bunt::A,broget,барвистий
588,billig::A,billig,дешевий
589,teuer::A,dyr,дорогий
590,wertvoll::A,værdifuld,цінний
591,blind::A,blind,сліпий
592,taub::A,døv,глухий
593,kräftig::A,kraftig,могутній
594,stark::A,stærk,сильний
595,schwach::A,svag,слабкий
596,fett::A,fed,жирний
597,fett::A,fed,товстий
598,schlank::A,slank,тонкий
599,schlank::A,slank,стрункий
600,hübsch::A,køn,чарівний
601,böse::A,ond,злий
602,böse::A,ond,лихий
603,böse::A,slem,злий
604,böse::A,slem,лихий
605,dumm::A,dum,дурний
606,faul::A,doven,ледачий
607,fleißig::A,flittig,старанний
608,geizig::A,gerrig,скупий
609,klug::A,klog,мудрий
610,klug::A,klog,розумний
611,geschickt::A,dygtig,умілий
612,geschickt::A,behændig,умілий
613,lieb::A,rar,милий
614,lustig::A,lystig,веселий
615,sanft::A,blid,лагідний
616,hungrig::A,sulten,голодний
617,krank::A,syg,слабий
618,nackt::A,nøgen,голий
619,traurig::A,bedrøvet,сумний
620,lebendig::A,levende,живий
621,gut::A,god,добрий
622,schlecht::A,dårlig,поганий
623,schlecht::A,dårlig,кепський
624,richtig::A,rigtig,правильний
625,schlimm::A,slem,бридкий
626,wahr::A,sand,справжній
627,alt::A,gammel,старий
628,neu::A,ny,новий
629,ehemalig::A,forhenværende,колишній
630,alt[Lebewesen]::A,gammel,старий
631,jung::A,ung,молодий
632,arm::A,fattig,бідний
633,reich::A,rig,багатий
634,bekannt::A,kendt,знайомий
635,berühmt::A,berømt,славетний
636,fremd::A,fremmed,чужий
637,verschieden::A,forskellig,різний
638,nah::A,nær,близький
639,fern::A,fjern,далекий
640,linker::A,venstre,лівий
641,rechter::A,højre,правий
642,anderer::A,anden,інакший
643,erster::A,første,перший
644,zweiter::A,anden,другий
645,dritter::A,tredje,третій
646,letzter::A,sidste,останній
647,allein::ADV,alene,сам
648,allein::ADV,alene,один
649,auf einmal::ADV,på én gang,відразу
650,zusammen::ADV,sammen,разом
651,zusammen::ADV,sammen,спільно
652,lange::ADV,længe,довго
653,plötzlich::ADV,pludselig,раптом
654,sofort::ADV,straks,зараз
655,später::ADV,senere,пізніше
656,jetzt::ADV,nu,тепер
657,heute::ADV,i dag,сьогодні
658,morgen::ADV,i morgen,завтра
659,bald::ADV,snart,незабаром
660,dann::ADV,så,потім
661,gestern::ADV,i går,вчора
662,einst::ADV,engang,колись
663,damals::ADV,dengang,тоді
664,danach::ADV,derefter,згодом
665,vorher::ADV,før,раніше
666,vorher::ADV,forud,раніше
667,zuerst::ADV,først,спершу
668,zuerst::ADV,først,спочатку
669,einmal::ADV,en gang,один раз
670,manchmal::ADV,sommetider,іноді
671,manchmal::ADV,sommetider,інколи
672,oft::ADV,ofte,часто
673,immer::ADV,altid,завжди
674,niemals::ADV,aldrig,ніколи
675,hier::ADV,her,тут
676,hierhin::ADV,hid,сюди
677,hierhin::ADV,herhen,сюди
678,von hier::ADV,herfra,звідси
679,dort::ADV,der,там
680,dorthin::ADV,derhen,туди
681,geradeaus::ADV,lige ud,прямо
682,vorwärts::ADV,fremad,вперед
683,rückwärts::ADV,baglæns,назад
684,zurück::ADV,tilbage,назад
685,unten::ADV,nede,внизу
686,unten::ADV,forneden,внизу
687,hinab::ADV,ned,вниз
688,hinab::ADV,nedad,вниз
689,oben::ADV,oppe,вгорі
690,oben::ADV,ovenpå,вгорі
691,hinauf::ADV,op,вгору
692,hinauf::ADV,opad,вгору
693,überall::ADV,overalt,скрізь
694,nicht::ADV,ikke,не
695,ein wenig::ADV,lidt,трохи
696,ein wenig::ADV,lidt,небагато
697,kaum::ADV,knap,ледве
698,kaum::ADV,næppe,ледве
699,sehr::ADV,meget,дуже
700,so::ADV,så,так
701,noch::ADV,endnu,ще
702,nur::ADV,kun,лише
703,nur::ADV,kun,тільки
704,nur::ADV,bare,лише
705,nur::ADV,bare,тільки
706,schon::ADV,alt,вже
707,schon::ADV,allerede,вже
708,wieder::ADV,igen,знову
709,vergebens::ADV,forgæves,дарма
710,vor::PRP,foran,перед
711,vor::PRP,uden for,перед
712,hinter::PRP,bag,ззаду
713,hinter::PRP,bag,позаду
714,hinter::PRP,bagved,ззаду
715,hinter::PRP,bagved,позаду
716,unter::PRP,under,під
717,durch::PRP,gennem,крізь
718,durch::PRP,igennem,крізь
719,neben::PRP,ved siden af,біля
720,zwischen::PRP,mellem,між
721,wegen::PRP,på grund af,з-за
722,wegen::PRP,på grund af,через
723,dies::PRN,dette,це
724,das::PRN,det,то
725,alles::PRN,alt,все
726,ich::PRN,jeg,я
727,du::PRN,du,ти
728,er::PRN,han,він
729,wir::PRN,vi,ми
730,ihr::PRN,I,ви
731,sie::PRN,de,вони
732,was::FPRN,hvad,що
733,wer::FPRN,hvem,хто
734,wo::FADV,hvor,де
735,wohin::FADV,hvorhen,куди
736,wie::FADV,hvordan,як
737,warum::FADV,hvorfor,чому
738,wieviel::FNUM,hvor meget,скільки
739,eins::NUM,én,один
740,zwei::NUM,to,два
741,drei::NUM,tre,три
742,vier::NUM,fire,чотири
743,fünf::NUM,fem,п’ять
744,sechs::NUM,seks,шість
745,sieben::NUM,syv,сім
746,acht::NUM,otte,вісім
747,neun::NUM,ni,дев’ять
748,zehn::NUM,ti,десять
749,elf::NUM,elleve,одинадцять
750,zwölf::NUM,tolv,дванадцять
751,zwanzig::NUM,tyve,двадцять
752,dreißig::NUM,tredive,тридцять
753,vierzig::NUM,fyrre,сорок
754,vierzig::NUM,fyrretyve,сорок
755,fünfzig::NUM,halvtreds,п’ятдесят
756,sechzig::NUM,tres,шістдесят
757,siebzig::NUM,halvfjerds,сімдесят
758,achtzig::NUM,firs,вісімдесят
759,neunzig::NUM,halvfems,дев’яносто
760,hundert::NUM,hundrede,сто
761,tausend::NUM,tusind,тисяча
762,und::CNJ,og,і
763,oder::CNJ,eller,або
764,stehen::V,stå,стояти
765,sitzen::V,sidde,сидіти
766,liegen::V,ligge,лежати
767,hängen::V,hænge,висіти
768,werden::V,blive,стати
769,werden::V,blive,робитися
770,passieren::V,ske,трапитися
771,passieren::V,hænde,трапитися
772,beginnen::V,begynde,початися
773,enden::V,ende,кінчитися
774,wechseln::V,veksle,мінятися
775,aufgehen[Sonne]::V,gå op,зійти
776,aufgehen[Sonne]::V,stå op,зійти
777,untergehen[Sonne]::V,gå ned,зайти
778,scheinen[Sonne]::V,skinne,світити
779,donnern::V,tordne,гриміти
780,wehen::V,blæse,віяти
781,strömen::V,strømme,литися
782,fließen::V,flyde,текти
783,sich drehen::V,dreje sig,обертатися
784,schwanken::V,vakle,коливатися
785,schwingen::V,svinge,хитатися
786,schwingen::V,svinge,гойдатися
787,fallen::V,falde,падати
788,brennen::V,brænde,горіти
789,rauchen::V,ryge,диміти
790,regnen::V,regne,дощити
791,gefrieren::V,fryse,змерзнути
792,tauen::V,tø,танути
793,schmelzen::V,smelte,плавитися
794,trocknen::V,tørre,сохнути
795,sieden::V,koge,кипіти
796,faulen::V,rådne,гнити
797,verfaulen::V,rådne,згнити
798,reißen::V,briste,рватися
799,versinken::V,synke,тонути
800,versinken::V,synke ned,тонути
801,vergehen::V,forløbe,проходити
802,erscheinen::V,vise sig,з’явитися
803,verschwinden::V,forsvinde,щезнути
804,verschwinden::V,forsvinde,зникнути
805,sinken::V,synke,спадати
806,abnehmen::V,aftage,поменшитися
807,zunehmen::V,tiltage,збільшуватися
808,steigen::V,stige,підніматися
809,wachsen::V,gro,рости
810,wachsen::V,vokse,рости
811,glänzen::V,glinse,блищати
812,funkeln::V,tindre,блискати
813,lärmen::V,larme,шуміти
814,läuten::V,ringe,дзвонити
815,klingeln::V,ringe,дзвонити
816,klirren::V,klirre,дзвякати
817,brausen::V,bruse,бушувати
818,rauschen::V,suse,шелестіти
819,klingen::V,lyde,лунати
820,klingen::V,lyde,звучати
821,klingen::V,klinge,лунати
822,klingen::V,klinge,звучати
823,bellen::V,gø,гавкати
824,heulen::V,hyle,вити
825,blasen::V,blæse,дунути
826,pfeifen::V,fløjte,свистіти
827,schreien::V,skrige,кричати
828,stöhnen::V,stønne,стогнати
829,zittern::V,dirre,тремтіти
830,zittern::V,skælve,тремтіти
831,leben::V,leve,жити
832,geboren werden::V,fødes,народитися
833,atmen::V,ånde,дихати
834,trinken::V,drikke,пити
835,essen::V,spise,їсти
836,schlucken::V,synke,ковтати
837,müde werden::V,blive træt,втомитися
838,einschlafen::V,falde i søvn,заснути
839,schlafen::V,sove,спати
840,aufwachen::V,vågne,прокинутися
841,aufstehen::V,stå op,встати
842,sich erholen::V,komme sig,відпочивати
843,krank werden::V,blive syg,захворіти
844,krank sein::V,være syg,хворіти
845,schmerzen::V,smerte,боліти
846,husten::V,hoste,кашляти
847,genesen::V,komme sig,одужати
848,genesen::V,komme sig,видужати
849,sterben::V,dø,померти
850,umkommen::V,omkomme,згинути
851,sich bewegen::V,bevæge sig,рухатися
852,sich rühren::V,røre på sig,ворушитися
