,Concept_ID,ce,pt
65,Stern::N,седа,estrela
66,Luft::N,xӏаваъ,ar
67,Wind::N,мох,vento
68,Welle::N,тулгӏе,onda
69,Wasser::N,хи,água
70,Stein::N,тӏулг,pedra
71,Boden::N,цӏенкъа,solo
72,Erde::N,латта,terra
73,Staub::N,чан,pó
74,Rauch::N,кӏур,fumo
75,Funke::N,суй,faísca
76,Funke::N,суй,centelha
77,Feuer::N,цӏе,fogo
78,Licht::N,серло,luz
79,Schatten::N,ӏиндагӏ,sombra
80,Wetter::N,хенан хӏоттам,tempo
81,Nebel::N,дохк,nevoeiro
82,Wolke::N,марха,nuvem
83,Regen::N,догӏа,chuva
84,Schnee::N,ло,neve
85,Eis::N,ша,gelo
86,Frost::N,шело,gelo
87,Frost::N,шело,geada
88,Kälte::N,шело,frio
89,Hitze::N,йовхо,ardor
90,Raureif::N,йис,geada
91,Regenbogen::N,стелаӏад,arco-iris
92,Donner::N,ткъес,trovão
93,Strömung::N,дӏаэхар,corrente
94,Strömung::N,дӏасалелар,corrente
95,Tropfen::N,тӏадам,gota
96,Schaum::N,чопа,espuma
97,Schmutz::N,хатт,sujidade
98,Schmutz::N,хатт,imundície
99,See::N,ӏам,lago
100,Sumpf::N,уьшал,charco
101,Sumpf::N,уьшал,pântano
102,Moor::N,уьшал,pântano
103,Wiese::N,бай,prado
104,Wald::N,хьун,bosque
105,Wald::N,хьун,floresta
106,Hügel::N,гу,colina
107,Hügel::N,шу,colina
108,Hügel::N,барз,colina
109,Anhöhe::N,акъари,alto
110,Anhöhe::N,акъари,outeiro
111,Berg::N,лам,monte
112,Berg::N,лам,montanha
113,Gipfel::N,бохь,pico
114,Höhle::N,хьех,caverna
115,Abhang::N,басе,encosta
116,Quelle::N,шовда,fonte
117,Bach::N,татол,regato
118,Bach::N,татол,ribeiro
119,Fluss::N,хи,rio
120,Ufer::N,хийист,beira
121,Küste::N,йист,costa
122,Festland::N,латта,terra firme
123,Meer::N,xӏорд,mar
124,Bucht::N,чож,baía
125,Insel::N,гӏайре,ilha
126,Blume::N,зезаг,flor
127,Gras::N,буц,erva
128,Wurzel::N,орам,raiz
129,Baum::N,дитт,árvore
130,Stamm::N,гӏад,tronco
131,Stamm::N,тайпа,tronco
132,Rinde::N,кевстиг,casca
133,Ast::N,га,ramo
134,Zweig::N,га,galho
135,Blatt::N,гӏа,folha
136,Birke::N,дакх,bétula
137,Kiefer[Baum]::N,бага,pinheiro
138,Weide[Baum]::N,дак,salgueiro
139,Tanne::N,база,abeto
140,Horn::N,маӏа,corno
141,Horn::N,маӏа,chifre
142,Feder::N,пелаг,pena
143,Fell::N,цӏока,pele
144,Flügel::N,тӏам,asa
145,Klaue::N,мӏара,pata
146,Kralle::N,тlод,unha
147,Kralle::N,тlод,garra
148,Schwanz::N,цӏога,rabo
149,Schwanz::N,цӏога,cauda
150,Ei::N,xӏoa,ovo
151,Nest::N,бен,ninho
152,Bau::N,lуьрг,toca
153,Bau::N,lуьрг,covil
154,Tier::N,дийнат,animal
155,Herde::N,жа,rebanho
156,Kuh::N,етт,vaca
157,Bulle::N,сту,touro
158,Pferd::N,говр,cavalo
159,Schaf::N,жий,ovelha
160,Schaf::N,уьстагӏ,ovelha
161,Schwein::N,хьакха,porco
162,Hund::N,жӏаьла,cão
163,Katze::N,цициг,gata
164,Bär::N,ча,urso
165,Eichhörnchen::N,тарсал,esquilo
166,Elch::N,сай,alce
167,Fuchs::N,цхьогал,raposa
168,Hase::N,пхьагал,lebre
169,Maus::N,дахка,rato
170,Wolf::N,борз,lobo
171,Vogel::N,олхазар,ave
172,Vogel::N,олхазар,pássaro
173,Huhn::N,котам,galinha
174,Hahn::N,нӏаьна,galo
175,Hahn::N,боргӏал,galo
176,Gans::N,гӏаз,ganso
177,Adler::N,aьрзу,águia
178,Ente::N,бад,pata
179,Eule::N,бухӏа,mocho
180,Eule::N,бухӏа,coruja
181,Kranich::N,гӏаргӏули,grou
182,Krähe::N,къиг,gralha
183,Kuckuck::N,aттйокх,cuco
184,Schwan::N,гӏургӏаз,cisne
185,Fisch::N,чӏара,peixe
186,Barsch::N,окунь,perca
187,Hecht::N,гӏазкхийн чӏара,lúcio
188,Schlange[Tier]::N,лаьхьа,serpente
189,Wurm::N,нӏаьна,verme
190,Spinne::N,гезг,aranha
191,Ameise::N,зингат,formiga
192,Laus::N,меза,piolho
193,Laus::N,гӏениг,piolho
194,Mücke::N,чуьрк,mosquito
195,Fliege::N,моза,mosca
196,Schmetterling::N,полла,borboleta
197,Beere::N,цӏазам,bago
198,Apfel::N,ӏаж,maçã
199,Pilz::N,жӏаьлин нускал,fungo
200,Pilz::N,жӏаьлин нускал,cogumelo
201,Zwiebel::N,xох,cebola
202,Saat::N,чlу,sementeira
203,Korn::N,буьртиг,grão
204,Heu::N,йол,feno
205,Schale::N,пардо,casca
206,Grube::N,ор,cova
207,Grube::N,ор,fossa
208,Falle::N,кӏело,armadilha
209,Spur::N,лар,pista
210,Spur::N,лар,vestígio
211,Asche::N,чим,cinza
212,Dreck::N,мода,sujidade
213,Eisen::N,эчиг,ferro
214,Gold::N,деши,ouro
215,Silber::N,дети,prata
216,Kohle::N,кӏора,carvão
217,Glas::N,aнгали,vidro
218,Lehm::N,поппар,barro
219,Lehm::N,поппар,argila
220,Sand::N,гӏум,areia
221,Mensch::N,адам,homem
222,Mensch::N,адам,pessoa
223,Mann::N,майра,homem
224,Frau::N,зуда,mulher
225,Kind::N,бер,filho
226,Kind::N,бер,criança
227,Junge::N,жимха,rapaz
228,Junge::N,жимха,menino
229,Mädchen::N,жима йоӏ,menina
230,Mädchen::N,жима йоӏ,rapariga
231,Familie::N,доьзал,família
232,Großvater::N,ненада,avô
233,Großmutter::N,денана,avó
234,Eltern::N,да-нана,pais
235,Vater::N,да,pai
236,Mutter::N,нана,mãe
237,Sohn::N,кӏант,filho
238,Tochter::N,йоӏ,filha
239,Bruder::N,ваша,irmão
240,Schwester::N,йиша,irmã
241,Onkel::N,деваша,tio
242,Tante::N,дейиша,tia
243,Ehemann::N,майра,esposo
244,Ehefrau::N,зуда,esposa
245,Freude::N,самукъа,prazer
246,Freude::N,самукъа,alegria
247,Freude::N,хазахетар,prazer
248,Freude::N,хазахетар,alegria
249,Gelächter::N,белам,risada
250,Gelächter::N,белам,gargalhada
251,Glück::N,ирс,felicidade
252,Kummer::N,бала,aflição
253,Kummer::N,бала,desgosto
254,Wunsch::N,лаам,desejo
255,Lust::N,лаам,vontade
256,Geist::N,са,mente
257,Geist::N,са,espírito
258,Gedanke::N,ойла,ideia
259,Gedanke::N,ойла,pensamento
260,Gedächtnis::N,диццадалар,memória
261,Verstand::N,хьекъал,razão
262,Verstand::N,хьекъал,inteligência
263,Sinn::N,маьӏна,sentido
264,Sinn::N,маьӏна,significado
265,Grund::N,бахьана,causa
266,Grund::N,бахьана,motivo
267,Wahrheit::N,бакъдерг,verdade
268,Gespräch::N,къамел,conversa
269,Gespräch::N,къамел,conversação
270,Märchen::N,туьйра,conto
271,Erzählung::N,дийцар,conto
272,Erzählung::N,дийцар,narrativa
273,Nachricht::N,хаам,mensagem
274,Neuigkeit::N,керланиг,notícia
275,Neuigkeit::N,керланиг,novidade
276,Name::N,цӏе,nome
277,Rätsel::N,хӏетал-метал,adivinha
278,Rede::N,къамел,oração
279,Rede::N,къамел,discurso
280,Sprache::N,мотт,língua
281,Stimme::N,aз,voz
282,Wort::N,дош,palavra
283,Zeichen::N,билгало,marca
284,Ruf::N,кхайкхар,grito
285,Ruf::N,кхайкхар,chamada
286,Lärm::N,гӏовгӏа,ruído
287,Lärm::N,гӏовгӏа,barulho
288,Laut::N,аз,som
289,Ton::N,aз,tom
290,Lied::N,илли,canção
291,Ruhe::N,тийналла,calma
292,Ruhe::N,тийналла,silêncio
293,Leute::N,нах,gente
294,Leute::N,нах,pessoas
295,Volk::N,халкъ,povo
296,Volk::N,халкъ,nação
297,Arbeit::N,болх,trabalho
298,Gast::N,хьаша,hóspede
299,Gast::N,хьаша,convidado
300,Geschenk::N,совгӏат,prenda
301,Geschenk::N,совгӏат,presente
302,Spiel::N,ловзар,jogo
303,Gesellschaft::N,юкъаралла,companhia
304,Hilfe::N,гӏо,ajuda
305,Hilfe::N,гӏо,socorro
306,Freund::N,доттагl,amigo
307,Kamerad::N,накъост,camarada
308,Angelegenheit::N,гӏуллакх,assunto
309,Anzahl::N,терахь,número
310,Anzahl::N,терахь,quantidade
311,Stück::N,юьхк,pedaço
312,Teil::N,дакъа,peça
313,Teil::N,дакъа,parte
314,Hälfte::N,ах,metade
315,Kreis::N,го,círculo
316,Kreuz::N,жӏара,cruz
317,Linie::N,сиз,linha
318,Strich::N,сиз,traço
319,Abstand::N,юкъ,distância
320,Gegend::N,мeттиг,área
321,Gegend::N,мeттиг,região
322,Platz::N,майда,lugar
323,Ort::N,меттиг,sítio
324,Seite::N,aгӏo,lado
325,Mitte::N,юкъ,meio
326,Gegenstand::N,хӏума,objecto
327,Sache::N,хӏума,coisa
328,Rand::N,йист,bordo
329,Rand::N,йист,margem
330,Kante::N,йист,borda
331,Kante::N,йист,aresta
332,Ecke::N,са,esquina
333,Spitze::N,ралла,ponta
334,Ende::N,юьхьиг,cabo
335,Ende::N,юьхьиг,extremo
336,Loch::N,ӏуьрг,furo
337,Loch::N,ӏуьрг,buraco
338,Winkel::N,са,canto
339,Winkel::N,са,ângulo
340,Muster::N,дагар,padrão
341,Muster::N,дагар,desenho
342,Muster::N,тӏамар,padrão
343,Muster::N,тӏамар,desenho
344,Größe::N,барам,tamanho
345,Länge::N,йохалла,comprimento
346,Höhe::N,локхалла,altura
347,Höhe::N,локхалла,altitude
348,Gewicht::N,йозалла,peso
349,Menge::N,дукхалла,quantidade
350,Haufen::N,сал,pilha
351,Haufen::N,оьла,pilha
352,Reihe::N,рагӏ,fila
353,Reihe::N,могӏа,fila
354,Boot::N,кема,barco
355,Ruder::N,пийсиг,remo
356,Schlitten::N,салаз,trenó
357,Ski::N,когсалаз,esqui
358,Lagerfeuer::N,цӏе,fogueira
359,Last::N,дукъ,carga
360,Gang::N,лелар,curso
361,Gang::N,лелар,caminhada
362,Schritt::N,гӏулч,passo
363,Norden::N,къилбаседе,norte
364,Süden::N,къилбе,sul
365,Westen::N,малхбузе,oeste
366,Westen::N,малхбузе,ocidente
367,Osten::N,малхбале,este
368,Osten::N,малхбале,leste
369,Osten::N,малхбале,oriente
370,Holz::N,дечиг,madeira
371,Brett::N,у,tábua
372,Brett::N,у,prancha
373,Platte::N,у,laje
374,Platte::N,у,chapa
375,Stütze::N,гӏopтоp,apoio
376,Stütze::N,гӏopтоp,suporte
377,Stange::N,гӏуркх,vara
378,Stange::N,гӏуркх,barra
379,Stock::N,ӏаса,pau
380,Stock::N,ӏаса,bengala
381,Stab::N,гӏаж,bastão
382,Rohr::N,биргӏа,cano
383,Haus::N,цӏа,casa
384,Heim::N,кхерч,lar
385,Heim::N,кхерч,casa
386,Ofen::N,кхерч,estufa
387,Ofen::N,кхерч,aquecedor
388,Fußboden::N,цӏенкъа,piso
389,Tisch::N,шун,mesa
390,Stuhl::N,гӏант,cadeira
391,Wiege::N,ага,berço
392,Bett::N,маьнга,cama
393,Regal::N,терхи,estante
394,Regal::N,терхи,prateleira
395,Kiste::N,яьшка,caixa
396,Fenster::N,кор,janela
397,Tür::N,неӏ,porta
398,Tor::N,ков,portão
399,Zaun::N,керт,cerca
400,Zaun::N,керт,vedação
401,Dach::N,тхов,telhado
402,Leiter::N,лами,escada
403,Leiter::N,лами,escada móvel
404,Besen::N,нуй,vassoura
405,Spaten::N,бел,pá
406,Schaufel::N,аьшкал,pá
407,Gabel::N,мӏара,garfo
408,Löffel::N,ӏайг,colher
409,Messer::N,урс,faca
410,Nagel::N,хьостам,cravo
411,Netz::N,бой,rede
412,Haken::N,мӏара,gancho
413,Schloss::N,чӏега,fechadura
414,Bild::N,сурт,imagem
415,Puppe::N,тайниг,boneca
416,Beutel::N,гали,saco
417,Beutel::N,гали,bolsa
418,Bündel::N,кочар,fardo
419,Tasche::N,тӏоьрмиг,saco
420,Tasche::N,тӏоьрмиг,bolso
421,Eimer::N,чийлик,balde
422,Deckel::N,негӏар,tampa
423,Geschirr::N,пхьегӏа,louça
424,Sack::N,гали,saca
425,Tasse::N,кад,chávena
426,Topf::N,яй,tacho
427,Topf::N,яй,panela
428,Kessel::N,яй,caldeira
429,Essen::N,юург,refeição
430,Nahrung::N,кхача,comida
431,Nahrung::N,кхача,alimento
432,Speise::N,юург,prato
433,Fleisch::N,жижиг,carne
434,Getreide::N,буьртиг,cereais
435,Brei::N,xудар,puré
436,Brot::N,бепиг,pão
437,Brot::N,кхаллар,pão
438,Scheibe::N,цастар,fatia
439,Fett::N,мохь,banha
440,Fett::N,мохь,gordura
441,Butter::N,налха,manteiga
442,Öl::N,даьтта,azeite
443,Salz::N,туьха,sal
444,Suppe::N,чорпа,sopa
445,Suppe::N,чорпа,caldo
446,Honig::N,моз,mel
447,Milch::N,шура,leite
448,Tee::N,чай,chá
449,Leder::N,цӏока,couro
450,Wolle::N,тӏapгӏa,lã
451,Stoff::N,кӏади,pano
452,Stoff::N,кӏади,tecido
453,Nadel::N,маха,agulha
454,Faden::N,тай,fio
455,Knopf::N,нуьйда,botão
456,Knoten::N,шад,nó
457,Farbe::N,сир,corante
458,Farbe::N,басар,corante
459,Kleidung::N,бедар,roupa
460,Kleidung::N,бедар,vestuário
461,Hemd::N,коч,camisa
462,Kragen::N,кач,gola
463,Ärmel::N,пхьош,manga
464,Hose::N,хеча,calça
465,Gürtel::N,доьхка,cinto
466,Mütze::N,куй,boné
467,Mütze::N,куй,barrete
468,Schuh::N,мача,sapato
469,Stiefel::N,этка,bota
470,Ring::N,чӏуг,anel
471,Band::N,лента,fita
472,Band::N,лента,faixa
473,Kamm::N,ехк,pente
474,Spiegel::N,куьзга,espelho
475,Riemen::N,доьхка,correia
476,Schnur::N,муш,corda
477,Schnur::N,муш,cordel
478,Leine::N,кочатосу доьхка,trela
479,Decke::N,юргӏа,cobertor
480,Kissen::N,гIайба,almofada
481,Tuch::N,исхар,pano
482,Handtuch::N,гата,toalha
483,Kraft::N,гӏора,força
484,Stärke::N,гӏап,força
485,Gesundheit::N,могашалла,saúde
486,Krankheit::N,цамгар,doença
487,Krankheit::N,цамгар,enfermidade
488,Schmerz::N,лазар,dor
489,Wunde::N,чов,chaga
490,Wunde::N,чов,ferida
491,Fieber::N,xорша,febre
492,Arznei::N,молха,remédio
493,Brücke::N,тӏай,ponte
494,Brunnen::N,гӏу,poço
495,Weide::N,дак,pastagem
496,Pfad::N,тача,senda
497,Pfad::N,тача,trilho
498,Weg::N,некъ,caminho
499,Straße::N,урам,via
500,Straße::N,урам,estrada
501,Dorf::N,юрт,aldeia
502,Stadt::N,гӏала,cidade
503,Brief::N,кехат,carta
504,Buch::N,жайна,livro
505,Buchstabe::N,элп,letra
506,Zeitung::N,газет,jornal
507,Leben::N,дахар,vida
508,Tod::N,далар,morte
509,Tod::N,ӏожалла,morte
510,Grab::N,каш,túmulo
511,Grab::N,каш,sepultura
512,Kirche::N,килс,igreja
513,Sünde::N,къа,pecado
514,Gott::N,дела,deus
515,Arbeiter::N,белхало,operário
516,Arbeiter::N,белхало,trabalhador
517,Chef::N,хьаькам,chefe
518,Chef::N,хьаькам,patrão
519,Meister::N,говзанча,mestre
520,Arzt::N,лор,médico
521,Lehrer::N,хьехархо,professor
522,Geld::N,aхча,dinheiro
523,Geschäft::N,туька,negócio
524,Laden::N,туька,loja
525,Preis::N,мах,preço
526,Ware::N,хlума,mercadoria
527,Nutzen::N,пайда,proveito
528,Reichtum::N,хьал,riqueza
529,Welt::N,дуьне,mundo
530,Land::N,мохк,país
531,Staat::N,пачхьалкх,Estado
532,König::N,паччахь,rei
533,Macht::N,ӏедал,poder
534,Macht::N,ӏедал,potência
535,Grenze::N,доза,fronteira
536,Krieg::N,тӏом,guerra
537,Feind::N,мостагӏ,inimigo
538,Gewalt::N,гӏело,violência
539,Kampf::N,къийсам,luta
540,Kampf::N,къийсам,combate
541,Pfeil::N,пха,seta
542,Pfeil::N,пха,flecha
543,Gewehr::N,топ,espingarda
544,Fehler::N,гӏалат,erro
545,Fehler::N,гӏалат,falha
546,Lüge::N,аьшпаш,mentira
547,Schaden::N,зен,dano
548,Schaden::N,зен,estrago
549,Unglück::N,бала,desgraça
550,Schuld::N,бехк,culpa
551,Alter::N,хан,idade
552,Schluss::N,чакхе,fim
553,Zeit::N,хан,tempo
554,Tag::N,де,dia
555,Morgen::N,ӏуьйре,manhã
556,Mittag::N,делкъе,meio-dia
557,Abend::N,суьйре,noite
558,Abend::N,суьйре,tardinha
559,Nacht::N,буьйса,noite
560,Woche::N,кӏира,semana
561,Monat::N,бутт,mês
562,Jahr::N,шо,ano
563,Frühling::N,бӏаьсте,primavera
564,Sommer::N,аьхке,verão
565,Herbst::N,гуьйре,outono
566,Winter::N,ӏа,inverno
567,Januar::N,январь,Janeiro
568,Februar::N,февраль,Fevereiro
569,März::N,март,Março
570,April::N,апрель,Abril
571,Mai::N,май,Maio
572,Juni::N,июнь,Junho
573,Juli::N,июль,Julho
574,August::N,август,Agosto
575,September::N,сентябрь,Setembro
576,Oktober::N,октябрь,Outubro
577,November::N,ноябрь,Novembro
578,Dezember::N,декабрь,Dezembro
579,Montag::N,оршот,segunda-feira
580,Dienstag::N,шинара,terça-feira
581,Mittwoch::N,кхаара,quarta-feira
582,Donnerstag::N,еара,quinta-feira
583,Freitag::N,пӏераска,sexta-feira
584,Samstag::N,шот,sábado
585,Sonntag::N,кӏиранде,domingo
586,groß::A,доккха,grande
587,klein::A,кегий,pequeno
588,lang::A,еха,comprido
589,kurz::A,доца,curto
590,breit::A,шуьйра,largo
591,schmal::A,готта,estreito
592,dicht::A,луьста,denso
593,dick[Gegenstand]::A,стомма,grosso
594,dünn::A,дуткъа,delgado
595,fein::A,ховха,fino
596,fein::A,ховха,subtil
597,fest::A,чӏогӏа,firme
598,fest::A,чӏогӏа,sólido
599,flach::A,чӏапа,plano
600,glatt::A,шера,liso
601,hart::A,чӏогӏa,duro
602,weich::A,кӏеда,mole
603,rund::A,горга,redondo
604,spitz::A,ира,agudo
605,scharf::A,ира,afiado
606,stumpf::A,аьртa,rombo
607,schwer::A,деза,pesado
608,schön::A,хаза,belo
609,schön::A,хаза,bonito
610,heiß::A,довха,quente
611,warm::A,довха,quente
612,kalt::A,шийла,frio
613,kühl::A,шийла,fresco
614,frisch::A,керла,fresco
615,feucht::A,тӏуьна,húmido
616,nass::A,тӏеда,molhado
617,trocken::A,eкъа,seco
618,voll::A,дуьзна,cheio
619,leer::A,яьсса,vazio
620,offen::A,диллина,aberto
621,geschlossen::A,дӏакъевлина,fechado
622,geschlossen::A,дӏачӏагӏдина,fechado
623,sauber::A,цӏена,limpo
624,schmutzig::A,боьха,sujo
625,roh::A,буьйда,cru
626,reif::A,хилла,maduro
627,lecker::A,чоме,delicioso
628,süß::A,мерза,doce
629,bitter::A,къаьхьа,amargo
630,sauer::A,муьста,azedo
631,hell::A,сирла,claro
632,dunkel::A,бодане,escuro
633,dunkel::A,бодане,sombrio
634,schwarz::A,ӏаьржа,preto
635,weiß::A,кӏайн,branco
636,rot::A,цӏен,vermelho
637,gelb::A,можа,amarelo
638,blau::A,сийна,azul
639,grün::A,баьццара,verde
640,grau::A,cира,cinzento
641,grau::A,мокха,cinzento
642,bunt::A,къорза,colorido
643,billig::A,дораха,barato
644,teuer::A,деза,caro
645,wertvoll::A,мехала,valioso
646,wertvoll::A,мехала,precioso
647,blind::A,бӏаьрзе,cego
648,taub::A,къора,surdo
649,kräftig::A,нуьцкъала,forte
650,kräftig::A,нуьцкъала,poderoso
651,stark::A,зоьртала,forte
652,stark::A,зоьртала,robusto
653,stark::A,нуьцкъала,forte
654,stark::A,нуьцкъала,robusto
655,schwach::A,гӏорасиза,débil
656,fett::A,дерстана,gordo
657,schlank::A,куц долу,esbelto
658,hübsch::A,хаза,giro
659,hübsch::A,хаза,bonito
660,böse::A,вон,mau
661,dumm::A,сонта,parvo
662,dumm::A,сонта,estúpido
663,faul::A,мало ен,preguiçoso
664,fleißig::A,тӏера,aplicado
665,fleißig::A,тӏера,diligente
666,geizig::A,пис,avarento
667,geizig::A,сутара,avarento
668,klug::A,хьекъале,prudente
669,klug::A,хьекъале,inteligente
670,geschickt::A,тӏахъаьлла,hábil
671,lieb::A,хьоме,caro
672,lieb::A,хьоме,querido
673,lustig::A,самукъане,alegre
674,sanft::A,кlеда,suave
675,sanft::A,кlеда,brando
676,hungrig::A,меца,faminto
677,krank::A,цомгуш долу,doente
678,krank::A,цомгуш долу,enfermo
679,nackt::A,дерзана,nu
680,nackt::A,дерзана,despido
681,traurig::A,самукъане воцу,triste
682,lebendig::A,дийна,vivo
683,gut::A,дика,bom
684,schlecht::A,вон,mau
685,schlecht::A,вон,ruim
686,richtig::A,нийса,justo
687,richtig::A,нийса,correcto
688,schlimm::A,вон,mau
689,schlimm::A,вон,grave
690,wahr::A,бакъдолу,verdadeiro
691,alt::A,къена,velho
692,alt::A,къена,antigo
693,neu::A,керла,novo
694,ehemalig::A,хилла,antigo
695,alt[Lebewesen]::A,къена,velho
696,jung::A,къона,jovem
697,arm::A,къен,pobre
698,reich::A,хьоле,rico
699,bekannt::A,девзаш долу,conhecido
700,berühmt::A,цӏеяхана,famoso
701,berühmt::A,цӏеяхана,célebre
702,fremd::A,нехан,alheio
703,fremd::A,нехан,estranho
704,verschieden::A,тайп-тайпанара,diverso
705,verschieden::A,тайп-тайпанара,diferente
706,nah::A,гергара,próximo
707,fern::A,гена,remoto
708,fern::A,гена,distante
709,fern::A,генара,remoto
710,fern::A,генара,distante
711,linker::A,аьрру,esquerdo
712,rechter::A,аьтту,direito
713,anderer::A,кхин,outro
714,erster::A,хьалхара,primeiro
715,zweiter::A,шолгIа,segundo
716,dritter::A,кхоалгӏа,terceiro
717,letzter::A,тӏаьххьара,final
718,letzter::A,тӏаьххьара,último
719,allein::ADV,цхьаъ,só
720,auf einmal::ADV,цу сохьтта,de vez
721,zusammen::ADV,цхьана,juntos
722,lange::ADV,дукха,muito tempo
723,plötzlich::ADV,цIеххьана,de repente
724,sofort::ADV,цу сохьтта,imediatamente
725,später::ADV,тӏаьхьо,mais tarde
726,jetzt::ADV,хӏинца,agora
727,heute::ADV,тахана,hoje
728,morgen::ADV,кхана,amanhã
729,bald::ADV,кеста,logo
730,bald::ADV,кеста,breve
731,dann::ADV,тӏаккха,então
732,dann::ADV,тӏаккха,depois
733,gestern::ADV,селхана,ontem
734,einst::ADV,цкъа,antigamente
735,damals::ADV,хӏетахьь,então
736,danach::ADV,тӏаккха,logo
737,danach::ADV,тӏаккха,depois
738,vorher::ADV,хьалхa,antes
739,zuerst::ADV,хьалха,primeiro
740,einmal::ADV,цкъа,uma vez
741,manchmal::ADV,цкъаццкъа,às vezes
742,oft::ADV,кест-кеста,muitas vezes
743,immer::ADV,даим,sempre
744,niemals::ADV,цкъа а,nunca
745,hier::ADV,кхузахь,cá
746,hier::ADV,кхузахь,aqui
747,hierhin::ADV,кхуза,para cá
748,von hier::ADV,кхузара,daqui
749,dort::ADV,цигахь,lá
750,dort::ADV,цигахь,ali
751,dorthin::ADV,цига,lá
752,dorthin::ADV,цига,para lá
753,geradeaus::ADV,нийса дӏа,em frente
754,vorwärts::ADV,хьалха,avante
755,rückwärts::ADV,юха,para trás
756,zurück::ADV,юха,atrás
757,unten::ADV,лахахь,debaixo
758,unten::ADV,лахахь,em baixo
759,hinab::ADV,охьа,para baixo
760,oben::ADV,лакхахь,em cima
761,hinauf::ADV,хьала,para cima
762,überall::ADV,массанхьа,em toda parte
763,nicht::ADV,ца,não
764,ein wenig::ADV,кӏеззиг,um pouco
765,ein wenig::ADV,кӏеззиг,um bocado
766,kaum::ADV,халла,apenas
767,sehr::ADV,вуно,muito
768,noch::ADV,кхин,ainda
769,nur::ADV,бен ...ца,só
770,nur::ADV,бен ...ца,apenas
771,nur::ADV,бен ...ца,somente
772,schon::ADV,хӏинцале,já
773,wieder::ADV,юха а,outra vez
774,vergebens::ADV,эрна,em vão
775,vor::PRP,хьалха,diante de
776,hinter::PRP,тӏехьа,atrás de
777,unter::PRP,кIелахь,sob
778,unter::PRP,кIелахь,debaixo de
779,durch::PRP,чекх,por
780,durch::PRP,чекх,através de
781,neben::PRP,юххе,junto de
782,neben::PRP,юххе,ao lado de
783,zwischen::PRP,юккъехь,entre
784,wegen::PRP,дуьхьа,por
785,wegen::PRP,дуьхьа,por causa de
786,dies::PRN,и,isto
787,dies::PRN,иза,isto
788,das::PRN,и,isso
789,das::PRN,и,aquilo
790,das::PRN,иза,isso
791,das::PRN,иза,aquilo
792,alles::PRN,дерриг,todo
793,ich::PRN,cо,eu
794,du::PRN,хьо,tu
795,er::PRN,и,ele
796,er::PRN,иза,ele
797,wir::PRN,тхо,nós
798,wir::PRN,вай,nós
799,ihr::PRN,шу,vós
800,ihr::PRN,шу,vocês
801,sie::PRN,уьш,eles
802,was::FPRN,хӏун,quê
803,wer::FPRN,мила,quem
804,wo::FADV,мичaхь,onde
805,wohin::FADV,мича,aonde
806,wohin::FADV,мича,para onde
807,wie::FADV,муха,como
808,warum::FADV,хӏунда,porquê
809,warum::FADV,хӏунда,por que
810,wieviel::FNUM,мел,quanto
