,Concept_ID,lt,no
79,Rauch::N,dūmai,røyk
80,Funke::N,kibirkštis,gnist
81,Feuer::N,ugnis,ild
82,Licht::N,šviesa,lys
83,Schatten::N,paūksmė,skygge
84,Wetter::N,oras,vær
85,Nebel::N,migla,tåke
86,Nebel::N,rūkas,tåke
87,Wolke::N,debesis,sky
88,Regen::N,lietus,regn
89,Schnee::N,sniegas,snø
90,Eis::N,ledas,is
91,Frost::N,šalna,frost
92,Kälte::N,šaltis,kulde
93,Hitze::N,karštis,hete
94,Raureif::N,šerkšnas,rimfrost
95,Regenbogen::N,vaivorykštė,regnbue
96,Donner::N,perkūnas,torden
97,Donner::N,griaustinis,torden
98,Strömung::N,tėkmė,strømning
99,Tropfen::N,lašas,dråpe
100,Schaum::N,putos,skum
101,Schmutz::N,purvas,søl
102,Schmutz::N,purvas,skitt
103,See::N,ežeras,sjø
104,Sumpf::N,klampynė,sump
105,Sumpf::N,klampynė,myrlende
106,Sumpf::N,liūnas,sump
107,Sumpf::N,liūnas,myrlende
108,Moor::N,pelkė,myr
109,Moor::N,pelkė,myrhei
110,Wiese::N,pieva,eng
111,Wald::N,miškas,skog
112,Hügel::N,kalva,haug
113,Hügel::N,kalva,bakke
114,Anhöhe::N,kauburys,haug
115,Anhöhe::N,kauburys,bakke
116,Berg::N,kalnas,berg
117,Berg::N,kalnas,fjell
118,Gipfel::N,viršūnė,topp
119,Höhle::N,ola,hule
120,Abhang::N,šlaitas,li
121,Abhang::N,šlaitas,skråning
122,Abhang::N,nuokalnė,li
123,Abhang::N,nuokalnė,skråning
124,Quelle::N,versmė,kilde
125,Quelle::N,šaltinis,kilde
126,Bach::N,upelis,bekk
127,Fluss::N,upė,elv
128,Ufer::N,krantas,bredd
129,Küste::N,pajūris,kyst
130,Festland::N,sausuma,fastland
131,Meer::N,jūra,hav
132,Bucht::N,įlanka,bukt
133,Bucht::N,užutekis,bukt
134,Insel::N,sala,øy
135,Blume::N,gėlė,blomst
136,Gras::N,žolė,gress
137,Wurzel::N,šaknis,rot
138,Baum::N,medis,tre
139,Stamm::N,kamienas,stamme
140,Rinde::N,žievė,bark
141,Ast::N,šaka,gren
142,Zweig::N,šakelė,kvist
143,Blatt::N,lapas,blad
144,Birke::N,beržas,bjørk
145,Kiefer[Baum]::N,pušis,furu
146,Weide[Baum]::N,karklas,selje
147,Weide[Baum]::N,karklas,piletre
148,Tanne::N,eglė,gran
149,Tanne::N,kėnis,gran
150,Horn::N,ragas,horn
151,Feder::N,plunksna,fjær
152,Fell::N,kailis,skinn
153,Flügel::N,sparnas,vinge
154,Klaue::N,kanopa,klauv
155,Kralle::N,nagas,klo
156,Schwanz::N,uodega,hale
157,Ei::N,kiaušinis,egg
158,Nest::N,gūžta,rede
159,Nest::N,lizdas,rede
160,Bau::N,ola,hi
161,Tier::N,gyvūnas,dyr
162,Herde::N,banda,flokk
163,Herde::N,kaimenė,flokk
164,Kuh::N,karvė,ku
165,Bulle::N,bulius,tyr
166,Pferd::N,arklys,hest
167,Schaf::N,avis,får
168,Schwein::N,kiaulė,gris
169,Hund::N,šuo,hund
170,Katze::N,katė,katt
171,Bär::N,lokys,bjørn
172,Eichhörnchen::N,voveraitė,ekorn
173,Elch::N,briedis,elg
174,Fuchs::N,lapė,rev
175,Hase::N,kiškas,hare
176,Maus::N,pelė,mus
177,Wolf::N,vilkas,ulv
178,Wolf::N,vilkas,varg
179,Vogel::N,paukštis,fugl
180,Schwarm::N,spiečius,sverm
181,Huhn::N,višta,høne
182,Hahn::N,gaidys,hane
183,Gans::N,žąsis,gås
184,Adler::N,erelis,ørn
185,Ente::N,antis,and
186,Eule::N,pelėda,ugle
187,Kranich::N,gervė,trane
188,Krähe::N,varna,kråke
189,Kuckuck::N,gegužė,gjøk
190,Schwan::N,gulbė,svane
191,Fisch::N,žuvis,fisk
192,Barsch::N,ešerys,abbor
193,Hecht::N,lydeka,gjedde
194,Schlange[Tier]::N,gyvatė,orm
195,Schlange[Tier]::N,gyvatė,slange
196,Wurm::N,kirmėlė,orm
197,Wurm::N,kirmėlė,mark
198,Spinne::N,voras,edderkopp
199,Ameise::N,skruzdė,maur
200,Laus::N,utėlė,lus
201,Mücke::N,uodas,mygg
202,Fliege::N,musė,flue
203,Schmetterling::N,drugys,sommerfugl
204,Schmetterling::N,peteliškė,sommerfugl
205,Beere::N,uoga,bær
206,Apfel::N,obuolys,eple
207,Pilz::N,grybas,sopp
208,Zwiebel::N,svogūnas,løk
209,Saat::N,sėkla,sæd
210,Korn::N,grūdai,korn
211,Heu::N,šienas,høy
212,Schale::N,žievelė,skall
213,Grube::N,duobė,grop
214,Falle::N,pinklės,felle
215,Falle::N,žabangai,felle
216,Schlinge::N,kilpa,snare
217,Spur::N,vėžė,spor
218,Spur::N,pėdos,spor
219,Spur::N,pėdsakas,spor
220,Asche::N,pelenai,aske
221,Dreck::N,purvas,møkk
222,Dreck::N,purvas,skitt
223,Eisen::N,geležis,jern
224,Gold::N,auksas,gull
225,Silber::N,sidabras,sølv
226,Kohle::N,anglis,kol
227,Kohle::N,anglis,kull
228,Glas::N,stiklas,glass
229,Lehm::N,molis,leire
230,Sand::N,smėlis,sand
231,Mensch::N,žmogus,menneske
232,Mann::N,vyras,mann
233,Mann::N,vyriškis,mann
234,Frau::N,moteris,kvinne
235,Kind::N,vaikas,barn
236,Junge::N,vaikinas,gutt
237,Junge::N,berniukas,gutt
238,Mädchen::N,mergytė,pike
239,Mädchen::N,mergytė,jente
240,Mädchen::N,mergaitė,pike
241,Mädchen::N,mergaitė,jente
242,Familie::N,šeima,familie
243,Großvater::N,senelis,bestefar
244,Großmutter::N,senelė,bestemor
245,Eltern::N,tėvai,foreldre
246,Vater::N,tėvas,far
247,Mutter::N,motina,mor
248,Sohn::N,sūnus,sønn
249,Tochter::N,duktė,datter
250,Bruder::N,brolis,bror
251,Schwester::N,sesuo,søster
252,Onkel::N,dėdė,onkel
253,Tante::N,teta,tante
254,Ehemann::N,vyras,ektemann
255,Ehefrau::N,žmona,hustru
256,Freude::N,džiaugsmas,glede
257,Gelächter::N,juokas,latter
258,Glück::N,laimė,lykke
259,Kummer::N,vargas,sorg
260,Kummer::N,rūpestis,sorg
261,Wunsch::N,troškimas,ønske
262,Wunsch::N,pageidavimas,ønske
263,Lust::N,noras,lyst
264,Lust::N,geidulys,lyst
265,Geist::N,dvasia,ånd
266,Gedanke::N,mintis,tanke
267,Gedächtnis::N,atmintis,minne
268,Gedächtnis::N,atmintis,hukommelse
269,Verstand::N,protas,forstand
270,Sinn::N,prasmė,mening
271,Sinn::N,prasmė,betydning
272,Grund::N,priežastis,grunn
273,Wahrheit::N,tiesa,sannhet
274,Wahrheit::N,teisybė,sannhet
275,Gespräch::N,pokalbis,samtale
276,Märchen::N,pasaka,eventyr
277,Erzählung::N,apsakymas,fortelling
278,Erzählung::N,pasakojimas,fortelling
279,Nachricht::N,žinia,melding
280,Neuigkeit::N,naujiena,nyhet
281,Name::N,vardas,navn
282,Rätsel::N,mįslė,gåte
283,Rede::N,kalba,tale
284,Sprache::N,kalba,språk
285,Stimme::N,balsas,stemme
286,Wort::N,žodis,ord
287,Zeichen::N,žymė,tegn
288,Zeichen::N,ženklas,tegn
289,Ruf::N,šauksmas,rop
290,Lärm::N,triukšmas,bråk
291,Laut::N,garsas,lyd
292,Ton::N,tonas,tone
293,Ton::N,garsas,tone
294,Lied::N,daina,vise
295,Lied::N,giesmė,vise
296,Ruhe::N,ramybė,ro
297,Ruhe::N,ramumas,ro
298,Leute::N,žmonės,folk
299,Volk::N,tauta,folk
300,Arbeit::N,darbas,arbeid
301,Arbeit::N,triūsas,arbeid
302,Gast::N,svečias,gjest
303,Geschenk::N,dovana,gave
304,Spiel::N,žaismas,lek
305,Spiel::N,žaismas,spill
306,Spiel::N,žaidimas,lek
307,Spiel::N,žaidimas,spill
308,Gesellschaft::N,draugija,selskap
309,Gesellschaft::N,kompanija,selskap
310,Hilfe::N,pagalba,hjelp
311,Freund::N,draugas,venn
312,Freund::N,bičiulis,venn
313,Kamerad::N,draugas,kamerat
314,Angelegenheit::N,dalykas,sak
315,Angelegenheit::N,dalykas,anliggende
316,Angelegenheit::N,reikalas,sak
317,Angelegenheit::N,reikalas,anliggende
318,Anzahl::N,kiekis,antall
319,Anzahl::N,skaičius,antall
320,Art::N,rūšis,art
321,Art::N,rūšis,slag
322,Stück::N,gabalas,stykke
323,Teil::N,dalis,del
324,Hälfte::N,pusė,halvdel
325,Kreis::N,ratas,ring
326,Kreis::N,ratas,sirkel
327,Kreis::N,apskritis,ring
328,Kreis::N,apskritis,sirkel
329,Kreis::N,apskritimas,ring
330,Kreis::N,apskritimas,sirkel
331,Kreuz::N,kryžius,kors
332,Kreuz::N,kryžius,kryss
333,Linie::N,linija,linje
334,Strich::N,brėžis,strek
335,Strich::N,brūkšnys,strek
336,Abstand::N,atstumas,avstand
337,Entfernung::N,atstumas,avstand
338,Gegend::N,vietovė,strøk
339,Platz::N,vieta,plass
340,Ort::N,vieta,sted
341,Ort::N,vietovė,sted
342,Seite::N,pusė,side
343,Seite::N,šonas,side
344,Mitte::N,vidurys,midte
345,Gegenstand::N,dalykas,gjenstand
346,Sache::N,daiktas,sak
347,Rand::N,kraštas,rand
348,Rand::N,pakraštys,rand
349,Kante::N,kraštas,kant
350,Ecke::N,kertė,hjørne
351,Ecke::N,kampas,hjørne
352,Spitze::N,priekis,spiss
353,Spitze::N,priešakys,spiss
354,Ende::N,galas,ende
355,Loch::N,skylė,hull
356,Winkel::N,kampas,vinkel
357,Winkel::N,kampelis,vinkel
358,Muster::N,raštas,mønster
359,Größe::N,dydis,størrelse
360,Größe::N,didumas,størrelse
361,Länge::N,ilgis,lengde
362,Länge::N,ilgumas,lengde
363,Höhe::N,aukštis,høyde
364,Höhe::N,aukštuma,høyde
365,Gewicht::N,svoris,vekt
366,Gewicht::N,svarstis,vekt
367,Menge::N,kiekis,mengde
368,Menge::N,daugybė,mengde
369,Haufen::N,krūva,haug
370,Haufen::N,krūva,bunke
371,Haufen::N,šūsnis,haug
372,Haufen::N,šūsnis,bunke
373,Reihe::N,greta,rekke
374,Boot::N,valtis,båt
375,Boot::N,laivelis,båt
376,Ruder::N,irklas,åre
377,Schlitten::N,rogės,slede
378,Schlitten::N,rogės,kjelke
379,Schlitten::N,rogutės,slede
380,Schlitten::N,rogutės,kjelke
381,Ski::N,slidė,ski
382,Lagerfeuer::N,laužas,leirbål
383,Last::N,našta,bør
384,Last::N,našta,last
385,Last::N,nešulys,bør
386,Last::N,nešulys,last
387,Gang::N,eisena,gang
388,Schritt::N,žingsnis,steg
389,Schritt::N,žingsnis,skritt
390,Norden::N,šiaurė,nord
391,Norden::N,žiemiai,nord
392,Süden::N,pietūs,sør
393,Westen::N,vakarai,vest
394,Osten::N,rytai,øst
395,Holz::N,mediena,tre
396,Brett::N,lenta,fjøl
397,Brett::N,lenta,brett
398,Platte::N,plokštė,plate
399,Stütze::N,atrama,støtte
400,Stütze::N,atspara,støtte
401,Stange::N,lazda,stang
402,Stange::N,kartis,stang
403,Stock::N,lazda,pinne
404,Stab::N,kartis,stav
405,Stab::N,kartis,kjepp
406,Rohr::N,vamzdis,rør
407,Haus::N,namas,hus
408,Heim::N,namai,hjem
409,Ofen::N,krosnis,ovn
410,Fußboden::N,grindys,gulv
411,Tisch::N,stalas,bord
412,Stuhl::N,kėdė,stol
413,Wiege::N,lopšys,vogge
414,Bett::N,lova,seng
415,Bett::N,patalai,seng
416,Regal::N,lentyna,reol
417,Regal::N,lentyna,hylle
418,Kiste::N,dėžė,kasse
419,Fenster::N,langas,vindu
420,Tür::N,durys,dør
421,Tor::N,vartai,port
422,Zaun::N,tvora,gjerde
423,Dach::N,stogas,tak
424,Leiter::N,kopėčios,stige
425,Besen::N,šluota,kost
426,Spaten::N,lopeta,spade
427,Spaten::N,kastuvas,spade
428,Schaufel::N,semtuvas,skuffe
429,Gabel::N,šakutė,gaffel
430,Löffel::N,šaukštas,skje
431,Messer::N,peilis,kniv
432,Nagel::N,vinis,spiker
433,Netz::N,tinklas,nett
434,Haken::N,vagis,krok
435,Haken::N,kablys,krok
436,Griff::N,kotas,tak
437,Griff::N,kotas,håndtak
438,Griff::N,rankena,tak
439,Griff::N,rankena,håndtak
440,Schloss::N,spyna,lås
441,Schloss::N,užraktas,lås
442,Bild::N,paveikslas,bilde
443,Figur::N,figūra,figur
444,Puppe::N,lėlė,dukke
445,Beutel::N,krepšys,pose
446,Beutel::N,maišelis,pose
447,Bündel::N,ryšulys,bylt
448,Tasche::N,krepšelis,veske
449,Eimer::N,kibiras,bøtte
450,Deckel::N,dangtis,lokk
451,Geschirr::N,indai,kjøkkentøy
452,Sack::N,maišas,sekk
453,Tasse::N,puodukas,kopp
454,Topf::N,puodas,gryte
455,Kessel::N,katilas,kjele
456,Essen::N,valgis,mål
457,Nahrung::N,penas,mat
458,Nahrung::N,penas,næring
459,Nahrung::N,maistas,mat
460,Nahrung::N,maistas,næring
461,Speise::N,patiekalas,matrett
462,Fleisch::N,mėsa,kjøtt
463,Getreide::N,javai,korn
464,Brei::N,košė,grøt
465,Brot::N,duona,brød
466,Scheibe::N,riekė,skive
467,Fett::N,taukai,fett
468,Fett::N,riebalai,fett
469,Butter::N,sviestas,smør
470,Öl::N,aliejus,olje
471,Salz::N,druska,salt
472,Suppe::N,sriuba,suppe
473,Honig::N,medus,honning
474,Milch::N,pienas,melk
475,Tee::N,arbata,te
476,Leder::N,oda,lær
477,Leder::N,oda,skinn
478,Wolle::N,vilna,ull
479,Stoff::N,audeklas,tøy
480,Stoff::N,audeklas,stoff
481,Nadel::N,adata,nål
482,Faden::N,gija,tråd
483,Faden::N,siūlas,tråd
484,Knopf::N,saga,knapp
485,Knoten::N,mazgas,knute
486,Farbe::N,dažai,farge
487,Kleidung::N,rūbai,påkledning
488,Kleidung::N,drabužiai,påkledning
489,Hemd::N,marškiniai,skjorte
490,Kragen::N,apykaklė,krage
491,Ärmel::N,rankovė,erme
492,Hose::N,kelnės,bukse
493,Gürtel::N,juosta,belte
494,Gürtel::N,diržas,belte
495,Mütze::N,kepurė,lue
496,Schuh::N,batas,sko
497,Stiefel::N,auliniai batai,støvel
498,Ring::N,žiedas,ring
499,Band::N,kaspinas,band
500,Kamm::N,šukos,kam
501,Spiegel::N,veidrodis,speil
502,Riemen::N,diržas,rem
503,Schnur::N,virvė,snor
504,Leine::N,pavadėlis,line
505,Decke::N,antklodė,teppe
506,Kissen::N,pagalvė,pute
507,Kissen::N,priegalvis,pute
508,Tuch::N,skarelė,tøy
509,Handtuch::N,rankšluostis,håndkle
510,Kraft::N,jėga,kraft
511,Stärke::N,stiprumas,styrke
512,Gesundheit::N,sveikata,helse
513,Gesundheit::N,sveikata,sunnhet
514,Krankheit::N,liga,syke
515,Krankheit::N,liga,sykdom
516,Schmerz::N,skausmas,smerte
517,Wunde::N,žaizda,sår
518,Fieber::N,karštis,feber
519,Arznei::N,vaistas,medisin
520,Arznei::N,vaistas,legemiddel
521,Brücke::N,tiltas,bro
522,Brunnen::N,šulinys,brønn
523,Weide::N,ganykla,beite
524,Weide::N,gluosnis,beite
525,Pfad::N,takas,sti
526,Weg::N,kelias,vei
527,Straße::N,gatvė,gate
528,Dorf::N,kaimas,landsby
529,Dorf::N,sodžius,landsby
530,Stadt::N,miestas,by
531,Brief::N,laiškas,brev
532,Buch::N,knyga,bok
533,Buchstabe::N,raidė,bokstav
534,Zeitung::N,laikraštis,avis
535,Leben::N,gyvybė,liv
536,Leben::N,gyvenimas,liv
537,Tod::N,mirtis,død
538,Grab::N,kapas,grav
539,Kirche::N,bažnyčia,kirke
540,Sünde::N,nuodėmė,synd
541,Sünde::N,nusidėjimas,synd
542,Gott::N,dievas,gud
543,Arbeiter::N,darbininkas,arbeider
544,Chef::N,šefas,sjef
545,Chef::N,vadovas,sjef
546,Chef::N,viršininkas,sjef
547,Meister::N,meistras,mester
548,Arzt::N,gydytojas,lege
549,Lehrer::N,mokytojas,lærer
550,Geld::N,pinigai,penger
551,Geschäft::N,biznis,forretning
552,Laden::N,krautuvė,butikk
553,Laden::N,parduotuvė,butikk
554,Preis::N,kaina,pris
555,Ware::N,prekė,vare
556,Nutzen::N,nauda,nytte
557,Nutzen::N,pelnas,nytte
558,Reichtum::N,turtas,rikdom
559,Welt::N,pasaulis,verden
560,Land::N,žemė,land
561,Land::N,šalis,land
562,Staat::N,valstija,stat
563,König::N,karalius,konge
564,Macht::N,galia,makt
565,Macht::N,valdžia,makt
566,Grenze::N,riba,grense
567,Grenze::N,siena,grense
568,Krieg::N,karas,krig
569,Feind::N,priešas,fiende
570,Gewalt::N,jėga,vold
571,Gewalt::N,smurtas,vold
572,Gewalt::N,prievarta,vold
573,Kampf::N,kova,kamp
574,Bogen[Waffe]::N,lankas,bue
575,Pfeil::N,strėlė,pil
576,Gewehr::N,šautuvas,gevær
577,Fehler::N,klaida,feil
578,Lüge::N,melas,løgn
579,Schaden::N,nuostolis,skade
580,Schaden::N,apgadinimas,skade
581,Unglück::N,nelaimė,uhell
582,Schuld::N,kaltė,skyld
583,Alter::N,amžius,alder
584,Schluss::N,pabaiga,slutt
585,Zeit::N,laikas,tid
586,Tag::N,diena,dag
587,Morgen::N,rytas,morgen
588,Mittag::N,vidurdienis,middag
589,Abend::N,vakaras,aften
590,Nacht::N,naktis,natt
591,Woche::N,savaitė,uke
592,Monat::N,mėnuo,måned
593,Jahr::N,metai,år
594,Frühling::N,pavasaris,vår
595,Sommer::N,vasara,sommer
596,Herbst::N,ruduo,høst
597,Winter::N,žiema,vinter
598,Januar::N,sausis,januar
599,Februar::N,vasaris,februar
600,März::N,kovas,mars
601,April::N,balandis,april
602,Mai::N,gegužė,mai
603,Juni::N,birželis,juni
604,Juli::N,liepa,juli
605,August::N,rugpjūtis,august
606,September::N,rugsėjis,september
607,Oktober::N,spalis,oktober
608,November::N,lapkritis,november
609,Dezember::N,gruodis,desember
610,Montag::N,pirmadienis,mandag
611,Dienstag::N,antradienis,tirsdag
612,Mittwoch::N,trečiadienis,onsdag
613,Donnerstag::N,ketvirtadienis,torsdag
614,Freitag::N,penktadienis,fredag
615,Samstag::N,šeštadienis,lørdag
616,Sonntag::N,sekmadienis,søndag
617,groß::A,didis,stor
618,groß::A,didelis,stor
619,klein::A,mažas,liten
620,lang::A,ilgas,lang
621,kurz::A,trumpas,kort
622,breit::A,platus,bred
623,schmal::A,smulkus,smal
624,dicht::A,tankus,tett
625,dick[Gegenstand]::A,storas,tykk
626,dünn::A,plonas,tynn
627,fein::A,smulkus,fin
628,fest::A,kietas,fast
629,fest::A,tvirtas,fast
630,flach::A,lėkštas,flat
631,flach::A,plokščias,flat
632,glatt::A,slidus,glatt
633,hart::A,kietas,hard
634,weich::A,minkštas,myk
635,weich::A,minkštas,bløt
636,rund::A,apvalus,rund
637,rund::A,apskritas,rund
638,spitz::A,aštrus,spiss
639,spitz::A,smailus,spiss
640,scharf::A,aštrus,kvass
641,stumpf::A,bukas,stubb
642,stumpf::A,atšipęs,stubb
643,schwer::A,sunkus,tung
644,schön::A,gražus,pen
645,schön::A,gražus,vakker
646,heiß::A,karštas,het
647,warm::A,šiltas,varm
648,kalt::A,šaltas,kald
649,kühl::A,vėsus,kjølig
650,kühl::A,bejausmis,kjølig
651,frisch::A,šviežias,fersk
652,feucht::A,drėgnas,fuktig
653,nass::A,šlapias,våt
654,trocken::A,sausas,tørr
655,voll::A,pilnas,full
656,leer::A,tuščias,tom
657,offen::A,atviras,åpen
658,geschlossen::A,uždaras,lukket
659,geschlossen::A,uždarytas,lukket
660,sauber::A,švarus,ren
661,schmutzig::A,nešvarus,skitten
662,schmutzig::A,purvinas,skitten
663,roh::A,žalias,rå
664,reif::A,prinokęs,moden
665,reif::A,pribrendęs,moden
666,lecker::A,gardus,lekker
667,süß::A,saldus,søt
668,bitter::A,kartus,besk
669,bitter::A,kartus,bitter
670,sauer::A,gižus,sur
671,sauer::A,rūgštus,sur
672,hell::A,šviesus,lys
673,hell::A,skaistus,lys
674,dunkel::A,tamsus,mørk
675,schwarz::A,juodas,svart
676,weiß::A,baltas,hvit
677,rot::A,raudonas,rød
678,gelb::A,geltonas,gul
679,blau::A,mėlynas,blå
680,grün::A,žalias,grønn
681,grau::A,pilkas,grå
682,bunt::A,margas,broket
683,bunt::A,spalvotas,broket
684,billig::A,pigus,billig
685,teuer::A,brangus,dyr
686,wertvoll::A,vertingas,verdifull
687,blind::A,aklas,blind
688,taub::A,kurčias,døv
689,kräftig::A,stiprus,kraftig
690,stark::A,stiprus,sterk
691,schwach::A,silpnas,svak
692,fett::A,riebus,fet
693,schlank::A,laibas,slank
694,schlank::A,lieknas,slank
695,hübsch::A,gražus,pen
696,böse::A,blogas,slem
697,dumm::A,paikas,dum
698,dumm::A,kvailas,dum
699,faul::A,tingus,lat
700,faul::A,tingus,doven
701,fleißig::A,stropus,flittig
702,fleißig::A,kruopštus,flittig
703,geizig::A,šykštus,gjerrig
704,klug::A,sumanus,klok
705,klug::A,protingas,klok
706,geschickt::A,apsukrus,hendig
707,geschickt::A,apsukrus,skikket
708,lieb::A,mielas,kjær
709,lieb::A,mielas,snill
710,lustig::A,smagus,morsom
711,lustig::A,linksmas,morsom
712,sanft::A,švelnus,blid
713,sanft::A,minkštas,blid
714,hungrig::A,alkanas,sulten
715,krank::A,ligotas,syk
716,krank::A,sergantis,syk
717,nackt::A,nuogas,naken
718,traurig::A,liūdnas,sørgmodig
719,lebendig::A,gyvas,levende
720,gut::A,geras,god
721,schlecht::A,blogas,dårlig
722,schlecht::A,prastas,dårlig
723,richtig::A,tikras,riktig
724,richtig::A,teisingas,riktig
725,schlimm::A,blogas,slem
726,schlimm::A,prastas,slem
727,wahr::A,tikras,sann
728,alt::A,senas,gammel
729,neu::A,naujas,ny
730,ehemalig::A,buvęs,forhenværende
731,alt[Lebewesen]::A,pagyvenęs,gammel
732,jung::A,jaunas,ung
733,arm::A,neturtingas,fattig
734,reich::A,turtingas,rik
735,bekannt::A,žinomas,kjent
736,bekannt::A,pažįstamas,kjent
737,berühmt::A,žymus,berømt
738,berühmt::A,garsus,berømt
739,fremd::A,svetimas,fremmed
740,verschieden::A,įvairus,forskjellig
741,nah::A,artimas,nær
742,fern::A,tolimas,fjern
743,linker::A,kairys,venstre
744,rechter::A,dešinys,høyre
745,anderer::A,kitas,annen
746,erster::A,pirmas,første
747,zweiter::A,antras,annen
748,dritter::A,trečias,tredje
749,letzter::A,paskutinis,sist
750,allein::ADV,vienas,alene
751,auf einmal::ADV,iš karto,med ett
752,zusammen::ADV,kartu,sammen
753,zusammen::ADV,drauge,sammen
754,lange::ADV,ilgai,lenge
755,plötzlich::ADV,staiga,plutselig
756,sofort::ADV,tuojau,straks
757,später::ADV,vėliau,senere
758,später::ADV,paskiau,senere
759,jetzt::ADV,dabãr,nå
760,heute::ADV,šiandien,i dag
761,morgen::ADV,rytoj,i morgen
762,bald::ADV,greitai,snart
763,bald::ADV,netrukus,snart
764,dann::ADV,po to,så
765,gestern::ADV,vakar,i går
766,einst::ADV,kadaise,engang
767,einst::ADV,kitą kartą,engang
768,damals::ADV,anuomet,den gang
769,damals::ADV,anuokart,den gang
770,danach::ADV,po to,deretter
771,danach::ADV,paskui,deretter
772,vorher::ADV,anksčiau,før
773,vorher::ADV,anksčiau,i forveien
774,zuerst::ADV,pirma,først
775,zuerst::ADV,iš pradžių̃,først
776,einmal::ADV,kartą,en gang
777,einmal::ADV,vieną kartą,en gang
778,manchmal::ADV,kai kada,somme tider
779,oft::ADV,dažnai,ofte
780,immer::ADV,visada,alltid
781,immer::ADV,visuomet,alltid
782,niemals::ADV,niekada,aldri
783,niemals::ADV,niekuomet,aldri
784,hier::ADV,čia,her
785,hierhin::ADV,šen,hit
786,hierhin::ADV,čionai,hit
787,von hier::ADV,iš čia,herfra
788,dort::ADV,ten,der
789,dort::ADV,tenai,der
790,dorthin::ADV,ten,dit
791,dorthin::ADV,ten link,dit
792,geradeaus::ADV,tiesiai,rett fram
793,vorwärts::ADV,pirmyn,fram
794,vorwärts::ADV,pirmyn,framover
795,rückwärts::ADV,atbulai,baklengs
796,zurück::ADV,atgal,tilbake
797,unten::ADV,žemai,nede
798,unten::ADV,apačioje,nede
799,hinab::ADV,žemyn,ned
800,hinab::ADV,žemyn,nedover
801,oben::ADV,viršuj,oppe
802,oben::ADV,viršuj,ovenpå
803,hinauf::ADV,aukštyn,opp
804,hinauf::ADV,aukštyn,oppover
805,hinauf::ADV,į viršų,opp
806,hinauf::ADV,į viršų,oppover
807,überall::ADV,visur,overalt
808,nicht::ADV,ne,ikke
809,ein wenig::ADV,truputį,litt
810,kaum::ADV,vos,neppe
811,sehr::ADV,labai,svært
812,sehr::ADV,baisiai,svært
813,so::ADV,taip,så
814,noch::ADV,dar,enda
815,nur::ADV,tik,bare
816,nur::ADV,vien,bare
817,schon::ADV,jau,alt
818,schon::ADV,jau,allerede
819,wieder::ADV,vėl,igjen
