,Concept_ID,ka,ml
86,Wolke::N,ღრუბელი,മേഘം
87,Regen::N,წვიმა,മഴ
88,Schnee::N,თოვლი,മഞ്ഞ്
89,Eis::N,თოში,ഐസ്
90,Eis::N,ყინული,ഐസ്
91,Frost::N,ყინვა,മൂടൽമഞ്ഞ്
92,Kälte::N,სიცივე,തണുപ്പ്
93,Hitze::N,სიცხე,ചൂട്
94,Raureif::N,ჭირხლი,കോടമഞ്ഞ്
95,Raureif::N,თრთვილი,കോടമഞ്ഞ്
96,Regenbogen::N,ცისარტყელა,മഴവില്ല്
97,Donner::N,ქუხილი,ഇടി
98,Strömung::N,დინება,പ്രവാഹം
99,Tropfen::N,წვეთი,തുള്ളി
100,Schaum::N,ქაფი,നുര
101,Schaum::N,დორბლი,നുര
102,Schmutz::N,ჭუჭყი,അഴുക്ക്
103,Schmutz::N,ტალახი,അഴുക്ക്
104,See::N,ტბა,തടാകം
105,Sumpf::N,ჭაობი,ചതുപ്പുനിലം
106,Moor::N,ტორფნარი,പാഴ്നിലം
107,Wiese::N,ველი,പുൽത്തകിടി
108,Wiese::N,მდელო,പുൽത്തകിടി
109,Wald::N,ტყე,വനം
110,Wald::N,ტყე,കാട്
111,Hügel::N,ბორცვი,കുന്ന്
112,Anhöhe::N,მაღლობი,ഉയർന്ന ഭൂമി
113,Berg::N,მთა,പർവ്വതം
114,Gipfel::N,მწვერვალი,ഉച്ചകോടി
115,Höhle::N,მღვიმე,ഗുഹ
116,Höhle::N,გამოქვებული,ഗുഹ
117,Abhang::N,ფერდობი,ചരിവ്
118,Quelle::N,წყარო,ഉറവിടം
119,Quelle::N,სათავე,ഉറവിടം
120,Bach::N,რუ,അരുവി
121,Bach::N,ნაკადული,അരുവി
122,Fluss::N,მდინარე,നദി
123,Ufer::N,კიდე,തീരം
124,Ufer::N,ნაპირი,തീരം
125,Küste::N,ნაპირი,കടൽത്തീരം
126,Festland::N,ხმელეთი,കര
127,Meer::N,ზღვა,കടൽ
128,Bucht::N,ყურე,ഉൾക്കടല്
129,Insel::N,კუნძული,ദ്വീപ്
130,Blume::N,ყვავილი,പൂവ്
131,Gras::N,ბალახი,പുല്ല്
132,Wurzel::N,ძირი,വേര്
133,Wurzel::N,ფესვი,വേര്
134,Baum::N,ხე,മരം
135,Stamm::N,ტანი,തായ്ത്തടി
136,Rinde::N,ქერქი,പട്ട
137,Ast::N,ტოტი,ശാഖ
138,Zweig::N,შტო,ശാഖ
139,Blatt::N,ფოთოლი,ഇല
140,Birke::N,არყი,പൂവരശ്
141,Kiefer[Baum]::N,ფიჭვი,പൈൻമരം
142,Weide[Baum]::N,ტირიფი,വില്ലോ
143,Tanne::N,ნაძვი,ദേവദാരു
144,Horn::N,რქა,മൃഗത്തിൻറെ കൊമ്പ്
145,Feder::N,ფრთა,തൂവൽ
146,Fell::N,ტყავი,മൃദുരോമം
147,Flügel::N,ფრთა,ചിറക്
148,Klaue::N,კლანჭი,നഖം
149,Kralle::N,ტორი,നഖം
150,Schwanz::N,კუდი,വാൽ
151,Ei::N,კვერცხი,മുട്ട
152,Nest::N,ბუდე,കൂട്
153,Bau::N,სორო,മാളം
154,Tier::N,ნადირი,മൃഗം
155,Tier::N,ცხოველი,മൃഗം
156,Herde::N,ფარა,കൂട്ടം
157,Kuh::N,ფური,പശു
158,Kuh::N,ძროხა,പശു
159,Bulle::N,ხარი,കാള
160,Pferd::N,რაში,കുതിര
161,Pferd::N,ცხენი,കുതിര
162,Schaf::N,ცხვარი,ആട്
163,Schwein::N,ღორი,പന്നി
164,Hund::N,ძაღლი,നായ്
165,Katze::N,კატა,പൂച്ച
166,Bär::N,დათვი,കരടി
167,Eichhörnchen::N,ციყვი,അണ്ണാൻ
168,Elch::N,ცხენ-ირემი,കടമാന്
169,Fuchs::N,მელა,കുറുക്കൻ
170,Hase::N,კურდღელი,മുയൽ
171,Maus::N,თაგვი,ചുണ്ടലി
172,Wolf::N,მგელი,ചെന്നായ
173,Vogel::N,ჩიტი,പക്ഷി
174,Vogel::N,ფრინველი,പക്ഷി
175,Schwarm::N,გუნდი,കൂട്ടം
176,Huhn::N,დედალი,കോഴി
177,Hahn::N,მამალი,പൂവൻകോഴി
178,Gans::N,ბატი,അരയന്നം
179,Adler::N,არწივი,കഴുകൻ
180,Ente::N,იხვი,താറാവ്
181,Eule::N,ბუ,മൂങ്ങ
182,Kranich::N,წერო,കൊക്ക്
183,Krähe::N,ყვავი,കാക്ക
184,Kuckuck::N,გუგული,കുയിൽ
185,Schwan::N,გედი,അരയന്നം
186,Fisch::N,თევზი,മത്സ്യം
187,Barsch::N,ქორჭილა,ഒരിനം മത്സ്യം
188,Hecht::N,ქარიყლაპია,ഒരു മത്സ്യം
189,Schlange[Tier]::N,გველი,പാമ്പ്
190,Wurm::N,ჭია,വിര
191,Spinne::N,ობობა,ചിലന്തി
192,Ameise::N,ჭიანჭველა,ഉറുമ്പ്
193,Laus::N,ტილი,പേന്
194,Laus::N,მკბენარი,പേന്
195,Mücke::N,კოღო,മശകം
196,Fliege::N,ბუზი,ഈച്ച
197,Schmetterling::N,პეპელა,ചിത്രശലഭം
198,Beere::N,კენკრა,ബെറി
199,Apfel::N,ვაშლი,ആപ്പിൾ
200,Pilz::N,სოკო,കൂൺ
201,Zwiebel::N,ხახვი,സവാള
202,Saat::N,თესლი,വിത്ത്
203,Korn::N,მარცვალი,ധാന്യം
204,Heu::N,თივა,വയ്ക്കോൽ
205,Schale::N,ჩენჩო,തൊലി
206,Grube::N,ორმო,കുഴി
207,Falle::N,ხაფანგი,കെണി
208,Schlinge::N,მახე,കുടുക്ക്
209,Spur::N,კვალი,ചുവട്
210,Asche::N,ფერფლი,ചാരം
211,Dreck::N,ტალახი,അഴുക്ക്
212,Dreck::N,სიბინძურე,അഴുക്ക്
213,Eisen::N,რკინა,ഇരുമ്പ്
214,Gold::N,ოქრო,സ്വർണ്ണം
215,Silber::N,ვერცხლი,വെള്ളി
216,Kohle::N,ნახშირი,കൽക്കരി
217,Glas::N,მინა,ഗ്ലാസ്
218,Lehm::N,თიხა,കളിമണ്ണ്
219,Sand::N,ქვიშა,മണൽ
220,Mensch::N,ადამიანი,മനുഷ്യർ
221,Mann::N,კაცი,പുരുഷൻ
222,Frau::N,ქალი,സ്ത്രീ
223,Kind::N,ბავშვი,കുഞ്ഞ്
224,Junge::N,ვაჟი,ആൺകുട്ടി
225,Mädchen::N,გოგო,പെൺകുട്ടി
226,Familie::N,ოჯახი,കുടുംബം
227,Großvater::N,პაპა,അപ്പൂപ്പൻ
228,Großvater::N,ბაბუა,അപ്പൂപ്പൻ
229,Großmutter::N,ბებია,അമ്മുമ്മ
230,Großmutter::N,დიდედა,അമ്മുമ്മ
231,Eltern::N,მშობლები,മാതാപിതാക്കള്
232,Vater::N,მამა,അച്ഛൻ
233,Mutter::N,დედა,അമ്മ
234,Sohn::N,ვაჟიშვილი,മകൻ
235,Tochter::N,ქალიშვილი,മകൾ
236,Bruder::N,ძმა,ചേട്ടൻ
237,Bruder::N,ძმა,അനിയൻ
238,Schwester::N,და,ചേച്ചി
239,Schwester::N,და,അനിയത്തി
240,Onkel::N,ბიძა,അമ്മാവൻ
241,Tante::N,დეიდა,മാമി
242,Tante::N,მამიდა,മാമി
243,Ehemann::N,ქმარი,ഭർത്താവ്
244,Ehefrau::N,ცოლი,ഭാര്യ
245,Freude::N,სიხარული,ആഹ്ലാദം
246,Gelächter::N,სიცილი,ചിരിയുടെ ശബ്ദം
247,Glück::N,ბედნიერება,സന്തോഷം
248,Glück::N,ბედნიერება,സന്തുഷ്ടി
249,Kummer::N,მწუხარება,ശോകം
250,Wunsch::N,წადილი,ആഗ്രഹം
251,Wunsch::N,სურვილი,ആഗ്രഹം
252,Lust::N,წადილი,ആഗ്രഹം
253,Geist::N,სული,ചുറുചുറുക്ക്
254,Gedanke::N,ფიქრი,ചിന്ത
255,Gedächtnis::N,მეხსიერება,ഓർമ്മശക്തി
256,Verstand::N,ჭკუა,മനസ്സ്
257,Verstand::N,გონება,മനസ്സ്
258,Sinn::N,მნიშვნელობა,അർത്ഥം
259,Grund::N,მიზეზი,കാരണം
260,Wahrheit::N,სიმართლე,സത്യം
261,Wahrheit::N,ჭეშმარიტება,സത്യം
262,Gespräch::N,ბაასი,സല്ലാപം
263,Gespräch::N,საუბარი,സല്ലാപം
264,Märchen::N,არაკი,യക്ഷിക്കഥ
265,Märchen::N,ზღაპარი,യക്ഷിക്കഥ
266,Erzählung::N,თქმულება,കഥ
267,Nachricht::N,ცნობა,സന്ദേശം
268,Nachricht::N,ამბავი,സന്ദേശം
269,Neuigkeit::N,სიახლე,വാർത്ത
270,Name::N,სახელი,പേര്
271,Rätsel::N,გამოცანა,പ്രഹേളിക
272,Rede::N,სიტყვა,സംസാരം
273,Sprache::N,ენა,ഭാഷ
274,Stimme::N,ხმა,സ്വരം
275,Wort::N,სიტყვა,വാക്ക്
276,Zeichen::N,ნიშანი,സംജ്ഞ
277,Ruf::N,ძახილი,വിളി
278,Lärm::N,ხმაური,ആരവം
279,Laut::N,ხმა,ശബ്ദം
280,Laut::N,ბგერა,ശബ്ദം
281,Ton::N,ტონი,സ്വരഭേദം
282,Lied::N,სიმღერა,പാട്ട്
283,Ruhe::N,სიწყნარე,നിശ്ചലത
284,Leute::N,ადამიანები,ജനങ്ങൾ
285,Volk::N,ერი,രാഷ്ടം
286,Volk::N,ხალხი,രാഷ്ടം
287,Arbeit::N,მუშაობა,ജോലി
288,Gast::N,სტუმარი,അതിലി
289,Geschenk::N,საჩუქარი,സമ്മാനം
290,Spiel::N,თამაში,കളി
291,Gesellschaft::N,საზოგადოება,കൂട്ടായ്മ
292,Hilfe::N,შველა,സഹായം
293,Hilfe::N,დახმარება,സഹായം
294,Freund::N,მეგობარი,സുഹൃത്ത്
295,Kamerad::N,ამხანაგი,കൂട്ടാളി
296,Angelegenheit::N,საქმე,കാര്യം
297,Anzahl::N,ოდენობა,എണ്ണം
298,Art::N,სახეობა,തരം
299,Stück::N,ნატეხი,കഷണം
300,Teil::N,წილი,ഭാഗം
301,Hälfte::N,ნახევარი,പകുതി
302,Kreis::N,წრე,വൃത്തം
303,Kreuz::N,ჯვარი,കുരിശടയാളം
304,Linie::N,ხაზი,വര
305,Linie::N,ხაზი,രേഖ
306,Strich::N,შტრიხი,പക്ഷാഘാതം
307,Abstand::N,მანძილი,വിടവ്
308,Entfernung::N,სიშორე,അകലം
309,Gegend::N,არე,പ്രദേശം
310,Gegend::N,მხარე,പ്രദേശം
311,Platz::N,ფართობი,ഇടം
312,Ort::N,ადგილი,സ്ഥലം
313,Seite::N,მხარე,വശം
314,Mitte::N,შუა,മധ്യസ്ഥാനം
315,Gegenstand::N,საგანი,സാധനം
316,Sache::N,ნივთი,വസ്തു
317,Rand::N,კიდე,തൊങ്ങൽ
318,Kante::N,ნაწიბული,അറ്റം
319,Ecke::N,კუთხე,മൂല
320,Spitze::N,წვეტი,അഗ്രം
321,Ende::N,ბოლო,അവസാനം
322,Loch::N,ხვრელი,ദ്വാരം
323,Winkel::N,კუთხე,കോൺ
324,Muster::N,მოხატულობა,ക്രമം
325,Größe::N,ზომა,വലുപ്പം
326,Größe::N,სიდიდე,വലുപ്പം
327,Länge::N,სიგრძე,നീളം
328,Höhe::N,სიმაღლე,ഉയരം
329,Gewicht::N,წონა,കട്ടി
330,Menge::N,რაოდენობა,അളവ്
331,Haufen::N,გროვა,കൂമ്പാരം
332,Reihe::N,რიგი,വരി
333,Reihe::N,წყება,വരി
334,Boot::N,გემი,ബോട്ട്
335,Ruder::N,ხოფი,പങ്കായം
336,Ruder::N,ნიჩაბი,പങ്കായം
337,Schlitten::N,მარხილი,ഉരുളില്ലാവണ്ടി
338,Ski::N,თხილამური,ഹിമപാദുകം
339,Lagerfeuer::N,კოცონი,തീ
340,Last::N,ტვირთი,ഭാരം
341,Gang::N,სვლა,നടത്തം
342,Schritt::N,ბიჯი,ചുവട്
343,Norden::N,ჩრდილოეთი,വടക്ക്
344,Süden::N,სამხრეთი,തെക്ക്
345,Westen::N,დასავლეთი,പടിഞ്ഞാറ്
346,Osten::N,აღმოსავლეთი,കിഴക്ക്
347,Holz::N,ხე,തടി
348,Brett::N,დაფა,ബോർഡ്
349,Brett::N,ფიცარი,ബോർഡ്
350,Platte::N,თლილი ქვა,തകിട്
351,Stütze::N,საყრდენი,താങ്ങ്
352,Stange::N,ჭოკი,കമ്പ്
353,Stock::N,კეტი,വടി
354,Stab::N,ლატანი,കുറുവടി
355,Rohr::N,მილაკი,കുഴൽ
356,Haus::N,სახლი,വീട്
357,Heim::N,ოჯახის კერა,വീട്
358,Ofen::N,ღუმელი,സ്റ്റൌ
359,Fußboden::N,იატაკი,തറ
360,Tisch::N,სუფრა,മേശ
361,Tisch::N,მაგიდა,മേശ
362,Stuhl::N,სკამი,കസേര
363,Wiege::N,აკვანი,തൊട്ടിൽ
364,Bett::N,საწოლი,കിടക്ക
365,Bett::N,სარეცელი,കിടക്ക
366,Regal::N,თაროები,ഷെൽഫ്
367,Kiste::N,ყუთი,പെട്ടി
368,Kiste::N,სკივრი,പെട്ടി
369,Fenster::N,ფანჯარა,ജനൽ
370,Fenster::N,სარკმელი,ജനൽ
371,Tür::N,ბჭე,വാതിൽ
372,Tür::N,კარი,വാതിൽ
373,Tor::N,ჭიშკარი,കവാടം
374,Zaun::N,ღობე,വേലി
375,Zaun::N,გალავანი,വേലി
376,Dach::N,სახურავი,മേൽക്കുര
377,Leiter::N,კიბე,ഏണി
378,Besen::N,ცოცხი,ചൂല്
379,Spaten::N,ნიჩაბი,തൂമ്പ
380,Schaufel::N,ბარი,തൂമ്പ
381,Gabel::N,ჩანგალი,മുൾക്കത്തി
382,Löffel::N,კოვზი,സ്പൂൺ
383,Messer::N,დანა,കത്തി
384,Nagel::N,ლურსმანი,ആണി
385,Netz::N,ბადე,വല
386,Haken::N,კავი,കൊളുത്ത്
387,Haken::N,კაუჭი,കൊളുത്ത്
388,Griff::N,ტარი,കൈപ്പിടി
389,Schloss::N,კლიტე,പൂട്ട്
390,Schloss::N,საკეტი,പൂട്ട്
391,Bild::N,სურათი,ചിത്രം
392,Figur::N,ფიგურა,കണക്ക്
393,Puppe::N,თოჯინა,പാവ
394,Beutel::N,პარკი,ബാഗ്
395,Bündel::N,გალა,കെട്ട്
396,Bündel::N,ასხმა,കെട്ട്
397,Tasche::N,ჩანთა,ബാഗ്
398,Eimer::N,ჩამჩა,ബക്കറ്റ്
399,Deckel::N,ხუფი,ഉറ
400,Deckel::N,სარქველი,ഉറ
401,Geschirr::N,ჭურჭელი,പിഞ്ഞാണം
402,Sack::N,ტომარა,ചാക്ക്
403,Tasse::N,ფინჯანი,കപ്പ്
404,Topf::N,ქოთანი,പാത്രം
405,Kessel::N,ქვაბი,കെറ്റ്ല്
406,Essen::N,ჭამა,ആഹാരസമയം
407,Nahrung::N,საზრდო,ഭക്ഷണം
408,Nahrung::N,საკვები,ഭക്ഷണം
409,Speise::N,საჭმელი,ഡിഷ്
410,Fleisch::N,ხორცი,മാംസം
411,Getreide::N,მარცვლოვანი,ചോളം
412,Brei::N,ფაფა,കഞ്ഞി
413,Brot::N,პური,റോട്ടി
414,Scheibe::N,ნაჭერი,തുണ്ട്
415,Fett::N,ქონი,കൊഴുപ്പ്
416,Fett::N,ცხიმი,കൊഴുപ്പ്
417,Butter::N,კარაქი,വെണ്ണ
418,Öl::N,ზეთი,എണ്ണ
419,Salz::N,მარილი,ഉപ്പ്
420,Suppe::N,სუფი,സൂപ്പ്
421,Honig::N,თაფლი,തേൻ
422,Milch::N,რძე,പാൽ
423,Tee::N,ჩაი,ചായ
424,Leder::N,ტყავი,തുകൽ
425,Wolle::N,მატყლი,കമ്പിളി
426,Stoff::N,ქსოვილი,തുണി
427,Nadel::N,ნემსი,സൂചി
428,Faden::N,ძაფი,നൂല്
429,Faden::N,მკედი,നൂല്
430,Knopf::N,ღილი,ബട്ടൺ
431,Knoten::N,ნასკვი,കുരുക്ക്
432,Farbe::N,საღებავი,പെയിൻറ്
433,Kleidung::N,ტანსაცმელი,വസ്ത്രങ്ങൾ
434,Hemd::N,ხალათი,ഷർട്ട്
435,Hemd::N,პერანგი,ഷർട്ട്
436,Kragen::N,საყელო,കുപ്പായക്കഴുത്ത്
437,Ärmel::N,სახელო,കുപ്പായക്കൈ
438,Hose::N,შარვალი,ട്രൌസർ
439,Gürtel::N,ქამარი,ബെൽറ്റ്
440,Mütze::N,ქუდი,തൊപ്പി
441,Schuh::N,ფეხსაცმელი,ഷൂ
442,Stiefel::N,ჩექმა,ബൂട്ട്
443,Ring::N,ბეჭედი,മോതിരം
444,Band::N,ბაფთი,റിബൺ
445,Kamm::N,სავარცხელი,ചീപ്പ്
446,Spiegel::N,სარკე,കണ്ണാടി
447,Riemen::N,ღვედი,സ്ട്രാപ്പ്
448,Schnur::N,ლარი,ചരട്
449,Leine::N,ჯაჭვი,കെട്ടാനുള്ള തോൽവാർ
450,Decke::N,საბანი,പുതപ്പ്
451,Kissen::N,ბალიში,തലയിണ
452,Tuch::N,მაუდი,സ്കാർഫ്
453,Tuch::N,თავშალი,സ്കാർഫ്
454,Handtuch::N,ხელსახოცი,തോർത്ത്
455,Kraft::N,ძალა,ശക്തി
456,Stärke::N,ღონე,ശക്തി
457,Gesundheit::N,ჯანმრთელობა,ആരോഗ്യം
458,Krankheit::N,სენი,അസുഖം
459,Krankheit::N,ავადმყოფობა,അസുഖം
460,Schmerz::N,ტკივილი,വേദന
461,Wunde::N,იარი,മുറിവ്
462,Wunde::N,ჭრილობა,മുറിവ്
463,Fieber::N,ციება,പനി
464,Arznei::N,წამალი,മരുന്ന്
465,Brücke::N,ხიდი,പാലം
466,Brunnen::N,ჭა,കിണർ
467,Weide::N,საძოვარი,മേച്ചൽ
468,Pfad::N,ბილიკი,വഴി
469,Weg::N,გზა,വഴി
470,Straße::N,შარაგზა,റോഡ്
471,Dorf::N,დაბა,ഗ്രാമം
472,Dorf::N,სოფელი,ഗ്രാമം
473,Stadt::N,ქალაქი,നഗരം
474,Brief::N,წერილი,കത്ത്
475,Buch::N,წიგნი,പുസ്തകം
476,Buchstabe::N,ასო,അക്ഷരം
477,Zeitung::N,გაზეთი,വർത്തമാനപത്രം
478,Leben::N,სიცოცხლე,ജീവൻ
479,Tod::N,სიკვდილი,മരണം
480,Grab::N,სამარე,ശവക്കുഴി
481,Grab::N,საფლავი,ശവക്കുഴി
482,Kirche::N,ეკლესია,പള്ളി
483,Sünde::N,ცოდვა,പാപം
484,Gott::N,ღმერთი,ദൈവം
485,Arbeiter::N,მუშა,ജോലിക്കാരൻ
486,Chef::N,გამგე,മേധാവി
487,Meister::N,ოსტატი,യജമാനൻ
488,Arzt::N,ექიმი,ഡോക്ടർ
489,Arzt::N,მკურნალი,ഡോക്ടർ
490,Lehrer::N,მასწავლებელი,അധ്യാപകൻ
491,Geld::N,ფული,പണം
492,Geschäft::N,საქმე,ബിസിനസ്
493,Geschäft::N,ბიზნესი,ബിസിനസ്
494,Laden::N,დუქანი,കട
495,Laden::N,მაღაზია,കട
496,Preis::N,ფასი,വില
497,Ware::N,საქონელი,ചരക്ക്
498,Nutzen::N,ხეირი,ലാഭം
499,Reichtum::N,სიმდიდრე,ധനം
500,Welt::N,მსოფლიო,ലോകം
501,Land::N,მხარე,രാജ്യം
502,Land::N,ქვეყანა,രാജ്യം
503,Staat::N,სახელმწიფო,രാജ്യം
504,König::N,მეფე,രാജാവ്
505,Macht::N,ძლიერება,അധികാരം
506,Grenze::N,ზღვარი,അതിർത്തി
507,Krieg::N,ომი,യുദ്ധം
508,Feind::N,მტერი,ശത്രു
509,Gewalt::N,სისასტიკე,അക്രമം
510,Kampf::N,ბრძოლა,പോരാട്ടം
511,Bogen[Waffe]::N,მშვილდი,വില്ല്
512,Pfeil::N,ისარი,അമ്പ്
513,Pfeil::N,მახვილი,അമ്പ്
514,Gewehr::N,თოფი,തോക്ക്
515,Gewehr::N,შაშხანა,തോക്ക്
516,Fehler::N,შეცდომა,പിശക്
517,Lüge::N,სიცრუე,കള്ളം
518,Schaden::N,ვნება,കേടുപാട്
519,Unglück::N,ხიფათი,ദൌർഭാഗ്യം
520,Unglück::N,უბედურება,ദൌർഭാഗ്യം
521,Schuld::N,ბრალი,തെറ്റ്
522,Alter::N,ასაკი,വയസ്സ്
523,Schluss::N,ბოლო,നിഗമനം
524,Schluss::N,დასასრული,നിഗമനം
525,Zeit::N,დრო,സമയം
526,Tag::N,დღე,ദിവസം
527,Morgen::N,დილა,പ്രഭാതം
528,Mittag::N,შუადღე,ഉച്ച
529,Abend::N,საღამო,സായാഹ്നം
530,Nacht::N,ღამე,രാത്രി
531,Woche::N,კვირა,ആഴ്ച
532,Monat::N,თვე,മാസം
533,Jahr::N,წელი,വർഷം
534,Frühling::N,გაზაფხული,വസന്തം
535,Sommer::N,ზაფხული,വേനൽ
536,Herbst::N,შემოდგომა,ശരത്കാലം
537,Winter::N,ზამთარი,ശൈത്യം
538,Januar::N,იანვარი,ജനുവരി
539,Februar::N,თებერვალი,ഫെബ്രുവരി
540,März::N,მარტი,മാർച്ച്
541,April::N,აპრილი,ഏപ്രിൾ മാസം
542,Mai::N,მაისი,മെയ് മാസം
543,Juni::N,ივნისი,ജൂൺ
544,Juli::N,ივლისი,ജൂലൈ
545,August::N,აგვისტო,ആഗസ്റ്റ്
546,September::N,სექტემბერი,സെപ്തംബർ
547,Oktober::N,ოქტომბერი,ഒക്ടോബർ
548,November::N,ნოემბერი,നവംബർ
549,Dezember::N,დეკემბერი,ഡിസംബർ
550,Montag::N,ორშაბათი,തിങ്കളാഴ്ച
551,Dienstag::N,სამშაბათი,ചൊവ്വ
552,Mittwoch::N,ოთხშაბათი,ബുധനാഴ്ച
553,Donnerstag::N,ხუთშაბათი,വ്യാഴാഴ്ച
554,Freitag::N,პარასკევი,വെള്ളിയാഴ്ച
555,Samstag::N,შაბათი,ശനിയാഴ്ച
556,Sonntag::N,კვირა,ഞായറാഴ്ച
557,groß::A,დიდი,വലിയ
558,klein::A,მცირე,ചെറിയ
559,klein::A,პატარა,ചെറിയ
560,lang::A,გრძელი,നീണ്ട
561,kurz::A,მოკლე,ഹ്രസ്വമായ
562,breit::A,ფართო,വിശാലമായ
563,breit::A,განიერი,വിശാലമായ
564,schmal::A,ვიწრო,ഇടുങ്ങിയ
565,schmal::A,წვრილი,ഇടുങ്ങിയ
566,dicht::A,მჭიდრო,നിബിഡമായ
567,dick[Gegenstand]::A,სქელი,തടിച്ച
568,dünn::A,წვრილი,മെലിഞ്ഞ
569,fein::A,თხელი,നേർത്ത
570,fest::A,მყარი,ഉറപ്പുള്ള
571,flach::A,ბრტყელი,പരന്ന
572,glatt::A,გლუ,മിനുസമുള്ള
573,hart::A,მაგარი,കട്ടിയുള്ള
574,weich::A,რბილი,മൃദുവായ
575,rund::A,მრგვალი,വട്ടത്തിലുള്ള
576,spitz::A,წვეტიანი,മുനയുള്ള
577,scharf::A,მჭრელი,മൂർച്ചയുള്ള
578,stumpf::A,ბლაგვი,തുറന്നടിക്കുന്ന
579,schwer::A,მძიმე,ഭാരമുള്ള
580,schön::A,ლამაზი,മനോഹരമായ
581,heiß::A,ცხელი,ചൂടുള്ള
582,warm::A,თბილი,ചൂടുള്ള
583,kalt::A,ცივი,തണുത്ത
584,kühl::A,გრილი,തണുപ്പുള്ള
585,frisch::A,სუფთა,ശുദ്ധമായ
586,feucht::A,ნოტიო,ഈറനുള്ള
587,nass::A,სველი,നനഞ്ഞ
588,trocken::A,მშრალი,വരണ്ട
589,voll::A,სავსე,നിറയെ
590,leer::A,ცარიელი,ഒഴിഞ്ഞ
591,offen::A,ღია,തുറന്ന
592,offen::A,გაშლილი,തുറന്ന
