,Concept_ID,ml,ps
139,Feder::N,തൂവൽ,بڼکه
140,Fell::N,മൃദുരോമം,پوستکی
141,Flügel::N,ചിറക്,وزر
142,Klaue::N,നഖം,پنجه
143,Klaue::N,നഖം,منګول
144,Kralle::N,നഖം,پنجه
145,Kralle::N,നഖം,منګول
146,Schwanz::N,വാൽ,لکۍ
147,Ei::N,മുട്ട,وۍ
148,Ei::N,മുട്ട,هګۍ
149,Nest::N,കൂട്,جاله
150,Bau::N,മാളം,کاز
151,Tier::N,മൃഗം,ژوی
152,Tier::N,മൃഗം,حیوان
153,Herde::N,കൂട്ടം,رمه
154,Herde::N,കൂട്ടം,غېله
155,Kuh::N,പശു,غوا
156,Bulle::N,കാള,غوئی
157,Pferd::N,കുതിര,آس
158,Schaf::N,ആട്,پسه
159,Schwein::N,പന്നി,سرکوزی
160,Hund::N,നായ്,سپی
161,Katze::N,പൂച്ച,پشه
162,Bär::N,കരടി,خرس
163,Eichhörnchen::N,അണ്ണാൻ,خړ لمی
164,Elch::N,കടമാന്,ګوزن
165,Fuchs::N,കുറുക്കൻ,سپلم
166,Hase::N,മുയൽ,سوی
167,Maus::N,ചുണ്ടലി,مږک
168,Wolf::N,ചെന്നായ,لېوه
169,Vogel::N,പക്ഷി,مرغه
170,Schwarm::N,കൂട്ടം,سېل
171,Huhn::N,കോഴി,چرګه
172,Hahn::N,പൂവൻകോഴി,چرګ
173,Gans::N,അരയന്നം,بته
174,Adler::N,കഴുകൻ,عقاب
175,Ente::N,താറാവ്,ایلۍ
176,Eule::N,മൂങ്ങ,ګونګی
177,Kranich::N,കൊക്ക്,کلنګ
178,Krähe::N,കാക്ക,کارغه
179,Kuckuck::N,കുയിൽ,فاخته
180,Schwan::N,അരയന്നം,قو
181,Fisch::N,മത്സ്യം,کب
182,Fisch::N,മത്സ്യം,ماهی
183,Barsch::N,ഒരിനം മത്സ്യം,
184,Hecht::N,ഒരു മത്സ്യം,
185,Schlange[Tier]::N,പാമ്പ്,مار
186,Wurm::N,വിര,چینجی
187,Spinne::N,ചിലന്തി,غڼه
188,Spinne::N,ചിലന്തി,تارکښ
189,Ameise::N,ഉറുമ്പ്,مېږی
190,Laus::N,പേന്,سپږه
191,Mücke::N,മശകം,ماشی
192,Fliege::N,ഈച്ച,مچ
193,Schmetterling::N,ചിത്രശലഭം,پتنګ
194,Beere::N,ബെറി,مېوۍ
195,Apfel::N,ആപ്പിൾ,مڼه
196,Pilz::N,കൂൺ,خرېړی
197,Zwiebel::N,സവാള,پیاز
198,Saat::N,വിത്ത്,تخم
199,Korn::N,ധാന്യം,تخم
200,Korn::N,ധാന്യം,دانه
201,Heu::N,വയ്ക്കോൽ,بوس
202,Heu::N,വയ്ക്കോൽ,پروړه
203,Schale::N,തൊലി,پوستکی
204,Grube::N,കുഴി,کنده
205,Falle::N,കെണി,دام
206,Falle::N,കെണി,لومه
207,Schlinge::N,കുടുക്ക്,کړۍ
208,Spur::N,ചുവട്,نښه
209,Asche::N,ചാരം,آس
210,Asche::N,ചാരം,ایره
211,Dreck::N,അഴുക്ക്,ناپاکي
212,Eisen::N,ഇരുമ്പ്,اوسپنه
213,Gold::N,സ്വർണ്ണം,سره زر
214,Silber::N,വെള്ളി,نقره
215,Silber::N,വെള്ളി,سپین زر
216,Kohle::N,കൽക്കരി,سکور
217,Kohle::N,കൽക്കരി,سکاره
218,Glas::N,ഗ്ലാസ്,ښيښه
219,Lehm::N,കളിമണ്ണ്,خټه
220,Sand::N,മണൽ,شګه
221,Mensch::N,മനുഷ്യർ,انسان
222,Mann::N,പുരുഷൻ,سړی
223,Mann::N,പുരുഷൻ,نارینه
224,Frau::N,സ്ത്രീ,ښځه
225,Kind::N,കുഞ്ഞ്,بچی
226,Kind::N,കുഞ്ഞ്,ماشوم
227,Junge::N,ആൺകുട്ടി,هلک
228,Mädchen::N,പെൺകുട്ടി,نجلۍ
229,Familie::N,കുടുംബം,کورنۍ
230,Großvater::N,അപ്പൂപ്പൻ,بابا
231,Großmutter::N,അമ്മുമ്മ,انا
232,Eltern::N,മാതാപിതാക്കള്,مور او پلار
233,Vater::N,അച്ഛൻ,پلار
234,Mutter::N,അമ്മ,مور
235,Sohn::N,മകൻ,زوی
236,Tochter::N,മകൾ,لور
237,Bruder::N,ചേട്ടൻ,ورور
238,Bruder::N,അനിയൻ,ورور
239,Schwester::N,ചേച്ചി,خور
240,Schwester::N,അനിയത്തി,خور
241,Onkel::N,അമ്മാവൻ,تره
242,Onkel::N,അമ്മാവൻ,ماما
243,Tante::N,മാമി,خاله
244,Ehemann::N,ഭർത്താവ്,مېړه
245,Ehefrau::N,ഭാര്യ,مېرمن
246,Freude::N,ആഹ്ലാദം,خوشحالي
247,Gelächter::N,ചിരിയുടെ ശബ്ദം,خندا
248,Glück::N,സന്തോഷം,بخت
249,Glück::N,സന്തുഷ്ടി,بخت
250,Kummer::N,ശോകം,غم
251,Wunsch::N,ആഗ്രഹം,هيله
252,Wunsch::N,ആഗ്രഹം,غوښتنه
253,Lust::N,ആഗ്രഹം,شوق
254,Lust::N,ആഗ്രഹം,مینه
255,Geist::N,ചുറുചുറുക്ക്,روح
256,Gedanke::N,ചിന്ത,فکر
257,Gedächtnis::N,ഓർമ്മശക്തി,یاد
258,Gedächtnis::N,ഓർമ്മശക്തി,حافظه
259,Verstand::N,മനസ്സ്,عقل
260,Verstand::N,മനസ്സ്,شعور
261,Sinn::N,അർത്ഥം,معنی
262,Grund::N,കാരണം,علت
263,Grund::N,കാരണം,اساس
264,Wahrheit::N,സത്യം,حقیقت
265,Gespräch::N,സല്ലാപം,مرکه
266,Gespräch::N,സല്ലാപം,خبرې اترې
267,Märchen::N,യക്ഷിക്കഥ,افسانه
268,Erzählung::N,കഥ,قصه
269,Erzählung::N,കഥ,کیسه
270,Nachricht::N,സന്ദേശം,خبر
271,Neuigkeit::N,വാർത്ത,نوی خبر
272,Name::N,പേര്,نوم
273,Rätsel::N,പ്രഹേളിക,کیسۍ
274,Rätsel::N,പ്രഹേളിക,چیستان
275,Rede::N,സംസാരം,وینا
276,Sprache::N,ഭാഷ,ژبه
277,Stimme::N,സ്വരം,غږ
278,Stimme::N,സ്വരം,اواز
279,Wort::N,വാക്ക്,لغت
280,Wort::N,വാക്ക്,کلمه
281,Zeichen::N,സംജ്ഞ,نښه
282,Zeichen::N,സംജ്ഞ,اشاره
283,Ruf::N,വിളി,ږغ
284,Ruf::N,വിളി,بلنه
285,Lärm::N,ആരവം,غالمغال
286,Laut::N,ശബ്ദം,ږغ
287,Ton::N,സ്വരഭേദം,اواز
288,Lied::N,പാട്ട്,غزله
289,Lied::N,പാട്ട്,سندره
290,Ruhe::N,നിശ്ചലത,ارامي
291,Leute::N,ജനങ്ങൾ,خلک
292,Volk::N,രാഷ്ടം,ولس
293,Arbeit::N,ജോലി,کار
294,Gast::N,അതിലി,مېلمه
295,Geschenk::N,സമ്മാനം,تحفه
296,Geschenk::N,സമ്മാനം,سوغات
297,Spiel::N,കളി,لوبه
298,Gesellschaft::N,കൂട്ടായ്മ,ډله
299,Hilfe::N,സഹായം,کومک
300,Hilfe::N,സഹായം,مرسته
301,Freund::N,സുഹൃത്ത്,ملګری
302,Kamerad::N,കൂട്ടാളി,انډيوال
303,Angelegenheit::N,കാര്യം,موضوع
304,Anzahl::N,എണ്ണം,شمېر
305,Anzahl::N,എണ്ണം,تعداد
306,Art::N,തരം,ډول
307,Stück::N,കഷണം,ټوټه
308,Teil::N,ഭാഗം,برخه
309,Hälfte::N,പകുതി,نیم
310,Kreis::N,വൃത്തം,دایره
311,Kreuz::N,കുരിശടയാളം,صلیب
312,Linie::N,വര,خط
313,Linie::N,വര,لیکه
314,Linie::N,രേഖ,خط
315,Linie::N,രേഖ,لیکه
316,Strich::N,പക്ഷാഘാതം,کرښه
317,Abstand::N,വിടവ്,فاصله
318,Entfernung::N,അകലം,واټن
319,Gegend::N,പ്രദേശം,سیمه
320,Gegend::N,പ്രദേശം,منطقه
321,Platz::N,ഇടം,ځای
322,Ort::N,സ്ഥലം,ځای
323,Seite::N,വശം,مخ
324,Seite::N,വശം,اړخ
325,Mitte::N,മധ്യസ്ഥാനം,وسط
326,Mitte::N,മധ്യസ്ഥാനം,مینځ
327,Gegenstand::N,സാധനം,شی
328,Sache::N,വസ്തു,شی
329,Sache::N,വസ്തു,څيز
330,Rand::N,തൊങ്ങൽ,څنډه
331,Rand::N,തൊങ്ങൽ,کناره
332,Kante::N,അറ്റം,اړخ
333,Ecke::N,മൂല,ګوټ
334,Spitze::N,അഗ്രം,څوکه
335,Ende::N,അവസാനം,څوکه
336,Loch::N,ദ്വാരം,سوری
337,Winkel::N,കോൺ,کنج
338,Winkel::N,കോൺ,کوتی
339,Muster::N,ക്രമം,نمونه
340,Größe::N,വലുപ്പം,قد
341,Größe::N,വലുപ്പം,لويوالی
342,Länge::N,നീളം,طول
343,Länge::N,നീളം,اوږد والی
344,Höhe::N,ഉയരം,جګوالی
345,Gewicht::N,കട്ടി,وزن
346,Menge::N,അളവ്,اندازه
347,Haufen::N,കൂമ്പാരം,کوټه
348,Reihe::N,വരി,صف
349,Reihe::N,വരി,کتار
350,Boot::N,ബോട്ട്,قايق
351,Ruder::N,പങ്കായം,چپه
352,Schlitten::N,ഉരുളില്ലാവണ്ടി,ښویېدونی
353,Ski::N,ഹിമപാദുകം,سکي
354,Lagerfeuer::N,തീ,اور
355,Last::N,ഭാരം,بار
356,Last::N,ഭാരം,پېټی
357,Gang::N,നടത്തം,تګ
358,Schritt::N,ചുവട്,ګام
359,Norden::N,വടക്ക്,شمال
360,Süden::N,തെക്ക്,سوېل
361,Westen::N,പടിഞ്ഞാറ്,لوېدېځ
362,Osten::N,കിഴക്ക്,شرق
363,Osten::N,കിഴക്ക്,ختیځ
364,Holz::N,തടി,لرګی
365,Brett::N,ബോർഡ്,تخته
366,Platte::N,തകിട്,تخته
367,Stütze::N,താങ്ങ്,تکیوان
368,Stange::N,കമ്പ്,ډاګه
369,Stock::N,വടി,لرګی
370,Stab::N,കുറുവടി,چيخله
371,Rohr::N,കുഴൽ,نل
372,Haus::N,വീട്,کور
373,Heim::N,വീട്,کور
374,Ofen::N,സ്റ്റൌ,تودنۍ
375,Fußboden::N,തറ,غولی
376,Tisch::N,മേശ,مېز
377,Stuhl::N,കസേര,چوکۍ
378,Wiege::N,തൊട്ടിൽ,زانګو
379,Bett::N,കിടക്ക,کټ
380,Bett::N,കിടക്ക,چپرکټ
381,Regal::N,ഷെൽഫ്,تاخچۍ
382,Kiste::N,പെട്ടി,صندوق
383,Fenster::N,ജനൽ,کړکۍ
384,Tür::N,വാതിൽ,دروازه
385,Tor::N,കവാടം,دروازه
386,Zaun::N,വേലി,کټاره
387,Dach::N,മേൽക്കുര,بام
388,Leiter::N,ഏണി,زينه
389,Besen::N,ചൂല്,جارو
390,Spaten::N,തൂമ്പ,یوم
391,Schaufel::N,തൂമ്പ,بېلچه
392,Gabel::N,മുൾക്കത്തി,پنجه
393,Löffel::N,സ്പൂൺ,کاشوغه
394,Messer::N,കത്തി,چاقو
395,Nagel::N,ആണി,ميخ
396,Netz::N,വല,جال
397,Haken::N,കൊളുത്ത്,څنګک
398,Griff::N,കൈപ്പിടി,لاستی
399,Schloss::N,പൂട്ട്,کلپ
400,Bild::N,ചിത്രം,رسم
401,Figur::N,കണക്ക്,قدوقامت
402,Puppe::N,പാവ,ګوډۍ
403,Beutel::N,ബാഗ്,کڅوړه
404,Bündel::N,കെട്ട്,دسته
405,Tasche::N,ബാഗ്,بکس
406,Tasche::N,ബാഗ്,توبره
407,Eimer::N,ബക്കറ്റ്,سطل
408,Deckel::N,ഉറ,سرپوښ
409,Geschirr::N,പിഞ്ഞാണം,لوښی
410,Sack::N,ചാക്ക്,جوال
411,Tasse::N,കപ്പ്,پیاله
412,Topf::N,പാത്രം,دېګی
413,Kessel::N,കെറ്റ്ല്,دېګ
414,Essen::N,ആഹാരസമയം,خوراک
415,Nahrung::N,ഭക്ഷണം,خوراک
416,Speise::N,ഡിഷ്,خواړه
417,Fleisch::N,മാംസം,غوښه
418,Getreide::N,ചോളം,غله
419,Brei::N,കഞ്ഞി,اوګره
420,Brot::N,റോട്ടി,ډوډۍ
421,Scheibe::N,തുണ്ട്,مړۍ
422,Fett::N,കൊഴുപ്പ്,غوړي
423,Butter::N,വെണ്ണ,کوچ
424,Öl::N,എണ്ണ,تېل
425,Salz::N,ഉപ്പ്,مالګه
426,Suppe::N,സൂപ്പ്,شوربا
427,Honig::N,തേൻ,شات
428,Milch::N,പാൽ,شوده
429,Tee::N,ചായ,چای
430,Leder::N,തുകൽ,څرمن
431,Wolle::N,കമ്പിളി,پشم
432,Stoff::N,തുണി,ټوټه
433,Nadel::N,സൂചി,ستن
434,Faden::N,നൂല്,تار
435,Knopf::N,ബട്ടൺ,تڼۍ
436,Knopf::N,ബട്ടൺ,تکمه
437,Knoten::N,കുരുക്ക്,غوټه
438,Farbe::N,പെയിൻറ്,رنګ
439,Kleidung::N,വസ്ത്രങ്ങൾ,کالي
440,Hemd::N,ഷർട്ട്,کميس
441,Kragen::N,കുപ്പായക്കഴുത്ത്,غاړه
442,Ärmel::N,കുപ്പായക്കൈ,لستوڼی
443,Hose::N,ട്രൌസർ,پطلون
444,Gürtel::N,ബെൽറ്റ്,کمربند
445,Mütze::N,തൊപ്പി,خولۍ
446,Schuh::N,ഷൂ,بوټ
447,Stiefel::N,ബൂട്ട്,موزه
448,Ring::N,മോതിരം,ګوته
449,Band::N,റിബൺ,فيته
450,Kamm::N,ചീപ്പ്,ګمنځ
451,Spiegel::N,കണ്ണാടി,ایینه
452,Spiegel::N,കണ്ണാടി,هنداره
453,Riemen::N,സ്ട്രാപ്പ്,تسمه
454,Schnur::N,ചരട്,مزی
455,Leine::N,കെട്ടാനുള്ള തോൽവാർ,رسۍ
456,Decke::N,പുതപ്പ്,بړستن
457,Kissen::N,തലയിണ,بالښت
458,Tuch::N,സ്കാർഫ്,ټیکری
459,Handtuch::N,തോർത്ത്,دسمال
460,Kraft::N,ശക്തി,زور
461,Kraft::N,ശക്തി,توان
462,Stärke::N,ശക്തി,قوت
463,Gesundheit::N,ആരോഗ്യം,صحت
464,Gesundheit::N,ആരോഗ്യം,روغتیا
465,Krankheit::N,അസുഖം,مرض
466,Krankheit::N,അസുഖം,ناروغي
467,Schmerz::N,വേദന,درد
468,Wunde::N,മുറിവ്,ټپ
469,Wunde::N,മുറിവ്,زخم
470,Fieber::N,പനി,تبه
471,Arznei::N,മരുന്ന്,دوا
472,Arznei::N,മരുന്ന്,دارو
473,Brücke::N,പാലം,پول
474,Brunnen::N,കിണർ,څاه
475,Brunnen::N,കിണർ,کوهی
476,Weide::N,മേച്ചൽ,وله
477,Pfad::N,വഴി,تړه
478,Weg::N,വഴി,لیار
479,Straße::N,റോഡ്,سړک
480,Dorf::N,ഗ്രാമം,کلی
481,Stadt::N,നഗരം,ښار
482,Brief::N,കത്ത്,لیک
483,Brief::N,കത്ത്,مکتوب
484,Buch::N,പുസ്തകം,کتاب
485,Buchstabe::N,അക്ഷരം,حرف
486,Buchstabe::N,അക്ഷരം,توری
487,Zeitung::N,വർത്തമാനപത്രം,اخبار
488,Leben::N,ജീവൻ,ژوند
489,Tod::N,മരണം,مرګ
490,Tod::N,മരണം,مړینه
491,Grab::N,ശവക്കുഴി,قبر
492,Grab::N,ശവക്കുഴി,ډورۍ
493,Kirche::N,പള്ളി,کلیسا
494,Sünde::N,പാപം,ګناه
495,Gott::N,ദൈവം,خدای
496,Arbeiter::N,ജോലിക്കാരൻ,کاریګر
497,Chef::N,മേധാവി,آمر
498,Meister::N,യജമാനൻ,استاد
499,Arzt::N,ഡോക്ടർ,طبیب
500,Arzt::N,ഡോക്ടർ,ډاکټر
501,Lehrer::N,അധ്യാപകൻ,معلم
502,Lehrer::N,അധ്യാപകൻ,ښوونکی
503,Geld::N,പണം,پیسې
504,Geschäft::N,ബിസിനസ്,سوداګري
505,Laden::N,കട,دکان
506,Laden::N,കട,مغازه
507,Preis::N,വില,بیه
508,Ware::N,ചരക്ക്,مال
509,Nutzen::N,ലാഭം,ګټه
510,Reichtum::N,ധനം,شتمني
511,Welt::N,ലോകം,نړۍ
512,Welt::N,ലോകം,دنیا
513,Land::N,രാജ്യം,هېواد
514,Staat::N,രാജ്യം,دولت
515,König::N,രാജാവ്,باچا
516,König::N,രാജാവ്,پادشاه
517,Macht::N,അധികാരം,قدرت
518,Grenze::N,അതിർത്തി,حد
519,Grenze::N,അതിർത്തി,سرحد
520,Krieg::N,യുദ്ധം,جګړه
521,Feind::N,ശത്രു,دښمن
522,Gewalt::N,അക്രമം,زور
523,Gewalt::N,അക്രമം,تشدد
524,Kampf::N,പോരാട്ടം,جنګ
525,Kampf::N,പോരാട്ടം,مبارزه
526,Bogen[Waffe]::N,വില്ല്,لیندۍ
527,Pfeil::N,അമ്പ്,غشی
528,Gewehr::N,തോക്ക്,ټوپک
529,Fehler::N,പിശക്,خطا
530,Fehler::N,പിശക്,غلطي
531,Lüge::N,കള്ളം,دروغ
532,Schaden::N,കേടുപാട്,زیان
533,Schaden::N,കേടുപാട്,تاوان
534,Unglück::N,ദൌർഭാഗ്യം,بدبختي
535,Schuld::N,തെറ്റ്,ګناه
536,Alter::N,വയസ്സ്,منګ
537,Schluss::N,നിഗമനം,اخر
538,Zeit::N,സമയം,وخت
539,Tag::N,ദിവസം,ورځ
540,Morgen::N,പ്രഭാതം,سبا
541,Morgen::N,പ്രഭാതം,سهار
542,Mittag::N,ഉച്ച,غرمه
543,Abend::N,സായാഹ്നം,ماښام
544,Nacht::N,രാത്രി,شپه
545,Woche::N,ആഴ്ച,اونۍ
546,Monat::N,മാസം,مياشت
547,Jahr::N,വർഷം,کال
548,Frühling::N,വസന്തം,پسرلی
549,Sommer::N,വേനൽ,دوبی
550,Herbst::N,ശരത്കാലം,منی
551,Herbst::N,ശരത്കാലം,خزان
552,Winter::N,ശൈത്യം,ژمی
553,Januar::N,ജനുവരി,جنوري
554,Februar::N,ഫെബ്രുവരി,فبروري
555,März::N,മാർച്ച്,مارچ
556,April::N,ഏപ്രിൾ മാസം,اپریل
557,Mai::N,മെയ് മാസം,مې
558,Juni::N,ജൂൺ,جون
559,Juli::N,ജൂലൈ,جولای
560,August::N,ആഗസ്റ്റ്,اګست
561,September::N,സെപ്തംബർ,سپټامبر
562,Oktober::N,ഒക്ടോബർ,اکتوبر
563,November::N,നവംബർ,نومبر
564,Dezember::N,ഡിസംബർ,دسمبر
565,Montag::N,തിങ്കളാഴ്ച,دوشنبه
566,Dienstag::N,ചൊവ്വ,سه شنبه
567,Mittwoch::N,ബുധനാഴ്ച,چارشنبه
568,Donnerstag::N,വ്യാഴാഴ്ച,پنجشنبه
569,Freitag::N,വെള്ളിയാഴ്ച,جمعه
570,Samstag::N,ശനിയാഴ്ച,خالي
571,Sonntag::N,ഞായറാഴ്ച,یکشنبه
572,groß::A,വലിയ,لوی
573,klein::A,ചെറിയ,وړوکی
574,lang::A,നീണ്ട,اوړد
575,kurz::A,ഹ്രസ്വമായ,لنډ
576,breit::A,വിശാലമായ,پراخه
577,schmal::A,ഇടുങ്ങിയ,تنګ
578,dicht::A,നിബിഡമായ,ګڼ
579,dick[Gegenstand]::A,തടിച്ച,پنډ
580,dünn::A,മെലിഞ്ഞ,نری
581,fein::A,നേർത്ത,نازک
582,fest::A,ഉറപ്പുള്ള,کلک
583,fest::A,ഉറപ്പുള്ള,ټینګ
584,flach::A,പരന്ന,هوار
585,glatt::A,മിനുസമുള്ള,ښوی
586,hart::A,കട്ടിയുള്ള,کلک
587,weich::A,മൃദുവായ,نرم
588,weich::A,മൃദുവായ,پوست
589,rund::A,വട്ടത്തിലുള്ള,ګرد
590,spitz::A,മുനയുള്ള,تېره
591,scharf::A,മൂർച്ചയുള്ള,تېز
592,scharf::A,മൂർച്ചയുള്ള,تېره
593,stumpf::A,തുറന്നടിക്കുന്ന,پڅ
594,schwer::A,ഭാരമുള്ള,دروند
595,schön::A,മനോഹരമായ,ښکلی
596,heiß::A,ചൂടുള്ള,تود
597,warm::A,ചൂടുള്ള,تود
598,kalt::A,തണുത്ത,ېخ
599,kalt::A,തണുത്ത,سوړ
600,kühl::A,തണുപ്പുള്ള,ېخ
601,kühl::A,തണുപ്പുള്ള,سوړ
602,frisch::A,ശുദ്ധമായ,تازه
603,feucht::A,ഈറനുള്ള,مرطوب
604,nass::A,നനഞ്ഞ,لوند
605,trocken::A,വരണ്ട,وچ
606,voll::A,നിറയെ,ډک
607,leer::A,ഒഴിഞ്ഞ,خالی
608,offen::A,തുറന്ന,خلاص
609,offen::A,തുറന്ന,پرانیستی
610,geschlossen::A,അടച്ച,تړلی
611,sauber::A,വൃത്തിയുള്ള,پاک
612,schmutzig::A,അഴുക്കുനിറഞ്ഞ,چټل
613,roh::A,അസംസ്കൃതമായ,خام
614,reif::A,പഴുത്ത,پوخ
615,reif::A,പഴുത്ത,رسېدلی
616,lecker::A,രുചികരമായ,خوندور
617,lecker::A,രുചികരമായ,مزه دار
618,süß::A,മധുരമുള്ള,خوږ
619,süß::A,മധുരമുള്ള,شیرین
620,bitter::A,കടുത്ത,تریخ
621,sauer::A,പുളിപ്പുള്ള,ټاک
622,sauer::A,പുളിപ്പുള്ള,تريو
623,hell::A,ജ്വലിക്കുന്ന,روڼ
624,hell::A,ജ്വലിക്കുന്ന,روښان
625,dunkel::A,ഇരുണ്ട,تیاره
626,schwarz::A,കറുത്ത,تور
627,weiß::A,വെളുത്ത,سپين
628,rot::A,ചുവന്ന,سور
