,Concept_ID,zh,ro
281,Rede::N,讲话,discurs
282,Sprache::N,语言,limbă
283,Sprache::N,语言,limbaj
284,Stimme::N,声音,glas
285,Wort::N,词,cuvânt
286,Zeichen::N,标记,semn
287,Zeichen::N,标记,semnal
288,Ruf::N,呼喊,chemare
289,Lärm::N,噪音,zgomot
290,Lärm::N,噪音,tărăboi
291,Laut::N,响声,sunet
292,Ton::N,声音,ton
293,Lied::N,歌曲,cântec
294,Ruhe::N,安静,odihnă
295,Ruhe::N,安静,liniște
296,Leute::N,人们,lume
297,Leute::N,人们,oameni
298,Volk::N,人民,popor
299,Volk::N,人民,națiune
300,Arbeit::N,劳动,lucru
301,Gast::N,客人,musafir
302,Geschenk::N,礼物,dar
303,Geschenk::N,礼物,cadou
304,Spiel::N,游戏,joc
305,Gesellschaft::N,陪同,societate
306,Hilfe::N,帮助,ajutor
307,Freund::N,朋友,amic
308,Freund::N,朋友,prieten
309,Kamerad::N,同志,tovarăș
310,Angelegenheit::N,事情,afacere
311,Anzahl::N,数目,număr
312,Anzahl::N,数目,cantitate
313,Art::N,种类,fel
314,Art::N,种类,specie
315,Stück::N,块,bucată
316,Teil::N,部分,parte
317,Teil::N,部分,porție
318,Hälfte::N,一半,jumătate
319,Kreis::N,圆,cerc
320,Kreuz::N,十字架,cruce
321,Linie::N,线条,linie
322,Strich::N,划,linie
323,Strich::N,划,trăsătură
324,Abstand::N,距离,distanță
325,Abstand::N,距离,depărtare
326,Entfernung::N,距离,distanță
327,Entfernung::N,距离,depărtare
328,Gegend::N,地区,regiune
329,Platz::N,场所,loc
330,Ort::N,地点,loc
331,Seite::N,面,latură
332,Mitte::N,中间,centru
333,Gegenstand::N,物品,obiect
334,Sache::N,物,lucru
335,Sache::N,物,chestie
336,Rand::N,边,bordură
337,Kante::N,棱,muchie
338,Kante::N,棱,bordură
339,Ecke::N,角,colț
340,Spitze::N,尖,vârf
341,Spitze::N,尖,creștet
342,Ende::N,结尾,capăt
343,Loch::N,洞,gaură
344,Winkel::N,角度,colț
345,Muster::N,模型,desen
346,Größe::N,大小,mărime
347,Länge::N,长度,lungime
348,Höhe::N,高度,înălțime
349,Gewicht::N,重量,greutate
350,Menge::N,数量,cantitate
351,Haufen::N,堆,grămadă
352,Reihe::N,行,șir
353,Reihe::N,行,rând
354,Boot::N,小船,barcă
355,Boot::N,小船,luntre
356,Ruder::N,奖,vâslă
357,Ruder::N,奖,lopată
358,Schlitten::N,雪橇,sanie
359,Ski::N,雪板,schi
360,Lagerfeuer::N,营火,foc de tabără
361,Last::N,负担,povară
362,Last::N,负担,sarcină
363,Gang::N,行走,mers
364,Gang::N,行走,umblet
365,Schritt::N,步伐,pas
366,Norden::N,北,nord
367,Norden::N,北,miazănoapte
368,Süden::N,南,sud
369,Süden::N,南,miazăzi
370,Westen::N,西,apus
371,Osten::N,东,est
372,Osten::N,东,răsărit
373,Holz::N,木材,lemn
374,Brett::N,木板,scândură
375,Platte::N,平板,placă
376,Stütze::N,支架,proptea
377,Stange::N,杆,bară
378,Stange::N,杆,prăjină
379,Stock::N,棒,băț
380,Stock::N,棒,baston
381,Stab::N,棍,baston
382,Stab::N,棍,prăjină
383,Rohr::N,管子,tub
384,Rohr::N,管子,țeavă
385,Haus::N,房屋,casă
386,Heim::N,家,casă
387,Heim::N,家,cămin
388,Ofen::N,炉子,sobă
389,Fußboden::N,地板,podea
390,Fußboden::N,地板,dușumea
391,Tisch::N,桌子,masă
392,Stuhl::N,椅子,scaun
393,Wiege::N,摇蓝,leagăn
394,Bett::N,床,pat
395,Regal::N,架子,rafturi
396,Kiste::N,箱子,ladă
397,Kiste::N,箱子,cutie
398,Fenster::N,窗户,fereastră
399,Tür::N,门,ușă
400,Tor::N,大门,poartă
401,Zaun::N,篱笆,gard
402,Dach::N,屋顶,acoperiș
403,Leiter::N,梯子,scară
404,Besen::N,扫帚,mătură
405,Spaten::N,铁锹,cazma
406,Spaten::N,铁锹,hârleț
407,Schaufel::N,铁锹,lopată
408,Gabel::N,叉,furculiță
409,Löffel::N,食匙,lingură
410,Messer::N,刀,cuțit
411,Nagel::N,钉子,cui
412,Netz::N,网,plasă
413,Haken::N,钩子,cârlig
414,Griff::N,把柄,mâner
415,Schloss::N,锁,lacăt
416,Bild::N,图画,tablou
417,Bild::N,图画,imagine
418,Figur::N,人像,chip
419,Figur::N,人像,figură
420,Puppe::N,娃娃,păpușă
421,Beutel::N,袋子,pungă
422,Beutel::N,袋子,săculeț
423,Bündel::N,捆,mănunchi
424,Tasche::N,手提包,geantă
425,Eimer::N,桶,găleată
426,Deckel::N,盖子,capac
427,Geschirr::N,餐具,vase
428,Geschirr::N,餐具,tacâmuri
429,Sack::N,袋子,sac
430,Tasse::N,杯子,ceașcă
431,Topf::N,锅,oală
432,Kessel::N,水壶,cazan
433,Kessel::N,水壶,căldare
434,Essen::N,进餐,mâncare
435,Nahrung::N,食物,hrană
436,Nahrung::N,食物,aliment
437,Speise::N,菜肴,bucate
438,Speise::N,菜肴,fel de bucate
439,Fleisch::N,肉,carne
440,Getreide::N,谷物,cereale
441,Brei::N,粥,pireu
442,Brot::N,面包,pâine
443,Scheibe::N,片,felie
444,Scheibe::N,片,bucată
445,Fett::N,脂肪,untură
446,Fett::N,脂肪,grăsime
447,Butter::N,黄油,unt
448,Öl::N,油,ulei
449,Salz::N,盐,sare
450,Suppe::N,汤,supă
451,Suppe::N,汤,ciorbă
452,Honig::N,蜂蜜,miere
453,Milch::N,奶,lapte
454,Tee::N,茶,ceai
455,Leder::N,皮革,piele
456,Wolle::N,毛线,lână
457,Stoff::N,织物,stofă
458,Nadel::N,针,ac
459,Faden::N,线,ață
460,Knopf::N,纽扣,buton
461,Knoten::N,结,nod
462,Farbe::N,颜色,vopsea
463,Kleidung::N,衣服,haine
464,Kleidung::N,衣服,îmbrăcăminte
465,Hemd::N,衬衫,cămașă
466,Kragen::N,领子,guler
467,Ärmel::N,袖子,mânecă
468,Hose::N,裤子,pantaloni
469,Gürtel::N,腰带,cordon
470,Mütze::N,帽子,șapcă
471,Schuh::N,鞋,gheată
472,Stiefel::N,靴子,cizmă
473,Ring::N,戒指,inel
474,Ring::N,戒指,verigă
475,Band::N,带子,panglică
476,Band::N,带子,șiret
477,Kamm::N,梳子,pieptene
478,Spiegel::N,镜子,oglindă
479,Riemen::N,皮带,curea
480,Schnur::N,绳子,funie
481,Schnur::N,绳子,sfoară
482,Leine::N,皮带,lesă
483,Leine::N,皮带,curea
484,Decke::N,被子,pătură
485,Kissen::N,软垫,pernă
486,Tuch::N,巾,batic
487,Handtuch::N,手巾,prosop
488,Handtuch::N,手巾,ștergar
489,Kraft::N,力,forță
490,Kraft::N,力,putere
491,Stärke::N,力量,tărie
492,Stärke::N,力量,vigoare
493,Gesundheit::N,健康,sănătate
494,Krankheit::N,病,boală
495,Krankheit::N,病,maladie
496,Schmerz::N,痛,durere
497,Wunde::N,伤口,rană
498,Fieber::N,发烧,febră
499,Arznei::N,药,leac
500,Arznei::N,药,medicament
501,Brücke::N,桥,pod
502,Brücke::N,桥,punte
503,Brunnen::N,井,puț
504,Weide::N,牧场,izlaz
505,Weide::N,牧场,pășune
506,Pfad::N,小路,cărare
507,Weg::N,路,drum
508,Straße::N,街,cale
509,Straße::N,街,stradă
510,Dorf::N,村庄,sat
511,Stadt::N,城市,oraș
512,Brief::N,信,scrisoare
513,Buch::N,书,carte
514,Buchstabe::N,字母,literă
515,Buchstabe::N,字母,caracter
516,Zeitung::N,报纸,ziar
517,Zeitung::N,报纸,gazetă
518,Leben::N,生命,viață
519,Tod::N,死亡,moarte
520,Grab::N,坟墓,groapă
521,Grab::N,坟墓,mormânt
522,Kirche::N,教堂,biserică
523,Sünde::N,罪,păcat
524,Gott::N,上帝,zeu
525,Arbeiter::N,工人,muncitor
526,Chef::N,上司,șef
527,Meister::N,师傅,meșter
528,Meister::N,师傅,maestru
529,Arzt::N,医生,medic
530,Arzt::N,医生,doctor
531,Lehrer::N,教师,profesor
532,Lehrer::N,教师,învățător
533,Geld::N,钱,bani
534,Geld::N,钱,parale
535,Geschäft::N,交易,treabă
536,Geschäft::N,交易,afacere
537,Laden::N,商店,magazin
538,Laden::N,商店,prăvălie
539,Preis::N,价格,preț
540,Ware::N,商品,marfă
541,Nutzen::N,好处,folos
542,Nutzen::N,好处,profit
543,Reichtum::N,财富,avuție
544,Reichtum::N,财富,bogăție
545,Welt::N,世界,lume
546,Land::N,国家,țară
547,Staat::N,国家,stat
548,König::N,国王,rege
549,Macht::N,权力,putere
550,Macht::N,权力,putință
551,Grenze::N,边界,hotar
552,Grenze::N,边界,graniță
553,Grenze::N,边界,frontieră
554,Krieg::N,战争,război
555,Feind::N,敌人,dușman
556,Gewalt::N,暴力,violență
557,Kampf::N,战斗,luptă
558,Bogen[Waffe]::N,弓,arc
559,Pfeil::N,箭,săgeată
560,Gewehr::N,枪,armă
561,Gewehr::N,枪,pușcă
562,Fehler::N,错误,eroare
563,Fehler::N,错误,greșeală
564,Lüge::N,谎话,minciună
565,Schaden::N,损失,daună
566,Schaden::N,损失,pagubă
567,Unglück::N,不幸,nenorocire
568,Schuld::N,过错,vină
569,Alter::N,年龄,etate
570,Alter::N,年龄,vârstă
571,Schluss::N,结束,sfârșit
572,Zeit::N,时间,timp
573,Zeit::N,时间,vreme
574,Tag::N,天,zi
575,Morgen::N,早晨,dimineață
576,Mittag::N,中午,prânz
577,Mittag::N,中午,amiază
578,Abend::N,晚上,seară
