,Concept_ID,tr,fi
1165,probieren::V,tadına bakmak,maistaa
1166,riechen::V,kokusunu almak,haistaa
1167,fühlen::V,duymak,tuntea
1168,fühlen::V,hissetmek,tuntea
1169,scheinen::V,görünmek,tuntua
1170,zu sehen sein::V,görünmek,näkyä
1171,vernehmen::V,haber almak,kuulla
1172,frieren::V,üşümek,palella
1173,tun::V,etmek,tehdä
1174,tun::V,yapmak,tehdä
1175,können::V,bilmek,osata
1176,wollen::V,istemek,tahtoa
1177,anfangen::V,başlamak,ruveta
1178,anfangen::V,başlamak,aloittaa
1179,beenden::V,bitirmek,lopettaa
1180,aufhören::V,bitmek,loppua
1181,gelingen::V,başarmak,onnistua
1182,geraten::V,düşmek,sujua
1183,geraten::V,düşmek,joutua
1184,öffnen::V,açmak,avata
1185,öffnen::V,açmak,aukaista
1186,schließen::V,kapamak,sulkea
1187,stellen::V,koymak,panna
1188,stellen::V,koymak,asettaa
1189,setzen::V,koymak,panna
1190,setzen::V,koymak,istuttaa
1191,setzen::V,oturtmak,panna
1192,setzen::V,oturtmak,istuttaa
1193,legen::V,koymak,panna
1194,legen::V,koymak,asettaa
1195,legen::V,yatırmak,panna
1196,legen::V,yatırmak,asettaa
1197,berühren::V,dokunmak,koskea
1198,berühren::V,dokunmak,koskettaa
1199,verbinden::V,bağlamak,liittää
1200,verbinden::V,bağlamak,yhdistää
1201,verbinden::V,birleştirmek,liittää
1202,verbinden::V,birleştirmek,yhdistää
1203,bedecken::V,örtmek,kattaa
1204,bedecken::V,örtmek,peittää
1205,bedecken::V,kaplamak,kattaa
1206,bedecken::V,kaplamak,peittää
1207,aufhängen::V,asmak,ripustaa
1208,anzünden::V,yakmak,sytyttää
1209,anzünden::V,ateşlemek,sytyttää
1210,aufheben::V,kaldırmak,ylös nostaa
1211,aufheben::V,kaldırmak,nostaa
1212,zurücklassen::V,geride bırakmak,jättää
1213,verlieren::V,yitirmek,kadottaa
1214,verlieren::V,kaybetmek,kadottaa
1215,fallen lassen::V,düşürmek,pudottaa
1216,machen::V,yapmak,tehdä
1217,herstellen::V,yapmak,tuottaa
1218,herstellen::V,yapmak,valmistaa
1219,herstellen::V,imal etmek,tuottaa
1220,herstellen::V,imal etmek,valmistaa
1221,bauen::V,kurmak,rakentaa
1222,bauen::V,inşa etmek,rakentaa
1223,reparieren::V,onarmak,korjata
1224,reparieren::V,tamir etmek,korjata
1225,verbessern::V,düzeltmek,parantaa
1226,ändern::V,değiştirmek,muuttaa
1227,graben::V,kazmak,kaivaa
1228,beugen::V,eğmek,taivuttaa
1229,biegen::V,bükmek,taivuttaa
1230,drehen::V,çevirmek,kääntää
1231,drehen::V,döndürmek,kääntää
1232,wenden::V,çevirmek,kääntää
1233,umdrehen::V,çevirmek,kääntää
1234,heben::V,kaldırmak,nostaa
1235,heben::V,kaldırmak,kohottaa
1236,hochheben::V,yukarı kaldırmak,nostaa
1237,ergreifen::V,tutmak,tarttua
1238,ergreifen::V,yakalamak,tarttua
1239,halten::V,tutmak,pitää
1240,drücken::V,sıkmak,painaa
1241,drücken::V,sıkmak,puristaa
1242,schieben::V,itmek,työntää
1243,schieben::V,sürmek,työntää
1244,kratzen::V,kaşımak,raapia
1245,lecken::V,yalamak,nuolla
1246,beißen::V,ısırmak,purra
1247,abreißen::V,koparmak,repiä
1248,abschneiden::V,keserek ayırmak,leikata poikki
1249,abschneiden::V,keserek ayırmak,leikata
1250,binden::V,bağlamak,sitoa
1251,stecken::V,sokmak,pistää
1252,brechen::V,kırmak,murtaa
1253,klopfen::V,çalmak,koputtaa
1254,klopfen::V,çalmak,kolkuttaa
1255,hauen::V,vurmak,lyödä
1256,kleben::V,yapıştırmak,liimata
1257,reiben::V,ovmak,hieroa
1258,reiben::V,ovmak,hangata
1259,reiben::V,sürtmek,hieroa
1260,reiben::V,sürtmek,hangata
1261,streichen::V,sürmek,sivellä
1262,schleifen::V,bilemek,hioa
1263,schneiden::V,kesmek,leikata
1264,rütteln::V,sallamak,ravistaa
1265,schütteln::V,sarsmak,pudistaa
1266,schütteln::V,çalkamak,pudistaa
1267,schwenken::V,sallamak,heiluttaa
1268,schütten::V,dökmek,kaataa
1269,schütten::V,akıtmak,kaataa
1270,füllen::V,doldurmak,täyttää
1271,einwickeln::V,sarmak,kääriä
1272,tragen::V,taşımak,kantaa
1273,schleppen::V,sürüklemek,raahata
1274,ziehen::V,çekmek,vetää
1275,aufbewahren::V,saklamak,säilyttää
1276,werfen::V,atmak,viskata
1277,fangen::V,tutmak,napata
1278,fangen::V,tutmak,ottaa kiinni
1279,fangen::V,yakalamak,napata
1280,fangen::V,yakalamak,ottaa kiinni
1281,packen::V,tutmak,tarttua
1282,packen::V,yakalamak,tarttua
1283,verstecken::V,saklamak,kätkeä
1284,verstecken::V,saklamak,piilottaa
1285,teilen::V,bölmek,jakaa
1286,teilen::V,ayırmak,jakaa
1287,schicken::V,yollamak,lähettää
1288,schicken::V,göndermek,lähettää
1289,bringen::V,getirmek,viedä
1290,hinzufügen::V,katmak,lisätä
1291,hinzufügen::V,eklemek,lisätä
1292,bekommen::V,almak,saada
1293,bekommen::V,eline geçmek,saada
1294,erhalten::V,almak,saada
1295,nehmen::V,almak,ottaa
1296,wählen::V,seçmek,valita
1297,auswählen::V,seçmek,valikoida
1298,auswählen::V,ayırmak,valikoida
1299,bewahren::V,korumak,säilyttää
1300,behindern::V,engellemek,estää
1301,verderben::V,bozmak,pilata
1302,verderben::V,bozmak,turmella
1303,beschädigen::V,zedelemek,vioittaa
1304,beschädigen::V,zedelemek,vahingoittaa
1305,beschädigen::V,ziyan vermek,vioittaa
1306,beschädigen::V,ziyan vermek,vahingoittaa
1307,zerbrechen::V,kırmak,rikkoa
1308,zerreißen::V,yırtmak,repiä rikki
1309,zerreißen::V,yırtmak,repiä palasiksi
1310,zerstören::V,yıkmak,hävittää
1311,zerstören::V,tahrip etmek,hävittää
1312,verbrennen::V,yakmak,polttaa
1313,geben::V,vermek,antaa
