,Concept_ID,av,no
68,Stein::N,гьецӏо,stein
69,Boden::N,ракь,bakke
70,Erde::N,ракь,jord
71,Erde::N,дуниял,jord
72,Staub::N,хӏур,støv
73,Rauch::N,кӏкӏуй,røyk
74,Feuer::N,цӏа,ild
75,Licht::N,канлъи,lys
76,Schatten::N,рагӏад,skygge
77,Wetter::N,гьава-бакъ,vær
78,Nebel::N,гӏодобнакӏкӏ,tåke
79,Wolke::N,накӏкӏ,sky
80,Regen::N,цӏад,regn
81,Schnee::N,гӏазу,snø
82,Eis::N,цӏер,is
83,Frost::N,замгьари,frost
84,Kälte::N,квач,kulde
85,Hitze::N,багӏари,hete
86,Raureif::N,мартӏ,rimfrost
87,Regenbogen::N,нур,regnbue
88,Regenbogen::N,чамбара,regnbue
89,Donner::N,гъугъай,torden
90,Donner::N,гъугъади,torden
91,Strömung::N,чвахи,strømning
92,Tropfen::N,резел,dråpe
93,Tropfen::N,тӏинкӏ,dråpe
94,Tropfen::N,къатӏра,dråpe
95,Tropfen::N,тӏенкӏел,dråpe
96,Schaum::N,полоп,skum
97,Schmutz::N,чороклъи,søl
98,Schmutz::N,чороклъи,skitt
99,See::N,хӏор,sjø
100,Sumpf::N,хьуцӏ,sump
101,Sumpf::N,хьуцӏ,myrlende
102,Wiese::N,мегъ,eng
103,Wiese::N,гӏурдаллъи,eng
104,Wald::N,рохь,skog
105,Hügel::N,гохӏ,haug
106,Hügel::N,гохӏ,bakke
107,Anhöhe::N,сийитма,haug
108,Anhöhe::N,сийитма,bakke
109,Berg::N,мегӏер,berg
110,Berg::N,мегӏер,fjell
111,Gipfel::N,тӏогь,topp
112,Höhle::N,нохъо,hule
113,Abhang::N,лабаллъи,li
114,Abhang::N,лабаллъи,skråning
115,Quelle::N,ицц,kilde
116,Bach::N,лъар,bekk
117,Fluss::N,гӏор,elv
118,Ufer::N,рагӏал,bredd
119,Küste::N,рагӏал,kyst
120,Festland::N,ракь,fastland
121,Festland::N,ракъдаллъи,fastland
122,Meer::N,ралъад,hav
123,Bucht::N,кӏветӏ,bukt
124,Insel::N,чӏинкӏиллъи,øy
125,Blume::N,тӏегь,blomst
126,Gras::N,хер,gress
127,Wurzel::N,кьибил,rot
128,Baum::N,гъветӏ,tre
129,Stamm::N,рохти,stamme
130,Rinde::N,макъар,bark
131,Ast::N,ноцӏ,gren
132,Zweig::N,гӏаркьел,kvist
133,Blatt::N,тӏамах,blad
134,Birke::N,мах,bjørk
135,Birke::N,махигъветӏ,bjørk
136,Kiefer[Baum]::N,накӏкӏигъветӏ,furu
137,Weide[Baum]::N,рицӏцӏ,selje
138,Weide[Baum]::N,рицӏцӏ,piletre
139,Weide[Baum]::N,рицӏцӏигъветӏ,selje
140,Weide[Baum]::N,рицӏцӏигъветӏ,piletre
141,Tanne::N,ёлка,gran
142,Horn::N,лълъар,horn
143,Feder::N,хӏули,fjær
144,Fell::N,тӏом,skinn
145,Fell::N,цӏоко,skinn
146,Flügel::N,кваркьи,vinge
147,Klaue::N,галъ,klauv
148,Kralle::N,квачӏ,klo
149,Kralle::N,катиквачӏ,klo
150,Schwanz::N,рачӏ,hale
151,Ei::N,хоно,egg
152,Nest::N,бусен,rede
153,Bau::N,каратӏ,hi
154,Tier::N,хӏайван,dyr
155,Herde::N,рехъен,flokk
156,Herde::N,рехъед,flokk
157,Kuh::N,гӏака,ku
158,Bulle::N,оц,tyr
159,Pferd::N,чу,hest
160,Schaf::N,чахъу,får
161,Schwein::N,болъон,gris
162,Hund::N,гьой,hund
163,Katze::N,кету,katt
164,Bär::N,ци,bjørn
165,Eichhörnchen::N,гвангва,ekorn
166,Fuchs::N,цер,rev
167,Hase::N,гӏанкӏ,hare
168,Maus::N,гӏункӏкӏ,mus
169,Wolf::N,бацӏ,ulv
170,Wolf::N,бацӏ,varg
171,Vogel::N,хӏинчӏ,fugl
172,Schwarm::N,тӏел,sverm
173,Huhn::N,гӏанкӏу,høne
174,Hahn::N,хӏелеко,hane
175,Gans::N,хъаз,gås
176,Adler::N,цӏум,ørn
177,Ente::N,ордек,and
178,Eule::N,беццаруз,ugle
179,Kranich::N,къункъра,trane
180,Krähe::N,гъеду,kråke
181,Kuckuck::N,гагу,gjøk
182,Schwan::N,хӏанкъва,svane
183,Fisch::N,ччугӏа,fisk
184,Barsch::N,окунь,abbor
185,Hecht::N,щука,gjedde
186,Schlange[Tier]::N,борохь,orm
187,Schlange[Tier]::N,борохь,slange
188,Wurm::N,хӏапара,orm
189,Wurm::N,хӏапара,mark
190,Spinne::N,хъанхъра,edderkopp
191,Ameise::N,цӏунцӏра,maur
192,Laus::N,нацӏ,lus
193,Mücke::N,кӏкӏара,mygg
194,Fliege::N,тӏутӏ,flue
195,Schmetterling::N,кӏалкӏучӏ,sommerfugl
196,Apfel::N,гӏеч,eple
197,Pilz::N,гӏурдахӏан,sopp
198,Zwiebel::N,кӏочӏопер,løk
199,Saat::N,хьон,sæd
200,Korn::N,мугь,korn
201,Heu::N,хер,høy
202,Schale::N,хъал,skall
203,Grube::N,гвенд,grop
204,Falle::N,къор,felle
205,Falle::N,къотен,felle
206,Schlinge::N,кӏичӏ,snare
207,Spur::N,лъалкӏ,spor
208,Asche::N,рахъу,aske
209,Dreck::N,гъиз,møkk
210,Dreck::N,гъиз,skitt
211,Dreck::N,хӏарщ,møkk
212,Dreck::N,хӏарщ,skitt
213,Eisen::N,махх,jern
214,Gold::N,месед,gull
215,Silber::N,гӏарац,sølv
216,Kohle::N,тӏурччи,kol
217,Kohle::N,тӏурччи,kull
218,Glas::N,цӏер,glass
219,Lehm::N,хӏатӏ,leire
220,Sand::N,сали,sand
221,Mensch::N,чи,menneske
222,Mann::N,бихьинчи,mann
223,Frau::N,гӏадан,kvinne
224,Kind::N,лъимер,barn
225,Junge::N,вас,gutt
226,Mädchen::N,яс,pike
227,Mädchen::N,яс,jente
228,Familie::N,хъизан,familie
229,Großvater::N,кӏудада,bestefar
230,Großmutter::N,кӏодо,bestemor
231,Eltern::N,эбел-эмен,foreldre
232,Vater::N,эмен,far
233,Mutter::N,эбел,mor
234,Sohn::N,вас,sønn
235,Tochter::N,яс,datter
236,Bruder::N,вац,bror
237,Schwester::N,яц,søster
238,Onkel::N,даци,onkel
239,Tante::N,ада,tante
240,Ehemann::N,рос,ektemann
241,Ehefrau::N,чӏужу,hustru
242,Freude::N,ракӏбохи,glede
243,Gelächter::N,релъи,latter
244,Glück::N,талихӏ,lykke
245,Glück::N,талихӏ-рохел,lykke
246,Kummer::N,хӏалкъай,sorg
247,Wunsch::N,къасд,ønske
248,Lust::N,гъира,lyst
249,Geist::N,чӏанкӏ,ånd
250,Geist::N,рухӏ-жан,ånd
251,Gedanke::N,пикру,tanke
252,Verstand::N,лумалъи,forstand
253,Verstand::N,цӏодорлъи,forstand
254,Sinn::N,магӏна,mening
255,Sinn::N,магӏна,betydning
256,Grund::N,багьана,grunn
257,Wahrheit::N,ритӏухълъи,sannhet
258,Gespräch::N,накъит,samtale
259,Märchen::N,маргьа,eventyr
260,Erzählung::N,къиса,fortelling
261,Nachricht::N,хабар,melding
262,Neuigkeit::N,хабар-гӏазаб,nyhet
263,Name::N,цӏар,navn
264,Rätsel::N,бицанкӏо,gåte
265,Rede::N,речь,tale
266,Rede::N,калам,tale
267,Sprache::N,мацӏ,språk
268,Stimme::N,гьаракь,stemme
269,Wort::N,рагӏи,ord
270,Zeichen::N,ишара,tegn
271,Zeichen::N,гӏаламат,tegn
272,Ruf::N,ахӏи,rop
273,Lärm::N,хъуй,bråk
274,Lärm::N,хъуди,bråk
275,Laut::N,гьаракь,lyd
276,Laut::N,сас,lyd
277,Lied::N,кечӏ,vise
278,Ruhe::N,рахӏат,ro
279,Leute::N,гӏадамал,folk
280,Volk::N,халкъ,folk
281,Arbeit::N,хӏалтӏи,arbeid
282,Gast::N,гьобол,gjest
283,Geschenk::N,сайигъат,gave
284,Spiel::N,хӏай,lek
285,Spiel::N,хӏай,spill
286,Spiel::N,расанди,lek
287,Spiel::N,расанди,spill
288,Gesellschaft::N,жамагӏат,selskap
289,Hilfe::N,кумек,hjelp
290,Freund::N,гьудул,venn
291,Kamerad::N,гьалмагъ,kamerat
292,Angelegenheit::N,къваригӏел,sak
293,Angelegenheit::N,къваригӏел,anliggende
294,Anzahl::N,рикӏкӏен,antall
295,Art::N,жинс,art
296,Art::N,жинс,slag
297,Stück::N,кесек,stykke
298,Teil::N,пай,del
299,Hälfte::N,бащдаб,halvdel
300,Kreis::N,гор,ring
301,Kreis::N,гор,sirkel
302,Kreuz::N,хъанч,kors
303,Kreuz::N,хъанч,kryss
304,Linie::N,мухъ,linje
305,Strich::N,хӏучч,strek
306,Abstand::N,манзил,avstand
307,Entfernung::N,манзил,avstand
308,Gegend::N,рахъ,strøk
309,Platz::N,бакӏ,plass
310,Ort::N,бакӏ,sted
311,Seite::N,рахъ,side
312,Mitte::N,бакьулъбакӏ,midte
313,Gegenstand::N,жо,gjenstand
314,Sache::N,жо,sak
315,Rand::N,мицӏир,rand
316,Kante::N,рагӏал,kant
317,Kante::N,рагӏа-ракьан,kant
318,Ecke::N,цили,hjørne
319,Spitze::N,тӏогь,spiss
320,Ende::N,кӏал,ende
321,Loch::N,каратӏ,hull
322,Muster::N,накъиш,mønster
323,Größe::N,кӏодо́лъи,størrelse
324,Länge::N,халалъи,lengde
325,Höhe::N,борхалъи,høyde
326,Gewicht::N,бакӏлъи,vekt
327,Haufen::N,гъуни,haug
328,Haufen::N,гъуни,bunke
329,Reihe::N,ирга́,rekke
330,Boot::N,раса,båt
331,Ruder::N,раххан,åre
332,Schlitten::N,чанагъ,slede
333,Schlitten::N,чанагъ,kjelke
334,Ski::N,лыжаби,ski
335,Lagerfeuer::N,цӏа,leirbål
336,Last::N,бакӏлъи,bør
337,Last::N,бакӏлъи,last
338,Gang::N,хьвади,gang
339,Gang::N,хьвада-чӏвади,gang
340,Schritt::N,гали,steg
341,Schritt::N,гали,skritt
342,Norden::N,шимал,nord
343,Süden::N,юг,sør
344,Süden::N,къибла,sør
345,Westen::N,гъарб,vest
346,Westen::N,магъриб,vest
347,Osten::N,шаркъ,øst
348,Osten::N,машрикъ,øst
349,Holz::N,цӏул,tre
350,Brett::N,хъарщи,fjøl
351,Brett::N,хъарщи,brett
352,Platte::N,къоно,plate
353,Stange::N,гӏер,stang
354,Stock::N,тӏил,pinne
355,Stab::N,гӏер,stav
356,Stab::N,гӏер,kjepp
357,Rohr::N,турба,rør
358,Haus::N,ригь,hus
359,Haus::N,рукъзал,hus
360,Heim::N,рукъ,hjem
361,Ofen::N,печь,ovn
362,Fußboden::N,чӏабар,gulv
363,Tisch::N,стол,bord
364,Stuhl::N,бакӏу,stol
365,Wiege::N,кини,vogge
366,Bett::N,кровать,seng
367,Regal::N,хъарщи,reol
368,Regal::N,хъарщи,hylle
369,Kiste::N,ящик,kasse
370,Kiste::N,тӏалагъуд,kasse
371,Fenster::N,гордо,vindu
372,Tür::N,нуцӏа,dør
373,Tor::N,каву,port
374,Zaun::N,раци,gjerde
375,Dach::N,тӏох,tak
376,Leiter::N,мали,stige
377,Besen::N,жул,kost
378,Spaten::N,бел,spade
379,Schaufel::N,раххан,skuffe
380,Gabel::N,гӏучӏ,gaffel
381,Löffel::N,гъуд,skje
382,Messer::N,нус,kniv
383,Nagel::N,магӏ,spiker
384,Netz::N,гьин,nett
385,Haken::N,гъанцӏа,krok
386,Griff::N,гӏоркь,tak
387,Griff::N,гӏоркь,håndtak
388,Schloss::N,кӏулал,lås
389,Bild::N,сурат,bilde
390,Puppe::N,нани,dukke
391,Beutel::N,таргьа,pose
392,Bündel::N,къай,bylt
393,Tasche::N,сумка,veske
394,Tasche::N,къвачӏа,veske
395,Eimer::N,ведро,bøtte
396,Deckel::N,тӏалъел,lokk
397,Deckel::N,дадитӏалъел,lokk
398,Geschirr::N,цӏарагӏ,kjøkkentøy
399,Sack::N,хъап,sekk
400,Sack::N,къандалъо,sekk
401,Tasse::N,чашка,kopp
402,Topf::N,хьаг,gryte
403,Kessel::N,хьаг,kjele
404,Kessel::N,гереги,kjele
405,Essen::N,тӏагӏам,mål
406,Nahrung::N,квен,mat
407,Nahrung::N,квен,næring
408,Speise::N,квен,matrett
409,Fleisch::N,гьан,kjøtt
410,Getreide::N,бугӏа-ролъ,korn
411,Getreide::N,могьолабл_культураби,korn
412,Brei::N,карщ,grøt
413,Brot::N,чед,brød
414,Scheibe::N,мочӏу,skive
415,Fett::N,беэнлъи,fett
416,Butter::N,нах,smør
417,Öl::N,нах,olje
418,Salz::N,цӏам,salt
419,Suppe::N,чурпа,suppe
420,Honig::N,гьоцӏо,honning
421,Milch::N,рахь,melk
422,Tee::N,чай,te
423,Leder::N,тӏом,lær
424,Leder::N,тӏом,skinn
425,Wolle::N,квас,ull
426,Stoff::N,ххам,tøy
427,Stoff::N,ххам,stoff
428,Nadel::N,рокӏкӏен,nål
429,Faden::N,кун,tråd
430,Knopf::N,маргъал,knapp
431,Knoten::N,гарацӏ,knute
432,Farbe::N,релъен,farge
433,Kleidung::N,ретӏел,påkledning
434,Hemd::N,гурде,skjorte
435,Kragen::N,габур,krage
436,Ärmel::N,къвал,erme
437,Hose::N,тӏажу,bukse
438,Gürtel::N,рачел,belte
439,Mütze::N,тӏагъур,lue
440,Stiefel::N,этек,støvel
441,Stiefel::N,чакма,støvel
442,Ring::N,баргъич,ring
443,Band::N,лента,band
444,Kamm::N,гьоркьо,kam
445,Spiegel::N,матӏу,speil
446,Riemen::N,рижу,rem
447,Decke::N,одея́ло,teppe
448,Kissen::N,къандалъо,pute
449,Tuch::N,квархьи,tøy
450,Handtuch::N,беркӏалрацӏцӏ,håndkle
451,Kraft::N,гуч,kraft
452,Kraft::N,къуват,kraft
453,Stärke::N,хӏалкӏвей,styrke
454,Gesundheit::N,сахлъи́,helse
455,Gesundheit::N,сахлъи́,sunnhet
456,Krankheit::N,унти,syke
457,Krankheit::N,унти,sykdom
458,Krankheit::N,щокълъи,syke
459,Krankheit::N,щокълъи,sykdom
460,Schmerz::N,унти,smerte
461,Wunde::N,ругъун,sår
462,Fieber::N,цӏа-кан,feber
463,Arznei::N,дару,medisin
464,Arznei::N,дару,legemiddel
465,Brücke::N,кьо,bro
466,Brunnen::N,гъуй,brønn
467,Weide::N,рицӏцӏ,beite
468,Weide::N,лъичӏирма,beite
469,Weide::N,гӏурдаллъи,beite
470,Weide::N,ри́цӏигъветӏ,beite
471,Weide::N,рицӏцӏигъветӏ,beite
472,Pfad::N,сухъмахъ,sti
473,Weg::N,нух,vei
474,Straße::N,нух,gate
475,Dorf::N,росу,landsby
476,Stadt::N,шагьар,by
477,Brief::N,кагъат,brev
478,Brief::N,рисалат,brev
479,Buch::N,тӏехь,bok
480,Buchstabe::N,хӏарп,bokstav
481,Zeitung::N,газет,avis
482,Leben::N,яшав,liv
483,Tod::N,хвел,død
484,Grab::N,хоб,grav
485,Kirche::N,килиса,kirke
486,Sünde::N,хӏакъ,synd
487,Sünde::N,мунагь,synd
488,Gott::N,бичас,gud
489,Gott::N,аллагь,gud
490,Arbeiter::N,хӏалтӏухъан,arbeider
491,Chef::N,хӏаким,sjef
492,Chef::N,начальник,sjef
493,Meister::N,устар,mester
494,Meister::N,мастер,mester
495,Meister::N,махщалилав,mester
496,Arzt::N,жайрахӏ,lege
497,Lehrer::N,мугӏалим,lærer
498,Geld::N,гӏарац,penger
499,Laden::N,тукен,butikk
500,Preis::N,багьа,pris
501,Ware::N,къайи,vare
502,Nutzen::N,мунпагӏат,nytte
503,Reichtum::N,бечелъи,rikdom
504,Welt::N,дуниял,verden
505,Land::N,улка,land
506,Land::N,икълим,land
507,Staat::N,пачалихъ,stat
508,König::N,пача,konge
509,König::N,малик,konge
510,König::N,къирал,konge
511,König::N,падишагь,konge
512,Macht::N,кверщел,makt
513,Grenze::N,гӏорхъи,grense
514,Krieg::N,рагъ,krig
515,Feind::N,тушман,fiende
516,Gewalt::N,зулму,vold
517,Kampf::N,къеркьей,kamp
518,Bogen[Waffe]::N,газаргъо,bue
519,Pfeil::N,чӏор,pil
520,Gewehr::N,туманкӏ,gevær
521,Fehler::N,гъалатӏ,feil
522,Lüge::N,гьереси,løgn
523,Schaden::N,зиян,skade
524,Schaden::N,зарал,skade
525,Unglück::N,балагь,uhell
526,Schuld::N,гӏайиб,skyld
527,Alter::N,гӏумру,alder
528,Schluss::N,ахир,slutt
529,Zeit::N,заман,tid
530,Tag::N,къо,dag
531,Morgen::N,радалмех,morgen
532,Mittag::N,къадемех,middag
533,Abend::N,релъедамех,aften
534,Nacht::N,сордо,natt
535,Woche::N,анкь,uke
536,Monat::N,моцӏ,måned
537,Jahr::N,сон,år
538,Jahr::N,лъагӏел,år
539,Frühling::N,их,vår
540,Sommer::N,рии,sommer
541,Herbst::N,хасалихълъи,høst
542,Winter::N,кьин,vinter
543,Januar::N,январь,januar
544,Februar::N,февра́ль,februar
545,März::N,март,mars
546,April::N,апрель,april
547,Mai::N,май,mai
548,Juni::N,июнь,juni
549,Juli::N,июль,juli
550,August::N,август,august
551,September::N,сентябрь,september
552,Oktober::N,октябрь,oktober
553,November::N,ноябрь,november
554,Dezember::N,декабрь,desember
555,Montag::N,итни,mandag
556,Dienstag::N,талат,tirsdag
557,Mittwoch::N,арбагӏ,onsdag
558,Donnerstag::N,хамиз,torsdag
559,Freitag::N,рузман,fredag
560,Samstag::N,щамат,lørdag
561,Sonntag::N,гьатӏан,søndag
562,groß::A,кӏудияб,stor
563,klein::A,гьитӏинаб,liten
564,lang::A,халатаб,lang
565,kurz::A,къокъаб,kort
566,breit::A,гӏебаб,bred
567,schmal::A,къваридаб,smal
568,dicht::A,ризаб,tett
569,dick[Gegenstand]::A,бицатаб,tykk
570,dünn::A,тӏеренаб,tynn
571,fein::A,тӏеренаб,fin
572,fest::A,къвакӏараб,fast
573,flach::A,чӏепараб,flat
574,glatt::A,цӏвакараб,glatt
575,hart::A,кьварараб,hard
576,weich::A,тамахаб,myk
577,weich::A,тамахаб,bløt
578,rund::A,гургинаб,rund
579,spitz::A,бегӏераб,spiss
580,scharf::A,рекӏараб,kvass
581,stumpf::A,тӏехӏараб,stubb
582,stumpf::A,рекӏинчӏеб,stubb
583,schwer::A,бакӏаб,tung
584,schön::A,берцинаб,pen
585,schön::A,берцинаб,vakker
586,heiß::A,лагьараб,het
587,warm::A,хинаб,varm
588,kalt::A,квачараб,kald
589,kühl::A,квачараб,kjølig
590,frisch::A,цӏияб,fersk
591,feucht::A,рагьараб,fuktig
592,nass::A,би́ччараб,våt
593,trocken::A,бакъвараб,tørr
594,leer::A,чӏобогояб,tom
595,offen::A,рагьараб,åpen
596,geschlossen::A,рахараб-къараб,lukket
597,sauber::A,бацӏцӏадаб,ren
598,schmutzig::A,гъизараб,skitten
599,roh::A,хамаб,rå
600,roh::A,гӏатӏгояб,rå
601,reif::A,барщараб,moden
602,lecker::A,тӏагӏамаб,lekker
603,süß::A,гьуинаб,søt
604,bitter::A,кьогӏаб,besk
605,bitter::A,кьогӏаб,bitter
606,sauer::A,цӏекӏаб,sur
607,hell::A,канаб,lys
608,dunkel::A,бецӏаб,mørk
609,schwarz::A,чӏегӏераб,svart
610,weiß::A,хъахӏаб,hvit
611,rot::A,багӏараб,rød
612,gelb::A,гӏобилаб,gul
613,gelb::A,тӏогьилаб,gul
614,blau::A,хъахӏилаб,blå
615,grün::A,гӏурччинаб,grønn
616,grau::A,накӏкӏуяб,grå
617,bunt::A,къвекӏаб,broket
618,bunt::A,чара-гъараб,broket
619,billig::A,учузаб,billig
620,teuer::A,хири́яб,dyr
621,wertvoll::A,къиматаб,verdifull
622,blind::A,беццаб,blind
623,taub::A,гъугъаб,døv
624,kräftig::A,гучаб,kraftig
625,stark::A,къуватаб,sterk
626,schwach::A,гӏажизаб,svak
627,fett::A,кьарияб,fet
628,schlank::A,чергесаб,slank
629,hübsch::A,гьайбатаб,pen
630,böse::A,ракӏквешаб,slem
631,dumm::A,гьагаб,dum
632,dumm::A,гӏантаб,dum
633,faul::A,кӏохӏалаб,lat
634,faul::A,кӏохӏалаб,doven
635,faul::A,кӏухӏа́лаб,lat
636,faul::A,кӏухӏа́лаб,doven
637,fleißig::A,хӏаракатаб,flittig
638,geizig::A,къарумаб,gjerrig
639,klug::A,лумияб,klok
640,geschickt::A,махщел бугев,hendig
641,geschickt::A,махщел бугев,skikket
642,lieb::A,гӏазизаб,kjær
643,lieb::A,гӏазизаб,snill
644,lustig::A,кепаб,morsom
645,sanft::A,хӏалимаб,blid
646,sanft::A,хӏере́наб,blid
647,hungrig::A,бакъараб,sulten
648,krank::A,щокъаб,syk
649,krank::A,унтараб,syk
650,nackt::A,гӏицӏаб,naken
651,nackt::A,чӏанкӏараб,naken
652,traurig::A,пашманаб,sørgmodig
653,lebendig::A,чӏагояб,levende
654,gut::A,лъикӏаб,god
655,schlecht::A,къадараб,dårlig
656,richtig::A,битӏараб,riktig
657,schlimm::A,нажасаб,slem
658,schlimm::A,къабихӏаб,slem
659,wahr::A,хӏакъаб,sann
660,wahr::A,битӏараб,sann
661,alt::A,басрияб,gammel
662,neu::A,цӏияб,ny
663,ehemalig::A,цебе́госеб,forhenværende
664,alt[Lebewesen]::A,хераб,gammel
665,jung::A,тӏинчӏаб,ung
666,jung::A,гӏолохъанаб,ung
667,arm::A,пакъираб,fattig
668,reich::A,бечедаб,rik
669,bekannt::A,лъалеб,kjent
670,berühmt::A,машгьураб,berømt
671,fremd::A,чияр,fremmed
672,verschieden::A,батӏи-батӏияб,forskjellig
673,nah::A,гӏагарда бугеб,nær
674,fern::A,рикӏкӏадаб,fjern
675,linker::A,квегӏаб,venstre
676,rechter::A,кваранаб,høyre
677,anderer::A,батӏияб,annen
678,erster::A,тӏоцебесеб,første
679,zweiter::A,кӏиабилеб,annen
680,dritter::A,лъабабилеб,tredje
681,letzter::A,ахирисеб,sist
682,allein::ADV,ялгъузго,alene
683,auf einmal::ADV,цихӏинтӏаго,med ett
684,zusammen::ADV,цойида,sammen
685,plötzlich::ADV,цойидасанго,plutselig
686,sofort::ADV,гьебсагӏат,straks
687,jetzt::ADV,гьанже,nå
688,heute::ADV,жакъа,i dag
689,morgen::ADV,метер,i morgen
690,bald::ADV,гьабсагӏаталъ,snart
691,dann::ADV,цинги,så
692,gestern::ADV,сон,i går
693,einst::ADV,цин,engang
694,damals::ADV,гьебмехалъ,den gang
695,damals::ADV,гьебмехалда,den gang
696,danach::ADV,цинги,deretter
697,danach::ADV,хадуса,deretter
698,vorher::ADV,цебе,før
699,vorher::ADV,цебе,i forveien
700,zuerst::ADV,тӏоцебе,først
701,einmal::ADV,цинцӏул,en gang
702,einmal::ADV,цихӏин,en gang
703,einmal::ADV,цоцӏул,en gang
704,manchmal::ADV,олоцӏул,somme tider
705,oft::ADV,гӏемерго,ofte
706,immer::ADV,кидаго,alltid
707,niemals::ADV,киданиги,aldri
708,hier::ADV,аниб,her
709,hierhin::ADV,анибехун,hit
710,von hier::ADV,гьаниса,herfra
711,dort::ADV,гьениб,der
712,dorthin::ADV,гьадаба,dit
713,geradeaus::ADV,битӏутӏа,rett fram
714,vorwärts::ADV,цебехун,fram
715,vorwärts::ADV,цебехун,framover
716,rückwärts::ADV,нахъ-нахъ,baklengs
717,zurück::ADV,нахъе,tilbake
718,unten::ADV,ахакь,nede
719,unten::ADV,гъоркь,nede
720,hinab::ADV,эхебе,ned
721,hinab::ADV,эхебе,nedover
722,oben::ADV,тӏад,oppe
723,oben::ADV,тӏад,ovenpå
724,oben::ADV,тӏадехун,oppe
725,oben::ADV,тӏадехун,ovenpå
726,hinauf::ADV,эхеде,opp
727,hinauf::ADV,эхеде,oppover
728,überall::ADV,кибго,overalt
729,ein wenig::ADV,дагьабго,litt
730,kaum::ADV,хӏалалъ,neppe
731,sehr::ADV,кутакалда,svært
732,so::ADV,гьедин,så
733,noch::ADV,жеги,enda
734,nur::ADV,гӏӣцӏго,bare
735,wieder::ADV,на́хъеги,igjen
736,vergebens::ADV,чӏалгӏаде,forgjeves
737,vor::PRP,цебе,foran
738,vor::PRP,цебе,utenfor
739,hinter::PRP,хадуса,bak
740,hinter::PRP,хадуса,bakom
741,unter::PRP,ахакь,under
742,unter::PRP,гъоркь,under
743,neben::PRP,аскӏо,ved siden av
744,zwischen::PRP,гьоркьоб,mellom
745,wegen::PRP,гьелда,på grunn av
746,dies::PRN,гьаб,dette
747,dies::PRN,гьеб,dette
748,das::PRN,доб,det
749,ich::PRN,дун,jeg
750,du::PRN,дуца,du
751,er::PRN,доб,han
752,wir::PRN,ниж,vi
753,ihr::PRN,нуж,dere
754,sie::PRN,дол,de
755,sie::PRN,эл,de
756,was::FPRN,щиб,hva
757,wer::FPRN,щиб,hvem
758,wo::FADV,киб,hvor
759,wo::FADV,кибехун,hvor
760,wohin::FADV,кибехун,hvor ... hen
761,wie::FADV,кин,hvordan
762,warum::FADV,щай,hvorfor
763,wieviel::FNUM,кигӏан,hvor mye
764,eins::NUM,цо,en
765,eins::NUM,цо,ett
766,zwei::NUM,кӏиго,to
767,drei::NUM,лъабго,tre
768,vier::NUM,ункъо,fire
769,fünf::NUM,щуго,fem
770,sechs::NUM,анлъго,seks
771,sieben::NUM,анкьго,sju
772,acht::NUM,микьго,åtte
773,neun::NUM,ичӏго,ni
