,Concept_ID,uz,da
334,Fenster::N,deraza,vindue
335,Tür::N,äshik,dør
336,Tor::N,darvoza,port
337,Zaun::N,panjara,stakit
338,Dach::N,tom,tag
339,Leiter::N,narvon,stige
340,Besen::N,supurgi,kost
341,Spaten::N,bel,spade
342,Schaufel::N,kurak,skovl
343,Gabel::N,bilka,gaffel
344,Löffel::N,qoshiq,ske
345,Messer::N,pichoq,kniv
346,Nagel::N,mix,søm
347,Netz::N,to'r,net
348,Haken::N,ilgak,krog
349,Griff::N,sop,tag
350,Griff::N,sop,håndtag
351,Griff::N,tutqich,tag
352,Griff::N,tutqich,håndtag
353,Schloss::N,qulf,lås
354,Bild::N,rasm,billede
355,Figur::N,shakl,figur
356,Puppe::N,ko'g'irchoq,dukke
357,Beutel::N,to'rva,pose
358,Bündel::N,bog'lam,bylt
359,Bündel::N,bog'lam,bundt
360,Tasche::N,kissa,taske
361,Eimer::N,chelak,spand
362,Deckel::N,qopqoq,låg
363,Geschirr::N,idish,husgeråd
364,Sack::N,qop,sæk
365,Tasse::N,piyola,kop
366,Topf::N,tuvak,gryde
367,Kessel::N,qozon,kedel
368,Essen::N,tomoq,måltid
369,Nahrung::N,emak,mad
370,Nahrung::N,emak,næring
371,Speise::N,taom,ret
372,Fleisch::N,go'sht,kød
373,Getreide::N,g'alla,korn
374,Brei::N,bo'tqa,grød
375,Brot::N,non,brød
376,Scheibe::N,disk,skive
377,Fett::N,moy,fedt
378,Butter::N,yog',smør
379,Öl::N,moy,olie
380,Salz::N,tuz,salt
381,Suppe::N,sho'rva,suppe
382,Honig::N,asal,honning
383,Milch::N,sut,mælk
384,Tee::N,choy,te
385,Leder::N,charm,skind
386,Wolle::N,jun,uld
387,Stoff::N,mato,stof
388,Nadel::N,igna,nål
389,Faden::N,ip,tråd
390,Knopf::N,tugma,knap
391,Knoten::N,tugun,knude
392,Farbe::N,bo'yok,farve
393,Kleidung::N,kiyim,påklædning
394,Hemd::N,ko'ylak,skjorte
395,Kragen::N,yoqa,krave
396,Ärmel::N,yeng,ærme
397,Hose::N,shim,bukser
398,Gürtel::N,tasma,bælte
399,Mütze::N,shapka,hue
400,Schuh::N,but,sko
401,Stiefel::N,botinka,støvle
402,Ring::N,yuzuk,ring
403,Band::N,rishta,bånd
404,Kamm::N,taroq,kam
405,Spiegel::N,ko'zgu,spejl
406,Riemen::N,qayish,rem
407,Schnur::N,bog'ich,snor
408,Leine::N,etak,snor
409,Decke::N,odyol,tæppe
410,Kissen::N,yostiq,pude
411,Tuch::N,gazlama,sjaltørklæde
412,Handtuch::N,sochiq,håndklæde
413,Kraft::N,kuch,kraft
414,Stärke::N,quvvat,styrke
415,Gesundheit::N,sog'lik,sundhed
416,Krankheit::N,kasallik,sygdom
417,Schmerz::N,og'riq,smerte
418,Wunde::N,yara,sår
419,Fieber::N,bezgak,feber
420,Arznei::N,dori,medicin
421,Arznei::N,dori,lægemiddel
422,Brücke::N,ko'prik,bro
423,Brunnen::N,buloq,brønd
424,Weide::N,yaylov,græsgang
425,Pfad::N,dorojka,sti
426,Weg::N,yo'l,vej
427,Straße::N,ko'cha,gade
428,Dorf::N,ovul,landsby
429,Stadt::N,shahar,by
430,Brief::N,maktub,brev
431,Buch::N,kitob,bog
432,Buchstabe::N,harf,bogstav
433,Zeitung::N,gazet,avis
434,Leben::N,hayot,liv
435,Tod::N,o'lim,død
436,Grab::N,go'r,grav
437,Kirche::N,cherkov,kirke
438,Sünde::N,gunoh,synd
439,Gott::N,olloh,gud
440,Arbeiter::N,ishchi,arbejder
441,Chef::N,rais,chef
442,Meister::N,usta,mester
443,Arzt::N,hakim,læge
444,Lehrer::N,muallim,lærer
445,Geld::N,pul,penge
446,Geschäft::N,savdo,forretning
447,Laden::N,do'kon,butik
448,Laden::N,do'kon,forretning
449,Preis::N,baho,pris
450,Ware::N,mol,vare
451,Nutzen::N,foyda,nytte
452,Reichtum::N,boylik,rigdom
453,Welt::N,olam,verden
454,Land::N,o'lka,land
455,Staat::N,davlat,stat
456,König::N,qirol,konge
457,Macht::N,iqtidor,magt
458,Grenze::N,chegara,grænse
459,Krieg::N,harb,krig
460,Feind::N,dushman,fjende
461,Gewalt::N,zo'rlik,vold
462,Kampf::N,kurash,kamp
463,Bogen[Waffe]::N,yoy,bue
464,Pfeil::N,o'q,pil
465,Gewehr::N,vintovka,gevær
466,Fehler::N,xato,fejl
467,Lüge::N,yolg'on,løgn
468,Schaden::N,ziyon,skade
469,Unglück::N,balo,uheld
470,Unglück::N,balo,ulykke
471,Schuld::N,ayb,skyld
472,Alter::N,yosh,alder
473,Schluss::N,tamom,slut
474,Schluss::N,tamom,slutning
475,Zeit::N,vaqt,tid
476,Tag::N,kun,dag
477,Morgen::N,saboh,morgen
478,Mittag::N,kun tushlik,middag
479,Abend::N,oqshom,aften
480,Nacht::N,tun,nat
481,Woche::N,hafta,uge
482,Monat::N,oy,måned
483,Jahr::N,yil,år
484,Frühling::N,bahor,forår
485,Sommer::N,yoz,sommer
486,Herbst::N,kuz,efterår
487,Herbst::N,xazon,efterår
488,Winter::N,qish,vinter
489,Januar::N,yanvar',januar
490,Februar::N,fevral',februar
491,März::N,mart,marts
492,April::N,aprel',april
493,Mai::N,may,maj
494,Juni::N,iyun',juni
495,Juli::N,iyul',juli
496,August::N,avgust,august
497,September::N,sentyabr',september
498,Oktober::N,oktyabr',oktober
499,November::N,noyabr',november
500,Dezember::N,dekabr',december
501,Montag::N,dushanba,mandag
502,Dienstag::N,seshanba,tirsdag
503,Mittwoch::N,chorshanba,onsdag
504,Donnerstag::N,payshanba,torsdag
505,Freitag::N,juma,fredag
506,Samstag::N,shanba,lørdag
507,Sonntag::N,yakshanba,søndag
508,groß::A,buyuk,stor
509,klein::A,kichik,lille
510,lang::A,uzun,lang
511,kurz::A,qisqa,kort
512,breit::A,keng,bred
513,schmal::A,änsiz,smal
514,dicht::A,quyuq,tæt
515,dick[Gegenstand]::A,qalin,tyk
516,dünn::A,ingichka,tynd
517,fein::A,mayin,fin
518,fest::A,qattiq,fast
519,flach::A,yalpoq,flad
520,glatt::A,tekis,glat
521,hart::A,qattiq,hård
522,weich::A,yumshoq,blød
523,rund::A,yumaloq,rund
524,spitz::A,uchli,spids
525,scharf::A,keskir,skarp
526,stumpf::A,to'mtoq,sløv
527,stumpf::A,to'mtoq,stump
528,schwer::A,salmoqli,tung
529,schön::A,go'zal,skøn
530,heiß::A,qiziq,hed
531,warm::A,issiq,varm
532,kalt::A,sovuq,kold
533,kühl::A,salqin,kølig
534,frisch::A,toza,frisk
535,feucht::A,namli,fugtig
536,nass::A,nam,våd
537,trocken::A,quruq,tør
538,voll::A,to'la,fuld
539,leer::A,puch,tom
540,offen::A,ochiq,åben
541,geschlossen::A,berk,lukket
542,sauber::A,ozoda,ren
543,schmutzig::A,kir,snavset
544,roh::A,xom,rå
545,reif::A,pishiq,moden
546,lecker::A,shirin,lækker
547,süß::A,shirin,sød
548,bitter::A,achchiq,bitter
549,sauer::A,achchiq,sur
550,hell::A,yorug',lys
551,dunkel::A,qorong'i,mørk
552,schwarz::A,qora,sort
553,weiß::A,oq,hvid
554,rot::A,qizil,rød
555,gelb::A,sariq,gul
556,blau::A,zangori,blå
557,grün::A,yashil,grøn
558,grau::A,bo'z,grå
559,bunt::A,ola,broget
560,billig::A,arzon,billig
561,teuer::A,qimmat,dyr
562,wertvoll::A,qimmat,værdifuld
563,blind::A,ko'r,blind
564,taub::A,garang,døv
565,kräftig::A,kuchli,kraftig
566,stark::A,quvvatli,stærk
567,schwach::A,kuchsiz,svag
568,fett::A,semiz,fed
569,schlank::A,ingichka,slank
570,hübsch::A,ko'rkam,køn
571,böse::A,yovuz,ond
572,böse::A,yovuz,slem
573,dumm::A,aqlsiz,dum
574,faul::A,ärinchak,doven
575,fleißig::A,ishchan,flittig
576,geizig::A,qurumsoq,gerrig
577,klug::A,oqil,klog
578,geschickt::A,äpchil,dygtig
579,geschickt::A,äpchil,behændig
580,lieb::A,aziz,rar
581,lustig::A,chaqchaq,lystig
582,sanft::A,asta,blid
583,hungrig::A,och,sulten
584,krank::A,kasal,syg
585,nackt::A,yalang,nøgen
586,traurig::A,xafa,bedrøvet
587,lebendig::A,hayotiy,levende
588,gut::A,soz,god
589,schlecht::A,yomon,dårlig
590,richtig::A,rost,rigtig
591,schlimm::A,yovuz,slem
592,wahr::A,haqiqiy,sand
593,alt::A,äski,gammel
594,neu::A,yangi,ny
595,ehemalig::A,sobiq,forhenværende
596,alt[Lebewesen]::A,qari,gammel
597,jung::A,navqiron,ung
598,arm::A,abgor,fattig
599,reich::A,boy,rig
600,bekannt::A,ma'lum,kendt
601,berühmt::A,mashhur,berømt
602,fremd::A,yot,fremmed
603,verschieden::A,turli,forskellig
604,nah::A,yaqindagi,nær
605,fern::A,uzoq,fjern
606,linker::A,so'l,venstre
607,rechter::A,o'ng,højre
608,anderer::A,boshqa,anden
609,erster::A,birinchi,første
610,zweiter::A,ikkinchi,anden
611,dritter::A,uchinchi,tredje
612,letzter::A,oxirgi,sidste
613,allein::ADV,o'zicha,alene
614,auf einmal::ADV,varakay,på én gang
615,zusammen::ADV,barobar,sammen
616,lange::ADV,uzoq,længe
617,plötzlich::ADV,qo'qqisdan,pludselig
618,sofort::ADV,darrov,straks
619,später::ADV,so'ngra,senere
620,jetzt::ADV,hozirgina,nu
621,heute::ADV,bugun,i dag
622,morgen::ADV,ärta,i morgen
623,bald::ADV,toz,snart
624,dann::ADV,keyin,så
625,gestern::ADV,kecha,i går
626,einst::ADV,avvallari,engang
627,damals::ADV,ugal,dengang
628,danach::ADV,so'ngra,derefter
629,vorher::ADV,avval,før
630,vorher::ADV,avval,forud
631,zuerst::ADV,avval,først
632,einmal::ADV,bir marta,en gang
633,manchmal::ADV,onda-sonda,sommetider
634,oft::ADV,tez-tez,ofte
635,immer::ADV,har vaqt,altid
636,niemals::ADV,hargiz,aldrig
637,hier::ADV,shu erda,her
638,hierhin::ADV,beri,hid
639,hierhin::ADV,beri,herhen
640,von hier::ADV,shu erdan,herfra
641,dort::ADV,ana,der
642,dorthin::ADV,u yerga,derhen
643,geradeaus::ADV,to'g'ri,lige ud
644,vorwärts::ADV,ilgari,fremad
645,rückwärts::ADV,qoloq,baglæns
646,zurück::ADV,orqada,tilbage
647,unten::ADV,pastda,nede
648,unten::ADV,pastda,forneden
649,hinab::ADV,tubanga,ned
650,hinab::ADV,tubanga,nedad
651,oben::ADV,ustida,oppe
652,oben::ADV,ustida,ovenpå
653,hinauf::ADV,yuqorida,op
654,hinauf::ADV,yuqorida,opad
655,überall::ADV,har erda,overalt
656,nicht::ADV,ämas,ikke
657,ein wenig::ADV,biroz,lidt
658,kaum::ADV,arang,knap
659,kaum::ADV,arang,næppe
660,sehr::ADV,ancha,meget
661,so::ADV,shunday,så
662,noch::ADV,hali,endnu
663,nur::ADV,yolg'iz,kun
664,nur::ADV,yolg'iz,bare
665,schon::ADV,endi,alt
666,schon::ADV,endi,allerede
667,wieder::ADV,yana,igen
668,vergebens::ADV,bekorga,forgæves
669,vor::PRP,burun,foran
670,vor::PRP,burun,uden for
671,hinter::PRP,ketida,bag
672,hinter::PRP,ketida,bagved
673,unter::PRP,ostida,under
674,durch::PRP,bo'ylab,gennem
675,durch::PRP,bo'ylab,igennem
676,neben::PRP,yonida,ved siden af
677,zwischen::PRP,orada,mellem
678,wegen::PRP,sababli,på grund af
679,dies::PRN,o'sha,dette
680,das::PRN,narigi,det
681,alles::PRN,har nima,alt
682,ich::PRN,men,jeg
683,du::PRN,sen,du
684,er::PRN,u,han
685,wir::PRN,biz,vi
686,ihr::PRN,siz,I
687,sie::PRN,ular,de
688,was::FPRN,nima,hvad
689,wer::FPRN,kim,hvem
690,wo::FADV,qaerda,hvor
691,wohin::FADV,qayerga,hvorhen
692,wie::FADV,qanday,hvordan
693,warum::FADV,nega,hvorfor
694,wieviel::FNUM,qancha,hvor meget
695,eins::NUM,bir,én
696,zwei::NUM,ikki,to
697,drei::NUM,uch,tre
698,vier::NUM,to'rt,fire
699,fünf::NUM,besh,fem
700,sechs::NUM,olti,seks
701,sieben::NUM,etti,syv
702,acht::NUM,sakkiz,otte
703,neun::NUM,to'qqiz,ni
704,zehn::NUM,o'n,ti
705,elf::NUM,o'n bir,elleve
706,zwölf::NUM,o'n ikki,tolv
707,zwanzig::NUM,yigirma,tyve
708,dreißig::NUM,o'ttiz,tredive
709,vierzig::NUM,qirq,fyrre
710,vierzig::NUM,qirq,fyrretyve
711,fünfzig::NUM,ällik,halvtreds
712,sechzig::NUM,oltmish,tres
713,siebzig::NUM,etmish,halvfjerds
714,achtzig::NUM,sakson,firs
715,neunzig::NUM,to'qson,halvfems
716,hundert::NUM,yuz,hundrede
717,tausend::NUM,ming,tusind
718,und::CNJ,va,og
719,oder::CNJ,yo,eller
720,stehen::V,turmoq,stå
721,sitzen::V,o'tirmoq,sidde
722,liegen::V,yotmoq,ligge
723,hängen::V,osilmoq,hænge
724,werden::V,bo'lmoq,blive
725,passieren::V,bo'lib o'tmoq,ske
726,passieren::V,bo'lib o'tmoq,hænde
727,beginnen::V,boshlanmoq,begynde
728,enden::V,bitmoq,ende
729,wechseln::V,o'zgarmoq,veksle
730,aufgehen[Sonne]::V,chiqmoq,gå op
731,aufgehen[Sonne]::V,chiqmoq,stå op
732,untergehen[Sonne]::V,botmoq,gå ned
733,scheinen[Sonne]::V,yaraqlamoq,skinne
734,donnern::V,gulduramoq,tordne
735,wehen::V,elpimoq,blæse
736,strömen::V,oqmoq,strømme
737,fließen::V,oqmoq,flyde
738,sich drehen::V,aylanmoq,dreje sig
739,schwanken::V,qoqilmoq,vakle
740,schwingen::V,lopillamoq,svinge
741,fallen::V,tushmoq,falde
742,brennen::V,yonmoq,brænde
743,rauchen::V,tutamoq,ryge
744,regnen::V,yomg'ir yog'moq,regne
745,gefrieren::V,muzlamoq,fryse
746,tauen::V,ärimoq,tø
747,schmelzen::V,ärimoq,smelte
748,trocknen::V,qurimoq,tørre
749,sieden::V,qaynamoq,koge
750,faulen::V,chirimoq,rådne
751,verfaulen::V,chirimoq,rådne
752,reißen::V,qayt qilmoq,briste
753,versinken::V,g'arq bo'lmoq,synke
754,versinken::V,g'arq bo'lmoq,synke ned
755,vergehen::V,o'tmoq,forløbe
756,erscheinen::V,zuhur ätmoq,vise sig
757,verschwinden::V,yo'qolmoq,forsvinde
758,sinken::V,pasaymoq,synke
759,abnehmen::V,kamaymoq,aftage
760,zunehmen::V,urchimoq,tiltage
761,steigen::V,oshmoq,stige
762,wachsen::V,o'smoq,gro
763,wachsen::V,o'smoq,vokse
764,glänzen::V,porlamoq,glinse
765,funkeln::V,yalt ätmoq,tindre
766,lärmen::V,taraq ätmoq,larme
767,läuten::V,jiringlamoq,ringe
768,klingeln::V,jiringlamoq,ringe
769,klirren::V,sharaqlamoq,klirre
770,brausen::V,vag'illamoq,bruse
771,rauschen::V,shitirlamoq,suse
772,klingen::V,yangramoq,lyde
773,klingen::V,yangramoq,klinge
774,bellen::V,hurmoq,gø
775,heulen::V,uvlamoq,hyle
776,blasen::V,puflamoq,blæse
777,pfeifen::V,xushtak chalmoq ,fløjte
778,schreien::V,qiyqirmoq,skrige
779,stöhnen::V,nola qilmoq,stønne
780,zittern::V,titramoq,dirre
781,zittern::V,titramoq,skælve
782,leben::V,yashamoq,leve
783,geboren werden::V,tug'ilmoq,fødes
784,atmen::V,nafas chiqarmoq,ånde
785,trinken::V,ichmoq,drikke
786,essen::V,emoq,spise
787,schlucken::V,yutmoq,synke
788,müde werden::V,horimoq,blive træt
789,einschlafen::V,uxlab qolmoq,falde i søvn
790,schlafen::V,uxlamoq,sove
791,aufwachen::V,uyg'onmoq,vågne
792,aufstehen::V,qo'pmoq,stå op
793,sich erholen::V,dam olmoq,komme sig
794,krank werden::V,kasallanmoq,blive syg
795,krank sein::V,betob yotmoq,være syg
796,schmerzen::V,og'rimoq,smerte
797,husten::V,yo'talmoq,hoste
798,genesen::V,tuzalmoq,komme sig
799,sterben::V,o'lmoq,dø
800,umkommen::V,halok bo'lmoq,omkomme
801,sich bewegen::V,harakat qilmoq,bevæge sig
802,sich rühren::V,qimirlamoq,røre på sig
803,sich erheben::V,qo'pmoq,rejse sig
804,sich setzen::V,o'tirmoq,sætte sig
805,hinfallen::V,yiqilmoq,
806,laufen::V,yurmoq,løbe
807,schreiten::V,yurmoq,skride
808,spazierengehen::V,sayr ätmoq,gå en tur
809,eilen::V,tezlamoq,ile
810,sich beeilen::V,shoshmoq,skynde sig
