,Concept_ID,te,cy
78,Schnee::N,హిమము,ôd
79,Schnee::N,హిమము,eira
80,Eis::N,మంచుగడ్డ,iâ
81,Frost::N,పేరిన మంచు,rhew
82,Kälte::N,చలి,oerni
83,Kälte::N,చలి,annwyd
84,Hitze::N,వేడిమి,gwres
85,Raureif::N,మంచు,barrug
86,Regenbogen::N,ఇంద్రధనుస్సు,enfys
87,Donner::N,ఉరుము,tyrfau
88,Strömung::N,ప్రవాహము,cerrynt
89,Tropfen::N,చుక్క,dafn
90,Tropfen::N,చుక్క,diferyn
91,Schaum::N,నురుగు,ewyn
92,Schmutz::N,మైల,baw
93,Schmutz::N,మైల,budreddi
94,See::N,సరస్సు,llyn
95,Sumpf::N,చిత్తడినేల,cors
96,Moor::N,చిత్తడినేల,rhos
97,Wiese::N,పచ్చిక బయలు,dôl
98,Wald::N,అడవి,coedwig
99,Hügel::N,చివ్నకొండ,bryn
100,Anhöhe::N,కొండ,bryn
101,Berg::N,పర్వతము,mynydd
102,Gipfel::N,శిఖరము,copa
103,Höhle::N,గుహ,ogof
104,Abhang::N,ఏటవాలు,llethr
105,Quelle::N,మూలము,tarddiad
106,Quelle::N,మూలము,ffynhonnell
107,Bach::N,కాలువ,nant
108,Bach::N,కాలువ,afonig
109,Bach::N,కాలువ,cornant
110,Fluss::N,నది,afon
111,Ufer::N,తీరము,glan
112,Küste::N,తీరము,traeth
113,Küste::N,తీరము,arfordir
114,Festland::N,భూమి,tir
115,Meer::N,సముద్రము,môr
116,Bucht::N,మరుగు,bae
117,Insel::N,దీవి,ynys
118,Blume::N,పుష్పము,blodyn
119,Gras::N,పచ్చగడ్డి,glaswellt
120,Wurzel::N,వేరు,gwreiddyn
121,Baum::N,చెట్టు,coeden
122,Stamm::N,చెట్టుబోదె,colfen
123,Stamm::N,చెట్టుబోదె,boncyff
124,Rinde::N,చెట్టుపట్ట,rhisgl
125,Ast::N,కొమ్మ,cangen
126,Zweig::N,చివుకు,cainc
127,Zweig::N,చివుకు,cangen
128,Blatt::N,ఆకు,deilen
129,Birke::N,తరహా చెట్టు,bedwen
130,Kiefer[Baum]::N,దేవదారు చెట్టు,pinwydden
131,Weide[Baum]::N,జాతిచెట్టు,helygen
132,Tanne::N,దేవదారుచెట్టు,ffynidwydden
133,Horn::N,కొమ్ము,corn
134,Feder::N,ఈక,plufyn
135,Fell::N,తోలు,ffwr
136,Flügel::N,ఱెక్క,adain
137,Klaue::N,వంకరగోరు,crafanc
138,Kralle::N,వంకరగోరు,ewin
139,Schwanz::N,తోక,cwt
140,Schwanz::N,తోక,cynffon
141,Ei::N,గ్రుడ్డు,wy
142,Nest::N,పక్షిగూడు,nyth
143,Bau::N,గుహ,ffau
144,Tier::N,జంతువు,anifail
145,Herde::N,మంద,praidd
146,Herde::N,మంద,diadell
147,Kuh::N,ఆవు,buwch
148,Bulle::N,గిత్త,tarw
149,Pferd::N,గుఱ్ఱము,ceffyl
150,Schaf::N,గొఱ్ఱె,dafad
151,Schwein::N,పంది,mochyn
152,Hund::N,కుక్క,ci
153,Katze::N,పిల్లి,cath
154,Bär::N,ఎలుగుబంటి,arth
155,Eichhörnchen::N,ఉడుత,gwiwer
156,Elch::N,కణంజు,elc
157,Fuchs::N,గుంటనక్క,cadno
158,Hase::N,కుందేలు,ysgyfarnog
159,Maus::N,చిట్టెలుక,llygoden
160,Wolf::N,తోడేలు,blaidd
161,Vogel::N,పక్షి,aderyn
162,Schwarm::N,గుంపు,haid
163,Huhn::N,కోడిపిల్ల,cyw
164,Hahn::N,కోడివుంజు,ceiliog
165,Gans::N,ఆడుబాతు,gŵydd
166,Adler::N,గ్రద్ద,eryr
167,Ente::N,పాట్టిబాతు,hwyad
168,Eule::N,గ్రుడ్లగూబ,tylluan
169,Kranich::N,కొంగ,garan
170,Kranich::N,కొంగ,crychydd
171,Krähe::N,కాకి,brân
172,Kuckuck::N,కోయల,cog
173,Kuckuck::N,కోయల,cwcw
174,Schwan::N,హంస,alarch
175,Fisch::N,చేప,pysgod
176,Barsch::N,ఒకచేఁప,draenog
177,Hecht::N,గండుమీను,penhwyad
178,Schlange[Tier]::N,పాము,neidr
179,Wurm::N,పురుగు,abwydyn
180,Wurm::N,పురుగు,pryf genwair
181,Spinne::N,సాలె పురుగు,cor
182,Spinne::N,సాలె పురుగు,pryf copyn
183,Ameise::N,చీమ,morgrugyn
184,Laus::N,పేను,lleuen
185,Mücke::N,చీకటీగ,gwybedyn
186,Fliege::N,ఈగ,cleren
187,Schmetterling::N,సీతాకోకచిలుక,glöyn byw
188,Schmetterling::N,సీతాకోకచిలుక,iâr fach yr haf
189,Beere::N,కాయ,aeronen
190,Apfel::N,ఆపిల్ పండు,afal
191,Pilz::N,కుక్కగొడుగు,madarch
192,Zwiebel::N,నీరుల్లి,nionyn
193,Zwiebel::N,నీరుల్లి,winwnsyn
194,Saat::N,విత్తనము,had
195,Korn::N,గింజ,grawn
196,Heu::N,ఎండుగడ్డి,gwair
197,Schale::N,పొట్టు,croen
198,Schale::N,పొట్టు,plisgyn
199,Grube::N,గొయ్యి,pwll
200,Grube::N,గొయ్యి,pydew
201,Falle::N,బోను,magl
202,Schlinge::N,ఉరి,cwlwm rhedeg
203,Spur::N,జాడ,ôl
204,Asche::N,బూడిద,lludw
205,Dreck::N,ముఱికి,baw
206,Dreck::N,ముఱికి,budreddi
207,Eisen::N,ఇనుము,haearn
208,Gold::N,బంగారము,aur
209,Silber::N,వెండి,arian
210,Kohle::N,నేలబొగ్గు,glo
211,Glas::N,గాజు,gwydr
212,Lehm::N,బంకమన్ను,clai
213,Sand::N,ఇసుక,tywod
214,Mensch::N,నరుడు,dyn
215,Mann::N,పురుమడు,dyn
216,Frau::N,ఆడుది,merch
217,Frau::N,ఆడుది,gwraig
218,Kind::N,బిడ్డ,plentyn
219,Junge::N,బాలుడు,hogyn
220,Junge::N,బాలుడు,bachgen
221,Mädchen::N,బాలిక,merch
222,Mädchen::N,బాలిక,geneth
223,Familie::N,కుటుంబము,teulu
224,Familie::N,కుటుంబము,tylwyth
225,Großvater::N,తాత,taid
226,Großvater::N,తాత,tad-cu
227,Großmutter::N,అయ్యమ్మ,nain
228,Großmutter::N,అయ్యమ్మ,mam-gu
229,Eltern::N,తల్లితండ్రులు,rhieni
230,Vater::N,తండ్రి,tad
231,Mutter::N,తల్లి,mam
232,Sohn::N,కొడుకు,mab
233,Tochter::N,కూతురు,merch
234,Bruder::N,పోదరుడు,brawd
235,Schwester::N,సోదరి,chwaer
236,Onkel::N,మేనమామ,ewythr
237,Tante::N,మేనత్త,modryb
238,Tante::N,పినతల్లి,modryb
239,Ehemann::N,భర్త,gŵr
240,Ehefrau::N,భార్య,gwraig
241,Freude::N,సంతోషము,gorfoledd
242,Gelächter::N,నవ్వు,chwerthin
243,Glück::N,సంతోషము,hapusrwydd
244,Kummer::N,దుఃఖము,galar
245,Wunsch::N,కోరిక,dymuniad
246,Lust::N,కోరిక,chwant
247,Geist::N,ఆత్మ,ysbryd
248,Gedanke::N,ఆలోచన,meddwl
249,Gedächtnis::N,జ్ఞాపకము,cof
250,Verstand::N,మనస్సు,meddwl
251,Sinn::N,అర్థము,ystyr
252,Grund::N,కారణము,achos
253,Grund::N,కారణము,rheswm
254,Wahrheit::N,సత్యము,gwir
255,Wahrheit::N,సత్యము,gwirionedd
256,Gespräch::N,పంభాషణ,sgwrs
257,Märchen::N,అద్భుతకథ,chwedl werin
258,Erzählung::N,కథ,stori
259,Nachricht::N,వార్త,neges
260,Neuigkeit::N,వార్త,newydd
261,Name::N,పేరు,enw
262,Rätsel::N,చిక్కు,pos
263,Rede::N,ఉపన్యాసము,araith
264,Sprache::N,భాష,iaith
265,Stimme::N,కంరథ్సని,llais
266,Wort::N,మాట,gair
267,Zeichen::N,గుర్తు,arwydd
268,Ruf::N,పిలువు,galwad
269,Lärm::N,సందడి,trwst
270,Laut::N,ధ్వని,sain
271,Ton::N,స్వరము,tôn
272,Lied::N,పాట,cân
273,Ruhe::N,గాలిలేమి,tawelwch
274,Leute::N,జనులు,pobl
275,Volk::N,జాతి,pobl
276,Arbeit::N,పని,gwaith
277,Gast::N,అతిధి,gwestai
278,Geschenk::N,దానము,rhodd
279,Geschenk::N,దానము,anrheg
280,Spiel::N,ఆట,chwarae
281,Gesellschaft::N,జట్టు,cwmni
282,Hilfe::N,సాహాయ్యము,cymorth
283,Freund::N,స్నేహితుడు,cyfaill
284,Kamerad::N,చెలికాడు,cydymaith
285,Angelegenheit::N,విషయము,pwnc
286,Anzahl::N,లెక్క,cyfrif
287,Art::N,జాతి,bath
288,Stück::N,తునుక,darn
289,Teil::N,భాగము,rhan
290,Hälfte::N,సగము,hanner
291,Kreis::N,వృత్తము,cylch
292,Kreuz::N,సిలువ,croes
293,Linie::N,గీత,llinell
294,Strich::N,గీత,strôc
295,Strich::N,గీత,trawiad
296,Abstand::N,సందు,bwlch
297,Abstand::N,సందు,pellter
298,Entfernung::N,దూరము,pellter
299,Gegend::N,విస్తీర్ణము,cylch
300,Platz::N,ఎడము,lle
301,Ort::N,స్థలము,lle
302,Seite::N,ప్రక్క,ochr
303,Mitte::N,నడిమి,canol
304,Gegenstand::N,పద్దు,eitem
305,Sache::N,వస్తువు,peth
306,Rand::N,అంచు,cwr
307,Rand::N,అంచు,ymyl
308,Kante::N,అంచు,min
309,Kante::N,అంచు,ymyl
310,Ecke::N,మూల,cornel
311,Spitze::N,మొన,blaen
312,Ende::N,కొన,pen
313,Loch::N,రంధ్రము,twll
314,Winkel::N,కోణము,congl
315,Muster::N,మాదిరి,patrwm
316,Größe::N,పరిమాణము,maint
317,Größe::N,పరిమాణము,maintioli
318,Länge::N,పొడుగు,hyd
319,Höhe::N,పొడుగు,uchder
320,Gewicht::N,భారము,pwysau
321,Menge::N,మొత్తము,swm
322,Menge::N,మొత్తము,maint
323,Haufen::N,రాశి,pentwr
324,Reihe::N,వరుస,rhes
325,Boot::N,పడవ,cwch
326,Ruder::N,అడక,rhwyf
327,Schlitten::N,సరవండ్లు,sled
328,Schlitten::N,సరవండ్లు,car llusg
329,Ski::N,స్కీ,sgi
330,Lagerfeuer::N,నెగడు,coelcerth
331,Last::N,బరువు,llwyth
332,Gang::N,నడక,tro
333,Schritt::N,అడుగు,cam
334,Norden::N,ఉత్తరదిక్కు,gogledd
335,Süden::N,దక్షిణము,de
336,Westen::N,పడమర,gorllewin
337,Osten::N,తూర్పు,dwyrain
338,Holz::N,కొయ్య,pren
339,Brett::N,పలక,bwrdd
340,Brett::N,పలక,astell
341,Platte::N,పలక,llech
342,Stütze::N,వాల్సేడ్లు,ateg
343,Stütze::N,వాల్సేడ్లు,cynhalydd
344,Stange::N,స్తంభము,polyn
345,Stock::N,కఱ్ఱ,ffon
346,Stock::N,కఱ్ఱ,brigyn
347,Stab::N,కఱ్ఱ,ffon
348,Rohr::N,గొట్టము,pibell
349,Haus::N,ఇల్లు,tŷ
350,Heim::N,స్వగృహము,cartref
351,Ofen::N,పొయ్యి,stof
352,Fußboden::N,నేల,llawr
353,Tisch::N,మేజా,bwrdd
354,Stuhl::N,కుర్చీ,cadair
355,Wiege::N,ఉయ్యాల,crud
356,Bett::N,పడక,gwely
357,Bett::N,మంచం,gwely
358,Regal::N,అటక,silff
359,Kiste::N,వెట్టె,bocs
360,Kiste::N,వెట్టె,blwch
361,Fenster::N,కిటికి,ffenestr
362,Tür::N,ద్వారము,drws
363,Tor::N,ద్వారము,porth
364,Zaun::N,కంచె,ffens
365,Dach::N,ఇంటివైకప్పు,to
366,Leiter::N,నిచ్చెన,ysgol
367,Besen::N,చీపురుకట్ట,ysgub
368,Spaten::N,పాఱ,rhaw
369,Schaufel::N,పాఱ,rhaw
370,Gabel::N,ముండ్లగరిటె,fforc
371,Löffel::N,గరిటె,llwy
372,Messer::N,కత్తి,cyllell
373,Nagel::N,మేకు,hoel
374,Netz::N,వల,gwe
375,Netz::N,వల,rhwyd
376,Haken::N,కొక్కెము,bach
377,Griff::N,పిడి,carn
378,Schloss::N,తాళము,clo
379,Bild::N,చిత్రము,llun
380,Bild::N,చిత్రము,pictiwr
381,Figur::N,రూపము,ffigur
382,Puppe::N,బొమ్మ,dol
383,Beutel::N,సంచి,cwd
384,Bündel::N,మూట,bwndel
385,Bündel::N,మూట,coflaid
386,Tasche::N,సంచి,cod
387,Eimer::N,చేద,bwced
388,Eimer::N,చేద,cunnog
389,Deckel::N,మూత,caead
390,Geschirr::N,వంటకాలు,llestri
391,Sack::N,గోనెసంచి,sach
392,Tasse::N,గిన్నె,cwpan
393,Topf::N,కుండ,pot
394,Topf::N,కుండ,crochan
395,Kessel::N,నీరుకాచుపాత్ర,tegell
396,Essen::N,ఆహారము,pryd o fwyd
397,Nahrung::N,ఆహారము,bwyd
398,Speise::N,ఆహారము,saig
399,Fleisch::N,మాంసము,cig
400,Getreide::N,ధాన్యము,ŷd
401,Getreide::N,ధాన్యము,llafur
402,Brei::N,గుజ్జు,uwd
403,Brot::N,రొట్టె,bara
404,Scheibe::N,బద్ద,tafell
405,Fett::N,క్రొవ్వు,saim
406,Fett::N,క్రొవ్వు,braster
407,Butter::N,వెన్న,ymenyn
408,Öl::N,నూనె,olew
409,Salz::N,ఉప్పు,halen
410,Suppe::N,చారు,cawl
411,Honig::N,తెనె,mêl
412,Milch::N,పాలు,llaeth
413,Milch::N,పాలు,llefrith
414,Tee::N,తేనీరు,te
415,Leder::N,బాగుచేసివతోలు,lledr
416,Wolle::N,ఉన్ని,gwlân
417,Stoff::N,బట్ట,lliain
418,Stoff::N,బట్ట,brethyn
419,Nadel::N,సూది,nodwydd
420,Faden::N,దారము,edau
421,Faden::N,దారము,edefyn
422,Knopf::N,బొత్తాము,botwm
423,Knoten::N,ముడి,cwlwm
424,Farbe::N,రంగు,paent
425,Kleidung::N,బట్టలు,dillad
426,Kleidung::N,బట్టలు,gwisgoedd
427,Hemd::N,చొక్కాయ,crys
428,Kragen::N,మాల,coler
429,Ärmel::N,చొక్కాయచెయ్యి,llawes
430,Hose::N,ఇజారు,trowsus
431,Gürtel::N,పటకా,gwregys
432,Mütze::N,టోపి,cap
433,Schuh::N,పాదరక్ష,esgid
434,Stiefel::N,బూటు,botasen
435,Ring::N,ఉంగరము,modrwy
436,Band::N,నాడా,rhuban
437,Kamm::N,దువ్వెన,crib
438,Spiegel::N,అద్దము,drych
439,Riemen::N,వాడా,strap
440,Schnur::N,దారము,llinyn
441,Leine::N,వారు,tennyn
442,Decke::N,కంబళి,blanced
443,Decke::N,కంబళి,gwrthban
444,Kissen::N,తలగడ,clustog
445,Kissen::N,తలగడ,gobennydd
446,Tuch::N,బట్ట,sgarff
447,Handtuch::N,తువాలు,tywel
448,Handtuch::N,తువాలు,lliain sychu
449,Kraft::N,బలము,grym
450,Stärke::N,శక్తి,nerth
451,Stärke::N,శక్తి,cryfder
452,Gesundheit::N,ఆరోగ్యము,iechyd
453,Krankheit::N,రోగము,afiechyd
454,Krankheit::N,రోగము,anhwylder
455,Schmerz::N,నొప్పి,poen
456,Schmerz::N,నొప్పి,gwayw
457,Wunde::N,గాయము,clwyf
458,Fieber::N,జ్వరము,twymyn
459,Arznei::N,మందు,meddyginiaeth
460,Brücke::N,వంతెన,pont
461,Brunnen::N,బావి,ffynnon
462,Brunnen::N,కూపము,ffynnon
463,Brunnen::N,నుయ్యి,ffynnon
464,Weide::N,పచ్చికబయలు,porfa
465,Pfad::N,కాలిత్రోవ,llwybr
466,Weg::N,మార్గము,ffordd
467,Straße::N,బాట,heol
468,Straße::N,బాట,ffordd
469,Dorf::N,గ్రామము,pentref
470,Stadt::N,పట్టణము,tref
471,Brief::N,జాబు,llythyr
472,Buch::N,పుస్తకము,llyfr
473,Buchstabe::N,అక్షరము,llythyren
474,Zeitung::N,వార్తాపత్రిక,papur newydd
475,Leben::N,ప్రాణము,bywyd
476,Tod::N,మరణము,marwolaeth
477,Grab::N,సమాధి,bedd
478,Kirche::N,క్రెస్తవులగుడి,eglwys
479,Sünde::N,పాపము,pechod
480,Gott::N,దేవుడు,duw
481,Arbeiter::N,పనిపాటుచేశేవాడు,gweithiwr
482,Chef::N,యజమానుడు,pennaeth
483,Meister::N,కళాకారుడు,meistr
484,Arzt::N,వైద్యుడు,meddyg
485,Lehrer::N,ఉపాధ్యాయుడు,athro
486,Geld::N,ద్రవ్యము,pres
487,Geld::N,ద్రవ్యము,arian
488,Geschäft::N,వ్యాపారము,busnes
489,Laden::N,అంగడి,siop
490,Preis::N,వెల,pris
491,Ware::N,సరకులు,nwydd
492,Nutzen::N,ప్రయోజనము,elw
493,Nutzen::N,ప్రయోజనము,budd
494,Reichtum::N,ధనము,cyfoeth
495,Welt::N,ప్రపంచము,byd
496,Land::N,దేశము,gwlad
497,Staat::N,రాజ్యము,gwladwriaeth
498,König::N,రాజు,brenin
499,Macht::N,అధికారము,grym
500,Macht::N,అధికారము,awdurdod
501,Grenze::N,సరిహద్దు,ffin
502,Grenze::N,సరిహద్దు,goror
503,Krieg::N,యుద్ధము,rhyfel
504,Feind::N,శత్రువు,gelyn
505,Gewalt::N,దౌర్జన్యము,ffyrnigrwydd
506,Kampf::N,పోట్లాట,brwydr
507,Bogen[Waffe]::N,విల్లు,bwa
508,Pfeil::N,బాణము,saeth
509,Gewehr::N,తుపాకి,dryll
510,Fehler::N,తప్ప,gwall
511,Fehler::N,తప్ప,camgymeriad
512,Lüge::N,అసత్యము,celwydd
513,Lüge::N,అసత్యము,anwiredd
514,Schaden::N,నష్టము,niwed
515,Schaden::N,నష్టము,difrod
516,Unglück::N,దురదృష్టము,anffawd
517,Schuld::N,తప్పు,bai
518,Alter::N,వయస్సు,oed
519,Schluss::N,ముగింపు,diwedd
520,Zeit::N,కాలము,amser
521,Tag::N,దినము,dydd
522,Tag::N,దినము,diwrnod
523,Morgen::N,ఉదయము,bore
524,Mittag::N,మధ్యాహ్నము,nawn
525,Abend::N,సాయంకాలము,noswaith
526,Nacht::N,రత్రి,nos
527,Woche::N,వారము,wythnos
528,Monat::N,నెల,mis
529,Jahr::N,సంవత్సరము,blwyddyn
530,Frühling::N,వసంతకాలము,gwanwyn
531,Sommer::N,వేసవికాము,haf
532,Herbst::N,ఆకురాలుకాలము,hydref
533,Winter::N,శీతకాలము,gaeaf
534,Januar::N,జనవరి,Ionawr
535,Februar::N,ఫిబ్రవరి,Chwefror
536,März::N,మార్చి,Mawrth
537,April::N,ఏప్రిలు,Ebrill
538,Mai::N,మే,Mai
539,Juni::N,జూన్,Mehefin
540,Juli::N,జూలై,Gorffennaf
541,August::N,ఆగస్టు,Awst
542,September::N,సెప్ఠెంబరు,Medi
543,Oktober::N,అక్టోబరు,Hydref
544,November::N,నవంబరు,Tachwedd
545,Dezember::N,డిసెంబర్,Rhagfyr
546,Montag::N,సోమవారము,dydd Llun
547,Dienstag::N,మంగళవారము,dydd Mawrth
548,Mittwoch::N,బుధవారము,dydd Mercher
549,Donnerstag::N,గురువారము,dydd Iau
550,Freitag::N,శుక్రవారము,dydd Gwener
551,Samstag::N,శనివారము,dydd Sadwrn
552,Sonntag::N,ఆదివారము,dydd Sul
553,groß::A,గొప్పైన,mawr
554,klein::A,చిన్న,bach
555,lang::A,పొడుగాటి,hir
556,kurz::A,పొట్టి,byr
557,kurz::A,పొట్టి,cwta
558,breit::A,వెడల్పైన,llydan
559,schmal::A,ఇఱుకైన,cul
560,dicht::A,దట్టమైన,dwys
561,dick[Gegenstand]::A,దట్టమైన,trwchus
562,dünn::A,పలుచని,tenau
563,fein::A,నాజాకైన,main
564,fest::A,దృడమైవ,cadarn
565,flach::A,చదువైన,gwastad
566,glatt::A,నున్నని,llyfn
567,hart::A,కఠినమైన,caled
568,weich::A,మృదువైన,meddal
569,rund::A,గుండ్రని,crwn
570,spitz::A,మొనగల,pigfain
571,scharf::A,పదనైన,miniog
572,stumpf::A,వాడిలేని,pŵl
573,schwer::A,బరువ్తెన,trwm
574,schön::A,సుందరమైన,teg
575,schön::A,సుందరమైన,hardd
576,schön::A,సుందరమైన,prydferth
577,heiß::A,వేడియైన,poeth
578,warm::A,వెచ్చని,twym
579,warm::A,వెచ్చని,cynnes
580,kalt::A,చల్లని,oer
581,kühl::A,చల్లని,oeraidd
582,frisch::A,తాజాయైన,iach
583,feucht::A,చెమ్మగానున్న,llaith
584,nass::A,తడిగామన్న,gwlyb
585,trocken::A,ఎండిన,sych
586,voll::A,నిండు,llawn
587,leer::A,శూన్యమైన,gwag
588,offen::A,తెఱచియున్న,agored
589,geschlossen::A,మూసిన,caead
590,geschlossen::A,మూసిన,caeëdig
591,sauber::A,పరిశుద్ధమైన,glân
592,schmutzig::A,ముఱికియైన,budr
593,schmutzig::A,ముఱికియైన,brwnt
594,roh::A,పచ్చి,amrwd
595,reif::A,పండివ,aeddfed
596,lecker::A,రుచి గల,blasus
597,lecker::A,రుచి గల,danteithiol
598,süß::A,తియ్యని,melys
599,bitter::A,చేదైన,chwerw
600,sauer::A,పుల్లని,sur
601,hell::A,కాంతిగల,disglair
602,dunkel::A,చీకటియైన,tywyll
603,schwarz::A,నల్లని,du
604,weiß::A,తెలుపు,gwyn
605,rot::A,ఎఱ్ఱని,coch
606,gelb::A,పసుపు పచ్చ,melyn
607,blau::A,నీలవర్ణము,glas
608,grün::A,ఆకుపచ్చని,gwyrdd
609,grau::A,నెరిసిన,llwyd
610,bunt::A,రంగేలీ,lliwgar
611,billig::A,చౌకయైన,rhad
612,teuer::A,వెలపొడుగైన,drud
613,wertvoll::A,విలుప్తెన,gwerthfawr
614,blind::A,గ్రుడ్డి,dall
615,taub::A,చెవిటి,byddar
616,kräftig::A,శక్తి గల,nerthol
617,kräftig::A,శక్తి గల,grymus
618,stark::A,బలమైన,cryf
619,stark::A,బలమైన,cadarn
620,schwach::A,బలహీనమైన,gwan
621,fett::A,క్రొవ్విన,tew
622,schlank::A,సన్నని,main
623,hübsch::A,సాగప్తెన,tlws
624,böse::A,చెడ్డ,drwg
625,dumm::A,తెలివిలేని,twp
626,faul::A,సోమరియైన,diog
627,fleißig::A,శ్రద్దగల,dyfal
628,geizig::A,పిసినారియైన,crintach
629,geizig::A,పిసినారియైన,cybyddlyd
630,klug::A,తెలివిగల,deallus
631,geschickt::A,నిపుణతగల,medrus
632,geschickt::A,నిపుణతగల,deheuig
633,lieb::A,ప్రియమైన,hoff
634,lieb::A,ప్రియమైన,annwyl
635,lustig::A,ఉల్లాసము గల,llon
636,sanft::A,సాధువైన,mwyn
637,hungrig::A,ఆకలిగొనిన,newynog
638,krank::A,వ్యాధిగల,sâl
639,krank::A,వ్యాధిగల,gwael
640,nackt::A,దిగంబరమైన,noeth
641,traurig::A,విచారముగల,trist
642,lebendig::A,ప్రాణముతో నున్న,yn fyw
643,gut::A,మంచి,da
644,schlecht::A,చెడ్డ,drwg
645,schlecht::A,చెడ్డ,gwael
646,richtig::A,సరియైన,cywir
647,schlimm::A,అసహ్యమైన,enbyd
648,wahr::A,నిజమైన,gwir
649,alt::A,ముసలి,hen
650,neu::A,క్రొత్త,newydd
651,ehemalig::A,పూర్వపు,blaenorol
652,alt[Lebewesen]::A,ముసలి,oedrannus
653,jung::A,పసి,ifanc
654,arm::A,బీద,tlawd
655,reich::A,ధనవంతుడైన,cyfoethog
656,bekannt::A,తెలిసిన,cynefin
657,bekannt::A,తెలిసిన,cyfarwydd
658,berühmt::A,ప్రపిద్దికెక్కివ,enwog
659,fremd::A,అన్యమైన,estron
660,verschieden::A,భేదమైన,gwahanol
661,nah::A,దగ్గఱనున్న,agos
662,fern::A,దూరమందున్న,pell
663,linker::A,ఎడమప్రక్కగ,aswy
664,linker::A,ఎడమప్రక్కగ,chwith
665,rechter::A,కుడి,de
666,rechter::A,కుడి,deau
667,anderer::A,వేఱ్తెన,arall
668,erster::A,మొదటి,cyntaf
669,zweiter::A,రెండన,ail
670,dritter::A,మూడో,trydydd
671,letzter::A,కడపటి,olaf
672,allein::ADV,ఒంటిగా,unig
673,allein::ADV,ఒంటిగా,ar ei ben ei hun
674,auf einmal::ADV,హరాత్తుగ,ar yr un pryd
675,zusammen::ADV,కలిసి,ynghyd
676,zusammen::ADV,కలిసి,gyda'i gilydd
677,lange::ADV,బహుకాలము,amser hir
678,plötzlich::ADV,హరాత్తుగ,yn sydyn
679,sofort::ADV,తక్షణము,ar unwaith
680,später::ADV,ఇటీవలి,yn ddiweddarach
681,jetzt::ADV,ఇప్పుడు,yn awr
682,heute::ADV,నేడు,heddiw
683,morgen::ADV,ఱేపు,yfory
684,bald::ADV,శీఘ్రముగ,yn fuan
685,bald::ADV,శీఘ్రముగ,gyda hyn
686,dann::ADV,అప్పుడు,yna
