,Concept_ID,ko,ab
54,Hunger::N,공복,амла
55,Träne::N,눈물,алабжыш
56,Geschmack::N,기호,агьама
57,Geruch::N,냄새,афҩы
58,Schlaf::N,수면,ацəа
59,Traum::N,쿰,аҧхыӡ
60,Himmel::N,하늘,ажəҩан
61,Sonne::N,해,амра
62,Mond::N,달,амза
63,Stern::N,별,аеҵəа
64,Luft::N,동준,аҳаир
65,Luft::N,가스채,аҳаир
66,Wind::N,바람,аҧша
67,Welle::N,물결,ацəқəырҧа
68,Wasser::N,물,аӡы
69,Stein::N,돌,ахаҳə
70,Boden::N,바닥,адгьыл
71,Erde::N,흙,адгьыл
72,Staub::N,먼지,асаба
73,Rauch::N,연기,алҩа
74,Funke::N,불티,акəиц
75,Funke::N,불티,ацҧхь
76,Feuer::N,불,амца
77,Licht::N,불,алашара
78,Schatten::N,어스레함,ашəшьыра
79,Wetter::N,기상,амш
80,Nebel::N,안개,анаҟəа
81,Wolke::N,구름,аҧсҭҳəа
82,Regen::N,비,ақəа
83,Schnee::N,눈,асы
84,Eis::N,얼음,аҵаа
85,Frost::N,혹한,аҵаа
86,Kälte::N,추위,ахьҭа
87,Kälte::N,차가움,ахьҭа
88,Hitze::N,고온,ашоура
89,Hitze::N,더위,ашоура
90,Regenbogen::N,무지개,ацəаҟəа
91,Donner::N,뇌명,адыд
92,Strömung::N,유동,аиасра
93,Strömung::N,유동,амҩасра
94,Tropfen::N,물방울,ацəыкəбар
95,Schaum::N,포말,ашəах
96,Schmutz::N,때,алымт
97,See::N,호수,аӡиа
98,Sumpf::N,습지,аӡмах
99,Moor::N,저습지,
100,Wiese::N,목초지,адəы
101,Wald::N,숲,абна
102,Hügel::N,언덕,ахəы
103,Anhöhe::N,언덕,аҳаракыра
104,Berg::N,산,ашьха
105,Gipfel::N,졀졍,ацəқəа
106,Höhle::N,공동,аҳаҧы
107,Abhang::N,몰매,анаара
108,Quelle::N,근원,аҵҵырҭа
109,Bach::N,내,акəараҷҷа
110,Fluss::N,강,аӡиас
111,Ufer::N,강변,ахықə
112,Ufer::N,바닷가,ахықə
113,Küste::N,해변,ахықə
114,Küste::N,해변가,ахықə
115,Festland::N,본토,абарра
116,Meer::N,바다,амшын
117,Bucht::N,협만,аӡбжьахала
118,Insel::N,섬,адгьылбжьаха
119,Blume::N,꽃,ашəҭ
120,Gras::N,풀,аҳасакьын
121,Wurzel::N,뿌리,адац
122,Baum::N,나무,аҵла
123,Stamm::N,대,ашьапы
124,Rinde::N,나무껍질,ацəа
125,Ast::N,가지,амахə
126,Ast::N,가지,амахəҭа
127,Zweig::N,가지,амахə
128,Zweig::N,가지,амахəҭа
129,Blatt::N,잎,абҕьы
130,Birke::N,자작나무,аҵааҵла
131,Kiefer[Baum]::N,소나무,амза
132,Weide[Baum]::N,쉬양버들,аҧслыш
133,Tanne::N,전나무,аҧсаӡ
134,Horn::N,뿔,атəыҩа
135,Feder::N,깃털,ахӡы
136,Fell::N,피혁모피,ацəа
137,Flügel::N,날개,амҵəыжəа
138,Klaue::N,갈고리 발톺,ашьапхыц
139,Kralle::N,발툭,
140,Schwanz::N,꼬리,аҵыхəа
141,Ei::N,알,акəтаӷь
142,Nest::N,보금자리,аҭра
143,Nest::N,보금자리,аҵысҭра
144,Bau::N,굴,аҭыҩра
145,Tier::N,짐승,аҧстəы
146,Tier::N,짐승,агыгшəыг
147,Herde::N,가축의떼,агəарҭа
148,Kuh::N,암소,ажə
149,Bulle::N,황소,ацə
150,Pferd::N,말,аҽы
151,Schaf::N,양,ауаса
152,Schwein::N,돼지,аҳəа
153,Hund::N,개,ала
154,Katze::N,고양이,ацгəы
155,Bär::N,콤,амшə
156,Eichhörnchen::N,다람쥐,аеш
157,Elch::N,고라니,аҽаҩа
158,Fuchs::N,여우,абгахəыҷы
159,Hase::N,토끼,ажьа
160,Maus::N,쥐,аҳəынаҧ
161,Wolf::N,늑대,абгаду
162,Vogel::N,새,аҧсаатə
163,Schwarm::N,뗴,
164,Huhn::N,암탉,акəты
165,Hahn::N,수탉,арбаҕь
166,Gans::N,거위,аҟыз
167,Adler::N,수리,ауарба
168,Ente::N,오리,акəата
169,Eule::N,부엉이,аты
170,Kranich::N,두루미,апҟа
171,Krähe::N,까마귀,аҟəараан
172,Kuckuck::N,뻐꾸기,акəыкəу
173,Schwan::N,배조,агьад
174,Fisch::N,물고기,аҧсыӡ
175,Barsch::N,농어,ацəыбла
176,Hecht::N,에속스,ахиаала
177,Schlange[Tier]::N,뱀,амаҭ
178,Wurm::N,벌레,ахəа
179,Wurm::N,벌레,ахəац
180,Spinne::N,거미,абызкаҭаҳа
181,Ameise::N,개미,ашышкамс
182,Laus::N,이,аҵа
183,Mücke::N,모기,акəыбры
184,Fliege::N,날기,амҵ
185,Schmetterling::N,나비,аҧарҧалыкь
186,Beere::N,장과,аргуц
187,Apfel::N,사과,аҵəа
188,Pilz::N,고방이,акəкəбаа
189,Zwiebel::N,양파,аџьымшьы
190,Zwiebel::N,양파,аџьымшьхы
191,Saat::N,씨,ажəла
192,Korn::N,알맹이,арыц
193,Heu::N,건초,аҭəа
194,Schale::N,피상,ацəа
195,Falle::N,함정,арыҧҟьа
196,Schlinge::N,올가미,аҟəараҟəантə
197,Schlinge::N,멜빵붕대,аҟəараҟəантə
198,Spur::N,발지국,ашьҭа
199,Asche::N,재,ахəа
200,Dreck::N,똥,аҳəынҵəа
201,Dreck::N,똥,аҟьамсар
202,Dreck::N,오물,аҳəынҵəа
203,Dreck::N,오물,аҟьамсар
204,Eisen::N,쇠,аиха
205,Eisen::N,철,аиха
206,Gold::N,항금,ахьы
207,Silber::N,은,аразны
208,Kohle::N,슻,арацəа
209,Glas::N,유리,асаркьа
210,Lehm::N,찰흙,анышəаҧшь
211,Sand::N,모래,аҧслымӡ
212,Mensch::N,사람,ауаҩы
213,Mann::N,남자,ахаҵа
214,Frau::N,여자,аҧҳəыс
215,Kind::N,아이,ахəыҷы
216,Junge::N,소녁,аҷкəын
217,Junge::N,소녁,ахаҵарҧыс
218,Mädchen::N,소녀,аӡӷаб
219,Familie::N,가족,аҭаацəа
220,Großvater::N,할아버지,абду
221,Großmutter::N,할머니,анду
222,Eltern::N,어버오,ани аби
223,Vater::N,아버지,аб
224,Mutter::N,어머니,ан
225,Sohn::N,아들,аҧа
226,Tochter::N,딸기,аҧҳа
227,Bruder::N,형제,аиашьа
228,Schwester::N,누이,Аҳəшьа
229,Onkel::N,백부,абиашьа
230,Onkel::N,백부,аншьа
231,Tante::N,아주머니,абиаҳəшьа
232,Ehemann::N,남편,ахаҵа
233,Ehemann::N,남편,аҧшəма
234,Ehefrau::N,아내,аҧҳəыс
235,Freude::N,기쁨,агəырӷьара
236,Gelächter::N,웃음,ачча
237,Gelächter::N,웃음,аччара
238,Glück::N,즐거움,аразҟы
239,Kummer::N,슬픔,агəырҩа
240,Wunsch::N,소망,агəхəтəы
241,Wunsch::N,소망,аҭахра
242,Geist::N,할기,аҧсы
243,Gedanke::N,상념,ахəыцырҭа
244,Gedächtnis::N,기억,агəынкылара
245,Verstand::N,분별,ахшыҩ
246,Verstand::N,지능,ахшыҩ
247,Sinn::N,센스,аҵакы
248,Grund::N,까닭,амзыз
249,Wahrheit::N,참,аиаша
250,Wahrheit::N,진실,аиаша
251,Gespräch::N,대화,аиҿцәажәара
252,Märchen::N,동화,алакə
253,Erzählung::N,이야기,ажәабжь
254,Neuigkeit::N,뉴스,ажәабжь ҿыц
255,Name::N,이름,ахьӡ
256,Rätsel::N,수수께끼,ацуфара
257,Rede::N,연설,ажәа
258,Sprache::N,말,абызшəа
259,Stimme::N,목소리,абжьы
260,Wort::N,낱말,ажәа
261,Zeichen::N,신호,адырга
262,Ruf::N,부름,аҿҭы
263,Lärm::N,소동,ашьҭыбжь
264,Laut::N,음성,ашьҭыбжь
265,Ton::N,목소리,атон
266,Lied::N,노래,ашəа
267,Ruhe::N,쉼,аҭынчра
268,Leute::N,사람들,ауаа
269,Volk::N,국중,ажəлар
270,Arbeit::N,근로,аусура
271,Arbeit::N,너무,аусура
272,Gast::N,손님,асас
273,Geschenk::N,행하,аҳамҭа
274,Geschenk::N,행하,аҿанҵа
275,Spiel::N,무리,ахəмарра
276,Gesellschaft::N,교제,агəыҧ
277,Hilfe::N,거들음,ацхыраара
278,Hilfe::N,보좌,ацхыраара
279,Freund::N,친구,аҩыза
280,Kamerad::N,동실자,Аҧхнагьла
281,Angelegenheit::N,용무,аус
282,Anzahl::N,어떤,ахыҧхьаӡара
283,Anzahl::N,수,ахыҧхьаӡара
284,Art::N,정류,ахкы
285,Stück::N,일부분,аҽыҭ
286,Teil::N,몱,ахəҭа
287,Teil::N,구훠,ахəҭа
288,Hälfte::N,2분의,абжа
289,Kreis::N,고리,агьагьа
290,Kreuz::N,열십자,аџьар
291,Linie::N,선,аицтәар
292,Strich::N,스침,ацəаҳəа
293,Abstand::N,거리,абжьара
294,Entfernung::N,거리,абжьара
295,Gegend::N,곳,аҭыҧ
296,Gegend::N,부금,аҭыҧ
297,Platz::N,장소,аҭыҧ
298,Ort::N,장소,аҭыҧ
299,Seite::N,옆면,аган
300,Mitte::N,궁간,агəҭа
301,Gegenstand::N,항목,амаҭəар
302,Sache::N,뭉에,
303,Rand::N,가,аҵкар
304,Kante::N,귀퉁,авардым
305,Ecke::N,구석,акəакь
306,Spitze::N,끝,аҧынҵа
307,Spitze::N,참단,аҧынҵа
308,Ende::N,말당,анаӡара
309,Loch::N,빙옷,акылҵəара
310,Winkel::N,각도,агҿаҩра
311,Winkel::N,각도,акəындхə
312,Winkel::N,각도,акəакь
313,Muster::N,본,аҟҟа
314,Muster::N,견복,аҟҟа
315,Größe::N,신장,изаҟароу
316,Länge::N,길이긺,аура
317,Höhe::N,높이,агылара
318,Gewicht::N,추,акапан
319,Menge::N,수양,
320,Haufen::N,퇴적,ачаҟəа
321,Reihe::N,열,ацəаҳəа
322,Boot::N,보트,анышь
323,Ruder::N,노,ажəҩа
324,Schlitten::N,썰매,ашəаҩауардын
325,Ski::N,스키,ашəаҩа
326,Ski::N,스키,ашьахаха
327,Lagerfeuer::N,캠프의 모닥불,еиқуу амца
328,Last::N,무거운짐,ахьанҭара
329,Gang::N,걸음,аныҟəара
330,Schritt::N,보조,ашьаҿа
331,Norden::N,북쪽 ,аҩада
332,Süden::N,남쪽,алада
333,Westen::N,서쪽,амраҭашəара
334,Osten::N,동쪽,амрагылара
335,Holz::N,목재,амҿымаҭəахə
336,Brett::N,마루널,аӷəы
337,Platte::N,탤,ахаҳәцәы
338,Platte::N,금속판,ахаҳәцәы
339,Stütze::N,버팀목,аҵаргəа
340,Stütze::N,버팀목,агəышьаҟа
341,Stange::N,장대,акьат
342,Stock::N,막대기,алаба
343,Stab::N,작대기,акьат
344,Rohr::N,갈대,абыкь
345,Haus::N,집,аҩны
346,Heim::N,집,аҭаацəа
347,Ofen::N,아궁이,аҳақə
348,Ofen::N,아궁이,ауаџьаҟ
349,Ofen::N,아궁이,афрына
350,Fußboden::N,마루,адашьма
351,Tisch::N,탁자,аишәа
352,Stuhl::N,의자,аҟəардə
353,Wiege::N,발상지,агара
354,Bett::N,침대,акаруаҭ
355,Regal::N,서가,акыӷəра
356,Kiste::N,짐궤,аидчаҧала
357,Fenster::N,눔,аҧенџьыр
358,Tür::N,문,ашə
359,Tor::N,대문,агəашə
360,Zaun::N,담장,аанда
361,Dach::N,지붕,ахыб
362,Leiter::N,사닥다리,амардуан
363,Besen::N,비,аҧссага
364,Spaten::N,가래,ажыга
365,Schaufel::N,삽,аҭəарӷəы
366,Gabel::N,갈래,ачқьыҧ
367,Löffel::N,숟가락,амҳаҵə
368,Messer::N,나이프,аҳəызба
369,Nagel::N,발툽,аҵəымӷ
370,Netz::N,그물,акаҭа
371,Haken::N,갈고리,аҵəаҳə
372,Griff::N,움켜쥠,амаа
373,Schloss::N,자물쇠,асаҧаҭ
374,Bild::N,그림,асахьа
375,Figur::N,몸메,афигура
376,Puppe::N,인형,акьанџьа
377,Beutel::N,클,асакь
378,Bündel::N,자근다발,аҿаҳəара
379,Tasche::N,가방,арҭмаҟ
380,Eimer::N,동이,аведра
381,Deckel::N,뚜껑,ахҩа
382,Geschirr::N,식시,ачысмаҭəа
383,Sack::N,조갑,асакь
384,Tasse::N,차잔,аҵəца
385,Topf::N,단지,акаструлиа
386,Kessel::N,주전자,ачуан
387,Essen::N,먹기,
388,Nahrung::N,식료,афатə
389,Speise::N,음식물,афатə
390,Fleisch::N,고기,акəац
391,Getreide::N,곡물,ачакуа
392,Brei::N,젤리,ақашь
393,Brot::N,빵,ача
394,Scheibe::N,원반,аҽыҭ
395,Scheibe::N,원반,аҿаҵа
396,Fett::N,기름,ашша
397,Butter::N,버터,ахəша
398,Öl::N,올리브유,азеҭ
399,Salz::N,소금,аџьыка
400,Suppe::N,국,асуҧ
401,Suppe::N,수프,асуҧ
402,Honig::N,감미,ацха
403,Milch::N,유즙,ахш
404,Tee::N,차,ачаи
405,Leder::N,가죽,ацəа
406,Wolle::N,양털,аласа
407,Stoff::N,패료,Аба
408,Nadel::N,바늘,агəыр
409,Faden::N,콘실,арахəыц
410,Knopf::N,단추,аҳəынҵəра
411,Knoten::N,곁절,аиқəҳəала
412,Farbe::N,색,ашəыга
413,Kleidung::N,옷입기,амаҭəа
414,Hemd::N,속옷,акьаҿ
415,Kragen::N,깃,ахəда
416,Ärmel::N,소매,амаӷра
417,Hose::N,바지,аиқəа
418,Gürtel::N,밴드,амаҟа
419,Mütze::N,모자,ахылҧа
420,Schuh::N,구두,аимаа
421,Stiefel::N,장화,амагə
422,Ring::N,고리,амацəаз
423,Band::N,리본,алента
424,Kamm::N,빗,ахҳəа
425,Spiegel::N,거울,асаркьа
426,Riemen::N,가죽끈,аа
427,Schnur::N,밧줄,ашаха
428,Leine::N,고삐줄,аҕура
429,Decke::N,이부자리,ахыза
430,Kissen::N,깔개,ахчы
431,Tuch::N,천,акасы
432,Handtuch::N,수건,ампахьшьы
433,Kraft::N,세력,амч
434,Stärke::N,힘,амч
435,Gesundheit::N,위생,агəабзиара
436,Krankheit::N,병,ачымазара
437,Schmerz::N,아픔고통,ахьаа
438,Wunde::N,상처,ахəра
439,Fieber::N,열별,ашоура
440,Arznei::N,약,ахəшə
441,Brücke::N,교량,ацҳа
442,Brunnen::N,원천,аҵыџь
443,Weide::N,목장,аҳəырҭа
444,Pfad::N,좁은길,амхəасҭа
445,Weg::N,길,амҩа
446,Straße::N,길,амҩа
447,Dorf::N,촌,ақыҭа
448,Dorf::N,촌락,ақыҭа
449,Stadt::N,도시,ақалақь
450,Brief::N,서한,ашəҟəы
451,Buch::N,책,ашəҟəы
452,Buchstabe::N,문자,анбан
453,Zeitung::N,신문,агазеҭ
454,Leben::N,삶,аҧсҭазаара
455,Tod::N,죽음,аҧсра
456,Grab::N,무덤,анышəынҭра
457,Kirche::N,교회,ауахəама
458,Sünde::N,부정,агəнаҳа
459,Gott::N,하느님,анцəа
460,Arbeiter::N,일하는사람,аусуҩ
461,Chef::N,사장,Аиҳабы
462,Meister::N,명인,аҟаза
463,Meister::N,대가,аҟаза
464,Arzt::N,의사,аҳақьым
465,Lehrer::N,교사,арҵаҩы
466,Geld::N,돈,аҧара
467,Geschäft::N,일,
468,Laden::N,가게,амагазин
469,Preis::N,가격,ахə
470,Ware::N,상품,атауар
471,Nutzen::N,이익,ақьар
472,Reichtum::N,많음,абеиара
473,Welt::N,세상,адунеи
474,Land::N,지방,атəыла
475,Staat::N,국가,аҳəынҭқарра
476,König::N,국왕,акрал
477,Macht::N,힘,амчра
478,Grenze::N,국경,аҳəаа
479,Krieg::N,전쟁,аибашьра
480,Feind::N,적,Аҕа
481,Gewalt::N,권력,ақəымчра
482,Kampf::N,전투,ақəҧара
483,Bogen[Waffe]::N,활,ахыц
484,Pfeil::N,화살,ахəымпал
485,Gewehr::N,무기,ашəақь
486,Fehler::N,오류,агха
487,Lüge::N,거짓말,амц
488,Schaden::N,손상,аҧырхага
489,Unglück::N,불행,арыцҳара
490,Schuld::N,부채,ахара
491,Alter::N,연령,ақəра
492,Schluss::N,마감,анҵəамҭа
493,Zeit::N,때,аамта
494,Zeit::N,시간,аамта
495,Tag::N,하루,амш
496,Morgen::N,이침,ашара
497,Morgen::N,이침,ашьыбжь
498,Mittag::N,대낮,шьыбжьон
499,Abend::N,저녁,ахəылҧаз
500,Abend::N,저녁,ахəлбыҽха
501,Nacht::N,밤,аҵх
502,Woche::N,근무일,амчыбжь
503,Monat::N,달,
504,Jahr::N,해,
505,Frühling::N,봄,ааҕын
506,Sommer::N,여름,аҧхын
507,Herbst::N,가을,ҭагалан
508,Herbst::N,가을,хкаарачан
509,Winter::N,겨울,аӡын
510,Januar::N,일월,ианвар
511,Februar::N,이월,февраль
512,März::N,삼월,март
513,April::N,사월,апрель
514,Mai::N,오월,маи
515,Juni::N,유월,иуун
516,Juli::N,칠월,иууль
517,August::N,팔월,август
518,September::N,구월,сентиабр
519,Oktober::N,시월,октиабр
520,November::N,십일월,ноиабр
521,Dezember::N,십이월,декабр
522,Montag::N,월요일,ашəахьа
523,Dienstag::N,화요일,аҩаша
524,Mittwoch::N,수요일,ахаша
525,Donnerstag::N,모교일,аҧшьаша
526,Freitag::N,그묘일,ахəаша
527,Samstag::N,토요일,асабша
528,Sonntag::N,일요일,амҽыша
529,groß::A,큰,аду
530,klein::A,자근,амаҷ
531,lang::A,긴,ахəхəа
532,kurz::A,짧은,акьаҿ
533,breit::A,넓은,аиужь
534,breit::A,넓은,аиҵых
535,schmal::A,좁은,аҭшəа
536,dicht::A,농밀한,аилач
537,dick[Gegenstand]::A,두꺼운,ажəпа
538,dünn::A,얇은,
539,fein::A,미세한,апа
540,fein::A,미세한,аҵаӷа
541,fein::A,미세한,аӡа
542,fest::A,굳은,аҟаца
543,fest::A,굳은,аӷəӷəаҟаца
544,flach::A,얕은,ақəаҟьа
545,flach::A,얕은,аҧаҟьа
546,glatt::A,반들반들한,аимаҩзы
547,hart::A,굳은,акьакьа
548,weich::A,연한,атата
549,rund::A,둥근,акəмпыл
550,spitz::A,뾰족한,аҵар
551,scharf::A,날카로운,аҵар
552,stumpf::A,무딘,ацагə
553,schwer::A,무거운,ахьанҭа
554,schön::A,멋진,аҧшӡа
555,heiß::A,뜨거운,ашы
556,warm::A,따뜻한,аҧха
557,kalt::A,찬,ахьшəашəа
558,kühl::A,서늘한,ахьшəашəа
559,kühl::A,서늘한,ицәыхьшәашәоу
560,frisch::A,신선한,цқьа
561,feucht::A,축축한,ацəаак
562,nass::A,젖은,абааӡа
563,trocken::A,마른,Аба
564,trocken::A,마른,аҩа
565,voll::A,완전한,азна
566,leer::A,빈,аҭацəы
567,offen::A,열린,аарта
568,geschlossen::A,닫힌,ихҩоу
569,geschlossen::A,닫힌,иаркыу
570,sauber::A,깨끗한,ацқьа
571,schmutzig::A,더러운,аҟьашь
572,roh::A,날게잇의,
573,reif::A,이근,Арҭ
574,reif::A,이근,аҟала
575,reif::A,이근,иҟалахьоу
576,lecker::A,맛있는,ахаа
577,süß::A,단,азла
578,bitter::A,찌르는듯한,аша
579,sauer::A,산성의,аҵəҵəы
580,hell::A,밝은,алаша
581,dunkel::A,어두운,алашьца
582,schwarz::A,검은,аиқуаҵәа
583,weiß::A,하얀,ашкəакəа
584,rot::A,붉은,аҟаҧшь
585,gelb::A,황색,аҩеижь
586,blau::A,푸른,аҽҵәа
587,grün::A,녹색의,ашьацҧшҭəала
588,grün::A,녹색의,аеҵəа
589,grau::A,회색의,ацəыш
590,bunt::A,알록달록한,Аилыҕраа
591,bunt::A,알록달록한,аҕраҷкəын
592,billig::A,싼,амариа
593,teuer::A,값비산,амҩан
594,wertvoll::A,가치가많은,кыр иаҕсоу
595,wertvoll::A,가치가많은,акыр иаҕсоу
596,blind::A,눈먼,алашə
597,taub::A,무감간한,адагəа
598,kräftig::A,강장한,аӷəӷəа
599,stark::A,강한,абаҟа
600,schwach::A,약한,акəада
601,fett::A,실찐,аҧсыла
602,schlank::A,호리호리한,акала
603,schlank::A,호리호리한,акьалантар
604,schlank::A,호리호리한,аиҿартə
605,hübsch::A,예쁜,аҧшӡа
606,böse::A,나쁜,абааҧсы
607,dumm::A,어리석은,агаӡа
608,faul::A,너덜너덜한,аашьа
609,fleißig::A,근면한,иҟубҷоу
610,geizig::A,인색한,акы
611,geizig::A,인색한,акаҷбеи
612,geizig::A,인색한,аҟəџьыр
613,geschickt::A,교묘한,напҟазала
614,lieb::A,친애하는,алашара
615,lustig::A,유쾌한,алах-ҿых
616,lustig::A,유쾌한,игурҕьаччо
617,lustig::A,유쾌한,агурҕьа
618,lustig::A,유쾌한,агурҿыхага
619,sanft::A,온화한,атата
620,sanft::A,온화한,аҟəымшəышə
621,sanft::A,온화한,ақьыҧш
622,hungrig::A,배고픈,амлашь
623,krank::A,병든,ачымазаҩ
624,nackt::A,벌거벗은,аҟьантаз
625,traurig::A,슬픈,алахьеиқəҵага
626,lebendig::A,살아있는,абза
627,gut::A,좋은,абзиа
628,schlecht::A,나쁜,-хəарҭам
629,richtig::A,바른,иашоу
630,schlimm::A,못된,абааҧсы
631,wahr::A,참된,агəҭылса
632,wahr::A,참된,абзиаҵəҟьа
633,alt::A,늙은,Ажə
634,neu::A,새,аҿыц
635,ehemalig::A,전의,анкьатәи
636,alt[Lebewesen]::A,낡은,абырг
637,alt[Lebewesen]::A,낡은,ақабада
638,alt[Lebewesen]::A,낡은,Ажə
639,jung::A,젊은,аҟата
640,arm::A,가난한,ананамга
641,reich::A,풍부한,абеиа
642,bekannt::A,저명한,адыр
643,berühmt::A,유명한,адыр
644,fremd::A,타처이,атəым
645,verschieden::A,따른,Еиуа-еиҧшым
646,nah::A,가까운,ааигəа
647,fern::A,먼,ахара
648,linker::A,왼쭉의,арма
649,rechter::A,오른쪽의,арҕьа
650,anderer::A,다른,даҽа
651,anderer::A,다른,даҽакы
652,erster::A,첫째,актәи
653,zweiter::A,둘째,аҩбатəи
654,dritter::A,셋째,ахҕатәи
655,letzter::A,의후자의,аҵыхəтəантəи
656,allein::ADV,훌로,мацара
657,auf einmal::ADV,갑자기,зныкала
658,auf einmal::ADV,갑자기,зныкҟьара
659,zusammen::ADV,모아서,аиц...
660,lange::ADV,오래,акыраамҭа
661,plötzlich::ADV,둘연한,иаалырҟьаны
662,sofort::ADV,즉시,иаразнакҵәҟьа
663,später::ADV,보다늦은,уажəшьҭаншəа
664,jetzt::ADV,목하,уажәы
665,heute::ADV,오늘,иахьа
666,morgen::ADV,내일,уаҵәы
667,bald::ADV,곱,иласны
668,dann::ADV,그경우에,нас
669,gestern::ADV,어제,иацы
670,einst::ADV,옛날에,зны
671,damals::ADV,그때에,усҟан
672,danach::ADV,그 뒤에,нас
673,vorher::ADV,미리,уаанӡа
674,zuerst::ADV,최초로,азнаказы
675,zuerst::ADV,최초로,аҧхьа
676,einmal::ADV,한번,зны
677,manchmal::ADV,땓대로,зны-зынла
678,oft::ADV,땓대로,лассы-лассы
679,immer::ADV,늘,енагь
680,immer::ADV,늘,еснагь
681,niemals::ADV,결코...(하지)않다,ианакəызаалак
682,hier::ADV,여기,ара
683,hier::ADV,여기,абра
684,hier::ADV,여기,араҟа
685,hierhin::ADV,여기로,ара
686,hierhin::ADV,여기로,араҟа
687,dort::ADV,거기,уа
688,dorthin::ADV,저기예,уахь
689,dorthin::ADV,저기예,анахь
690,geradeaus::ADV,곧장,ишиашоу
691,vorwärts::ADV,앞으로,ҕхьаҟа
692,rückwärts::ADV,뒤로,шьҭахьла
693,zurück::ADV,제자리로,шьҭахьҟа
694,unten::ADV,아래에,лбаа
695,hinab::ADV,아래쪽으로,алада
696,oben::ADV,위에,хыхь
697,hinauf::ADV,위쪽으로,аҩада
698,überall::ADV,도처에,зегьынцьара
699,nicht::ADV,안,-м
700,ein wenig::ADV,적음,ҕыҭк
701,kaum::ADV,가의,аарлаҳәа
702,kaum::ADV,가의,афергьҳәа
703,sehr::ADV,자주,даара
704,so::ADV,그와같이,ас
705,so::ADV,그와같이,абас
706,noch::ADV,아직,макьана
707,nur::ADV,다만,заҵәык
708,schon::ADV,이미,уажәшьҭа
709,schon::ADV,이미,аиҳа ипоу
710,wieder::ADV,다시,ҿыц
711,wieder::ADV,다시,дырҩегь
712,wieder::ADV,다시,дырҩегьых
713,vergebens::ADV,헛되이,баша
714,vor::PRP,앞에,аҕхьа
715,hinter::PRP,뒤에,нхыҵ
716,unter::PRP,잍에,амҵа
717,unter::PRP,잍에,амҵан
718,durch::PRP,통고하여,
719,neben::PRP,와나란히,ааигуара
720,zwischen::PRP,의사이로,абжьара
721,wegen::PRP,때문에,-иззы
722,wegen::PRP,때문에,-ҟнытә
723,dies::PRN,이,ари
724,dies::PRN,이,абри
725,das::PRN,저,Абни
726,das::PRN,저,убри
727,alles::PRN,모든것,зегьы
728,ich::PRN,나,са
729,ich::PRN,나,сара
730,du::PRN,너,бара
731,er::PRN,그,иара
732,wir::PRN,우리,ҳара
733,ihr::PRN,너희들,шәара
734,sie::PRN,그들,дара
735,was::FPRN,뭣,
736,wer::FPRN,누구,дарбан
737,wo::FADV,어디,иабыкуу
738,wo::FADV,어디,аба-
739,wo::FADV,어디,ахь-
740,wohin::FADV,어디로,иабыкуу
741,wohin::FADV,어디로,аба-
742,wohin::FADV,어디로,ахь-
743,wie::FADV,어떻게,-шҕа
744,warum::FADV,왜,избан
745,wieviel::FNUM,얼마만큰,заҟа
746,eins::NUM,하나,акы
747,eins::NUM,하나,аӡәы
748,zwei::NUM,둘,ҩба
