,Concept_ID,kk,is
593,Laden::N,дүкен,búð
594,Laden::N,дүкен,verslun
595,Preis::N,ақы,verð
596,Preis::N,құны,verð
597,Preis::N,нарық,verð
598,Ware::N,тауар,vara
599,Nutzen::N,пайда,gagn
600,Reichtum::N,бақ-дәулет,auður
601,Welt::N,әлем,veröld
602,Welt::N,жиһан,veröld
603,Land::N,аймақ,land
604,Staat::N,мемлекет,ríki
605,König::N,патша,konungur
606,Macht::N,өкімет,vald
607,Macht::N,қожалық,vald
608,Grenze::N,шек,landamæri
609,Krieg::N,соғыс,stríð
610,Feind::N,жау,fjandmaður
611,Feind::N,дұшпан,fjandmaður
612,Gewalt::N,зорлык,ofbeldi
613,Gewalt::N,зорлық-зомбылык,ofbeldi
614,Kampf::N,күрес,bardagi
615,Kampf::N,алыспақ,bardagi
616,Bogen[Waffe]::N,саржа,bogi
617,Pfeil::N,жебе,ör
618,Gewehr::N,қару,byssa
619,Fehler::N,әбес,villa
620,Fehler::N,қаталық,villa
621,Lüge::N,өтірік,lygi
622,Schaden::N,зиян,skemmd
623,Schaden::N,зарар,skemmd
624,Unglück::N,пәле,óhamingja
625,Unglück::N,қасырет,óhamingja
626,Unglück::N,ауыртпалық,óhamingja
627,Schuld::N,айыптылық,sök
628,Alter::N,жас,aldur
629,Alter::N,жас шамасы,aldur
630,Schluss::N,ада,lok
631,Schluss::N,ада,endir
632,Schluss::N,бітуі,lok
633,Schluss::N,бітуі,endir
634,Zeit::N,уақыт,tími
635,Tag::N,күн,dagur
636,Morgen::N,таң,morgunn
637,Morgen::N,таңертең,morgunn
638,Mittag::N,талтүс,hádegi
639,Abend::N,кеш,kvöld
640,Nacht::N,түн,nótt
641,Woche::N,апта,vika
642,Monat::N,ай,mánuður
643,Jahr::N,жыл,ár
644,Frühling::N,көктем,vor
645,Sommer::N,жаз,sumar
646,Herbst::N,күз,haust
647,Winter::N,қыс,vetur
648,Januar::N,каңтар,janúar
649,Februar::N,ақпан,február
650,März::N,наурыз,mars
651,April::N,сәуір,apríl
652,Mai::N,мамыр,maí
653,Juni::N,маусым,júní
654,Juli::N,шілде,júlí
655,August::N,сүмбіле,ágúst
656,August::N,тамыз,ágúst
657,September::N,қыркүйек,september
658,Oktober::N,ақырап,október
659,November::N,қараша,nóvember
660,Dezember::N,желтоқсан,desember
661,Montag::N,дүйсенбі,mánudagur
662,Dienstag::N,сейсенбі,þriðjudagur
663,Mittwoch::N,сәрсенбі,miðvikudagur
664,Donnerstag::N,бейсенбі,fimmtudagur
665,Freitag::N,жұма,föstudagur
666,Samstag::N,сенбі,laugardagur
667,Sonntag::N,жексембі,sunnudagur
668,groß::A,алпамсадай,stór
669,klein::A,кішкене,lítill
670,klein::A,қарғадай,lítill
671,lang::A,сопақ,langur
672,lang::A,сорайған,langur
673,kurz::A,кеспелтек,stuttur
674,breit::A,айдынды,breiður
675,schmal::A,қысық,mjór
676,dicht::A,жиі,þéttur
677,dick[Gegenstand]::A,шомбал,þykkur
678,dünn::A,жұқа,þunnur
679,dünn::A,жіңішке,þunnur
680,fein::A,қаңылтақ,fíngerður
681,fest::A,берік,fastur
682,fest::A,мызғымас,fastur
683,flach::A,жалпак,flatur
684,glatt::A,типыл,háll
685,glatt::A,типыл,sléttur
686,hart::A,қатты,harður
687,weich::A,жұмсақ,mjúkur
688,rund::A,домалақ,kringlóttur
689,spitz::A,үшкір,oddhvass
690,scharf::A,сүйрік,beittur
691,stumpf::A,доғал,bitlaus
692,stumpf::A,өтпейтін,bitlaus
693,schwer::A,салмақты,þungur
694,schön::A,сұлу,fagur
695,schön::A,сұлу,fallegur
696,heiß::A,ыссы,heitur
697,warm::A,жылы,hlýr
698,warm::A,жылы,heitur
699,kalt::A,аязды,kaldur
700,kühl::A,салқын,svalur
701,frisch::A,таза,frískur
702,frisch::A,жаңа,frískur
703,feucht::A,нам,rakur
704,feucht::A,нам,þvalur
705,feucht::A,дымқылды,rakur
706,feucht::A,дымқылды,þvalur
707,nass::A,сулы,votur
708,nass::A,сулы,blautur
709,trocken::A,құрғақ,þurr
710,voll::A,толы,fullur
711,leer::A,бос,tómur
712,offen::A,ашып қойылған,opinn
713,geschlossen::A,жабулы,lokaður
714,sauber::A,дақсыз,þrifinn
715,sauber::A,мұнтаздай,þrifinn
716,schmutzig::A,айғыз,óhreinn
717,schmutzig::A,айғыз,sóðalegur
718,schmutzig::A,сатпақ,óhreinn
719,schmutzig::A,сатпақ,sóðalegur
720,schmutzig::A,сатал-сатал,óhreinn
721,schmutzig::A,сатал-сатал,sóðalegur
722,roh::A,шикі,hrár
723,reif::A,піскен,þroskaður
724,lecker::A,дәмді,ljúffengur
725,süß::A,тәтті,sætur
726,bitter::A,ащы,beiskur
727,sauer::A,қышқыл,súr
728,hell::A,жарық,bjartur
729,hell::A,жарқын,bjartur
730,dunkel::A,қараңғы,dimmur
731,schwarz::A,қара,svartur
732,weiß::A,ақ,hvítur
733,rot::A,қызыл,rauður
734,gelb::A,сары,gulur
735,blau::A,көк,blár
736,grün::A,жасыл,grænn
737,grau::A,бозамық,grár
738,bunt::A,алабажак,marglitur
739,billig::A,арзан,ódýr
740,teuer::A,бағалы,dýr
741,wertvoll::A,құнды,verðmætur
742,wertvoll::A,қымбат,verðmætur
743,blind::A,көзсіз,blindur
744,blind::A,көр,blindur
745,blind::A,көр_соқыр,blindur
746,taub::A,керең,heyrnarlaus
747,taub::A,саңырау,heyrnarlaus
748,kräftig::A,қуатты,öflugur
749,kräftig::A,қарымды,öflugur
750,stark::A,білекті,sterkur
751,schwach::A,әлсіз,veill
752,schwach::A,күшсіз,veill
753,schwach::A,қайратсыз,veill
754,fett::A,семіз,feitur
755,schlank::A,ашаң,grannur
756,schlank::A,ашаң,spengilegur
757,hübsch::A,ажарлы,snotur
758,hübsch::A,ажарлы,laglegur
759,hübsch::A,шырайлы,snotur
760,hübsch::A,шырайлы,laglegur
761,böse::A,өш,illur
762,böse::A,өш,vondur
763,böse::A,сұм,illur
764,böse::A,сұм,vondur
765,böse::A,жауыз,illur
766,böse::A,жауыз,vondur
767,dumm::A,көкми,heimskur
768,dumm::A,ақымақ,heimskur
769,dumm::A,миы жоқ,heimskur
770,faul::A,жалқау,latur
771,faul::A,еріншек,latur
772,fleißig::A,ұқыпты,iðinn
773,geizig::A,сараң,nískur
774,klug::A,жетік,hygginn
775,klug::A,ақылды,hygginn
776,geschickt::A,шебер,fimur
777,geschickt::A,шебер,laginn
778,lieb::A,абзал,kær
779,lieb::A,абзал,ljúfur
780,lieb::A,айналайын,kær
781,lieb::A,айналайын,ljúfur
782,lustig::A,көңілді,kátur
783,sanft::A,жуас,blíður
784,hungrig::A,аш,soltinn
785,hungrig::A,аш,hungraður
786,krank::A,кеселді,sjúkur
787,nackt::A,жалаңаш,nakinn
788,traurig::A,қапа,dapur
789,traurig::A,қапа,hryggur
790,lebendig::A,тірі,lifandi
791,lebendig::A,жанды,lifandi
792,gut::A,жақсы,góður
793,schlecht::A,жаман,slæmur
794,schlecht::A,жаман,lélegur
795,richtig::A,дұрыс,réttur
796,schlimm::A,жаман,slæmur
