,Concept_ID,lt,ta
54,Hunger::N,alkis,பசி
55,Träne::N,ašara,கண்ணீர்
56,Geschmack::N,skonis,நறுமணம்
57,Geruch::N,kvapas,துர்நாற்றம்
58,Schlaf::N,miegas,தூக்கம்
59,Traum::N,sapnas,கனவு
60,Himmel::N,dangus,வானம்
61,Sonne::N,saulė,சூரியன்
62,Mond::N,mėnulis,சந்திரன்
63,Stern::N,žvaigždė,நட்சத்திரம்
64,Luft::N,oras,காறறு
65,Wind::N,vėjas,காற்று
66,Welle::N,banga,அலை
67,Welle::N,vilnis,அலை
68,Wasser::N,vanduo,நீர்
69,Stein::N,akmuo,கல்
70,Boden::N,žemė,தரை
71,Boden::N,dugnas,தரை
72,Erde::N,žemė,மண்
73,Staub::N,dulkės,தூசி
74,Rauch::N,dūmai,புகை
75,Funke::N,kibirkštis,தீப்பொறி
76,Feuer::N,ugnis,தீ
77,Licht::N,šviesa,வெளிச்சம்
78,Schatten::N,paūksmė,நிழல்
79,Wetter::N,oras,வானிலை
80,Nebel::N,migla,பனிமூட்டம்
81,Nebel::N,rūkas,பனிமூட்டம்
82,Wolke::N,debesis,மேகம்
83,Regen::N,lietus,மழை
84,Schnee::N,sniegas,உறைபனி
85,Eis::N,ledas,பனிக்கட்டி
86,Frost::N,šalna,உறைபனி
87,Kälte::N,šaltis,குளிர்ந்த
88,Hitze::N,karštis,சூடு
89,Raureif::N,šerkšnas,உறைபனி வெண்திரை
90,Regenbogen::N,vaivorykštė,வானவில்
91,Donner::N,perkūnas,இடி
92,Donner::N,griaustinis,இடி
93,Strömung::N,tėkmė,நீரோட்டம்
94,Tropfen::N,lašas,துளி
95,Schaum::N,putos,நுரை
96,Schmutz::N,purvas,அழுக்கு
97,See::N,ežeras,ஏரி
98,Sumpf::N,klampynė,சதுப்பு நிலம்
99,Sumpf::N,liūnas,சதுப்பு நிலம்
100,Moor::N,pelkė,முட்புதற்காடு
101,Wiese::N,pieva,பசும் புல்தரை
102,Wald::N,miškas,காடு
103,Hügel::N,kalva,குன்று
104,Anhöhe::N,kauburys,பதுக்கை
105,Berg::N,kalnas,மலை
106,Gipfel::N,viršūnė,உச்சி மாநாடு
107,Höhle::N,ola,குகை
108,Abhang::N,šlaitas,சரிவு
109,Abhang::N,nuokalnė,சரிவு
110,Quelle::N,versmė,மூலம்
111,Quelle::N,šaltinis,மூலம்
112,Bach::N,upelis,ஓடை
113,Fluss::N,upė,ஆறு
114,Ufer::N,krantas,நீர்க்கரை
115,Küste::N,pajūris,கடற்கரை
116,Festland::N,sausuma,நிலம்
117,Meer::N,jūra,கடல்
118,Bucht::N,įlanka,சிறுகுடா
119,Bucht::N,užutekis,சிறுகுடா
120,Insel::N,sala,தீவு
121,Blume::N,gėlė,பூ
122,Gras::N,žolė,புல்தரை
123,Wurzel::N,šaknis,வேர்
124,Baum::N,medis,மரம்
125,Stamm::N,kamienas,அடிமரம்
126,Rinde::N,žievė,பட்டை
127,Rinde::N,žievė,மரப்பட்டை
128,Ast::N,šaka,கினை
129,Zweig::N,šakelė,குச்சி
130,Blatt::N,lapas,இலை
131,Birke::N,beržas,பிர்ச் மரம்
132,Kiefer[Baum]::N,pušis,தேவதாரு மரம்
133,Weide[Baum]::N,karklas,மர வகைகளுள் ஒன்று
134,Tanne::N,eglė,சாதிக்கய்
135,Tanne::N,kėnis,சாதிக்கய்
136,Horn::N,ragas,கொம்பு
137,Feder::N,plunksna,இறகு
138,Fell::N,kailis,மென்முடி
139,Flügel::N,sparnas,இறக்கை
140,Klaue::N,kanopa,நகம்
141,Kralle::N,nagas,நகம்
142,Schwanz::N,uodega,வால்
143,Ei::N,kiaušinis,முட்டை
144,Nest::N,gūžta,கூடு
145,Nest::N,lizdas,கூடு
146,Bau::N,ola,குகை
147,Tier::N,gyvūnas,விலங்கு
148,Herde::N,banda,கூட்டம்
149,Herde::N,kaimenė,கூட்டம்
150,Kuh::N,karvė,பசு
151,Bulle::N,bulius,காளை
152,Pferd::N,arklys,குதிரை
153,Schaf::N,avis,செம்மறிஆடு
154,Schwein::N,kiaulė,பன்றி
155,Hund::N,šuo,நாய்
156,Katze::N,katė,பூனை
157,Bär::N,lokys,கரடி
158,Eichhörnchen::N,voveraitė,அணில்
159,Elch::N,briedis,கடம்பை
160,Fuchs::N,lapė,நரி
161,Hase::N,kiškas,முயல்
162,Maus::N,pelė,எலி
163,Wolf::N,vilkas,ஓநாய்
164,Vogel::N,paukštis,பறவை
165,Schwarm::N,spiečius,தொகுதி
166,Huhn::N,višta,கோழிக்குஞசு
167,Hahn::N,gaidys,சேவல்
168,Gans::N,žąsis,பெண் வாத்து
169,Adler::N,erelis,பருநது
170,Ente::N,antis,வாத்து
171,Eule::N,pelėda,ஆந்தை
172,Kranich::N,gervė,நாரை
173,Krähe::N,varna,காகம்
174,Kuckuck::N,gegužė,குயில்
175,Schwan::N,gulbė,அன்னம்
176,Fisch::N,žuvis,மீன்
177,Barsch::N,ešerys,பேர்ச்
178,Hecht::N,lydeka,கோலாச்சி மீன்
179,Schlange[Tier]::N,gyvatė,பாம்பு
180,Wurm::N,kirmėlė,புழு
181,Spinne::N,voras,சிலந்தி
182,Ameise::N,skruzdė,எறும்பு
183,Laus::N,utėlė,பேன்
184,Mücke::N,uodas,கொசுவினப்பூச்சி
185,Fliege::N,musė,ஈ
186,Schmetterling::N,drugys,வண்ணத்துப்பூச்சி
187,Schmetterling::N,peteliškė,வண்ணத்துப்பூச்சி
188,Beere::N,uoga,சதைப்பழம்
189,Apfel::N,obuolys,ஆப்பிள பழம்
190,Pilz::N,grybas,காளான்
191,Zwiebel::N,svogūnas,வெங்காயம்
192,Saat::N,sėkla,விதை
193,Korn::N,grūdai,தானியம்
194,Heu::N,šienas,வைக்கோல்
195,Schale::N,žievelė,தோல்
196,Grube::N,duobė,குழி
197,Falle::N,pinklės,பொறி
198,Falle::N,žabangai,பொறி
199,Schlinge::N,kilpa,கண்ணி
200,Spur::N,vėžė,சுவடு
201,Spur::N,pėdos,சுவடு
202,Spur::N,pėdsakas,சுவடு
203,Asche::N,pelenai,சாம்பல்
204,Dreck::N,purvas,அழுக்கு
205,Eisen::N,geležis,இரும்பு
206,Gold::N,auksas,தங்கம்
207,Silber::N,sidabras,வெள்ளி
208,Kohle::N,anglis,நிலக்கரி
209,Glas::N,stiklas,கண்ணாடி
210,Lehm::N,molis,களிமண்
211,Sand::N,smėlis,மணல்
212,Mensch::N,žmogus,மனிதர்கள்
213,Mann::N,vyras,மனிதன்
214,Mann::N,vyriškis,மனிதன்
215,Frau::N,moteris,பெண்
216,Kind::N,vaikas,குழந்தை
217,Junge::N,vaikinas,பையன்
218,Junge::N,berniukas,பையன்
219,Mädchen::N,mergytė,சிறுமி
220,Mädchen::N,mergaitė,சிறுமி
221,Familie::N,šeima,குடும்பம்
222,Großvater::N,senelis,தாத்தா
223,Großmutter::N,senelė,பாட்டி
224,Eltern::N,tėvai,பெற்றோர்
225,Vater::N,tėvas,தந்தை
226,Mutter::N,motina,தாய்
227,Sohn::N,sūnus,மகன்
228,Tochter::N,duktė,மகள்
229,Bruder::N,brolis,சகோதரன்
230,Schwester::N,sesuo,அக்கா
231,Onkel::N,dėdė,தாய் மாமன்
232,Tante::N,teta,அத்தை
233,Ehemann::N,vyras,கணவன்
234,Ehefrau::N,žmona,மனைவி
235,Freude::N,džiaugsmas,கொண்டாட்டம்
236,Gelächter::N,juokas,சிரிப்பு
237,Glück::N,laimė,மகிழ்ச்சி
238,Kummer::N,vargas,துயரம்
239,Kummer::N,rūpestis,துயரம்
240,Wunsch::N,troškimas,விருப்பம்
241,Wunsch::N,pageidavimas,விருப்பம்
242,Lust::N,noras,விருப்பம்
243,Lust::N,geidulys,விருப்பம்
244,Geist::N,dvasia,ஆன்மா
245,Gedanke::N,mintis,எண்ணம்
246,Gedächtnis::N,atmintis,ஞாபகம்
247,Verstand::N,protas,மனம்
248,Sinn::N,prasmė,அர்த்தம்
249,Grund::N,priežastis,காரணம்
250,Wahrheit::N,tiesa,உண்நை
251,Wahrheit::N,teisybė,உண்நை
252,Gespräch::N,pokalbis,பெசு
253,Märchen::N,pasaka,நம்பத்தகாத கதை
254,Erzählung::N,apsakymas,கதை
255,Erzählung::N,pasakojimas,கதை
256,Nachricht::N,žinia,செய்தி
257,Neuigkeit::N,naujiena,செய்தி
258,Name::N,vardas,பெயர்
259,Rätsel::N,mįslė,புதிர்
260,Rede::N,kalba,பேச்சு
261,Sprache::N,kalba,மொழி
262,Stimme::N,balsas,குரல்
263,Wort::N,žodis,வார்த்தை
264,Zeichen::N,žymė,குறி
265,Zeichen::N,ženklas,குறி
266,Ruf::N,šauksmas,அழைப்பு
267,Lärm::N,triukšmas,சத்தம்
268,Laut::N,garsas,ஒலி
269,Ton::N,tonas,குரல்
270,Ton::N,garsas,குரல்
271,Lied::N,daina,பாட்டு
272,Lied::N,giesmė,பாட்டு
273,Ruhe::N,ramybė,அமைதி
274,Ruhe::N,ramumas,அமைதி
275,Leute::N,žmonės,மக்கள்
276,Volk::N,tauta,மக்கள்
277,Arbeit::N,darbas,வேலை
278,Arbeit::N,triūsas,வேலை
279,Gast::N,svečias,விருந்தாளி
280,Geschenk::N,dovana,பரிசுப் பொருள்
281,Spiel::N,žaismas,விளையாட்டு
282,Spiel::N,žaidimas,விளையாட்டு
283,Gesellschaft::N,draugija,சமுதாயம்
284,Gesellschaft::N,kompanija,சமுதாயம்
285,Hilfe::N,pagalba,உதவி
286,Freund::N,draugas,நண்பன்
287,Freund::N,bičiulis,நண்பன்
288,Kamerad::N,draugas,உடனிருப்பவன்
289,Angelegenheit::N,dalykas,செய்தி
290,Angelegenheit::N,reikalas,செய்தி
291,Anzahl::N,kiekis,எண்ணிக்கை
292,Anzahl::N,skaičius,எண்ணிக்கை
293,Art::N,rūšis,வகை
294,Stück::N,gabalas,துண்டம்
295,Teil::N,dalis,பகுதி
296,Hälfte::N,pusė,பாதி
297,Kreis::N,ratas,வட்டம்
298,Kreis::N,apskritis,வட்டம்
299,Kreis::N,apskritimas,வட்டம்
300,Kreuz::N,kryžius,சிலுவை
301,Linie::N,linija,கோடு
302,Strich::N,brėžis,வாத நோய்
303,Strich::N,brūkšnys,வாத நோய்
304,Abstand::N,atstumas,இடைவெளி
305,Entfernung::N,atstumas,தூரம்
306,Gegend::N,vietovė,வட்டாரம்
307,Platz::N,vieta,வெற்றிடம்
308,Ort::N,vieta,இடம்
309,Ort::N,vietovė,இடம்
310,Seite::N,pusė,பக்கம்
311,Seite::N,šonas,பக்கம்
312,Mitte::N,vidurys,இடைப்பகுதி
313,Gegenstand::N,dalykas,உருப்படி
314,Sache::N,daiktas,பொருள்
315,Rand::N,kraštas,தொங்கு
316,Rand::N,pakraštys,தொங்கு
317,Kante::N,kraštas,விளிம்பு
318,Ecke::N,kertė,மூலை
319,Ecke::N,kampas,மூலை
320,Spitze::N,priekis,முனை
321,Spitze::N,priešakys,முனை
322,Ende::N,galas,முடிவு
323,Loch::N,skylė,துளை
324,Winkel::N,kampas,கோணம்
325,Winkel::N,kampelis,கோணம்
326,Muster::N,raštas,பாங்கு
327,Größe::N,dydis,அளவு
328,Größe::N,didumas,அளவு
329,Länge::N,ilgis,நீளம்
330,Länge::N,ilgumas,நீளம்
331,Höhe::N,aukštis,உயரம்
332,Höhe::N,aukštuma,உயரம்
333,Gewicht::N,svoris,எடை
334,Gewicht::N,svarstis,எடை
335,Menge::N,kiekis,தொகை
336,Menge::N,daugybė,தொகை
337,Haufen::N,krūva,குவியல்
338,Haufen::N,šūsnis,குவியல்
339,Reihe::N,greta,வரிசை
340,Boot::N,valtis,படகு
341,Boot::N,laivelis,படகு
342,Ruder::N,irklas,துடுப்பு
343,Schlitten::N,rogės,சகடையிலா வண்டி
344,Schlitten::N,rogutės,சகடையிலா வண்டி
345,Ski::N,slidė,பனிச் சறுக்கல்
346,Lagerfeuer::N,laužas,மூட்டம்
347,Last::N,našta,பாரம்
348,Last::N,nešulys,பாரம்
349,Gang::N,eisena,நடை
350,Schritt::N,žingsnis,காலடி
351,Norden::N,šiaurė,வடக்கு
352,Norden::N,žiemiai,வடக்கு
353,Süden::N,pietūs,தெற்கு
354,Westen::N,vakarai,மேற்கு திசை
355,Osten::N,rytai,கிழக்கு
356,Holz::N,mediena,மரக்கட்டை
357,Brett::N,lenta,பலகை
358,Platte::N,plokštė,பலகம்
359,Stütze::N,atrama,அடைப்புகன்
360,Stütze::N,atspara,அடைப்புகன்
361,Stange::N,lazda,கம்பம்
362,Stange::N,kartis,கம்பம்
363,Stock::N,lazda,குச்சி
364,Stab::N,kartis,கம்பு
365,Rohr::N,vamzdis,குழாய்
366,Haus::N,namas,வீடு
367,Heim::N,namai,வீடு
368,Ofen::N,krosnis,அடுப்பு
369,Fußboden::N,grindys,தரை
370,Tisch::N,stalas,மேசை
371,Stuhl::N,kėdė,நாற்காலி
372,Wiege::N,lopšys,தொட்டில்
373,Bett::N,lova,படுக்கை
374,Bett::N,patalai,படுக்கை
375,Regal::N,lentyna,அலமாரி
376,Kiste::N,dėžė,பெட்டி
377,Fenster::N,langas,சாளரம்
378,Tür::N,durys,கதவு
379,Tor::N,vartai,வாசற்கதவு
380,Zaun::N,tvora,வேலி
381,Dach::N,stogas,கூரை
382,Leiter::N,kopėčios,ஏணி
383,Besen::N,šluota,விளக்குமாறு
384,Spaten::N,lopeta,மண்வெட்டி
385,Spaten::N,kastuvas,மண்வெட்டி
386,Schaufel::N,semtuvas,அடிதண்டா
387,Gabel::N,šakutė,முட்கரண்டி
388,Löffel::N,šaukštas,கரண்டி
389,Messer::N,peilis,கத்தி
390,Nagel::N,vinis,ஆணி
391,Netz::N,tinklas,வலை
392,Haken::N,vagis,கொக்கி
393,Haken::N,kablys,கொக்கி
394,Griff::N,kotas,கைப்பிடி
395,Griff::N,rankena,கைப்பிடி
396,Schloss::N,spyna,பூட்டு
397,Schloss::N,užraktas,பூட்டு
398,Bild::N,paveikslas,படம்
399,Figur::N,figūra,எண்ணிக்கை
400,Puppe::N,lėlė,பொம்மை
401,Beutel::N,krepšys,பை
402,Beutel::N,maišelis,பை
403,Bündel::N,ryšulys,பொதி
404,Tasche::N,krepšelis,பை
405,Eimer::N,kibiras,வாளி
406,Deckel::N,dangtis,உறை
407,Geschirr::N,indai,பாத்திரம்
408,Sack::N,maišas,பை
409,Tasse::N,puodukas,கிண்ணம்
410,Topf::N,puodas,பானை
411,Kessel::N,katilas,கெண்டி
412,Essen::N,valgis,உணவருந்துதல்
413,Nahrung::N,penas,உணவு
414,Nahrung::N,maistas,உணவு
415,Speise::N,patiekalas,உணவு வகை
416,Fleisch::N,mėsa,இறைச்சி
417,Getreide::N,javai,மக்காச்சோளம்
418,Brei::N,košė,கஞ்சி
419,Brot::N,duona,ரொட்டி
420,Scheibe::N,riekė,துண்டு
421,Fett::N,taukai,கொழுப்பு
422,Fett::N,riebalai,கொழுப்பு
423,Butter::N,sviestas,வெண்ணெய்
424,Öl::N,aliejus,எண்ணெய்
425,Salz::N,druska,உப்பு
426,Suppe::N,sriuba,ரசம்
427,Honig::N,medus,தேன்
428,Milch::N,pienas,பால்
429,Tee::N,arbata,தெனீர்
430,Leder::N,oda,பதம் செய்யப்பட்ட தோல்
431,Wolle::N,vilna,கம்பளி
432,Stoff::N,audeklas,துணி
433,Nadel::N,adata,ஊசி
434,Faden::N,gija,நூல்
435,Faden::N,siūlas,நூல்
436,Knopf::N,saga,பொத்தான்
437,Knoten::N,mazgas,முடிச்சு
438,Farbe::N,dažai,வண்ணக் குழம்பு
439,Kleidung::N,rūbai,ஆடைகள்
440,Kleidung::N,drabužiai,ஆடைகள்
441,Hemd::N,marškiniai,சட்டை
442,Kragen::N,apykaklė,கழுத்துப் பட்டை
443,Ärmel::N,rankovė,சட்டைக்கை
444,Hose::N,kelnės,கால்சட்டை
445,Gürtel::N,juosta,பெல்ட்
446,Gürtel::N,diržas,பெல்ட்
447,Mütze::N,kepurė,தொப்பி
448,Schuh::N,batas,காலணி
449,Stiefel::N,auliniai batai,காலணி
450,Ring::N,žiedas,மோதிரம்
451,Band::N,kaspinas,நாடா
452,Kamm::N,šukos,கீப்பு
453,Spiegel::N,veidrodis,ஆடி
454,Spiegel::N,veidrodis,கண்ணாடி
455,Riemen::N,diržas,வார்
456,Schnur::N,virvė,கயிறு
457,Leine::N,pavadėlis,தோல்வார்
458,Decke::N,antklodė,போர்வை
459,Kissen::N,pagalvė,தலையணை
460,Kissen::N,priegalvis,தலையணை
461,Tuch::N,skarelė,துணி
462,Handtuch::N,rankšluostis,தண்டு
463,Kraft::N,jėga,நிர்பந்தம்
464,Stärke::N,stiprumas,பலம்
465,Gesundheit::N,sveikata,ஆரோக்கியம்
466,Krankheit::N,liga,நோய்
467,Schmerz::N,skausmas,வலி
468,Wunde::N,žaizda,காயம்
469,Fieber::N,karštis,காய்ச்சல்
470,Arznei::N,vaistas,மருந்து
471,Brücke::N,tiltas,பாலம்
472,Brunnen::N,šulinys,கேணி
473,Weide::N,ganykla,மேய்ச்சல் நிலம்
474,Weide::N,gluosnis,மேய்ச்சல் நிலம்
475,Pfad::N,takas,நடை வழி
476,Weg::N,kelias,வழி
477,Straße::N,gatvė,சாலை
478,Dorf::N,kaimas,கிராமம்
479,Dorf::N,sodžius,கிராமம்
480,Stadt::N,miestas,நகரம்
481,Brief::N,laiškas,கடிதம்
482,Buch::N,knyga,புத்தகம்
483,Buchstabe::N,raidė,எழத்து
484,Zeitung::N,laikraštis,செய்தித்தாள்
485,Leben::N,gyvybė,வாழ்க்கை
486,Leben::N,gyvenimas,வாழ்க்கை
487,Tod::N,mirtis,மரணம்
488,Grab::N,kapas,சமாதி
489,Kirche::N,bažnyčia,தேவாலயம்
490,Sünde::N,nuodėmė,பாவம்
491,Sünde::N,nusidėjimas,பாவம்
492,Gott::N,dievas,கடவுள்
493,Arbeiter::N,darbininkas,தொழிலாளி
494,Chef::N,šefas,மேலாளர்
495,Chef::N,vadovas,மேலாளர்
496,Chef::N,viršininkas,மேலாளர்
497,Meister::N,meistras,தலைவன்
498,Arzt::N,gydytojas,மருத்துவர்
499,Lehrer::N,mokytojas,ஆசிரியர்
500,Geld::N,pinigai,பணம்
501,Geschäft::N,biznis,வாணிபம்
502,Laden::N,krautuvė,கடை
503,Laden::N,parduotuvė,கடை
504,Preis::N,kaina,விலை
505,Ware::N,prekė,சாமன்கள்
506,Nutzen::N,nauda,இலாபம்
507,Nutzen::N,pelnas,இலாபம்
508,Reichtum::N,turtas,சொத்து
509,Welt::N,pasaulis,உலகம்
510,Land::N,žemė,நாடு
511,Land::N,šalis,நாடு
512,Staat::N,valstija,நாடு
513,König::N,karalius,அரசன்
514,Macht::N,galia,அதிகாரம்
515,Macht::N,valdžia,அதிகாரம்
516,Grenze::N,riba,எல்லை
517,Grenze::N,siena,எல்லை
518,Krieg::N,karas,போர்
519,Feind::N,priešas,எதிரி
520,Gewalt::N,jėga,வன்முறை
521,Gewalt::N,smurtas,வன்முறை
522,Gewalt::N,prievarta,வன்முறை
523,Kampf::N,kova,போராட்டம்
524,Bogen[Waffe]::N,lankas,வில்
525,Pfeil::N,strėlė,அம்பு
526,Gewehr::N,šautuvas,துப்பாக்கி
527,Fehler::N,klaida,தவறு
528,Lüge::N,melas,பொய்
529,Schaden::N,nuostolis,சேதாரம்
530,Schaden::N,apgadinimas,சேதாரம்
531,Unglück::N,nelaimė,இடையூறு
532,Schuld::N,kaltė,குற்றம்
533,Alter::N,amžius,வயது
534,Schluss::N,pabaiga,முடிவு
535,Zeit::N,laikas,காலம்
536,Tag::N,diena,நாள்
537,Morgen::N,rytas,காலை நேரம்
538,Mittag::N,vidurdienis,மதியம்
539,Abend::N,vakaras,மாலைப் பொழுது
540,Nacht::N,naktis,இரவு
541,Woche::N,savaitė,வாரம்
542,Monat::N,mėnuo,மாதம்
543,Jahr::N,metai,வருடம்
544,Frühling::N,pavasaris,வசந்தம்
545,Sommer::N,vasara,கோடை
546,Herbst::N,ruduo,இலையுதிர் காலம்
547,Winter::N,žiema,குளிர்காலம்
548,Januar::N,sausis,ஜனவரி
549,Februar::N,vasaris,பிபரவரி மாதம்
550,März::N,kovas,மார்ச் மாதம்
551,April::N,balandis,ஏப்ரல் மாதம்
552,Mai::N,gegužė,மே மாதம்
553,Juni::N,birželis,ஜூன் மாதம்
554,Juli::N,liepa,ஜூலை மாதம்
555,August::N,rugpjūtis,ஆகஸ்ட் மாதம்
556,September::N,rugsėjis,செப்டம்பர் மாதம்
557,Oktober::N,spalis,அக்டோபர் மாதம்
558,November::N,lapkritis,நவம்பர் மாதம்
559,Dezember::N,gruodis,டிசம்பர்
560,Montag::N,pirmadienis,திங்கட் கிழமை
561,Dienstag::N,antradienis,செவ்வாய்க்கிழமை
562,Mittwoch::N,trečiadienis,புதன் கிழமை
563,Donnerstag::N,ketvirtadienis,வியாழக் கிழமை
564,Freitag::N,penktadienis,வெள்ளிக்கிழமை
565,Samstag::N,šeštadienis,சனிக்கிழமை
566,Sonntag::N,sekmadienis,ஞாயிறுக் கிழமை
567,groß::A,didis,பெரிய
568,groß::A,didelis,பெரிய
569,klein::A,mažas,சிறிய
570,lang::A,ilgas,நீண்ட
571,kurz::A,trumpas,குட்டையான
572,breit::A,platus,அகலமான
573,schmal::A,smulkus,குறுகலான
574,dicht::A,tankus,அடர்த்தியான
575,dick[Gegenstand]::A,storas,தடித்த
576,dünn::A,plonas,சன்னமான
577,fein::A,smulkus,மெல்லிய
578,fest::A,kietas,உறுதியாள
579,fest::A,tvirtas,உறுதியாள
580,flach::A,lėkštas,தட்டையான
581,flach::A,plokščias,தட்டையான
582,glatt::A,slidus,வழுவழுப்பான
583,hart::A,kietas,கடினமான
584,weich::A,minkštas,மென்மையான
585,rund::A,apvalus,உருண்டையான
586,rund::A,apskritas,உருண்டையான
587,spitz::A,aštrus,திகந்தமாக
588,spitz::A,smailus,திகந்தமாக
589,scharf::A,aštrus,கூரான
590,stumpf::A,bukas,உளம் திறந்த
591,stumpf::A,atšipęs,உளம் திறந்த
592,schwer::A,sunkus,கனமான
593,schön::A,gražus,அழகான
594,heiß::A,karštas,சூடான
595,warm::A,šiltas,இதமான
596,kalt::A,šaltas,குளிர்ச்சியான
597,kühl::A,vėsus,குளிர்ச்சியான
598,kühl::A,bejausmis,குளிர்ச்சியான
599,frisch::A,šviežias,சுத்தமான
600,feucht::A,drėgnas,ஈரமான
601,nass::A,šlapias,ஈரமான
602,trocken::A,sausas,உலர்ந்த
603,voll::A,pilnas,நிரம்பிய
604,leer::A,tuščias,காலியான
605,offen::A,atviras,திறந்த
606,geschlossen::A,uždaras,மூடப்பட்ட
607,geschlossen::A,uždarytas,மூடப்பட்ட
608,sauber::A,švarus,சுத்தமான
609,schmutzig::A,nešvarus,அழக்கான
610,schmutzig::A,purvinas,அழக்கான
611,roh::A,žalias,கச்சா
612,reif::A,prinokęs,பழுத்த
613,reif::A,pribrendęs,பழுத்த
614,lecker::A,gardus,சுவைமிக்க
615,süß::A,saldus,இனிப்பான
616,bitter::A,kartus,கசப்பான
617,sauer::A,gižus,புளிப்பாக
618,sauer::A,rūgštus,புளிப்பாக
619,hell::A,šviesus,பளபளப்பான
620,hell::A,skaistus,பளபளப்பான
621,dunkel::A,tamsus,கருமையான
622,schwarz::A,juodas,கருப்பு வண்ண
623,weiß::A,baltas,வெண்மையன
624,rot::A,raudonas,சிவப்பு
625,gelb::A,geltonas,மஞ்சள் வண்ணம்
626,blau::A,mėlynas,நீல வண்ண
627,grün::A,žalias,பச்சை வண்ண
628,grau::A,pilkas,சாம்பல் நிற
629,bunt::A,margas,வண்ண மயமான
630,bunt::A,spalvotas,வண்ண மயமான
631,billig::A,pigus,மலிவான
632,teuer::A,brangus,விலை அதிகமான
633,wertvoll::A,vertingas,மதிப்புள்ள
634,blind::A,aklas,பார்வையற்ற
635,taub::A,kurčias,செவிடான
636,kräftig::A,stiprus,வலிமையான
637,stark::A,stiprus,பலமான
638,schwach::A,silpnas,பலவீனமான
639,fett::A,riebus,பருமனாக
640,schlank::A,laibas,ஒல்லியான
641,schlank::A,lieknas,ஒல்லியான
642,hübsch::A,gražus,அழகிய
643,böse::A,blogas,கேடு விளைவிக்கும்
644,dumm::A,paikas,முட்டாள்தனமான
645,dumm::A,kvailas,முட்டாள்தனமான
646,faul::A,tingus,சோம்பலான
647,fleißig::A,stropus,ஊக்கந்தளராத
648,fleißig::A,kruopštus,ஊக்கந்தளராத
649,geizig::A,šykštus,கஞேசத்தனமான
650,klug::A,sumanus,சாதுரியமான
651,klug::A,protingas,சாதுரியமான
652,geschickt::A,apsukrus,திறமையள்ள
653,lieb::A,mielas,அன்புக்குரிய
654,lustig::A,smagus,களிப்புமிக்க
655,lustig::A,linksmas,களிப்புமிக்க
656,sanft::A,švelnus,சாதுவான
657,sanft::A,minkštas,சாதுவான
658,hungrig::A,alkanas,பசியுடன்
659,krank::A,ligotas,நோயுற்று
660,krank::A,sergantis,நோயுற்று
661,nackt::A,nuogas,ஆடையற்ற
662,traurig::A,liūdnas,சோகமான
663,lebendig::A,gyvas,பிழைப்பு
664,gut::A,geras,நல்ல
665,schlecht::A,blogas,கெட்ட
666,schlecht::A,prastas,கெட்ட
667,richtig::A,tikras,சரியான
668,richtig::A,teisingas,சரியான
669,schlimm::A,blogas,அருவருப்பான
670,schlimm::A,prastas,அருவருப்பான
671,wahr::A,tikras,உண்மையான
672,alt::A,senas,பழைய
673,neu::A,naujas,புதிய
674,ehemalig::A,buvęs,முன்நாள்
