,Concept_ID,bg,ca
60,Magen::N,стомах,estómac
61,Leber::N,черен дроб,fetge
62,Atem::N,дишане,alè
63,Atem::N,дишане,hàlit
64,Hunger::N,глад,fam
65,Hunger::N,глад,gana
66,Träne::N,сълза,llàgrima
67,Geschmack::N,вкус,gust
68,Geschmack::N,вкус,sabor
69,Geruch::N,миризма,olor
70,Schlaf::N,сън,son
71,Traum::N,сън,somni
72,Himmel::N,небе,celm
73,Sonne::N,слънце,sol
74,Mond::N,луна,lluna
75,Mond::N,месец,lluna
76,Stern::N,звезда,estel
77,Stern::N,звезда,estrella
78,Luft::N,въздух,aire
79,Wind::N,вятър,vent
80,Welle::N,вълна,ona
81,Wasser::N,вода,āigua
82,Stein::N,камък,pedra
83,Boden::N,земя,sòl
84,Boden::N,почва,sòl
85,Erde::N,земя,terra
86,Erde::N,почва,terra
87,Staub::N,прах,pols
88,Rauch::N,дим,fum
89,Rauch::N,пушек,fum
90,Funke::N,искра,guspira
91,Funke::N,искра,centella
92,Feuer::N,огън,foc
93,Licht::N,светлина,llum
94,Schatten::N,сянка,ombra
95,Wetter::N,време,temps
96,Nebel::N,мъгла,boira
97,Wolke::N,облак,núvol
98,Regen::N,дъжд,pluja
99,Schnee::N,сняг,neu
100,Eis::N,лед,gel
101,Eis::N,лед,glaç
102,Frost::N,мраз,glaçada
103,Kälte::N,студ,fred
104,Hitze::N,жега,calor
105,Hitze::N,горещина,calor
106,Raureif::N,скреж,gebre
107,Raureif::N,слана,gebre
108,Regenbogen::N,дъга,arc iris
109,Donner::N,гръм,tro
110,Strömung::N,течение,corrent
111,Tropfen::N,капка,gota
112,Schaum::N,пяна,escuma
113,Schmutz::N,кал,brutícia
114,Schmutz::N,мръсотия,brutícia
115,See::N,езеро,llac
116,Sumpf::N,блато,pantà
117,Moor::N,мочурище,pantà
118,Wiese::N,ливада,prat
119,Wiese::N,ливада,prada
120,Wald::N,гора,bosc
121,Hügel::N,рид,puig
122,Hügel::N,рид,pujol
123,Hügel::N,хълм,puig
124,Hügel::N,хълм,pujol
125,Anhöhe::N,могила,turó
126,Anhöhe::N,възвишение,turó
127,Berg::N,планина,muntanya
128,Gipfel::N,връх,cim
129,Höhle::N,пещера,cova
130,Abhang::N,склон,coster
131,Abhang::N,стръмнина,coster
132,Quelle::N,извор,font
133,Bach::N,поток,riera
134,Fluss::N,река,riu
135,Ufer::N,бряг,riba
136,Küste::N,бряг,costa
137,Küste::N,крайбрежие,costa
138,Festland::N,суша,terra ferma
139,Meer::N,море,mar
140,Bucht::N,залив,cala
141,Bucht::N,залив,badia
142,Insel::N,остров,illa
143,Blume::N,цвете,flor
144,Gras::N,трева,herba
145,Wurzel::N,корен,rel
146,Wurzel::N,корен,arrel
147,Baum::N,дърво,arbre
148,Stamm::N,стъбло,tronc
149,Rinde::N,кора,escorça
150,Ast::N,клон,branca
151,Zweig::N,клон,ram
152,Blatt::N,лист,fulla
153,Birke::N,бреза,bedoll
154,Kiefer[Baum]::N,бор,pi
155,Weide[Baum]::N,върба,salze
156,Tanne::N,ела,avet
157,Horn::N,рог,corn
158,Horn::N,рог,banya
159,Feder::N,перо,ploma
160,Fell::N,кожа,pell
161,Flügel::N,крило,ala
162,Klaue::N,нокът,urpa
163,Kralle::N,нокът,grapa
164,Schwanz::N,опашка,cua
165,Ei::N,яйце,ou
166,Nest::N,гнездо,niu
167,Bau::N,дупка,cau
168,Tier::N,животно,animāl
169,Herde::N,стадо,ramat
170,Kuh::N,крава,vaca
171,Bulle::N,бик,toro
172,Pferd::N,кон,cavāll
173,Schaf::N,овца,be
174,Schaf::N,овца,ovella
175,Schwein::N,свиня,bacó
176,Hund::N,куче,ca
177,Hund::N,куче,gos
178,Katze::N,котка,gat
179,Bär::N,мечка,ós
180,Eichhörnchen::N,катерица,esquirol
181,Elch::N,лос,ant
182,Fuchs::N,лисица,guilla
183,Hase::N,заек,llebre
184,Maus::N,мишка,ratolí
185,Wolf::N,вълк,llop
186,Vogel::N,птица,au
187,Vogel::N,птица,ocēll
188,Schwarm::N,рой,bandada
189,Schwarm::N,рояк,bandada
190,Huhn::N,кокошка,gallina
191,Hahn::N,петел,gall
192,Gans::N,гъска,oca
193,Adler::N,орел,àguila
194,Ente::N,патица,ànec
195,Eule::N,сова,òliba
196,Eule::N,сова,mussol
197,Kranich::N,жерав,grua
198,Krähe::N,врана,cornella
199,Kuckuck::N,кукувица,cucut
200,Schwan::N,лебед,cigne
201,Fisch::N,риба,peix
202,Barsch::N,костур,perca
203,Hecht::N,щука,lluç
204,Schlange[Tier]::N,змия,serp
205,Wurm::N,червей,cuc
206,Spinne::N,паяк,aranya
207,Ameise::N,мравка,formiga
208,Laus::N,въшка,poll
209,Mücke::N,комар,mosquit
210,Fliege::N,муха,mosca
211,Schmetterling::N,пеперуда,papallona
212,Beere::N,плод,baia
213,Apfel::N,ябълка,poma
214,Pilz::N,гъба,bolet
215,Zwiebel::N,лук,ceba
216,Zwiebel::N,кромид,ceba
217,Saat::N,семе,sembra
218,Korn::N,зърно,gra
219,Heu::N,сено,fenc
220,Schale::N,кора,closca
221,Grube::N,яма,sot
222,Grube::N,яма,clot
223,Grube::N,дупка,sot
224,Grube::N,дупка,clot
225,Falle::N,примка,trampa
226,Schlinge::N,клуп,baga
227,Spur::N,диря,traça
228,Spur::N,следа,traça
229,Asche::N,пепел,cendra
230,Dreck::N,кал,llot
231,Eisen::N,желязо,ferro
232,Gold::N,злато,or
233,Silber::N,сребро,plata
234,Kohle::N,въглища,carbó
235,Glas::N,стъкло,vidre
236,Lehm::N,глина,fang
237,Lehm::N,глина,argila
238,Sand::N,пясък,arena
239,Mensch::N,човек,humà
240,Mensch::N,човек,persona
241,Mann::N,мъж,home
242,Frau::N,жена,dona
243,Kind::N,дете,nen
244,Junge::N,момче,noi
245,Mädchen::N,момиче,noia
246,Familie::N,фамилия,família
247,Familie::N,семейство,família
248,Großvater::N,дядо,avi
249,Großmutter::N,баба,àvia
250,Eltern::N,родители,pares
251,Vater::N,баща,pare
252,Mutter::N,майка,mare
253,Sohn::N,син,fill
254,Tochter::N,дъщеря,filla
255,Bruder::N,брат,germà
256,Schwester::N,сестра,germana
257,Onkel::N,чичо,oncle
258,Onkel::N,вуйчо,oncle
259,Tante::N,леля,tia
260,Ehemann::N,съпруг,espòs
261,Ehefrau::N,съпруга,muller
262,Freude::N,радост,goig
263,Freude::N,радост,alegria
264,Gelächter::N,смях,riallada
265,Glück::N,щастие,felicitat
266,Kummer::N,тъга,pena
267,Wunsch::N,желание,desig
268,Lust::N,желание,ganes
269,Geist::N,дух,ment
270,Geist::N,дух,esperit
271,Gedanke::N,мисъл,pensament
272,Gedächtnis::N,памет,memòria
273,Verstand::N,ум,raó
274,Verstand::N,ум,seny
275,Verstand::N,разум,raó
276,Verstand::N,разум,seny
277,Sinn::N,смисъл,solta
278,Sinn::N,смисъл,sentit
279,Grund::N,причина,raó
280,Grund::N,причина,causa
281,Wahrheit::N,правда,veritāt
282,Gespräch::N,разговор,conversa
283,Märchen::N,приказка,conte
284,Erzählung::N,разказ,narració
285,Nachricht::N,вест,missatge
286,Nachricht::N,известие,missatge
287,Neuigkeit::N,новина,novetat
288,Name::N,име,nom
289,Rätsel::N,гатанка,endevinalla
290,Rede::N,реч,discurs
291,Rede::N,слово,discurs
292,Sprache::N,език,llēngua
293,Stimme::N,глас,veu
294,Wort::N,дума,mot
295,Wort::N,дума,paraula
296,Zeichen::N,знак,signe
297,Zeichen::N,знак,senyal
298,Ruf::N,зов,crida
299,Lärm::N,шум,sorōll
300,Lärm::N,глъчка,sorōll
301,Laut::N,звук,so
302,Ton::N,тон,to
303,Lied::N,песен,cançó
304,Ruhe::N,тишина,calma
305,Ruhe::N,тишина,silenci
306,Ruhe::N,спокойствие,calma
307,Ruhe::N,спокойствие,silenci
308,Leute::N,хора,gent
309,Volk::N,народ,poble
310,Arbeit::N,труд,labor
311,Arbeit::N,труд,treball
312,Arbeit::N,работа,labor
313,Arbeit::N,работа,treball
314,Gast::N,гост,hoste
315,Geschenk::N,дар,regal
316,Geschenk::N,дар,obsequi
317,Geschenk::N,подарък,regal
318,Geschenk::N,подарък,obsequi
319,Spiel::N,игра,joc
320,Gesellschaft::N,общество,companyia
321,Hilfe::N,помощ,ajut
322,Freund::N,приятел,amīc
323,Kamerad::N,другар,company
324,Kamerad::N,другар,camarada
325,Angelegenheit::N,работа,afer
326,Angelegenheit::N,работа,assumpte
327,Anzahl::N,брой,nombre
328,Anzahl::N,брой,quantitat
329,Anzahl::N,количество,nombre
330,Anzahl::N,количество,quantitat
331,Art::N,вид,tipus
332,Art::N,вид,classe
333,Stück::N,къс,peça
334,Stück::N,парче,peça
335,Teil::N,дял,part
336,Teil::N,част,part
337,Hälfte::N,половина,meitat
338,Kreis::N,кръг,cercle
339,Kreuz::N,кръст,creu
340,Linie::N,черта,línia
341,Strich::N,щрих,traç
342,Strich::N,щрих,ratlla
343,Strich::N,черта,traç
344,Strich::N,черта,ratlla
345,Abstand::N,дистанция,distància
346,Abstand::N,разстояние,distància
347,Entfernung::N,разстояние,distància
348,Gegend::N,местност,regió
349,Gegend::N,местност,contrada
350,Platz::N,място,cabuda
351,Ort::N,място,lloc
352,Seite::N,страна,banda
353,Seite::N,страна,costāt
354,Mitte::N,среда,mig
355,Mitte::N,среда,centre
356,Gegenstand::N,предмет,objecte
357,Sache::N,вещ,cosa
358,Rand::N,ръб,vora
359,Rand::N,ръб,marge
360,Kante::N,ръб,caire
361,Kante::N,ръб,cantell
362,Kante::N,кант,caire
363,Kante::N,кант,cantell
364,Ecke::N,ъгъл,cantonada
365,Spitze::N,връх,punta
366,Spitze::N,острие,punta
367,Ende::N,край,cap
368,Loch::N,дупка,forāt
369,Winkel::N,кът,racó
370,Winkel::N,ъгъл,racó
371,Muster::N,десен,dibuix
372,Muster::N,десен,disseny
373,Muster::N,образец,dibuix
374,Muster::N,образец,disseny
375,Größe::N,големина,grandària
376,Länge::N,дължина,longitud
377,Höhe::N,висота,altura
378,Höhe::N,висота,altitud
379,Höhe::N,височина,altura
380,Höhe::N,височина,altitud
381,Gewicht::N,тегло,pes
382,Gewicht::N,тежест,pes
383,Menge::N,количество,quantitat
384,Haufen::N,куп,pila
385,Haufen::N,грамада,pila
386,Reihe::N,ред,fila
387,Reihe::N,редица,fila
388,Boot::N,лодка,bot
389,Boot::N,лодка,barca
390,Ruder::N,весло,rem
391,Ruder::N,гребло,rem
392,Schlitten::N,шейна,trineu
393,Ski::N,ски,esquí
394,Lagerfeuer::N,огнище,foc de campament
395,Last::N,товар,càrrega
396,Gang::N,ход,marxa
397,Gang::N,вървеж,marxa
398,Schritt::N,стъпка,pas
399,Norden::N,север,nord
400,Süden::N,юг,sud
401,Westen::N,запад,oest
402,Westen::N,запад,occident
403,Osten::N,изток,est
404,Osten::N,изток,orient
405,Holz::N,дърво,fusta
406,Brett::N,дъска,taula
407,Stange::N,прът,vara
408,Stange::N,върлина,vara
409,Stock::N,прът,pal
410,Stock::N,тояга,pal
411,Stab::N,прът,bastó
412,Rohr::N,цев,tub
413,Rohr::N,тръба,tub
414,Haus::N,къща,casa
415,Heim::N,дом,llar
416,Ofen::N,печка,estufa
417,Fußboden::N,под,terra
418,Tisch::N,маса,taula
419,Stuhl::N,стол,cadira
420,Wiege::N,люлка,bressol
421,Bett::N,легло,llit
422,Bett::N,креват,llit
423,Regal::N,рафт,prestatgeria
424,Regal::N,етажерка,prestatgeria
425,Kiste::N,кутия,caixa
426,Kiste::N,сандък,caixa
427,Fenster::N,прозорец,finestra
428,Tür::N,врата,porta
429,Tor::N,врата,portal
430,Zaun::N,ограда,tanca
431,Dach::N,покрив,teulada
432,Leiter::N,стълба,escala
433,Leiter::N,стълба,escala de mà
434,Besen::N,метла,escombra
435,Spaten::N,лопата,pala
436,Schaufel::N,лопата,pala
437,Gabel::N,вилица,forquilla
438,Löffel::N,лъжица,cullera
439,Messer::N,нож,coltell
440,Nagel::N,гвоздей,clau
441,Netz::N,мрежа,filat
442,Haken::N,кука,ganxo
443,Haken::N,закачалка,ganxo
444,Griff::N,ръчка,puny
445,Griff::N,ръчка,mànec
446,Griff::N,дръжка,puny
447,Griff::N,дръжка,mànec
448,Schloss::N,брава,pany
449,Schloss::N,ключалка,pany
450,Bild::N,картина,imatge
451,Figur::N,фигура,figura
452,Puppe::N,кукла,nina
453,Beutel::N,кесия,bossa
454,Bündel::N,връзка,feix
455,Bündel::N,връзка,paquet
456,Tasche::N,чанта,bossa
457,Eimer::N,кофа,galleda
458,Deckel::N,капак,tapa
459,Deckel::N,капак,tapadora
460,Deckel::N,похлупак,tapa
461,Deckel::N,похлупак,tapadora
462,Geschirr::N,съдове,vaixella
463,Sack::N,чувал,sac
464,Sack::N,чувал,saca
465,Tasse::N,чаша,tassa
466,Topf::N,гърне,pot
467,Topf::N,гърне,olla
468,Topf::N,тенджера,pot
469,Topf::N,тенджера,olla
470,Kessel::N,котел,caldera
471,Essen::N,ядене,àpat
472,Essen::N,ядене,menjada
473,Nahrung::N,храна,aliment
474,Speise::N,ястие,plat
475,Fleisch::N,месо,carn
476,Getreide::N,зърнено храни,cereals
477,Brei::N,каша,puré
478,Brot::N,хляб,pa
479,Scheibe::N,резен,tall
480,Scheibe::N,резен,llesca
481,Fett::N,мазнина,greix
482,Butter::N,масло,mantega
483,Öl::N,олио,oli
484,Öl::N,оливия,oli
485,Salz::N,сол,sal
486,Suppe::N,супа,sopa
487,Honig::N,мед,mel
488,Milch::N,мляко,llet
489,Tee::N,чай,te
490,Leder::N,кожа,cuir
491,Wolle::N,вълна,llana
492,Stoff::N,плат,tela
493,Stoff::N,материал,tela
494,Nadel::N,игла,agulla
495,Faden::N,конец,fil
496,Knopf::N,копче,botó
497,Knoten::N,възел,nus
498,Farbe::N,боя,pintura
499,Kleidung::N,дрехи,roba
500,Kleidung::N,дрехи,vestits
501,Kleidung::N,облекло,roba
502,Kleidung::N,облекло,vestits
503,Hemd::N,риза,camisa
504,Kragen::N,яка,coll
505,Ärmel::N,ръкав,màniga
506,Hose::N,панталони,pantalōns
507,Gürtel::N,пояс,cinturó
508,Gürtel::N,колан,cinturó
509,Mütze::N,каскет,gorra
510,Mütze::N,фуражка,gorra
511,Schuh::N,обувка,sabata
512,Stiefel::N,ботуш,bota
513,Ring::N,пръстен,anell
514,Band::N,лента,veta
515,Band::N,лента,cinta
516,Band::N,връзка,veta
517,Band::N,връзка,cinta
518,Kamm::N,гребен,pinta
519,Spiegel::N,огледало,mirāll
520,Riemen::N,каиш,corretja
521,Riemen::N,ремък,corretja
522,Schnur::N,връв,corda
523,Leine::N,връв,corretja
524,Leine::N,въже,corretja
525,Decke::N,покривка,manta
526,Decke::N,покривка,flassada
527,Kissen::N,възглавница,coixí
528,Tuch::N,сукно,mocador
529,Handtuch::N,пешкир,tovallola
530,Handtuch::N,кърпа за лице,tovallola
531,Kraft::N,мощ,força
532,Kraft::N,сила,força
533,Stärke::N,сила,vigor
534,Gesundheit::N,здраве,salut
535,Krankheit::N,болест,malaltia
536,Schmerz::N,болка,dolor
537,Wunde::N,рана,ferida
538,Fieber::N,треска,febre
539,Fieber::N,температура,febre
540,Arznei::N,лек,medicament
541,Arznei::N,лекарство,medicament
542,Brücke::N,мост,pont
543,Brunnen::N,чешма,pou
544,Brunnen::N,кладенец,pou
545,Weide::N,паша,pastura
546,Weide::N,пасище,pastura
547,Pfad::N,пътека,senda
548,Pfad::N,пътека,sender
549,Weg::N,път,camí
550,Straße::N,шосе,carretera
551,Dorf::N,село,poble
552,Stadt::N,град,ciutāt
553,Brief::N,писмо,carta
554,Buch::N,книга,llibre
555,Buchstabe::N,буква,lletra
556,Zeitung::N,вестник,diāri
557,Leben::N,живот,vida
558,Tod::N,смърт,mort
559,Grab::N,гроб,tomba
560,Kirche::N,църква,església
561,Sünde::N,грях,pecat
562,Gott::N,бог,déu
563,Arbeiter::N,работник,obrer
564,Chef::N,шеф,cap
565,Chef::N,началник,cap
566,Meister::N,майстор,mestre
567,Arzt::N,лекар,metge
568,Lehrer::N,учител,mestre
569,Geld::N,пари,dinērs
570,Geschäft::N,сделка,negoci
571,Laden::N,дюкян,tenda
572,Laden::N,дюкян,botiga
573,Laden::N,магазин,tenda
574,Laden::N,магазин,botiga
575,Preis::N,цена,preu
576,Ware::N,стока,mercaderia
577,Nutzen::N,полза,profit
578,Nutzen::N,облага,profit
579,Reichtum::N,богатство,riquesa
580,Welt::N,свят,món
581,Land::N,страна,país
582,Staat::N,щат,estat
583,Staat::N,държава,estat
584,König::N,крал,rei
585,Macht::N,мощ,poder
586,Macht::N,мощ,potència
587,Macht::N,власт,poder
588,Macht::N,власт,potència
589,Grenze::N,граница,frontera
590,Krieg::N,война,guerra
591,Feind::N,враг,enemic
592,Feind::N,неприятел,enemic
593,Gewalt::N,сила,violència
594,Gewalt::N,насилие,violència
595,Kampf::N,борба,lluita
596,Kampf::N,сражение,lluita
597,Bogen[Waffe]::N,лък,arc
598,Pfeil::N,стрела,fletxa
599,Gewehr::N,пушка,fusell
600,Gewehr::N,пушка,escopeta
601,Fehler::N,грешка,falta
602,Lüge::N,лъжа,mentida
603,Schaden::N,повреда,dany
604,Unglück::N,нещастие,desgràcia
605,Schuld::N,вина,culpa
606,Alter::N,възраст,edat
607,Schluss::N,край,fi
608,Schluss::N,край,final
609,Zeit::N,време,temps
610,Tag::N,ден,dia
611,Morgen::N,утро,matí
612,Morgen::N,сутрин,matí
613,Mittag::N,обед,migdia
614,Mittag::N,пладне,migdia
615,Abend::N,вечер,vespre
616,Nacht::N,нощ,nit
617,Woche::N,седмица,setmana
618,Monat::N,месец,mes
619,Jahr::N,година,any
620,Frühling::N,пролет,primavera
621,Sommer::N,лято,estīu
622,Herbst::N,есен,tardor
623,Winter::N,зима,hivērn
624,Januar::N,януари,gener
625,Februar::N,февруари,febrer
626,März::N,март,març
627,April::N,април,abril
628,Mai::N,май,maig
629,Juni::N,юни,juny
630,Juli::N,юли,juliol
631,August::N,август,agost
632,September::N,септември,setembre
633,Oktober::N,октомври,octubre
634,November::N,ноември,novembre
635,Dezember::N,декември,desembre
636,Montag::N,понеделник,dilluns
637,Dienstag::N,вторник,dimarts
638,Mittwoch::N,сряда,dimecres
639,Donnerstag::N,четвъртък,dijous
640,Freitag::N,петък,divendres
641,Samstag::N,събота,dissabte
642,Sonntag::N,неделя,diumenge
643,groß::A,едър,gros
644,groß::A,голям,gros
645,klein::A,малък,petīt
646,klein::A,дребен,petīt
647,lang::A,дълъг,llarg
648,kurz::A,къс,curt
649,breit::A,широк,ample
650,schmal::A,тесен,estret
651,dicht::A,гъст,dens
652,dick[Gegenstand]::A,дебел,gruixūt
653,dünn::A,тънък,prim
654,fein::A,фин,fi
655,fein::A,тънък,fi
656,fest::A,твърд,ferm
657,fest::A,твърд,sòlid
658,fest::A,плътен,ferm
659,fest::A,плътен,sòlid
660,flach::A,равен,pla
661,flach::A,плосък,pla
662,glatt::A,гладък,llis
663,hart::A,твърд,dur
664,hart::A,корав,dur
665,weich::A,мек,tou
666,rund::A,кръгъл,rodó
667,spitz::A,островръх,punxegut
668,scharf::A,остър,agut
669,stumpf::A,тъп,rom
670,stumpf::A,тъп,esmussat
671,schwer::A,тежък,pesāt
672,schön::A,хубав,bonīc
673,schön::A,красив,bonīc
674,heiß::A,жарък,calēnt
675,warm::A,топъл,càlid
676,kalt::A,студен,fred
677,kühl::A,хладен,fresc
678,frisch::A,свеж,fresc
679,feucht::A,влажен,humit
680,nass::A,мокър,mullat
681,trocken::A,сух,sec
682,voll::A,пълен,ple
683,leer::A,празен,buit
684,offen::A,откровен,obert
685,geschlossen::A,закрит,tancat
686,geschlossen::A,затворен,tancat
687,sauber::A,чист,net
688,schmutzig::A,мръсен,brut
689,roh::A,суров,cru
690,reif::A,зрял,madur
691,lecker::A,вкусен,deliciós
692,süß::A,сладък,dolç
693,bitter::A,горчив,amarg
694,sauer::A,кисел,agre
695,hell::A,ясен,clar
696,hell::A,светъл,clar
697,dunkel::A,тъмен,fosc
698,schwarz::A,черен,negre
699,weiß::A,бял,blanc
700,rot::A,червен,vermēll
701,gelb::A,жълт,groc
702,blau::A,син,blau
703,grün::A,зелен,verd
704,grau::A,сив,gris
705,bunt::A,шарен,multicolor
706,bunt::A,пъстър,multicolor
707,billig::A,евтин,barat
708,teuer::A,скъп,car
709,wertvoll::A,ценен,preciós
710,blind::A,сляп,cec
711,taub::A,глух,sord
712,kräftig::A,силен,fort
713,kräftig::A,силен,vigorós
714,stark::A,здрав,fort
715,stark::A,силен,fort
716,schwach::A,слаб,feble
717,fett::A,тлъст,gras
718,schlank::A,тънък,esvelt
719,schlank::A,строен,esvelt
720,hübsch::A,хубав,maco
721,böse::A,зъл,dolent
722,dumm::A,глупав,ximple
723,dumm::A,глупав,estúpid
724,faul::A,ленив,gandūl
725,faul::A,ленив,mandrós
726,faul::A,мързелив,gandūl
727,faul::A,мързелив,mandrós
728,fleißig::A,прилежен,diligēnt
729,geizig::A,скъпернически,avar
730,klug::A,умен,intel·ligent
731,klug::A,разумен,intel·ligent
732,geschickt::A,умел,hàbil
733,geschickt::A,сръчен,hàbil
734,lieb::A,мил,amat
735,lieb::A,мил,estimat
736,lieb::A,драг,amat
737,lieb::A,драг,estimat
738,lustig::A,весел,alegre
739,sanft::A,нежен,suau
740,sanft::A,кротък,suau
741,hungrig::A,гладен,afamat
742,krank::A,болен,malālt
743,nackt::A,гол,nu
744,traurig::A,тъжен,trist
745,traurig::A,печален,trist
746,lebendig::A,жив,viu
747,gut::A,добър,bo
748,schlecht::A,лош,dolēnt
749,richtig::A,правилен,just
750,richtig::A,правилен,correcte
751,schlimm::A,лош,greu
752,wahr::A,верен,vertader
753,wahr::A,верен,veritable
754,wahr::A,истински,vertader
755,wahr::A,истински,veritable
756,alt::A,стар,vell
757,alt::A,древен,vell
758,neu::A,нов,nou
759,ehemalig::A,бивш,antic
760,alt[Lebewesen]::A,стар,vell
761,jung::A,млад,jove
762,arm::A,беден,pobre
763,reich::A,богат,ric
764,bekannt::A,познат,conegut
765,bekannt::A,известен,conegut
766,berühmt::A,почут,famós
767,berühmt::A,известен,famós
768,fremd::A,чужд,estrany
769,verschieden::A,разен,diferent
770,verschieden::A,различен,diferent
771,nah::A,близък,pròxim
772,fern::A,далечен,llunyà
773,fern::A,далечен,distant
774,linker::A,ляв,esquerre
775,rechter::A,прав,dret
776,anderer::A,друг,altre
777,erster::A,пръв,primer
778,erster::A,първи,primer
779,zweiter::A,втори,segon
780,dritter::A,трети,tercer
781,letzter::A,последен,últim
782,allein::ADV,само,sol
783,auf einmal::ADV,същевременно,d'una vegada
784,zusammen::ADV,заедно,junt
785,lange::ADV,дълго,molt de temps
786,plötzlich::ADV,изведнъж,de cop
787,plötzlich::ADV,изведнъж,de sobte
788,sofort::ADV,веднага,de seguida
789,später::ADV,по-късно,més tard
790,jetzt::ADV,сега,ara
791,heute::ADV,днес,avūi
792,morgen::ADV,утре,demà
793,bald::ADV,скоро,aviāt
794,dann::ADV,после,després
795,dann::ADV,тогава,després
796,gestern::ADV,вчера,ahir
797,einst::ADV,някога,anteriorment
798,damals::ADV,тогава,llavōrs
799,damals::ADV,тогава,aleshores
800,danach::ADV,после,després
801,danach::ADV,след това,després
802,vorher::ADV,преди,abāns
803,vorher::ADV,преди това,abāns
804,zuerst::ADV,най-напред,primer
805,einmal::ADV,веднъж,una vegada
806,einmal::ADV,един път,una vegada
807,manchmal::ADV,понякога,de vegades
808,oft::ADV,често,sovint
809,immer::ADV,винаги,sempre
810,niemals::ADV,никога,no ... mai
811,hier::ADV,тук,aquí
812,hier::ADV,тука,aquí
813,hierhin::ADV,насам,per aquí
814,von hier::ADV,оттук,des d'aquí
815,von hier::ADV,оттука,des d'aquí
816,dort::ADV,там,allí
817,dorthin::ADV,натам,hi
818,dorthin::ADV,нататък,hi
819,geradeaus::ADV,направо,tot dret
820,vorwärts::ADV,напред,endavānt
821,rückwärts::ADV,назад,endarrera
822,zurück::ADV,обратно,darrere
823,unten::ADV,долу,a baix
824,hinab::ADV,надолу,cap avall
825,oben::ADV,горе,dalt
826,hinauf::ADV,нагоре,cap amunt
827,überall::ADV,навсякъде,pertot
828,überall::ADV,навсякъде,per tot arreu
829,nicht::ADV,не,no
830,ein wenig::ADV,малко,una mica
831,kaum::ADV,едва,a penes
832,kaum::ADV,едвам,a penes
833,sehr::ADV,много,molt
834,sehr::ADV,твърде,molt
835,so::ADV,тъй,així
836,so::ADV,така,així
837,noch::ADV,още,encara
838,nur::ADV,само,només
839,schon::ADV,вече,ja
840,wieder::ADV,пак,de nou
841,wieder::ADV,отново,de nou
842,vergebens::ADV,напразно,en va
843,vor::PRP,пред,davānt
844,vor::PRP,пред,enfront de
845,hinter::PRP,зад,darrera
846,unter::PRP,под,sota
847,durch::PRP,през,per
848,neben::PRP,до,al costāt de
849,neben::PRP,при,al costāt de
850,zwischen::PRP,между,entre
851,zwischen::PRP,помежду,entre
852,wegen::PRP,заради,a causa de
853,dies::PRN,този,aquest
854,das::PRN,туй,això
855,das::PRN,това,això
856,alles::PRN,всичко,tot
857,ich::PRN,аз,jo
858,du::PRN,ти,tu
859,er::PRN,той,ell
860,wir::PRN,ние,nosaltres
861,ihr::PRN,вие,vosaltres
862,sie::PRN,те,ells
863,sie::PRN,те,elles
864,was::FPRN,що,què
865,was::FPRN,какво,què
866,wer::FPRN,кой,qui
867,wo::FADV,къде,on
868,wohin::FADV,накъде,cap a on
869,wohin::FADV,накъдето,cap a on
870,wie::FADV,как,com
871,warum::FADV,защо,per què
872,wieviel::FNUM,колко,quant
873,eins::NUM,един,u
874,zwei::NUM,два,dos
875,drei::NUM,три,tres
