,Concept_ID,ga,bn
112,Wiese::N,móinéar,তৃণভূমি
113,Wald::N,coill,বন
114,Wald::N,foraois,বন
115,Hügel::N,ard,পাহাড়
116,Anhöhe::N,ard,টিলা
117,Anhöhe::N,ardán,টিলা
118,Berg::N,sliabh,পর্বত
119,Gipfel::N,barr,শীর্ষ
120,Gipfel::N,mullach,শীর্ষ
121,Höhle::N,uaimh,গুহা
122,Höhle::N,pluais,গুহা
123,Abhang::N,fána,ঢাল
124,Quelle::N,foinse,উৎস
125,Bach::N,sruthán,ক্ষুদ্র নদী
126,Fluss::N,abhainn,নদী
127,Ufer::N,bruach,উপকূল
128,Küste::N,cósta,তীর
129,Küste::N,cladach,তীর
130,Festland::N,míntír,ভূমি
131,Meer::N,muir,সমুদ্র
132,Meer::N,farraige,সমুদ্র
133,Bucht::N,bá,উপসাগর
134,Bucht::N,cuan,উপসাগর
135,Insel::N,inis,দ্বীপ
136,Insel::N,oileán,দ্বীপ
137,Blume::N,bláth,ফুল
138,Gras::N,féar,ঘাস
139,Wurzel::N,rúta,শিকড়
140,Wurzel::N,fréamh,শিকড়
141,Baum::N,crann,গাছ
142,Stamm::N,stoc,স্কন্ধ
143,Stamm::N,tamhan,স্কন্ধ
144,Rinde::N,coirt,বল্কল
145,Rinde::N,craiceann,বল্কল
146,Ast::N,géag,শাখা
147,Zweig::N,géag,ডাল
148,Zweig::N,craobh,ডাল
149,Blatt::N,duille,পর্ণ
150,Blatt::N,duilleog,পর্ণ
151,Birke::N,beith,ভুর্জ
152,Birke::N,crann beithe,ভুর্জ
153,Kiefer[Baum]::N,péine,পাইন গাছ
154,Weide[Baum]::N,saileach,উইলো
155,Tanne::N,giúis,দেবদারূ গাছ
156,Horn::N,adharc,শিং
157,Feder::N,cleite,পালক
158,Fell::N,clúmh,রোম
159,Flügel::N,eite,ডানা
160,Flügel::N,sciathán,ডানা
161,Klaue::N,crúb,নখর
162,Klaue::N,crobh,নখর
163,Kralle::N,crobh,নখর
164,Schwanz::N,eireaball,লেজ
165,Ei::N,ubh,ডিম
166,Nest::N,nead,কুলায়
167,Bau::N,brocais,ডেরা
168,Tier::N,ainmhí,জন্তু
169,Tier::N,beithíoch,জন্তু
170,Herde::N,tréad,ঝাঁক
171,Kuh::N,bó,গোরু
172,Bulle::N,tarbh,বৃষ
173,Pferd::N,each,ঘোড়া
174,Pferd::N,capall,ঘোড়া
175,Schaf::N,caora,ভেড়া
176,Schwein::N,muc,শূকর
177,Hund::N,madra,কুকুর
178,Katze::N,cat,বেড়াল
179,Bär::N,béar,ভল্লুক
180,Eichhörnchen::N,iora,কাঠবিড়াল
181,Elch::N,eilc,হরিণবিশেষ
182,Fuchs::N,sionnach,পাঁতিশিয়াল
183,Fuchs::N,madra rua,পাঁতিশিয়াল
184,Hase::N,giorria,শশক
185,Maus::N,luch,নেংটি ইঁদুর
186,Wolf::N,mac tíre,নেকড়ে
187,Vogel::N,éan,পক্ষী
188,Schwarm::N,saithe,ঝাঁক
189,Huhn::N,cearc,মোরগ
190,Hahn::N,coileach,কুক্কুট
191,Gans::N,gé,হংসী
192,Adler::N,iolar,ইগল
193,Ente::N,lacha,হংসী
194,Eule::N,ulchabhán,পেচক
195,Kranich::N,grús,সারস
196,Krähe::N,caróg,কাক
197,Krähe::N,préachán,কাক
198,Kuckuck::N,cuach,কোকিল
199,Schwan::N,eala,মরাল
200,Fisch::N,iasc,মাছ
201,Barsch::N,péirse,মৎন্যবিশেষ
202,Hecht::N,liús,বানমাছ
203,Schlange[Tier]::N,nathair,সর্প
204,Wurm::N,péist,কীট
205,Spinne::N,damhán alla,মাকড়সা
206,Ameise::N,seangán,পিপীলিকা
207,Laus::N,míol,উকুন
208,Mücke::N,muiscít,মশা
209,Mücke::N,corrmhíol,মশা
210,Fliege::N,cuil,মাছি
211,Fliege::N,cuileog,মাছি
212,Schmetterling::N,féileacán,প্রজাপতি
213,Beere::N,caor,বেরি
214,Apfel::N,úll,আপেল
215,Pilz::N,beacán,ছত্রক
216,Pilz::N,muisiriún,ছত্রক
217,Zwiebel::N,oinniún,পিয়াজ
218,Saat::N,síol,বীজ
219,Korn::N,gráinne,শস্য
220,Heu::N,féar,খড়
221,Schale::N,scaimh,খোসা
222,Grube::N,poll,গর্ত
223,Falle::N,gaiste,ফাঁদ
224,Schlinge::N,sealán,পাশ
225,Spur::N,rian,চিহ্ন
226,Asche::N,luaith,ভস্ম
227,Dreck::N,salachar,ময়লা
228,Eisen::N,iarann,লোহা
229,Gold::N,ór,স্বর্ণ
230,Silber::N,airgead,রৌপ্য
231,Kohle::N,gual,অঙ্গার
232,Glas::N,gloine,কাচ
233,Lehm::N,cré,মৃত্তিকা
234,Sand::N,gaineamh,বালি
235,Mensch::N,duine,নর
236,Mensch::N,duine,মানুষ
237,Mann::N,fear,মানুষ
238,Frau::N,bean,নারী
239,Kind::N,gasúr,বাচ্চা
240,Kind::N,páiste,বাচ্চা
241,Junge::N,buachaill,ছেলে
242,Mädchen::N,cailín,মেয়ে
243,Familie::N,teaghlach,পরিবার
244,Familie::N,comhluadar,পরিবার
245,Großvater::N,seanathair,মাতামহ
246,Großmutter::N,seanmháthair,মাতামহী
247,Eltern::N,tuismitheoirí,মাতাপিতা
248,Vater::N,athair,পিতা
249,Mutter::N,máthair,মাতা
250,Sohn::N,mac,ছেলে
251,Tochter::N,iníon,মেয়ে
252,Bruder::N,deartháir,দাদা
253,Schwester::N,deirfiúr,বোন
254,Schwester::N,deirfiúr,দিদি
255,Onkel::N,uncail,মামা
256,Tante::N,aintín,মাসী
257,Ehemann::N,fear céile,স্বামী
258,Ehefrau::N,bean chéile,পত্নী
259,Freude::N,áthas,উল্লাস
260,Gelächter::N,gáire,হাসি
261,Glück::N,séan,সুখ
262,Glück::N,sonas,সুখ
263,Kummer::N,brón,দুঃখ
264,Kummer::N,buairt,দুঃখ
265,Wunsch::N,guí,আকাঙ্ক্ষা
266,Wunsch::N,achainí,আকাঙ্ক্ষা
267,Lust::N,fonn,বাসনা
268,Geist::N,meon,আত্না
269,Geist::N,spiorad,আত্না
270,Gedanke::N,smaoineamh,চিন্তা
271,Gedächtnis::N,cuimhne,স্মরণশক্তি
272,Verstand::N,ciall,মন
273,Verstand::N,intinn,মন
274,Sinn::N,brí,পদার্থ
275,Sinn::N,ciall,পদার্থ
276,Grund::N,fáth,কারণ
277,Wahrheit::N,fírinne,সত্য
278,Gespräch::N,comhrá,কথাবার্তা
279,Märchen::N,scéal,রূপকথা
280,Erzählung::N,scéal,গল্প
281,Nachricht::N,teachtaireacht,তথ্য
282,Neuigkeit::N,scéala,খবরাখবর
283,Name::N,ainm,নাম
284,Rätsel::N,tomhas,ধাঁধা
285,Rede::N,óráid,বক্তৃতা
286,Rede::N,aitheasc,বক্তৃতা
287,Sprache::N,teanga,ভাষা
288,Stimme::N,guth,স্বর
289,Wort::N,focal,শব্দ
290,Zeichen::N,comhartha,প্রতীক
291,Ruf::N,glaoch,ডাক
292,Lärm::N,torann,হৈচৈ
293,Laut::N,fuaim,ধ্বনি
294,Ton::N,ton,স্বর
295,Lied::N,amhrán,গান
296,Ruhe::N,suaimhneas,শান্তি
297,Leute::N,muintir,প্রজাপুঞ্জ
298,Volk::N,pobal,জাতি
299,Arbeit::N,obair,চাকরি
300,Gast::N,aoi,অতিথি
301,Geschenk::N,féirín,উপহার
302,Geschenk::N,bronntanas,উপহার
303,Spiel::N,cluiche,খেলা
304,Gesellschaft::N,comhluadar,সঙ্গিগণ
305,Hilfe::N,cúnamh,সাহায্য
306,Hilfe::N,cabhair,সাহায্য
307,Freund::N,cara,বন্ধু
308,Kamerad::N,comrádaí,সঙ্গী
309,Angelegenheit::N,ábhar,বিষয়
310,Anzahl::N,líon,পরিমাণ
311,Art::N,sórt,রকম
312,Art::N,saghas,রকম
313,Stück::N,píosa,টুকরো
314,Teil::N,cuid,অংশ
315,Teil::N,páirt,অংশ
316,Hälfte::N,leath,অর্ধেক
317,Kreis::N,ciorcal,বৃত্ত
318,Kreuz::N,cros,ক্রুশ
319,Linie::N,líne,রেখা
320,Strich::N,stríoc,কষি
321,Abstand::N,achar,ফাঁক
322,Entfernung::N,fad,ব্যবধান
323,Gegend::N,ceantar,ক্ষেত্র
324,Platz::N,áit,জায়গা
325,Platz::N,spás,জায়গা
326,Ort::N,áit,স্থান
327,Seite::N,taobh,পার্শ্ব
328,Mitte::N,lár,মধ্য
329,Gegenstand::N,ball,জিনিস
330,Gegenstand::N,ábhar,জিনিস
331,Sache::N,ní,বস্তু
332,Sache::N,rud,বস্তু
333,Rand::N,imeall,কানা
334,Rand::N,ciumhais,কানা
335,Kante::N,corr,ধার
336,Kante::N,colbha,ধার
337,Ecke::N,coirnéal,কোণ
338,Spitze::N,gob,ডগা
339,Spitze::N,barr,ডগা
340,Ende::N,ceann,প্রান্ত
341,Ende::N,foirceann,প্রান্ত
342,Loch::N,poll,গর্ত
343,Winkel::N,cúinne,কোণ
344,Winkel::N,uillinn,কোণ
345,Muster::N,patrún,নমুন্
346,Größe::N,méid,আয়তন
347,Größe::N,toise,আয়তন
348,Länge::N,fad,দৈর্ঘ্য
349,Höhe::N,airde,উচ্চতা
350,Gewicht::N,meáchan,ওজন
351,Menge::N,méid,পরিমাণ
352,Haufen::N,cnap,পুঞ্জ
353,Reihe::N,líne,শ্রেণী
354,Reihe::N,sraith,শ্রেণী
355,Boot::N,bád,নৌকা
356,Ruder::N,rámh,দাঁড়
357,Ruder::N,maide rámha,দাঁড়
358,Schlitten::N,carr sleamhnáin,স্নেজ্-গাড়ি
359,Ski::N,scí,শী
360,Lagerfeuer::N,tine champa,অগ্নি
361,Last::N,ualach,বোঝা
362,Gang::N,siúlóid,হণ্টন
363,Schritt::N,céim,পদ
364,Schritt::N,coiscéim,পদ
365,Norden::N,tuaisceart,উত্তরদিক্
366,Süden::N,deisceart,দক্ষিণদিক
367,Westen::N,iarthar,পশ্চিমদিক্
368,Osten::N,oirthear,পূর্বদিক
369,Holz::N,adhmad,কাঠ
370,Brett::N,clár,তক্তা
371,Platte::N,leac,ফলক
372,Stütze::N,taca,নাগদণ্ড
373,Stange::N,polla,দণ্ড
374,Stange::N,cuaille,দণ্ড
375,Stock::N,bata,ছড়ি
376,Stock::N,maide,ছড়ি
377,Stab::N,maide,যষ্টি
378,Stab::N,bachall,যষ্টি
379,Rohr::N,píopa,নল
380,Haus::N,teach,ঘর
381,Heim::N,baile,বাসা
382,Ofen::N,sornóg,স্টোভ্
383,Fußboden::N,urlár,গহতল
384,Tisch::N,bord,মেজ
385,Tisch::N,bord,টেবিল
386,Tisch::N,tábla,মেজ
387,Tisch::N,tábla,টেবিল
388,Stuhl::N,cathaoir,চেয়ার
389,Stuhl::N,cathaoir,কেদারা
390,Wiege::N,cliabhán,দোলনা
391,Bett::N,leaba,শয্যা
392,Regal::N,seilf,তাক
393,Kiste::N,bosca,বাক্স
394,Fenster::N,fuinneoig,জানালা
395,Tür::N,doras,দ্বার
396,Tor::N,geata,দ্বার
397,Zaun::N,fál,বেড়া
398,Zaun::N,claí,বেড়া
399,Dach::N,díon,ছাদ
400,Leiter::N,dréimire,মই
401,Besen::N,scuab,গুল্মবিশেষ
402,Spaten::N,spád,কোদাল
403,Spaten::N,rámhainn,কোদাল
404,Schaufel::N,sluasaid,বেলচা
405,Gabel::N,forc,কাঁটা
406,Gabel::N,gabhlóg,কাঁটা
407,Löffel::N,spúnóg,চামচ
408,Messer::N,scian,ছুরি
409,Nagel::N,tairne,পেরেক
410,Netz::N,líon,জাল
411,Netz::N,eangach,জাল
412,Haken::N,croch,কাচি
413,Griff::N,cos,হাতল
414,Griff::N,hanla,হাতল
415,Schloss::N,glas,তালা
416,Bild::N,pictiúr,ছবি
417,Bild::N,pictiúr,চিত্র
418,Figur::N,fíor,আকার
419,Puppe::N,bábóg,পুতুল
420,Beutel::N,mála,বটুয়া
421,Beutel::N,mealbhóg,বটুয়া
422,Bündel::N,beart,আঁটি
423,Tasche::N,mála,থলি
424,Eimer::N,buicéad,বাল্তি
425,Deckel::N,clár,আবরণ
426,Deckel::N,claibín,আবরণ
427,Geschirr::N,soithí,থালা-বাসন
428,Geschirr::N,gréithe,থালা-বাসন
429,Sack::N,sac,বস্তা
430,Sack::N,mála,বস্তা
431,Tasse::N,cupán,কাপ
432,Topf::N,pota,পাত্র
433,Kessel::N,citeal,কেটলি
434,Essen::N,béile,আহার
435,Nahrung::N,bia,খাদ্য
436,Speise::N,mias,খাদ্য
437,Fleisch::N,feoil,মাংস
438,Getreide::N,grán,শস্য
439,Getreide::N,arbhar,শস্য
440,Brei::N,brúitín,মণ্ড
441,Brot::N,arán,রুটি
442,Scheibe::N,píosa,ফালি
443,Scheibe::N,slisne,ফালি
444,Fett::N,saill,মেদ
445,Fett::N,méathras,মেদ
446,Butter::N,im,মাখন
447,Öl::N,ola,তৈল
448,Salz::N,salann,নুন
449,Suppe::N,sú,শুরুয়া
450,Suppe::N,anraith,শুরুয়া
451,Honig::N,mil,মধু
452,Milch::N,bainne,দুধ
453,Tee::N,tae,চা
454,Leder::N,leathar,পাকা চামড়া
455,Wolle::N,olann,পশম
456,Stoff::N,éadach,বস্ত্র
457,Nadel::N,snáthaid,সুচ
458,Faden::N,snáth,সূত্র
459,Knopf::N,cnaipe,বোতাম
460,Knoten::N,snaidhm,গিঁট
461,Farbe::N,péint,রং
462,Kleidung::N,éadaí,কাপড়
463,Hemd::N,léine,শার্ট
464,Kragen::N,bóna,গলবন্ধ
465,Ärmel::N,muinchille,আস্তিন্
466,Hose::N,bríste,ট্রাউজার
467,Hose::N,treabhsar,ট্রাউজার
468,Gürtel::N,crios,কটিবন্ধ
469,Mütze::N,caipín,টুপি
470,Schuh::N,bróg,জুতো
471,Stiefel::N,buatais,বুট
472,Ring::N,fáinne,আংটি
473,Band::N,ribín,ফিতা
474,Kamm::N,cíor,চিরুনি
475,Spiegel::N,scáthán,আয়না
476,Riemen::N,iall,চাবুক
477,Riemen::N,strapa,চাবুক
478,Schnur::N,téad,দড়ি
479,Schnur::N,sreangán,দড়ি
480,Leine::N,iall,শিকল
481,Decke::N,pluid,কম্বল
482,Decke::N,blaincéad,কম্বল
483,Kissen::N,piliúr,উপাধান
484,Kissen::N,adhartán,উপাধান
485,Tuch::N,scaif,বস্ত্র
486,Handtuch::N,tuáille,তোয়ালে
487,Kraft::N,fórsa,জোর
488,Stärke::N,neart,শক্তি
489,Gesundheit::N,sláinte,স্বাস্থ্য
490,Krankheit::N,tinneas,অসুখ
491,Krankheit::N,tinneas,ব্যামো
492,Krankheit::N,breoiteacht,অসুখ
493,Krankheit::N,breoiteacht,ব্যামো
494,Schmerz::N,pian,যন্ত্রণা
495,Wunde::N,goin,ক্ষত
496,Fieber::N,fiabhras,জ্বর
497,Arznei::N,cógas,ঔষধ
498,Brücke::N,droichead,সেতু
499,Brunnen::N,tobar,কূপ
500,Weide::N,féarach,পশুচারণভূমি
501,Pfad::N,cosán,পথ
502,Pfad::N,conair,পথ
503,Weg::N,slí,পথ
504,Weg::N,bealach,পথ
505,Straße::N,bóthar,রাস্তা
506,Dorf::N,sráidbhaile,গ্রাম
507,Stadt::N,baile,শহর
508,Stadt::N,cathair,শহর
509,Brief::N,litir,চিঠি
510,Buch::N,cín,বই
511,Buch::N,leabhar,বই
512,Buchstabe::N,litir,অক্ষর
513,Zeitung::N,nuachtán,সংবাদপত্র
514,Leben::N,saol,জীবন
515,Leben::N,beatha,জীবন
516,Tod::N,bás,মৃত্যু
517,Grab::N,uaigh,কবর
518,Kirche::N,eaglais,গির্জা
519,Sünde::N,peaca,পাপ
520,Gott::N,dia,দেবতা
521,Arbeiter::N,oibrí,শ্রমিক
522,Chef::N,saoiste,নেতা
523,Chef::N,ceannasaí,নেতা
524,Meister::N,máistir,ব্যক্তি
525,Arzt::N,lia,চিকিৎসক
526,Arzt::N,dochtúir,চিকিৎসক
527,Lehrer::N,oide,অধ্যাপক
528,Lehrer::N,múinteoir,অধ্যাপক
529,Geld::N,airgead,মুদ্রা
530,Geld::N,airgead,টাকাপয়সা
531,Geschäft::N,gnó,ব্যস্ততা
532,Laden::N,siopa,দোকান
533,Preis::N,praghas,মূল্য
534,Ware::N,earra,পণ্যদ্রব্য
535,Nutzen::N,tairbhe,সুবিধা
536,Reichtum::N,rachmas,ধনদৌলত
537,Reichtum::N,saibhreas,ধনদৌলত
538,Welt::N,domhan,জগৎ
539,Land::N,tír,খেত
540,Staat::N,stát,রাষ্ট্র
541,König::N,rí,রাজা
542,Macht::N,cumhacht,প্রভাব
543,Grenze::N,críoch,সীমা
544,Grenze::N,teorainn,সীমা
545,Krieg::N,cogadh,যুদ্ধ
546,Feind::N,namhaid,শত্রু
547,Gewalt::N,foréigean,জোর
548,Kampf::N,troid,লড়াই
549,Bogen[Waffe]::N,bogha,ধনুক
550,Pfeil::N,saighead,বাণ
551,Gewehr::N,gunna,বন্দুক
552,Fehler::N,botún,ভুল
553,Fehler::N,meancóg,ভুল
554,Lüge::N,bréag,মিথ্যা
555,Lüge::N,éitheach,মিথ্যা
556,Schaden::N,dochar,ক্ষতি
557,Schaden::N,damáiste,ক্ষতি
558,Unglück::N,drochrath,দুর্ভাগ্য
559,Schuld::N,locht,অপরাধ
560,Schuld::N,milleán,অপরাধ
561,Alter::N,aois,আয়ু
562,Schluss::N,deireadh,শেষ
563,Zeit::N,am,সময়
564,Zeit::N,aimsir,সময়
565,Tag::N,lá,দিন
566,Morgen::N,maidin,সকাল
567,Mittag::N,nóin,মধ্যাহু
568,Abend::N,tráthnóna,সন্ধ্যা
569,Nacht::N,oíche,রাত্রি
570,Woche::N,seachtain,সপ্তাহ
571,Monat::N,mí,মাস
572,Jahr::N,bliain,সৌরবর্ষ
573,Frühling::N,earrach,বসন্তকাল
574,Sommer::N,samhradh,গ্রীষ্মকাল
575,Herbst::N,fómhar,শরংঋতু
576,Winter::N,geimhreadh,শীতকাল
577,Januar::N,Eanáir,জানুয়ারী
578,Februar::N,Feabhra,ফেব্রুয়ারী
579,März::N,Márta,মার্চ
580,April::N,Aibreán,এপ্রিল
581,Mai::N,Bealtaine,মে
582,Juni::N,Meitheamh,জুন
583,Juli::N,Iúil,জুলাই
584,August::N,Lúnasa,অগাস্ট
585,September::N,Meán Fómhair,সেপ্টেম্বর
586,Oktober::N,Deireadh Fómhair,অক্টোবর
587,November::N,Samhain,নভেম্বর
588,November::N,Mí na Samhna,নভেম্বর
589,Dezember::N,Mí na Nollag,ডিসেম্বর
590,Montag::N,Luan,সোমবার
591,Montag::N,Dé Luain,সোমবার
592,Dienstag::N,Máirt,মঙ্গলবার
593,Dienstag::N,Dé Máirt,মঙ্গলবার
594,Mittwoch::N,Céadaoin,বুধবার
595,Mittwoch::N,Dé Céadaoin,বুধবার
596,Donnerstag::N,Déardaoin,বৃহম্পতিবার
597,Freitag::N,Aoine,শুক্রবার
598,Freitag::N,Dé hAoine,শুক্রবার
599,Samstag::N,Satharn,শনিবার
600,Samstag::N,Dé Sathairn,শনিবার
601,Sonntag::N,Domhnach,রবিবার
602,Sonntag::N,Dé Domhnaigh,রবিবার
603,groß::A,mór,বৃহৎ
604,klein::A,beag,ছোট
605,lang::A,fada,দীর্ঘ
606,kurz::A,gearr,খর্ব
607,kurz::A,gearr,হ্রস্ব
608,kurz::A,gairid,খর্ব
609,kurz::A,gairid,হ্রস্ব
610,breit::A,leathan,চওড়া
611,breit::A,fairsing,চওড়া
612,schmal::A,cúng,সরু
613,dicht::A,dlúth,ঘন
614,dick[Gegenstand]::A,tiubh,পুরু
615,dünn::A,caol,কৃশ
616,dünn::A,tanaí,কৃশ
617,fein::A,scáinte,সূক্ষ্ম
618,fein::A,fíneálta,সূক্ষ্ম
619,fest::A,daingean,দৃঢ়
620,flach::A,cothrom,সমতল
621,glatt::A,mín,মসৃণ
622,glatt::A,sleamhain,মসৃণ
623,hart::A,crua,শক্ত
624,weich::A,bog,নরম
625,rund::A,cruinn,গোলাকার
626,spitz::A,gobach,তীক্ষ্ন
627,spitz::A,biorach,তীক্ষ্ন
628,scharf::A,géar,শাণিত
629,scharf::A,faobhrach,শাণিত
630,stumpf::A,maol,ভোঁতা
631,schwer::A,trom,ভারী
632,schön::A,álainn,সুন্দর
633,heiß::A,te,গরম
634,warm::A,te,ঈষদুষ্ণ
635,kalt::A,fuar,ঠাণ্ডা
636,kühl::A,fionnuar,শীতল
637,frisch::A,úr,তাজা
638,frisch::A,friseáilte,তাজা
639,feucht::A,tais,ভিজা
640,nass::A,fliuch,ভিজা
641,trocken::A,tirim,শুষ্ক
642,voll::A,lán,পূর্ণ
643,leer::A,folamh,খালি
644,offen::A,oscailte,খোলা
645,geschlossen::A,dúnta,বন্ধ
646,geschlossen::A,druidte,বন্ধ
647,sauber::A,glan,নির্মল
648,schmutzig::A,salach,নোংরা
649,roh::A,amh,কাঁচা
650,reif::A,aibí,পাকা
651,lecker::A,blasta,সুস্বাদ
652,süß::A,milis,মিষ্ট
653,bitter::A,searbh,তিক্ত
654,sauer::A,géar,টক
655,sauer::A,searbh,টক
656,hell::A,geal,উজ্জ্বল
657,hell::A,soilseach,উজ্জ্বল
658,dunkel::A,dorcha,অন্ধকারময়
659,schwarz::A,dubh,কালো
660,weiß::A,bán,সাদা
661,rot::A,dearg,লাল
662,gelb::A,buí,হলদে
663,blau::A,gorm,নীল
664,grün::A,glas,সবুজ
665,grün::A,uaine,সবুজ
666,grau::A,liath,ছাই-রঙা
667,bunt::A,ildathach,রঙিন
668,bunt::A,dathannach,রঙিন
669,billig::A,saor,সস্তা
670,teuer::A,daor,আক্রা
671,teuer::A,costasach,আক্রা
672,wertvoll::A,luachmhar,মহার্ঘ
673,blind::A,dall,কানা
674,blind::A,caoch,কানা
675,taub::A,bodhar,বধির
676,kräftig::A,cumhachtach,বিশাল
677,stark::A,tréan,শক্তিশালী
678,stark::A,láidir,শক্তিশালী
679,schwach::A,lag,দুর্বল
680,schwach::A,fann,দুর্বল
681,fett::A,ramhar,মোটা
682,schlank::A,caol,কৃশ
683,schlank::A,seang,কৃশ
684,hübsch::A,álainn,সুন্দর
685,hübsch::A,dathúil,সুন্দর
686,böse::A,olc,খারাপ
687,dumm::A,dúr,মূর্খ
688,dumm::A,amaideach,মূর্খ
689,faul::A,falsa,শ্রমবিমুখ
690,faul::A,leisciúil,শ্রমবিমুখ
691,fleißig::A,dícheallach,পরিশ্রমী
692,geizig::A,barainneach,ব্যয়কুণ্ঠ
693,geizig::A,sprionlaithe,ব্যয়কুণ্ঠ
694,klug::A,cliste,দক্ষ
695,geschickt::A,oilte,পটু
696,geschickt::A,ealaíonta,পটু
697,lieb::A,dil,প্রেয়
698,lieb::A,dílis,প্রেয়
699,lustig::A,aerach,প্রফুল্ল
700,lustig::A,meidhreach,প্রফুল্ল
701,sanft::A,bog,নম্র
702,sanft::A,séimh,নম্র
703,hungrig::A,ocrach,ক্ষুধার্ত
704,krank::A,tinn,অসুস্থ
705,krank::A,breoite,অসুস্থ
706,nackt::A,nocht,উলঙ্গ
707,traurig::A,brónach,দুঃখিত
708,lebendig::A,beo,জীবিত
709,gut::A,maith,ভালো
710,schlecht::A,dona,মন্দ
711,schlecht::A,droch-,মন্দ
712,richtig::A,ceart,ঠিক
713,schlimm::A,gránna,কদর্য
