,Concept_ID,te,uk
233,Gespräch::N,పంభాషణ,розмова
234,Märchen::N,అద్భుతకథ,байка
235,Erzählung::N,కథ,повість
236,Erzählung::N,కథ,оповідання
237,Nachricht::N,వార్త,повідомлення
238,Neuigkeit::N,వార్త,новина
239,Name::N,పేరు,ім’я
240,Rätsel::N,చిక్కు,загадка
241,Rede::N,ఉపన్యాసము,промова
242,Sprache::N,భాష,мова
243,Stimme::N,కంరథ్సని,голос
244,Wort::N,మాట,слово
245,Zeichen::N,గుర్తు,знак
246,Ruf::N,పిలువు,оклик
247,Lärm::N,సందడి,шум
248,Laut::N,ధ్వని,звук
249,Ton::N,స్వరము,тон
250,Lied::N,పాట,пісня
251,Ruhe::N,గాలిలేమి,спокій
252,Leute::N,జనులు,люди
253,Volk::N,జాతి,народ
254,Arbeit::N,పని,робота
255,Gast::N,అతిధి,гість
256,Geschenk::N,దానము,подарунок
257,Spiel::N,ఆట,гра
258,Gesellschaft::N,జట్టు,товариство
259,Hilfe::N,సాహాయ్యము,допомога
260,Freund::N,స్నేహితుడు,друг
261,Freund::N,స్నేహితుడు,приятель
262,Kamerad::N,చెలికాడు,товариш
263,Angelegenheit::N,విషయము,справа
264,Anzahl::N,లెక్క,число
265,Art::N,జాతి,рід
266,Stück::N,తునుక,кусок
267,Teil::N,భాగము,частина
268,Hälfte::N,సగము,половина
269,Kreis::N,వృత్తము,круг
270,Kreis::N,వృత్తము,коло
271,Kreuz::N,సిలువ,хрест
272,Linie::N,గీత,лінія
273,Strich::N,గీత,штрих
274,Abstand::N,సందు,проміжок
275,Entfernung::N,దూరము,відстань
276,Gegend::N,విస్తీర్ణము,місцевість
277,Platz::N,ఎడము,площа
278,Ort::N,స్థలము,місце
279,Seite::N,ప్రక్క,сторона
280,Mitte::N,నడిమి,середина
281,Gegenstand::N,పద్దు,предмет
282,Sache::N,వస్తువు,річ
283,Rand::N,అంచు,край
284,Kante::N,అంచు,ребро
285,Ecke::N,మూల,ріг
286,Spitze::N,మొన,кінчик
287,Ende::N,కొన,кінець
288,Loch::N,రంధ్రము,діра
289,Winkel::N,కోణము,куток
290,Muster::N,మాదిరి,узор
291,Größe::N,పరిమాణము,розмір
292,Länge::N,పొడుగు,довжина
293,Höhe::N,పొడుగు,висота
294,Gewicht::N,భారము,вага
295,Menge::N,మొత్తము,кількість
296,Haufen::N,రాశి,купа
297,Reihe::N,వరుస,ряд
298,Boot::N,పడవ,човен
299,Ruder::N,అడక,весло
300,Schlitten::N,సరవండ్లు,сани
301,Ski::N,స్కీ,лижа
302,Lagerfeuer::N,నెగడు,вогнище
303,Last::N,బరువు,тягар
304,Last::N,బరువు,вантаж
305,Gang::N,నడక,хід
306,Schritt::N,అడుగు,крок
307,Norden::N,ఉత్తరదిక్కు,північ
308,Süden::N,దక్షిణము,південь
309,Westen::N,పడమర,захід
310,Osten::N,తూర్పు,схід
311,Holz::N,కొయ్య,дрова
312,Brett::N,పలక,дошка
313,Platte::N,పలక,плита
314,Stütze::N,వాల్సేడ్లు,підпірка
315,Stange::N,స్తంభము,жердина
316,Stock::N,కఱ్ఱ,палиця
317,Stab::N,కఱ్ఱ,палиця
318,Rohr::N,గొట్టము,труба
319,Haus::N,ఇల్లు,дім
320,Haus::N,ఇల్లు,хата
321,Heim::N,స్వగృహము,житло
322,Ofen::N,పొయ్యి,піч
323,Fußboden::N,నేల,підлога
324,Tisch::N,మేజా,стіл
325,Stuhl::N,కుర్చీ,стілець
326,Wiege::N,ఉయ్యాల,колиска
327,Bett::N,పడక,ліжко
328,Bett::N,పడక,постіль
329,Bett::N,మంచం,ліжко
330,Bett::N,మంచం,постіль
331,Regal::N,అటక,полиця
332,Kiste::N,వెట్టె,ящик
333,Fenster::N,కిటికి,вікно
334,Tür::N,ద్వారము,двері
335,Tor::N,ద్వారము,ворота
336,Zaun::N,కంచె,паркан
337,Zaun::N,కంచె,огорожа
338,Dach::N,ఇంటివైకప్పు,дах
339,Leiter::N,నిచ్చెన,драбина
340,Besen::N,చీపురుకట్ట,мітла
341,Spaten::N,పాఱ,заступ
342,Schaufel::N,పాఱ,совок
343,Schaufel::N,పాఱ,лопата
344,Gabel::N,ముండ్లగరిటె,виделка
345,Löffel::N,గరిటె,ложка
346,Messer::N,కత్తి,ніж
347,Nagel::N,మేకు,цвях
348,Netz::N,వల,сіть
349,Haken::N,కొక్కెము,крюк
350,Griff::N,పిడి,ручка
351,Griff::N,పిడి,держак
352,Schloss::N,తాళము,замок
353,Bild::N,చిత్రము,картина
