,Concept_ID,ja,cy
117,Festland::N,陸,tir
118,Meer::N,海,môr
119,Bucht::N,湾,bae
120,Insel::N,島,ynys
121,Blume::N,花,blodyn
122,Gras::N,草,glaswellt
123,Wurzel::N,根,gwreiddyn
124,Baum::N,木,coeden
125,Stamm::N,幹,colfen
126,Stamm::N,幹,boncyff
127,Rinde::N,皮層,rhisgl
128,Ast::N,枝,cangen
129,Zweig::N,小枝,cainc
130,Zweig::N,小枝,cangen
131,Blatt::N,葉,deilen
132,Birke::N,樺,bedwen
133,Kiefer[Baum]::N,松,pinwydden
134,Weide[Baum]::N,柳,helygen
135,Tanne::N,樅,ffynidwydden
136,Horn::N,角,corn
137,Feder::N,羽根,plufyn
138,Fell::N,毛皮,ffwr
139,Flügel::N,羽,adain
140,Klaue::N,鉤爪,crafanc
141,Kralle::N,爪,ewin
142,Schwanz::N,尻尾,cwt
143,Schwanz::N,尻尾,cynffon
144,Ei::N,卵,wy
145,Nest::N,巣,nyth
146,Bau::N,穴,ffau
147,Tier::N,動物,anifail
148,Herde::N,群れ,praidd
149,Herde::N,群れ,diadell
150,Kuh::N,牛,buwch
151,Bulle::N,雄牛,tarw
152,Pferd::N,馬,ceffyl
153,Schaf::N,羊,dafad
154,Schwein::N,豚,mochyn
155,Hund::N,犬,ci
156,Katze::N,猫,cath
157,Bär::N,熊,arth
158,Eichhörnchen::N,栗鼠,gwiwer
159,Elch::N,ヘラジカ,elc
160,Fuchs::N,狐,cadno
161,Hase::N,兎,ysgyfarnog
162,Maus::N,鼠,llygoden
163,Wolf::N,狼,blaidd
164,Vogel::N,鳥,aderyn
165,Schwarm::N,群れ,haid
166,Huhn::N,鶏,cyw
167,Hahn::N,雄鶏,ceiliog
168,Gans::N,ガチョウ,gŵydd
169,Adler::N,鷲,eryr
170,Ente::N,鴨,hwyad
171,Eule::N,フクロウ,tylluan
172,Kranich::N,鶴,garan
173,Kranich::N,鶴,crychydd
174,Krähe::N,烏,brân
175,Kuckuck::N,郭公,cog
176,Kuckuck::N,郭公,cwcw
177,Schwan::N,白鳥,alarch
178,Fisch::N,魚,pysgod
179,Barsch::N,鱸,draenog
180,Hecht::N,川魳,penhwyad
181,Schlange[Tier]::N,蛇,neidr
182,Wurm::N,虫,abwydyn
183,Wurm::N,虫,pryf genwair
184,Spinne::N,蜘蛛,cor
185,Spinne::N,蜘蛛,pryf copyn
186,Ameise::N,蟻,morgrugyn
187,Laus::N,虱,lleuen
188,Mücke::N,蚊,gwybedyn
189,Fliege::N,蝿,cleren
190,Schmetterling::N,蝶,glöyn byw
191,Schmetterling::N,蝶,iâr fach yr haf
192,Beere::N,漿果,aeronen
193,Apfel::N,林檎,afal
194,Pilz::N,茸,madarch
195,Zwiebel::N,玉葱,nionyn
196,Zwiebel::N,玉葱,winwnsyn
197,Saat::N,種,had
198,Korn::N,粒,grawn
199,Heu::N,干し草,gwair
200,Schale::N,皮,croen
201,Schale::N,皮,plisgyn
202,Grube::N,穴,pwll
203,Grube::N,穴,pydew
204,Falle::N,わな,magl
205,Schlinge::N,輪,cwlwm rhedeg
206,Spur::N,跡,ôl
207,Asche::N,灰,lludw
208,Dreck::N,泥,baw
209,Dreck::N,泥,budreddi
210,Eisen::N,鉄,haearn
211,Gold::N,金,aur
212,Silber::N,銀,arian
213,Kohle::N,炭,glo
214,Glas::N,ガラス,gwydr
215,Lehm::N,ローム,clai
216,Sand::N,砂,tywod
217,Mensch::N,人,dyn
218,Mann::N,男,dyn
219,Mann::N,男性,dyn
220,Frau::N,女,merch
221,Frau::N,女,gwraig
222,Frau::N,女性,merch
223,Frau::N,女性,gwraig
224,Kind::N,子,plentyn
225,Kind::N,子供,plentyn
226,Junge::N,男の子,hogyn
227,Junge::N,男の子,bachgen
228,Mädchen::N,女の子,merch
229,Mädchen::N,女の子,geneth
230,Familie::N,家族,teulu
231,Familie::N,家族,tylwyth
232,Großvater::N,祖父,taid
233,Großvater::N,祖父,tad-cu
234,Großvater::N,おじいさん,taid
235,Großvater::N,おじいさん,tad-cu
236,Großmutter::N,祖母,nain
237,Großmutter::N,祖母,mam-gu
238,Großmutter::N,おばあさん,nain
239,Großmutter::N,おばあさん,mam-gu
240,Eltern::N,親,rhieni
241,Eltern::N,両親,rhieni
242,Vater::N,父,tad
243,Vater::N,お父さん,tad
244,Mutter::N,母,mam
245,Mutter::N,お母さん,mam
246,Sohn::N,息子,mab
247,Sohn::N,息子さん,mab
248,Tochter::N,娘,merch
249,Tochter::N,お嬢さん,merch
250,Bruder::N,弟,brawd
251,Schwester::N,妹,chwaer
252,Onkel::N,伯父,ewythr
253,Onkel::N,伯父さん,ewythr
254,Tante::N,叔母,modryb
255,Tante::N,叔母さん,modryb
256,Ehemann::N,夫,gŵr
257,Ehemann::N,主人,gŵr
258,Ehefrau::N,妻,gwraig
259,Ehefrau::N,奥さん,gwraig
260,Freude::N,喜び,gorfoledd
261,Gelächter::N,笑い,chwerthin
262,Glück::N,幸せ,hapusrwydd
263,Kummer::N,悩み,galar
264,Wunsch::N,希望,dymuniad
265,Lust::N,気,chwant
266,Geist::N,精神,ysbryd
267,Gedanke::N,考え,meddwl
268,Gedächtnis::N,記憶,cof
269,Verstand::N,理解力,meddwl
270,Sinn::N,意味,ystyr
271,Grund::N,理由,achos
272,Grund::N,理由,rheswm
273,Wahrheit::N,真実,gwir
274,Wahrheit::N,真実,gwirionedd
275,Gespräch::N,会話,sgwrs
276,Märchen::N,童話,chwedl werin
277,Erzählung::N,物語,stori
278,Nachricht::N,報告,neges
279,Neuigkeit::N,ニュース,newydd
280,Name::N,名前,enw
281,Rätsel::N,謎,pos
282,Rede::N,演説,araith
283,Sprache::N,言語,iaith
284,Stimme::N,声,llais
285,Wort::N,言葉,gair
286,Zeichen::N,記号,arwydd
287,Ruf::N,呼び声,galwad
288,Lärm::N,騒音,trwst
289,Laut::N,音,sain
290,Ton::N,音,tôn
291,Lied::N,歌,cân
292,Ruhe::N,静けさ,tawelwch
293,Leute::N,人々,pobl
294,Volk::N,民族,pobl
295,Arbeit::N,仕事,gwaith
296,Gast::N,客,gwestai
297,Geschenk::N,贈り物,rhodd
298,Geschenk::N,贈り物,anrheg
299,Spiel::N,遊び,chwarae
300,Gesellschaft::N,社会,cwmni
301,Hilfe::N,援助,cymorth
302,Freund::N,友達,cyfaill
303,Kamerad::N,同志,cydymaith
304,Angelegenheit::N,件,pwnc
305,Anzahl::N,数,cyfrif
306,Art::N,種類,bath
307,Stück::N,部分,darn
308,Teil::N,部分,rhan
309,Hälfte::N,半分,hanner
310,Kreis::N,円,cylch
311,Kreuz::N,十字,croes
312,Linie::N,線,llinell
313,Strich::N,線,strôc
314,Strich::N,線,trawiad
315,Abstand::N,距離,bwlch
316,Abstand::N,距離,pellter
317,Entfernung::N,距離,pellter
318,Gegend::N,辺,cylch
319,Gegend::N,地域,cylch
320,Platz::N,ゆとり,lle
321,Ort::N,所,lle
322,Ort::N,場所,lle
323,Seite::N,横,ochr
324,Mitte::N,真ん中,canol
325,Gegenstand::N,物件,eitem
326,Sache::N,物,peth
327,Rand::N,端,cwr
328,Rand::N,端,ymyl
329,Kante::N,縁,min
330,Kante::N,縁,ymyl
331,Ecke::N,角,cornel
332,Spitze::N,先頭,blaen
333,Ende::N,端,pen
334,Loch::N,穴,twll
335,Winkel::N,片隅,congl
336,Muster::N,模様,patrwm
337,Größe::N,大きさ,maint
338,Größe::N,大きさ,maintioli
339,Länge::N,長さ,hyd
340,Höhe::N,高さ,uchder
341,Gewicht::N,重さ,pwysau
342,Menge::N,量,swm
343,Menge::N,量,maint
344,Haufen::N,堆積,pentwr
345,Reihe::N,並び,rhes
346,Boot::N,ボート,cwch
347,Ruder::N,オール,rhwyf
348,Schlitten::N,そり,sled
349,Schlitten::N,そり,car llusg
350,Ski::N,スキー,sgi
351,Lagerfeuer::N,篝火,coelcerth
352,Last::N,荷物,llwyth
353,Gang::N,歩み,tro
354,Schritt::N,歩,cam
355,Norden::N,北,gogledd
356,Süden::N,南,de
357,Westen::N,西,gorllewin
358,Osten::N,東,dwyrain
359,Holz::N,木,pren
360,Holz::N,木材,pren
361,Brett::N,板,bwrdd
362,Brett::N,板,astell
363,Platte::N,盤,llech
364,Stütze::N,支柱,ateg
365,Stütze::N,支柱,cynhalydd
366,Stange::N,棒,polyn
367,Stock::N,杖,ffon
368,Stock::N,杖,brigyn
369,Stab::N,棒,ffon
370,Rohr::N,管,pibell
371,Haus::N,家,tŷ
372,Heim::N,家,cartref
373,Ofen::N,ストーブ,stof
374,Fußboden::N,床,llawr
375,Tisch::N,机,bwrdd
376,Stuhl::N,椅子,cadair
377,Wiege::N,揺籃,crud
378,Bett::N,ベッド,gwely
379,Regal::N,棚,silff
380,Kiste::N,箱,bocs
381,Kiste::N,箱,blwch
382,Fenster::N,窓,ffenestr
383,Tür::N,戸,drws
384,Tür::N,ドア,drws
385,Tor::N,門,porth
386,Zaun::N,垣根,ffens
387,Dach::N,屋根,to
388,Leiter::N,梯子,ysgol
389,Besen::N,ほうき,ysgub
390,Spaten::N,スコップ,rhaw
391,Schaufel::N,シャベル,rhaw
392,Gabel::N,フォーク,fforc
393,Löffel::N,スプーン,llwy
394,Messer::N,ナイフ,cyllell
395,Nagel::N,釘,hoel
396,Netz::N,網,gwe
397,Netz::N,網,rhwyd
398,Haken::N,鉤,bach
399,Haken::N,フック,bach
400,Griff::N,取っ手,carn
401,Schloss::N,錠,clo
402,Bild::N,絵,llun
403,Bild::N,絵,pictiwr
404,Figur::N,像,ffigur
405,Puppe::N,人形,dol
406,Beutel::N,袋,cwd
407,Bündel::N,束,bwndel
408,Bündel::N,束,coflaid
409,Bündel::N,包み,bwndel
410,Bündel::N,包み,coflaid
411,Tasche::N,かばん,cod
412,Eimer::N,バケツ,bwced
413,Eimer::N,バケツ,cunnog
414,Deckel::N,蓋,caead
415,Geschirr::N,食器,llestri
416,Sack::N,袋,sach
417,Tasse::N,カップ,cwpan
418,Topf::N,鍋,pot
419,Topf::N,鍋,crochan
420,Kessel::N,釜,tegell
421,Essen::N,食事,pryd o fwyd
422,Nahrung::N,食物,bwyd
423,Speise::N,料理,saig
424,Fleisch::N,肉,cig
425,Getreide::N,麦,ŷd
426,Getreide::N,麦,llafur
427,Getreide::N,穀物,ŷd
428,Getreide::N,穀物,llafur
429,Brei::N,粥,uwd
430,Brot::N,パン,bara
431,Scheibe::N,枚,tafell
432,Scheibe::N,切れ,tafell
433,Fett::N,脂肪,saim
434,Fett::N,脂肪,braster
435,Butter::N,バター,ymenyn
436,Öl::N,油,olew
437,Salz::N,塩,halen
438,Suppe::N,スープ,cawl
439,Honig::N,蜂蜜,mêl
440,Milch::N,牛乳,llaeth
441,Milch::N,牛乳,llefrith
442,Tee::N,茶,te
443,Tee::N,お茶,te
444,Leder::N,革,lledr
445,Wolle::N,毛糸,gwlân
446,Stoff::N,布,lliain
447,Stoff::N,布,brethyn
448,Nadel::N,針,nodwydd
449,Faden::N,糸,edau
450,Faden::N,糸,edefyn
451,Knopf::N,ボタン,botwm
452,Knoten::N,結び目,cwlwm
453,Farbe::N,ペンキ,paent
454,Kleidung::N,衣服,dillad
455,Kleidung::N,衣服,gwisgoedd
456,Hemd::N,シャツ,crys
457,Kragen::N,襟,coler
458,Ärmel::N,袖,llawes
459,Hose::N,ズボン,trowsus
460,Gürtel::N,帯,gwregys
461,Gürtel::N,ベルト,gwregys
462,Mütze::N,帽子,cap
463,Schuh::N,靴,esgid
464,Stiefel::N,ブーツ,botasen
465,Ring::N,輪,modrwy
466,Band::N,リボン,rhuban
467,Kamm::N,櫛,crib
468,Spiegel::N,鏡,drych
469,Riemen::N,緒,strap
470,Schnur::N,紐,llinyn
471,Leine::N,綱,tennyn
472,Decke::N,掛け布団,blanced
473,Decke::N,掛け布団,gwrthban
474,Kissen::N,枕,clustog
475,Kissen::N,枕,gobennydd
476,Tuch::N,スカーフ,sgarff
477,Handtuch::N,タオル,tywel
478,Handtuch::N,タオル,lliain sychu
479,Kraft::N,力,grym
480,Stärke::N,強さ,nerth
481,Stärke::N,強さ,cryfder
482,Gesundheit::N,健康,iechyd
483,Krankheit::N,病気,afiechyd
484,Krankheit::N,病気,anhwylder
485,Schmerz::N,痛み,poen
486,Schmerz::N,痛み,gwayw
487,Wunde::N,傷,clwyf
488,Fieber::N,熱,twymyn
489,Arznei::N,薬,meddyginiaeth
490,Brücke::N,橋,pont
491,Brunnen::N,井戸,ffynnon
492,Weide::N,牧場,porfa
493,Pfad::N,小路,llwybr
494,Weg::N,道,ffordd
495,Straße::N,街道,heol
496,Straße::N,街道,ffordd
497,Dorf::N,村,pentref
498,Stadt::N,町,tref
499,Stadt::N,都市,tref
500,Brief::N,手紙,llythyr
501,Buch::N,本,llyfr
502,Buchstabe::N,文字,llythyren
503,Zeitung::N,新聞,papur newydd
504,Leben::N,生活,bywyd
505,Tod::N,死,marwolaeth
506,Grab::N,墓,bedd
507,Kirche::N,教会,eglwys
508,Sünde::N,罪,pechod
509,Gott::N,神,duw
510,Arbeiter::N,労働者,gweithiwr
511,Chef::N,上司,pennaeth
512,Meister::N,達人,meistr
513,Meister::N,マイスター,meistr
514,Arzt::N,医者,meddyg
515,Lehrer::N,先生,athro
516,Geld::N,金,pres
517,Geld::N,金,arian
518,Geschäft::N,取り引き,busnes
519,Laden::N,店,siop
520,Preis::N,値段,pris
521,Ware::N,商品,nwydd
522,Nutzen::N,利益,elw
523,Nutzen::N,利益,budd
524,Reichtum::N,豊かさ,cyfoeth
525,Welt::N,世界,byd
526,Land::N,国,gwlad
527,Staat::N,国家,gwladwriaeth
528,König::N,国王,brenin
529,Macht::N,権力,grym
530,Macht::N,権力,awdurdod
531,Grenze::N,国境,ffin
532,Grenze::N,国境,goror
533,Krieg::N,戦争,rhyfel
534,Feind::N,敵,gelyn
535,Gewalt::N,暴力,ffyrnigrwydd
536,Kampf::N,戦い,brwydr
537,Bogen[Waffe]::N,弓,bwa
538,Pfeil::N,矢,saeth
539,Gewehr::N,銃,dryll
540,Fehler::N,間違い,gwall
541,Fehler::N,間違い,camgymeriad
542,Lüge::N,嘘,celwydd
543,Lüge::N,嘘,anwiredd
544,Schaden::N,損害,niwed
545,Schaden::N,損害,difrod
546,Unglück::N,不幸,anffawd
547,Schuld::N,罪,bai
548,Alter::N,年,oed
549,Alter::N,年齢,oed
550,Schluss::N,終わり,diwedd
551,Zeit::N,時,amser
552,Zeit::N,時間,amser
553,Tag::N,日,dydd
554,Tag::N,日,diwrnod
555,Morgen::N,朝,bore
556,Mittag::N,昼,nawn
557,Abend::N,晩,noswaith
558,Abend::N,夕方,noswaith
559,Nacht::N,夜,nos
560,Woche::N,週,wythnos
561,Monat::N,月,mis
562,Jahr::N,年,blwyddyn
563,Frühling::N,春,gwanwyn
564,Sommer::N,夏,haf
565,Herbst::N,秋,hydref
566,Winter::N,冬,gaeaf
567,Januar::N,一月,Ionawr
568,Februar::N,二月,Chwefror
569,März::N,三月,Mawrth
570,April::N,四月,Ebrill
571,Mai::N,五月,Mai
572,Juni::N,六月,Mehefin
573,Juli::N,七月,Gorffennaf
574,August::N,八月,Awst
575,September::N,九月,Medi
576,Oktober::N,十月,Hydref
577,November::N,十一月,Tachwedd
578,Dezember::N,十二月,Rhagfyr
579,Montag::N,月曜日,dydd Llun
580,Dienstag::N,火曜日,dydd Mawrth
581,Mittwoch::N,水曜日,dydd Mercher
582,Donnerstag::N,木曜日,dydd Iau
583,Freitag::N,金曜日,dydd Gwener
584,Samstag::N,土曜日,dydd Sadwrn
585,Sonntag::N,日曜日,dydd Sul
586,groß::A,大きい,mawr
587,klein::A,小さい,bach
588,lang::A,長い,hir
589,kurz::A,短い,byr
590,kurz::A,短い,cwta
591,breit::A,広い,llydan
592,schmal::A,狭い,cul
593,dicht::A,密な,dwys
594,dick[Gegenstand]::A,厚い,trwchus
595,dünn::A,薄い,tenau
596,fein::A,細い,main
597,fest::A,硬い,cadarn
598,flach::A,平らな,gwastad
599,glatt::A,滑らかな,llyfn
600,hart::A,堅い,caled
601,weich::A,柔らかい,meddal
602,rund::A,丸い,crwn
603,spitz::A,尖った,pigfain
604,scharf::A,鋭い,miniog
605,stumpf::A,鈍い,pŵl
606,schwer::A,重い,trwm
607,schön::A,綺麗な,teg
608,schön::A,綺麗な,hardd
609,schön::A,綺麗な,prydferth
610,heiß::A,熱い,poeth
611,warm::A,温かい,twym
612,warm::A,温かい,cynnes
613,kalt::A,寒い,oer
614,kalt::A,冷たい,oer
615,kühl::A,涼しい,oeraidd
616,frisch::A,ひんやりした,iach
617,feucht::A,湿った,llaith
618,nass::A,濡れた,gwlyb
619,trocken::A,乾いた,sych
620,voll::A,いっぱいの,llawn
621,leer::A,空の,gwag
622,offen::A,開いた,agored
623,geschlossen::A,閉まった,caead
624,geschlossen::A,閉まった,caeëdig
625,sauber::A,清潔な,glân
626,schmutzig::A,汚い,budr
627,schmutzig::A,汚い,brwnt
628,roh::A,生の,amrwd
629,reif::A,熟した,aeddfed
630,lecker::A,美味しい,blasus
631,lecker::A,美味しい,danteithiol
632,süß::A,甘い,melys
633,bitter::A,苦い,chwerw
634,sauer::A,酸っぱい,sur
635,hell::A,明るい,disglair
636,dunkel::A,暗い,tywyll
637,schwarz::A,黒い,du
638,weiß::A,白い,gwyn
639,rot::A,赤い,coch
640,gelb::A,黄色い,melyn
641,blau::A,青い,glas
642,grün::A,緑の,gwyrdd
643,grau::A,灰色の,llwyd
644,bunt::A,色取り取りの,lliwgar
645,billig::A,安い,rhad
646,teuer::A,高い,drud
647,wertvoll::A,貴重な,gwerthfawr
648,blind::A,盲目の,dall
649,taub::A,耳が聞こえない,byddar
650,kräftig::A,強力な,nerthol
651,kräftig::A,強力な,grymus
652,stark::A,強い,cryf
653,stark::A,強い,cadarn
654,schwach::A,弱い,gwan
655,fett::A,太った,tew
656,schlank::A,ほっそりした,main
657,hübsch::A,素敵な,tlws
658,böse::A,悪い,drwg
659,dumm::A,馬鹿な,twp
660,faul::A,怠惰な,diog
661,fleißig::A,勤勉な,dyfal
662,geizig::A,けちな,crintach
663,geizig::A,けちな,cybyddlyd
664,klug::A,賢い,deallus
665,klug::A,頭のいい,deallus
666,geschickt::A,器用な,medrus
667,geschickt::A,器用な,deheuig
668,lieb::A,愛らしい,hoff
669,lieb::A,愛らしい,annwyl
670,lustig::A,楽しい,llon
671,sanft::A,温和な,mwyn
672,hungrig::A,空腹の,newynog
673,krank::A,病気の,sâl
674,krank::A,病気の,gwael
675,nackt::A,裸の,noeth
676,traurig::A,悲しい,trist
677,lebendig::A,生きた,yn fyw
678,gut::A,良い,da
679,schlecht::A,悪い,drwg
680,schlecht::A,悪い,gwael
681,schlecht::A,駄目な,drwg
682,schlecht::A,駄目な,gwael
683,richtig::A,正しい,cywir
684,schlimm::A,ひどい,enbyd
685,wahr::A,本当の,gwir
686,alt::A,古い,hen
687,neu::A,新しい,newydd
688,ehemalig::A,以前の,blaenorol
689,alt[Lebewesen]::A,年を取った,oedrannus
690,jung::A,若い,ifanc
691,arm::A,貧乏な,tlawd
692,reich::A,裕福な,cyfoethog
693,bekannt::A,有名な,cynefin
694,bekannt::A,有名な,cyfarwydd
695,berühmt::A,有名な,enwog
696,fremd::A,見知らぬ,estron
697,verschieden::A,色々な,gwahanol
698,nah::A,近い,agos
699,fern::A,遠い,pell
700,linker::A,左の,aswy
701,linker::A,左の,chwith
702,rechter::A,右の,de
703,rechter::A,右の,deau
704,anderer::A,別の,arall
705,erster::A,一番目,cyntaf
706,zweiter::A,二番目,ail
707,dritter::A,三番目,trydydd
708,letzter::A,最後の,olaf
709,allein::ADV,一人で,unig
710,allein::ADV,一人で,ar ei ben ei hun
711,auf einmal::ADV,同時に,ar yr un pryd
712,zusammen::ADV,一緒に,ynghyd
713,zusammen::ADV,一緒に,gyda'i gilydd
714,lange::ADV,長い間,amser hir
715,plötzlich::ADV,急に,yn sydyn
716,sofort::ADV,すぐに,ar unwaith
717,später::ADV,後で,yn ddiweddarach
718,jetzt::ADV,今,yn awr
719,heute::ADV,今日,heddiw
720,morgen::ADV,明日,yfory
721,bald::ADV,間もなく,yn fuan
722,bald::ADV,間もなく,gyda hyn
723,dann::ADV,それから,yna
724,dann::ADV,それから,y pryd hwnnw
725,gestern::ADV,昨日,ddoe
726,einst::ADV,過去に,gynt
727,damals::ADV,あの時,ar y pryd
728,damals::ADV,あの時,bryd hynny
729,danach::ADV,その後で,wedyn
730,vorher::ADV,以前に,o'r blaen
731,zuerst::ADV,まず,yn gyntaf
732,zuerst::ADV,最初に,yn gyntaf
733,einmal::ADV,一回,unwaith
734,manchmal::ADV,時々,weithiau
735,manchmal::ADV,時々,ar brydiau
736,oft::ADV,よく,yn aml
737,oft::ADV,よく,yn fynych
738,immer::ADV,いつも,bob amser
739,niemals::ADV,一度も...ない,ni ... byth
740,niemals::ADV,一度も...ない,ni ... erioed
741,hier::ADV,こちら,yma
742,hierhin::ADV,ここへ,hyd yma
743,hierhin::ADV,こちらへ,hyd yma
744,von hier::ADV,ここから,oddi yma
745,dort::ADV,そちら,acw
746,dorthin::ADV,そこへ,tuag yno
747,dorthin::ADV,そちらへ,tuag yno
748,geradeaus::ADV,真っ直ぐに,syth ymlaen
749,vorwärts::ADV,前へ,ymlaen
750,rückwärts::ADV,後ろへ,yn ôl
751,zurück::ADV,後ろへ,yn ôl
752,unten::ADV,下に,isod
753,unten::ADV,下に,oddi tanodd
754,hinab::ADV,下へ,i lawr
755,hinab::ADV,下へ,i waered
756,oben::ADV,上に,fry
757,hinauf::ADV,上へ,i fyny
758,hinauf::ADV,上へ,i'r lan
759,überall::ADV,どこでも,ym mhobman
760,nicht::ADV,ない,ni
761,nicht::ADV,ない,nid
762,ein wenig::ADV,少し,tipyn
763,ein wenig::ADV,少し,ychydig
764,ein wenig::ADV,ちょっと,tipyn
765,ein wenig::ADV,ちょっと,ychydig
766,kaum::ADV,ほとんど～ない,prin
767,sehr::ADV,とても,iawn
768,so::ADV,こう,fel
769,so::ADV,こう,felly
770,noch::ADV,まだ,eto
771,nur::ADV,～だけ,yn unig
772,schon::ADV,もう,eisoes
773,schon::ADV,もう,yn barod
774,wieder::ADV,再び,drachefn
775,vergebens::ADV,無駄に,yn ofer
776,vor::PRP,前に,o flaen
777,hinter::PRP,後ろに,ar ôl
778,unter::PRP,下に,islaw
779,durch::PRP,通して,trwy
780,neben::PRP,横に,ar bwys
781,zwischen::PRP,間に,rhwng
782,zwischen::PRP,間に,cydrhwng
783,wegen::PRP,為に,o achos
784,wegen::PRP,為に,oherwydd
785,wegen::PRP,せいで,o achos
786,wegen::PRP,せいで,oherwydd
787,dies::PRN,これ,hyn
788,das::PRN,それ,hynny
789,alles::PRN,全部,popeth
790,ich::PRN,私,fi
791,du::PRN,あなた,ti
792,er::PRN,彼,fe
793,wir::PRN,私達,ni
794,ihr::PRN,あなた達,chi
795,sie::PRN,彼ら,hwy
796,was::FPRN,何,pa beth
797,wer::FPRN,誰,pwy
798,wer::FPRN,どなた,pwy
799,wo::FADV,どこ,ble
800,wo::FADV,どこ,ym mha le
801,wo::FADV,どこに,ble
802,wo::FADV,どこに,ym mha le
803,wohin::FADV,どこへ,i ble
804,wohin::FADV,どこへ,i ba le
805,wie::FADV,どう,sut
806,warum::FADV,何故,pam
807,warum::FADV,どうして,pam
808,wieviel::FNUM,どのくらい,faint
809,eins::NUM,一,un
810,zwei::NUM,二,dau
811,zwei::NUM,二つ,dau
812,drei::NUM,三,tri
813,drei::NUM,三つ,tri
814,vier::NUM,四,pedwar
815,vier::NUM,四つ,pedwar
816,fünf::NUM,五,pump
817,fünf::NUM,五つ,pump
818,sechs::NUM,六,chwech
819,sechs::NUM,六つ,chwech
820,sieben::NUM,七,saith
821,sieben::NUM,七つ,saith
822,acht::NUM,八,wyth
823,acht::NUM,八つ,wyth
824,neun::NUM,九,naw
825,neun::NUM,九つ,naw
826,zehn::NUM,十,deg
