,Concept_ID,la,ml
100,Schmutz::N,squalor,അഴുക്ക്
101,See::N,lacus,തടാകം
102,Sumpf::N,palus,ചതുപ്പുനിലം
103,Moor::N,palus,പാഴ്നിലം
104,Wiese::N,pratum,പുൽത്തകിടി
105,Wald::N,silva,വനം
106,Wald::N,silva,കാട്
107,Hügel::N,collis,കുന്ന്
108,Anhöhe::N,specula,ഉയർന്ന ഭൂമി
109,Berg::N,mons,പർവ്വതം
110,Gipfel::N,vertex,ഉച്ചകോടി
111,Höhle::N,caverna,ഗുഹ
112,Höhle::N,spelunca,ഗുഹ
113,Abhang::N,declivum,ചരിവ്
114,Quelle::N,fons,ഉറവിടം
115,Bach::N,rivus,അരുവി
116,Fluss::N,flumen,നദി
117,Ufer::N,ripa,തീരം
118,Küste::N,litus,കടൽത്തീരം
119,Festland::N,continens,കര
120,Meer::N,mare,കടൽ
121,Bucht::N,sinus,ഉൾക്കടല്
122,Insel::N,insula,ദ്വീപ്
123,Blume::N,flos,പൂവ്
124,Gras::N,herba,പുല്ല്
125,Gras::N,gramen,പുല്ല്
126,Wurzel::N,radix,വേര്
127,Baum::N,arbor,മരം
128,Stamm::N,truncus,തായ്ത്തടി
129,Rinde::N,cortex,പട്ട
130,Ast::N,ramus,ശാഖ
131,Zweig::N,ramus,ശാഖ
132,Blatt::N,folium,ഇല
133,Birke::N,betulla,പൂവരശ്
134,Kiefer[Baum]::N,pinus,പൈൻമരം
135,Weide[Baum]::N,salix,വില്ലോ
136,Tanne::N,abies,ദേവദാരു
137,Horn::N,cornu,മൃഗത്തിൻറെ കൊമ്പ്
138,Feder::N,penna,തൂവൽ
139,Fell::N,pellis,മൃദുരോമം
140,Flügel::N,ala,ചിറക്
141,Klaue::N,unguis,നഖം
142,Kralle::N,unguis,നഖം
143,Schwanz::N,cauda,വാൽ
144,Ei::N,ovum,മുട്ട
145,Nest::N,nidus,കൂട്
146,Bau::N,cavum,മാളം
147,Bau::N,latibulum,മാളം
148,Tier::N,bestia,മൃഗം
149,Herde::N,grex,കൂട്ടം
150,Kuh::N,vacca,പശു
151,Bulle::N,taurus,കാള
152,Pferd::N,equus,കുതിര
153,Schaf::N,ovis,ആട്
154,Schwein::N,sus,പന്നി
155,Schwein::N,porcus,പന്നി
156,Hund::N,canis,നായ്
157,Katze::N,felis,പൂച്ച
158,Bär::N,ursus,കരടി
159,Eichhörnchen::N,sciurus,അണ്ണാൻ
160,Elch::N,alces,കടമാന്
161,Fuchs::N,vulpes,കുറുക്കൻ
162,Hase::N,lepus,മുയൽ
163,Maus::N,mus,ചുണ്ടലി
164,Wolf::N,lupus,ചെന്നായ
165,Vogel::N,avis,പക്ഷി
166,Schwarm::N,examen,കൂട്ടം
167,Huhn::N,gallina,കോഴി
168,Hahn::N,gallus,പൂവൻകോഴി
169,Gans::N,anser,അരയന്നം
170,Adler::N,aquila,കഴുകൻ
171,Ente::N,anas,താറാവ്
172,Eule::N,ulula,മൂങ്ങ
173,Eule::N,noctua,മൂങ്ങ
174,Kranich::N,grus,കൊക്ക്
175,Krähe::N,cornix,കാക്ക
176,Kuckuck::N,cuculus,കുയിൽ
177,Schwan::N,olor,അരയന്നം
178,Schwan::N,cycnus,അരയന്നം
179,Fisch::N,piscis,മത്സ്യം
180,Barsch::N,perca,ഒരിനം മത്സ്യം
181,Hecht::N,esox,ഒരു മത്സ്യം
182,Schlange[Tier]::N,serpens,പാമ്പ്
183,Wurm::N,vermis,വിര
184,Spinne::N,aranea,ചിലന്തി
185,Ameise::N,formica,ഉറുമ്പ്
186,Laus::N,pediculus,പേന്
187,Mücke::N,culex,മശകം
188,Fliege::N,musca,ഈച്ച
189,Schmetterling::N,papilio,ചിത്രശലഭം
190,Beere::N,baca,ബെറി
191,Apfel::N,malum,ആപ്പിൾ
192,Pilz::N,fungus,കൂൺ
193,Zwiebel::N,cepa,സവാള
194,Saat::N,seges,വിത്ത്
195,Korn::N,granum,ധാന്യം
196,Heu::N,faenum,വയ്ക്കോൽ
197,Schale::N,putamen,തൊലി
198,Grube::N,fovea,കുഴി
199,Falle::N,pedica,കെണി
200,Schlinge::N,laqueus,കുടുക്ക്
201,Spur::N,vestigium,ചുവട്
202,Asche::N,cinis,ചാരം
203,Dreck::N,lutum,അഴുക്ക്
204,Eisen::N,ferrum,ഇരുമ്പ്
205,Gold::N,aurum,സ്വർണ്ണം
206,Silber::N,argentum,വെള്ളി
207,Kohle::N,carbo,കൽക്കരി
208,Glas::N,vitrum,ഗ്ലാസ്
209,Lehm::N,lutum,കളിമണ്ണ്
210,Sand::N,arena,മണൽ
211,Mensch::N,homo,മനുഷ്യർ
212,Mann::N,vir,പുരുഷൻ
213,Frau::N,mulier,സ്ത്രീ
214,Kind::N,puer,കുഞ്ഞ്
215,Kind::N,infans,കുഞ്ഞ്
216,Junge::N,puer,ആൺകുട്ടി
217,Mädchen::N,puella,പെൺകുട്ടി
218,Familie::N,familia,കുടുംബം
219,Großvater::N,avus,അപ്പൂപ്പൻ
220,Großmutter::N,avia,അമ്മുമ്മ
221,Eltern::N,parentes,മാതാപിതാക്കള്
222,Vater::N,pater,അച്ഛൻ
223,Mutter::N,mater,അമ്മ
224,Sohn::N,filius,മകൻ
225,Tochter::N,filia,മകൾ
226,Bruder::N,frater,ചേട്ടൻ
227,Bruder::N,frater,അനിയൻ
228,Schwester::N,soror,ചേച്ചി
229,Schwester::N,soror,അനിയത്തി
230,Onkel::N,patruus,അമ്മാവൻ
231,Onkel::N,avunculus,അമ്മാവൻ
232,Tante::N,amita,മാമി
233,Ehemann::N,maritus,ഭർത്താവ്
234,Ehefrau::N,uxor,ഭാര്യ
235,Freude::N,gaudium,ആഹ്ലാദം
236,Freude::N,laetitia,ആഹ്ലാദം
237,Gelächter::N,risus,ചിരിയുടെ ശബ്ദം
238,Glück::N,felicitas,സന്തോഷം
239,Glück::N,felicitas,സന്തുഷ്ടി
240,Kummer::N,aegritudo,ശോകം
241,Wunsch::N,voluntas,ആഗ്രഹം
242,Wunsch::N,desiderium,ആഗ്രഹം
243,Lust::N,libido,ആഗ്രഹം
244,Lust::N,voluptas,ആഗ്രഹം
245,Geist::N,mens,ചുറുചുറുക്ക്
246,Geist::N,animus,ചുറുചുറുക്ക്
247,Gedanke::N,sententia,ചിന്ത
248,Gedächtnis::N,memoria,ഓർമ്മശക്തി
249,Verstand::N,ratio,മനസ്സ്
250,Verstand::N,ingenium,മനസ്സ്
251,Sinn::N,sensus,അർത്ഥം
252,Grund::N,causa,കാരണം
253,Wahrheit::N,veritas,സത്യം
254,Gespräch::N,sermo,സല്ലാപം
255,Märchen::N,fabula,യക്ഷിക്കഥ
256,Erzählung::N,fabula,കഥ
257,Erzählung::N,narratio,കഥ
258,Nachricht::N,nuntius,സന്ദേശം
259,Neuigkeit::N,novitas,വാർത്ത
260,Name::N,nomen,പേര്
261,Rätsel::N,aenigma,പ്രഹേളിക
262,Rede::N,oratio,സംസാരം
263,Sprache::N,lingua,ഭാഷ
264,Stimme::N,vox,സ്വരം
265,Wort::N,verbum,വാക്ക്
266,Wort::N,vocabulum,വാക്ക്
267,Zeichen::N,signum,സംജ്ഞ
268,Ruf::N,clamor,വിളി
269,Lärm::N,strepitus,ആരവം
270,Laut::N,sonus,ശബ്ദം
271,Ton::N,sonus,സ്വരഭേദം
272,Lied::N,carmen,പാട്ട്
273,Ruhe::N,quies,നിശ്ചലത
274,Leute::N,homines,ജനങ്ങൾ
275,Volk::N,populus,രാഷ്ടം
276,Arbeit::N,labor,ജോലി
277,Gast::N,hospes,അതിലി
278,Gast::N,conviva,അതിലി
279,Geschenk::N,munus,സമ്മാനം
280,Spiel::N,ludus,കളി
281,Gesellschaft::N,societas,കൂട്ടായ്മ
282,Hilfe::N,auxilium,സഹായം
283,Hilfe::N,subsidium,സഹായം
284,Freund::N,amicus,സുഹൃത്ത്
285,Kamerad::N,socius,കൂട്ടാളി
286,Angelegenheit::N,res,കാര്യം
287,Anzahl::N,numerus,എണ്ണം
288,Art::N,genus,തരം
289,Stück::N,frustum,കഷണം
290,Stück::N,fragmentum,കഷണം
291,Teil::N,pars,ഭാഗം
292,Hälfte::N,dimidium,പകുതി
293,Kreis::N,orbis,വൃത്തം
294,Kreis::N,circus,വൃത്തം
295,Kreuz::N,crux,കുരിശടയാളം
296,Linie::N,linea,വര
297,Linie::N,linea,രേഖ
298,Strich::N,lineamentum,പക്ഷാഘാതം
299,Abstand::N,intervallum,വിടവ്
300,Entfernung::N,spatium,അകലം
301,Gegend::N,loca,പ്രദേശം
302,Gegend::N,regio,പ്രദേശം
303,Platz::N,locus,ഇടം
304,Ort::N,locus,സ്ഥലം
305,Seite::N,latus,വശം
306,Mitte::N,medium,മധ്യസ്ഥാനം
307,Gegenstand::N,res,സാധനം
308,Sache::N,res,വസ്തു
309,Rand::N,margo,തൊങ്ങൽ
310,Kante::N,angulus,അറ്റം
311,Ecke::N,angulus,മൂല
312,Spitze::N,cacumen,അഗ്രം
313,Ende::N,caput,അവസാനം
314,Loch::N,foramen,ദ്വാരം
315,Winkel::N,angulus,കോൺ
316,Muster::N,exemplum,ക്രമം
317,Größe::N,magnitudo,വലുപ്പം
318,Länge::N,longitudo,നീളം
319,Höhe::N,altitudo,ഉയരം
320,Gewicht::N,pondus,കട്ടി
321,Menge::N,copia,അളവ്
322,Haufen::N,acervus,കൂമ്പാരം
323,Reihe::N,ordo,വരി
324,Boot::N,navicula,ബോട്ട്
325,Ruder::N,remus,പങ്കായം
326,Schlitten::N,sclodia,ഉരുളില്ലാവണ്ടി
327,Ski::N,narta,ഹിമപാദുകം
328,Lagerfeuer::N,ignis,തീ
329,Last::N,onus,ഭാരം
330,Gang::N,cursus,നടത്തം
331,Schritt::N,gradus,ചുവട്
332,Norden::N,septentriones,വടക്ക്
333,Süden::N,meridies,തെക്ക്
334,Westen::N,occidens,പടിഞ്ഞാറ്
335,Osten::N,oriens,കിഴക്ക്
336,Holz::N,lignum,തടി
337,Brett::N,tabula,ബോർഡ്
338,Platte::N,lamina,തകിട്
339,Stütze::N,adminiculum,താങ്ങ്
340,Stange::N,pertica,കമ്പ്
341,Stock::N,baculum,വടി
342,Stab::N,scipio,കുറുവടി
343,Rohr::N,tubus,കുഴൽ
344,Haus::N,aedes,വീട്
345,Heim::N,domicilium,വീട്
346,Ofen::N,fornax,സ്റ്റൌ
347,Fußboden::N,solum,തറ
348,Tisch::N,mensa,മേശ
349,Stuhl::N,sella,കസേര
350,Wiege::N,cunae,തൊട്ടിൽ
351,Bett::N,lectus,കിടക്ക
352,Regal::N,foruli,ഷെൽഫ്
353,Kiste::N,cista,പെട്ടി
354,Fenster::N,fenestra,ജനൽ
355,Tür::N,ianua,വാതിൽ
356,Tor::N,porta,കവാടം
357,Zaun::N,saepes,വേലി
358,Dach::N,tectum,മേൽക്കുര
359,Leiter::N,scalae,ഏണി
360,Besen::N,scopae,ചൂല്
361,Spaten::N,pala,തൂമ്പ
362,Schaufel::N,pala,തൂമ്പ
363,Gabel::N,fuscinula,മുൾക്കത്തി
364,Löffel::N,coclear,സ്പൂൺ
365,Messer::N,culter,കത്തി
366,Nagel::N,clavus,ആണി
367,Netz::N,rete,വല
368,Haken::N,hamus,കൊളുത്ത്
369,Griff::N,manubrium,കൈപ്പിടി
370,Schloss::N,claustra,പൂട്ട്
371,Bild::N,tabula,ചിത്രം
372,Bild::N,pictura,ചിത്രം
373,Figur::N,statunculum,കണക്ക്
374,Puppe::N,pupa,പാവ
375,Beutel::N,sacculus,ബാഗ്
376,Bündel::N,fascis,കെട്ട്
377,Tasche::N,sacculus,ബാഗ്
378,Eimer::N,situla,ബക്കറ്റ്
379,Deckel::N,operculum,ഉറ
380,Geschirr::N,vasa,പിഞ്ഞാണം
381,Sack::N,saccus,ചാക്ക്
382,Tasse::N,pocillum,കപ്പ്
383,Topf::N,olla,പാത്രം
384,Kessel::N,aenum,കെറ്റ്ല്
385,Essen::N,cena,ആഹാരസമയം
386,Nahrung::N,cibus,ഭക്ഷണം
387,Nahrung::N,alimenta,ഭക്ഷണം
388,Speise::N,cibus,ഡിഷ്
389,Fleisch::N,caro,മാംസം
390,Getreide::N,frumentum,ചോളം
391,Brei::N,puls,കഞ്ഞി
392,Brot::N,panis,റോട്ടി
393,Scheibe::N,frustum,തുണ്ട്
394,Fett::N,pingue,കൊഴുപ്പ്
395,Butter::N,butȳrum,വെണ്ണ
396,Öl::N,oleum,എണ്ണ
397,Salz::N,sal,ഉപ്പ്
398,Suppe::N,ius,സൂപ്പ്
399,Honig::N,mel,തേൻ
400,Milch::N,lac,പാൽ
401,Tee::N,thea,ചായ
402,Leder::N,corium,തുകൽ
403,Wolle::N,lana,കമ്പിളി
404,Stoff::N,textum,തുണി
405,Nadel::N,acus,സൂചി
406,Faden::N,filum,നൂല്
407,Knopf::N,bulla,ബട്ടൺ
408,Knoten::N,nodus,കുരുക്ക്
409,Farbe::N,pigmentum,പെയിൻറ്
410,Kleidung::N,vestimenta,വസ്ത്രങ്ങൾ
411,Hemd::N,tunica,ഷർട്ട്
412,Kragen::N,collare,കുപ്പായക്കഴുത്ത്
413,Ärmel::N,manica,കുപ്പായക്കൈ
414,Hose::N,bracae,ട്രൌസർ
415,Gürtel::N,cingulum,ബെൽറ്റ്
416,Mütze::N,pilleus,തൊപ്പി
417,Schuh::N,calceus,ഷൂ
418,Stiefel::N,pero,ബൂട്ട്
419,Stiefel::N,caliga,ബൂട്ട്
420,Ring::N,anulus,മോതിരം
421,Band::N,redimiculum,റിബൺ
422,Kamm::N,pecten,ചീപ്പ്
423,Spiegel::N,speculum,കണ്ണാടി
424,Riemen::N,lorum,സ്ട്രാപ്പ്
425,Schnur::N,linum,ചരട്
426,Leine::N,retinaculum,കെട്ടാനുള്ള തോൽവാർ
427,Decke::N,lodix,പുതപ്പ്
428,Kissen::N,pulvinus,തലയിണ
429,Tuch::N,velum,സ്കാർഫ്
430,Handtuch::N,mantele,തോർത്ത്
431,Kraft::N,vis,ശക്തി
432,Stärke::N,robur,ശക്തി
433,Gesundheit::N,valetudo,ആരോഗ്യം
434,Krankheit::N,morbus,അസുഖം
435,Schmerz::N,dolor,വേദന
436,Wunde::N,vulnus,മുറിവ്
437,Fieber::N,febris,പനി
438,Arznei::N,remedium,മരുന്ന്
439,Brücke::N,pons,പാലം
440,Brunnen::N,puteus,കിണർ
441,Weide::N,pascua,മേച്ചൽ
442,Pfad::N,semita,വഴി
443,Weg::N,iter,വഴി
444,Straße::N,via,റോഡ്
445,Dorf::N,vicus,ഗ്രാമം
446,Stadt::N,urbs,നഗരം
447,Stadt::N,oppidum,നഗരം
448,Brief::N,epistula,കത്ത്
449,Buch::N,liber,പുസ്തകം
450,Buchstabe::N,littera,അക്ഷരം
451,Zeitung::N,diurnum,വർത്തമാനപത്രം
452,Leben::N,vita,ജീവൻ
453,Tod::N,mors,മരണം
454,Grab::N,sepulcrum,ശവക്കുഴി
455,Kirche::N,ecclesia,പള്ളി
456,Sünde::N,peccatum,പാപം
457,Gott::N,deus,ദൈവം
458,Arbeiter::N,operarius,ജോലിക്കാരൻ
459,Chef::N,praefectus,മേധാവി
460,Meister::N,magister,യജമാനൻ
461,Arzt::N,medicus,ഡോക്ടർ
462,Lehrer::N,magister,അധ്യാപകൻ
463,Geld::N,aes,പണം
464,Geld::N,pecunia,പണം
465,Geschäft::N,negotium,ബിസിനസ്
466,Laden::N,taberna,കട
467,Preis::N,pretium,വില
468,Ware::N,merx,ചരക്ക്
469,Nutzen::N,utilitas,ലാഭം
470,Reichtum::N,opes,ധനം
471,Reichtum::N,divitiae,ധനം
472,Welt::N,mundus,ലോകം
473,Land::N,terra,രാജ്യം
474,Staat::N,res publica,രാജ്യം
475,König::N,rex,രാജാവ്
476,Macht::N,potestas,അധികാരം
477,Grenze::N,limes,അതിർത്തി
478,Krieg::N,bellum,യുദ്ധം
479,Feind::N,inimicus,ശത്രു
480,Gewalt::N,vis,അക്രമം
481,Kampf::N,pugna,പോരാട്ടം
482,Bogen[Waffe]::N,arcus,വില്ല്
483,Pfeil::N,sagitta,അമ്പ്
484,Gewehr::N,sclopetum,തോക്ക്
485,Fehler::N,error,പിശക്
486,Lüge::N,mendacium,കള്ളം
487,Schaden::N,damnum,കേടുപാട്
488,Schaden::N,detrimentum,കേടുപാട്
489,Unglück::N,miseria,ദൌർഭാഗ്യം
490,Unglück::N,calamitas,ദൌർഭാഗ്യം
491,Schuld::N,culpa,തെറ്റ്
492,Alter::N,aetas,വയസ്സ്
493,Schluss::N,finis,നിഗമനം
494,Zeit::N,tempus,സമയം
495,Tag::N,dies,ദിവസം
496,Morgen::N,mane,പ്രഭാതം
497,Mittag::N,meridies,ഉച്ച
498,Abend::N,vesper,സായാഹ്നം
499,Nacht::N,nox,രാത്രി
500,Woche::N,septimana,ആഴ്ച
501,Monat::N,mensis,മാസം
502,Jahr::N,annus,വർഷം
503,Frühling::N,ver,വസന്തം
504,Sommer::N,aestas,വേനൽ
505,Herbst::N,autumnus,ശരത്കാലം
506,Winter::N,hiems,ശൈത്യം
507,Januar::N,Ianuarius,ജനുവരി
508,Februar::N,Februarius,ഫെബ്രുവരി
509,März::N,Martius,മാർച്ച്
510,April::N,Aprilis,ഏപ്രിൾ മാസം
511,Mai::N,Maius,മെയ് മാസം
512,Juni::N,Iunius,ജൂൺ
513,Juli::N,Iulius,ജൂലൈ
514,August::N,Augustus,ആഗസ്റ്റ്
515,September::N,September,സെപ്തംബർ
516,Oktober::N,Octobris,ഒക്ടോബർ
517,November::N,Novembris,നവംബർ
518,Dezember::N,December,ഡിസംബർ
519,Montag::N,dies lunae,തിങ്കളാഴ്ച
520,Dienstag::N,dies Martis ,ചൊവ്വ
521,Mittwoch::N,dies Mercurii,ബുധനാഴ്ച
522,Donnerstag::N,dies Iovis,വ്യാഴാഴ്ച
523,Freitag::N,dies Veneris,വെള്ളിയാഴ്ച
524,Samstag::N,dies Saturni,ശനിയാഴ്ച
525,Sonntag::N,dominicus,ഞായറാഴ്ച
526,Sonntag::N,dies solis,ഞായറാഴ്ച
527,groß::A,magnus,വലിയ
528,klein::A,parvus,ചെറിയ
529,lang::A,longus,നീണ്ട
530,kurz::A,brevis,ഹ്രസ്വമായ
531,breit::A,latus,വിശാലമായ
532,schmal::A,angustus,ഇടുങ്ങിയ
533,dicht::A,densus,നിബിഡമായ
534,dick[Gegenstand]::A,crassus,തടിച്ച
535,dünn::A,tenuis,മെലിഞ്ഞ
536,fein::A,subtilis,നേർത്ത
537,fest::A,solidus,ഉറപ്പുള്ള
538,fest::A,stabilis,ഉറപ്പുള്ള
539,flach::A,planus,പരന്ന
540,glatt::A,levis,മിനുസമുള്ള
541,hart::A,durus,കട്ടിയുള്ള
542,weich::A,mollis,മൃദുവായ
543,rund::A,rotundus,വട്ടത്തിലുള്ള
544,spitz::A,acutus,മുനയുള്ള
545,scharf::A,acer,മൂർച്ചയുള്ള
546,stumpf::A,hebes,തുറന്നടിക്കുന്ന
547,schwer::A,gravis,ഭാരമുള്ള
548,schön::A,pulcher,മനോഹരമായ
549,schön::A,formosus,മനോഹരമായ
550,heiß::A,fervidus,ചൂടുള്ള
551,warm::A,calidus,ചൂടുള്ള
552,kalt::A,frigidus,തണുത്ത
553,kühl::A,frigidus,തണുപ്പുള്ള
554,frisch::A,recens,ശുദ്ധമായ
555,feucht::A,umidus,ഈറനുള്ള
556,nass::A,madidus,നനഞ്ഞ
557,trocken::A,aridus,വരണ്ട
558,voll::A,plenus,നിറയെ
559,leer::A,vacuus,ഒഴിഞ്ഞ
560,offen::A,apertus,തുറന്ന
561,geschlossen::A,clausus,അടച്ച
562,sauber::A,lautus,വൃത്തിയുള്ള
563,schmutzig::A,sordidus,അഴുക്കുനിറഞ്ഞ
564,roh::A,crudus,അസംസ്കൃതമായ
565,reif::A,maturus,പഴുത്ത
566,lecker::A,delicatus,രുചികരമായ
567,süß::A,dulcis,മധുരമുള്ള
568,bitter::A,amarus,കടുത്ത
569,bitter::A,acerbus,കടുത്ത
570,sauer::A,acidus,പുളിപ്പുള്ള
571,hell::A,clarus,ജ്വലിക്കുന്ന
572,dunkel::A,obscurus,ഇരുണ്ട
573,schwarz::A,niger,കറുത്ത
574,weiß::A,albus,വെളുത്ത
575,rot::A,ruber,ചുവന്ന
576,gelb::A,flavus,മഞ്ഞനിറമായ
577,blau::A,caeruleus,നീലനിറമുള്ള
578,grün::A,viridis,പച്ചനിറമുള്ള
579,grau::A,canus,ചാരനിറത്തിലുള്ള
580,bunt::A,varius,വർണ്ണശബളമായ
581,billig::A,vilis,വിലകുറഞ്ഞ
582,teuer::A,carus,ചെലവേറിയ
583,wertvoll::A,pretiosus,വിലപിടിപ്പുള്ള
584,blind::A,caecus,അന്ധനായ
585,taub::A,surdus,കേൾവിക്കുറവുള്ള
586,kräftig::A,robustus,ശക്തിയുള്ള
587,stark::A,firmus,ബലമുള്ള
588,stark::A,validus,ബലമുള്ള
589,schwach::A,debilis,ക്ഷീണിച്ച
590,schwach::A,infirmus,ക്ഷീണിച്ച
591,fett::A,crassus,കൊഴുപ്പുള്ള
592,schlank::A,procerus,മെലിഞ്ഞ
593,hübsch::A,pulcher,മനോഹരമായ
594,böse::A,improbus,പാപിയായ
595,dumm::A,stultus,വിവരംകെട്ട
596,dumm::A,stupidus,വിവരംകെട്ട
597,faul::A,piger,അലസനായ
598,fleißig::A,sedulus,അദ്ധ്വാനശീലമുള്ള
599,geizig::A,avarus,പിശുക്കനായ
600,klug::A,prudens,ബുദ്ധിസാമർഥ്യമുള്ള
601,geschickt::A,sollers,പ്രതിഭാശാലി
602,lieb::A,carus,പ്രിയപ്പെട്ട
603,lustig::A,iocosus,ആനന്ദകരമായ
604,sanft::A,clemens,സൌമ്യമായ
605,hungrig::A,impastus,വിശപ്പുള്ള
606,krank::A,aeger,അസുഖമുള്ള
607,nackt::A,nudus,നഡമായ
608,traurig::A,maestus,വിഷമമുള്ള
609,lebendig::A,vivus,ഉപജീവനം
610,gut::A,bonus,നല്ല
611,schlecht::A,malus,മോശമായ
612,richtig::A,rectus,ശരിയായ
613,schlimm::A,malus,വൃത്തികെട്ട
614,wahr::A,verus,ശരിയായ
615,alt::A,antiquus,പഴയ
616,neu::A,novus,പുതിയ
617,ehemalig::A,pristinus,മുൻ
618,alt[Lebewesen]::A,vetus,വയസ്സുള്ള
619,jung::A,iuvenis,കൌമാരമായ
620,arm::A,pauper,പാവപ്പെട്ട
621,reich::A,dives,സമ്പന്നമായ
622,bekannt::A,notus,പരിചിതമായ
623,berühmt::A,celeber,പ്രശസ്തനായ
624,berühmt::A,illustris,പ്രശസ്തനായ
625,fremd::A,peregrinus,വൈദേശികമായ
626,verschieden::A,varius,വ്യത്യസ്തമായ
627,nah::A,propinquus,അരികത്തുള്ള
628,fern::A,longinquus,അകലെയുള്ള
629,linker::A,sinister,അവശേഷിച്ച
630,rechter::A,dexter,വലത്തേ
631,anderer::A,alius,മറ്റുള്ള
632,erster::A,primus,ആദ്യത്തെ
633,zweiter::A,secundus,രണ്ടാം
634,dritter::A,tertius,മൂന്നാമത്
635,letzter::A,ultimus,അവസാനത്തെ
636,allein::ADV,solum,തനിച്ചുള്ള
637,auf einmal::ADV,simul,ഉടന്
638,zusammen::ADV,una,ഒരുമിച്ച
639,lange::ADV,diu,നീണ്ട_കാലത്തേയ്ക്ക്
640,plötzlich::ADV,subito,പെട്ടെന്ന്
641,plötzlich::ADV,repente,പെട്ടെന്ന്
642,sofort::ADV,statim,തത്ക്ഷണം
