,Concept_ID,hr,se
220,Finger::N,prst,soerme
221,Finger::N,prst,tjuvdde
222,Finger::N,prst,suorbma
223,Finger::N,prst,čuvde
224,Finger::N,prst,suor'mâ
225,Finger::N,prst,suõrmm
226,Finger::N,prst,це̄ххп
227,Fingernagel::N,nokat,gadtse
228,Fingernagel::N,nokat,guehpere
229,Fingernagel::N,nokat,gadtsa
230,Fingernagel::N,nokat,gazza
231,Fingernagel::N,nokat,kozzâ
232,Fingernagel::N,nokat,kõʒʒ
233,Fingernagel::N,nokat,кэ̄ннц
234,Nagel[Anatomie]::N,nokat,gadtse
235,Nagel[Anatomie]::N,nokat,guehpere
236,Nagel[Anatomie]::N,nokat,gadtsa
237,Nagel[Anatomie]::N,nokat,gazza
238,Nagel[Anatomie]::N,nokat,kozzâ
239,Nagel[Anatomie]::N,nokat,kõʒʒ
240,Nagel[Anatomie]::N,nokat,кэ̄ннц
241,Zeh::N,nozni prst,tjiehtjere
242,Zeh::N,nozni prst,juolggetjuvdde
243,Zeh::N,nozni prst,juolgesuorbma
244,Zeh::N,nozni prst,jyel'gisuor'mâ
245,Zeh::N,nozni prst,jue´lǧǧsuõrmm
246,Zeh::N,nozni prst,ю̄лльк-це̄һп
247,Fuß::N,noga,juelkie
248,Fuß::N,noga,juolgge
249,Fuß::N,noga,juolgi
250,Fuß::N,noga,jyel'gi
251,Fuß::N,noga,jue´lǧǧ
252,Fuß::N,noga,ла̄бпь
253,Fuß::N,stopalo,juelkie
254,Fuß::N,stopalo,juolgge
255,Fuß::N,stopalo,juolgi
256,Fuß::N,stopalo,jyel'gi
257,Fuß::N,stopalo,jue´lǧǧ
258,Fuß::N,stopalo,ла̄бпь
259,Ferse::N,peta,båetskie
260,Ferse::N,peta,boasske
261,Ferse::N,peta,šušmi
262,Ferse::N,peta,šušme
263,Ferse::N,peta,jue´lǧǧkädd
264,Ferse::N,peta,ка̄ннт
265,Knie::N,koljeno,boelve
266,Knie::N,koljeno,buolvva
267,Knie::N,koljeno,čibbi
268,Knie::N,koljeno,veaŋki
269,Knie::N,koljeno,iidâ
270,Knie::N,koljeno,puõlvv
271,Knie::N,koljeno,пуллв
272,Oberschenkel::N,bedro,ruaksja
273,Oberschenkel::N,bedro,tjibbe
274,Oberschenkel::N,bedro,gassaváhkká
275,Oberschenkel::N,bedro,badjeváhkáa
276,Oberschenkel::N,bedro,čuár'bpeeḷi
277,Oberschenkel::N,bedro,če´bb
278,Oberschenkel::N,bedro,чуаррбе̄лль
279,Bein::N,noga,juelkie
280,Bein::N,noga,juolgge
281,Bein::N,noga,juolgi
282,Bein::N,noga,jyel'gi
283,Bein::N,noga,jue´lǧǧ
284,Bein::N,noga,ю̄лльк
285,Körper::N,tijelo,kråahpe
286,Körper::N,tijelo,rumáj
287,Körper::N,tijelo,rumaš
288,Körper::N,tijelo,ruumâš
289,Körper::N,tijelo,rå´pp
290,Körper::N,tijelo,лышшьк
291,Körper::N,tijelo,роаӈӈьк
292,Haut::N,put,njaltja
293,Haut::N,put,lijkke
294,Haut::N,put,tjuobma
295,Haut::N,put,liiki
296,Haut::N,put,liške
297,Haut::N,put,le´šǩǩ
298,Haut::N,put,лышшьк
299,Haut::N,koža,njaltja
300,Haut::N,koža,lijkke
301,Haut::N,koža,tjuobma
302,Haut::N,koža,liiki
303,Haut::N,koža,liške
304,Haut::N,koža,le´šǩǩ
305,Haut::N,koža,лышшьк
306,Blut::N,krv,vïrre
307,Blut::N,krv,maelie
308,Blut::N,krv,varra
309,Blut::N,krv,varra
310,Blut::N,krv,vorrâ
311,Blut::N,krv,võrr
312,Blut::N,krv,вэ̄рр
313,Ader::N,žila,åerie
314,Ader::N,žila,aajroe
315,Ader::N,žila,suodna
316,Ader::N,žila,varrasuotna
317,Ader::N,žila,suoṇâ
318,Ader::N,žila,suõnn
319,Ader::N,žila,сӯнн
320,Sehne::N,tetiva,soene
321,Sehne::N,tetiva,gåårtenje
322,Sehne::N,tetiva,suodna
323,Sehne::N,tetiva,suotna
324,Sehne::N,tetiva,suoṇâ
325,Sehne::N,tetiva,suõnn
326,Sehne::N,tetiva,сӯнн
327,Knochen::N,kost,måara
328,Knochen::N,kost,måaroe
329,Knochen::N,kost,dákte
330,Knochen::N,kost,dákti
331,Knochen::N,kost,tähti
332,Knochen::N,kost,tä´htt
333,Knochen::N,kost,та̄ххт
334,Knochen::N,kost,та̄ффьт
335,Herz::N,srce,vaajmoe
336,Herz::N,srce,tsåhke
337,Herz::N,srce,váibmu
338,Herz::N,srce,váimu
339,Herz::N,srce,čââ´đ
340,Herz::N,srce,кӯттҌк
341,Magen::N,stomak,tjåejjie
342,Magen::N,stomak,tjoajvve
343,Magen::N,stomak,čoavji
344,Magen::N,stomak,čuáv'ji
345,Magen::N,stomak,čåu´jj
346,Magen::N,stomak,чо̄ввьй
347,Magen::N,želudac,tjåejjie
348,Magen::N,želudac,tjoajvve
349,Magen::N,želudac,čoavji
350,Magen::N,želudac,čuáv'ji
351,Magen::N,želudac,čåu´jj
352,Magen::N,želudac,чо̄ввьй
353,Leber::N,jetra,mueksie
354,Leber::N,jetra,librre
355,Leber::N,jetra,vuoivvas
356,Leber::N,jetra,vuoivâs
357,Leber::N,jetra,vuõivâs
358,Leber::N,jetra,вуйвас
359,Atem::N,dah,voejngehtasse
360,Atem::N,dah,båssånis
361,Atem::N,dah,vuojŋadahka
362,Atem::N,dah,vuoiŋŋahat
363,Atem::N,dah,vuo'iŋâstim
364,Atem::N,dah,jiõg'g
365,Atem::N,dah,вӯйнас
366,Atem::N,dah,вӯййнмушш
367,Hunger::N,glad,nielkie
368,Hunger::N,glad,nielgge
369,Hunger::N,glad,nealgi
370,Hunger::N,glad,nelgi
371,Hunger::N,glad,neä´lǧǧ
372,Hunger::N,glad,не̄лльк
373,Träne::N,suza,gïknjele
374,Träne::N,suza,ganjál
375,Träne::N,suza,ganjal
376,Träne::N,suza,koonjâl
377,Träne::N,suza,kõõnjâl
378,Träne::N,suza,кэ̄нял
379,Geschmack::N,ukus,aelmie
380,Geschmack::N,ukus,muosse
381,Geschmack::N,ukus,smáhkka
382,Geschmack::N,ukus,máhku
383,Geschmack::N,ukus,smáhkka
384,Geschmack::N,ukus,mááhu
385,Geschmack::N,ukus,smakkâ
386,Geschmack::N,ukus,njõõd
387,Geschmack::N,ukus,smääkk
388,Geschmack::N,ukus,ня̄лльк
389,Geruch::N,njuh,haaje
390,Geruch::N,njuh,habjja
391,Geruch::N,njuh,hádja
392,Geruch::N,njuh,opsâ
393,Geruch::N,njuh,haajâ
394,Geruch::N,njuh,õpss
395,Geruch::N,njuh,haajj
396,Geruch::N,njuh,апс
397,Geruch::N,njuh,лэ̄гк
398,Geruch::N,miris,haaje
399,Geruch::N,miris,habjja
400,Geruch::N,miris,hádja
401,Geruch::N,miris,opsâ
402,Geruch::N,miris,haajâ
403,Geruch::N,miris,õpss
404,Geruch::N,miris,haajj
405,Geruch::N,miris,апс
406,Geruch::N,miris,лэ̄гк
407,Schlaf::N,san,nahkerh
408,Schlaf::N,san,nager
409,Schlaf::N,san,oados
410,Schlaf::N,san,nagir
411,Schlaf::N,san,naṿer
412,Schlaf::N,san,nââ´er
413,Schlaf::N,san,нагерь
414,Traum::N,san,nahkere
415,Traum::N,san,niehko
416,Traum::N,san,niehku
417,Traum::N,san,naṿer
418,Traum::N,san,nââ´er
419,Traum::N,san,нагерь
420,Himmel::N,nebo,elmie
421,Himmel::N,nebo,almme
422,Himmel::N,nebo,albmi
423,Himmel::N,nebo,alme
424,Himmel::N,nebo,â´lmm
425,Himmel::N,nebo,алльм
426,Sonne::N,sunce,biejjie
427,Sonne::N,sunce,bæjvásj
428,Sonne::N,sunce,beaivváš
429,Sonne::N,sunce,peivi
430,Sonne::N,sunce,piäiváš
431,Sonne::N,sunce,pei´vv
432,Sonne::N,sunce,пе̄ййв
433,Mond::N,mjesec,aske
434,Mond::N,mjesec,mánno
435,Mond::N,mjesec,mánnu
436,Mond::N,mjesec,máánu
437,Mond::N,mjesec,mään
438,Mond::N,mjesec,ма̄нн
439,Stern::N,zvijezda,daasta
440,Stern::N,zvijezda,naestie
441,Stern::N,zvijezda,násste
442,Stern::N,zvijezda,násti
443,Stern::N,zvijezda,täsni
444,Stern::N,zvijezda,tä´snn
445,Stern::N,zvijezda,та̄ссьт
446,Luft::N,zrak,elmie
447,Luft::N,zrak,ájmmo
448,Luft::N,zrak,áibmu
449,Luft::N,zrak,áimu
450,Luft::N,zrak,šõŋŋ
451,Luft::N,zrak,вӯйнас
452,Wind::N,vjetar,bïegke
453,Wind::N,vjetar,biegga
454,Wind::N,vjetar,biegga
455,Wind::N,vjetar,pieg'gâ
456,Wind::N,vjetar,piõg'g
457,Wind::N,vjetar,пӣӈӈк
458,Welle::N,val,baaroe
459,Welle::N,val,bárro
460,Welle::N,val,bárru
461,Welle::N,val,pááṛu
462,Welle::N,val,päärr
463,Welle::N,val,нэ̄ммп
464,Welle::N,talas,baaroe
465,Welle::N,talas,bárro
466,Welle::N,talas,bárru
467,Welle::N,talas,pááṛu
468,Welle::N,talas,päärr
469,Welle::N,talas,нэ̄ммп
470,Wasser::N,voda,tjaetsie
471,Wasser::N,voda,tjáhtje
472,Wasser::N,voda,čáhci
473,Wasser::N,voda,čääci
474,Wasser::N,voda,čää´cc
475,Wasser::N,voda,ча̄дзь
476,Stein::N,kamen,gierkie
477,Stein::N,kamen,giergge
478,Stein::N,kamen,geađgi
479,Stein::N,kamen,keđgi
480,Stein::N,kamen,ǩeä´dǧǧ
481,Stein::N,kamen,ке̄ддҌк
482,Boden::N,tlo,betnie
483,Boden::N,tlo,ednam
484,Boden::N,tlo,bodni
485,Boden::N,tlo,vuođđu
486,Boden::N,tlo,ponne
487,Boden::N,tlo,vuáđ̣u
488,Boden::N,tlo,vuâđđ
489,Boden::N,tlo,лаввьн
490,Boden::N,tlo,е̄ммьне
491,Boden::N,zemlja,betnie
492,Boden::N,zemlja,ednam
493,Boden::N,zemlja,bodni
494,Boden::N,zemlja,vuođđu
495,Boden::N,zemlja,ponne
496,Boden::N,zemlja,vuáđ̣u
497,Boden::N,zemlja,vuâđđ
498,Boden::N,zemlja,лаввьн
499,Boden::N,zemlja,е̄ммьне
500,Erde::N,zemlja,jåarta
501,Erde::N,zemlja,mueltie
502,Erde::N,zemlja,ednam
503,Erde::N,zemlja,mållde
504,Erde::N,zemlja,eana
505,Erde::N,zemlja,eennâm
506,Erde::N,zemlja,mädd
507,Erde::N,zemlja,jânnam
508,Erde::N,zemlja,е̄ммьне
509,Staub::N,prah,heblie
510,Staub::N,prah,tsumhtsie
511,Staub::N,prah,dubme
512,Staub::N,prah,dopmu
513,Staub::N,prah,kovjâ
514,Staub::N,prah,põõ´l
515,Staub::N,prah,кэ̄ббьй
516,Staub::N,prašina,heblie
517,Staub::N,prašina,tsumhtsie
518,Staub::N,prašina,dubme
519,Staub::N,prašina,dopmu
520,Staub::N,prašina,kovjâ
521,Staub::N,prašina,põõ´l
522,Staub::N,prašina,кэ̄ббьй
523,Rauch::N,dim,soeve
524,Rauch::N,dim,suovva
525,Rauch::N,dim,suovva
526,Rauch::N,dim,suoṿâ
527,Rauch::N,dim,suõvv
528,Rauch::N,dim,сӯвв
529,Funke::N,iskra,naestie
530,Funke::N,iskra,tjuonam
531,Funke::N,iskra,čuotnan
532,Funke::N,iskra,čuođâlm
533,Funke::N,iskra,iiskâr
534,Funke::N,iskra,čuõzzâm
535,Funke::N,iskra,чӯссэм
536,Funke::N,varnica,naestie
537,Funke::N,varnica,tjuonam
538,Funke::N,varnica,čuotnan
539,Funke::N,varnica,čuođâlm
540,Funke::N,varnica,iiskâr
541,Funke::N,varnica,čuõzzâm
542,Funke::N,varnica,чӯссэм
543,Feuer::N,vatra,dålle
544,Feuer::N,vatra,dållå
545,Feuer::N,vatra,dolla
546,Feuer::N,vatra,tullâ
547,Feuer::N,vatra,toll
548,Feuer::N,vatra,то̄лл
549,Licht::N,svjetlo,tjoevke
550,Licht::N,svjetlo,tjuovgga
551,Licht::N,svjetlo,čuovga
552,Licht::N,svjetlo,čuovggas
553,Licht::N,svjetlo,čuoṿâ
554,Licht::N,svjetlo,toll
555,Licht::N,svjetlo,čuõvv
556,Licht::N,svjetlo,то̄лл
557,Schatten::N,hlad,skugkie
558,Schatten::N,hlad,soejvene
559,Schatten::N,hlad,irkes
560,Schatten::N,hlad,sieges
561,Schatten::N,hlad,itku
562,Schatten::N,hlad,suoivâ
563,Schatten::N,hlad,õõtt
564,Schatten::N,hlad,ǩeeu´niǩ
565,Schatten::N,hlad,кывьнэхь
566,Schatten::N,sjena,skugkie
567,Schatten::N,sjena,soejvene
568,Schatten::N,sjena,irkes
569,Schatten::N,sjena,sieges
570,Schatten::N,sjena,itku
571,Schatten::N,sjena,suoivâ
572,Schatten::N,sjena,õõtt
573,Schatten::N,sjena,ǩeeu´niǩ
574,Schatten::N,sjena,кывьнэхь
575,Wetter::N,vrijeme,vïerhtse
576,Wetter::N,vrijeme,dálkke
577,Wetter::N,vrijeme,dálki
578,Wetter::N,vrijeme,šoŋŋâ
579,Wetter::N,vrijeme,šõŋŋ
580,Wetter::N,vrijeme,шэ̄ӈӈ
581,Nebel::N,magla,såavla
582,Nebel::N,magla,mearhka
583,Nebel::N,magla,murkko
584,Nebel::N,magla,mierkká
585,Nebel::N,magla,mierká
586,Nebel::N,magla,miär'kká
587,Nebel::N,magla,oṃo
588,Nebel::N,magla,sue´lnn
589,Nebel::N,magla,цӣгк
590,Nebel::N,magla,сулльн
591,Wolke::N,oblak,balve
592,Wolke::N,oblak,balvva
593,Wolke::N,oblak,balva
594,Wolke::N,oblak,polvâ
595,Wolke::N,oblak,põlvv
596,Wolke::N,oblak,пэллв
597,Regen::N,kiša,ebrie
598,Regen::N,kiša,harvve
599,Regen::N,kiša,arvi
600,Regen::N,kiša,arve
601,Regen::N,kiša,â´brr
602,Regen::N,kiša,аббьр
603,Schnee::N,snijeg,lopme
604,Schnee::N,snijeg,moehtege
605,Schnee::N,snijeg,muohta
606,Schnee::N,snijeg,muohta
607,Schnee::N,snijeg,muotâ
608,Schnee::N,snijeg,muõtt
609,Schnee::N,snijeg,вэ̄дз
610,Schnee::N,snijeg,куэллт
611,Eis::N,led,jïenge
612,Eis::N,led,jiegŋa
613,Eis::N,led,jiekŋa
614,Eis::N,led,jieŋ̣â
615,Eis::N,led,jiõŋŋ
616,Eis::N,led,ӣӈӈ
617,Frost::N,mraz,baajkoe
618,Frost::N,mraz,tjoasskem
619,Frost::N,mraz,buolaš
620,Frost::N,mraz,puolâš
621,Frost::N,mraz,puõlâš
622,Frost::N,mraz,мӯнь
623,Kälte::N,studen,jueskie
624,Kälte::N,studen,tjåetskeme
625,Kälte::N,studen,tjoasskem
626,Kälte::N,studen,čoaskin
627,Kälte::N,studen,ko'lmâsvuotâ
628,Kälte::N,studen,ijss
629,Kälte::N,studen,čuä´cǩǩem
630,Kälte::N,studen,tuârggnjõs
631,Kälte::N,studen,кэ̄лмас
632,Kälte::N,hladnoća,jueskie
633,Kälte::N,hladnoća,tjåetskeme
634,Kälte::N,hladnoća,tjoasskem
635,Kälte::N,hladnoća,čoaskin
636,Kälte::N,hladnoća,ko'lmâsvuotâ
637,Kälte::N,hladnoća,ijss
638,Kälte::N,hladnoća,čuä´cǩǩem
639,Kälte::N,hladnoća,tuârggnjõs
640,Kälte::N,hladnoća,кэ̄лмас
641,Hitze::N,vrućina,baahke
642,Hitze::N,vrućina,báhkka
643,Hitze::N,vrućina,báhkka
644,Hitze::N,vrućina,pakkâ
645,Hitze::N,vrućina,kuṃe
646,Hitze::N,vrućina,paašt
647,Hitze::N,vrućina,жоарр
648,Raureif::N,inje,jyjse
649,Raureif::N,inje,ridne
650,Raureif::N,inje,goarre
651,Raureif::N,inje,ritni
652,Raureif::N,inje,suhči
653,Raureif::N,inje,riṇe
654,Raureif::N,inje,ай
655,Regenbogen::N,duga,aatjan goengere
656,Regenbogen::N,duga,aatjan joekse
657,Regenbogen::N,duga,ádjájuoksa
658,Regenbogen::N,duga,arvedávgi
659,Regenbogen::N,duga,bajándávgi
660,Regenbogen::N,duga,äijihtävgi
661,Regenbogen::N,duga,teârmmazjohss
662,Regenbogen::N,duga,тӣрмесью̄ккс
663,Donner::N,grom,raejrie
664,Donner::N,grom,átjek
665,Donner::N,grom,átjárájdde
666,Donner::N,grom,áddjá
667,Donner::N,grom,baján
668,Donner::N,grom,juuṛâ
669,Donner::N,grom,tie´rmes
670,Donner::N,grom,тӣрмесь
671,Donner::N,grom,ча̄ркнэгк
672,Donner::N,grmljavina,raejrie
673,Donner::N,grmljavina,átjek
674,Donner::N,grmljavina,átjárájdde
675,Donner::N,grmljavina,áddjá
676,Donner::N,grmljavina,baján
677,Donner::N,grmljavina,juuṛâ
678,Donner::N,grmljavina,tie´rmes
679,Donner::N,grmljavina,тӣрмесь
680,Donner::N,grmljavina,ча̄ркнэгк
681,Strömung::N,struja,njuvvie
682,Strömung::N,struja,ájggedáhpe
683,Strömung::N,struja,rávdnji
684,Strömung::N,struja,virde
685,Strömung::N,struja,ve´rdd
686,Strömung::N,struja,выррьт
687,Strömung::N,strujanje,njuvvie
688,Strömung::N,strujanje,ájggedáhpe
689,Strömung::N,strujanje,rávdnji
690,Strömung::N,strujanje,virde
691,Strömung::N,strujanje,ve´rdd
692,Strömung::N,strujanje,выррьт
693,Tropfen::N,kap,gåajhkohts
694,Tropfen::N,kap,gåjkudis
695,Tropfen::N,kap,goaikkanas
696,Tropfen::N,kap,čalme
697,Tropfen::N,kap,čâ´lmm
698,Tropfen::N,kap,ча̄лльм
699,Tropfen::N,kaplja,gåajhkohts
700,Tropfen::N,kaplja,gåjkudis
701,Tropfen::N,kaplja,goaikkanas
702,Tropfen::N,kaplja,čalme
703,Tropfen::N,kaplja,čâ´lmm
704,Tropfen::N,kaplja,ча̄лльм
705,Schaum::N,pjena,sapte
706,Schaum::N,pjena,såpptå
707,Schaum::N,pjena,sokta
708,Schaum::N,pjena,suptâ
709,Schaum::N,pjena,soptt
710,Schaum::N,pjena,со̄ппт
711,Schmutz::N,nečistoća,haaskoe
712,Schmutz::N,nečistoća,duolvva
713,Schmutz::N,nečistoća,duolva
714,Schmutz::N,nečistoća,durdi
715,Schmutz::N,nečistoća,stänži
716,Schmutz::N,nečistoća,sähss
717,Schmutz::N,nečistoća,са̄ккьс
718,Schmutz::N,nečistoća,не̄шшь
719,Schmutz::N,prljavština,haaskoe
720,Schmutz::N,prljavština,duolvva
721,Schmutz::N,prljavština,duolva
722,Schmutz::N,prljavština,durdi
723,Schmutz::N,prljavština,stänži
724,Schmutz::N,prljavština,sähss
725,Schmutz::N,prljavština,са̄ккьс
726,Schmutz::N,prljavština,не̄шшь
727,See::N,jezero,jaevrie
728,See::N,jezero,jávrre
729,See::N,jezero,jávri
730,See::N,jezero,jävri
731,See::N,jezero,jâu´rr
732,See::N,jezero,я̄ввьр
733,Sumpf::N,bara,pluevie
734,Sumpf::N,bara,áhpe
735,Sumpf::N,bara,sæmssa
736,Sumpf::N,bara,jeaggi
737,Sumpf::N,bara,jeggi
738,Sumpf::N,bara,jeä´ǧ'ǧ
739,Sumpf::N,bara,ла̄ммьп
740,Moor::N,močvara,pluevie
741,Moor::N,močvara,jiegge
742,Moor::N,močvara,suotnju
743,Moor::N,močvara,karrii
