,Concept_ID,ml,no
95,Schmutz::N,അഴുക്ക്,søl
96,Schmutz::N,അഴുക്ക്,skitt
97,See::N,തടാകം,sjø
98,Sumpf::N,ചതുപ്പുനിലം,sump
99,Sumpf::N,ചതുപ്പുനിലം,myrlende
100,Moor::N,പാഴ്നിലം,myr
101,Moor::N,പാഴ്നിലം,myrhei
102,Wiese::N,പുൽത്തകിടി,eng
103,Wald::N,വനം,skog
104,Wald::N,കാട്,skog
105,Hügel::N,കുന്ന്,haug
106,Hügel::N,കുന്ന്,bakke
107,Anhöhe::N,ഉയർന്ന ഭൂമി,haug
108,Anhöhe::N,ഉയർന്ന ഭൂമി,bakke
109,Berg::N,പർവ്വതം,berg
110,Berg::N,പർവ്വതം,fjell
111,Gipfel::N,ഉച്ചകോടി,topp
112,Höhle::N,ഗുഹ,hule
113,Abhang::N,ചരിവ്,li
114,Abhang::N,ചരിവ്,skråning
115,Quelle::N,ഉറവിടം,kilde
116,Bach::N,അരുവി,bekk
117,Fluss::N,നദി,elv
118,Ufer::N,തീരം,bredd
119,Küste::N,കടൽത്തീരം,kyst
120,Festland::N,കര,fastland
121,Meer::N,കടൽ,hav
122,Bucht::N,ഉൾക്കടല്,bukt
123,Insel::N,ദ്വീപ്,øy
124,Blume::N,പൂവ്,blomst
125,Gras::N,പുല്ല്,gress
126,Wurzel::N,വേര്,rot
127,Baum::N,മരം,tre
128,Stamm::N,തായ്ത്തടി,stamme
129,Rinde::N,പട്ട,bark
130,Ast::N,ശാഖ,gren
131,Zweig::N,ശാഖ,kvist
132,Blatt::N,ഇല,blad
133,Birke::N,പൂവരശ്,bjørk
134,Kiefer[Baum]::N,പൈൻമരം,furu
135,Weide[Baum]::N,വില്ലോ,selje
136,Weide[Baum]::N,വില്ലോ,piletre
137,Tanne::N,ദേവദാരു,gran
138,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,horn
139,Feder::N,തൂവൽ,fjær
140,Fell::N,മൃദുരോമം,skinn
141,Flügel::N,ചിറക്,vinge
142,Klaue::N,നഖം,klauv
143,Kralle::N,നഖം,klo
144,Schwanz::N,വാൽ,hale
145,Ei::N,മുട്ട,egg
146,Nest::N,കൂട്,rede
147,Bau::N,മാളം,hi
148,Tier::N,മൃഗം,dyr
149,Herde::N,കൂട്ടം,flokk
150,Kuh::N,പശു,ku
151,Bulle::N,കാള,tyr
152,Pferd::N,കുതിര,hest
153,Schaf::N,ആട്,får
154,Schwein::N,പന്നി,gris
155,Hund::N,നായ്,hund
156,Katze::N,പൂച്ച,katt
157,Bär::N,കരടി,bjørn
158,Eichhörnchen::N,അണ്ണാൻ,ekorn
159,Elch::N,കടമാന്,elg
160,Fuchs::N,കുറുക്കൻ,rev
161,Hase::N,മുയൽ,hare
162,Maus::N,ചുണ്ടലി,mus
163,Wolf::N,ചെന്നായ,ulv
164,Wolf::N,ചെന്നായ,varg
165,Vogel::N,പക്ഷി,fugl
166,Schwarm::N,കൂട്ടം,sverm
167,Huhn::N,കോഴി,høne
168,Hahn::N,പൂവൻകോഴി,hane
169,Gans::N,അരയന്നം,gås
170,Adler::N,കഴുകൻ,ørn
171,Ente::N,താറാവ്,and
172,Eule::N,മൂങ്ങ,ugle
173,Kranich::N,കൊക്ക്,trane
174,Krähe::N,കാക്ക,kråke
175,Kuckuck::N,കുയിൽ,gjøk
176,Schwan::N,അരയന്നം,svane
177,Fisch::N,മത്സ്യം,fisk
178,Barsch::N,ഒരിനം മത്സ്യം,abbor
179,Hecht::N,ഒരു മത്സ്യം,gjedde
180,Schlange[Tier]::N,പാമ്പ്,orm
181,Schlange[Tier]::N,പാമ്പ്,slange
182,Wurm::N,വിര,orm
183,Wurm::N,വിര,mark
184,Spinne::N,ചിലന്തി,edderkopp
185,Ameise::N,ഉറുമ്പ്,maur
186,Laus::N,പേന്,lus
187,Mücke::N,മശകം,mygg
188,Fliege::N,ഈച്ച,flue
189,Schmetterling::N,ചിത്രശലഭം,sommerfugl
190,Beere::N,ബെറി,bær
191,Apfel::N,ആപ്പിൾ,eple
192,Pilz::N,കൂൺ,sopp
193,Zwiebel::N,സവാള,løk
194,Saat::N,വിത്ത്,sæd
195,Korn::N,ധാന്യം,korn
196,Heu::N,വയ്ക്കോൽ,høy
197,Schale::N,തൊലി,skall
198,Grube::N,കുഴി,grop
199,Falle::N,കെണി,felle
200,Schlinge::N,കുടുക്ക്,snare
201,Spur::N,ചുവട്,spor
202,Asche::N,ചാരം,aske
203,Dreck::N,അഴുക്ക്,møkk
204,Dreck::N,അഴുക്ക്,skitt
205,Eisen::N,ഇരുമ്പ്,jern
206,Gold::N,സ്വർണ്ണം,gull
207,Silber::N,വെള്ളി,sølv
208,Kohle::N,കൽക്കരി,kol
209,Kohle::N,കൽക്കരി,kull
210,Glas::N,ഗ്ലാസ്,glass
211,Lehm::N,കളിമണ്ണ്,leire
212,Sand::N,മണൽ,sand
213,Mensch::N,മനുഷ്യർ,menneske
214,Mann::N,പുരുഷൻ,mann
215,Frau::N,സ്ത്രീ,kvinne
216,Kind::N,കുഞ്ഞ്,barn
217,Junge::N,ആൺകുട്ടി,gutt
218,Mädchen::N,പെൺകുട്ടി,pike
219,Mädchen::N,പെൺകുട്ടി,jente
220,Familie::N,കുടുംബം,familie
221,Großvater::N,അപ്പൂപ്പൻ,bestefar
222,Großmutter::N,അമ്മുമ്മ,bestemor
223,Eltern::N,മാതാപിതാക്കള്,foreldre
224,Vater::N,അച്ഛൻ,far
225,Mutter::N,അമ്മ,mor
226,Sohn::N,മകൻ,sønn
227,Tochter::N,മകൾ,datter
228,Bruder::N,ചേട്ടൻ,bror
229,Bruder::N,അനിയൻ,bror
230,Schwester::N,ചേച്ചി,søster
231,Schwester::N,അനിയത്തി,søster
232,Onkel::N,അമ്മാവൻ,onkel
233,Tante::N,മാമി,tante
234,Ehemann::N,ഭർത്താവ്,ektemann
235,Ehefrau::N,ഭാര്യ,hustru
236,Freude::N,ആഹ്ലാദം,glede
237,Gelächter::N,ചിരിയുടെ ശബ്ദം,latter
238,Glück::N,സന്തോഷം,lykke
239,Glück::N,സന്തുഷ്ടി,lykke
240,Kummer::N,ശോകം,sorg
241,Wunsch::N,ആഗ്രഹം,ønske
242,Lust::N,ആഗ്രഹം,lyst
243,Geist::N,ചുറുചുറുക്ക്,ånd
244,Gedanke::N,ചിന്ത,tanke
245,Gedächtnis::N,ഓർമ്മശക്തി,minne
246,Gedächtnis::N,ഓർമ്മശക്തി,hukommelse
247,Verstand::N,മനസ്സ്,forstand
248,Sinn::N,അർത്ഥം,mening
249,Sinn::N,അർത്ഥം,betydning
250,Grund::N,കാരണം,grunn
251,Wahrheit::N,സത്യം,sannhet
252,Gespräch::N,സല്ലാപം,samtale
253,Märchen::N,യക്ഷിക്കഥ,eventyr
254,Erzählung::N,കഥ,fortelling
255,Nachricht::N,സന്ദേശം,melding
256,Neuigkeit::N,വാർത്ത,nyhet
257,Name::N,പേര്,navn
258,Rätsel::N,പ്രഹേളിക,gåte
259,Rede::N,സംസാരം,tale
260,Sprache::N,ഭാഷ,språk
261,Stimme::N,സ്വരം,stemme
262,Wort::N,വാക്ക്,ord
263,Zeichen::N,സംജ്ഞ,tegn
264,Ruf::N,വിളി,rop
265,Lärm::N,ആരവം,bråk
266,Laut::N,ശബ്ദം,lyd
267,Ton::N,സ്വരഭേദം,tone
268,Lied::N,പാട്ട്,vise
269,Ruhe::N,നിശ്ചലത,ro
270,Leute::N,ജനങ്ങൾ,folk
271,Volk::N,രാഷ്ടം,folk
272,Arbeit::N,ജോലി,arbeid
273,Gast::N,അതിലി,gjest
274,Geschenk::N,സമ്മാനം,gave
275,Spiel::N,കളി,lek
276,Spiel::N,കളി,spill
277,Gesellschaft::N,കൂട്ടായ്മ,selskap
278,Hilfe::N,സഹായം,hjelp
279,Freund::N,സുഹൃത്ത്,venn
280,Kamerad::N,കൂട്ടാളി,kamerat
281,Angelegenheit::N,കാര്യം,sak
282,Angelegenheit::N,കാര്യം,anliggende
283,Anzahl::N,എണ്ണം,antall
284,Art::N,തരം,art
285,Art::N,തരം,slag
286,Stück::N,കഷണം,stykke
287,Teil::N,ഭാഗം,del
288,Hälfte::N,പകുതി,halvdel
289,Kreis::N,വൃത്തം,ring
290,Kreis::N,വൃത്തം,sirkel
291,Kreuz::N,കുരിശടയാളം,kors
292,Kreuz::N,കുരിശടയാളം,kryss
293,Linie::N,വര,linje
294,Linie::N,രേഖ,linje
295,Strich::N,പക്ഷാഘാതം,strek
296,Abstand::N,വിടവ്,avstand
297,Entfernung::N,അകലം,avstand
298,Gegend::N,പ്രദേശം,strøk
299,Platz::N,ഇടം,plass
300,Ort::N,സ്ഥലം,sted
301,Seite::N,വശം,side
302,Mitte::N,മധ്യസ്ഥാനം,midte
303,Gegenstand::N,സാധനം,gjenstand
304,Sache::N,വസ്തു,sak
305,Rand::N,തൊങ്ങൽ,rand
306,Kante::N,അറ്റം,kant
307,Ecke::N,മൂല,hjørne
308,Spitze::N,അഗ്രം,spiss
309,Ende::N,അവസാനം,ende
310,Loch::N,ദ്വാരം,hull
311,Winkel::N,കോൺ,vinkel
312,Muster::N,ക്രമം,mønster
313,Größe::N,വലുപ്പം,størrelse
314,Länge::N,നീളം,lengde
315,Höhe::N,ഉയരം,høyde
316,Gewicht::N,കട്ടി,vekt
317,Menge::N,അളവ്,mengde
318,Haufen::N,കൂമ്പാരം,haug
319,Haufen::N,കൂമ്പാരം,bunke
320,Reihe::N,വരി,rekke
321,Boot::N,ബോട്ട്,båt
322,Ruder::N,പങ്കായം,åre
323,Schlitten::N,ഉരുളില്ലാവണ്ടി,slede
324,Schlitten::N,ഉരുളില്ലാവണ്ടി,kjelke
325,Ski::N,ഹിമപാദുകം,ski
326,Lagerfeuer::N,തീ,leirbål
327,Last::N,ഭാരം,bør
328,Last::N,ഭാരം,last
329,Gang::N,നടത്തം,gang
330,Schritt::N,ചുവട്,steg
331,Schritt::N,ചുവട്,skritt
332,Norden::N,വടക്ക്,nord
333,Süden::N,തെക്ക്,sør
334,Westen::N,പടിഞ്ഞാറ്,vest
335,Osten::N,കിഴക്ക്,øst
336,Holz::N,തടി,tre
337,Brett::N,ബോർഡ്,fjøl
338,Brett::N,ബോർഡ്,brett
339,Platte::N,തകിട്,plate
340,Stütze::N,താങ്ങ്,støtte
341,Stange::N,കമ്പ്,stang
342,Stock::N,വടി,pinne
343,Stab::N,കുറുവടി,stav
344,Stab::N,കുറുവടി,kjepp
345,Rohr::N,കുഴൽ,rør
346,Haus::N,വീട്,hus
347,Heim::N,വീട്,hjem
348,Ofen::N,സ്റ്റൌ,ovn
349,Fußboden::N,തറ,gulv
350,Tisch::N,മേശ,bord
351,Stuhl::N,കസേര,stol
352,Wiege::N,തൊട്ടിൽ,vogge
353,Bett::N,കിടക്ക,seng
354,Regal::N,ഷെൽഫ്,reol
355,Regal::N,ഷെൽഫ്,hylle
356,Kiste::N,പെട്ടി,kasse
357,Fenster::N,ജനൽ,vindu
358,Tür::N,വാതിൽ,dør
359,Tor::N,കവാടം,port
360,Zaun::N,വേലി,gjerde
361,Dach::N,മേൽക്കുര,tak
362,Leiter::N,ഏണി,stige
363,Besen::N,ചൂല്,kost
364,Spaten::N,തൂമ്പ,spade
365,Schaufel::N,തൂമ്പ,skuffe
366,Gabel::N,മുൾക്കത്തി,gaffel
367,Löffel::N,സ്പൂൺ,skje
368,Messer::N,കത്തി,kniv
369,Nagel::N,ആണി,spiker
370,Netz::N,വല,nett
371,Haken::N,കൊളുത്ത്,krok
372,Griff::N,കൈപ്പിടി,tak
373,Griff::N,കൈപ്പിടി,håndtak
374,Schloss::N,പൂട്ട്,lås
375,Bild::N,ചിത്രം,bilde
376,Figur::N,കണക്ക്,figur
377,Puppe::N,പാവ,dukke
378,Beutel::N,ബാഗ്,pose
379,Bündel::N,കെട്ട്,bylt
380,Tasche::N,ബാഗ്,veske
381,Eimer::N,ബക്കറ്റ്,bøtte
382,Deckel::N,ഉറ,lokk
383,Geschirr::N,പിഞ്ഞാണം,kjøkkentøy
384,Sack::N,ചാക്ക്,sekk
385,Tasse::N,കപ്പ്,kopp
386,Topf::N,പാത്രം,gryte
387,Kessel::N,കെറ്റ്ല്,kjele
388,Essen::N,ആഹാരസമയം,mål
389,Nahrung::N,ഭക്ഷണം,mat
390,Nahrung::N,ഭക്ഷണം,næring
391,Speise::N,ഡിഷ്,matrett
392,Fleisch::N,മാംസം,kjøtt
393,Getreide::N,ചോളം,korn
394,Brei::N,കഞ്ഞി,grøt
395,Brot::N,റോട്ടി,brød
396,Scheibe::N,തുണ്ട്,skive
397,Fett::N,കൊഴുപ്പ്,fett
398,Butter::N,വെണ്ണ,smør
399,Öl::N,എണ്ണ,olje
400,Salz::N,ഉപ്പ്,salt
401,Suppe::N,സൂപ്പ്,suppe
402,Honig::N,തേൻ,honning
403,Milch::N,പാൽ,melk
404,Tee::N,ചായ,te
405,Leder::N,തുകൽ,lær
406,Leder::N,തുകൽ,skinn
407,Wolle::N,കമ്പിളി,ull
408,Stoff::N,തുണി,tøy
409,Stoff::N,തുണി,stoff
410,Nadel::N,സൂചി,nål
411,Faden::N,നൂല്,tråd
412,Knopf::N,ബട്ടൺ,knapp
413,Knoten::N,കുരുക്ക്,knute
414,Farbe::N,പെയിൻറ്,farge
415,Kleidung::N,വസ്ത്രങ്ങൾ,påkledning
416,Hemd::N,ഷർട്ട്,skjorte
417,Kragen::N,കുപ്പായക്കഴുത്ത്,krage
418,Ärmel::N,കുപ്പായക്കൈ,erme
419,Hose::N,ട്രൌസർ,bukse
420,Gürtel::N,ബെൽറ്റ്,belte
421,Mütze::N,തൊപ്പി,lue
422,Schuh::N,ഷൂ,sko
423,Stiefel::N,ബൂട്ട്,støvel
424,Ring::N,മോതിരം,ring
425,Band::N,റിബൺ,band
426,Kamm::N,ചീപ്പ്,kam
427,Spiegel::N,കണ്ണാടി,speil
428,Riemen::N,സ്ട്രാപ്പ്,rem
429,Schnur::N,ചരട്,snor
430,Leine::N,കെട്ടാനുള്ള തോൽവാർ,line
431,Decke::N,പുതപ്പ്,teppe
432,Kissen::N,തലയിണ,pute
433,Tuch::N,സ്കാർഫ്,tøy
434,Handtuch::N,തോർത്ത്,håndkle
435,Kraft::N,ശക്തി,kraft
436,Stärke::N,ശക്തി,styrke
437,Gesundheit::N,ആരോഗ്യം,helse
438,Gesundheit::N,ആരോഗ്യം,sunnhet
439,Krankheit::N,അസുഖം,syke
440,Krankheit::N,അസുഖം,sykdom
441,Schmerz::N,വേദന,smerte
442,Wunde::N,മുറിവ്,sår
443,Fieber::N,പനി,feber
444,Arznei::N,മരുന്ന്,medisin
445,Arznei::N,മരുന്ന്,legemiddel
446,Brücke::N,പാലം,bro
447,Brunnen::N,കിണർ,brønn
448,Weide::N,മേച്ചൽ,beite
449,Pfad::N,വഴി,sti
450,Weg::N,വഴി,vei
451,Straße::N,റോഡ്,gate
452,Dorf::N,ഗ്രാമം,landsby
453,Stadt::N,നഗരം,by
454,Brief::N,കത്ത്,brev
455,Buch::N,പുസ്തകം,bok
456,Buchstabe::N,അക്ഷരം,bokstav
457,Zeitung::N,വർത്തമാനപത്രം,avis
458,Leben::N,ജീവൻ,liv
459,Tod::N,മരണം,død
460,Grab::N,ശവക്കുഴി,grav
461,Kirche::N,പള്ളി,kirke
462,Sünde::N,പാപം,synd
463,Gott::N,ദൈവം,gud
464,Arbeiter::N,ജോലിക്കാരൻ,arbeider
465,Chef::N,മേധാവി,sjef
466,Meister::N,യജമാനൻ,mester
467,Arzt::N,ഡോക്ടർ,lege
468,Lehrer::N,അധ്യാപകൻ,lærer
469,Geld::N,പണം,penger
470,Geschäft::N,ബിസിനസ്,forretning
471,Laden::N,കട,butikk
472,Preis::N,വില,pris
473,Ware::N,ചരക്ക്,vare
474,Nutzen::N,ലാഭം,nytte
475,Reichtum::N,ധനം,rikdom
476,Welt::N,ലോകം,verden
477,Land::N,രാജ്യം,land
478,Staat::N,രാജ്യം,stat
479,König::N,രാജാവ്,konge
480,Macht::N,അധികാരം,makt
481,Grenze::N,അതിർത്തി,grense
482,Krieg::N,യുദ്ധം,krig
483,Feind::N,ശത്രു,fiende
484,Gewalt::N,അക്രമം,vold
485,Kampf::N,പോരാട്ടം,kamp
486,Bogen[Waffe]::N,വില്ല്,bue
487,Pfeil::N,അമ്പ്,pil
488,Gewehr::N,തോക്ക്,gevær
489,Fehler::N,പിശക്,feil
490,Lüge::N,കള്ളം,løgn
491,Schaden::N,കേടുപാട്,skade
492,Unglück::N,ദൌർഭാഗ്യം,uhell
493,Schuld::N,തെറ്റ്,skyld
494,Alter::N,വയസ്സ്,alder
495,Schluss::N,നിഗമനം,slutt
496,Zeit::N,സമയം,tid
497,Tag::N,ദിവസം,dag
498,Morgen::N,പ്രഭാതം,morgen
499,Mittag::N,ഉച്ച,middag
500,Abend::N,സായാഹ്നം,aften
501,Nacht::N,രാത്രി,natt
502,Woche::N,ആഴ്ച,uke
503,Monat::N,മാസം,måned
504,Jahr::N,വർഷം,år
505,Frühling::N,വസന്തം,vår
506,Sommer::N,വേനൽ,sommer
507,Herbst::N,ശരത്കാലം,høst
508,Winter::N,ശൈത്യം,vinter
509,Januar::N,ജനുവരി,januar
510,Februar::N,ഫെബ്രുവരി,februar
511,März::N,മാർച്ച്,mars
512,April::N,ഏപ്രിൾ മാസം,april
513,Mai::N,മെയ് മാസം,mai
514,Juni::N,ജൂൺ,juni
515,Juli::N,ജൂലൈ,juli
516,August::N,ആഗസ്റ്റ്,august
517,September::N,സെപ്തംബർ,september
518,Oktober::N,ഒക്ടോബർ,oktober
519,November::N,നവംബർ,november
520,Dezember::N,ഡിസംബർ,desember
521,Montag::N,തിങ്കളാഴ്ച,mandag
522,Dienstag::N,ചൊവ്വ,tirsdag
523,Mittwoch::N,ബുധനാഴ്ച,onsdag
524,Donnerstag::N,വ്യാഴാഴ്ച,torsdag
525,Freitag::N,വെള്ളിയാഴ്ച,fredag
526,Samstag::N,ശനിയാഴ്ച,lørdag
527,Sonntag::N,ഞായറാഴ്ച,søndag
528,groß::A,വലിയ,stor
529,klein::A,ചെറിയ,liten
530,lang::A,നീണ്ട,lang
531,kurz::A,ഹ്രസ്വമായ,kort
532,breit::A,വിശാലമായ,bred
533,schmal::A,ഇടുങ്ങിയ,smal
534,dicht::A,നിബിഡമായ,tett
535,dick[Gegenstand]::A,തടിച്ച,tykk
536,dünn::A,മെലിഞ്ഞ,tynn
537,fein::A,നേർത്ത,fin
538,fest::A,ഉറപ്പുള്ള,fast
539,flach::A,പരന്ന,flat
540,glatt::A,മിനുസമുള്ള,glatt
541,hart::A,കട്ടിയുള്ള,hard
542,weich::A,മൃദുവായ,myk
543,weich::A,മൃദുവായ,bløt
544,rund::A,വട്ടത്തിലുള്ള,rund
545,spitz::A,മുനയുള്ള,spiss
546,scharf::A,മൂർച്ചയുള്ള,kvass
547,stumpf::A,തുറന്നടിക്കുന്ന,stubb
548,schwer::A,ഭാരമുള്ള,tung
549,schön::A,മനോഹരമായ,pen
550,schön::A,മനോഹരമായ,vakker
551,heiß::A,ചൂടുള്ള,het
552,warm::A,ചൂടുള്ള,varm
553,kalt::A,തണുത്ത,kald
554,kühl::A,തണുപ്പുള്ള,kjølig
555,frisch::A,ശുദ്ധമായ,fersk
556,feucht::A,ഈറനുള്ള,fuktig
557,nass::A,നനഞ്ഞ,våt
558,trocken::A,വരണ്ട,tørr
559,voll::A,നിറയെ,full
560,leer::A,ഒഴിഞ്ഞ,tom
561,offen::A,തുറന്ന,åpen
562,geschlossen::A,അടച്ച,lukket
563,sauber::A,വൃത്തിയുള്ള,ren
564,schmutzig::A,അഴുക്കുനിറഞ്ഞ,skitten
565,roh::A,അസംസ്കൃതമായ,rå
566,reif::A,പഴുത്ത,moden
567,lecker::A,രുചികരമായ,lekker
568,süß::A,മധുരമുള്ള,søt
569,bitter::A,കടുത്ത,besk
570,bitter::A,കടുത്ത,bitter
571,sauer::A,പുളിപ്പുള്ള,sur
572,hell::A,ജ്വലിക്കുന്ന,lys
573,dunkel::A,ഇരുണ്ട,mørk
574,schwarz::A,കറുത്ത,svart
575,weiß::A,വെളുത്ത,hvit
576,rot::A,ചുവന്ന,rød
577,gelb::A,മഞ്ഞനിറമായ,gul
578,blau::A,നീലനിറമുള്ള,blå
579,grün::A,പച്ചനിറമുള്ള,grønn
580,grau::A,ചാരനിറത്തിലുള്ള,grå
581,bunt::A,വർണ്ണശബളമായ,broket
582,billig::A,വിലകുറഞ്ഞ,billig
583,teuer::A,ചെലവേറിയ,dyr
584,wertvoll::A,വിലപിടിപ്പുള്ള,verdifull
585,blind::A,അന്ധനായ,blind
586,taub::A,കേൾവിക്കുറവുള്ള,døv
587,kräftig::A,ശക്തിയുള്ള,kraftig
588,stark::A,ബലമുള്ള,sterk
589,schwach::A,ക്ഷീണിച്ച,svak
590,fett::A,കൊഴുപ്പുള്ള,fet
591,schlank::A,മെലിഞ്ഞ,slank
592,hübsch::A,മനോഹരമായ,pen
593,böse::A,പാപിയായ,slem
594,dumm::A,വിവരംകെട്ട,dum
595,faul::A,അലസനായ,lat
596,faul::A,അലസനായ,doven
597,fleißig::A,അദ്ധ്വാനശീലമുള്ള,flittig
598,geizig::A,പിശുക്കനായ,gjerrig
599,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,klok
600,geschickt::A,പ്രതിഭാശാലി,hendig
601,geschickt::A,പ്രതിഭാശാലി,skikket
602,lieb::A,പ്രിയപ്പെട്ട,kjær
603,lieb::A,പ്രിയപ്പെട്ട,snill
604,lustig::A,ആനന്ദകരമായ,morsom
605,sanft::A,സൌമ്യമായ,blid
606,hungrig::A,വിശപ്പുള്ള,sulten
607,krank::A,അസുഖമുള്ള,syk
608,nackt::A,നഡമായ,naken
609,traurig::A,വിഷമമുള്ള,sørgmodig
610,lebendig::A,ഉപജീവനം,levende
611,gut::A,നല്ല,god
612,schlecht::A,മോശമായ,dårlig
613,richtig::A,ശരിയായ,riktig
614,schlimm::A,വൃത്തികെട്ട,slem
615,wahr::A,ശരിയായ,sann
616,alt::A,പഴയ,gammel
617,neu::A,പുതിയ,ny
618,ehemalig::A,മുൻ,forhenværende
619,alt[Lebewesen]::A,വയസ്സുള്ള,gammel
620,jung::A,കൌമാരമായ,ung
621,arm::A,പാവപ്പെട്ട,fattig
622,reich::A,സമ്പന്നമായ,rik
623,bekannt::A,പരിചിതമായ,kjent
624,berühmt::A,പ്രശസ്തനായ,berømt
625,fremd::A,വൈദേശികമായ,fremmed
626,verschieden::A,വ്യത്യസ്തമായ,forskjellig
627,nah::A,അരികത്തുള്ള,nær
628,fern::A,അകലെയുള്ള,fjern
629,linker::A,അവശേഷിച്ച,venstre
630,rechter::A,വലത്തേ,høyre
631,anderer::A,മറ്റുള്ള,annen
632,erster::A,ആദ്യത്തെ,første
633,zweiter::A,രണ്ടാം,annen
634,dritter::A,മൂന്നാമത്,tredje
635,letzter::A,അവസാനത്തെ,sist
636,allein::ADV,തനിച്ചുള്ള,alene
637,auf einmal::ADV,ഉടന്,med ett
638,zusammen::ADV,ഒരുമിച്ച,sammen
639,lange::ADV,നീണ്ട_കാലത്തേയ്ക്ക്,lenge
640,plötzlich::ADV,പെട്ടെന്ന്,plutselig
641,sofort::ADV,തത്ക്ഷണം,straks
642,später::ADV,പിന്നീട്,senere
643,jetzt::ADV,ഇപ്പോൾ,nå
644,heute::ADV,ഇന്ന്,i dag
645,morgen::ADV,നാളെ,i morgen
646,bald::ADV,ഉടനെ,snart
647,dann::ADV,അപ്പോൾ,så
648,gestern::ADV,ഇന്നലെ,i går
649,einst::ADV,പണ്ടൊരിക്കല്,engang
650,damals::ADV,അപ്പോൾ,den gang
651,danach::ADV,പിന്നീട്,deretter
652,vorher::ADV,മുൻപ്,før
