,Concept_ID,ar,ml
161,Hase::N,أرنب,മുയൽ
162,Maus::N,فأرة,ചുണ്ടലി
163,Wolf::N,ذئب,ചെന്നായ
164,Vogel::N,طير,പക്ഷി
165,Schwarm::N,سرب,കൂട്ടം
166,Huhn::N,دجاجة,കോഴി
167,Hahn::N,ديك,പൂവൻകോഴി
168,Gans::N,وزة,അരയന്നം
169,Adler::N,نسر,കഴുകൻ
170,Ente::N,بطة,താറാവ്
171,Eule::N,بوم,മൂങ്ങ
172,Kranich::N,كركي,കൊക്ക്
173,Krähe::N,غراب,കാക്ക
174,Kuckuck::N,وقواق,കുയിൽ
175,Schwan::N,إوز عراقي,അരയന്നം
176,Fisch::N,سمك,മത്സ്യം
177,Barsch::N,فرخ أوربي,ഒരിനം മത്സ്യം
178,Hecht::N,سمك الكراكي,ഒരു മത്സ്യം
179,Schlange[Tier]::N,حية,പാമ്പ്
180,Schlange[Tier]::N,ثعبان,പാമ്പ്
181,Wurm::N,دودة,വിര
182,Spinne::N,عنكبوت,ചിലന്തി
183,Ameise::N,نملة,ഉറുമ്പ്
184,Laus::N,قملة,പേന്
185,Mücke::N,ناموسة,മശകം
186,Fliege::N,ذبابة,ഈച്ച
187,Schmetterling::N,فراشة,ചിത്രശലഭം
188,Beere::N,حبة,ബെറി
189,Apfel::N,تفاح,ആപ്പിൾ
190,Pilz::N,فطر,കൂൺ
191,Zwiebel::N,بصل,സവാള
192,Saat::N,زرع,വിത്ത്
193,Korn::N,حبة,ധാന്യം
194,Heu::N,دريس,വയ്ക്കോൽ
195,Schale::N,قشرة,തൊലി
196,Grube::N,نقرة,കുഴി
197,Falle::N,فخ,കെണി
198,Falle::N,مصيدة,കെണി
199,Schlinge::N,عروة,കുടുക്ക്
200,Spur::N,أثر,ചുവട്
201,Asche::N,رماد,ചാരം
202,Dreck::N,قذر,അഴുക്ക്
203,Eisen::N,حديد,ഇരുമ്പ്
204,Gold::N,ذهب,സ്വർണ്ണം
205,Silber::N,فضة,വെള്ളി
206,Kohle::N,فحم,കൽക്കരി
207,Glas::N,زجاج,ഗ്ലാസ്
208,Lehm::N,طين,കളിമണ്ണ്
209,Sand::N,رمل,മണൽ
210,Mensch::N,إنسان,മനുഷ്യർ
211,Mann::N,رجل,പുരുഷൻ
212,Frau::N,امرأة,സ്ത്രീ
213,Kind::N,طفل,കുഞ്ഞ്
214,Junge::N,ولد,ആൺകുട്ടി
215,Mädchen::N,بنت,പെൺകുട്ടി
216,Familie::N,عائلة,കുടുംബം
217,Großvater::N,جد,അപ്പൂപ്പൻ
218,Großmutter::N,جدة,അമ്മുമ്മ
219,Eltern::N,أبوان,മാതാപിതാക്കള്
220,Eltern::N,والدان,മാതാപിതാക്കള്
221,Vater::N,أب,അച്ഛൻ
222,Mutter::N,أم,അമ്മ
223,Sohn::N,إبن,മകൻ
224,Tochter::N,بنت,മകൾ
225,Tochter::N,إبنة,മകൾ
226,Bruder::N,أخ,ചേട്ടൻ
227,Bruder::N,أخ,അനിയൻ
228,Bruder::N,شقيق,ചേട്ടൻ
229,Bruder::N,شقيق,അനിയൻ
230,Schwester::N,أخت,ചേച്ചി
231,Schwester::N,أخت,അനിയത്തി
232,Onkel::N,عم,അമ്മാവൻ
233,Tante::N,عمة,മാമി
234,Ehemann::N,زوج,ഭർത്താവ്
235,Ehefrau::N,زوجة,ഭാര്യ
236,Freude::N,فرح,ആഹ്ലാദം
237,Freude::N,سرور,ആഹ്ലാദം
238,Gelächter::N,قهقهة,ചിരിയുടെ ശബ്ദം
239,Glück::N,سعادة,സന്തോഷം
240,Glück::N,سعادة,സന്തുഷ്ടി
241,Kummer::N,غم,ശോകം
242,Wunsch::N,منية,ആഗ്രഹം
243,Lust::N,شهوة,ആഗ്രഹം
244,Geist::N,روح,ചുറുചുറുക്ക്
245,Gedanke::N,فكرة,ചിന്ത
246,Gedächtnis::N,ذاكرة,ഓർമ്മശക്തി
247,Verstand::N,عقل,മനസ്സ്
248,Sinn::N,معنى,അർത്ഥം
249,Grund::N,سبب,കാരണം
250,Wahrheit::N,حقيقة,സത്യം
251,Gespräch::N,محادثة,സല്ലാപം
252,Märchen::N,خرافة,യക്ഷിക്കഥ
253,Erzählung::N,قصة,കഥ
254,Erzählung::N,حكاية,കഥ
255,Nachricht::N,خبر,സന്ദേശം
256,Neuigkeit::N,خبر جديد,വാർത്ത
257,Name::N,اسم,പേര്
258,Rätsel::N,لغز,പ്രഹേളിക
259,Rede::N,خطبة,സംസാരം
260,Sprache::N,لغة,ഭാഷ
261,Stimme::N,صوت,സ്വരം
262,Wort::N,كلمة,വാക്ക്
263,Zeichen::N,رمز,സംജ്ഞ
264,Zeichen::N,إشارة,സംജ്ഞ
265,Ruf::N,نداء,വിളി
266,Lärm::N,صخب,ആരവം
267,Lärm::N,ضجة,ആരവം
268,Laut::N,صوت,ശബ്ദം
269,Ton::N,نغمة,സ്വരഭേദം
270,Lied::N,أغنية,പാട്ട്
271,Ruhe::N,هدوء,നിശ്ചലത
272,Leute::N,ناس,ജനങ്ങൾ
273,Volk::N,شعب,രാഷ്ടം
274,Arbeit::N,عمل,ജോലി
275,Gast::N,ضيف,അതിലി
276,Geschenk::N,هدية,സമ്മാനം
277,Spiel::N,لعب,കളി
278,Gesellschaft::N,صحبة,കൂട്ടായ്മ
279,Hilfe::N,عون,സഹായം
280,Hilfe::N,مساعدة,സഹായം
281,Freund::N,صديق,സുഹൃത്ത്
282,Kamerad::N,زميل,കൂട്ടാളി
283,Angelegenheit::N,أمر,കാര്യം
284,Angelegenheit::N,شأن,കാര്യം
285,Anzahl::N,عدد,എണ്ണം
286,Art::N,نوع,തരം
287,Stück::N,قطعة,കഷണം
288,Teil::N,قسم,ഭാഗം
289,Hälfte::N,نصف,പകുതി
290,Kreis::N,دائرة,വൃത്തം
291,Kreuz::N,صليب,കുരിശടയാളം
292,Linie::N,خط,വര
293,Linie::N,خط,രേഖ
294,Strich::N,شرطة,പക്ഷാഘാതം
295,Abstand::N,مسافة,വിടവ്
296,Entfernung::N,بعد,അകലം
297,Gegend::N,ناحية,പ്രദേശം
298,Platz::N,فراغ,ഇടം
299,Ort::N,مكان,സ്ഥലം
300,Seite::N,جانب,വശം
301,Mitte::N,وسط,മധ്യസ്ഥാനം
302,Gegenstand::N,موضوع,സാധനം
303,Sache::N,شيء,വസ്തു
304,Rand::N,حافة,തൊങ്ങൽ
305,Kante::N,حافة,അറ്റം
306,Ecke::N,ركن,മൂല
307,Spitze::N,سن,അഗ്രം
308,Ende::N,طرف,അവസാനം
309,Loch::N,ثقب,ദ്വാരം
310,Winkel::N,زاوية,കോൺ
311,Muster::N,عينة,ക്രമം
312,Größe::N,حجم,വലുപ്പം
313,Länge::N,طول,നീളം
314,Höhe::N,علو,ഉയരം
315,Höhe::N,ارتفاع,ഉയരം
316,Gewicht::N,وزن,കട്ടി
317,Menge::N,كمية,അളവ്
318,Haufen::N,كوم,കൂമ്പാരം
319,Reihe::N,صف,വരി
320,Boot::N,قارب,ബോട്ട്
321,Boot::N,زورق,ബോട്ട്
322,Ruder::N,مجذاف,പങ്കായം
323,Schlitten::N,مزلقة,ഉരുളില്ലാവണ്ടി
324,Ski::N,زلاجة,ഹിമപാദുകം
325,Lagerfeuer::N,نار المخيم,തീ
326,Last::N,حمل,ഭാരം
327,Gang::N,مشية,നടത്തം
328,Schritt::N,خطوة,ചുവട്
329,Norden::N,شمال,വടക്ക്
330,Süden::N,جنوب,തെക്ക്
331,Westen::N,غرب,പടിഞ്ഞാറ്
332,Osten::N,شرق,കിഴക്ക്
333,Holz::N,خشب,തടി
334,Brett::N,لوح,ബോർഡ്
335,Platte::N,صفيحة,തകിട്
336,Stütze::N,سند,താങ്ങ്
337,Stütze::N,دعامة,താങ്ങ്
338,Stange::N,عود,കമ്പ്
339,Stock::N,عصا,വടി
340,Stab::N,قضيب,കുറുവടി
341,Rohr::N,أنبوبة,കുഴൽ
342,Haus::N,دار,വീട്
343,Haus::N,بيت,വീട്
344,Heim::N,بيت,വീട്
345,Heim::N,مسكن,വീട്
346,Ofen::N,مدفأة,സ്റ്റൌ
347,Fußboden::N,أرضية,തറ
348,Tisch::N,مائدة,മേശ
349,Stuhl::N,كرسي,കസേര
350,Wiege::N,مهد,തൊട്ടിൽ
351,Bett::N,سرير,കിടക്ക
352,Regal::N,رف,ഷെൽഫ്
353,Kiste::N,صندوق,പെട്ടി
354,Fenster::N,شباك,ജനൽ
355,Fenster::N,نافذة,ജനൽ
356,Tür::N,باب,വാതിൽ
357,Tor::N,بوابة,കവാടം
358,Zaun::N,سياج,വേലി
359,Dach::N,سطح,മേൽക്കുര
360,Leiter::N,سلم,ഏണി
361,Besen::N,مكنسة,ചൂല്
362,Spaten::N,مسحاة,തൂമ്പ
363,Schaufel::N,مجرفة,തൂമ്പ
364,Gabel::N,شوكة,മുൾക്കത്തി
365,Löffel::N,ملعقة,സ്പൂൺ
366,Messer::N,سكين,കത്തി
367,Nagel::N,مسمار,ആണി
368,Netz::N,شبكة,വല
369,Haken::N,خطاف,കൊളുത്ത്
370,Haken::N,صنارة,കൊളുത്ത്
371,Griff::N,قبضة,കൈപ്പിടി
372,Schloss::N,قفل,പൂട്ട്
373,Bild::N,صورة,ചിത്രം
374,Figur::N,تمثال,കണക്ക്
375,Puppe::N,دمية,പാവ
376,Beutel::N,كيس,ബാഗ്
377,Bündel::N,ربطة,കെട്ട്
378,Tasche::N,شنطة,ബാഗ്
379,Tasche::N,محفظة,ബാഗ്
380,Eimer::N,سطل,ബക്കറ്റ്
381,Eimer::N,جردل,ബക്കറ്റ്
382,Deckel::N,سداد,ഉറ
383,Geschirr::N,أوان,പിഞ്ഞാണം
384,Sack::N,زكيبة,ചാക്ക്
385,Tasse::N,فنجان,കപ്പ്
386,Topf::N,قدر,പാത്രം
387,Topf::N,طنجرة,പാത്രം
388,Kessel::N,قدر,കെറ്റ്ല്
389,Kessel::N,غلاية,കെറ്റ്ല്
390,Essen::N,طعام,ആഹാരസമയം
391,Nahrung::N,غذاء,ഭക്ഷണം
392,Speise::N,أكل,ഡിഷ്
393,Fleisch::N,لحم,മാംസം
394,Getreide::N,حبوب,ചോളം
395,Brei::N,عصيدة,കഞ്ഞി
396,Brot::N,خبز,റോട്ടി
397,Scheibe::N,شريحة,തുണ്ട്
398,Fett::N,سمن,കൊഴുപ്പ്
399,Butter::N,زبدة,വെണ്ണ
400,Öl::N,زيت,എണ്ണ
401,Salz::N,ملح,ഉപ്പ്
402,Suppe::N,حساء,സൂപ്പ്
403,Suppe::N,شربة,സൂപ്പ്
404,Honig::N,عسل,തേൻ
405,Milch::N,حليب,പാൽ
406,Tee::N,شاي,ചായ
407,Leder::N,جلد,തുകൽ
408,Wolle::N,صوف,കമ്പിളി
409,Stoff::N,قماش,തുണി
410,Nadel::N,إبرة,സൂചി
411,Faden::N,خيط,നൂല്
412,Knopf::N,زر,ബട്ടൺ
413,Knoten::N,عقدة,കുരുക്ക്
414,Farbe::N,صبغة,പെയിൻറ്
415,Kleidung::N,ملابس,വസ്ത്രങ്ങൾ
416,Hemd::N,قميص,ഷർട്ട്
417,Kragen::N,ياقة,കുപ്പായക്കഴുത്ത്
418,Ärmel::N,كم,കുപ്പായക്കൈ
419,Hose::N,سروال,ട്രൌസർ
420,Hose::N,بنطلون,ട്രൌസർ
421,Gürtel::N,حزام,ബെൽറ്റ്
422,Mütze::N,طاقية,തൊപ്പി
423,Schuh::N,حذاء,ഷൂ
424,Stiefel::N,جزمة,ബൂട്ട്
425,Stiefel::N,حذاء طويل,ബൂട്ട്
426,Ring::N,حلقة,മോതിരം
427,Band::N,شريط,റിബൺ
428,Kamm::N,مشط,ചീപ്പ്
429,Spiegel::N,مرآة,കണ്ണാടി
430,Riemen::N,سير,സ്ട്രാപ്പ്
431,Schnur::N,حبل,ചരട്
432,Schnur::N,دوبارة,ചരട്
433,Leine::N,قيد,കെട്ടാനുള്ള തോൽവാർ
434,Decke::N,بطانية,പുതപ്പ്
435,Kissen::N,وسادة,തലയിണ
436,Tuch::N,منديل,സ്കാർഫ്
437,Handtuch::N,فوطة,തോർത്ത്
438,Handtuch::N,منشفة,തോർത്ത്
439,Kraft::N,قدرة,ശക്തി
440,Stärke::N,قوة,ശക്തി
441,Gesundheit::N,صحة,ആരോഗ്യം
442,Krankheit::N,مرض,അസുഖം
443,Schmerz::N,ألم,വേദന
444,Schmerz::N,وجع,വേദന
445,Wunde::N,جرح,മുറിവ്
446,Fieber::N,حمى,പനി
447,Arznei::N,دواء,മരുന്ന്
448,Brücke::N,جسر,പാലം
449,Brunnen::N,بئر,കിണർ
450,Weide::N,مرعى,മേച്ചൽ
451,Pfad::N,درب,വഴി
452,Weg::N,سكة,വഴി
453,Straße::N,طريق,റോഡ്
454,Dorf::N,قرية,ഗ്രാമം
455,Stadt::N,مدينة,നഗരം
456,Brief::N,خطاب,കത്ത്
457,Brief::N,مكتوب,കത്ത്
458,Buch::N,كتاب,പുസ്തകം
459,Buchstabe::N,حرف,അക്ഷരം
460,Zeitung::N,جريدة,വർത്തമാനപത്രം
461,Leben::N,عيش,ജീവൻ
462,Leben::N,حياة,ജീവൻ
463,Tod::N,موت,മരണം
464,Tod::N,وفاة,മരണം
465,Grab::N,قبر,ശവക്കുഴി
466,Kirche::N,كنيسة,പള്ളി
467,Sünde::N,خطيئة,പാപം
468,Gott::N,إله,ദൈവം
469,Arbeiter::N,عامل,ജോലിക്കാരൻ
470,Chef::N,رئيس,മേധാവി
471,Meister::N,أسطى,യജമാനൻ
472,Arzt::N,طبيب,ഡോക്ടർ
473,Lehrer::N,مدرس,അധ്യാപകൻ
474,Geld::N,نقود,പണം
475,Geschäft::N,صفقة,ബിസിനസ്
476,Laden::N,دكان,കട
477,Preis::N,سعر,വില
478,Ware::N,بضاعة,ചരക്ക്
479,Nutzen::N,فائدة,ലാഭം
480,Reichtum::N,غنى,ധനം
481,Reichtum::N,ثروة,ധനം
482,Welt::N,عالم,ലോകം
483,Welt::N,دنيا,ലോകം
484,Land::N,بلد,രാജ്യം
485,Staat::N,دولة,രാജ്യം
486,König::N,ملك,രാജാവ്
487,Macht::N,سلطة,അധികാരം
488,Grenze::N,حدود,അതിർത്തി
489,Krieg::N,حرب,യുദ്ധം
490,Feind::N,عدو,ശത്രു
491,Gewalt::N,عنف,അക്രമം
492,Kampf::N,قتال,പോരാട്ടം
493,Bogen[Waffe]::N,قوس,വില്ല്
494,Pfeil::N,سهم,അമ്പ്
495,Gewehr::N,بندقية,തോക്ക്
496,Fehler::N,خطأ,പിശക്
497,Lüge::N,كذب,കള്ളം
498,Schaden::N,تلف,കേടുപാട്
499,Unglück::N,نحس,ദൌർഭാഗ്യം
500,Schuld::N,ذنب,തെറ്റ്
501,Alter::N,سن,വയസ്സ്
502,Alter::N,عمر,വയസ്സ്
503,Schluss::N,ختام,നിഗമനം
504,Schluss::N,نهاية,നിഗമനം
505,Zeit::N,وقت,സമയം
506,Tag::N,يوم,ദിവസം
507,Morgen::N,صباح,പ്രഭാതം
508,Mittag::N,ظهر,ഉച്ച
509,Abend::N,مساء,സായാഹ്നം
510,Nacht::N,ليلة,രാത്രി
511,Woche::N,أسبوع,ആഴ്ച
512,Monat::N,شهر,മാസം
513,Jahr::N,عام,വർഷം
514,Jahr::N,سنة,വർഷം
515,Frühling::N,ربيع,വസന്തം
516,Sommer::N,صيف,വേനൽ
517,Herbst::N,خريف,ശരത്കാലം
518,Winter::N,شتاء,ശൈത്യം
519,Januar::N,يناير,ജനുവരി
520,Januar::N,كانون الثاني,ജനുവരി
521,Februar::N,شباط,ഫെബ്രുവരി
522,Februar::N,فبراير,ഫെബ്രുവരി
523,März::N,آذار,മാർച്ച്
524,März::N,مارس,മാർച്ച്
525,April::N,نيسان,ഏപ്രിൾ മാസം
526,Mai::N,مايو,മെയ് മാസം
527,Juni::N,يونيو,ജൂൺ
528,Juni::N,حزيران,ജൂൺ
529,Juli::N,تموز,ജൂലൈ
530,Juli::N,يوليو,ജൂലൈ
531,August::N,آب,ആഗസ്റ്റ്
532,August::N,أغسطس,ആഗസ്റ്റ്
533,September::N,أيلول,സെപ്തംബർ
534,September::N,سبتمبر,സെപ്തംബർ
535,Oktober::N,أكتوبر,ഒക്ടോബർ
536,Oktober::N,تشرين الأول,ഒക്ടോബർ
537,November::N,نوفمبر,നവംബർ
538,November::N,تشرين الثاني,നവംബർ
539,Dezember::N,ديسمبر,ഡിസംബർ
540,Dezember::N,كانون الأول,ഡിസംബർ
541,Montag::N,يوم الاثنين,തിങ്കളാഴ്ച
542,Dienstag::N,يوم الثلاثاء,ചൊവ്വ
543,Mittwoch::N,يوم الأربعاء,ബുധനാഴ്ച
544,Donnerstag::N,يوم الخميس,വ്യാഴാഴ്ച
545,Freitag::N,يوم الجمعة,വെള്ളിയാഴ്ച
546,Samstag::N,يوم السبت,ശനിയാഴ്ച
547,Sonntag::N,يوم الأحد,ഞായറാഴ്ച
548,groß::A,كبير,വലിയ
549,klein::A,صغير,ചെറിയ
550,lang::A,طويل,നീണ്ട
551,kurz::A,قصير,ഹ്രസ്വമായ
552,breit::A,واسع,വിശാലമായ
553,schmal::A,ضيق,ഇടുങ്ങിയ
554,dicht::A,كث,നിബിഡമായ
555,dicht::A,كثيف,നിബിഡമായ
556,dick[Gegenstand]::A,غليظ,തടിച്ച
557,dünn::A,رفيع,മെലിഞ്ഞ
558,fein::A,رقيق,നേർത്ത
559,fest::A,متين,ഉറപ്പുള്ള
560,flach::A,سهل,പരന്ന
561,flach::A,منبسط,പരന്ന
562,glatt::A,ناعم,മിനുസമുള്ള
563,hart::A,صلب,കട്ടിയുള്ള
564,hart::A,جامد,കട്ടിയുള്ള
565,weich::A,لين,മൃദുവായ
566,rund::A,مستدير,വട്ടത്തിലുള്ള
567,spitz::A,مدبب,മുനയുള്ള
568,scharf::A,حاد,മൂർച്ചയുള്ള
569,stumpf::A,ثالم,തുറന്നടിക്കുന്ന
570,schwer::A,ثقيل,ഭാരമുള്ള
571,schön::A,جميل,മനോഹരമായ
572,heiß::A,حار,ചൂടുള്ള
573,heiß::A,ساخن,ചൂടുള്ള
574,warm::A,دافئ,ചൂടുള്ള
575,kalt::A,بارد,തണുത്ത
576,kühl::A,قر,തണുപ്പുള്ള
577,frisch::A,طازج,ശുദ്ധമായ
578,feucht::A,رطب,ഈറനുള്ള
579,nass::A,مبلول,നനഞ്ഞ
580,trocken::A,جاف,വരണ്ട
581,voll::A,ملء,നിറയെ
582,leer::A,خال,ഒഴിഞ്ഞ
583,leer::A,فارغ,ഒഴിഞ്ഞ
584,offen::A,مفتوح,തുറന്ന
585,geschlossen::A,مغلق,അടച്ച
586,sauber::A,نظيف,വൃത്തിയുള്ള
587,schmutzig::A,قذر,അഴുക്കുനിറഞ്ഞ
588,roh::A,نيء,അസംസ്കൃതമായ
589,reif::A,ناضج,പഴുത്ത
590,lecker::A,لذيذ,രുചികരമായ
591,süß::A,حلو,മധുരമുള്ള
592,bitter::A,مر,കടുത്ത
593,sauer::A,حامض,പുളിപ്പുള്ള
594,hell::A,نير,ജ്വലിക്കുന്ന
595,dunkel::A,مظلم,ഇരുണ്ട
596,schwarz::A,أسود,കറുത്ത
597,weiß::A,أبيض,വെളുത്ത
598,rot::A,أحمر,ചുവന്ന
599,gelb::A,أصفر,മഞ്ഞനിറമായ
600,blau::A,أزرق,നീലനിറമുള്ള
601,grün::A,أخضر,പച്ചനിറമുള്ള
602,grau::A,رمادي,ചാരനിറത്തിലുള്ള
603,bunt::A,ملوب,വർണ്ണശബളമായ
604,billig::A,رخيص,വിലകുറഞ്ഞ
605,teuer::A,غال,ചെലവേറിയ
606,wertvoll::A,ثمين,വിലപിടിപ്പുള്ള
607,blind::A,أعمى,അന്ധനായ
608,taub::A,أصم,കേൾവിക്കുറവുള്ള
609,taub::A,أطرش,കേൾവിക്കുറവുള്ള
610,kräftig::A,قوي,ശക്തിയുള്ള
611,stark::A,قوي,ബലമുള്ള
612,schwach::A,ضعيف,ക്ഷീണിച്ച
613,fett::A,سمين,കൊഴുപ്പുള്ള
614,schlank::A,أهيف,മെലിഞ്ഞ
615,hübsch::A,جميل,മനോഹരമായ
616,böse::A,رديء,പാപിയായ
617,dumm::A,أبله,വിവരംകെട്ട
618,dumm::A,أحمق,വിവരംകെട്ട
619,faul::A,كسلان,അലസനായ
620,fleißig::A,مجتهد,അദ്ധ്വാനശീലമുള്ള
621,geizig::A,بخيل,പിശുക്കനായ
622,klug::A,ذكي,ബുദ്ധിസാമർഥ്യമുള്ള
623,klug::A,عاقل,ബുദ്ധിസാമർഥ്യമുള്ള
624,geschickt::A,ماهر,പ്രതിഭാശാലി
625,lieb::A,عزيز,പ്രിയപ്പെട്ട
626,lustig::A,مرح,ആനന്ദകരമായ
627,sanft::A,حليم,സൌമ്യമായ
628,hungrig::A,جائع,വിശപ്പുള്ള
