,Concept_ID,hu,ta
109,Berg::N,hegy,மலை
110,Gipfel::N,csúcs,உச்சி மாநாடு
111,Höhle::N,barlang,குகை
112,Abhang::N,lejtő,சரிவு
113,Quelle::N,forrás,மூலம்
114,Bach::N,patak,ஓடை
115,Fluss::N,folyó,ஆறு
116,Ufer::N,part,நீர்க்கரை
117,Küste::N,tengerpart,கடற்கரை
118,Festland::N,szárazföld,நிலம்
119,Meer::N,tenger,கடல்
120,Bucht::N,öböl,சிறுகுடா
121,Insel::N,sziget,தீவு
122,Blume::N,virág,பூ
123,Gras::N,fű,புல்தரை
124,Wurzel::N,gyökér,வேர்
125,Baum::N,fa,மரம்
126,Stamm::N,tő,அடிமரம்
127,Stamm::N,törzs,அடிமரம்
128,Rinde::N,kéreg,பட்டை
129,Rinde::N,kéreg,மரப்பட்டை
130,Ast::N,ág,கினை
131,Zweig::N,gally,குச்சி
132,Blatt::N,levél,இலை
133,Birke::N,nyír,பிர்ச் மரம்
134,Kiefer[Baum]::N,fenyő,தேவதாரு மரம்
135,Weide[Baum]::N,fűz,மர வகைகளுள் ஒன்று
136,Tanne::N,fenyő,சாதிக்கய்
137,Horn::N,szarv,கொம்பு
138,Feder::N,toll,இறகு
139,Fell::N,szőr,மென்முடி
140,Fell::N,bunda,மென்முடி
141,Flügel::N,szárny,இறக்கை
142,Klaue::N,köröm,நகம்
143,Kralle::N,karom,நகம்
144,Schwanz::N,farok,வால்
145,Ei::N,tojás,முட்டை
146,Nest::N,fészek,கூடு
147,Bau::N,odú,குகை
148,Tier::N,állat,விலங்கு
149,Herde::N,nyáj,கூட்டம்
150,Herde::N,csorda,கூட்டம்
151,Kuh::N,tehén,பசு
152,Bulle::N,bika,காளை
153,Pferd::N,ló,குதிரை
154,Schaf::N,juh,செம்மறிஆடு
155,Schaf::N,birka,செம்மறிஆடு
156,Schwein::N,sertés,பன்றி
157,Hund::N,eb,நாய்
158,Hund::N,kutya,நாய்
159,Katze::N,macska,பூனை
160,Bär::N,medve,கரடி
161,Eichhörnchen::N,mókus,அணில்
162,Elch::N,jávorszarvas,கடம்பை
163,Fuchs::N,róka,நரி
164,Hase::N,nyúl,முயல்
165,Maus::N,egér,எலி
166,Wolf::N,farkas,ஓநாய்
167,Vogel::N,madár,பறவை
168,Schwarm::N,raj,தொகுதி
169,Huhn::N,tyúk,கோழிக்குஞசு
170,Hahn::N,kakas,சேவல்
171,Gans::N,lúd,பெண் வாத்து
172,Gans::N,liba,பெண் வாத்து
173,Adler::N,sas,பருநது
174,Ente::N,kacsa,வாத்து
175,Eule::N,bagoly,ஆந்தை
176,Kranich::N,daru,நாரை
177,Krähe::N,varjú,காகம்
178,Kuckuck::N,kakukk,குயில்
179,Schwan::N,hattyú,அன்னம்
180,Fisch::N,hal,மீன்
181,Barsch::N,sügér,பேர்ச்
182,Hecht::N,csuka,கோலாச்சி மீன்
183,Schlange[Tier]::N,kígyó,பாம்பு
184,Wurm::N,kukac,புழு
185,Spinne::N,pók,சிலந்தி
186,Ameise::N,hangya,எறும்பு
187,Laus::N,tetű,பேன்
188,Mücke::N,szúnyog,கொசுவினப்பூச்சி
189,Fliege::N,légy,ஈ
190,Schmetterling::N,lepke,வண்ணத்துப்பூச்சி
191,Schmetterling::N,pillangó,வண்ணத்துப்பூச்சி
192,Beere::N,bogyó,சதைப்பழம்
193,Apfel::N,alma,ஆப்பிள பழம்
194,Pilz::N,gomba,காளான்
195,Zwiebel::N,hagyma,வெங்காயம்
196,Saat::N,vetőmag,விதை
197,Korn::N,mag,தானியம்
198,Korn::N,szem,தானியம்
199,Heu::N,széna,வைக்கோல்
200,Schale::N,héj,தோல்
201,Grube::N,verem,குழி
202,Falle::N,csapda,பொறி
203,Schlinge::N,tőr,கண்ணி
204,Spur::N,nyom,சுவடு
205,Asche::N,hamu,சாம்பல்
206,Dreck::N,sár,அழுக்கு
207,Dreck::N,piszok,அழுக்கு
208,Eisen::N,vas,இரும்பு
209,Gold::N,arany,தங்கம்
210,Silber::N,ezüst,வெள்ளி
211,Kohle::N,szén,நிலக்கரி
212,Glas::N,üveg,கண்ணாடி
213,Lehm::N,agyag,களிமண்
214,Lehm::N,vályog,களிமண்
215,Sand::N,homok,மணல்
216,Mensch::N,ember,மனிதர்கள்
217,Mann::N,úr,மனிதன்
218,Mann::N,férfi,மனிதன்
219,Frau::N,nő,பெண்
220,Frau::N,asszony,பெண்
221,Kind::N,gyerek,குழந்தை
222,Kind::N,gyermek,குழந்தை
223,Junge::N,fiú,பையன்
224,Mädchen::N,lány,சிறுமி
225,Familie::N,család,குடும்பம்
226,Großvater::N,nagyapa,தாத்தா
227,Großmutter::N,nagyanya,பாட்டி
228,Eltern::N,szülők,பெற்றோர்
229,Vater::N,apa,தந்தை
230,Vater::N,atya,தந்தை
231,Mutter::N,anya,தாய்
232,Sohn::N,fiú,மகன்
233,Tochter::N,lány,மகள்
234,Bruder::N,fivér,சகோதரன்
235,Bruder::N,testvér,சகோதரன்
236,Schwester::N,nővér,அக்கா
237,Schwester::N,lánytestvér,அக்கா
238,Onkel::N,nagybácsi,தாய் மாமன்
239,Tante::N,nagynéni,அத்தை
240,Ehemann::N,férj,கணவன்
241,Ehefrau::N,feleség,மனைவி
242,Freude::N,öröm,கொண்டாட்டம்
243,Gelächter::N,nevetés,சிரிப்பு
244,Gelächter::N,hahotázás,சிரிப்பு
245,Glück::N,boldogság,மகிழ்ச்சி
246,Kummer::N,bánat,துயரம்
247,Wunsch::N,óhaj,விருப்பம்
248,Lust::N,kedv,விருப்பம்
249,Geist::N,elme,ஆன்மா
250,Geist::N,szellem,ஆன்மா
251,Gedanke::N,gondolat,எண்ணம்
252,Gedächtnis::N,emlékezet,ஞாபகம்
253,Verstand::N,ész,மனம்
254,Verstand::N,értelem,மனம்
255,Sinn::N,értelem,அர்த்தம்
256,Grund::N,ok,காரணம்
257,Grund::N,alap,காரணம்
258,Wahrheit::N,igaz,உண்நை
259,Wahrheit::N,igazság,உண்நை
260,Gespräch::N,beszélgetés,பெசு
261,Märchen::N,mese,நம்பத்தகாத கதை
262,Erzählung::N,elbeszélés,கதை
263,Nachricht::N,hír,செய்தி
264,Nachricht::N,híradás,செய்தி
265,Neuigkeit::N,újság,செய்தி
266,Name::N,név,பெயர்
267,Rätsel::N,rejtvény,புதிர்
268,Rede::N,beszéd,பேச்சு
269,Rede::N,szónoklat,பேச்சு
270,Sprache::N,nyelv,மொழி
271,Stimme::N,hang,குரல்
272,Wort::N,szó,வார்த்தை
273,Zeichen::N,jel,குறி
274,Ruf::N,kiáltás,அழைப்பு
275,Lärm::N,zaj,சத்தம்
276,Laut::N,hang,ஒலி
277,Ton::N,hang,குரல்
278,Lied::N,dal,பாட்டு
279,Lied::N,ének,பாட்டு
280,Ruhe::N,csend,அமைதி
281,Ruhe::N,nyugalom,அமைதி
282,Leute::N,emberek,மக்கள்
283,Volk::N,nép,மக்கள்
284,Arbeit::N,dolog,வேலை
285,Gast::N,vendég,விருந்தாளி
286,Geschenk::N,ajándék,பரிசுப் பொருள்
287,Spiel::N,játék,விளையாட்டு
288,Gesellschaft::N,társaság,சமுதாயம்
289,Hilfe::N,segítség,உதவி
290,Freund::N,barát,நண்பன்
291,Kamerad::N,társ,உடனிருப்பவன்
292,Angelegenheit::N,ügy,செய்தி
293,Anzahl::N,szám,எண்ணிக்கை
294,Art::N,faj,வகை
295,Art::N,fajta,வகை
296,Stück::N,darab,துண்டம்
297,Teil::N,rész,பகுதி
298,Hälfte::N,fél,பாதி
299,Kreis::N,kör,வட்டம்
300,Kreuz::N,kereszt,சிலுவை
301,Linie::N,vonal,கோடு
302,Strich::N,vonás,வாத நோய்
303,Abstand::N,köz,இடைவெளி
304,Entfernung::N,távolság,தூரம்
305,Gegend::N,táj,வட்டாரம்
306,Gegend::N,vidék,வட்டாரம்
307,Platz::N,hely,வெற்றிடம்
308,Ort::N,hely,இடம்
309,Seite::N,fél,பக்கம்
310,Seite::N,oldal,பக்கம்
311,Mitte::N,közép,இடைப்பகுதி
312,Gegenstand::N,tárgy,உருப்படி
313,Sache::N,dolog,பொருள்
314,Rand::N,szél,தொங்கு
315,Rand::N,perem,தொங்கு
316,Rand::N,szegély,தொங்கு
317,Kante::N,él,விளிம்பு
318,Ecke::N,sarok,மூலை
319,Ecke::N,szöglet,மூலை
320,Spitze::N,csúcs,முனை
321,Ende::N,vég,முடிவு
322,Loch::N,lyuk,துளை
323,Winkel::N,szög,கோணம்
324,Muster::N,minta,பாங்கு
325,Größe::N,nagyság,அளவு
326,Länge::N,hossz,நீளம்
327,Länge::N,hosszúság,நீளம்
328,Höhe::N,magasság,உயரம்
329,Gewicht::N,súly,எடை
330,Menge::N,sokaság,தொகை
331,Menge::N,mennyiség,தொகை
332,Haufen::N,halom,குவியல்
333,Reihe::N,sor,வரிசை
334,Boot::N,csónak,படகு
335,Ruder::N,evező,துடுப்பு
336,Schlitten::N,szánkó,சகடையிலா வண்டி
337,Ski::N,sí,பனிச் சறுக்கல்
338,Lagerfeuer::N,tábortűz,மூட்டம்
339,Last::N,teher,பாரம்
340,Gang::N,járás,நடை
341,Schritt::N,lépés,காலடி
342,Norden::N,észak,வடக்கு
343,Süden::N,dél,தெற்கு
344,Westen::N,nyugat,மேற்கு திசை
345,Osten::N,kelet,கிழக்கு
346,Holz::N,fa,மரக்கட்டை
347,Brett::N,deszka,பலகை
348,Platte::N,lap,பலகம்
349,Platte::N,lemez,பலகம்
350,Stütze::N,támasz,அடைப்புகன்
351,Stütze::N,támaszték,அடைப்புகன்
352,Stange::N,rúd,கம்பம்
353,Stange::N,pózna,கம்பம்
354,Stock::N,pálca,குச்சி
355,Stab::N,bot,கம்பு
356,Rohr::N,cső,குழாய்
357,Haus::N,ház,வீடு
358,Heim::N,otthon,வீடு
359,Ofen::N,kályha,அடுப்பு
360,Fußboden::N,padló,தரை
361,Tisch::N,asztal,மேசை
362,Stuhl::N,szék,நாற்காலி
363,Wiege::N,bölcső,தொட்டில்
364,Bett::N,ágy,படுக்கை
365,Regal::N,polc,அலமாரி
366,Regal::N,állvány,அலமாரி
367,Kiste::N,láda,பெட்டி
368,Fenster::N,ablak,சாளரம்
369,Tür::N,ajtó,கதவு
370,Tor::N,kapu,வாசற்கதவு
371,Zaun::N,kerítés,வேலி
372,Dach::N,tető,கூரை
373,Leiter::N,létra,ஏணி
374,Besen::N,seprű,விளக்குமாறு
375,Spaten::N,ásó,மண்வெட்டி
376,Schaufel::N,lapát,அடிதண்டா
377,Gabel::N,villa,முட்கரண்டி
378,Löffel::N,kanál,கரண்டி
379,Messer::N,kés,கத்தி
380,Nagel::N,szeg,ஆணி
381,Netz::N,háló,வலை
382,Haken::N,kampó,கொக்கி
383,Griff::N,nyél,கைப்பிடி
384,Griff::N,fogantyú,கைப்பிடி
385,Schloss::N,zár,பூட்டு
386,Bild::N,kép,படம்
387,Figur::N,alak,எண்ணிக்கை
388,Puppe::N,bábu,பொம்மை
389,Beutel::N,zacskó,பை
390,Bündel::N,köteg,பொதி
391,Tasche::N,táska,பை
392,Eimer::N,vödör,வாளி
393,Deckel::N,fedő,உறை
394,Deckel::N,fedél,உறை
395,Geschirr::N,edény,பாத்திரம்
396,Sack::N,zsák,பை
397,Tasse::N,csésze,கிண்ணம்
398,Topf::N,fazék,பானை
399,Kessel::N,üst,கெண்டி
400,Kessel::N,bogrács,கெண்டி
401,Essen::N,evés,உணவருந்துதல்
402,Essen::N,étkezés,உணவருந்துதல்
403,Nahrung::N,ennivaló,உணவு
404,Speise::N,étel,உணவு வகை
405,Fleisch::N,hús,இறைச்சி
406,Getreide::N,gabona,மக்காச்சோளம்
407,Brei::N,pép,கஞ்சி
408,Brei::N,kása,கஞ்சி
409,Brot::N,kenyér,ரொட்டி
410,Scheibe::N,szelet,துண்டு
411,Fett::N,háj,கொழுப்பு
412,Fett::N,zsír,கொழுப்பு
413,Butter::N,vaj,வெண்ணெய்
414,Öl::N,olaj,எண்ணெய்
415,Salz::N,só,உப்பு
416,Suppe::N,leves,ரசம்
417,Honig::N,méz,தேன்
418,Milch::N,tej,பால்
419,Tee::N,tea,தெனீர்
420,Leder::N,bőr,பதம் செய்யப்பட்ட தோல்
421,Wolle::N,gyapjú,கம்பளி
422,Stoff::N,szövet,துணி
423,Nadel::N,tű,ஊசி
424,Faden::N,fonál,நூல்
425,Knopf::N,gomb,பொத்தான்
426,Knoten::N,csomó,முடிச்சு
427,Farbe::N,szín,வண்ணக் குழம்பு
428,Farbe::N,festék,வண்ணக் குழம்பு
429,Kleidung::N,ruha,ஆடைகள்
430,Kleidung::N,ruházat,ஆடைகள்
431,Hemd::N,ing,சட்டை
432,Kragen::N,gallér,கழுத்துப் பட்டை
433,Ärmel::N,ujj,சட்டைக்கை
434,Hose::N,gatya,கால்சட்டை
435,Hose::N,nadrág,கால்சட்டை
436,Gürtel::N,öv,பெல்ட்
437,Mütze::N,sapka,தொப்பி
438,Schuh::N,cipő,காலணி
439,Stiefel::N,csizma,காலணி
440,Ring::N,gyűrű,மோதிரம்
441,Band::N,szalag,நாடா
442,Kamm::N,fésű,கீப்பு
443,Spiegel::N,tükör,ஆடி
444,Spiegel::N,tükör,கண்ணாடி
445,Riemen::N,szíj,வார்
446,Schnur::N,zsinór,கயிறு
447,Leine::N,póráz,தோல்வார்
448,Decke::N,takaró,போர்வை
449,Kissen::N,párna,தலையணை
450,Tuch::N,kendő,துணி
451,Handtuch::N,törülköző,தண்டு
452,Kraft::N,erő,நிர்பந்தம்
453,Stärke::N,erő,பலம்
454,Stärke::N,erősség,பலம்
455,Gesundheit::N,egészség,ஆரோக்கியம்
456,Krankheit::N,kór,நோய்
457,Krankheit::N,betegség,நோய்
458,Schmerz::N,fájdalom,வலி
459,Wunde::N,seb,காயம்
460,Fieber::N,láz,காய்ச்சல்
461,Arznei::N,orvosság,மருந்து
462,Arznei::N,gyógyszer,மருந்து
463,Brücke::N,híd,பாலம்
464,Brunnen::N,kút,கேணி
465,Weide::N,legelő,மேய்ச்சல் நிலம்
466,Pfad::N,ösvény,நடை வழி
467,Weg::N,út,வழி
468,Straße::N,út,சாலை
469,Dorf::N,falu,கிராமம்
470,Stadt::N,város,நகரம்
471,Brief::N,levél,கடிதம்
472,Buch::N,könyv,புத்தகம்
473,Buchstabe::N,betű,எழத்து
474,Zeitung::N,újság,செய்தித்தாள்
475,Zeitung::N,hírlap,செய்தித்தாள்
476,Leben::N,élet,வாழ்க்கை
477,Tod::N,halál,மரணம்
478,Grab::N,sír,சமாதி
479,Kirche::N,templom,தேவாலயம்
480,Sünde::N,bűn,பாவம்
481,Sünde::N,vétek,பாவம்
482,Gott::N,isten,கடவுள்
483,Arbeiter::N,munkás,தொழிலாளி
484,Chef::N,főnök,மேலாளர்
485,Meister::N,mester,தலைவன்
486,Arzt::N,orvos,மருத்துவர்
487,Lehrer::N,tanár,ஆசிரியர்
488,Lehrer::N,tanító,ஆசிரியர்
489,Geld::N,pénz,பணம்
490,Geschäft::N,üzlet,வாணிபம்
491,Laden::N,bolt,கடை
492,Preis::N,ár,விலை
493,Ware::N,áru,சாமன்கள்
494,Nutzen::N,haszon,இலாபம்
495,Reichtum::N,gazdagság,சொத்து
496,Welt::N,világ,உலகம்
497,Land::N,ország,நாடு
498,Staat::N,állam,நாடு
499,König::N,király,அரசன்
500,Macht::N,hatalom,அதிகாரம்
501,Grenze::N,határ,எல்லை
502,Krieg::N,háború,போர்
503,Feind::N,ellenség,எதிரி
504,Gewalt::N,erőszak,வன்முறை
505,Kampf::N,harc,போராட்டம்
506,Bogen[Waffe]::N,íj,வில்
507,Pfeil::N,nyíl,அம்பு
508,Gewehr::N,puska,துப்பாக்கி
509,Gewehr::N,fegyver,துப்பாக்கி
510,Fehler::N,hiba,தவறு
511,Lüge::N,hazugság,பொய்
512,Schaden::N,kár,சேதாரம்
513,Unglück::N,csapás,இடையூறு
514,Unglück::N,balszerencse,இடையூறு
515,Schuld::N,bűn,குற்றம்
516,Alter::N,kor,வயது
517,Schluss::N,vég,முடிவு
518,Schluss::N,befejezés,முடிவு
519,Zeit::N,idő,காலம்
520,Tag::N,nap,நாள்
521,Morgen::N,reggel,காலை நேரம்
522,Mittag::N,dél,மதியம்
523,Abend::N,este,மாலைப் பொழுது
524,Nacht::N,éj,இரவு
525,Nacht::N,éjszaka,இரவு
526,Woche::N,hét,வாரம்
527,Monat::N,hó,மாதம்
528,Monat::N,hónap,மாதம்
529,Jahr::N,év,வருடம்
530,Frühling::N,tavasz,வசந்தம்
531,Sommer::N,nyár,கோடை
532,Herbst::N,ősz,இலையுதிர் காலம்
533,Winter::N,tél,குளிர்காலம்
534,Januar::N,január,ஜனவரி
535,Februar::N,február,பிபரவரி மாதம்
536,März::N,március,மார்ச் மாதம்
537,April::N,április,ஏப்ரல் மாதம்
538,Mai::N,május,மே மாதம்
539,Juni::N,június,ஜூன் மாதம்
540,Juli::N,július,ஜூலை மாதம்
541,August::N,augusztus,ஆகஸ்ட் மாதம்
542,September::N,szeptember,செப்டம்பர் மாதம்
543,Oktober::N,október,அக்டோபர் மாதம்
544,November::N,november,நவம்பர் மாதம்
545,Dezember::N,december,டிசம்பர்
546,Montag::N,hétfő,திங்கட் கிழமை
547,Dienstag::N,kedd,செவ்வாய்க்கிழமை
548,Mittwoch::N,szerda,புதன் கிழமை
549,Donnerstag::N,csütörtök,வியாழக் கிழமை
550,Freitag::N,péntek,வெள்ளிக்கிழமை
551,Samstag::N,szombat,சனிக்கிழமை
552,Sonntag::N,vasárnap,ஞாயிறுக் கிழமை
553,groß::A,nagy,பெரிய
554,klein::A,pici,சிறிய
555,klein::A,kicsi,சிறிய
556,lang::A,hosszú,நீண்ட
557,kurz::A,rövid,குட்டையான
558,breit::A,széles,அகலமான
559,schmal::A,keskeny,குறுகலான
560,dicht::A,sűrű,அடர்த்தியான
561,dick[Gegenstand]::A,vastag,தடித்த
562,dünn::A,vékony,சன்னமான
563,fein::A,vékony,மெல்லிய
564,fest::A,szilárd,உறுதியாள
565,flach::A,sík,தட்டையான
566,flach::A,lapos,தட்டையான
567,glatt::A,sima,வழுவழுப்பான
568,hart::A,kemény,கடினமான
569,weich::A,puha,மென்மையான
570,rund::A,kerek,உருண்டையான
571,spitz::A,hegyes,திகந்தமாக
572,scharf::A,éles,கூரான
573,stumpf::A,tompa,உளம் திறந்த
574,stumpf::A,életlen,உளம் திறந்த
575,schwer::A,nehéz,கனமான
576,schwer::A,súlyos,கனமான
577,schön::A,szép,அழகான
578,heiß::A,forró,சூடான
579,warm::A,meleg,இதமான
580,kalt::A,hideg,குளிர்ச்சியான
581,kühl::A,hűs,குளிர்ச்சியான
582,kühl::A,hűvös,குளிர்ச்சியான
583,frisch::A,üde,சுத்தமான
584,frisch::A,friss,சுத்தமான
585,feucht::A,nedves,ஈரமான
586,nass::A,vizes,ஈரமான
587,trocken::A,száraz,உலர்ந்த
588,voll::A,telt,நிரம்பிய
589,leer::A,üres,காலியான
590,offen::A,nyílt,திறந்த
591,offen::A,nyitott,திறந்த
592,geschlossen::A,zárt,மூடப்பட்ட
593,geschlossen::A,csukott,மூடப்பட்ட
594,sauber::A,tiszta,சுத்தமான
595,schmutzig::A,piszkos,அழக்கான
596,schmutzig::A,szennyes,அழக்கான
597,roh::A,nyers,கச்சா
598,reif::A,érett,பழுத்த
599,lecker::A,finom,சுவைமிக்க
600,süß::A,édes,இனிப்பான
601,bitter::A,keserű,கசப்பான
602,sauer::A,savanyú,புளிப்பாக
603,hell::A,világos,பளபளப்பான
604,dunkel::A,sötét,கருமையான
605,schwarz::A,fekete,கருப்பு வண்ண
606,weiß::A,fehér,வெண்மையன
607,rot::A,vörös,சிவப்பு
608,gelb::A,sárga,மஞ்சள் வண்ணம்
609,blau::A,kék,நீல வண்ண
610,grün::A,zöld,பச்சை வண்ண
611,grau::A,ősz,சாம்பல் நிற
612,grau::A,szürke,சாம்பல் நிற
613,bunt::A,tarka,வண்ண மயமான
614,bunt::A,színes,வண்ண மயமான
615,billig::A,olcsó,மலிவான
616,teuer::A,drága,விலை அதிகமான
617,wertvoll::A,értékes,மதிப்புள்ள
618,blind::A,vak,பார்வையற்ற
619,taub::A,süket,செவிடான
620,kräftig::A,erős,வலிமையான
621,stark::A,erős,பலமான
622,schwach::A,gyenge,பலவீனமான
623,schwach::A,erőtlen,பலவீனமான
624,fett::A,hájas,பருமனாக
625,schlank::A,karcsú,ஒல்லியான
626,hübsch::A,csinos,அழகிய
627,böse::A,rossz,கேடு விளைவிக்கும்
628,böse::A,gonosz,கேடு விளைவிக்கும்
629,dumm::A,buta,முட்டாள்தனமான
630,dumm::A,ostoba,முட்டாள்தனமான
631,faul::A,lusta,சோம்பலான
632,fleißig::A,szorgalmas,ஊக்கந்தளராத
633,geizig::A,fukar,கஞேசத்தனமான
634,geizig::A,fösvény,கஞேசத்தனமான
635,klug::A,okos,சாதுரியமான
636,klug::A,eszes,சாதுரியமான
637,geschickt::A,ügyes,திறமையள்ள
638,lieb::A,drága,அன்புக்குரிய
639,lieb::A,kedves,அன்புக்குரிய
640,lustig::A,víg,களிப்புமிக்க
641,lustig::A,vidám,களிப்புமிக்க
642,sanft::A,enyhe,சாதுவான
643,hungrig::A,éhes,பசியுடன்
644,krank::A,beteg,நோயுற்று
645,nackt::A,csupasz,ஆடையற்ற
646,nackt::A,meztelen,ஆடையற்ற
647,traurig::A,bús,சோகமான
648,traurig::A,szomorú,சோகமான
649,lebendig::A,élő,பிழைப்பு
650,gut::A,jó,நல்ல
651,schlecht::A,rossz,கெட்ட
652,richtig::A,helyes,சரியான
653,schlimm::A,rossz,அருவருப்பான
654,wahr::A,igaz,உண்மையான
655,alt::A,ó,பழைய
656,alt::A,régi,பழைய
657,neu::A,új,புதிய
658,ehemalig::A,volt,முன்நாள்
659,ehemalig::A,egykori,முன்நாள்
660,alt[Lebewesen]::A,öreg,வயதான
661,jung::A,fiatal,இளமையான
662,arm::A,szegény,ஏழ்மையான
663,reich::A,gazdag,செல்வம் படைத்த
664,bekannt::A,ismert,பழக்கப்பட்ட
665,bekannt::A,ismeretes,பழக்கப்பட்ட
666,berühmt::A,híres,புகழ்பெற்ற
667,fremd::A,idegen,அயல் நாட்டு
668,verschieden::A,különböző,வித்தியாசமான
669,nah::A,közeli,பக்கத்தில் உள்ள
670,fern::A,távoli,தொலை தூரத்தில்
671,linker::A,bal,மீந்திருக்கும்
672,rechter::A,jobb,வலதுபக்கம்
673,anderer::A,más,மற்ற
674,anderer::A,másik,மற்ற
675,erster::A,első,முதனமையான
676,zweiter::A,második,இரண்டாவது
677,dritter::A,harmadik,மூன்றாவது
678,letzter::A,utolsó,கடைசி
679,allein::ADV,egyedül,தனியாக
680,auf einmal::ADV,egyszerre,தடீரென்று
681,zusammen::ADV,együtt,சேர்ந்து
682,zusammen::ADV,összesen,சேர்ந்து
683,lange::ADV,sokáig,அதிக நோம்
684,lange::ADV,hosszan,அதிக நோம்
685,plötzlich::ADV,hirtelen,தடீரென்று
686,plötzlich::ADV,egyszerre,தடீரென்று
687,sofort::ADV,rögtön,உடனடியாக
688,sofort::ADV,tüstént,உடனடியாக
689,später::ADV,későn,பிறகு
690,jetzt::ADV,most,இப்பொழது
691,heute::ADV,ma,இன்று
692,morgen::ADV,holnap,நாளைக்கு
693,bald::ADV,majd,சீக்கிரம்
694,bald::ADV,nemsokára,சீக்கிரம்
695,dann::ADV,akkor,அப்பொழுது
696,gestern::ADV,tegnap,நேற்று
697,einst::ADV,hajdan,ஒரே முறை
698,damals::ADV,akkor,அப்பொழுது
