,Concept_ID,no,myv
472,Schuh::N,sko,туфля
473,Stiefel::N,støvel,кем
474,Ring::N,ring,суркс
475,Band::N,band,лента
476,Kamm::N,kam,сурсеме
477,Spiegel::N,speil,чавачамо
478,Riemen::N,rem,кшнань каркс
479,Schnur::N,snor,пикс
480,Leine::N,line,ведьме
481,Decke::N,teppe,вельтямо
482,Kissen::N,pute,тодов
483,Tuch::N,tøy,паця
484,Handtuch::N,håndkle,нардамо
485,Kraft::N,kraft,вий
486,Stärke::N,styrke,виевчи
487,Gesundheit::N,helse,шумбрачи
488,Gesundheit::N,sunnhet,шумбрачи
489,Krankheit::N,syke,орма
490,Krankheit::N,syke,сэредема
491,Krankheit::N,sykdom,орма
492,Krankheit::N,sykdom,сэредема
493,Schmerz::N,smerte,сэредькс
494,Wunde::N,sår,керявкс
495,Fieber::N,feber,маштыкс
496,Arznei::N,medisin,ормаменькс
497,Arznei::N,legemiddel,ормаменькс
498,Brücke::N,bro,сэдь
499,Brücke::N,bro,мадамо
500,Brunnen::N,brønn,лисьма
501,Weide::N,beite,ракшань ванома тарка
502,Pfad::N,sti,ян
503,Weg::N,vei,ки
504,Straße::N,gate,ки
505,Dorf::N,landsby,веле
506,Stadt::N,by,ош
507,Brief::N,brev,сёрма
508,Buch::N,bok,книга
509,Buchstabe::N,bokstav,буква
510,Zeitung::N,avis,газета
511,Leben::N,liv,эрямо
512,Tod::N,død,кулома
513,Grab::N,grav,калмо
514,Kirche::N,kirke,церькова
515,Sünde::N,synd,чумочи
516,Gott::N,gud,паз
517,Arbeiter::N,arbeider,робочей
518,Chef::N,sjef,прявт
519,Meister::N,mester,кол тевень тенця
520,Arzt::N,lege,врач
521,Lehrer::N,lærer,учитель
522,Lehrer::N,lærer,тонавтыця
523,Geld::N,penger,ярмак
524,Geschäft::N,forretning,ладязь тев
525,Laden::N,butikk,лавка
526,Preis::N,pris,питне
527,Ware::N,vare,миевкс
528,Ware::N,vare,рамавкс
529,Nutzen::N,nytte,паро
530,Nutzen::N,nytte,лезэ
531,Reichtum::N,rikdom,сюпавчи
532,Welt::N,verden,мир
533,Welt::N,verden,мастор ланго
534,Land::N,land,мастор
535,Staat::N,stat,государства
536,König::N,konge,король
537,Macht::N,makt,азорксчи
538,Grenze::N,grense,буен тешкс
539,Krieg::N,krig,война
540,Feind::N,fiende,душман
541,Gewalt::N,vold,нарьгамо
542,Kampf::N,kamp,тюрема
543,Bogen[Waffe]::N,bue,нал
544,Pfeil::N,pil,нал
545,Gewehr::N,gevær,ружия
546,Gewehr::N,gevær,винтовка
547,Fehler::N,feil,ильведькс
548,Fehler::N,feil,ильведевкс
549,Lüge::N,løgn,манчема
550,Lüge::N,løgn,кенгелема
551,Schaden::N,skade,зыян
552,Unglück::N,uhell,зыян
553,Schuld::N,skyld,чумочи
554,Alter::N,alder,шка
555,Schluss::N,slutt,пе
556,Zeit::N,tid,шка
557,Zeit::N,tid,пинге
558,Tag::N,dag,чи
559,Morgen::N,morgen,валске
560,Mittag::N,middag,чикуншка
561,Abend::N,aften,чокшнэ
562,Nacht::N,natt,ве
563,Woche::N,uke,недля
564,Monat::N,måned,ков
565,Jahr::N,år,ие
566,Frühling::N,vår,тундо
567,Sommer::N,sommer,кизэ
568,Herbst::N,høst,сёксь
569,Winter::N,vinter,теле
570,Januar::N,januar,якшамков
571,Februar::N,februar,февраль
572,März::N,mars,март
573,April::N,april,апрель
574,Mai::N,mai,май
575,Juni::N,juni,июнь
576,Juli::N,juli,июль
577,August::N,august,август
578,September::N,september,сентября
579,Oktober::N,oktober,октября
580,November::N,november,ноября
581,Dezember::N,desember,декабря
582,Montag::N,mandag,пондельник
583,Dienstag::N,tirsdag,овторник
584,Mittwoch::N,onsdag,серёда
585,Donnerstag::N,torsdag,цетьверьг
586,Freitag::N,fredag,пеця
