,Concept_ID,fi,sv
298,Märchen::N,satu,saga
299,Erzählung::N,tarina,berättelse
300,Erzählung::N,kertomus,berättelse
301,Nachricht::N,tieto,meddelande
302,Nachricht::N,ilmoitus,meddelande
303,Neuigkeit::N,uutinen,nyhet
304,Name::N,nimi,namn
305,Rätsel::N,arvoitus,gåta
306,Rede::N,puhe,tal
307,Sprache::N,kieli,språk
308,Stimme::N,ääni,stämma
309,Wort::N,sana,ord
310,Zeichen::N,merkki,tecken
311,Ruf::N,kutsu,rop
312,Lärm::N,melu,bråk
313,Lärm::N,melu,oväsen
314,Lärm::N,hälinä,bråk
315,Lärm::N,hälinä,oväsen
316,Laut::N,ääni,ljud
317,Ton::N,sävel,ton
318,Lied::N,laulu,sång
319,Ruhe::N,lepo,ro
320,Ruhe::N,lepo,lugn
321,Ruhe::N,rauha,ro
322,Ruhe::N,rauha,lugn
323,Leute::N,väki,folk
324,Leute::N,ihmiset,folk
325,Volk::N,kansa,folk
326,Arbeit::N,työ,arbete
327,Gast::N,vieras,gäst
328,Geschenk::N,lahja,gåva
329,Geschenk::N,lahja,present
330,Spiel::N,peli,lek
331,Spiel::N,peli,spel
332,Spiel::N,leikki,lek
333,Spiel::N,leikki,spel
334,Gesellschaft::N,seura,sällskap
335,Hilfe::N,apu,hjälp
336,Freund::N,ystävä,vän
337,Kamerad::N,toveri,kamrat
338,Angelegenheit::N,asia,ärende
339,Angelegenheit::N,asia,angelägenhet
340,Anzahl::N,lukumäärä,antal
341,Art::N,laji,art
342,Art::N,laji,slag
343,Stück::N,pala,stycke
344,Stück::N,kappale,stycke
345,Teil::N,osa,del
346,Hälfte::N,puoli,halva
347,Kreis::N,ympyrä,krets
348,Kreis::N,ympyrä,cirkel
349,Kreuz::N,risti,kors
350,Kreuz::N,risti,kryss
351,Linie::N,viiva,linje
352,Strich::N,piirto,streck
353,Abstand::N,väli,avstånd
354,Abstand::N,väljyys,avstånd
355,Entfernung::N,etäisyys,avstånd
356,Gegend::N,seutu,trakt
357,Platz::N,tila,plats
358,Ort::N,kohta,plats
359,Ort::N,kohta,ställe
360,Ort::N,paikka,plats
361,Ort::N,paikka,ställe
