,Concept_ID,te,ku
85,Raureif::N,మంచు,şext
86,Regenbogen::N,ఇంద్రధనుస్సు,heftreng
87,Donner::N,ఉరుము,gire-gir
88,Strömung::N,ప్రవాహము,şewl
89,Tropfen::N,చుక్క,dilop
90,Schaum::N,నురుగు,kef
91,Schmutz::N,మైల,gemar
92,See::N,సరస్సు,gol
93,Sumpf::N,చిత్తడినేల,hezek
94,Moor::N,చిత్తడినేల,mafêl
95,Wiese::N,పచ్చిక బయలు,sûrik
96,Wald::N,అడవి,çiya
97,Wald::N,అడవి,daristan
98,Hügel::N,చివ్నకొండ,gir
99,Anhöhe::N,కొండ,sere gir
100,Berg::N,పర్వతము,kaş
101,Gipfel::N,శిఖరము,sere gir
102,Höhle::N,గుహ,şikeft
103,Abhang::N,ఏటవాలు,kaş
104,Quelle::N,మూలము,kanî
105,Bach::N,కాలువ,çem
106,Fluss::N,నది,çem
107,Fluss::N,నది,rûbar
108,Ufer::N,తీరము,kevî
109,Küste::N,తీరము,berav
110,Festland::N,భూమి,bejahî
111,Meer::N,సముద్రము,behr
112,Bucht::N,మరుగు,derav
113,Insel::N,దీవి,girav
114,Blume::N,పుష్పము,kulînk
115,Gras::N,పచ్చగడ్డి,giha
116,Wurzel::N,వేరు,reh
117,Baum::N,చెట్టు,dar
118,Stamm::N,చెట్టుబోదె,bavik
119,Rinde::N,చెట్టుపట్ట,qaqil
120,Ast::N,కొమ్మ,gulî
121,Zweig::N,చివుకు,şax
122,Blatt::N,ఆకు,pel
123,Birke::N,తరహా చెట్టు,dara sipî
124,Kiefer[Baum]::N,దేవదారు చెట్టు,dara bî
125,Weide[Baum]::N,జాతిచెట్టు,dara belalûk
126,Tanne::N,దేవదారుచెట్టు,merx
127,Horn::N,కొమ్ము,strô
128,Feder::N,ఈక,pîrtîk
129,Fell::N,తోలు,heyar
130,Flügel::N,ఱెక్క,per
131,Klaue::N,వంకరగోరు,napîk
132,Kralle::N,వంకరగోరు,dinik
133,Kralle::N,వంకరగోరు,dirnax
134,Schwanz::N,తోక,dûv
135,Ei::N,గ్రుడ్డు,hêk
136,Nest::N,పక్షిగూడు,hêlîn
137,Bau::N,గుహ,avahî
138,Tier::N,జంతువు,heywan
139,Herde::N,మంద,hoz
140,Kuh::N,ఆవు,çêlek
141,Bulle::N,గిత్త,ga
142,Pferd::N,గుఱ్ఱము,hesp
143,Schaf::N,గొఱ్ఱె,mîh
144,Schwein::N,పంది,beraz
145,Hund::N,కుక్క,seh
146,Katze::N,పిల్లి,pişîk
147,Bär::N,ఎలుగుబంటి,hirç
148,Eichhörnchen::N,ఉడుత,pilûr
149,Elch::N,కణంజు,pazkovî
150,Fuchs::N,గుంటనక్క,rovî
151,Hase::N,కుందేలు,kîroşk
152,Maus::N,చిట్టెలుక,mişk
153,Wolf::N,తోడేలు,gur
154,Vogel::N,పక్షి,çûk
155,Schwarm::N,గుంపు,lufik
156,Huhn::N,కోడిపిల్ల,mirîşk
157,Hahn::N,కోడివుంజు,dîk
158,Gans::N,ఆడుబాతు,qaz
159,Adler::N,గ్రద్ద,eylo
160,Ente::N,పాట్టిబాతు,werdek
161,Eule::N,గ్రుడ్లగూబ,bûm
162,Eule::N,గ్రుడ్లగూబ,kund
163,Kranich::N,కొంగ,quling
164,Krähe::N,కాకి,qijik
165,Kuckuck::N,కోయల,pepûk
166,Schwan::N,హంస,qû
167,Fisch::N,చేప,masî
168,Barsch::N,ఒకచేఁప,okûn
169,Hecht::N,గండుమీను,mesîyê lûf
170,Schlange[Tier]::N,పాము,mar
171,Wurm::N,పురుగు,kurm
172,Spinne::N,సాలె పురుగు,pîrê
173,Ameise::N,చీమ,mîro
174,Ameise::N,చీమ,gêrîk
175,Laus::N,పేను,spi
176,Mücke::N,చీకటీగ,mêş
177,Fliege::N,ఈగ,mêş
178,Schmetterling::N,సీతాకోకచిలుక,perperîk
179,Beere::N,కాయ,hirç
180,Apfel::N,ఆపిల్ పండు,sêv
181,Pilz::N,కుక్కగొడుగు,bîrov
182,Zwiebel::N,నీరుల్లి,pîvaz
183,Saat::N,విత్తనము,tov
184,Korn::N,గింజ,dexl
185,Heu::N,ఎండుగడ్డి,sap
186,Schale::N,పొట్టు,qaşik
187,Grube::N,గొయ్యి,çahl
188,Falle::N,బోను,dafik
189,Schlinge::N,ఉరి,dahf
190,Spur::N,జాడ,rêç
191,Asche::N,బూడిద,xweli
192,Dreck::N,ముఱికి,gemarî
193,Eisen::N,ఇనుము,hesing
194,Gold::N,బంగారము,zêr
195,Silber::N,వెండి,zîv
196,Kohle::N,నేలబొగ్గు,komir
197,Glas::N,గాజు,qedeh
198,Lehm::N,బంకమన్ను,kelpîç
199,Sand::N,ఇసుక,qûm
200,Mensch::N,నరుడు,mirov
201,Mann::N,పురుమడు,mêr
202,Frau::N,ఆడుది,jin
203,Kind::N,బిడ్డ,zarok
204,Junge::N,బాలుడు,kur
205,Mädchen::N,బాలిక,keç
206,Mädchen::N,బాలిక,keçik
207,Familie::N,కుటుంబము,malbat
208,Großvater::N,తాత,bapîr
209,Großmutter::N,అయ్యమ్మ,pîrik
210,Eltern::N,తల్లితండ్రులు,bavudê
211,Vater::N,తండ్రి,bav
212,Mutter::N,తల్లి,dê
213,Mutter::N,తల్లి,dayik
214,Sohn::N,కొడుకు,kur
215,Tochter::N,కూతురు,keç
216,Bruder::N,పోదరుడు,bira
217,Schwester::N,సోదరి,xweh
218,Onkel::N,మేనమామ,am
219,Onkel::N,మేనమామ,xal
220,Tante::N,మేనత్త,metik
221,Tante::N,మేనత్త,xaltîk
222,Tante::N,పినతల్లి,metik
223,Tante::N,పినతల్లి,xaltîk
224,Ehemann::N,భర్త,mêr
225,Ehefrau::N,భార్య,kulfet
226,Freude::N,సంతోషము,kêfxweşî
227,Gelächter::N,నవ్వు,pîrqînî
228,Glück::N,సంతోషము,bext
229,Kummer::N,దుఃఖము,derd
230,Wunsch::N,కోరిక,daxwaz
231,Wunsch::N,కోరిక,xwestek
232,Lust::N,కోరిక,şewq
233,Geist::N,ఆత్మ,aqil
234,Gedanke::N,ఆలోచన,fikir
235,Gedächtnis::N,జ్ఞాపకము,aqil
236,Verstand::N,మనస్సు,fêm
237,Sinn::N,అర్థము,aqil
238,Grund::N,కారణము,asas
239,Wahrheit::N,సత్యము,rastî
240,Gespräch::N,పంభాషణ,guftûgo
241,Märchen::N,అద్భుతకథ,çirok
242,Erzählung::N,కథ,çirok
243,Erzählung::N,కథ,vegotin
244,Nachricht::N,వార్త,nûçe
245,Neuigkeit::N,వార్త,hewal
246,Name::N,పేరు,nav
247,Name::N,పేరు,paşnav
248,Rätsel::N,చిక్కు,tiştonek
249,Rede::N,ఉపన్యాసము,gotar
250,Rede::N,ఉపన్యాసము,axavtin
251,Sprache::N,భాష,ziman
252,Stimme::N,కంరథ్సని,pejn
253,Wort::N,మాట,gotin
254,Zeichen::N,గుర్తు,şanek
255,Ruf::N,పిలువు,hawar
256,Lärm::N,సందడి,xarbalix
257,Laut::N,ధ్వని,deng
258,Laut::N,ధ్వని,hês
259,Ton::N,స్వరము,awaz
260,Lied::N,పాట,sitran
261,Ruhe::N,గాలిలేమి,rihetî
262,Leute::N,జనులు,xelk
263,Volk::N,జాతి,xelk
264,Arbeit::N,పని,xebat
265,Gast::N,అతిధి,mêvan
266,Geschenk::N,దానము,diyarî
267,Spiel::N,ఆట,lîstik
268,Gesellschaft::N,జట్టు,komal
269,Hilfe::N,సాహాయ్యము,alîkarî
270,Freund::N,స్నేహితుడు,heval
271,Kamerad::N,చెలికాడు,heval
272,Angelegenheit::N,విషయము,pirsgirêk
273,Anzahl::N,లెక్క,çend
274,Art::N,జాతి,çeh
275,Stück::N,తునుక,lib
276,Stück::N,తునుక,parçe
277,Teil::N,భాగము,parçe
278,Hälfte::N,సగము,nîvî
279,Kreis::N,వృత్తము,çemil
280,Kreuz::N,సిలువ,xaç
281,Linie::N,గీత,xezik
282,Strich::N,గీత,xezik
283,Abstand::N,సందు,dûrahî
284,Entfernung::N,దూరము,dûrahî
285,Gegend::N,విస్తీర్ణము,dever
286,Platz::N,ఎడము,çih
287,Ort::N,స్థలము,dever
288,Seite::N,ప్రక్క,rûpel
289,Mitte::N,నడిమి,nav
290,Mitte::N,నడిమి,nabênê
291,Gegenstand::N,పద్దు,tişt
292,Sache::N,వస్తువు,tişt
293,Rand::N,అంచు,kevî
294,Kante::N,అంచు,kevî
295,Ecke::N,మూల,qunç
296,Spitze::N,మొన,derzî
297,Ende::N,కొన,talî
298,Loch::N,రంధ్రము,qul
299,Winkel::N,కోణము,kurnîşk
300,Muster::N,మాదిరి,desen
301,Größe::N,పరిమాణము,mezinî
302,Länge::N,పొడుగు,dirêjahî
303,Höhe::N,పొడుగు,bilindayî
304,Gewicht::N,భారము,giranî
305,Menge::N,మొత్తము,qas
306,Haufen::N,రాశి,lod
307,Reihe::N,వరుస,rêz
308,Boot::N,పడవ,kelek
309,Ruder::N,అడక,bêrik
310,Schlitten::N,సరవండ్లు,xîjik
311,Ski::N,స్కీ,lakan
312,Lagerfeuer::N,నెగడు,agir
313,Last::N,బరువు,bar
314,Gang::N,నడక,fîtêz
315,Schritt::N,అడుగు,gav
316,Norden::N,ఉత్తరదిక్కు,bakur
317,Süden::N,దక్షిణము,başur
318,Westen::N,పడమర,rojava
319,Osten::N,తూర్పు,rojhilat
320,Holz::N,కొయ్య,dep
321,Brett::N,పలక,dep
322,Platte::N,పలక,dep
323,Stütze::N,వాల్సేడ్లు,destek
324,Stange::N,స్తంభము,sing
325,Stock::N,కఱ్ఱ,çam
326,Stab::N,కఱ్ఱ,qat
327,Rohr::N,గొట్టము,borî
328,Haus::N,ఇల్లు,mal
329,Haus::N,ఇల్లు,xanî
330,Heim::N,స్వగృహము,mal
331,Ofen::N,పొయ్యి,sobe
332,Fußboden::N,నేల,binpê
333,Tisch::N,మేజా,mase
334,Stuhl::N,కుర్చీ,kursî
335,Wiege::N,ఉయ్యాల,derguş
336,Bett::N,పడక,qerewêle
337,Bett::N,మంచం,qerewêle
338,Regal::N,అటక,rêbaz
339,Kiste::N,వెట్టె,sindoq
340,Fenster::N,కిటికి,çam
341,Fenster::N,కిటికి,şibeke
342,Tür::N,ద్వారము,derî
343,Tor::N,ద్వారము,derge
344,Zaun::N,కంచె,hejik
345,Dach::N,ఇంటివైకప్పు,sere xanî
346,Leiter::N,నిచ్చెన,pêling
347,Besen::N,చీపురుకట్ట,melkes
348,Spaten::N,పాఱ,mer
349,Schaufel::N,పాఱ,bêr
350,Gabel::N,ముండ్లగరిటె,çetel
351,Löffel::N,గరిటె,kevçî
352,Messer::N,కత్తి,kêr
353,Nagel::N,మేకు,bizmar
354,Netz::N,వల,tor
355,Haken::N,కొక్కెము,çenqel
356,Griff::N,పిడి,destî
357,Schloss::N,తాళము,qonax
358,Bild::N,చిత్రము,dimen
359,Figur::N,రూపము,figûr
360,Puppe::N,బొమ్మ,bûk
361,Beutel::N,సంచి,kîsik
362,Bündel::N,మూట,pêçek
363,Tasche::N,సంచి,bêrîk
364,Eimer::N,చేద,dewl
365,Deckel::N,మూత,devik
366,Geschirr::N,వంటకాలు,ferax
367,Sack::N,గోనెసంచి,tûr
368,Tasse::N,గిన్నె,kada
369,Topf::N,కుండ,beroş
370,Kessel::N,నీరుకాచుపాత్ర,şîril
371,Essen::N,ఆహారము,xwarin
372,Nahrung::N,ఆహారము,xwarin
373,Speise::N,ఆహారము,xwarin
374,Fleisch::N,మాంసము,goşt
375,Getreide::N,ధాన్యము,zad
376,Brei::N,గుజ్జు,hewdêl
377,Brot::N,రొట్టె,
378,Scheibe::N,బద్ద,parçe
379,Fett::N,క్రొవ్వు,rûn
380,Butter::N,వెన్న,rûn
381,Öl::N,నూనె,rûn
382,Salz::N,ఉప్పు,xwe
383,Suppe::N,చారు,şorbe
384,Honig::N,తెనె,hingiv
385,Milch::N,పాలు,şîr
386,Tee::N,తేనీరు,çay
387,Leder::N,బాగుచేసివతోలు,çerm
388,Wolle::N,ఉన్ని,herî
389,Stoff::N,బట్ట,paç
390,Nadel::N,సూది,derzî
391,Faden::N,దారము,ta
392,Knopf::N,బొత్తాము,bişkok
393,Knoten::N,ముడి,girêk
394,Farbe::N,రంగు,boyax
395,Kleidung::N,బట్టలు,çil
396,Hemd::N,చొక్కాయ,qutik
397,Hemd::N,చొక్కాయ,miltan
398,Kragen::N,మాల,stûvang
399,Ärmel::N,చొక్కాయచెయ్యి,hûçik
400,Hose::N,ఇజారు,şewel
401,Gürtel::N,పటకా,qayiş
402,Mütze::N,టోపి,fîno
403,Schuh::N,పాదరక్ష,şêkal
404,Stiefel::N,బూటు,gizme
405,Stiefel::N,బూటు,çizme
406,Ring::N,ఉంగరము,xelek
407,Band::N,నాడా,band
408,Kamm::N,దువ్వెన,şeh
409,Spiegel::N,అద్దము,eynik
410,Riemen::N,వాడా,qayiş
411,Schnur::N,దారము,doxin
412,Leine::N,వారు,şirît
413,Decke::N,కంబళి,bataniye
414,Kissen::N,తలగడ,balgî
415,Tuch::N,బట్ట,şar
416,Handtuch::N,తువాలు,dezmal
417,Kraft::N,బలము,hêz
418,Kraft::N,బలము,qewet
419,Stärke::N,శక్తి,xurtî
420,Gesundheit::N,ఆరోగ్యము,nojdarî
421,Krankheit::N,రోగము,nexweşî
422,Schmerz::N,నొప్పి,êş
423,Wunde::N,గాయము,kul
424,Fieber::N,జ్వరము,ta
425,Arznei::N,మందు,derman
426,Brücke::N,వంతెన,kopî
427,Brunnen::N,బావి,çal
428,Brunnen::N,బావి,kani
429,Brunnen::N,కూపము,çal
430,Brunnen::N,కూపము,kani
431,Brunnen::N,నుయ్యి,çal
432,Brunnen::N,నుయ్యి,kani
433,Weide::N,పచ్చికబయలు,beyar
434,Pfad::N,కాలిత్రోవ,xaçirek
435,Weg::N,మార్గము,rê
436,Straße::N,బాట,rê
437,Dorf::N,గ్రామము,gund
438,Stadt::N,పట్టణము,baçar
439,Brief::N,జాబు,name
440,Buch::N,పుస్తకము,kitêb
441,Buch::N,పుస్తకము,pirtûk
442,Buchstabe::N,అక్షరము,herf
443,Zeitung::N,వార్తాపత్రిక,rojname
444,Leben::N,ప్రాణము,jiyan
445,Tod::N,మరణము,mirin
446,Grab::N,సమాధి,mezel
447,Kirche::N,క్రెస్తవులగుడి,gilyas
448,Sünde::N,పాపము,guneh
449,Gott::N,దేవుడు,xwedê
450,Arbeiter::N,పనిపాటుచేశేవాడు,hîşçî
451,Chef::N,యజమానుడు,bêg
452,Meister::N,కళాకారుడు,hoste
453,Arzt::N,వైద్యుడు,doktor
454,Lehrer::N,ఉపాధ్యాయుడు,mamoste
455,Geld::N,ద్రవ్యము,pere
456,Geschäft::N,వ్యాపారము,firoşgeh
457,Laden::N,అంగడి,dikan
458,Preis::N,వెల,buha
459,Ware::N,సరకులు,tişt
460,Nutzen::N,ప్రయోజనము,fêde
461,Reichtum::N,ధనము,serwet
462,Welt::N,ప్రపంచము,dinya
463,Land::N,దేశము,welat
464,Staat::N,రాజ్యము,dewlet
465,König::N,రాజు,şah
466,König::N,రాజు,qral
467,Macht::N,అధికారము,qewet
468,Macht::N,అధికారము,destihilat
469,Grenze::N,సరిహద్దు,kevî
470,Krieg::N,యుద్ధము,çeng
471,Krieg::N,యుద్ధము,sêwaş
472,Feind::N,శత్రువు,dijmin
473,Gewalt::N,దౌర్జన్యము,zor
474,Kampf::N,పోట్లాట,şer
475,Bogen[Waffe]::N,విల్లు,kêvan
476,Pfeil::N,బాణము,çîrik
477,Gewehr::N,తుపాకి,tifing
478,Fehler::N,తప్ప,şaşî
479,Lüge::N,అసత్యము,derew
480,Schaden::N,నష్టము,xisar
481,Unglück::N,దురదృష్టము,bêbextî
482,Schuld::N,తప్పు,suç
483,Alter::N,వయస్సు,temen
484,Schluss::N,ముగింపు,girtin
485,Zeit::N,కాలము,çax
486,Tag::N,దినము,roj
487,Morgen::N,ఉదయము,sibeh
488,Mittag::N,మధ్యాహ్నము,nîro
489,Abend::N,సాయంకాలము,êvar
490,Nacht::N,రత్రి,şev
491,Woche::N,వారము,heftî
492,Monat::N,నెల,meh
493,Jahr::N,సంవత్సరము,sal
494,Frühling::N,వసంతకాలము,bihar
495,Sommer::N,వేసవికాము,havîn
496,Herbst::N,ఆకురాలుకాలము,payîz
497,Winter::N,శీతకాలము,zistan
498,Januar::N,జనవరి,çile
499,Februar::N,ఫిబ్రవరి,sibat
500,März::N,మార్చి,adar
501,April::N,ఏప్రిలు,nîsan
502,Mai::N,మే,gûlan
503,Juni::N,జూన్,hezîran
504,Juli::N,జూలై,tîmeh
505,August::N,ఆగస్టు,tebax
506,September::N,సెప్ఠెంబరు,îlon
507,Oktober::N,అక్టోబరు,çotmeh
508,November::N,నవంబరు,mijdar
509,Dezember::N,డిసెంబర్,kanûn
510,Montag::N,సోమవారము,duşemb
511,Dienstag::N,మంగళవారము,sêşem
512,Mittwoch::N,బుధవారము,çarşemb
513,Donnerstag::N,గురువారము,pêşemb
514,Freitag::N,శుక్రవారము,în
515,Samstag::N,శనివారము,şemî
516,Sonntag::N,ఆదివారము,yekşemb
517,groß::A,గొప్పైన,mezin
518,klein::A,చిన్న,çûçik
519,lang::A,పొడుగాటి,dirêj
520,kurz::A,పొట్టి,kin
521,breit::A,వెడల్పైన,fireh
522,schmal::A,ఇఱుకైన,tenik
523,dicht::A,దట్టమైన,gir
524,dick[Gegenstand]::A,దట్టమైన,şîşman
525,dünn::A,పలుచని,zirav
526,fein::A,నాజాకైన,tenik
527,fest::A,దృడమైవ,saxlem
528,flach::A,చదువైన,pahn
529,glatt::A,నున్నని,dûz
530,glatt::A,నున్నని,şayîk
531,hart::A,కఠినమైన,hişk
532,weich::A,మృదువైన,nerm
533,rund::A,గుండ్రని,gilover
534,spitz::A,మొనగల,pîj
535,scharf::A,పదనైన,tûj
536,stumpf::A,వాడిలేని,ne tûj
537,schwer::A,బరువ్తెన,giran
538,schön::A,సుందరమైన,xweş
539,schön::A,సుందరమైన,xweşik
540,heiß::A,వేడియైన,kelandî
541,warm::A,వెచ్చని,germ
542,kalt::A,చల్లని,sar
543,kühl::A,చల్లని,jemîrî
544,frisch::A,తాజాయైన,ter
545,feucht::A,చెమ్మగానున్న,şil
546,nass::A,తడిగామన్న,şilek
547,trocken::A,ఎండిన,zuwa
548,voll::A,నిండు,tijî
549,leer::A,శూన్యమైన,vala
550,offen::A,తెఱచియున్న,vekirî
551,geschlossen::A,మూసిన,asê
552,sauber::A,పరిశుద్ధమైన,pakij
553,schmutzig::A,ముఱికియైన,lewitî
554,roh::A,పచ్చి,xav
555,reif::A,పండివ,gihaştî
556,lecker::A,రుచి గల,xweş
557,süß::A,తియ్యని,şîrîn
558,bitter::A,చేదైన,tahl
559,sauer::A,పుల్లని,tirş
560,hell::A,కాంతిగల,ronî
561,dunkel::A,చీకటియైన,tarî
562,schwarz::A,నల్లని,reş
563,weiß::A,తెలుపు,sipî
564,rot::A,ఎఱ్ఱని,sor
565,gelb::A,పసుపు పచ్చ,zer
566,blau::A,నీలవర్ణము,şîn
567,grün::A,ఆకుపచ్చని,şîn
568,grau::A,నెరిసిన,gewr
569,bunt::A,రంగేలీ,rengîn
570,billig::A,చౌకయైన,erzan
571,teuer::A,వెలపొడుగైన,biha
572,wertvoll::A,విలుప్తెన,hêja
573,wertvoll::A,విలుప్తెన,giranbiha
574,blind::A,గ్రుడ్డి,kor
575,taub::A,చెవిటి,kerr
576,kräftig::A,శక్తి గల,gir
577,kräftig::A,శక్తి గల,xurt
578,stark::A,బలమైన,xurt
579,schwach::A,బలహీనమైన,kesad
580,fett::A,క్రొవ్విన,qelew
581,schlank::A,సన్నని,zirav
582,hübsch::A,సాగప్తెన,xweşik
583,böse::A,చెడ్డ,xerab
584,böse::A,చెడ్డ,aciz
585,dumm::A,తెలివిలేని,gêj
586,faul::A,సోమరియైన,têmbêl
587,fleißig::A,శ్రద్దగల,jêhatî
588,geizig::A,పిసినారియైన,destgirtî
589,klug::A,తెలివిగల,baqil
590,geschickt::A,నిపుణతగల,zîrek
591,geschickt::A,నిపుణతగల,ziring
592,lieb::A,ప్రియమైన,delal
593,lustig::A,ఉల్లాసము గల,kêfxweş
594,sanft::A,సాధువైన,nazenîn
595,hungrig::A,ఆకలిగొనిన,birçî
596,krank::A,వ్యాధిగల,nexweş
597,nackt::A,దిగంబరమైన,rût
598,nackt::A,దిగంబరమైన,tazî
599,traurig::A,విచారముగల,xemgîn
600,lebendig::A,ప్రాణముతో నున్న,bisaxî
601,gut::A,మంచి,baş
602,schlecht::A,చెడ్డ,xerab
603,richtig::A,సరియైన,rast
604,richtig::A,సరియైన,saxlem
605,schlimm::A,అసహ్యమైన,nebaş
606,wahr::A,నిజమైన,rast
607,alt::A,ముసలి,pîr
608,alt::A,ముసలి,kevn
609,neu::A,క్రొత్త,nû
610,ehemalig::A,పూర్వపు,kevnar
611,ehemalig::A,పూర్వపు,peşidar
612,alt[Lebewesen]::A,ముసలి,pîr
613,jung::A,పసి,xort
614,arm::A,బీద,feqîr
615,arm::A,బీద,desteng
616,reich::A,ధనవంతుడైన,dewlemend
617,bekannt::A,తెలిసిన,naskirî
618,berühmt::A,ప్రపిద్దికెక్కివ,navdar
619,fremd::A,అన్యమైన,xerîb
620,verschieden::A,భేదమైన,çîhê
621,nah::A,దగ్గఱనున్న,nêzîk
622,fern::A,దూరమందున్న,dûr
623,linker::A,ఎడమప్రక్కగ,çepê
624,rechter::A,కుడి,rastê
625,anderer::A,వేఱ్తెన,yê din
626,erster::A,మొదటి,yekemîn
627,zweiter::A,రెండన,duda
628,dritter::A,మూడో,sisêya
629,letzter::A,కడపటి,paşîn
630,allein::ADV,ఒంటిగా,tenê
631,auf einmal::ADV,హరాత్తుగ,jar kê
632,zusammen::ADV,కలిసి,tev
633,zusammen::ADV,కలిసి,bi hev re
634,lange::ADV,బహుకాలము,dirêj
635,plötzlich::ADV,హరాత్తుగ,ji nişkave
636,sofort::ADV,తక్షణము,yekser
637,später::ADV,ఇటీవలి,paşiyê
638,jetzt::ADV,ఇప్పుడు,nuha
639,heute::ADV,నేడు,îro
640,morgen::ADV,ఱేపు,sibeh
641,bald::ADV,శీఘ్రముగ,nêzîk
642,dann::ADV,అప్పుడు,paşê
643,gestern::ADV,నిన్నటి దినము,do
644,einst::ADV,పూర్వమొకప్పుడు,jar ke
645,damals::ADV,అప్పుడు,hîngî
646,danach::ADV,అప్పుడు,piştra
647,vorher::ADV,ఎదుట,pîşî
648,zuerst::ADV,మొదటిలో,bere
649,einmal::ADV,ఒకసారి,çarik
650,manchmal::ADV,అప్పటప్పటికి,çarna
651,oft::ADV,తఱచుగా,gelek çaran
652,immer::ADV,ఎల్లప్పుడు,daîm
653,niemals::ADV,ఎప్పుడునులేదు,tu çar
654,hier::ADV,ఇక్కడ,li vir
655,hierhin::ADV,ఇక్కడకు,vir
656,von hier::ADV,ఇక్కడనుండి,ji vir
657,dort::ADV,అక్కడ,li wê derê
658,dorthin::ADV,అక్కడికి,wêda
659,geradeaus::ADV,సూటిగా,rastê rast
660,vorwärts::ADV,ముందుకు,ber bi pêş
661,rückwärts::ADV,వెనుకకు,paşpê
662,zurück::ADV,వెనుకభాగము,paşdo
663,zurück::ADV,వెనుకభాగము,paşvê
664,unten::ADV,క్రింద,jêrî
665,hinab::ADV,కిందికి,berjêr
666,oben::ADV,మీద,banî
667,hinauf::ADV,పైకి,banî
668,überall::ADV,అంతటా,li her derê
669,nicht::ADV,కాదు,ne
670,nicht::ADV,కాదు,nîn
671,nicht::ADV,కాదు,tine
672,ein wenig::ADV,కొంచెము,hebkî
673,kaum::ADV,చాలిచాలక,tema
674,kaum::ADV,చాలిచాలక,himangi
675,sehr::ADV,చాల,gelek
676,so::ADV,ఆలాగున,weha
677,noch::ADV,ఇప్పటికిని,hêj
678,noch::ADV,ఇప్పటికిని,dîsa
679,nur::ADV,మాత్రము,tenê
680,nur::ADV,మాత్రము,bes
681,schon::ADV,ఇదివఱకే,hew
682,wieder::ADV,తిరిగి,jar din
683,wieder::ADV,తిరిగి,dîsa
684,vergebens::ADV,నిష్ఫలముగా,deya çun
685,vergebens::ADV,నిష్ఫలముగా,îfleh bûn
686,vor::PRP,ముందు,li ber
687,hinter::PRP,వెనుక,li pişt
688,unter::PRP,క్రింద,li bin
689,durch::PRP,ద్వారా,kura
690,neben::PRP,దగ్గెర,li ba
691,zwischen::PRP,మధ్య,nabeyne
