,Concept_ID,sv,ba
86,Schnee::N,snö,ҡар
87,Eis::N,is,боҙ
88,Frost::N,frost,һалҡын
89,Kälte::N,köld,һыуыҡ
90,Hitze::N,hetta,томра
91,Hitze::N,hetta,эҫелек
92,Raureif::N,rimfrost,ҡырау
93,Regenbogen::N,regnbåge,йәйғор
94,Donner::N,åska,күк күкрәү
95,Donner::N,dunder,күк күкрәү
96,Strömung::N,strömning,ағым
97,Tropfen::N,dropper,тамсы
98,Schaum::N,skum,күбек
99,Schmutz::N,lort,батҡаҡ
100,Schmutz::N,smuts,батҡаҡ
101,See::N,sjö,күл
102,Sumpf::N,träsk,һаҙлык
103,Moor::N,myr,һаҙ
104,Moor::N,mosse,һаҙ
105,Wiese::N,äng,болон
106,Wald::N,skog,урман
107,Hügel::N,höjd,түбә
108,Hügel::N,kulle,түбә
109,Anhöhe::N,höjd,түбә
110,Anhöhe::N,höjd,ҡалҡыулыҡ
111,Anhöhe::N,backe,түбә
112,Anhöhe::N,backe,ҡалҡыулыҡ
113,Berg::N,berg,тау
114,Berg::N,fjäll,тау
115,Gipfel::N,topp,түбә
116,Höhle::N,håla,мәмерйә
117,Höhle::N,grotta,мәмерйә
118,Abhang::N,slänt,ипкен
119,Abhang::N,sluttning,ипкен
120,Quelle::N,källa,шишмә
121,Bach::N,bäck,шишмә
122,Fluss::N,älv,йылға
123,Fluss::N,flod,йылға
124,Ufer::N,strand,яр
125,Küste::N,kust,яр буйы
126,Festland::N,fastland,ҡоро ер
127,Meer::N,hav,диңгез
128,Bucht::N,vik,бухта
129,Bucht::N,bukt,бухта
130,Insel::N,ö,үтрау
131,Blume::N,blomma,сәскә
132,Blume::N,blomster,сәскә
133,Gras::N,gräs,үлән
134,Wurzel::N,rot,тамыр
135,Baum::N,träd,ағас
136,Stamm::N,stam,олон
137,Stamm::N,stam,көбәк
138,Rinde::N,bark,ҡабыҡ
139,Ast::N,gren,ботаҡ
140,Zweig::N,kvist,ботаҡ
141,Zweig::N,kvist,тармаҡ
142,Blatt::N,löv,япраҡ
143,Blatt::N,blad,япраҡ
144,Birke::N,björk,ҡайын
145,Kiefer[Baum]::N,tall,ҡарғай
146,Weide[Baum]::N,pil,тал
147,Weide[Baum]::N,vide,тал
148,Tanne::N,gran,шыршы
149,Horn::N,horn,мөғөҙ
150,Feder::N,fjäder,ҡауырһын
151,Fell::N,fäll,тире
152,Fell::N,skinn,тире
153,Flügel::N,vinge,ҡанат
154,Klaue::N,klöv,тырнаҡ
155,Kralle::N,klo,аяҡ
156,Schwanz::N,svans,ҡойроҡ
157,Schwanz::N,stjärt,ҡойроҡ
158,Ei::N,ägg,йомортҡа
159,Nest::N,rede,оя
160,Nest::N,näste,оя
161,Bau::N,bo,оң
162,Tier::N,djur,жайуан
163,Tier::N,djur,йыртҡыс
164,Herde::N,flock,көтөү
165,Kuh::N,ko,һыйыр
166,Bulle::N,tjur,үгеҙ
167,Pferd::N,häst,ат
168,Schaf::N,får,һарыҡ
169,Schwein::N,svin,сусҡа
170,Hund::N,hund,эт
171,Katze::N,katt,бесәй
172,Bär::N,björn,айыу
173,Eichhörnchen::N,ekorre,тейен
174,Elch::N,älg,мышы
175,Fuchs::N,räv,төлкө
176,Hase::N,hare,ҡуян
177,Maus::N,mus,сысҡан
178,Wolf::N,varg,бүре
179,Vogel::N,fågel,ҡош
180,Schwarm::N,svärm,көтөү
181,Huhn::N,höns,тауыҡ
182,Hahn::N,tupp,әтәс
183,Gans::N,gås,ҡаҙ
184,Adler::N,örn,бөркөт
185,Ente::N,anka,өйрәк
186,Eule::N,uggla,өкө
187,Eule::N,uggla,ябалаҡ
188,Kranich::N,trana,торна
189,Krähe::N,kråka,ҡарға
190,Kuckuck::N,gök,кәкүк
191,Schwan::N,svan,аҡҡош
192,Fisch::N,fisk,балыҡ
193,Barsch::N,abborre,алабуға
194,Hecht::N,gädda,суртан
195,Schlange[Tier]::N,orm,йылан
196,Wurm::N,mask,селяүсен
197,Spinne::N,spindel,үрмәксе
198,Ameise::N,myra,ҡырмыҫҡа
199,Laus::N,lus,бет
200,Mücke::N,mygga,серәкәй
201,Fliege::N,fluga,себен
202,Schmetterling::N,fjäril,күбәләк
203,Beere::N,bär,еләк
204,Apfel::N,äpple,алма
205,Pilz::N,svamp,бәшмәк
206,Zwiebel::N,lök,һуган
207,Saat::N,sådd,орлоҡ
208,Korn::N,korn,иген
209,Heu::N,hö,бесән
210,Schale::N,skal,ҡабыҡ
211,Grube::N,grop,соҡор
212,Falle::N,fälla,тоҙак
213,Falle::N,fälla,ҡапҡан
214,Schlinge::N,snara,тоҙак
215,Spur::N,spår,әҫер
216,Asche::N,aska,көл
217,Dreck::N,lort,батҡаҡ
218,Eisen::N,järn,тимер
219,Gold::N,guld,алтын
220,Silber::N,silver,көмөш
221,Kohle::N,kol,күмер
222,Glas::N,glas,быяла
223,Lehm::N,lera,балсыҡ
224,Sand::N,sand,ҡом
225,Mensch::N,människa,кеше
226,Mann::N,man,ир
227,Frau::N,kvinna,ҡатын
228,Kind::N,barn,бала
229,Junge::N,pojke,малай
230,Mädchen::N,flicka,ҡыҙ
231,Mädchen::N,flicka,ҡыҙыҡай
232,Familie::N,familj,ғаилә
233,Großvater::N,morfar,олатай
234,Großmutter::N,farmor,әбәй
235,Eltern::N,föräldrar,ата-әсә
236,Vater::N,far,атай
237,Mutter::N,mor,әсә
238,Sohn::N,son,ул
239,Tochter::N,dotter,ҡыҙ
240,Bruder::N,bror,агай
241,Schwester::N,syster,алай
242,Schwester::N,syster,һеңле
243,Onkel::N,morbror,ағай
244,Tante::N,tant,апай
245,Ehemann::N,äkta man,ир
246,Ehefrau::N,hustru,ҡатын
247,Freude::N,fröjd,шатлыҡ
248,Freude::N,fröjd,ҡыуаныс
249,Freude::N,glädje,шатлыҡ
250,Freude::N,glädje,ҡыуаныс
251,Gelächter::N,åtlöje,көлөү
252,Glück::N,lycka,бәхет
253,Kummer::N,sorg,ҡайғы
254,Wunsch::N,önskan,теләк
255,Lust::N,lust,әүәҫлек
256,Geist::N,ande,аң
257,Geist::N,ande,рух
258,Gedanke::N,tanke,уй
259,Gedanke::N,tanke,фекер
260,Gedächtnis::N,minne,хәтер
261,Verstand::N,förstånd,аҡыл
262,Sinn::N,mening,мәғәня
263,Sinn::N,betydelse,мәғәня
264,Grund::N,skäl,сәбәп
265,Grund::N,grund,сәбәп
266,Wahrheit::N,sanning,дөрөҫлөк
267,Gespräch::N,samtal,әңгәмә
268,Märchen::N,saga,әкиәт
269,Erzählung::N,berättelse,хикәйә
270,Nachricht::N,meddelande,хәбәр
271,Neuigkeit::N,nyhet,яңылыҡ
272,Name::N,namn,исем
273,Rätsel::N,gåta,йомаҡ
274,Rede::N,tal,телмәр
275,Sprache::N,språk,тел
276,Sprache::N,språk,телмәр
277,Stimme::N,stämma,тауыш
278,Wort::N,ord,һүҙ
279,Zeichen::N,tecken,билдә
280,Ruf::N,rop,саҡырыу
281,Lärm::N,bråk,шаулау
282,Lärm::N,oväsen,шаулау
283,Laut::N,ljud,тауыш
284,Ton::N,ton,яңғырау
285,Lied::N,sång,йыр
286,Ruhe::N,ro,ял
287,Ruhe::N,ro,тыныслыҡ
288,Ruhe::N,lugn,ял
289,Ruhe::N,lugn,тыныслыҡ
290,Leute::N,folk,кешеләр
291,Volk::N,folk,халҡ
292,Arbeit::N,arbete,эш
293,Gast::N,gäst,ҡунаҡ
294,Geschenk::N,gåva,бүләк
295,Geschenk::N,present,бүләк
296,Spiel::N,lek,уйын
297,Spiel::N,spel,уйын
298,Gesellschaft::N,sällskap,йәмғиәт
299,Hilfe::N,hjälp,ярҙам
300,Freund::N,vän,дуҫ
301,Kamerad::N,kamrat,иптәш
302,Angelegenheit::N,ärende,әш
303,Angelegenheit::N,angelägenhet,әш
304,Anzahl::N,antal,һан
305,Art::N,art,төр
306,Art::N,slag,төр
307,Stück::N,stycke,киҫәк
308,Teil::N,del,өлөш
309,Hälfte::N,halva,ярты
310,Kreis::N,krets,түңәрәк
311,Kreis::N,cirkel,түңәрәк
312,Kreuz::N,kors,тәре
313,Kreuz::N,kryss,тәре
314,Linie::N,linje,һыҙыҡ
315,Strich::N,streck,һыҙат
316,Abstand::N,avstånd,ара
317,Entfernung::N,avstånd,алыҫлыҡ
318,Gegend::N,trakt,урын
319,Platz::N,plats,арауыҡ
320,Ort::N,plats,ерҙәр
321,Ort::N,plats,урындар
322,Ort::N,plats,эш урыны
323,Ort::N,ställe,ерҙәр
324,Ort::N,ställe,урындар
325,Ort::N,ställe,эш урыны
326,Seite::N,sida,яҡ
327,Mitte::N,mitt,урталыҡ
328,Gegenstand::N,föremål,нәмә
329,Sache::N,sak,нәмә
330,Sache::N,sak,әйбер
331,Rand::N,rand,сит
332,Kante::N,kant,ҡабырға
333,Kante::N,kant,ян
334,Ecke::N,vrå,мөйөш
335,Ecke::N,hörn,мөйөш
336,Spitze::N,spets,ос
337,Ende::N,ända,аҙаҡ
338,Loch::N,hål,тишек
339,Winkel::N,vinkel,мөйөш
340,Muster::N,mönster,биҙәк
341,Größe::N,storlek,ҙурлыҡ
342,Länge::N,längd,оҙонлоҡ
343,Höhe::N,höjd,бейеклек
344,Gewicht::N,tyngd,үлсәү
345,Menge::N,mängd,һан
346,Haufen::N,hög,өйөм
347,Reihe::N,rad,рәт
348,Boot::N,båt,кәмә
349,Ruder::N,åra,ишкәк
350,Schlitten::N,släde,сана
351,Ski::N,skida,саңгы
352,Lagerfeuer::N,lägereld,костер
353,Last::N,last,ауырлыҡ
354,Last::N,börda,ауырлыҡ
355,Gang::N,gång,барыу
356,Schritt::N,steg,аҙым
357,Norden::N,norr,төньяҡ
358,Süden::N,söder,көньяҡ
359,Westen::N,väster,көнбайыш
360,Osten::N,öster,көнсығыш
361,Holz::N,trä,үағас
362,Brett::N,bräda,таҡта
363,Platte::N,platta,плита
364,Stütze::N,stöd,терәк
365,Stütze::N,stötta,терәк
366,Stange::N,stång,кәртә
367,Stock::N,käpp,таяҡ
368,Stock::N,pinne,таяҡ
369,Stab::N,stav,ҡолға
370,Rohr::N,rör,торба
371,Haus::N,hus,өй
372,Haus::N,hus,йорт
373,Heim::N,hem,өй
374,Ofen::N,ugn,мейес
375,Fußboden::N,golv,енес
376,Tisch::N,bord,өҫтәл
377,Stuhl::N,stol,ултырғыс
378,Wiege::N,vagga,бишек
379,Bett::N,säng,карауат
380,Regal::N,hylla,кәштә
381,Kiste::N,låda,йәшинк
382,Fenster::N,fönster,тәҙрә
383,Tür::N,dörr,ишек
384,Tor::N,port,ҡапҡа
385,Zaun::N,staket,ҡойма
386,Zaun::N,stängsel,ҡойма
387,Dach::N,tak,түбә
388,Dach::N,tak,ҡыйыҡ
389,Leiter::N,stege,баҫҡыс
390,Besen::N,kvast,һепертке
391,Spaten::N,spade,көрәк
392,Schaufel::N,skovel,көрәк
393,Schaufel::N,skyffel,көрәк
394,Gabel::N,gaffel,сәнске
395,Löffel::N,sked,ҡалаҡ
396,Messer::N,kniv,бысаҡ
397,Nagel::N,spik,сөй
398,Netz::N,nät,ау
399,Haken::N,krok,ыргаҡ
400,Griff::N,tag,тотҡа
401,Griff::N,handtag,тотҡа
402,Schloss::N,las,йоҙаҡ
403,Bild::N,bild,картина
404,Figur::N,figur,һын
405,Puppe::N,docka,ҡурсаҡ
406,Beutel::N,påse,тоҡ
407,Bündel::N,bunt,төргәк
408,Bündel::N,knippa,төргәк
409,Tasche::N,väska,сумка
410,Eimer::N,hink,биҙрә
411,Eimer::N,ämbar,биҙрә
412,Deckel::N,lock,ҡапҡас
413,Geschirr::N,servis,һауыт-һаба
414,Geschirr::N,porslin,һауыт-һаба
415,Sack::N,säck,тоҡ
416,Tasse::N,kopp,сынаяҡ
417,Topf::N,gryta,кәстрүл
418,Topf::N,kastrull,кәстрүл
419,Kessel::N,kittel,ҡаҙан
420,Essen::N,mål,ашау
421,Nahrung::N,näring,аҙыҡ
422,Speise::N,maträtt,аш
423,Fleisch::N,kött,ит
424,Getreide::N,säd,иген
425,Getreide::N,säd,ашлыҡ
426,Getreide::N,spannmål,иген
427,Getreide::N,spannmål,ашлыҡ
428,Brei::N,gröt,бутҡа
429,Brot::N,bröd,икмәк
430,Scheibe::N,skiva,телем
431,Fett::N,fett,май
432,Butter::N,smör,май
433,Öl::N,olja,май буяуы
434,Salz::N,salt,тоҙ
435,Suppe::N,soppa,һурпа
436,Honig::N,honung,бал
437,Milch::N,mjölk,һөт
438,Tee::N,te,сәй
439,Leder::N,läder,күн
440,Wolle::N,ull,йөн
441,Wolle::N,ylle,йөн
442,Stoff::N,tyg,туҡыма
443,Stoff::N,stoff,туҡыма
444,Nadel::N,nål,энә
445,Faden::N,tråd,еп
446,Knopf::N,knapp,төймә
447,Knoten::N,knut,төйөн
448,Farbe::N,färg,буяу
449,Kleidung::N,klädsel,кейем
450,Hemd::N,skjorta,күлдәк
451,Kragen::N,krage,яға
452,Ärmel::N,ärm,ең
453,Hose::N,byxor,салбар
454,Gürtel::N,bälte,ҡайыш
455,Mütze::N,mössa,бүрк
456,Schuh::N,sko,туфли
457,Stiefel::N,stövel,итек
458,Ring::N,ring,йөҙөк
459,Ring::N,ring,балдаҡ
460,Band::N,band,таҫма
461,Kamm::N,kam,тараҡ
462,Spiegel::N,spegel,көзгө
463,Riemen::N,rem,ҡайыш
464,Schnur::N,snöre,бау
465,Leine::N,lina,бау
466,Decke::N,täcke,одеяд
467,Kissen::N,dyna,мендәр
468,Kissen::N,kudde,мендәр
469,Tuch::N,sjal,яулыҡ
470,Handtuch::N,handduk,таҫтамал
471,Kraft::N,kraft,көс
472,Stärke::N,styrka,көс
473,Gesundheit::N,hälsa,һаулыҡ
474,Krankheit::N,sjukdom,сир
475,Krankheit::N,sjukdom,ауырыу
476,Schmerz::N,smärta,һыҙлау
477,Schmerz::N,smärta,әрнеү
478,Wunde::N,sår,йәрәхәт
479,Fieber::N,feber,тапма
480,Fieber::N,feber,биҙгәк
481,Arznei::N,medicin,дарыу
482,Arznei::N,läkemedel,дарыу
483,Brücke::N,bro,күпер
484,Brunnen::N,brunn,ҡоҙоҡ
485,Weide::N,bete,көтөүлек
486,Pfad::N,stig,һуҡмаҡ
487,Weg::N,väg,юл
488,Straße::N,gata,урам
489,Dorf::N,by,ауыл
490,Stadt::N,stad,ҡала
491,Brief::N,brev,хат
492,Buch::N,bok,китап
493,Buch::N,bok,кенәгә
494,Buchstabe::N,bokstav,хәреф
495,Zeitung::N,tidning,гәзит
496,Leben::N,liv,йәшәү
497,Tod::N,död,үлем
498,Grab::N,grav,ҡәбер
499,Kirche::N,kyrka,сиркәү
500,Sünde::N,synd,гөнаһ
501,Gott::N,gud,алла
502,Gott::N,gud,хоҙай
503,Arbeiter::N,arbetare,эшсе
504,Chef::N,chef,башлыҡ
505,Meister::N,mästare,оҫта
506,Arzt::N,läkare,врач
507,Lehrer::N,lärare,уҡытыусы
508,Geld::N,pengar,аҡса
509,Geschäft::N,rörelse,эш
510,Laden::N,affär,магазин
511,Preis::N,pris,хаҡ
512,Ware::N,vara,тауар
513,Nutzen::N,gagn,файҙа
514,Nutzen::N,nytta,файҙа
515,Reichtum::N,rikedom,байлыҡ
516,Welt::N,värld,донъя
517,Land::N,land,ил
518,Staat::N,stat,дәүләт
519,König::N,kung,король
520,König::N,konung,король
521,Macht::N,makt,власть
522,Grenze::N,gräns,сик
523,Krieg::N,krig,һуғыш
524,Feind::N,fiende,йылан
525,Gewalt::N,våld,көслөк
526,Kampf::N,kamp,көрәш
527,Kampf::N,strid,көрәш
528,Bogen[Waffe]::N,båge,йәйә
529,Pfeil::N,pil,уҡ
530,Gewehr::N,gevär,мылтыҡ
531,Fehler::N,fel,хата
532,Lüge::N,lögn,ялған
533,Schaden::N,skada,зыян
534,Schaden::N,skada,зарар
535,Unglück::N,otur,ҡаза
536,Unglück::N,olycka,ҡаза
537,Schuld::N,skuld,ғәйеп
538,Alter::N,ålder,йәш
539,Schluss::N,slut,һуң
540,Schluss::N,slut,аҙаҡ
541,Zeit::N,tid,мәл
542,Zeit::N,tid,заман
543,Tag::N,dag,көн
544,Morgen::N,morgon,иртә
545,Morgen::N,morgon,иртәнсәк
546,Mittag::N,middag,төш
547,Abend::N,kväll,кис
548,Nacht::N,natt,төн
549,Woche::N,vecka,аҙна
550,Monat::N,månad,ай
551,Jahr::N,år,йыл
552,Frühling::N,vår,яҙ
553,Sommer::N,sommar,йәй
554,Herbst::N,höst,көз
555,Winter::N,vinter,ҡыш
556,Januar::N,januari,ғинуар
557,Februar::N,februari,февраль
558,März::N,mars,март
559,April::N,april,апрель
560,Mai::N,maj,май
561,Juni::N,juni,июнь
562,Juli::N,juli,июль
563,August::N,augusti,август
564,September::N,september,сентябрь
565,Oktober::N,oktober,октябрь
566,November::N,november,ноябрь
567,Dezember::N,december,декабрь
568,Montag::N,måndag,дүшәмбе
569,Dienstag::N,tisdag,шишәмбе
570,Mittwoch::N,onsdag,шаршамбы
571,Donnerstag::N,torsdag,кесаҙна
572,Freitag::N,fredag,йома
573,Samstag::N,lördag,шәмбе
574,Sonntag::N,söndag,йәкшәмбе
575,groß::A,stor,ҙур
576,klein::A,liten,бәләкәс
577,lang::A,lång,оҙон
578,kurz::A,kort,ҡыҫҡа
579,breit::A,bred,киң
580,schmal::A,smal,тар
581,dicht::A,tät,йыш
582,dicht::A,tät,ҡуйы
583,dick[Gegenstand]::A,tjock,ҡалын
584,dünn::A,tunn,йоҡа
585,dünn::A,tunn,нәҙек
586,fein::A,fin,нескә
587,fest::A,fast,ныҡ
588,flach::A,platt,яҫы
589,flach::A,platt,ялпаҡ
590,glatt::A,glatt,шыма
591,hart::A,hård,ҡаты
592,weich::A,mjuk,йомшаҡ
593,rund::A,rund,түңәрәк
594,spitz::A,toppig,осло түбәле
595,spitz::A,spetsig,осло түбәле
596,scharf::A,vass,үткер
597,scharf::A,skarp,үткер
598,stumpf::A,slö,утмәҫ
599,schwer::A,tung,ауыр
600,schön::A,skön,матур
601,schön::A,vacker,матур
602,heiß::A,het,эҫе
603,warm::A,varm,йылы
604,kalt::A,kall,һыуыҡ
605,kühl::A,sval,һалҡынса
606,kühl::A,kylig,һалҡынса
607,frisch::A,färsk,һалҡынса
608,feucht::A,fuktig,еүеш
609,feucht::A,fuktig,дымлы
610,nass::A,våt,еүеш
611,trocken::A,torr,кипкән
612,voll::A,full,тулы
613,leer::A,tom,буш
614,offen::A,öppen,асыҡ
615,geschlossen::A,stängd,ябыҡ
616,sauber::A,ren,таҙа
617,schmutzig::A,snuskig,бысраҡ
618,roh::A,rå,сей
619,reif::A,mogen,өлгөрғән
620,lecker::A,läcker,тәмле
621,süß::A,söt,тямле
622,süß::A,söt,тәм-том
623,bitter::A,besk,әсе
624,bitter::A,bitter,әсе
625,sauer::A,sur,әсе
626,hell::A,ljus,яҡты
627,dunkel::A,mörk,ҡараңғы
628,schwarz::A,svart,ҡара
629,weiß::A,vit,аҡ
630,rot::A,röd,матур
631,rot::A,röd,һылыу
632,rot::A,röd,сибәр
633,gelb::A,gul,һары
634,blau::A,blå,күк
635,grün::A,grön,йәшел
636,grau::A,grå,буҙ
637,bunt::A,brokig,сыбар
638,bunt::A,brokig,ала-ҡола
639,billig::A,billig,арзан
640,teuer::A,dyr,ҡыйбатлы
641,wertvoll::A,värdefull,ҡиммәтле
642,blind::A,blind,һуҡыр
643,taub::A,döv,һаңғырау
644,kräftig::A,kraftig,көслө
645,kräftig::A,kraftig,ҡеүәтле
646,stark::A,stark,көслө
647,stark::A,stark,ҡеүәтле
648,schwach::A,svag,көсһөҙ
649,fett::A,fet,һимеҙ
650,schlank::A,slank,зифа
651,hübsch::A,snygg,матур
652,hübsch::A,vacker,матур
653,böse::A,ond,асыулы
654,böse::A,elak,асыулы
655,dumm::A,dum,иҫәр
656,faul::A,lat,иренсәк
657,fleißig::A,flitig,тырыш
658,geizig::A,snål,һаран
659,geizig::A,girig,һаран
660,klug::A,klok,аҡыллы
661,geschickt::A,händig,оҫта
662,geschickt::A,skicklig,оҫта
663,lieb::A,kär,яғымлы
664,lieb::A,snäll,яғымлы
665,lustig::A,rolig,күңелле
666,lustig::A,lustig,күңелле
667,sanft::A,mild,йыуаш
668,hungrig::A,hungrig,ас
669,krank::A,sjuk,сирле
670,krank::A,sjuk,ауырыу
671,nackt::A,naken,яланғас
672,traurig::A,ledsen,яманһыу
673,traurig::A,sorgsen,яманһыу
674,lebendig::A,levande,тере
675,lebendig::A,levande,йәнле
676,gut::A,bra,яҡшы
677,schlecht::A,dålig,хөрт
678,schlecht::A,dålig,алама
679,richtig::A,riktig,дөрөҫ
680,schlimm::A,illa,хөрт
681,schlimm::A,illa,алама
682,wahr::A,sann,дөрөҫ
683,alt::A,gammal,иҫке
684,alt::A,gammal,боронғо
685,neu::A,ny,яңы
686,ehemalig::A,forn,элекке
687,ehemalig::A,tidigare,элекке
688,alt[Lebewesen]::A,gammal,ҡарт
689,jung::A,ung,йәш
690,arm::A,fattig,фәҡир
691,reich::A,rik,бай
692,bekannt::A,känd,таныш
693,berühmt::A,berömd,атаҡлы
694,berühmt::A,berömd,данлыҡлы
695,fremd::A,främmande,ят
696,fremd::A,främmande,сит
697,verschieden::A,åtskillig,төрлө
698,nah::A,nära,яҡын
699,fern::A,fjärran,алыҫ
700,fern::A,fjärran,йыраҡ
701,linker::A,vänster,һул
702,rechter::A,höger,уң
703,anderer::A,annan,бутән
704,erster::A,första,тәүге
705,zweiter::A,andra,икенсе
706,dritter::A,tredje,өсөнсө
707,letzter::A,sist,һуңғы
708,allein::ADV,allena,бер үҙе
709,allein::ADV,allena,яңғыҙ
710,auf einmal::ADV,på en gång,бер юлы
711,zusammen::ADV,tillsammans,бергә
712,lange::ADV,länge,оҙаҡ
713,plötzlich::ADV,plötsligt,ҡапыл
714,sofort::ADV,strax,шунда уҡ
715,sofort::ADV,genast,шунда уҡ
716,später::ADV,senare,һуңыраҡ
717,jetzt::ADV,nu,хәҙер
718,heute::ADV,i dag,бөгөн
719,morgen::ADV,i morgon,иртәгә
720,bald::ADV,snart,тиҙҙән
721,dann::ADV,då,һуңынан
722,gestern::ADV,i går,кисә
723,einst::ADV,en gång,ҡасандыр
724,einst::ADV,en gång,бер баҡыт
725,damals::ADV,då,ул саҡта
726,damals::ADV,den gången,ул саҡта
727,danach::ADV,därefter,һуңынан
728,vorher::ADV,före,элек
729,vorher::ADV,förut,элек
730,zuerst::ADV,först,башта
731,einmal::ADV,en gång,бер
732,manchmal::ADV,ibland,ҡайһы берҙә
733,oft::ADV,ofta,йыш
734,immer::ADV,alltid,һәр ҡасан
735,niemals::ADV,aldrig,бер ҡасан да
736,niemals::ADV,aldrig,бер ваҡытта ла
737,hier::ADV,här,бында
738,hierhin::ADV,hit,бында
739,von hier::ADV,härifrån,бынан
740,von hier::ADV,härifrån,ошонан
741,dort::ADV,där,шунда
742,dort::ADV,där,тегендә
743,dorthin::ADV,dit,шунда
744,dorthin::ADV,dit,тегеләй
745,geradeaus::ADV,rätt fram,тура
746,vorwärts::ADV,fram,алға
747,vorwärts::ADV,framåt,алға
748,rückwärts::ADV,baklänges,кирегә
749,zurück::ADV,tillbaka,кирегә
750,unten::ADV,nere,түбәндә
751,unten::ADV,nedanför,түбәндә
752,hinab::ADV,ned,түбәнгә
753,hinab::ADV,nedåt,түбәнгә
754,oben::ADV,ovan,юғарыла
755,oben::ADV,ovanpå,юғарыла
756,hinauf::ADV,upp,юғарыға
757,hinauf::ADV,uppåt,юғарыға
758,überall::ADV,överallt,бөтә урында
759,nicht::ADV,ej,тугел
760,nicht::ADV,inte,тугел
761,ein wenig::ADV,litet,аҙ
762,kaum::ADV,knappt,көскә
763,kaum::ADV,knappt,саҡ-саҡ
764,kaum::ADV,knappast,көскә
765,kaum::ADV,knappast,саҡ-саҡ
766,sehr::ADV,mycket,ифат
767,so::ADV,så,шулай
768,noch::ADV,än,йәнә
769,noch::ADV,ännu,йәнә
770,nur::ADV,bara,бары
771,nur::ADV,endast,бары
772,schon::ADV,redan,инде
773,wieder::ADV,åter,тағы
774,vergebens::ADV,förgäves,бушҡа
775,vor::PRP,utanför,алдында
776,hinter::PRP,bakom,артында
777,unter::PRP,under,аҫтында
778,durch::PRP,genom,үтә
779,durch::PRP,igenom,үтә
780,neben::PRP,bredvid,эргәһендә
781,neben::PRP,vid sidan av,эргәһендә
782,zwischen::PRP,mellan,араһында
783,wegen::PRP,på grund av,өсөн
784,wegen::PRP,på grund av,сәбәпле
785,dies::PRN,detta,был
786,dies::PRN,detta,ошо
787,das::PRN,det,ул
788,alles::PRN,allt,бөтә
789,ich::PRN,jag,мин
