,Concept_ID,te,la
117,Insel::N,దీవి,insula
118,Blume::N,పుష్పము,flos
119,Gras::N,పచ్చగడ్డి,herba
120,Gras::N,పచ్చగడ్డి,gramen
121,Wurzel::N,వేరు,radix
122,Baum::N,చెట్టు,arbor
123,Stamm::N,చెట్టుబోదె,truncus
124,Rinde::N,చెట్టుపట్ట,cortex
125,Ast::N,కొమ్మ,ramus
126,Zweig::N,చివుకు,ramus
127,Blatt::N,ఆకు,folium
128,Birke::N,తరహా చెట్టు,betulla
129,Kiefer[Baum]::N,దేవదారు చెట్టు,pinus
130,Weide[Baum]::N,జాతిచెట్టు,salix
131,Tanne::N,దేవదారుచెట్టు,abies
132,Horn::N,కొమ్ము,cornu
133,Feder::N,ఈక,penna
134,Fell::N,తోలు,pellis
135,Flügel::N,ఱెక్క,ala
136,Klaue::N,వంకరగోరు,unguis
137,Kralle::N,వంకరగోరు,unguis
138,Schwanz::N,తోక,cauda
139,Ei::N,గ్రుడ్డు,ovum
140,Nest::N,పక్షిగూడు,nidus
141,Bau::N,గుహ,cavum
142,Bau::N,గుహ,latibulum
143,Tier::N,జంతువు,bestia
144,Herde::N,మంద,grex
145,Kuh::N,ఆవు,vacca
146,Bulle::N,గిత్త,taurus
147,Pferd::N,గుఱ్ఱము,equus
148,Schaf::N,గొఱ్ఱె,ovis
149,Schwein::N,పంది,sus
150,Schwein::N,పంది,porcus
151,Hund::N,కుక్క,canis
152,Katze::N,పిల్లి,felis
153,Bär::N,ఎలుగుబంటి,ursus
154,Eichhörnchen::N,ఉడుత,sciurus
155,Elch::N,కణంజు,alces
156,Fuchs::N,గుంటనక్క,vulpes
157,Hase::N,కుందేలు,lepus
158,Maus::N,చిట్టెలుక,mus
159,Wolf::N,తోడేలు,lupus
160,Vogel::N,పక్షి,avis
161,Schwarm::N,గుంపు,examen
162,Huhn::N,కోడిపిల్ల,gallina
163,Hahn::N,కోడివుంజు,gallus
164,Gans::N,ఆడుబాతు,anser
165,Adler::N,గ్రద్ద,aquila
166,Ente::N,పాట్టిబాతు,anas
167,Eule::N,గ్రుడ్లగూబ,ulula
168,Eule::N,గ్రుడ్లగూబ,noctua
169,Kranich::N,కొంగ,grus
170,Krähe::N,కాకి,cornix
171,Kuckuck::N,కోయల,cuculus
172,Schwan::N,హంస,olor
173,Schwan::N,హంస,cycnus
174,Fisch::N,చేప,piscis
175,Barsch::N,ఒకచేఁప,perca
176,Hecht::N,గండుమీను,esox
177,Schlange[Tier]::N,పాము,serpens
178,Wurm::N,పురుగు,vermis
179,Spinne::N,సాలె పురుగు,aranea
180,Ameise::N,చీమ,formica
181,Laus::N,పేను,pediculus
182,Mücke::N,చీకటీగ,culex
183,Fliege::N,ఈగ,musca
184,Schmetterling::N,సీతాకోకచిలుక,papilio
185,Beere::N,కాయ,baca
186,Apfel::N,ఆపిల్ పండు,malum
187,Pilz::N,కుక్కగొడుగు,fungus
188,Zwiebel::N,నీరుల్లి,cepa
189,Saat::N,విత్తనము,seges
190,Korn::N,గింజ,granum
191,Heu::N,ఎండుగడ్డి,faenum
192,Schale::N,పొట్టు,putamen
193,Grube::N,గొయ్యి,fovea
194,Falle::N,బోను,pedica
195,Schlinge::N,ఉరి,laqueus
196,Spur::N,జాడ,vestigium
197,Asche::N,బూడిద,cinis
198,Dreck::N,ముఱికి,lutum
199,Eisen::N,ఇనుము,ferrum
200,Gold::N,బంగారము,aurum
201,Silber::N,వెండి,argentum
202,Kohle::N,నేలబొగ్గు,carbo
203,Glas::N,గాజు,vitrum
204,Lehm::N,బంకమన్ను,lutum
205,Sand::N,ఇసుక,arena
206,Mensch::N,నరుడు,homo
207,Mann::N,పురుమడు,vir
208,Frau::N,ఆడుది,mulier
209,Kind::N,బిడ్డ,puer
210,Kind::N,బిడ్డ,infans
211,Junge::N,బాలుడు,puer
212,Mädchen::N,బాలిక,puella
213,Familie::N,కుటుంబము,familia
214,Großvater::N,తాత,avus
215,Großmutter::N,అయ్యమ్మ,avia
216,Eltern::N,తల్లితండ్రులు,parentes
217,Vater::N,తండ్రి,pater
218,Mutter::N,తల్లి,mater
219,Sohn::N,కొడుకు,filius
220,Tochter::N,కూతురు,filia
221,Bruder::N,పోదరుడు,frater
222,Schwester::N,సోదరి,soror
223,Onkel::N,మేనమామ,patruus
224,Onkel::N,మేనమామ,avunculus
225,Tante::N,మేనత్త,amita
226,Tante::N,పినతల్లి,amita
227,Ehemann::N,భర్త,maritus
228,Ehefrau::N,భార్య,uxor
229,Freude::N,సంతోషము,gaudium
230,Freude::N,సంతోషము,laetitia
231,Gelächter::N,నవ్వు,risus
232,Glück::N,సంతోషము,felicitas
233,Kummer::N,దుఃఖము,aegritudo
234,Wunsch::N,కోరిక,voluntas
235,Wunsch::N,కోరిక,desiderium
236,Lust::N,కోరిక,libido
237,Lust::N,కోరిక,voluptas
238,Geist::N,ఆత్మ,mens
239,Geist::N,ఆత్మ,animus
240,Gedanke::N,ఆలోచన,sententia
241,Gedächtnis::N,జ్ఞాపకము,memoria
242,Verstand::N,మనస్సు,ratio
243,Verstand::N,మనస్సు,ingenium
244,Sinn::N,అర్థము,sensus
245,Grund::N,కారణము,causa
246,Wahrheit::N,సత్యము,veritas
247,Gespräch::N,పంభాషణ,sermo
248,Märchen::N,అద్భుతకథ,fabula
249,Erzählung::N,కథ,fabula
250,Erzählung::N,కథ,narratio
251,Nachricht::N,వార్త,nuntius
252,Neuigkeit::N,వార్త,novitas
253,Name::N,పేరు,nomen
254,Rätsel::N,చిక్కు,aenigma
255,Rede::N,ఉపన్యాసము,oratio
256,Sprache::N,భాష,lingua
257,Stimme::N,కంరథ్సని,vox
258,Wort::N,మాట,verbum
259,Wort::N,మాట,vocabulum
260,Zeichen::N,గుర్తు,signum
261,Ruf::N,పిలువు,clamor
262,Lärm::N,సందడి,strepitus
263,Laut::N,ధ్వని,sonus
264,Ton::N,స్వరము,sonus
265,Lied::N,పాట,carmen
266,Ruhe::N,గాలిలేమి,quies
267,Leute::N,జనులు,homines
268,Volk::N,జాతి,populus
269,Arbeit::N,పని,labor
270,Gast::N,అతిధి,hospes
271,Gast::N,అతిధి,conviva
272,Geschenk::N,దానము,munus
273,Spiel::N,ఆట,ludus
274,Gesellschaft::N,జట్టు,societas
275,Hilfe::N,సాహాయ్యము,auxilium
276,Hilfe::N,సాహాయ్యము,subsidium
277,Freund::N,స్నేహితుడు,amicus
278,Kamerad::N,చెలికాడు,socius
279,Angelegenheit::N,విషయము,res
280,Anzahl::N,లెక్క,numerus
281,Art::N,జాతి,genus
282,Stück::N,తునుక,frustum
283,Stück::N,తునుక,fragmentum
284,Teil::N,భాగము,pars
285,Hälfte::N,సగము,dimidium
286,Kreis::N,వృత్తము,orbis
287,Kreis::N,వృత్తము,circus
288,Kreuz::N,సిలువ,crux
289,Linie::N,గీత,linea
290,Strich::N,గీత,lineamentum
291,Abstand::N,సందు,intervallum
292,Entfernung::N,దూరము,spatium
293,Gegend::N,విస్తీర్ణము,loca
294,Gegend::N,విస్తీర్ణము,regio
295,Platz::N,ఎడము,locus
296,Ort::N,స్థలము,locus
297,Seite::N,ప్రక్క,latus
298,Mitte::N,నడిమి,medium
299,Gegenstand::N,పద్దు,res
300,Sache::N,వస్తువు,res
301,Rand::N,అంచు,margo
302,Kante::N,అంచు,angulus
303,Ecke::N,మూల,angulus
304,Spitze::N,మొన,cacumen
305,Ende::N,కొన,caput
306,Loch::N,రంధ్రము,foramen
307,Winkel::N,కోణము,angulus
308,Muster::N,మాదిరి,exemplum
309,Größe::N,పరిమాణము,magnitudo
310,Länge::N,పొడుగు,longitudo
311,Höhe::N,పొడుగు,altitudo
312,Gewicht::N,భారము,pondus
313,Menge::N,మొత్తము,copia
314,Haufen::N,రాశి,acervus
315,Reihe::N,వరుస,ordo
316,Boot::N,పడవ,navicula
317,Ruder::N,అడక,remus
318,Schlitten::N,సరవండ్లు,sclodia
319,Ski::N,స్కీ,narta
320,Lagerfeuer::N,నెగడు,ignis
321,Last::N,బరువు,onus
322,Gang::N,నడక,cursus
323,Schritt::N,అడుగు,gradus
324,Norden::N,ఉత్తరదిక్కు,septentriones
325,Süden::N,దక్షిణము,meridies
326,Westen::N,పడమర,occidens
327,Osten::N,తూర్పు,oriens
328,Holz::N,కొయ్య,lignum
329,Brett::N,పలక,tabula
330,Platte::N,పలక,lamina
331,Stütze::N,వాల్సేడ్లు,adminiculum
332,Stange::N,స్తంభము,pertica
333,Stock::N,కఱ్ఱ,baculum
334,Stab::N,కఱ్ఱ,scipio
335,Rohr::N,గొట్టము,tubus
336,Haus::N,ఇల్లు,aedes
337,Heim::N,స్వగృహము,domicilium
338,Ofen::N,పొయ్యి,fornax
339,Fußboden::N,నేల,solum
340,Tisch::N,మేజా,mensa
341,Stuhl::N,కుర్చీ,sella
342,Wiege::N,ఉయ్యాల,cunae
343,Bett::N,పడక,lectus
344,Bett::N,మంచం,lectus
345,Regal::N,అటక,foruli
346,Kiste::N,వెట్టె,cista
347,Fenster::N,కిటికి,fenestra
348,Tür::N,ద్వారము,ianua
349,Tor::N,ద్వారము,porta
350,Zaun::N,కంచె,saepes
351,Dach::N,ఇంటివైకప్పు,tectum
352,Leiter::N,నిచ్చెన,scalae
353,Besen::N,చీపురుకట్ట,scopae
354,Spaten::N,పాఱ,pala
355,Schaufel::N,పాఱ,pala
356,Gabel::N,ముండ్లగరిటె,fuscinula
357,Löffel::N,గరిటె,coclear
358,Messer::N,కత్తి,culter
359,Nagel::N,మేకు,clavus
360,Netz::N,వల,rete
361,Haken::N,కొక్కెము,hamus
362,Griff::N,పిడి,manubrium
363,Schloss::N,తాళము,claustra
364,Bild::N,చిత్రము,tabula
365,Bild::N,చిత్రము,pictura
366,Figur::N,రూపము,statunculum
367,Puppe::N,బొమ్మ,pupa
368,Beutel::N,సంచి,sacculus
369,Bündel::N,మూట,fascis
370,Tasche::N,సంచి,sacculus
371,Eimer::N,చేద,situla
372,Deckel::N,మూత,operculum
373,Geschirr::N,వంటకాలు,vasa
374,Sack::N,గోనెసంచి,saccus
375,Tasse::N,గిన్నె,pocillum
376,Topf::N,కుండ,olla
377,Kessel::N,నీరుకాచుపాత్ర,aenum
378,Essen::N,ఆహారము,cena
379,Nahrung::N,ఆహారము,cibus
380,Nahrung::N,ఆహారము,alimenta
381,Speise::N,ఆహారము,cibus
382,Fleisch::N,మాంసము,caro
383,Getreide::N,ధాన్యము,frumentum
384,Brei::N,గుజ్జు,puls
385,Brot::N,రొట్టె,panis
386,Scheibe::N,బద్ద,frustum
387,Fett::N,క్రొవ్వు,pingue
388,Butter::N,వెన్న,butȳrum
389,Öl::N,నూనె,oleum
390,Salz::N,ఉప్పు,sal
391,Suppe::N,చారు,ius
392,Honig::N,తెనె,mel
393,Milch::N,పాలు,lac
394,Tee::N,తేనీరు,thea
395,Leder::N,బాగుచేసివతోలు,corium
396,Wolle::N,ఉన్ని,lana
397,Stoff::N,బట్ట,textum
398,Nadel::N,సూది,acus
399,Faden::N,దారము,filum
400,Knopf::N,బొత్తాము,bulla
401,Knoten::N,ముడి,nodus
402,Farbe::N,రంగు,pigmentum
403,Kleidung::N,బట్టలు,vestimenta
404,Hemd::N,చొక్కాయ,tunica
405,Kragen::N,మాల,collare
406,Ärmel::N,చొక్కాయచెయ్యి,manica
407,Hose::N,ఇజారు,bracae
408,Gürtel::N,పటకా,cingulum
409,Mütze::N,టోపి,pilleus
410,Schuh::N,పాదరక్ష,calceus
411,Stiefel::N,బూటు,pero
412,Stiefel::N,బూటు,caliga
413,Ring::N,ఉంగరము,anulus
414,Band::N,నాడా,redimiculum
415,Kamm::N,దువ్వెన,pecten
416,Spiegel::N,అద్దము,speculum
417,Riemen::N,వాడా,lorum
418,Schnur::N,దారము,linum
419,Leine::N,వారు,retinaculum
420,Decke::N,కంబళి,lodix
421,Kissen::N,తలగడ,pulvinus
422,Tuch::N,బట్ట,velum
423,Handtuch::N,తువాలు,mantele
424,Kraft::N,బలము,vis
425,Stärke::N,శక్తి,robur
426,Gesundheit::N,ఆరోగ్యము,valetudo
427,Krankheit::N,రోగము,morbus
428,Schmerz::N,నొప్పి,dolor
429,Wunde::N,గాయము,vulnus
430,Fieber::N,జ్వరము,febris
431,Arznei::N,మందు,remedium
432,Brücke::N,వంతెన,pons
433,Brunnen::N,బావి,puteus
434,Brunnen::N,కూపము,puteus
435,Brunnen::N,నుయ్యి,puteus
436,Weide::N,పచ్చికబయలు,pascua
437,Pfad::N,కాలిత్రోవ,semita
438,Weg::N,మార్గము,iter
439,Straße::N,బాట,via
440,Dorf::N,గ్రామము,vicus
441,Stadt::N,పట్టణము,urbs
442,Stadt::N,పట్టణము,oppidum
443,Brief::N,జాబు,epistula
444,Buch::N,పుస్తకము,liber
445,Buchstabe::N,అక్షరము,littera
446,Zeitung::N,వార్తాపత్రిక,diurnum
447,Leben::N,ప్రాణము,vita
448,Tod::N,మరణము,mors
449,Grab::N,సమాధి,sepulcrum
450,Kirche::N,క్రెస్తవులగుడి,ecclesia
451,Sünde::N,పాపము,peccatum
452,Gott::N,దేవుడు,deus
453,Arbeiter::N,పనిపాటుచేశేవాడు,operarius
454,Chef::N,యజమానుడు,praefectus
455,Meister::N,కళాకారుడు,magister
456,Arzt::N,వైద్యుడు,medicus
457,Lehrer::N,ఉపాధ్యాయుడు,magister
458,Geld::N,ద్రవ్యము,aes
459,Geld::N,ద్రవ్యము,pecunia
460,Geschäft::N,వ్యాపారము,negotium
461,Laden::N,అంగడి,taberna
462,Preis::N,వెల,pretium
463,Ware::N,సరకులు,merx
464,Nutzen::N,ప్రయోజనము,utilitas
465,Reichtum::N,ధనము,opes
466,Reichtum::N,ధనము,divitiae
467,Welt::N,ప్రపంచము,mundus
468,Land::N,దేశము,terra
469,Staat::N,రాజ్యము,res publica
470,König::N,రాజు,rex
471,Macht::N,అధికారము,potestas
472,Grenze::N,సరిహద్దు,limes
473,Krieg::N,యుద్ధము,bellum
474,Feind::N,శత్రువు,inimicus
475,Gewalt::N,దౌర్జన్యము,vis
476,Kampf::N,పోట్లాట,pugna
477,Bogen[Waffe]::N,విల్లు,arcus
478,Pfeil::N,బాణము,sagitta
479,Gewehr::N,తుపాకి,sclopetum
480,Fehler::N,తప్ప,error
481,Lüge::N,అసత్యము,mendacium
482,Schaden::N,నష్టము,damnum
483,Schaden::N,నష్టము,detrimentum
484,Unglück::N,దురదృష్టము,miseria
485,Unglück::N,దురదృష్టము,calamitas
486,Schuld::N,తప్పు,culpa
487,Alter::N,వయస్సు,aetas
488,Schluss::N,ముగింపు,finis
489,Zeit::N,కాలము,tempus
490,Tag::N,దినము,dies
491,Morgen::N,ఉదయము,mane
492,Mittag::N,మధ్యాహ్నము,meridies
493,Abend::N,సాయంకాలము,vesper
494,Nacht::N,రత్రి,nox
495,Woche::N,వారము,septimana
496,Monat::N,నెల,mensis
497,Jahr::N,సంవత్సరము,annus
498,Frühling::N,వసంతకాలము,ver
499,Sommer::N,వేసవికాము,aestas
500,Herbst::N,ఆకురాలుకాలము,autumnus
501,Winter::N,శీతకాలము,hiems
502,Januar::N,జనవరి,Ianuarius
503,Februar::N,ఫిబ్రవరి,Februarius
504,März::N,మార్చి,Martius
505,April::N,ఏప్రిలు,Aprilis
506,Mai::N,మే,Maius
507,Juni::N,జూన్,Iunius
508,Juli::N,జూలై,Iulius
509,August::N,ఆగస్టు,Augustus
510,September::N,సెప్ఠెంబరు,September
511,Oktober::N,అక్టోబరు,Octobris
512,November::N,నవంబరు,Novembris
513,Dezember::N,డిసెంబర్,December
514,Montag::N,సోమవారము,dies lunae
515,Dienstag::N,మంగళవారము,dies Martis 
516,Mittwoch::N,బుధవారము,dies Mercurii
517,Donnerstag::N,గురువారము,dies Iovis
518,Freitag::N,శుక్రవారము,dies Veneris
519,Samstag::N,శనివారము,dies Saturni
520,Sonntag::N,ఆదివారము,dominicus
521,Sonntag::N,ఆదివారము,dies solis
522,groß::A,గొప్పైన,magnus
523,klein::A,చిన్న,parvus
524,lang::A,పొడుగాటి,longus
525,kurz::A,పొట్టి,brevis
526,breit::A,వెడల్పైన,latus
527,schmal::A,ఇఱుకైన,angustus
528,dicht::A,దట్టమైన,densus
529,dick[Gegenstand]::A,దట్టమైన,crassus
530,dünn::A,పలుచని,tenuis
531,fein::A,నాజాకైన,subtilis
532,fest::A,దృడమైవ,solidus
533,fest::A,దృడమైవ,stabilis
534,flach::A,చదువైన,planus
535,glatt::A,నున్నని,levis
536,hart::A,కఠినమైన,durus
537,weich::A,మృదువైన,mollis
538,rund::A,గుండ్రని,rotundus
539,spitz::A,మొనగల,acutus
540,scharf::A,పదనైన,acer
541,stumpf::A,వాడిలేని,hebes
542,schwer::A,బరువ్తెన,gravis
543,schön::A,సుందరమైన,pulcher
544,schön::A,సుందరమైన,formosus
545,heiß::A,వేడియైన,fervidus
546,warm::A,వెచ్చని,calidus
547,kalt::A,చల్లని,frigidus
548,kühl::A,చల్లని,frigidus
549,frisch::A,తాజాయైన,recens
550,feucht::A,చెమ్మగానున్న,umidus
551,nass::A,తడిగామన్న,madidus
552,trocken::A,ఎండిన,aridus
553,voll::A,నిండు,plenus
554,leer::A,శూన్యమైన,vacuus
555,offen::A,తెఱచియున్న,apertus
556,geschlossen::A,మూసిన,clausus
557,sauber::A,పరిశుద్ధమైన,lautus
558,schmutzig::A,ముఱికియైన,sordidus
559,roh::A,పచ్చి,crudus
560,reif::A,పండివ,maturus
561,lecker::A,రుచి గల,delicatus
562,süß::A,తియ్యని,dulcis
563,bitter::A,చేదైన,amarus
564,bitter::A,చేదైన,acerbus
565,sauer::A,పుల్లని,acidus
566,hell::A,కాంతిగల,clarus
567,dunkel::A,చీకటియైన,obscurus
568,schwarz::A,నల్లని,niger
569,weiß::A,తెలుపు,albus
570,rot::A,ఎఱ్ఱని,ruber
571,gelb::A,పసుపు పచ్చ,flavus
572,blau::A,నీలవర్ణము,caeruleus
573,grün::A,ఆకుపచ్చని,viridis
574,grau::A,నెరిసిన,canus
575,bunt::A,రంగేలీ,varius
576,billig::A,చౌకయైన,vilis
577,teuer::A,వెలపొడుగైన,carus
578,wertvoll::A,విలుప్తెన,pretiosus
579,blind::A,గ్రుడ్డి,caecus
580,taub::A,చెవిటి,surdus
581,kräftig::A,శక్తి గల,robustus
582,stark::A,బలమైన,firmus
583,stark::A,బలమైన,validus
584,schwach::A,బలహీనమైన,debilis
585,schwach::A,బలహీనమైన,infirmus
586,fett::A,క్రొవ్విన,crassus
587,schlank::A,సన్నని,procerus
588,hübsch::A,సాగప్తెన,pulcher
589,böse::A,చెడ్డ,improbus
590,dumm::A,తెలివిలేని,stultus
591,dumm::A,తెలివిలేని,stupidus
592,faul::A,సోమరియైన,piger
593,fleißig::A,శ్రద్దగల,sedulus
594,geizig::A,పిసినారియైన,avarus
595,klug::A,తెలివిగల,prudens
596,geschickt::A,నిపుణతగల,sollers
597,lieb::A,ప్రియమైన,carus
598,lustig::A,ఉల్లాసము గల,iocosus
599,sanft::A,సాధువైన,clemens
600,hungrig::A,ఆకలిగొనిన,impastus
601,krank::A,వ్యాధిగల,aeger
602,nackt::A,దిగంబరమైన,nudus
603,traurig::A,విచారముగల,maestus
604,lebendig::A,ప్రాణముతో నున్న,vivus
605,gut::A,మంచి,bonus
606,schlecht::A,చెడ్డ,malus
607,richtig::A,సరియైన,rectus
608,schlimm::A,అసహ్యమైన,malus
609,wahr::A,నిజమైన,verus
610,alt::A,ముసలి,antiquus
611,neu::A,క్రొత్త,novus
612,ehemalig::A,పూర్వపు,pristinus
613,alt[Lebewesen]::A,ముసలి,vetus
614,jung::A,పసి,iuvenis
615,arm::A,బీద,pauper
616,reich::A,ధనవంతుడైన,dives
617,bekannt::A,తెలిసిన,notus
618,berühmt::A,ప్రపిద్దికెక్కివ,celeber
619,berühmt::A,ప్రపిద్దికెక్కివ,illustris
620,fremd::A,అన్యమైన,peregrinus
621,verschieden::A,భేదమైన,varius
622,nah::A,దగ్గఱనున్న,propinquus
623,fern::A,దూరమందున్న,longinquus
624,linker::A,ఎడమప్రక్కగ,sinister
625,rechter::A,కుడి,dexter
626,anderer::A,వేఱ్తెన,alius
627,erster::A,మొదటి,primus
628,zweiter::A,రెండన,secundus
629,dritter::A,మూడో,tertius
630,letzter::A,కడపటి,ultimus
631,allein::ADV,ఒంటిగా,solum
632,auf einmal::ADV,హరాత్తుగ,simul
633,zusammen::ADV,కలిసి,una
634,lange::ADV,బహుకాలము,diu
635,plötzlich::ADV,హరాత్తుగ,subito
636,plötzlich::ADV,హరాత్తుగ,repente
637,sofort::ADV,తక్షణము,statim
638,später::ADV,ఇటీవలి,postea
639,jetzt::ADV,ఇప్పుడు,nunc
640,heute::ADV,నేడు,hodie
641,morgen::ADV,ఱేపు,cras
642,bald::ADV,శీఘ్రముగ,mox
643,dann::ADV,అప్పుడు,deinde
644,gestern::ADV,నిన్నటి దినము,heri
645,einst::ADV,పూర్వమొకప్పుడు,olim
646,damals::ADV,అప్పుడు,tum
647,danach::ADV,అప్పుడు,postea
648,vorher::ADV,ఎదుట,antea
649,zuerst::ADV,మొదటిలో,primo
650,einmal::ADV,ఒకసారి,semel
651,manchmal::ADV,అప్పటప్పటికి,interdum
652,oft::ADV,తఱచుగా,saepe
653,immer::ADV,ఎల్లప్పుడు,semper
654,niemals::ADV,ఎప్పుడునులేదు,numquam
655,hier::ADV,ఇక్కడ,hic
656,hierhin::ADV,ఇక్కడకు,huc
657,von hier::ADV,ఇక్కడనుండి,hinc
658,dort::ADV,అక్కడ,ibi
659,dorthin::ADV,అక్కడికి,eo
660,geradeaus::ADV,సూటిగా,recte
661,vorwärts::ADV,ముందుకు,porro
662,rückwärts::ADV,వెనుకకు,retro
663,zurück::ADV,వెనుకభాగము,retro
664,unten::ADV,క్రింద,infra
665,hinab::ADV,కిందికి,pessum
666,oben::ADV,మీద,supra
667,hinauf::ADV,పైకి,sursum
668,überall::ADV,అంతటా,ubique
669,nicht::ADV,కాదు,non
670,ein wenig::ADV,కొంచెము,paulum
671,kaum::ADV,చాలిచాలక,vix
672,kaum::ADV,చాలిచాలక,aegre
673,sehr::ADV,చాల,valde
674,sehr::ADV,చాల,magnopere
675,so::ADV,ఆలాగున,ita
676,noch::ADV,ఇప్పటికిని,etiam
677,nur::ADV,మాత్రము,solum
678,nur::ADV,మాత్రము,tantum
679,schon::ADV,ఇదివఱకే,iam
680,wieder::ADV,తిరిగి,rursus
681,vergebens::ADV,నిష్ఫలముగా,frustra
682,vor::PRP,ముందు,ante
683,hinter::PRP,వెనుక,post
684,unter::PRP,క్రింద,sub
685,durch::PRP,ద్వారా,per
686,neben::PRP,దగ్గెర,iuxta
687,zwischen::PRP,మధ్య,inter
688,wegen::PRP,కారణంగా,propter
689,dies::PRN,ఇది,hoc
690,das::PRN,అది,id
691,alles::PRN,సకలము,omnia
692,ich::PRN,నేను,ego
693,du::PRN,నీవు,tu
694,er::PRN,అతడు,is
695,er::PRN,అతడు,ille
696,wir::PRN,మనము,nos
697,ihr::PRN,మీరు,vos
698,sie::PRN,వారు,ii
699,sie::PRN,వారు,illi
700,was::FPRN,ఏమి,quid
701,wer::FPRN,ఎవడు,quis
702,wo::FADV,ఎక్కడ,ubi
