,Concept_ID,ab,et
98,Tropfen::N,ацəыкəбар,tilk
99,Schaum::N,ашəах,vaht
100,Schmutz::N,алымт,pori
101,Schmutz::N,алымт,mustus
102,See::N,аӡиа,järv
103,Sumpf::N,аӡмах,soo
104,Wiese::N,адəы,aas
105,Wiese::N,адəы,nurm
106,Wald::N,абна,mets
107,Hügel::N,ахəы,küngas
108,Anhöhe::N,аҳаракыра,küngas
109,Berg::N,ашьха,mägi
110,Gipfel::N,ацəқəа,mäetipp
111,Höhle::N,аҳаҧы,koobas
112,Abhang::N,анаара,nõlvak
113,Quelle::N,аҵҵырҭа,allikas
114,Bach::N,акəараҷҷа,oja
115,Fluss::N,аӡиас,jõgi
116,Ufer::N,ахықə,kallas
117,Küste::N,ахықə,rannik
118,Festland::N,абарра,mander
119,Festland::N,абарра,maismaa
120,Meer::N,амшын,meri
121,Bucht::N,аӡбжьахала,laht
122,Insel::N,адгьылбжьаха,saar
123,Blume::N,ашəҭ,lill
124,Gras::N,аҳасакьын,rohi
125,Wurzel::N,адац,juur
126,Baum::N,аҵла,puu
127,Stamm::N,ашьапы,tüvi
128,Rinde::N,ацəа,koor
129,Ast::N,амахə,oks
130,Ast::N,амахəҭа,oks
131,Zweig::N,амахə,oks
132,Zweig::N,амахəҭа,oks
133,Blatt::N,абҕьы,leht
134,Birke::N,аҵааҵла,kask
135,Kiefer[Baum]::N,амза,mänd
136,Weide[Baum]::N,аҧслыш,paju
137,Tanne::N,аҧсаӡ,nulg
138,Horn::N,атəыҩа,sarv
139,Feder::N,ахӡы,sulg
140,Fell::N,ацəа,karvkate
141,Fell::N,ацəа,karusnahk
142,Flügel::N,амҵəыжəа,tiib
143,Flügel::N,амҵəыжəа,tiivik
144,Klaue::N,ашьапхыц,küüs
145,Schwanz::N,аҵыхəа,saba
146,Ei::N,акəтаӷь,muna
147,Nest::N,аҭра,pesa
148,Nest::N,аҵысҭра,pesa
149,Bau::N,аҭыҩра,urg
150,Tier::N,аҧстəы,loom
151,Tier::N,агыгшəыг,loom
152,Herde::N,агəарҭа,kari
153,Kuh::N,ажə,lehm
154,Bulle::N,ацə,pull
155,Pferd::N,аҽы,hobune
156,Schaf::N,ауаса,lammas
157,Schwein::N,аҳəа,siga
158,Hund::N,ала,koer
159,Katze::N,ацгəы,kass
160,Bär::N,амшə,karu
161,Eichhörnchen::N,аеш,orav
162,Elch::N,аҽаҩа,põder
163,Fuchs::N,абгахəыҷы,rebane
164,Hase::N,ажьа,jänes
165,Maus::N,аҳəынаҧ,hiir
166,Wolf::N,абгаду,hunt
167,Vogel::N,аҧсаатə,lind
168,Huhn::N,акəты,kana
169,Hahn::N,арбаҕь,kukk
170,Gans::N,аҟыз,hani
171,Adler::N,ауарба,kotkas
172,Ente::N,акəата,part
173,Eule::N,аты,kakk
174,Eule::N,аты,öökull
175,Kranich::N,апҟа,kurg
176,Krähe::N,аҟəараан,vares
177,Kuckuck::N,акəыкəу,kägu
178,Schwan::N,агьад,luik
179,Fisch::N,аҧсыӡ,kala
180,Barsch::N,ацəыбла,ahven
181,Hecht::N,ахиаала,haug
182,Schlange[Tier]::N,амаҭ,uss
183,Wurm::N,ахəа,uss
184,Wurm::N,ахəа,vagel
185,Wurm::N,ахəац,uss
186,Wurm::N,ахəац,vagel
187,Spinne::N,абызкаҭаҳа,ämblik
188,Ameise::N,ашышкамс,sipelgas
189,Laus::N,аҵа,täi
190,Mücke::N,акəыбры,sääsk
191,Fliege::N,амҵ,kärbes
192,Schmetterling::N,аҧарҧалыкь,liblikas
193,Beere::N,аргуц,mari
194,Apfel::N,аҵəа,õun
195,Pilz::N,акəкəбаа,seen
196,Zwiebel::N,аџьымшьы,sibul
197,Zwiebel::N,аџьымшьхы,sibul
198,Saat::N,ажəла,seeme
199,Korn::N,арыц,iva
200,Korn::N,арыц,tera
201,Heu::N,аҭəа,hein
202,Schale::N,ацəа,koor
203,Grube::N,ажра,kaevand
204,Grube::N,атыша,kaevand
205,Falle::N,арыҧҟьа,lõks
206,Falle::N,арыҧҟьа,püünis
207,Schlinge::N,аҟəараҟəантə,aas
208,Spur::N,ашьҭа,jälg
209,Asche::N,ахəа,tuhk
210,Dreck::N,аҳəынҵəа,saast
211,Dreck::N,аҳəынҵəа,mustus
212,Dreck::N,аҟьамсар,saast
213,Dreck::N,аҟьамсар,mustus
214,Eisen::N,аиха,raud
215,Gold::N,ахьы,kuld
216,Silber::N,аразны,hõbe
217,Kohle::N,арацəа,süsi
218,Glas::N,асаркьа,klaas
219,Lehm::N,анышəаҧшь,savi
220,Sand::N,аҧслымӡ,liiv
221,Mensch::N,ауаҩы,inimene
222,Mann::N,ахаҵа,mees
223,Frau::N,аҧҳəыс,naine
224,Kind::N,ахəыҷы,laps
225,Junge::N,аҷкəын,poiss
226,Junge::N,ахаҵарҧыс,poiss
227,Mädchen::N,аӡӷаб,tüdruk
228,Familie::N,аҭаацəа,perekond
229,Großvater::N,абду,vanaisa
230,Großmutter::N,анду,vanaema
231,Eltern::N,ани аби,vanemad
232,Vater::N,аб,isa
233,Mutter::N,ан,ema
234,Sohn::N,аҧа,poeg
235,Tochter::N,аҧҳа,tütar
236,Bruder::N,аиашьа,vend
237,Schwester::N,Аҳəшьа,õde
238,Onkel::N,абиашьа,onu
239,Onkel::N,аншьа,onu
240,Tante::N,абиаҳəшьа,tädi
241,Ehemann::N,ахаҵа,mees
242,Ehemann::N,ахаҵа,abikaasa
243,Ehemann::N,аҧшəма,mees
244,Ehemann::N,аҧшəма,abikaasa
245,Ehefrau::N,аҧҳəыс,naine
246,Ehefrau::N,аҧҳəыс,abikaasa
247,Freude::N,агəырӷьара,rõõm
248,Gelächter::N,ачча,naer
249,Gelächter::N,аччара,naer
250,Glück::N,аразҟы,õnn
251,Kummer::N,агəырҩа,mure
252,Kummer::N,агəырҩа,kurbus
253,Wunsch::N,агəхəтəы,soov
254,Wunsch::N,аҭахра,soov
255,Lust::N,агəазыҳəара,himu
256,Geist::N,аҧсы,vaim
257,Gedanke::N,ахəыцырҭа,mõte
258,Gedächtnis::N,агəынкылара,mälu
259,Verstand::N,ахшыҩ,aru
260,Verstand::N,ахшыҩ,mõistus
261,Sinn::N,аҵакы,tähendus
262,Grund::N,амзыз,põhjus
263,Wahrheit::N,аиаша,tõde
264,Gespräch::N,аиҿцәажәара,kõne
265,Gespräch::N,аиҿцәажәара,vestlus
266,Märchen::N,алакə,muinasjutt
267,Erzählung::N,ажәабжь,jutustus
268,Nachricht::N,адырраҭара,teade
269,Neuigkeit::N,ажәабжь ҿыц,uudis
270,Name::N,ахьӡ,nimi
271,Rätsel::N,ацуфара,mõistatus
272,Rede::N,ажәа,kõne
273,Sprache::N,абызшəа,keel
274,Stimme::N,абжьы,hääl
275,Wort::N,ажәа,sõna
276,Zeichen::N,адырга,märk
277,Ruf::N,аҿҭы,hüüe
278,Lärm::N,ашьҭыбжь,müra
279,Laut::N,ашьҭыбжь,hääl
280,Ton::N,атон,toon
281,Lied::N,ашəа,laul
282,Ruhe::N,аҭынчра,rahu
283,Ruhe::N,аҭынчра,vaikus
284,Leute::N,ауаа,inimesed
285,Volk::N,ажəлар,rahvas
286,Arbeit::N,аусура,töö
287,Gast::N,асас,külaline
288,Geschenk::N,аҳамҭа,kingitus
289,Geschenk::N,аҿанҵа,kingitus
290,Spiel::N,ахəмарра,mäng
291,Gesellschaft::N,агəыҧ,selts
292,Hilfe::N,ацхыраара,abi
293,Freund::N,аҩыза,sõber
294,Kamerad::N,Аҧхнагьла,sõber
295,Angelegenheit::N,аус,asi
296,Anzahl::N,ахыҧхьаӡара,arv
297,Anzahl::N,ахыҧхьаӡара,hulk
298,Art::N,ахкы,liik
299,Stück::N,аҽыҭ,tükk
300,Teil::N,ахəҭа,osa
301,Hälfte::N,абжа,pool
302,Kreis::N,агьагьа,ring
303,Kreuz::N,аџьар,rist
304,Linie::N,аицтәар,joon
305,Strich::N,ацəаҳəа,joon
306,Abstand::N,абжьара,vahe
307,Entfernung::N,абжьара,kaugus
308,Entfernung::N,абжьара,vahemaa
309,Gegend::N,аҭыҧ,ümbrus
310,Platz::N,аҭыҧ,ruum
311,Ort::N,аҭыҧ,paik
312,Seite::N,аган,pool
313,Mitte::N,агəҭа,keskpaik
314,Gegenstand::N,амаҭəар,ese
315,Rand::N,аҵкар,äär
316,Rand::N,аҵкар,serv
317,Kante::N,авардым,kant
318,Ecke::N,акəакь,nurk
319,Spitze::N,аҧынҵа,teravik
320,Ende::N,анаӡара,ots
321,Ende::N,анаӡара,jupp
322,Loch::N,акылҵəара,auk
323,Winkel::N,агҿаҩра,nurk
324,Winkel::N,акəындхə,nurk
325,Winkel::N,акəакь,nurk
326,Muster::N,аҟҟа,muster
327,Größe::N,изаҟароу,suurus
328,Länge::N,аура,pikkus
329,Höhe::N,агылара,kõrgus
330,Gewicht::N,акапан,kaal
331,Gewicht::N,акапан,raskus
332,Haufen::N,ачаҟəа,hunnik
333,Reihe::N,ацəаҳəа,rivi
334,Boot::N,анышь,paat
335,Ruder::N,ажəҩа,aer
336,Schlitten::N,ашəаҩауардын,saan
337,Ski::N,ашəаҩа,suusk
338,Ski::N,ашьахаха,suusk
339,Lagerfeuer::N,еиқуу амца,lõke
340,Last::N,ахьанҭара,koorem
341,Gang::N,аныҟəара,käik
342,Schritt::N,ашьаҿа,samm
343,Norden::N,аҩада,põhi
344,Süden::N,алада,lõuna
345,Westen::N,амраҭашəара,lääs
346,Osten::N,амрагылара,ida
347,Holz::N,амҿымаҭəахə,puu
348,Brett::N,аӷəы,saelaud
349,Platte::N,ахаҳәцәы,plaat
350,Stütze::N,аҵаргəа,tugi
351,Stütze::N,агəышьаҟа,tugi
352,Stange::N,акьат,latt
353,Stange::N,акьат,teivas
354,Stock::N,алаба,kepp
355,Stab::N,акьат,varras
356,Rohr::N,абыкь,toru
357,Haus::N,аҩны,maja
358,Heim::N,аҭаацəа,kodu
359,Ofen::N,аҳақə,ahi
360,Ofen::N,ауаџьаҟ,ahi
361,Ofen::N,афрына,ahi
362,Fußboden::N,адашьма,põrand
363,Tisch::N,аишәа,laud
364,Stuhl::N,аҟəардə,tool
365,Wiege::N,агара,häll
366,Wiege::N,агара,kätki
367,Bett::N,акаруаҭ,voodi
368,Regal::N,акыӷəра,riiul
369,Kiste::N,аидчаҧала,kast
370,Fenster::N,аҧенџьыр,aken
371,Tür::N,ашə,uks
372,Tor::N,агəашə,värav
373,Zaun::N,аанда,aed
374,Zaun::N,аанда,tara
375,Dach::N,ахыб,katus
376,Leiter::N,амардуан,redel
377,Besen::N,аҧссага,luud
378,Spaten::N,ажыга,labidas
379,Schaufel::N,аҭəарӷəы,kühvel
380,Gabel::N,ачқьыҧ,kahvel
381,Löffel::N,амҳаҵə,lusikas
382,Messer::N,аҳəызба,nuga
383,Nagel::N,аҵəымӷ,nael
384,Netz::N,акаҭа,võrk
385,Haken::N,аҵəаҳə,haak
386,Haken::N,аҵəаҳə,konks
387,Griff::N,амаа,sang
388,Griff::N,амаа,käepide
389,Schloss::N,асаҧаҭ,lukk
390,Bild::N,асахьа,pilt
391,Figur::N,афигура,kuju
392,Figur::N,афигура,kujund
393,Puppe::N,акьанџьа,nukk
394,Beutel::N,асакь,paun
395,Bündel::N,аҿаҳəара,kimp
396,Tasche::N,арҭмаҟ,kott
397,Eimer::N,аведра,pang
398,Eimer::N,аведра,ämber
399,Deckel::N,ахҩа,kaas
400,Geschirr::N,ачысмаҭəа,nõud
401,Sack::N,асакь,kott
402,Tasse::N,аҵəца,tass
403,Topf::N,акаструлиа,pada
404,Kessel::N,ачуан,pada
405,Nahrung::N,афатə,toit
406,Speise::N,афатə,roog
407,Fleisch::N,акəац,liha
408,Getreide::N,ачакуа,teravili
409,Brei::N,ақашь,puder
410,Brot::N,ача,sai
411,Brot::N,ача,leib
412,Scheibe::N,аҽыҭ,viil
413,Scheibe::N,аҽыҭ,viilukas
414,Scheibe::N,аҿаҵа,viil
415,Scheibe::N,аҿаҵа,viilukas
416,Fett::N,ашша,rasv
417,Butter::N,ахəша,või
418,Öl::N,азеҭ,õli
419,Salz::N,аџьыка,sool
420,Suppe::N,асуҧ,supp
421,Honig::N,ацха,mesi
422,Milch::N,ахш,piim
423,Tee::N,ачаи,tee
424,Leder::N,ацəа,nahk
425,Wolle::N,аласа,vill
426,Stoff::N,Аба,kangas
427,Nadel::N,агəыр,nõel
428,Faden::N,арахəыц,niit
429,Knopf::N,аҳəынҵəра,nööp
430,Knoten::N,аиқəҳəала,sõlm
431,Farbe::N,ашəыга,värv
432,Kleidung::N,амаҭəа,riided
433,Kleidung::N,амаҭəа,riietus
434,Hemd::N,акьаҿ,särk
435,Kragen::N,ахəда,krae
436,Ärmel::N,амаӷра,varrukas
437,Hose::N,аиқəа,püksid
438,Gürtel::N,амаҟа,vöö
439,Mütze::N,ахылҧа,müts
440,Schuh::N,аимаа,king
441,Stiefel::N,амагə,saabas
442,Ring::N,амацəаз,sõrmus
443,Band::N,алента,lint
444,Kamm::N,ахҳəа,kamm
445,Spiegel::N,асаркьа,peegel
446,Riemen::N,аа,rihm
447,Schnur::N,ашаха,nöör
448,Leine::N,аҕура,jalutusrihm
449,Decke::N,ахыза,tekk
450,Kissen::N,ахчы,padi
451,Tuch::N,акасы,kalev
452,Handtuch::N,ампахьшьы,käterätik
453,Kraft::N,амч,jõud
454,Stärke::N,амч,tugevus
455,Gesundheit::N,агəабзиара,tervis
456,Krankheit::N,ачымазара,haigus
457,Schmerz::N,ахьаа,valu
458,Wunde::N,ахəра,haav
459,Fieber::N,ашоура,palavik
460,Arznei::N,ахəшə,ravim
461,Brücke::N,ацҳа,sild
462,Brunnen::N,аҵыџь,kaev
463,Weide::N,аҳəырҭа,karjamaa
464,Pfad::N,амхəасҭа,rada
465,Weg::N,амҩа,tee
466,Straße::N,амҩа,tee
467,Dorf::N,ақыҭа,küla
468,Stadt::N,ақалақь,linn
469,Brief::N,ашəҟəы,kiri
470,Buch::N,ашəҟəы,raamat
471,Buchstabe::N,анбан,täht
472,Zeitung::N,агазеҭ,ajaleht
473,Leben::N,аҧсҭазаара,elu
474,Tod::N,аҧсра,surm
475,Grab::N,анышəынҭра,haud
476,Kirche::N,ауахəама,kirik
477,Sünde::N,агəнаҳа,patt
478,Gott::N,анцəа,jumal
479,Arbeiter::N,аусуҩ,tööline
480,Chef::N,Аиҳабы,ülemus
481,Chef::N,Аиҳабы,juhataja
482,Meister::N,аҟаза,meister
483,Arzt::N,аҳақьым,arst
484,Lehrer::N,арҵаҩы,õpetaja
485,Geld::N,аҧара,raha
486,Laden::N,амагазин,pood
487,Laden::N,амагазин,kauplus
488,Preis::N,ахə,hind
489,Ware::N,атауар,kaup
490,Nutzen::N,ақьар,tulu
491,Nutzen::N,ақьар,kasulikkus
492,Reichtum::N,абеиара,rikkus
493,Welt::N,адунеи,maailm
494,Land::N,атəыла,maa
495,Staat::N,аҳəынҭқарра,riik
496,König::N,акрал,kuningas
497,Macht::N,амчра,võim
498,Grenze::N,аҳəаа,piir
499,Krieg::N,аибашьра,sõda
500,Feind::N,Аҕа,vaenlane
501,Gewalt::N,ақəымчра,väevõim
502,Kampf::N,ақəҧара,võitlus
503,Bogen[Waffe]::N,ахыц,vibu
504,Pfeil::N,ахəымпал,nool
505,Gewehr::N,ашəақь,püss
506,Fehler::N,агха,viga
507,Lüge::N,амц,vale
508,Schaden::N,аҧырхага,kahju
509,Unglück::N,арыцҳара,häda
510,Unglück::N,арыцҳара,õnnetus
511,Schuld::N,ахара,süü
512,Alter::N,ақəра,iga
513,Schluss::N,анҵəамҭа,lõpp
514,Zeit::N,аамта,aeg
515,Tag::N,амш,päev
516,Morgen::N,ашара,hommik
517,Morgen::N,ашьыбжь,hommik
518,Mittag::N,шьыбжьон,lõuna
519,Mittag::N,шьыбжьон,keskpäev
520,Abend::N,ахəылҧаз,õhtu
521,Abend::N,ахəлбыҽха,õhtu
522,Nacht::N,аҵх,öö
523,Woche::N,амчыбжь,nädal
524,Frühling::N,ааҕын,kevad
525,Sommer::N,аҧхын,suvi
526,Herbst::N,ҭагалан,sügis
527,Herbst::N,хкаарачан,sügis
528,Winter::N,аӡын,talv
529,Januar::N,ианвар,jaanuar
530,Februar::N,февраль,veebruar
531,März::N,март,märts
532,April::N,апрель,aprill
533,Mai::N,маи,mai
534,Juni::N,иуун,juuni
535,Juli::N,иууль,juuli
536,August::N,август,august
537,September::N,сентиабр,september
538,Oktober::N,октиабр,oktoober
539,November::N,ноиабр,november
540,Dezember::N,декабр,detsember
541,Montag::N,ашəахьа,esmaspäev
542,Dienstag::N,аҩаша,teisipäev
543,Mittwoch::N,ахаша,kesknädal
544,Donnerstag::N,аҧшьаша,neljapäev
545,Freitag::N,ахəаша,reede
546,Samstag::N,асабша,laupäev
547,Sonntag::N,амҽыша,pühapäev
548,groß::A,аду,suur
549,klein::A,амаҷ,väike
550,klein::A,амаҷ,pisike
551,lang::A,ахəхəа,pikk
552,kurz::A,акьаҿ,lühike
553,breit::A,аиужь,lai
554,breit::A,аиҵых,lai
555,schmal::A,аҭшəа,kitsas
556,dicht::A,аилач,tihe
557,dick[Gegenstand]::A,ажəпа,jäme
558,fein::A,апа,peen
559,fein::A,апа,õhuke
560,fein::A,аҵаӷа,peen
561,fein::A,аҵаӷа,õhuke
562,fein::A,аӡа,peen
563,fein::A,аӡа,õhuke
564,fest::A,аҟаца,püsiv
565,fest::A,аҟаца,kindel
566,fest::A,аӷəӷəаҟаца,püsiv
567,fest::A,аӷəӷəаҟаца,kindel
568,flach::A,ақəаҟьа,lame
569,flach::A,ақəаҟьа,tasane
570,flach::A,аҧаҟьа,lame
571,flach::A,аҧаҟьа,tasane
572,glatt::A,аимаҩзы,sile
573,hart::A,акьакьа,kõva
574,weich::A,атата,pehme
575,rund::A,акəмпыл,ümar
576,spitz::A,аҵар,torkav
577,scharf::A,аҵар,terav
578,stumpf::A,ацагə,nüri
579,schwer::A,ахьанҭа,raske
580,schön::A,аҧшӡа,kena
581,heiß::A,ашы,kuum
582,heiß::A,ашы,palav
583,warm::A,аҧха,soe
584,kalt::A,ахьшəашəа,külm
585,kühl::A,ахьшəашəа,jahe
586,kühl::A,ицәыхьшәашәоу,jahe
587,frisch::A,цқьа,värske
588,feucht::A,ацəаак,niiske
589,nass::A,абааӡа,märg
590,trocken::A,Аба,kuiv
591,trocken::A,аҩа,kuiv
592,voll::A,азна,täis
593,leer::A,аҭацəы,tühi
594,offen::A,аарта,avatud
595,offen::A,аарта,lahtine
596,geschlossen::A,ихҩоу,suletud
597,geschlossen::A,иаркыу,suletud
598,sauber::A,ацқьа,puhas
599,schmutzig::A,аҟьашь,räpane
600,schmutzig::A,аҟьашь,määrdunud
601,reif::A,Арҭ,küps
602,reif::A,аҟала,küps
603,reif::A,иҟалахьоу,küps
604,lecker::A,ахаа,hõrk
605,lecker::A,ахаа,maitsev
606,süß::A,азла,magus
607,bitter::A,аша,mõru
608,sauer::A,аҵəҵəы,hapu
609,hell::A,алаша,hele
610,dunkel::A,алашьца,pime
611,schwarz::A,аиқуаҵәа,must
612,weiß::A,ашкəакəа,valge
613,rot::A,аҟаҧшь,punane
614,gelb::A,аҩеижь,kollane
615,blau::A,аҽҵәа,sinine
616,grün::A,ашьацҧшҭəала,roheline
617,grün::A,аеҵəа,roheline
618,grau::A,ацəыш,hall
619,bunt::A,Аилыҕраа,kirju
620,bunt::A,Аилыҕраа,värviline
621,bunt::A,аҕраҷкəын,kirju
622,bunt::A,аҕраҷкəын,värviline
623,billig::A,амариа,odav
624,teuer::A,амҩан,kallis
625,wertvoll::A,кыр иаҕсоу,väärtuslik
626,wertvoll::A,акыр иаҕсоу,väärtuslik
627,blind::A,алашə,pime
628,taub::A,адагəа,kurt
629,kräftig::A,аӷəӷəа,jõuline
630,stark::A,абаҟа,tugev
631,schwach::A,акəада,nõrk
632,schwach::A,акəада,jõuetu
633,fett::A,аҧсыла,rasvane
634,schlank::A,акала,sale
635,schlank::A,акьалантар,sale
636,schlank::A,аиҿартə,sale
637,hübsch::A,аҧшӡа,kena
638,böse::A,абааҧсы,tige
639,dumm::A,агаӡа,juhm
640,dumm::A,агаӡа,rumal
641,faul::A,аашьа,laisk
642,fleißig::A,иҟубҷоу,virk
643,fleißig::A,иҟубҷоу,hoolas
644,geizig::A,акы,ihne
645,geizig::A,акаҷбеи,ihne
646,geizig::A,аҟəџьыр,ihne
647,klug::A,аҟəыш,tark
648,klug::A,аҟəыш,arukas
649,klug::A,аҟəыш,mõistlik
650,klug::A,аҟəыӷа,tark
651,klug::A,аҟəыӷа,arukas
652,klug::A,аҟəыӷа,mõistlik
653,geschickt::A,напҟазала,osav
654,lieb::A,алашара,armas
655,lustig::A,алах-ҿых,lõbus
656,lustig::A,игурҕьаччо,lõbus
657,lustig::A,агурҕьа,lõbus
658,lustig::A,агурҿыхага,lõbus
659,sanft::A,атата,õrn
660,sanft::A,аҟəымшəышə,õrn
661,sanft::A,ақьыҧш,õrn
662,hungrig::A,амлашь,näljane
663,krank::A,ачымазаҩ,haige
664,nackt::A,аҟьантаз,alasti
665,traurig::A,алахьеиқəҵага,kurb
666,lebendig::A,абза,elus
667,gut::A,абзиа,hea
668,schlecht::A,-хəарҭам,halb
669,richtig::A,иашоу,õige
670,schlimm::A,абааҧсы,paha
671,wahr::A,агəҭылса,tõene
672,wahr::A,абзиаҵəҟьа,tõene
673,alt::A,Ажə,vana
674,neu::A,аҿыц,uus
675,ehemalig::A,анкьатәи,endine
676,alt[Lebewesen]::A,абырг,vana
677,alt[Lebewesen]::A,ақабада,vana
678,alt[Lebewesen]::A,Ажə,vana
679,jung::A,аҟата,noor
680,arm::A,ананамга,vaene
681,reich::A,абеиа,rikas
682,bekannt::A,адыр,teada
683,bekannt::A,адыр,tuttav
684,berühmt::A,адыр,tuntud
685,fremd::A,атəым,võõras
686,verschieden::A,Еиуа-еиҧшым,erinev
687,nah::A,ааигəа,lähedane
688,fern::A,ахара,kauge
689,linker::A,арма,vasak
690,rechter::A,арҕьа,parem
691,anderer::A,даҽа,muu
692,anderer::A,даҽа,teine
693,anderer::A,даҽакы,muu
694,anderer::A,даҽакы,teine
695,erster::A,актәи,esimene
696,zweiter::A,аҩбатəи,teine
697,dritter::A,ахҕатәи,kolmas
698,letzter::A,аҵыхəтəантəи,viimane
699,allein::ADV,мацара,üksi
700,auf einmal::ADV,зныкала,korraga
701,auf einmal::ADV,зныкала,ühekorraga
702,auf einmal::ADV,зныкҟьара,korraga
703,auf einmal::ADV,зныкҟьара,ühekorraga
704,zusammen::ADV,аиц...,koos
705,zusammen::ADV,аиц...,üheskoos
706,lange::ADV,акыраамҭа,kaua
707,plötzlich::ADV,иаалырҟьаны,äkki
708,plötzlich::ADV,иаалырҟьаны,järsku
709,sofort::ADV,иаразнакҵәҟьа,kohe
710,später::ADV,уажəшьҭаншəа,hiljem
711,jetzt::ADV,уажәы,nüüd
712,heute::ADV,иахьа,täna
713,morgen::ADV,уаҵәы,homme
714,bald::ADV,иласны,pea
715,bald::ADV,иласны,varsti
716,dann::ADV,нас,siis
717,gestern::ADV,иацы,eile
718,einst::ADV,зны,vanasti
719,damals::ADV,усҟан,tookord
720,danach::ADV,нас,seejärel
721,vorher::ADV,уаанӡа,enne
722,zuerst::ADV,азнаказы,enne
723,zuerst::ADV,азнаказы,esmalt
724,zuerst::ADV,аҧхьа,enne
725,zuerst::ADV,аҧхьа,esmalt
726,einmal::ADV,зны,kord
727,einmal::ADV,зны,üks kord
728,manchmal::ADV,зны-зынла,mõnikord
729,oft::ADV,лассы-лассы,tihti
730,oft::ADV,лассы-лассы,sageli
731,immer::ADV,енагь,ikka
732,immer::ADV,енагь,alati
733,immer::ADV,еснагь,ikka
734,immer::ADV,еснагь,alati
735,niemals::ADV,ианакəызаалак,mitte kunagi
736,hier::ADV,ара,siin
737,hier::ADV,абра,siin
738,hier::ADV,араҟа,siin
739,hierhin::ADV,ара,siia
